varga	eid	n_lemmas	glossed	candidates
AK-1.1	97	2	1	7.2.4.1.1:3;1.1:1;1.3.2.6:1;2.1.1.1:1;2.3.1:1;2.3.1.2:1
AK-1.1	98	1	1	3.5.2.2:1;3.5.4.4:1;4.1:1;4.1.1:1;4.1.2:1;4.1.3:1
AK-1.1	99	1	1	4.9.1:2;4.9.2:2;4.9.4.7:1;6.5.1.1:1;8.4.2.3:1
AK-1.1	100	2	1	4.2.1.5:2;6.5.1.1:2;2.1.4:1;2.1.7:1;2.1.8.4:1;2.3.1:1
AK-1.1	101	3	1	1.5.5:4;5.2.3.6:4;2.5.7.2:3;2.6.4.1.1:3;4.4.1:3;1.2.3.1:2
AK-1.1	102	4	1	1.3.1.3:4;1.1:1;1.1.1.2:1;1.2.1.4:1;1.2.1.6:1;1.3.2.1:1
AK-1.1	103	5	1	1.3.1.3:4;1.1.1.3:3;1.2.1.1:3;1.3.2.1:3;1.3.2.2:3;1.5.3:3
AK-1.1	104	1	1	1.5.1:1;2.6.4.5:1;4.6.7.2:1;4.9.1:1;4.9.2:1;4.9.3.1:1
AK-1.1	105	1	1	1.5.1:2;1.1:1;1.2.2:1;1.5.5:1;1.6.1.9:1;1.6.3.1:1
AK-1.1	106	1	1	1.2.1.6:1;1.5:1;1.5.1:1;1.5.5:1;1.6.1.9:1;4.4.2.4:1
AK-1.1	107	1	0	
AK-1.1	108	1	0	
AK-1.1	109	1	1	1.1:1;1.3.1.5:1;1.5.1:1;1.5.3:1;1.5.5:1;2.1.1.5:1
AK-1.1	110	2	1	2.6.5.1:3;4.1.2:3;2.6.4.2:2;4.3.1:2;1.2:1;1.5:1
AK-1.1	111	6	1	
AK-1.1	112	2	1	2.1.1.1:3;1.1.3.2:2;1.1.3.3:2;1.2.3:2;1.3:2;1.3.2.2:2
AK-1.1	113	1	1	1.1:1;1.1.3.3:1;1.3.2.2:1;1.3.2.3:1;1.3.2.6:1;1.3.3:1
AK-1.1	114	1	0	
AK-1.1	115	1	1	1.5.3:2;2.1.1.1:1;2.3.1:1;2.3.1.2:1;3.2.1.2:1;3.2.4:1
AK-1.1	116	1	1	1.1.1:1;1.3.1.3:1;1.6.3:1;2.1.1.1:1;2.3.1:1;2.3.1.2:1
AK-1.1	117	1	1	2.4:1;3.6.2:1;4.2.1.8:1;4.3.4:1;5.4.7:1;6.6.1.3:1
AK-1.1	118	1	0	
AK-1.1	119	1	0	
AK-1.1	120	1	1	8.1.5.8.1:3;8.1.1.1:2;8.2:2;1.6.3.1:1;1.6.4.1:1;2:1
AK-1.1	121	1	1	2.1.1.1:1;2.3.1:1;2.3.1.2:1;3.2.1.2:1;3.2.4:1;4.2.1.4:1
AK-1.1	122	1	1	1.1:2;2.6.2.3:2;4.8.3.6:2;4.8.3.7:2;6.6:2;8.1.6.1:2
AK-1.1	123	34	1	4.3:4;7.2.1.2:4;2.4.1:3;4.2.3:3;4.2.3.3:3;5.3.7:3
AK-1.1	124	3	1	4.1.9.1.4:4;1.6.3:3;2.3.1:3;2.6.4.2:3;4.1.2:3;4.1.9.1.5:3
AK-1.1	125	5	1	4.8.3.7:7;2.1.5:4;1.1.1:3;6.7.8:3;7.3.1.1:3;8.3.3:3
AK-1.1	126	2	1	5.5:2;8.3.3.1.1:2;1.1.1:1;1.1.1.2:1;1.2.2.4:1;1.2.2.5:1
AK-1.1	127	2	0	
AK-1.1	128	2	1	1.1.1.3:3;4.2.5:3;5.5:3;1.1:2;1.1.1:2;1.1.1.1:2
AK-1.1	129	5	1	4.4.4.5:5;4.4.4.4:4;2.6.4.1.1:3;3.2.1.3:3;5.4.1:3;1.2.1.5:2
AK-1.1	130	3	1	5.5:3;8.3.4:3;1.2.1.6:2;1.5:2;1.5.1:2;1.5.5:2
AK-1.1	131	14	1	7:4;8.1.6.1:4;8.2.8:4;9.1.2:4;1.1:3;2.1.4:3
AK-1.1	132	15	1	4.9.2:6;4.3.1.1:4;6.6.2.4:4;7.5.1:4;7.5.7:4;9.1.1.1:4
AK-1.1	133	5	1	3.2.1.2:3;6.4.6:3;1:2;1.1:2;3.1:2;3.2:2
AK-1.1	134	20	1	1.1:3;1.1.3.1:3;1.6.1.1.3:3;2.2.1:3;3.4:3;4.3:3
AK-1.1	135	2	1	1.1:1;1.1.2:1;1.1.3.1:1;1.2.1.5:1;1.2.3.3:1;1.5.5:1
AK-1.1	136	1	0	
AK-1.1	137	1	1	2.2.1:2;9.1.3.1:2;1.1:1;1.1.1.1:1;1.4:1;1.4.2:1
AK-1.1	138	1	1	1.1:1;1.1.2:1;1.2.1.1:1;1.2.1.5:1;1.2.1.7:1;1.2.3.3:1
AK-1.1	139	1	1	3.2.2.3:2;3.5.8.1:2;4.2.6.2:2;8.2.8:2;8.3.5.2.1:2;1.1:1
AK-1.1	140	1	1	1.2.3.3:2;2.1.2:2;1.1:1;1.1.1:1;1.1.1.1:1;1.1.2:1
AK-1.1	141	1	1	1.1:1;1.1.2:1;1.2.3.3:1;2.1:1;2.1.1.1:1;2.1.2:1
AK-1.1	142	5	1	7.2.1.2:8;8.4.8.1:7;1.3.1.3:4;3.3.3.5:3;7.3.2.9:3;8.4.8:3
AK-1.1	143	11	1	7.2.1.2:6;8.4.8.1:5;1.6.1.2:3;4.8.3.7:3;6.5.2:3;6.5.4.1:3
AK-1.1	144	9	1	1.1.3.5:1;1.6.1:1;1.6.3.1:1;2.1.1.1:1;2.3.1:1;2.3.1.2:1
AK-1.1	145	14	1	8.1:7;8.2.8:6;3.3.1.1:5;8.1.6.1:5;3.5.3.1:4;1.3.1.5:3
AK-1.1	146	18	1	3.1:3;8.3.3.3:3;1.1:2;1.1.1.3:2;1.5.5:2;1.6.2:2
AK-1.1	147	1	1	8.1.1.1:1;8.1.1.5:1
AK-1.1	148	1	0	
AK-1.1	149	1	1	1.2.1.1:2;1.5.3:2;2.3.1.9:2;4.9.7.5:2;6.3.1.2:2;6.3.1.3:2
AK-1.1	150	1	1	2.6.4.5:2;3.5.4.5:2;5.2.1.2:2;5.2.3.7.1:2;8.4.1.7:2;8.4.6.5:2
AK-1.1	151	1	1	1.1:1;1.2.1.1:1;1.2.1.5:1;1.3.2.4:1;1.5.3:1;1.6.1.3.1:1
AK-1.1	152	4	1	7.4.4:4;8.1.6.1:4;8.6:4;1.6.4.1:3;3.5.3.1:3;4.2.5:3
AK-1.1	153	2	1	1.2.2.5:3;1.3.1.1:3;1.1.1.1:2;1.1.1.3:2;2.3.1:2;3.2.6:2
AK-1.1	154	1	1	8.6:4;1.5.3:3;1.5.5:3;2.1.4:3;3.6.2:3;7.5.7:3
AK-1.1	155	1	1	1.6.2.4:3;1.6.2:2;1.6.3.1:2;2.1.1:2;3.5.4.4:2;4.2.3.5:2
AK-1.1	156	1	1	1.2.2.5:2;3.2.6:2;1.6.3.1:1;1.6.4.1:1;2:1;2.1:1
AK-1.1	157	1	1	3.5.6:3;1.6.1:2;2.3.1.4:2;1.1.1.3:1;1.3.1.1:1;1.3.1.3:1
AK-1.1	158	1	1	1.6.1.3.3:2;1.1.3.1:1;1.2.1.3:1;1.3.1.2:1;1.3.2.5:1;2.1.1.3:1
AK-1.1	159	1	1	1.2.2.5:1;3.2.6:1;4.3.1:1;4.9.2:1;4.9.7.1:1;4.9.7.2:1
AK-1.1	160	1	1	1.5.1:1;1.5.3:1;1.5.5:1;6.6.2.9:1;9.1.5:1;9.3.1:1
AK-1.1	161	1	1	8.3.3.3.4:4;1.1:3;8.3.3.3:3;2.1.4:2;4.1.9.9:2;1.1.1:1
AK-1.1	162	1	1	2:2;4.3.1.1:2;1.2.1.3:1;1.2.1.4:1;1.2.1.5:1;1.6.3.1:1
AK-1.2	163	23	1	1.1:9;1.2.3.3:7;1.1.3.2:5;1.2.1.5:5;7.3.1.1:5;8.3.1.6:5
