lemma_slp1	varga	eid	match_type	union_dicts	n_dicts
nArAyaRa	AK-1.1	28	exact	BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	11
kfzRa	AK-1.1	28	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK VCP VEI	13
vEkuRWa	AK-1.1	28	exact	AP BUR CAE CCS INM MD MW PWG PWK VCP	10
vizwaraSravas	AK-1.1	28	exact	AP INM MW PWG PWK VCP	6
dAmodara	AK-1.1	28	exact	BHS BUR CAE CCS INM MD MW PWG PWK VCP	10
hfzIkeSa	AK-1.1	28	exact	BUR CAE CCS INM MD MW PWG PWK VCP	9
keSava	AK-1.1	28	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK VCP	11
mADava	AK-1.1	28	exact	AP BUR CAE CCS INM MD MW PWG PWK VCP	10
svaBU	AK-1.1	28	exact	BUR CAE CCS MD MW PWG PWK VCP	8
dEtyAri	AK-1.1	28	exact	CAE CCS MW PWG PWK VCP	6
puRqarIkAkza	AK-1.1	28	exact	BHS CAE CCS INM MW PWG PWK VCP	8
govinda	AK-1.1	28	exact	BHS BUR CAE CCS INM MW PWG PWK VCP	9
garuqaDvaja	AK-1.1	28	exact	INM MW PWG PWK SCH VCP	6
pItAmbara	AK-1.1	28	exact	CAE CCS MW PWG PWK VCP	6
acyuta	AK-1.1	28	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	13
SArNgin	AK-1.1	28	exact	AP CAE CCS INM MD MW PWG PWK SCH VCP	10
vizvaksena	AK-1.1	28	exact	CAE CCS INM MW PWG PWK VCP VEI	8
janArdana	AK-1.1	28	exact	BHS BUR CAE CCS INM MW PWG PWK	8
upendra	AK-1.1	28	exact	BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	11
indrAvaraja	AK-1.1	28	exact	INM MW PWG PWK	4
cakrapARi	AK-1.1	28	exact	INM MW PWG PWK VCP	5
caturBuja	AK-1.1	28	exact	AP BUR CAE CCS INM MW PWG PWK VCP	9
padmanABa	AK-1.1	28	exact	CAE CCS INM MW PWG PWK VCP	7
maDuripu	AK-1.1	28	exact	MD MW PWG PWK SCH	5
vAsudeva	AK-1.1	28	exact	BHS BUR CAE CCS INM MD MW PWG PWK VCP	10
trivikrama	AK-1.1	28	exact	BUR CAE CCS INM MW PWG PWK VCP	8
devakInandana	AK-1.1	28	exact	CAE INM MD MW PWK VCP	6
SOri	AK-1.1	28	exact	BUR CAE CCS INM MD MW PWG PWK VCP	9
SrIpati	AK-1.1	28	exact	CAE CCS INM MW PWG PWK	6
puruzottama	AK-1.1	28	exact	CAE CCS INM MD MW PWG PWK VCP	8
vanamAlin	AK-1.1	28	exact	AP INM MW PWG PWK VCP	6
baliDvaMsin	AK-1.1	28	exact	AP MW PWG PWK VCP	5
kaMsArAti	AK-1.1	28	exact	MW PWK SCH	3
aDokzaja	AK-1.1	28	exact	AP BUR INM MD MW PWG PWK VCP	8
viSvamBara	AK-1.1	28	exact	MW VCP	2
kEwaBajit	AK-1.1	28	exact	AP MW PWK SKD VCP	5
viDu	AK-1.1	28	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
SrIvatsalAYCana	AK-1.1	28	exact	MW PWG PWK SCH VCP	5
purARapuruza	AK-1.1	28	exact	MW PWG PWK SCH VCP	5
yajYapuruza	AK-1.1	28	exact	MW PWG PWK VCP	4
narakAntaka	AK-1.1	28	exact	MW PWG PWK VCP	4
jalaSAyin	AK-1.1	28	exact	AP MW PWG PWK SCH VCP	6
viSvarUpa	AK-1.1	28	exact	AP CAE CCS GRA INM MW PWG PWK SCH	9
mukunda	AK-1.1	28	exact	BHS BUR CAE CCS INM MD MW PWG PWK VCP	10
muramardana	AK-1.1	28	exact	AP MW PWG PWK	4
lakzmIpati	AK-1.1	28	exact	MW PWG PWK	3
murAri	AK-1.1	28	exact	CAE CCS MW PWG PWK	5
vasudeva	AK-1.1	29	exact	CAE INM MW PWG PWK VCP	6
AnakadunduBi	AK-1.1	29	exact	INM MW PWG PWK VCP	5
balaBadra	AK-1.1	30	exact	AP BHS CAE INM MD MW PWG PWK SCH VCP	10
pralambaGna	AK-1.1	30	exact	MW PWK VCP	3
baladeva	AK-1.1	30	exact	BHS CAE CCS INM MW PWG PWK VCP	8
acyutAgraja	AK-1.1	30	exact	MW PWG PWK VCP	4
revatIramaRa	AK-1.1	30	exact	MW PWG PWK VCP	4
rAma	AK-1.1	30	exact	AP BHS BUR CCS GRA INM MD MW PWG PWK VCP VEI	12
kAmapAla	AK-1.1	30	exact	CAE INM MD MW PWG PWK SCH VCP	8
halAyuDa	AK-1.1	30	exact	CAE CCS INM MD MW PWG PWK VCP	8
nIlAmbara	AK-1.1	30	exact	AP MW PWG PWK VCP	5
rOhiReya	AK-1.1	30	exact	CAE CCS INM MW PWG PWK VCP	7
tAlANka	AK-1.1	30	exact	MW PWG PWK	3
musalin	AK-1.1	30	exact	AP CAE CCS MD MW PWG PWK VCP	8
halin	AK-1.1	30	exact	AP BUR CAE CCS INM MD MW PWG PWK VCP	10
saNkarzaRa	AK-1.1	30	exact	INM VCP	2
sIrapARi	AK-1.1	30	exact	MW PWG PWK SCH VCP	5
kAlindIBedana	AK-1.1	30	exact	MW PWG PWK	3
bala	AK-1.1	30	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SKD VCP	12
madana	AK-1.1	31	exact	AP BHS CAE CCS INM MD MW PWG PWK SCH VCP	11
manmaTa	AK-1.1	31	exact	BUR CAE CCS INM MD MW PWG PWK SCH VCP	10
mAra	AK-1.1	31	exact	BHS BUR CAE CCS MD MW PWG PWK VCP	9
pradyumna	AK-1.1	31	exact	BHS BUR CAE CCS INM MD MW PWG PWK VCP	10
mInaketana	AK-1.1	31	exact	MW PWG PWK SCH VCP	5
kandarpa	AK-1.1	31	exact	BUR CAE CCS INM MD MW PWG PWK SCH VCP	10
darpaka	AK-1.1	31	exact	AP MW PWG PWK SCH VCP	6
anaNga	AK-1.1	31	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	12
kAma	AK-1.1	31	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP	13
paYcaSara	AK-1.1	31	exact	CAE CCS MW PWG PWK VCP	6
smara	AK-1.1	31	exact	BUR CAE CCS INM MD MW PWG PWK VCP	9
SambarAri	AK-1.1	31	exact	MW PWK SCH VCP	4
manasija	AK-1.1	31	exact	AP CAE CCS MD MW PWG PWK VCP	8
kusumezu	AK-1.1	31	exact	MD MW PWG PWK VCP	5
ananyaja	AK-1.1	31	exact	MW PWG PWK SCH VCP	5
puzpaDanvan	AK-1.1	31	exact	AP CAE MW PWG PWK VCP	6
ratipati	AK-1.1	31	exact	CAE MW PWG PWK VCP	5
makaraDvaja	AK-1.1	31	exact	BHS CAE CCS INM MW PWG PWK VCP	8
AtmaBU	AK-1.1	31	exact	AP CAE CCS MW PWG PWK SCH VCP	8
paYcabARa	AK-1.1	31	exact	CAE CCS MW PWG PWK VCP	6
aravinda	AK-1.1	32	exact	BUR CAE CCS MD MW PWG PWK VCP	8
aSoka	AK-1.1	33	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	12
cUta	AK-1.1	34	exact	BUR CAE CCS MD MW PWG PWK VCP	8
navamallikA	AK-1.1	35	exact	AP CAE CCS MD MW PWG PWK SKD VCP	9
nIlotpala	AK-1.1	36	exact	CAE CCS MD MW PWG PWK VCP	7
unmAdana	AK-1.1	37	exact	AP INM MW PWG PWK VCP	6
tApana	AK-1.1	38	exact	AP BHS CAE CCS MW PWG PWK SCH VCP	9
SozaRa	AK-1.1	39	exact	AP CAE CCS MW PWG PWK VCP	7
stamBana	AK-1.1	40	exact	CAE CCS MD MW PWG PWK VCP	7
sammohana	AK-1.1	41	exact	INM MW	2
kAma	AK-1.1	42	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP	13
brahmasU	AK-1.1	42	exact	MW PWG PWK VCP	4
viSvaketu	AK-1.1	42	exact	MW PWG PWK VCP	4
anirudDa	AK-1.1	43	exact	AP BHS BUR INM MW PWG PWK SCH VCP	9
uzApati	AK-1.1	43	exact	MW PWG PWK VCP	4
lakzmI	AK-1.1	44	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK VCP	11
padmAlayA	AK-1.1	44	exact	AP MW SKD VCP	4
padmA	AK-1.1	44	exact	AP BHS INM MW SKD VCP	6
kamalA	AK-1.1	44	exact	AP INM MW SKD	4
SrI	AK-1.1	44	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI	15
haripriyA	AK-1.1	44	exact	AP MW SKD	3
indirA	AK-1.1	44	exact	AP BUR MD MW PWG PWK SCH SKD VCP	9
lokamAtf	AK-1.1	44	exact	AP MW VCP	3
mA	AK-1.1	44	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	12
kzIrodatanayA	AK-1.1	44	exact	MW PWK SKD	3
ramA	AK-1.1	44	exact	AP MW PWK SCH SKD VCP	6
BArgavI	AK-1.1	44	exact	AP INM MW SCH SKD	5
lokajananI	AK-1.1	44	exact	AP MW PWG PWK SCH	5
kzIrasAgarakanyakA	AK-1.1	44	miss		0
pAYcajanya	AK-1.1	45	exact	BUR CAE CCS GRA INM MD MW PWG PWK VCP VEI	11
sudarSana	AK-1.1	46	exact	AP BHS BUR CAE CCS INM MW PWG PWK VCP	10
kOmodakI	AK-1.1	47	exact	AP BUR MD MW PWG PWK SKD VCP	8
nandaka	AK-1.1	48	exact	AP BHS CAE CCS INM MD MW PWG PWK SCH VCP	11
kOstuBa	AK-1.1	49	exact	BUR CAE CCS INM MD MW PWG PWK SCH VCP	10
SArNga	AK-1.1	50	exact	AP BUR CAE CCS INM MD MW PWG PWK VCP VEI	11
SrIvatsa	AK-1.1	51	exact	CAE CCS INM MW PWG PWK SCH VCP	8
SEbya	AK-1.1	52	exact	AP CAE CCS INM MD MW PWG PWK SCH VEI	10
sugrIva	AK-1.1	53	exact	AP BHS BUR CAE CCS INM MW PWG PWK VCP	10
meGapuzpa	AK-1.1	54	exact	INM MW PWG PWK SCH	5
balAhaka	AK-1.1	55	exact	BHS CAE CCS INM MD MW PWG PWK SCH	9
dAruka	AK-1.1	56	exact	BHS CAE CCS INM MD MW PWG PWK VCP	9
udDava	AK-1.1	57	exact	BHS BUR INM MW PWG PWK SCH VCP	8
gada	AK-1.1	58	exact	BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP	12
garutmat	AK-1.1	59	exact	AP GRA INM MW	4
garuqa	AK-1.1	59	exact	BHS BUR CAE CCS INM MD MW PWG PWK VCP	10
tArkzya	AK-1.1	59	exact	BUR CAE CCS GRA INM MD MW PWG PWK VCP VEI	11
vEnateya	AK-1.1	59	exact	BUR CAE CCS INM MD MW PWG PWK VCP	9
KageSvara	AK-1.1	59	exact	INM MW PWG PWK SCH VCP	6
nAgAntaka	AK-1.1	59	exact	MW PWG PWK VCP	4
vizRuraTa	AK-1.1	59	exact	MW PWG PWK VCP	4
suparRa	AK-1.1	59	exact	AP BUR CAE CCS GRA INM MW PWG PWK VCP VEI	11
pannagASana	AK-1.1	59	exact	MW PWG PWK VCP	4
SamBu	AK-1.1	60	exact	AP BUR GRA INM MW SCH VCP	7
ISa	AK-1.1	60	exact	AP BUR CAE CCS INM MD MW PWG PWK SKD VCP	11
paSupati	AK-1.1	60	exact	CAE CCS INM MW PWG PWK SCH VCP	8
Siva	AK-1.1	60	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK VCP VEI	12
SUlin	AK-1.1	60	exact	AP CAE CCS INM MD MW PWG PWK VCP	9
maheSvara	AK-1.1	60	exact	BHS BUR CAE CCS INM MW PWG PWK	8
ISvara	AK-1.1	60	exact	AP BHS CAE CCS INM MD MW PWG PWK SCH VCP	11
Sarva	AK-1.1	60	exact	BUR CAE CCS INM MD MW PWG PWK VCP	9
ISAna	AK-1.1	60	exact	AP CAE CCS INM MD MW PWG PWK VCP	9
SaNkara	AK-1.1	60	exact	AP BUR INM MW VCP	5
candraSeKara	AK-1.1	60	exact	CAE CCS MW PWG PWK SCH VCP	7
BUteSa	AK-1.1	60	exact	BUR CAE INM MW PWG PWK VCP	7
KaRqaparaSu	AK-1.1	60	exact	INM MW PWG PWK SCH VCP	6
girISa	AK-1.1	60	exact	BUR CAE CCS INM MW PWG PWK VCP	8
giriSa	AK-1.1	60	exact	BUR CAE CCS INM MW PWG PWK VCP	8
mfqa	AK-1.1	60	exact	BUR CAE CCS MD MW PWG PWK SKD VCP VEI	10
mftyuYjaya	AK-1.1	60	exact	VCP	1
kfttivAsas	AK-1.1	60	exact	AP CAE CCS INM MW PWG PWK VCP	8
pinAkin	AK-1.1	60	exact	AP CAE CCS INM MD MW PWG PWK SCH VCP	10
pramaTADipa	AK-1.1	60	exact	MW PWK VCP	3
ugra	AK-1.1	60	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK VCP VEI	13
kapardin	AK-1.1	60	exact	AP BHS CAE CCS GRA INM MW PWG PWK	9
SrIkaRWa	AK-1.1	60	exact	BHS CAE CCS INM MW PWG PWK VCP	8
SitikaRWa	AK-1.1	60	exact	CAE CCS INM MW PWG PWK VCP	7
kapAlaBft	AK-1.1	60	exact	AP MW PWG PWK VCP	5
vAmadeva	AK-1.1	60	exact	CAE CCS GRA INM MW PWG PWK VCP VEI	9
mahAdeva	AK-1.1	60	exact	BHS CAE CCS INM MW PWG PWK VCP	8
virUpAkza	AK-1.1	60	exact	AP BHS CAE CCS INM MW PWG PWK VCP	9
trilocana	AK-1.1	60	exact	BUR CAE CCS INM MD MW PWG PWK VCP	9
kfSAnuretas	AK-1.1	60	exact	AP MW PWG PWK VCP	5
sarvajYa	AK-1.1	60	exact	AP BHS CAE CCS INM MW PWG PWK SCH VCP	10
DUrjawi	AK-1.1	60	exact	BUR CAE CCS INM MW PWG PWK SCH VCP	9
nIlalohita	AK-1.1	60	exact	AP CAE CCS GRA MW PWG PWK VCP	8
hara	AK-1.1	60	exact	AP BUR CAE CCS INM MD MW PWG PWK SCH VCP	11
smarahara	AK-1.1	60	exact	MW PWG PWK VCP	4
Barga	AK-1.1	60	exact	BHS BUR CAE CCS INM MD MW PWG PWK VCP	10
tryambaka	AK-1.1	60	exact	BUR CAE CCS GRA INM MD MW PWG PWK VCP	10
tripurAntaka	AK-1.1	60	exact	CAE MD MW PWK VCP	5
gaNgADara	AK-1.1	60	exact	MD MW PWG PWK VCP	5
anDakaripu	AK-1.1	60	exact	MW PWG PWK VCP	4
kratuDvaMsin	AK-1.1	60	exact	AP MW PWG PWK VCP	5
vfzaDvaja	AK-1.1	60	exact	BUR CAE CCS INM MW PWG PWK VCP	8
vyomakeSa	AK-1.1	60	exact	INM MW PWG PWK VCP	5
Bava	AK-1.1	60	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	12
BIma	AK-1.1	60	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK VCP	12
sTARu	AK-1.1	60	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	13
rudra	AK-1.1	60	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	12
umApati	AK-1.1	60	exact	CAE INM MW PWG PWK VCP	6
ahirbuDnya	AK-1.1	60	exact	INM MW PWG	3
azwamUrti	AK-1.1	60	exact	MD MW PWG PWK	4
gajAri	AK-1.1	60	exact	MW PWG PWK VCP	4
mahAnawa	AK-1.1	60	exact	MW PWG PWK SCH	4
kaparda	AK-1.1	61	exact	BUR CAE CCS GRA MD MW PWG PWK VEI	9
jawAjUwa	AK-1.1	61	exact	CAE CCS MW PWG PWK VCP	6
pinAka	AK-1.1	62	exact	BUR CAE CCS INM MD MW PWG PWK VCP VEI	10
ajagava	AK-1.1	62	exact	BUR MW PWG PWK SCH VCP	6
pramaTa	AK-1.1	63	exact	CAE CCS INM MW PWG PWK VCP	7
pArizada	AK-1.1	63	exact	AP CAE CCS INM MW PWG PWK VCP	8
brAhmI	AK-1.1	64	exact	AP BHS MD MW PWG SKD	6
mAheSvarI	AK-1.1	65	exact	AP BUR INM MW SKD	5
kOmArI	AK-1.1	66	exact	AP MD MW SKD VCP	5
vEzRavI	AK-1.1	67	exact	AP MW SKD	3
vArAhI	AK-1.1	68	exact	AP MW SCH SKD VCP	5
indrARI	AK-1.1	69	exact	AP CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP	12
cAmuRqA	AK-1.1	70	exact	AP BUR MW PWG SKD VCP	6
mAtaraH	AK-1.1	71	miss		0
viBUti	AK-1.1	72	exact	BHS CAE CCS GRA INM MD MW PWG PWK VCP	10
BUti	AK-1.1	72	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK VCP VEI	13
ESvarya	AK-1.1	72	exact	CAE CCS MW PWG PWK SCH	6
aRiman	AK-1.1	73	exact	AP CAE CCS INM MD MW PWG PWK VCP	9
mahiman	AK-1.1	74	exact	AP BUR CAE CCS GRA MW PWG PWK VCP	9
gariman	AK-1.1	75	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
laGiman	AK-1.1	76	exact	AP BUR CAE CCS INM MD MW PWG PWK VCP	10
prApti	AK-1.1	77	exact	CAE CCS INM MD MW PWG PWK VCP	8
prAkAmya	AK-1.1	78	exact	BUR MD MW PWG PWK VCP	6
ISitva	AK-1.1	79	exact	MW PWG PWK	3
vaSitva	AK-1.1	80	exact	CAE CCS MD MW PWG PWK VCP	7
