eid	code	confidence	note
702	4.9.6	2	write-in; hell
704	4.9.6	3	write-in; hell
705	4.9.6	2	write-in; hell (Raurava)
708	4.9.2	2	ghost/hell-being
712	2.5.6.1	3	agony/torment
863	4.6.7.1	1	write-in; India
868	4.6.7.1	2	write-in; sacred land
870	4.6.7	2	region/country
877	1.2.2.2	2	gravel/pebbles
882	1.2.1	2	rain-watered land
887	1.2.1	2	adjacent land
899	6.5.4.1	2	highway
2897	6.6.3	2	write-in; carpenter
2899	5.6.4	2	write-in; washerman
2926	4.1.2	2	write-in; foreigner
2942	7.5.4.1	3	rope/cord
2962	6.7	1	write-in; brush/probe
2967	6.7.1	2	write-in; chisel
2970	6.7.1.1	2	write-in; awl
2992	4.2.6.1	2	gambling-house keeper
2997	1.6.1.8	3	spider
907	6.8.4.8	3	market/shop
910	6.5.2	2	rampart/wall
923	6.5.1	2	monastery
931	6.5.1.1	3	large house
932	6.5.1	2	write-in; palace
944	1.2.2.2	3	rock
954	6.5.2.4	2	gate/archway
973	1.2.1.1	3	mountain
977	1.2.1.1	2	mountain range
979	1.2.1.1	2	write-in; mountain
984	1.2.1.1	2	peak/summit
990	1.2.1.5	2	cave
994	1.2.1.5	2	mine/quarry
1073	1.5.1	2	tree names
1075	1.5.1	2	write-in; Madhuka tree
1111	1.5.1	2	write-in; tree
1129	1.5.1	2	write-in; Rohitaka tree
1138	1.5	2	plant
1139	1.5.3	2	write-in; creeper
1167	1.5.3	1	write-in; plant
1212	1.5.3	2	write-in; Alhagi plant
1214	1.5.3	2	write-in; nightshade
1230	1.5.3	2	write-in; grass/reed
1247	1.5.3	2	plantain
1272	1.5	2	plant
1292	1.5.5	2	cinnamon bark
1305	1.5.3	2	sorrel
1316	1.5.1	1	write-in; dye plant
1317	1.5.3	2	medicinal herb
1349	1.5.3	2	bamboo
1355	1.5.3	2	write-in; a grass
1392	1.6.2	2	porcupine quill
1403	1.6.1.1.3	2	write-in; sambar deer
1409	1.6.1.1.3	2	deer
1416	1.6.1.1.3	3	gayal ox
1420	1.6.1.1.4	3	mouse/rat
1421	1.6.1.3.2	3	chameleon
1437	1.6.1.2	3	write-in; bird
1475	1.6.1.7	3	locust/moth
1512	4.2.1.5	3	assembly
1516	1.6.6	2	flock of parrots
1526	2.6.5.2	3	write-in; woman
1553	2.6.2.3	2	harlot
1581	4.5.4.4	1	write-in; maidservant
1582	2.6.2.3	3	prostitute
1661	8.4.6.5.2	2	elder/first-born
1670	8.2.2.3	3	short/dwarf
1709	2.5.2.2	2	abscess
1733	2.6.3	1	write-in; semen/seed
1735	2.2.4	3	write-in; phlegm
1754	2.2.4	2	write-in; nasal mucus
1778	2.1.2	2	buttocks
1809	2.1.3.3	3	ring finger
1813	1.5.1	1	write-in; palmyra tree
1822	2.1.3.1	2	elbow
1846	2.3.1.1	2	side-glance
1873	5.4.1	2	write-in; forehead ornament
1895	5.4.1	2	write-in; anklet
1896	4.2.3.5	1	small bell
1917	5.3	3	write-in; garment
1932	7.2.2.4	1	rising up
1942	1.5.5	2	write-in; aloewood
1954	1.5.5	2	red sandalwood
1982	4.1.9.8	3	write-in; lineage/clan
2010	8.2.9.1	2	write-in; heavy
2023	3.2.2	2	student
2028	3.2.3	2	self-derived knowledge
2052	4.9.8	2	ritual fire
2060	4.9.3.1	2	write-in; ritual verse
2061	4.9.3.1	1	write-in; Gayatri hymn
2097	4.9.5.3	3	write-in; worship
2102	2.3.2.5	2	write-in; silence
2114	2.2.3	2	write-in; saliva drop
2115	5.1.1.2	2	write-in; priest's seat
2146	5.4.3.6	3	shaving
2173	4.1.4.1	2	write-in; kshatriya caste
2184	4.9.7.1	2	write-in; family priest
2233	4.8.2.7	1	write-in; sow dissension
2255	9.6.2.6	2	consequence/result
2260	6.7	1	write-in; fly-whisk
2280	1.6.6	2	herd of elephants
2338	7.2.4.1.1	2	write-in; palanquin
2346	6.5.4.1	2	street/highway
2366	8.1.1.1	2	thousandfold
2372	4.8.3.7	2	armour
2434	7.7.2	2	target/mark
2443	6.7.8	2	hilt/handle
2456	8.6	1	write-in; corner/edge
2462	7.2.3.1	1	write-in; army in motion
2492	3.4.2.5	2	stupor/delusion
2497	7.2.6.3	2	write-in; flight/retreat
2513	2.5.7.2	2	life-giving medicine
2550	6.2.1.3	1	write-in; vegetable field
2559	6.2.3	1	write-in; sown field
2564	6.2.8	2	write-in; goad
2567	7.5.4.1	2	yoke-rope
2589	1.5.3	2	flax
2590	1.5	2	hemp plant
2610	5.2.1.2.2	2	mortar
2648	5.2.3	2	sour gruel
2649	1.5.5	2	asafoetida resin
2661	5.2.3.4	2	write-in; curd dish
2777	6.3.1.7	2	donkey
2782	6.8.4.3	2	price/value
2807	8.2.8	2	write-in; grain measure
2810	7.3.8	1	write-in; carrying
2819	6.8.6	1	write-in; coined silver
2829	1.2.2.3	2	write-in; copper
2849	1.2.2.4	2	write-in; vermilion
