eid	code	source
1305	1.5.3	agreed
1316	1.5	adjudicated-A
1317	1.5.3	agreed
1349	1.5.3	agreed
1355	1.5.3	agreed
1392	1.6.2	agreed
1403	1.6.1.1.3	agreed
1409	1.6.1.1.3	agreed
1416	1.6.1.1.3	agreed
1420	1.6.1.1.4	agreed
1421	1.6.1.3.2	agreed
1437	1.6.1.2	agreed
1475	1.6.1.7	agreed
1512	4.2.1.5	agreed
1516	1.6.6	agreed
1526	2.6.5.2	agreed
1553	2.6.2.3	agreed
1581	4.5.4.3	adjudicated-A
1582	2.6.2.3	agreed
1661	4.1.9.1.3	adjudicated-A
1670	8.2.2.3	agreed
1709	2.5.2	adjudicated-A
1733	2.2	adjudicated-A
1735	2.2.4	agreed
1754	2.2.4	agreed
1778	2.1.2	agreed
1809	2.1.3.3	agreed
1813	2.1.3.1	adjudicated-A
1822	2.1.3.1	agreed
1846	2.3.1.1	agreed
1873	5.4.1	agreed
1895	5.4.1	agreed
1896	5.4.1	adjudicated-A
1917	5.3	agreed
1932	5.4.5	adjudicated-A
1942	5.4.2	adjudicated-A
1954	5.4.2	adjudicated-A
1982	4.1.9.8	agreed
2010	8.2.9.1	agreed
2023	3.2.2	agreed
2028	3.2.3	agreed
2052	4.9.8	agreed
2060	4.9.3.1	agreed
2061	3.5.4.4	adjudicated-A
2097	4.9.5.3	agreed
2102	3.5.1.1.5	adjudicated-A
2114	2.2.3	agreed
2115	4.9.8	adjudicated-A
2146	5.4.3.6	agreed
2173	4.1.4.1	agreed
2184	4.9.7.1	agreed
2233	4.1.6	adjudicated-A
2255	9.6.2.6	agreed
2260	3.5.6	adjudicated-A
2280	1.6.6	agreed
2338	7.2.4.1.1	agreed
2346	8.1.3.3	adjudicated-A
2366	8.1.1.1	agreed
2372	4.8.3.7	agreed
2434	7.7.2	agreed
2443	6.7.8	agreed
2456	8.6.6	adjudicated-A
2462	4.8.3.6	adjudicated-A
2492	2.5.6.4	adjudicated-A
2497	7.2.6.3	agreed
2513	2.5.7.2	agreed
2550	6.2.1.3	adjudicated-B
2559	6.2.9	adjudicated-A
2564	6.2.8	adjudicated-B
2567	7.5.4.1	adjudicated-B
2589	1.5.3	agreed
2590	5.2.5	adjudicated-A
2610	5.2.1.2.2	agreed
2648	5.2.3.6	adjudicated-A
2649	5.2.3.3.3	adjudicated-A
2661	5.2.3.4	agreed
2777	6.3.1.7	agreed
2782	6.8.4.3	agreed
2807	8.2.8	agreed
2810	8.2.8	adjudicated-A
2819	6.8.6	agreed
2829	1.2.2.3	agreed
2849	1.2.2.4	agreed
2897	6.6.3	agreed
2899	5.6.4	agreed
2926	4.6.2.1	adjudicated-A
2942	7.5.4.1	agreed
2962	6.7.1.1	adjudicated-A
2967	6.7.1	agreed
2970	6.7.1.1	agreed
2992	4.2.6.4	adjudicated-A
2997	4.2.6.1.2	adjudicated-A
