form_key	n_sources	whitneyroots	mws	cslorig_etym	sanskritlex	mwderiv	whitneyroots_mw_L	whitneyroots_class	whitneyroots_homonym	whitneyroots_records	mws_whitney_id	mws_dcs_status	cslorig_oracle_pairs	sanskritlex_rows	mwderiv_rows	mwderiv_classes	slp1_native
bhlāśṛ	1	0	0	1	0	0				0			5	0	0		BlASf
bhojane	1	0	0	1	0	0				0			7	0	0		Bojane
bhrajj	3	1	0	1	0	1	153489	VI	1	1			7	0	2	VERB:V:1;NONE:1	Brajj
bhrakṣa	1	0	0	1	0	0				0			19	0	0		Brakza
bhram	4	1	1	1	0	1	153524	I,IV		1	534	matched	39	0	1	VERB:V:1	Bram
bhramaṇe	1	0	0	1	0	0				0			1	0	0		BramaRe
bhramu	1	0	0	1	0	0				0			60	0	0		Bramu
bhransu	1	0	0	1	0	0				0			9	0	0		Bransu
bhranśa	1	0	0	1	0	0				0			1	0	0		BranSa
bhranśu	1	0	0	1	0	0				0			19	0	0		BranSu
bhrasaja	1	0	0	1	0	0				0			1	0	0		Brasaja
bhrasja	1	0	0	1	0	0				0			138	0	0		Brasja
bhraṃś	4	1	1	1	0	1	153448	I,IV		1	533	matched	16	0	1	VERB:V:1	BraMS
bhraṇ	2	0	0	1	0	1				0			1	0	1	VERB:V:1	BraR
bhraṇa	1	0	0	1	0	0				0			2	0	0		BraRa
bhrejṛ	1	0	0	1	0	0				0			2	0	0		Brejf
bhreṣ	4	1	1	1	0	1	153856	I		1	537	matched	2	0	1	VERB:V:1	Brez
bhreṣṛ	1	0	0	1	0	0				0			2	0	0		Brezf
bhruḍa	1	0	0	1	0	0				0			5	0	0		Bruqa
bhrāj	4	1	1	1	0	1	153678	I	1	1	535	matched	17	0	2	VERB:V:1;f:1	BrAj
bhrāśṛ	1	0	0	1	0	0				0			4	0	0		BrASf
bhrī	4	1	1	1	0	1	153766	IX		1	536	matched	4	0	1	VERB:V:1	BrI
bhrūṇa	2	0	0	1	0	1				0			3	0	11	m:3;n:2;m:f:n:2;f:2;m:f#GnI:n:1	BrURa
bhuj	4	1	1	1	0	1	151217,151348	VI,VII	1,3	2	524,525	homonym_shared	197	0	8	VERB:V:2;m:f:n:2;m:2;SEE:1;f:1	Buj
bhur	4	1	1	1	0	1	151434			1	526	matched	4	0	1	VERB:V:1	Bur
bhuraj	2	0	1	0	0	1				0	527	matched	0	0	1	VERB:V:1	
bhuraṇa	2	0	0	1	0	1				0			1	0	1	m:f:n:1	BuraRa
bhuvaḥ	1	0	0	1	0	0				0			54	0	0		BuvaH
bhyas	3	0	1	1	0	1				0	532	matched	1	0	1	VERB:V:1	Byas
bhyasa	2	0	0	1	0	1				0			6	0	1	NONE:1	Byasa
bhā	4	1	1	1	0	1	149418	II	1	1	516	matched	134	0	24	m:11;m:f:n:4;f:3;n:3;SEE:2	BA
bhāja	1	0	0	1	0	0				0			3	0	0		BAja
bhām	3	0	1	1	0	1				0	517	unmatched	56	0	1	VERB:V:1	BAm
bhās	4	1	1	1	0	1	150552	I	1	1	519	matched	38	0	41	m:16;n:10;m:f:n:4;NONE:4;f:3	BAs
bhāsṛ	1	0	0	1	0	0				0			13	0	0		BAsf
bhāṣ	4	1	1	1	0	1	150479	I	1	1	518	matched	53	0	2	VERB:V:1;NONE:1	BAz
bhī	4	1	1	1	0	1	150969	I,III,X	1	1	523	matched	116	0	4	m:f:n:2;VERB:V:1;f:1	BI
bhū	4	1	1	1	0	1	151456	I	1	1	528	matched	677	0	201	m:102;f:42;n:36;m:f:n:8;m:f#A:4	BU
bhūprayogaḥ	1	0	0	1	0	0				0			1	0	0		BUprayogaH
bhūtārthe	1	0	0	1	0	0				0			1	0	0		BUtArTe
bhūṣ	4	1	1	1	0	1	152466	I		1	529	matched	47	0	1	VERB:V:1	BUz
bhṛ	4	1	1	1	0	1	152494	I,II,III	1	1	530	matched	41	0	11	m:4;f:3;VERB:V:1;SEE:1;ICF:BrU:1	Bf
bhṛjj	2	0	1	0	0	1				0	531	matched	0	0	2	SEE:1;NONE:1	
bhṛjī	1	0	0	1	0	0				0			26	0	0		BfjI
bhṛś	2	0	0	1	0	1				0			3	0	1	VERB:V:1	BfS
bhṛśi	1	0	0	1	0	0				0			10	0	0		BfSi
bhṛśu	1	0	0	1	0	0				0			18	0	0		BfSu
bhṛḍa	1	0	0	1	0	0				0			4	0	0		Bfqa
bhṛṣu	1	0	0	1	0	0				0			9	0	0		Bfzu
bhṝ	2	0	0	1	0	1				0			13	0	1	VERB:V:1	BF
bid	2	0	0	1	0	1				0			3	0	1	VERB:V:1	bid
bidi	1	0	0	1	0	0				0			12	0	0		bidi
bil	2	0	0	1	0	1				0			29	0	1	VERB:V:1	bil
bind	2	0	0	0	1	1				0			0	5	1	VERB:V:1	
bis	2	0	0	1	0	1				0			11	0	1	VERB:V:1	bis
biṭa	1	0	0	1	0	0				0			14	0	0		biwa
bleṣka	2	0	0	1	0	1				0			12	0	1	m:1	blezka
bloṭ	1	0	0	0	1	0				0			0	2	0		
blunder (?)	1	0	0	0	1	0				0			0	1	0		
blī	2	0	1	0	0	1				0	503	unmatched	0	0	2	NONE:1;VERB:V:1	
boast	1	0	0	0	1	0				0			0	1	0		
boil	1	0	0	0	1	0				0			0	1	0		
break	1	0	0	0	1	0				0			0	4	0		
break, pain	1	0	0	0	1	0				0			0	1	0		
breathe	1	0	0	0	1	0				0			0	1	0		
brust	1	0	0	0	1	0				0			0	1	0		
brū	4	1	1	1	0	1	147490	II		1	502	matched	22	0	1	VERB:V:1	brU
budh	4	1	1	1	0	1	145569	I,IV	1	1	497	matched	116	0	2	VERB:V:1;m:f:n:1	buD
budhir	1	0	0	1	0	0				0			10	0	0		buDir
bugi	1	0	0	1	0	0				0			3	0	0		bugi
bukka	2	0	0	1	0	1				0			10	0	3	m:f#A:f#I:n:1;m:1;m:f:1	bukka
bul	3	0	1	1	0	1				0	498	unmatched	3	0	1	VERB:V:1	bul
bunch	1	0	0	0	1	0				0			0	2	0		
bundir	1	0	0	1	0	0				0			23	0	0		bundir
burn	1	0	0	0	1	0				0			0	8	0		
burn, ṛlame	1	0	0	0	1	0				0			0	2	0		
burst	1	0	0	0	1	0				0			0	3	0		
bus	2	0	0	1	0	1				0			13	0	1	VERB:V:1	bus
busta	2	0	0	1	0	1				0			6	0	1	m:n:1	busta
buy	1	0	0	0	1	0				0			0	2	0		
bā	1	0	0	1	0	0				0			3	0	0		bA
bādh	4	1	1	1	0	1	144318	I		1	496	matched	38	0	1	VERB:V:1	bAD
bādhṛ	1	0	0	1	0	0				0			5	0	0		bADf
bāhulakena	1	0	0	1	0	0				0			1	0	0		bAhulakena
bāhulakāt	1	0	0	1	0	0				0			7	0	0		bAhulakAt
bāhulyāt	1	0	0	1	0	0				0			5	0	0		bAhulyAt
bāhṛ	1	0	0	1	0	0				0			12	0	0		bAhf
bāḍṛ	1	0	0	1	0	0				0			12	0	0		bAqf
bṛh	4	1	1	1	0	1	146034,146037	I,VI	1,2	2	500,501	unmatched	10	0	4	VERB:V:3;SEE:1	bfh
bṛha	1	0	0	1	0	0				0			24	0	0		bfha
bṛhi	1	0	0	1	0	0				0			44	0	0		bfhi
bṛhū	1	0	0	1	0	0				0			5	0	0		bfhU
bṛṃh	2	0	1	0	0	1				0	499	matched	0	0	3	VERB:V:2;NONE:1	
ca	2	0	0	1	0	1				0			3	0	7	m:4;NONE:1;ind:1;m:f:n:1	ca
cade	1	0	0	1	0	0				0			1	0	0		cade
cadi	1	0	0	1	0	0				0			4	0	0		cadi
caha	1	0	0	1	0	0				0			43	0	0		caha
cak	3	0	1	1	0	1				0	211	matched	31	0	1	VERB:V:1	cak
cakās	3	0	1	1	0	1				0	212	matched	1	0	2	VERB:V:1;m:f:n:1	cakAs
cakāsṛ	1	0	0	1	0	0				0			35	0	0		cakAsf
cakṣ	3	0	1	1	0	1				0	213	matched	41	0	1	VERB:V:1	cakz
cakṣiṅ	1	0	0	1	0	0				0			90	0	0		cakziN
cal	4	1	1	1	0	1	72587	I		1	223	matched	109	0	1	VERB:V:1	cal
calane	1	0	0	1	0	0				0			1	0	0		calane
cam	3	0	1	1	0	1				0	219	matched	11	0	1	VERB:V:1	cam
camu	2	0	0	1	0	1				0			94	0	1	NONE:1	camu
can	4	1	1	1	0	1	71515		2	1	217	matched	2	0	2	VERB:V:2	can
cana	2	0	0	1	0	1				0			86	0	1	ind:1	cana
cand	3	0	1	1	0	1				0	218	matched	4	0	1	VERB:V:1	cand
capa	2	0	0	1	0	1				0			62	0	1	NONE:1	capa
capi	1	0	0	1	0	0				0			1	0	0		capi
car	4	1	1	1	0	1	72173	I		1	220	matched	395	0	1	VERB:V:1	car
caraṇya	2	0	0	1	0	1				0			1	0	2	VERB:N:1;m:f:n:1	caraRya
carba	1	0	0	1	0	0				0			1	0	0		carba
carc	4	1	1	1	0	1	72401	I,X		1	221	unmatched	86	0	1	VERB:V:1	carc
carcca	1	0	0	1	0	0				0			2	0	0		carcca
carry	1	0	0	0	1	0				0			0	1	0		
carv	4	1	1	1	0	1	72562	I,X		1	222	matched	8	0	1	VERB:V:1	carv
carvva	1	0	0	1	0	0				0			3	0	0		carvva
