lane	kewa_seq	vol	page	heading_idx	kewa_slp1	match_basis	pwg_key1	witness	n_candidates	lemma_route	routes_agree	flags
modern-IE	8290	III	349	0	SIDaH	unmatched			0			
modern-IE	8291	III	349	0	SInaH	sandhi/diacritic-normalized	SIna	rule	1			
modern-IE	8292	III	349	0	SInaH	sandhi/diacritic-normalized	SIna	rule	1			
modern-IE	8293	III	350	0	SIpaTaH	unmatched			0			
modern-IE	8294	III	350	0	SIpAlA	unmatched			0			bound-prefix-or-stem
modern-IE	8295	III	350	0	SIParaH	sandhi/diacritic-normalized	SIPara	rule	1	SIPara	1	
modern-IE	8296	III	350	0	SIPAlikA	exact	SIPAlikA	PWG-key1	1			
modern-IE	8297	III	350	0	SIBam	exact	SIBam	PWG-key1	1	SIBam	1	
modern-IE	8298	III	350	0	SIyate	unmatched			0			
modern-IE	8299	III	350-351	0	SIraH	sandhi/diacritic-normalized	SIra	rule	1			
modern-IE	8300	III	351	0	SIraH	sandhi/diacritic-normalized	SIra	rule	1			
modern-IE	8301	III	351	0	SIriH	unmatched			0			
modern-IE	8301	III	351	1	SIrI	unmatched			0			
modern-IE	8302	III	351	0	SIrI	unmatched			0			
modern-IE	8302	III	351	1	SIrin	exact	SIrin	PWG-key1	1			bound-prefix-or-stem
modern-IE	8303	III	351	0	SIrzam	sandhi/diacritic-normalized	SIrza	rule	1	SIrza	1	
modern-IE	8303	III	351	1	SIrzaktiH	sandhi/diacritic-normalized	SIrzakti	rule	1			
modern-IE	8304	III	351	0	SIlam	sandhi/diacritic-normalized	SIla	rule	1	SIla	1	
modern-IE	8305	III	351	0	SIlaH	sandhi/diacritic-normalized	SIla	rule	1	SIla	1	
modern-IE	8306	III	351	0	SIvarI	unmatched			0			
modern-IE	8306	III	351	1	SIvan	exact	SIvan	PWG-key1	1			bound-prefix-or-stem
modern-IE	8307	III	351	0	SIzwAsaH	unmatched			0			
modern-IE	8308	III	352	0	SukaH	sandhi/diacritic-normalized	Suka	rule	1	Suka	1	
modern-IE	8309	III	352	0	SuktaH	sandhi/diacritic-normalized	Sukta	rule	1	Sukta	1	
modern-IE	8310	III	352-353	0	SuktiH	sandhi/diacritic-normalized	Sukti	rule	1	Sukti	1	
modern-IE	8311	III	353	0	SukraH	sandhi/diacritic-normalized	Sukra	rule	1	Sukra	1	
modern-IE	8312	III	353	0	SukziH	sandhi/diacritic-normalized	Sukzi	rule	1			
modern-IE	8313	III	353	0	SuNgaH	sandhi/diacritic-normalized	SuNga	rule	1			
modern-IE	8314	III	353	0	SuNgA	inflected-form->stem	SuNga	dcs	1	SuNga	same-route	
modern-IE	8315	III	353	0	Suc	exact	Suc	PWG-key1	1	Suc	1	bound-prefix-or-stem
modern-IE	8315	III	353	1	Suca	exact	Suca	PWG-key1	1	Suca	1	bound-prefix-or-stem
