slp1	hom	sense_id	first_era	bucket_via	marginal	n_cites	n_dateable	att_sense_no	att_block	att_earliest	att_latest	conflict	cause	verdict	adjudicated_era	notes
nizWa		2g	early-medieval	hand:class	1	2	1	2	1	-400	1200	0	ok	agree	early-medieval	
nizWa		2h	classical	dharmamitra	0	3	3	2	1	-400	1200	0	ok	agree	classical	
pARqu		1	vedic	dcs	0	36	23	1	1	-800	1250	0	ok	agree	vedic	
pARqu		2a	late-medieval	hand:class	1	3	1	2	1	80	1830	0	ok	agree	late-medieval	
pARqu		2b	late-medieval	hand:class	1	2	1	2	1	80	1830	0	ok	agree	late-medieval	
pARqu		2c	late-medieval	hand:class	1	2	1	2	1	80	1830	0	ok	agree	late-medieval	
pARqu		2d	epic-sutra	dcs+dharmamitra	0	20	17	2	1	80	1830	0	ok	agree	epic-sutra	
pARqu		2e	epic-sutra	dharmamitra	1	2	1	2	1	80	1830	0	ok	agree	epic-sutra	
pARqu		2f			0	1	0	2	1	80	1830	0	ok	agree		
pARqu		2g	early-medieval	hand:class	1	2	1	2	1	80	1830	0	ok	agree	early-medieval	
pARqu		2h			0	1	0	2	1	80	1830	0	ok	agree		
pARqu		2i	classical	dharmamitra	1	3	1	2	1	80	1830	0	ok	agree	classical	
pARqu		3	late-medieval	hand:class	1	2	1	3	1	1830	1830	0	ok	agree	late-medieval	
pAli		10	classical	dharmamitra	0	5	3	10	1	1150	1200	0	ok	agree	classical	
pAli		11	early-medieval	hand:class	1	2	1	11	1	1150	1200	0	ok	agree	early-medieval	
pAli		12	epic-sutra	hand:class	0	3	2	12	1	-400	1150	0	ok	agree	epic-sutra	
pAli		13	late-medieval	hand:class	1	3	1	13	1	1200	1830	0	ok	agree	late-medieval	
pAli		14	classical	dharmamitra	1	1	1	14	1	550	550	0	ok	agree	classical	
pAli		15	late-medieval	hand:class	1	2	1	15	1	1830	1830	0	ok	agree	late-medieval	
pAli		2	epic-sutra	dharmamitra	0	4	2	2	1	80	1150	0	ok	agree	epic-sutra	
pAli		3	classical	dharmamitra	0	8	5	3	1	200	1830	0	ok	agree	classical	
pAli		4	early-medieval	dharmamitra+hand:class	0	5	5	4	1	950	1150	0	ok	agree	early-medieval	
pAli		5	classical	dharmamitra	0	5	4	5	1	450	1200	0	ok	agree	classical	
pAli		6	classical	dharmamitra	0	3	2	6	1	450	1200	0	ok	agree	classical	
pAli		7	early-medieval	hand:class	1	2	1	7	1	1150	1150	0	ok	agree	early-medieval	
pAli		8	classical	dharmamitra	0	2	2	8	1	1150	1150	0	ok	agree	classical	
pAli		9	early-medieval	hand:class	1	2	1	9	1	1150	1200	0	ok	agree	early-medieval	
pAta	2	10			0	1	0	10	1	None	None	0	ok	agree		
pAta	2	1a	epic-sutra	dcs+dharmamitra	0	3	2	1	1	80	80	0	ok	agree	epic-sutra	
pAta	2	1c	early-medieval	dharmamitra	1	1	1	1	1	80	80	0	ok	agree	early-medieval	
pAta	2	2a	vedic	dcs	0	49	43	2	1	-400	1400	0	ok	agree	vedic	
pAta	2	2b	epic-sutra	dcs	0	3	2	2	1	-400	1400	0	ok	agree	epic-sutra	
pAta	2	2c	classical	dharmamitra	0	3	3	2	1	-400	1400	0	ok	agree	classical	
pAta	2	3	classical	dharmamitra	0	2	2	3	1	550	550	0	ok	agree	classical	
