source_key	class	mintable	resolved_same_source	no_locus_same_source	top_shapes	expansion	example_miss	example_hit	example_hit_href
ŚRUT	source	21	0	2	plain=21	ŚRUTABODHA in der Zeitschrift für die Kunde des Morgenlan- des, IV, S. 60 fgg. Ein dabeist	<ls>ŚRUT. 18.</ls>		
ŚĀK	format	21	522	4	plain=21	ŚĀKUNTALA, das Drama in der Ausgabe von BÖHTLINGK (GILD. Bibl. 191). Eine einfache Zahl be	<ls>ŚĀK. CH. 16,3.</ls>	<ls>ŚĀK. 62.</ls>	https://sanskrit-lexicon-scans.github.io/shakuntala/app1?62
CAMPAKA	source	20	0	0	plain=20		<ls>CAMPAKA 126</ls>		
Journ	source	20	0	0	plain=17;multi_locus=2;roman=1		<ls>Journ. of the As. Soc. of B. IV, Pl. XL, Z. 6. 7.</ls>		
Sch	source	20	0	0	plain=20	Scholiast.	<ls>Sch. 6,4,49</ls>		
VAJRACCH	source	20	0	0	plain=17;range_fgg=2;multi_locus=1		<ls>VAJRACCH. 28,14</ls>		
INDR	source	19	0	0	plain=18;multi_locus=1	INDRALOKĀGAMANA in BOPP'S Ardschuna's Reise zu Indra's Him- mel u. s. w.	<ls>INDR. 1,12.</ls>		
KENOP	source	19	0	0	plain=19	KENOPANIṢAD in der Bibliotheca indica.	<ls>KENOP 19.</ls>		
MĀN	source	19	0	0	plain=15;multi_locus=3;range_fgg=1	? [Cologne Addition]	<ls>MĀN. ŚR. 1,3,5. 7,5</ls>		
ṢAḌV	source	19	0	0	plain=19	? [Cologne Addition]	<ls>ṢAḌV. BR. 2,4.</ls>		
HEM	source	18	0	7	plain=18	HEMACANDRA ? [Cologne Addition]	<ls>HEM. PAR. 1,380</ls>		
KĀRAṆḌ	source	18	0	0	multi_locus=9;plain=8;range_fgg=1		<ls>KĀRAṆḌ. 85,8. 86,8</ls>		
MĀLATĪM	source	18	0	0	plain=16;ed_variant=2	? [Cologne Addition]	<ls>MĀLATĪM. 2,12.</ls>		
S	source	18	0	0	roman=18		<ls>S I,196,6.</ls>		
UTTARAR	source	18	0	0	plain=17;range_fgg=1	? [Cologne Addition]	<ls>UTTARAR. 110,1 (148,16).</ls>		
VEDĀNTAS	source	18	0	3	plain=17;multi_locus=1	VEDĀNTASĀRA, ed. Calc. (Gild. Bibl. 279).	<ls>VEDĀNTAS. (Allah.) No. 71.</ls>		
AV	format	17	1199	11	plain=17	ATHARVAVEDASAM̃HITĀ, herausg. von R. ROTH und W. D. WHITNEY. Berlin bei F. DÜMMLER. 1855. 	<ls>AV. PAIPP. 20,2,2</ls>	<ls>AV. 9,5,12.</ls>	https://sanskrit-lexicon.github.io/avlinks/avhymns/av09.005.html#av09.005.12
SUND	source	17	0	0	plain=17	SUNDOPASUNDOPĀKHYĀNA, ed. BOPP (GILD. Bibl. 97).	<ls>SUND. 3,3.</ls>		
Divyāvad	source	16	0	0	plain=16		<ls>Divyāvad. 446,25.</ls>		
BHĀVAPR	source	15	0	0	plain=13;range_fgg=2	BHĀVAPRAKĀŚA, ein medic. Wörterbuch; nach Anführungen im ŚKDR.	<ls>BHĀVAPR. 3,21,38</ls>		
PRASANNAR	source	15	0	0	plain=13;multi_locus=2	? [Cologne Addition]	<ls>PRASANNAR. 66,16</ls>		
AIT	format	14	407	2	plain=14	? [Cologne Addition]	<ls>AIT. UP. 1,4.</ls>	<ls>AIT. BR. 2,16.</ls>	https://sanskrit-lexicon-scans.github.io/aitbr/app1?2,16
GṚHY	source	14	0	0	plain=9;multi_locus=5	? [Cologne Addition]	<ls>GṚHY. 1,3.</ls>		
HEMĀDRI	source	14	0	0	plain=8;multi_locus=6	? [Cologne Addition]	<ls>HEMĀDRI 1,35,20</ls>		
HIḌ	source	14	0	0	plain=12;multi_locus=2	HIḌIMBAVADHA in BOPP'S Ardschuna's Reise zu Indra's Himmel, nebst anderen Episoden des Mah	<ls>HIḌ. 2,24. 4,27.</ls>		
NALOD	source	14	0	2	plain=14	? [Cologne Addition]	<ls>NALOD. 2,52.</ls>		
Nachtr	source	14	0	0	plain=14		<ls>Nachtr. 4</ls>		
SCHL	source	14	0	14	plain=14	? [Cologne Addition]	<ls n="SCHL. 2,">7,18</ls>		
ŚAṂK	source	14	0	63	plain=12;multi_locus=2	ŚAṂKARA (ein Scholiast des ŚĀKUNTALA) und ŚAM̃- KARĀCĀRYA.	<ls>ŚAṂK. zu BĀDAR. 2,2,10</ls>		
JAIM	source	13	0	1	plain=12;multi_locus=1	JAIMINI (The Aphorisms of the Mímánsá Philosophy by Yai- mini. With extracts from the comm	<ls>JAIM. 1,32</ls>		
SIDDH	source	13	0	40	plain=12;range_fgg=1	? [Cologne Addition]	<ls>SIDDH. K. 168,b,4. 5</ls>		
UTTARARĀMAC	source	13	0	0	plain=13	= ? [Cologne Addition]	<ls>UTTARARĀMAC. 64,10</ls>		
HALL	source	12	0	4	plain=12	A contribution towards an index to the Bibliography of the Indian philosophical systems. B	<ls>HALL 118.</ls>		
MUIR	source	12	0	0	plain=6;roman=6	? [Cologne Addition]	<ls>MUIR, ST. (2te Aufl.) 1,509,9.</ls>		
MÜLLER	source	12	0	0	plain=11;trailing_prose=1	? [Cologne Addition]	<ls>MÜLLER, SL. 178.</ls>		
BHĀṢĀP	source	11	0	0	plain=11	BHĀṢĀPARICCHEDA nach der Ausgabe von RÖER in der Bibliotheca indica.	<ls>BHĀṢĀP. 67</ls>		
H	format	11	212	39	plain=10;roman=1	HEMACANDRA'S ABHIDHĀNACINTĀMAṆI, ein systematisch angeordnetes synonymisches Lexicon. Hera	<ls>H 29,47.</ls>	<ls>H. 1505.</ls>	https://sanskrit-lexicon-scans.github.io/abch2/app1?1505
HARṢAC	source	11	0	0	plain=9;ed_variant=1;multi_locus=1		<ls>HARṢAC. 126,9</ls>		
Āpast	source	11	0	0	plain=10;multi_locus=1		<ls>Āpast. 1,25,2. 7.</ls>		
ŚATR	source	11	0	0	plain=11	ŚATRUM̃JAYAMĀHĀTMYA, nach den von A. WEBER herausgegebe- nen Fragmenten in den Abhandlunge	<ls>ŚATR. 14,245.</ls>		
SOM	source	10	0	0	plain=10	? [Cologne Addition]	<ls>SOM. NALA 73.</ls>		
ŚĀNTIŚ	source	10	0	0	plain=10	ŚIHLANA'S ŚĀNTIŚATAKA in HAEBERLIN'S Anthology, S. 410. fgg.	<ls>ŚĀNTIŚ. 4,17.</ls>		
Mahāvy	source	9	0	0	plain=8;multi_locus=1		<ls>Mahāvy. 81,5.</ls>		
NYĀYAS	source	9	0	0	plain=6;multi_locus=3	? [Cologne Addition]	<ls>NYĀYAS. 1,1,32.</ls>		
NĪLAK	source	9	0	35	plain=7;range_fgg=1;multi_locus=1	A rational refutation of the Hindu philosophical systems by Nehemiah Nīlakaṇṭha, Śāstrí Go	<ls>NĪLAK. 160.</ls>		
VP	source	9	0	4	plain=9	VIṢṆUPURĀṆA. Es wird die WILSON'sche Uebersetzung (GILD. Bibl. 133) citirt.	<ls>VP. 4,2,11</ls>		
ŚR	source	9	0	0	plain=6;multi_locus=3	? [Cologne Addition]	<ls>ŚR. 9,12,11</ls>		
GAUT	source	8	0	19	plain=7;multi_locus=1		<ls>GAUT. 15,18</ls>		
Kauṭ	source	8	0	0	plain=7;roman=1		<ls>Kauṭ. 37,7.</ls>		
Kir	source	8	0	0	roman=4;plain=4		<ls>Kir. IX,11.</ls>		
Maitr	source	8	0	0	plain=8		<ls>Maitr. S. 4,6,7</ls>		
RĀJAN	source	8	0	1	plain=8	RĀJANIRGHAṆṬA, ein medicinisches Wörterbuch; nach An- führungen im ŚKDR.	<ls>RĀJAN. 5,28.</ls>		
WILSON	source	8	0	1	plain=6;range_fgg=1;ibid=1	? [Cologne Addition]	<ls>WILSON, Sel. Works 1,169. fg.</ls>		
ĪŚOP	source	8	0	0	plain=8	ĪŚOPANIṢAD in der Bibliotheca indica.	<ls>ĪŚOP. 15.</ls>		
DAŚAR	source	7	0	0	plain=6;multi_locus=1	The Daśa-Rūpa, or Hindu Canons of Dramaturgy by Dhanan- jaya. Ed. by Fitz-Edward HALL. Cal	<ls>DAŚAR. 1,10.</ls>		
GOP	source	7	0	0	plain=7	? [Cologne Addition]	<ls>GOP. BR. 1,2,2.</ls>		
