source	occurrences
Hem	2
VIVĀDAC	2
MĀLAT	2
Pūrṇabh	2
PRASAṄGĀBH	2
Dharmaśarm	2
MED	2
RATIM	2
YAJÑAD	2
LĀTY	2
Śāṅkh	2
KIRĀT	2
Kap	2
MADHYAM	2
NIDĀNAS	2
TĀṆḌYA-BR	2
Kaṃs	2
Kaus	2
PARIBH	2
VIṢṆUS	2
BHĀMATĪ	2
BR.)	2
KUHNʼs	2
HARAVIJAYA	2
RATNĀV	2
HALĀY	2
BAUDH	2
KĀTY	2
AGNI-P	2
Text	2
ZDMG	2
ŚRĪKAṆṬHAC	2
Darpad	2
SUBHĀṢITĀV	2
Govardh	2
VARARUCI	1
LASSEN	1
INDṚ	1
JĀBĀLOP	1
Med	1
CĀT	1
P	1
DĀYABH	1
KĀTHOP	1
Daśak	1
Pischel	1
UTPALA	1
TARKASAM̃GR	1
KṢURIKOP	1
MUDHĀR	1
PAÑCAT	1
MAHĀVASTU	1
YOGAYĀTRĀ	1
M	1
AŚOKĀVAD	1
SMARADĪP	1
BHĀṬṬ	1
UPAL	1
KĀVYA-PR	1
231,16	1
SĀṂKHYAPR	1
15	1
MBH	1
Uttamac	1
CANDRAKĪRTI	1
MAHĀN	1
ARYABH	1
1,111,3	1
NĀṬYAŚ	1
BHAR	1
UP	1
WINDISCHMANN	1
KAURAP	1
KĀVYAPR	1
NYĀYAM	1
Uttarar	1
IL	1
BHĀTUP	1
RĀJA	1
HARIR	1
BRAHMOP	1
NIDĀNA	1
Kāṭh	1
Kauṣ	1
Kāty	1
KṚṢIS	1
YĀJN	1
Viṣṇubh	1
KAT	1
ebend	1
UPAK	1
KATHOP	1
PRB	1
{{ŚR.1,8,4.9,2,4.->MĀN.ŚR.1,8,4.9,2,4.||20160118|Jim	1
Gopāl	1
Kuhn's	1
Caraka	1
Suśr	1
YAJÑADATTAV	1
JYOT	1
{{MEGH	1
{{‹ed.›	1
Kār	1
YANTRĀDHY	1
1,12,a	1
PRATYABDAŚ	1
SPAṢṬĀDH	1
TRIPR	1
TĀRAN	1
GOLĀDHY	1
BHADRAB	1
VIKR	1
DH	1
AṢṬĀV	1
LASS	1
J	1
NĀGĀN	1
KṚṢṆAJ	1
BHOJAPRAB	1
DHŪRTAN	1
KUHNʼS	1
AŚNA	1
WISE	1
VĀGBH	1
Spruch	1
MĀṆḌ	1
MANTRABR	1
VṚDDHACĀṆ	1
BHĀM	1
Amit	1
Samay	1
NIRṆAYAS	1
B	1
Par	1
Kalāv	1
Mudrār	1
RATNAM	1
Sizzungsberichte	1
Kaṭhop	1
SUPARṆ	1
Vaij	1
