source_key	citation_count
WILSONʼs SĀṂKHYAK. S	2
Berichte der k. s	2
MÜLLER, St	2
ROTH, NIR. Einl. XII	2
ŚIVASTOTRA	2
MUIR, Sanskrit Texts, I,	2
VEDĀNTAS.(Allah.) No	2
NĀRADAʼs PAÑCARĀTRA	2
BHOJAPRAB	2
KÖPPEN, I,	2
Bull. de lʼAcad. Imp	2
WEBER, Nakṣatra	2
ed. ST	2
YAJÑADATTAV	2
Zeitschr. f. vgl. Spr	2
NĀRADAʼs DHARMAŚ	2
Index zu HALĀY	2
II, S	2
Mém. sur lʼInde	2
a. a. O	2
ROTH, NIR. LI	2
SCHÜTZʼs Uebers	2
y	2
(S	2
ed. TROYER	2
Breslauer Programm	2
AUFRECHT, UṆĀDIS. Ind	2
TARKASAṂGR	2
ROTH, Z. L. u	2
HALL, VĀSAVAD. Einl. S	2
WILSON, Sel. spec. of	2
ed. Pol	2
Einl. zum ṚV	2
, No	2
Calc. Ausgg	2
ed. COWELL	2
Bibl. indica	2
Journ. of the R	2
lith. Ausg. des MAHĀBH	2
PISCHEL, De gramm. pr	2
edd. Bomb	2
ROTH, NIR. XXIII	2
A Catal. of Skt	2
Zeitschrift für vergl. Sprachf	1
VIJÑĀNEŚVARA	1
Mém. de lʼAcad. Imp	1
ARHANT	1
JAINA	1
ROTH, NIR. XLVII	1
Erläut	1
XLIII	1
Abh. d. Königl. Ak	1
Zeitschr. d. d. m	1
S. XLII	1
HAUGHTON, a Dict. Beng	1
ROTH, Erläut. z. NIR	1
Anm	1
ebend. I,	1
VARARUCI,	1
Erklärung in	1
ROTH, NIR. XXXVII. fgg	1
Erl	1
Bullet. hist.-phil. II,	1
BÖHTLINGK, Ueber die Sprache	1
ROTH, Erl. zum NIR	1
ROTH, Einl. zum NIR	1
Vorrede zum AIT. BR	1
XXVIII	1
Halleʼsche Allg. Lit. Zeit	1
STENZLER, S. V	1
und	1
HALĀYUDHA	1
SETUS. ebend. No	1
XXIV. XXXII	1
GAUDAPĀDA	1
Vorrede zum VP. XLIII	1
BHĀṢYA	1
Mém. VI sér. I,	1
Erll. zu NIR. p	1
III	1
ROTH, NIR. XLVI, N	1
XLVIII	1
Einl. zum SV. XVI	1
ROER	1
die Ausg. von	1
MBH., Kap	1
Einl. z. ṚV. p	1
, N	1
W. D. WHITNEY	1
IL	1
Nachtrags zum YONIGRANTHA	1
Erll. zum NIRUKTA p	1
ROTH, NIR. XI	1
F. NEVEʼs Essay sur	1
ROTH, NIR. p. LXVII	1
Erll. zu NIR	1
GILD., Scriptorum Arabum etc	1
JAYARĀMA	1
KĀṬAV	1
Pr	1
KĀLIKĀ-P., Kap	1
STENZLER, De lex. sanscr	1
Calc. Ausg	1
POTT, Die quin. u	1
YĀJÑIKAD	1
Bullet. hist.-phil. I,	1
Asiatischen Museum der Kais	1
YĀJÑIKAD. PADDH. zu KĀTY	1
P., Vārtt	1
Māgadhī übersetzt worden, London	1
CVII	1
während	1
Zur G. u. L	1
deutsche Uebers. S	1
Vorr. zum DHĀTUP. v	1
Vol. IV der Bibl	1
LVII	1
Bibl. ind. ĪŚVARAKṚṢṆAʼs {#sAMKyakArikA#}	1
Bibl. ind. p	1
SCHIEFNER., Lebensb	1
Prolegg. I. fg	1
BUCHANANʼs Hdschrr	1
BERLIC, Gramm. der illir	1
BUCHANANʼs Handschrr	1
LACEPÉDE	1
ebend. Pr	1
LVIII	1
SARVOPAN	1
SCHLEICHER, Lit. Gr. S	1
VI. XVI. XCI	1
ROTH, Zur L. und	1
Jahresb. d. d. m	1
Theil I, S	1
ROTH, NIR. LII	1
KĀMĀKHYĀRŪPANIRṆAYA, Kap	1
TROYER, t. II, p	1
KĀŚĪN	1
ANUPADA-S	1
DVIVEDA	1
Verh. d. k. s	1
BOEHTL., Einl. zu P	1
SPIEGEL, Gramm. der Pārsisprache	1
KUHN, Gandharven und Kentauren	1
KUHN, die Wurzel GAF,	1
Padapāṭha zum SV	1
ṢAḌVIṂŚABR	1
BHĀSKARAʼs SIDDHĀNTAŚIROMAṆI	1
Einl. S	1
Einl. zur	1
ŚAKUNTALOPĀKHYĀNA (ed. CHEZY)	1
Journ. of the Roy	1
BENFEY, Glossar z. SV	1
BHAVA	1
, Anh. XLI	1
VṚNDĀVANAŚ	1
WINDISCHMANN, Die Philos. im	1
ebend. LXIII	1
ebend. LXII, N	1
ROTH, Erll. zu d	1
WILS., A Gloss. of	1
Prākrit MĀLATĪM	1
SPIEGEL, Liber de off	1
TARKASAṂGṚ. S	1
Monatsberichte der Königl. Preuss	1
ALBIROUNY	1
Im	1
handschriftlich auf der Tübinger	1
Tübinger Universitätsbibl	1
Einl. zum NIR. XXXIX	1
MATSYASŪKTATANTRA	1
POTTʼs Zigeuner I,	1
PURĀṆATANTRA	1
P., Einl	1
Index zum TRIK	1
Буслаева, Опытъ истор. гр	1
CXLVII	1
MIKLOS	1
ed. Calc. p	1
KÖPPEN, Rel. des Buddha	1
KAPILA-S	1
CANDRAŚEKHARA-VĀCASPATIʼs CANDANADHENUVIDHI	1
Monatsb. der K. Pr	1
KÖPPEN, Die Rel. d	1
Schl	1
Stenzler, De lexicogr. s	1
SMṚTITANTRA	1
MUIR, Sanskr. Texts, II,	1
Vollst. Gr	1
Lex. pentagl	1
RAVERTY, Dict. of Pukʼhto,	1
LVI	1
Mārkaṇḍ. P	1
p. VIII, N	1
Lot	1
S. XLI,	1
ebend. p	1
Lot. be la b	1
REINAUD, Fragments arabes et	1
Uebersetzung dieses Stückes, S	1
ad I,	1
KAVIRAU	1
Hist. de HIOUEN-THSANG	1
Stück	1
WILSONʼs Wört	1
d. St	1
ŚARÑG. PADDH	1
RUDRAYĀMALAT	1
Erll. zum NIR. S	1
Calc. Aus	1
DATTAKA-M	1
Beitr. z. vgl. Spr	1
LAGH	1
WEBER, Zwei vedische Texte	1
HĀLAY	1
MÜLLER, S. III. VI	1
Göttinger gelehrten Anzeigen	1
Berichte der phil.-hist. Cl	1
S. VIII, N	1
Calc. lith. Ausg. von	1
Einl. zum ṚV. S	1
MĀDHAVA, KĀLANIRṆAYA	1
Chambers	1
I, XLVIII	1
ANUKRAM	1
Monatsber	1
Eingang zum ṚV. PRĀT	1
Index S	1
c	1
Bull. de lʼAcad. des	1
gedr. Ausgabe (p	1
MUIR, Sanscrit Texts, I,	1
gedr. Ausg. y	1
GRIMM, Gesch. der deutschen	1
CURTIUS, Griech. Etym. I,	1
(STENZLER)	1
WEBER, Nakṣatra II,	1
th	1
Th. II, Sp	1
BHŪTAŚUDDHIPRAKARAṆA	1
Einl. zum ṚV. PRĀT	1
KUHN, Herabkunft d. Feuers,	1
PĀDMA-P., SVARGAKH	1
YAJÑADATT	1
WEBER, NAX. I,	1
JOHAENTGEN, Ueber d. Ges	1
REINAUD, Mémoire sur lʼInde	1
Oxford Essays	1
KUHN, die Herabk. des	1
Carl Graf	1
GÖRTZ, Reise um die	1
PIṄGALACCHANDAS	1
BÖHTLINGKʼs Ausg. d. P	1
PRAVARĀDHY.-P	1
Bd. III, S	1
Chrest. S	1
WILSON, Theatre of the	1
Nachschr. zu M	1
KATHĀS,	1
ebend. (S	1
STENZLERʼsche Ausg	1
lithographirte Ausgabe in Bombay	1
VIŚVAN	1
VI. XIII. II,	1
Cowell	1
WEBER, NAX. II,	1
BENFEYʼs Uebersetzung Bd. II,	1
Orient und Occident II,	1
lithogr. Bombay, Śaka	1
ARIEL	1
IBN HAUQAL	1
De rebus indicis etc	1
AVIC. ebend	1
Index zum HALĀY	1
KAVITĀMṚTAK	1
ḍ	1
CURTIUS, Gr. d. gr	1
HAUG, AIT. BR. S	1
Journ	1
Preface, XIX	1
DHANVANTARIʼs NIGHAṆṬU	1
Erklärern zu AK	1
Zur Lit. u. G	1
Einl. XXXIX	1
VASĀVAD	1
Compendiums des Vaiśeṣika-Systems, herausg	1
MÜLLERʼs Ausg. S	1
Progr. der Univ. Breslau	1
KUHN, Herabkunft der Feuers,	1
AṢTĀV	1
Anm. S	1
WEBER, Indische Skizzen	1
ed. LANGL. I,	1
HOMERʼs ILIAD	1
SCHLEGELʼs Uebers	1
BENFEYʼs Dict	1
STENZLER, De lexicogr. sanscr	1
DURGĀSTAVA	1
ŚIVARAH	1
=	1
UTPALINĪKOŚA	1
BRAHMASIDDH	1
Einl. zu NIR. XXIII	1
HALL, Einl. zu DAŚAR	1
Allah. No	1
Kow. Mong. Wört	1
Addenda et Corrigenda	1
SIDDHĀNTAŚIR., GOLĀDHY	1
RUDRAYĀMALOTTARAKH	1
ebend. III,	1
GAUḌAPĀDAʼs	1
Bomb. Ausg. von	1
VIMALABODHA	1
neuere Ausg	1
b, N	1
WILSON, Sel. Works,	1
a,	1
NĪLAKAṆṬHA	1
Adhyātmar	1
edd. Bomb. und GORR	1
MAX MÜLLERʼs Grammatik §	1
AUFRECHTʼs Ausg. des HALĀY	1
PURUṢAKĀRA	1
ed. BALLANT	1
Thl	1
BHĀSKARĀCĀRYA	1
ed. Allah	1
ed. WILS	1
JAIMINIʼs BHĀRATA	1
ed. SCHL. I, XXXI	1
ebend. Ind	1
JAIMINIʼs BHĀR. ĀŚVAM	1
COWELL, Calcutta	1
a, N	1
(II,	1
CANDRAKĪRTI	1
PARĀŚARAʼs DHARMAŚ	1
Tage	1
HALL, DAŚAR. Einl. S	1
ed. LASS	1
a, No	1
Chamb	1
ed. LOIS. DESL	1
NĀRADAʼs DHARMAŚ. cod. Berol	1
HAUG, AIT. BR	1
Vorrede S. VII, Anm	1
GUPTASĀDHANATANTRA	1
Am	1
Bd. IV, S. XVIII	1
MIKLOSICH, Vgl. Gr. III,	1
Wurzeln des Altslov. S	1
Einl. S. VII	1
ROTH, Ueber den Mythus	1
HOEFER, Vom Infinitiv S	1
Zeitschr. f. d. W	1
Useful Tables	1
WARREN, KALA SANK	1
BÜHLERʼs Ausg. des PAÑCAT	1
lithogr. Ausg	1
KAṆĀDAʼs System	1
ed. (Bomb.)	1
Monatsber. d. Berl. Ak	1
ed. BÜHLER	1
ERNST KUHN, KACCĀYANAPPAKARAṆAE Specimen	1
Monatsber. der Berliner Ak	1
Kal. P	1
WILSON, Sel. Works, II,	1
WEBER, Ind. Str	1
VIṢṆUʼs SAHASRANĀMASTOTRA	1
SĀMAV. BR	1
ed. CH	1
PALLAS, Sammlung hist. Nachr	1
Минаевъ, Пратимокша-сутра	1
BURNOUF, YAŚNA S	1
handschriftlich in der Kais	1
l	1
ALAṂK. K	1
WEBER, BHAGAVATĪ	1
Gefäss	1
HALL, Introd. ebend	1
BURNOUF, BHĀG. P. I,	1
Journ. As	1
ein Lexicograph	1
citirt	1
ed. Lois	1
FOUCAUXʼs Uebersetzung	1
DURGĀCĀRYA	1
unter dem	1
ed. FOUC	1
Mrs. MANNING, Anc. and	1
NĀG	1
WEBER, Ueber das RĀMĀYAṆA	1
VARĀH.BṚH. S	1
Buddh. Trigl	1
Buch XII. fgg	1
WEBER, BHAGAV	1
CARAKA, Einl	1
STENZLER, de Lexicogr. sanscr	1
GOVARDHANA, ĀRYĀSAPT	1
ed. Bomb. I,	1
GṚHY., ed	1
einer Farbe	1
Bei den Buddhisten	1
WEBER, HĀLA	1
RĀDHĀKĀNTADEVA	1
Monatsberr. d. kön. pr	1
Erll. S	1
NYĀYAM	1
Monatsberr. d. k. pr	1
CANDRĀLOKA	1
HOEFER, Sanskrit-Lesebuch	1
DIEZ, Etym. Wört. d	1
WHITNEY, New Haven	1
V, I,	1
BURNOUFʼs Auffassung	1
Anm. auf S	1
Vierschach Monatsberr. d. K	1
ed. POL	1
Bombay	1
Vorrede	1
Pariśiṣṭa zum ṚV	1
WESTERGAARD, DHĀTUP. Einl. II	1
WILSON, Sel. WORKS	1
WEBER, RĀMAT UP	1
Le Lotus de la	1
Pandit	1
ed. BÖHTL	1
drei	1
ĀRYĀS	1
pag	1
ĀP. PRAY	1
SPEIYER	1
handschriftlich in der Pariser	1
ed. KOSEG	1
WISE, Comm	1
Hist. of MED	1
ŚĀKALYASAṂHITĀPARIŚIṢṬA	1
YOGATATTVOP	1
KṢITĪS	1
h	1
VARṆAV	1
KOPPEN	1
ROTH, YĀSKAʼs NIR. L	1
TRÜBNERʼs Record	1
daśak	1
M.,	1
Blut	1
Milch	1
Samen	1
MONTGOMERY MARTIN, Eastern India	1
Nägel	1
RAJA-TAR	1
sieben	1
Ausg	1
WILSONʼs Ausg	1
PLINIUS, H. N	1
WEBER, Indische Streifen	1
ŚVETĀŚV.UP	1
ROTH, der Atharvaveda in	1
VEDĀNTADARŚANA	1
CARR, Sanskrit Proverbs No	1
ROTHʼs Programm über den	1
Calcutta	1
lithogr. Bombay	1
Bulletin de lʼAcad. Imp	1
VIKRAMĀṄKADEVACARITA	1
