# Catalan dictionary headwords NOT found in any CDSL dictionary
# (accent- and compound-insensitive k1 match against all 43 CDSL dicts in csl-orig/v02)
# total uncovered headwords: 4680  (unique normalized keys: 4670)


## suspect-char  (126)
˜  pra-√kāṅkṣ                           	  prakANkz
āvarṇa-                                 	AvarRa
āyuḥ ṣṭoma-                             	AyuH zwoma
bhāṅgasuri-                             	BANgasuri
bhāgāntara-                             	BAgAntara
bhāgāsiddha-                            	BAgAsidDa
bhāgyopacaya-                           	BAgyopacaya
bhāvākhya-                              	BAvAKya
bhāvanātītabhāva-                       	BAvanAtItaBAva
bhāvanīkā-                              	BAvanIkA
bhīmābhirakṣita-                        	BImABirakzita
bhūtendriyātmaka-                       	BUtendriyAtmaka
bhūtendriya-                            	BUtendriya
bhūtopaghāta-                           	BUtopaGAta
bhūty-                                  	BUty
bhūṣanācchādanāśana-                    	BUzanAcCAdanASana
bhagnāṣṭhi-                             	BagnAzWi
bhakty-                                 	Bakty
bhakṣanīya-                             	BakzanIya
bhasi                                   	Basi
bhavāśā-                                	BavASA
bhavāmbodhi-                            	BavAmboDi
bhavaniya-                              	Bavaniya
bhavodbhāva-                            	BavodBAva
bhedopapatti-                           	Bedopapatti
bhej-                                   	Bej
bhṛngālī-                               	BfngAlI
bhṛngāvali-                             	BfngAvali
bhṛty-                                  	Bfty
bhṛṣṭāpūpa-                             	BfzwApUpa
bhikṣāśana-                             	BikzASana
bhikṣāyana-                             	BikzAyana
bhinnī-                                 	BinnI
bhogāpavargārtha-                       	BogApavargArTa
bhogaiśvarya-                           	BogESvarya
bhujāgendra-                            	BujAgendra
bhujaṅgāsana-                           	BujaNgAsana
bhujaṅgamā-                             	BujaNgamA
bhujaṅgendra-                           	BujaNgendra
bhujaṅginī-                             	BujaNginI
bhuvanādhvan-                           	BuvanADvan
chagī-                                  	CagI
chattri-                                	Cattri
chidrānveṣana-                          	CidrAnvezana
dhāvalita-                              	DAvalita
dhūmrāsva-                              	DUmrAsva
dharima-                                	Darima
dharmādi-                               	DarmAdi
dharmānupātin-                          	DarmAnupAtin
dhuraṃ-                                 	DuraM
dhvāstākṣa-                             	DvAstAkza
ṝd-                                     	Fd
ghaṭodaka-                              	Gawodaka
ghorāghora-                             	GorAGora
ghoṣanā-                                	GozanA
ghoṣana-                                	Gozana
īśānīśa-                                	ISAnISa
īśi-                                    	ISi
jhañjānila-                             	JaYjAnila
K paunaruktya-                          	K pOnaruktya
khaṇḍāli-                               	KaRqAli
kharataranakhāghāta-                    	KarataranaKAGAta
audañcan-                               	OdaYcan
auhoikāra-                              	OhoikAra
phanīśa-                                	PanISa
phanīśvara-                             	PanISvara
phanīndra-                              	PanIndra
phenāśman-                              	PenASman
pheruṇdin-                              	PeruRdin
pheruṇḍa-                               	PeruRqa
phuṭā-                                  	PuwA
śāṃbhavopāya--                          	SAMBavopAya
śāktopaya-                              	SAktopaya
śāla grāma-                             	SAla grAma
śāla kataṅkaṭī-                         	SAla kataNkawI
śāla kataṅkaṭa-                         	SAla kataNkawa
śālaṅkataṅkaṭa-                         	SAlaNkataNkawa
śāntodita-                              	SAntodita
śaivālāpanaya-                          	SEvAlApanaya
śaivalā-                                	SEvalA
śauḍīra-                                	SOqIra
śūlāropana-                             	SUlAropana
śaṅkhana-                               	SaNKana
śabdākheya-                             	SabdAKeya
śabdānanuviddhatā-                      	SabdAnanuvidDatA
śabdānuviddhatā-                        	SabdAnuvidDatA
śakāśana-                               	SakASana
śakāhāra-                               	SakAhAra
śakāsana-                               	SakAsana
śákar-                                  	Sakar
śalabhāsana-                            	SalaBAsana
śamādiṣaṭka-                            	SamAdizawka
śanakaís                                	Sanakais
śaraiśīkā-                              	SarESIkA
śarīrābhāsadarśana-                     	SarIrABAsadarSana
śaraṇāiṣin-                             	SaraRAizin
śareśīkā́-                              	SareSIkA
śaúdra-                                 	Saudra
śaúnaka-                                	Saunaka
śaúrya-                                 	Saurya
śavākāra-                               	SavAkAra
śavāsana-                               	SavAsana
śṛṅgāgraprahāraṇābhimukha-              	SfNgAgraprahAraRABimuKa
śiṃsumā́ra-                             	SiMsumAra
śilpopakāra-                            	SilpopakAra
śirāmbu-                                	SirAmbu
śírasi ruh-                             	Sirasi ruh
śirobhitapa-                            	SiroBitapa
śiṣtāśana-                              	SiztASana
śiṣtāśin-                               	SiztASin
ślaghin-                                	SlaGin
śliṣtārtha-                             	SliztArTa
śonā-                                   	SonA
śrīmad-                                 	SrImad
śramāpayana-                            	SramApayana
śráuṣaṭ                                 	Srauzaw
śrotrādīndriyapañcaka-                  	SrotrAdIndriyapaYcaka
śrotrākāśa-                             	SrotrAkASa
śrútkā                                  	SrutkA
śuklāpaṅga-                             	SuklApaNga
śvetāṃsuka-                             	SvetAMsuka
U sacarācara-                           	U sacarAcara
ūjanā-                                  	UjanA
Upauṇḍraka-                             	UpORqraka
Uparisaṃkhyāna-                         	UparisaMKyAna
Upráhuta-                               	Uprahuta
Upratimuhūrtam                          	UpratimuhUrtam
Usaguḍa-                                	Usaguqa
ṭhiṅṭhā-                                	WiNWA
abhāvitasmartavya-                      	aBAvitasmartavya
abhakṣin-                               	aBakzin
abhidheyārtha-                          	aBiDeyArTa
abhiśasya                               	aBiSasya
abhicodita-                             	aBicodita
abhijña tva-                            	aBijYa tva
abhijin-                                	aBijin
abhikramya-                             	aBikramya
abhilāṣā-                               	aBilAzA
abhimarśaṇa-                            	aBimarSaRa
abhiniṣcikramiṣā-                       	aBinizcikramizA
abhipṛṣṭe                               	aBipfzwe
abhipradakṣiṇa                          	aBipradakziRa
abhipravartaṇa-                         	aBipravartaRa
abhireme-                               	aBireme
abhisaṃāyukta-                          	aBisaMAyukta
abhisaṃīkṣya-                           	aBisaMIkzya
abhisaṃbaddha-                          	aBisaMbadDa
abhisaṃgamya                            	aBisaMgamya
abhisaṃgátya                            	aBisaMgatya
abhisaṃpluta-                           	aBisaMpluta
abhivlangá-                             	aBivlanga
abhuñjana-                              	aBuYjana
adhaś                                   	aDaS
adhijyautiṣa                            	aDijyOtiza
adhikāri-                               	aDikAri
adhikarma-                              	aDikarma
akhaṇḍākārākārita-                      	aKaRqAkArAkArita
akhilādhāra-                            	aKilADAra
aṅgānukula-                             	aNgAnukula
aṅgi-                                   	aNgi
aṅkāvātara-                             	aNkAvAtara
aṅkaṇa-                                 	aNkaRa
aṇimādi-                                	aRimAdi
aṇḍā-                                   	aRqA
aṇv-                                    	aRv
aśasvata-                               	aSasvata
aśiṣṭa tā-                              	aSizwa tA
aśiṣṭa tva-                             	aSizwa tva
aśrāmeṇa                                	aSrAmeRa
aśvāruddha-                             	aSvArudDa
abālapratima-                           	abAlapratima
abdāḍambara-                            	abdAqambara
abjālayā-                               	abjAlayA
abodhṛ-                                 	aboDf
acalākṛti-                              	acalAkfti
aciropanita-                            	aciropanita
adainyabhaikṣa-                         	adEnyaBEkza
adṛṣta-                                 	adfzta
advaitātmadarśana-                      	advEtAtmadarSana
advayānandarasānubhāvaka-               	advayAnandarasAnuBAvaka
advayānandarasānubhūti-                 	advayAnandarasAnuBUti
advayāsaṅgacit-                         	advayAsaNgacit
agnī-                                   	agnI
agnīndropendrayamaprajāpati-            	agnIndropendrayamaprajApati
agrāyanīya-                             	agrAyanIya
ahaṃkārādidehānta-                      	ahaMkArAdidehAnta
ahaṃkārādikāraṇatva-                    	ahaMkArAdikAraRatva
ahaṃtāmamatābhāva-                      	ahaMtAmamatABAva
ajñānopahita-                           	ajYAnopahita
ajahal-                                 	ajahal
ajighratā-                              	ajiGratA
akaṇḍārtha-                             	akaRqArTa
ákaniṣṭa-                               	akanizwa
akṛtodvaha-                             	akftodvaha
akutaś-                                 	akutaS
akuto-                                  	akuto
akṣībapippala-                          	akzIbapippala
alīpsā-                                 	alIpsA
alakṣitopaṣṭhita-                       	alakzitopazWita
alasāndra-                              	alasAndra
alavaṇā-                                	alavaRA
alpāśin-                                	alpASin
alpāpatya-                              	alpApatya
amāni-                                  	amAni
amarāhva-                               	amarAhva
amarendra-                              	amarendra
ambū-                                   	ambU
anākhyā-                                	anAKyA
anākhya-                                	anAKya
anāśaya-                                	anASaya
anādyavidyākṛtabandhamokṣaṇa-           	anAdyavidyAkftabanDamokzaRa
anāharin-                               	anAharin
anārambhaná-                            	anAramBana
anabhirodha-                            	anaBiroDa
anadhigatārthagantṛ-                    	anaDigatArTagantf
anadhigatārthagantṛtā-                  	anaDigatArTagantftA
anaṅgāri-                               	anaNgAri
anacchabuddhi-                          	anacCabudDi
anadyamāna-                             	anadyamAna
ananubhūtārtha-                         	ananuBUtArTa
ananuśiṣya                              	ananuSizya
ananuvidya                              	ananuvidya
ananuṣakta-                             	ananuzakta
anekānugata-                            	anekAnugata
anṛtāpidhāna-                           	anftApiDAna
anicais                                 	anicEs
anica-                                  	anica
anirūpya-                               	anirUpya
anirasta-                               	anirasta
anirvacya-                              	anirvacya
anityāśuciduḥkhānātman-                 	anityASuciduHKAnAtman
antaḥpurādhyākṣa-                       	antaHpurADyAkza
antarāyābhava-                          	antarAyABava
antodatta-                              	antodatta
antyāvasāyinī-                          	antyAvasAyinI
antyāvayavin-                           	antyAvayavin
anudbhūta-                              	anudBUta
anujñākṣara-                            	anujYAkzara
anujanma-                               	anujanma
anupatāpin-                             	anupatApin
anusaṃdṛśya                             	anusaMdfSya
anusaṃprāpta-                           	anusaMprApta
anusaraṇā-                              	anusaraRA
anutkrānta-                             	anutkrAnta
anuttamāmbha-                           	anuttamAmBa
anyābhāva-                              	anyABAva
anyānuṣṭhitakarman-                     	anyAnuzWitakarman
apāmarjana-                             	apAmarjana
apāramarthika-                          	apAramarTika
apahārtṛ-                               	apahArtf
apakṣīyamāṇa-                           	apakzIyamARa
apakṣepa-                               	apakzepa
áparādhi-                               	aparADi
aparāhna-                               	aparAhna
aparamārtha-                            	aparamArTa
apare-                                  	apare
aparibhāṣana-                           	apariBAzana
apariśrāma-                             	apariSrAma
aparibodha-                             	apariboDa
aparokṣānubhuti-                        	aparokzAnuButi
aparyavasāna-                           	aparyavasAna
apekṣi-                                 	apekzi
apracārin-                              	apracArin
apradāya                                	apradAya
apratighata-                            	apratiGata
apratipūjya-                            	apratipUjya
apratiyogitā-                           	apratiyogitA
apsareśa-                               	apsareSa
apsaro-                                 	apsaro
arāḍābhimukha-                          	arAqABimuKa
arthābādha-                             	arTAbADa
arthoparjana-                           	arToparjana
arūpidravyatva-                         	arUpidravyatva
araṇyaukasa-                            	araRyOkasa
arajās-                                 	arajAs
arciṣ-                                  	arciz
aruṇācala-                              	aruRAcala
áruṣi-                                  	aruzi
arvā-                                   	arvA
asāṃsiddhika-                           	asAMsidDika
asāvadhana-                             	asAvaDana
asphuta-                                	asPuta
asaṃbhāva-                              	asaMBAva
asaṅgi-                                 	asaNgi
asahoccārita-                           	asahoccArita
asakṛd-                                 	asakfd
asáu-                                   	asau
aspṛhārūpa-                             	aspfhArUpa
asrāyamāṇāka-                           	asrAyamARAka
atītānāgata-                            	atItAnAgata
atītānanusaṃdhāna-                      	atItAnanusaMDAna
atiśuddhabuddhi-                        	atiSudDabudDi
atiduḥsmara-                            	atiduHsmara
atidurbhaga-                            	atidurBaga
atiguhya-                               	atiguhya
atihiṃsakarman-                         	atihiMsakarman
atikaśmala-                             	atikaSmala
atimandagatitva-                        	atimandagatitva
atinirlajja-                            	atinirlajja
atipāpa-                                	atipApa
atiparisphuta-                          	atiparisPuta
atiprakṛṣṭa-                            	atiprakfzwa
atiḍīṇa-                                	atiqIRa
atisāye                                 	atisAye
ativāgmin-                              	ativAgmin
atiṣṭha-                                	atizWa
atyantāsaṃkīrṇa-                        	atyantAsaMkIrRa
atyulbana-                              	atyulbana
aúddālaki-                              	auddAlaki
aúdumbara-                              	audumbara
aúpamanyava-                            	aupamanyava
avairaruṣṭa-                            	avEraruzwa
avaguttha-                              	avagutTa
avahi-                                  	avahi
avakṣepana-                             	avakzepana
avapīḍya                                	avapIqya
avapiṣya                                	avapizya
avár                                    	avar
avartamāṇa-                             	avartamARa
avasphūrjita-                           	avasPUrjita
avastv-                                 	avastv
avayavāvayavin-                         	avayavAvayavin
avehi                                   	avehi
aviśeṣānupāya-                          	aviSezAnupAya
avicikitsa-                             	avicikitsa
aviditātman-                            	aviditAtman
avikāri-                                	avikAri
avinābhāvi-                             	avinABAvi
avināśi-                                	avinASi
aviveky-                                	aviveky
aviṣaṇṇa-                               	avizaRRa
avyākṛtākāśa-                           	avyAkftAkASa
avyāvṛttatva-                           	avyAvfttatva
avyavy-                                 	avyavy
avyayī-                                 	avyayI
ayogā́-                                 	ayogA
bāhyābhyantaraviṣayākṣepin-             	bAhyAByantaravizayAkzepin
bāhyākāra-                              	bAhyAkAra
bāhyākāra-                              	bAhyAkAra
bāhyānusaṃdhi-                          	bAhyAnusaMDi
bāhyāpratyaya-                          	bAhyApratyaya
bālhikā-                                	bAlhikA
bījātma-                                	bIjAtma
bījotkarṣṭṛ-                            	bIjotkarzwf
balātibalā-                             	balAtibalA
balluka-                                	balluka
balotasaha-                             	balotasaha
baḍiśā-                                 	baqiSA
barhiṇa vāja-                           	barhiRa vAja
barhiṇa vāsas-                          	barhiRa vAsas
biḍālikā-                               	biqAlikA
bodhātmakatva-                          	boDAtmakatva
bodhinī-                                	boDinI
bodhopaya-                              	boDopaya
brahmādi-                               	brahmAdi
brahmāgni-                              	brahmAgni
brahmākṛti-                             	brahmAkfti
brahmātmaikatvabodha-                   	brahmAtmEkatvaboDa
brahmātmaikatvavijñāna-                 	brahmAtmEkatvavijYAna
brahmoḍupa-                             	brahmoqupa
brahmottarapurāṇa-                      	brahmottarapurARa
cāṇura-                                 	cARura
cālyamāna-                              	cAlyamAna
cāturā-                                 	cAturA
cāṭokti-                                	cAwokti
caṇdeśvara-                             	caRdeSvara
cakrāṅkapāda-                           	cakrANkapAda
calanātmaka-                            	calanAtmaka
caraṇāvinda-                            	caraRAvinda
carmādhiṣavaṇa-                         	carmADizavaRa
ceṭīkā-                                 	cewIkA
ceṭakā-                                 	cewakA
ceṣṭāśraya-                             	cezwASraya
cikitsyamāna-                           	cikitsyamAna
cittāntaradṛśya-                        	cittAntaradfSya
dākśāyanī-                              	dAkSAyanI
dāmoṣnīṣa-                              	dAmoznIza
dāḍimī-                                 	dAqimI
dārv-                                   	dArv
daivoḍha-                               	dEvoQa
dīpopama-                               	dIpopama
dīrghāpaṅga-                            	dIrGApaNga
dac-                                    	dac
dagdhendhana-                           	dagDenDana
daíva-                                  	daiva
daívya-                                 	daivya
dakṣinācāra-                            	dakzinAcAra
dakṣināgní-                             	dakzinAgni
dakṣināgra-                             	dakzinAgra
dakṣināranya-                           	dakzinAranya
dakṣināvarta-                           	dakzinAvarta
dakṣināvartaka-                         	dakzinAvartaka
dakṣināyana-                            	dakzinAyana
dakṣinetarā-                            	dakzinetarA
dakṣinetara-                            	dakzinetara
dambhodbhāva-                           	damBodBAva
dantāntarādhiṣṭhita-                    	dantAntarADizWita
darśanākaṅkṣin-                         	darSanAkaNkzin
darśanārha-                             	darSanArha
darśanīyāṅgī-                           	darSanIyANgI
darpābhibhūta-                          	darpABiBUta
darpātman-                              	darpAtman
darpopahatacetas-                       	darpopahatacetas
daúrbhāgya-                             	daurBAgya
deśāvacchinna-                          	deSAvacCinna
dehākṣādi-                              	dehAkzAdi
devānugrahahetuka-                      	devAnugrahahetuka
devānunayin-                            	devAnunayin
devārpana-                              	devArpana
deveśu-                                 	deveSu
dṛśyāgraha-                             	dfSyAgraha
dṛśyātmatayā                            	dfSyAtmatayA
diddhiṣūpapati-                         	didDizUpapati
dolādhiruḍha-                           	dolADiruQa
dolāruḍha-                              	dolAruQa
dolayita-                               	dolayita
doṣābhāva-                              	dozABAva
doṣāropana-                             	dozAropana
dravyābhidhana-                         	dravyABiDana
droghdhavya-                            	droGDavya
droghdṛ-                                	droGdf
duḥkhājñānānantaphāla-                  	duHKAjYAnAnantaPAla
duḥkhānuṣaṅga-                          	duHKAnuzaNga
duḥkhatrayābhighāta-                    	duHKatrayABiGAta
dugdhārṇava-                            	dugDArRava
duradṛṣṭavāta-                          	duradfzwavAta
durccheda-                              	durcCeda
durcchedya-                             	durcCedya
durdṛṣa-                                	durdfza
durnirīkṣana-                           	durnirIkzana
durnirvartya-                           	durnirvartya
duṣṭāśva-                               	duzwASva
duṣṭāṣaya-                              	duzwAzaya
dvaṃdvālapa-                            	dvaMdvAlapa
dvaṃdvānabhighāta-                      	dvaMdvAnaBiGAta
dyāvābhumī-                             	dyAvABumI
dyáv-                                   	dyav
dyotir-                                 	dyotir
dyutādhyakṣa-                           	dyutADyakza
ekānekabuddhiviṣayatayā-                	ekAnekabudDivizayatayA
ekātmaka-                               	ekAtmaka
ekātmapratyayasāra-                     	ekAtmapratyayasAra
eḍikā-                                  	eqikA
ṛtv-                                    	ftv
gāṅgeśa-                                	gANgeSa
gāṅgodbheda-                            	gANgodBeda
gātropaghāta-                           	gAtropaGAta
gaulī-                                  	gOlI
gaureśa-                                	gOreSa
gūhaṇa-                                 	gUhaRa
gaḍḍārika-                              	gaqqArika
garuḍāhṛta-                             	garuqAhfta
gáu-                                    	gau
gṛhodyana-                              	gfhodyana
gláu-                                   	glau
grāhyārtha-                             	grAhyArTa
grāmādhyakṣha-                          	grAmADyakzha
gráiṣma-                                	graizma
guḍhotpanna-                            	guQotpanna
guṇāśrayatvābhāva-                      	guRASrayatvABAva
gudābhañjanika-                         	gudABaYjanika
gudāmaya-                               	gudAmaya
gudoṣṭha-                               	gudozWa
gulgulā-                                	gulgulA
gulgulita-                              	gulgulita
guptārtha-                              	guptArTa
guptendriya-                            	guptendriya
hānopāya-                               	hAnopAya
hārdī-                                  	hArdI
hāsita-                                 	hAsita
hāṭakeśana-                             	hAwakeSana
haiyaṅgava-                             	hEyaNgava
hīnānnavastraveṣa-                      	hInAnnavastraveza
haukāra-                                	hOkAra
hái                                     	hai
haímantika-                             	haimantika
hastāvapin-                             	hastAvapin
hemāmbhoruha-                           	hemAmBoruha
hetv ābhāsa-                            	hetv ABAsa
hṛdayānusārin-                          	hfdayAnusArin
hṛdyāmoda-                              	hfdyAmoda
hṛṭottara-                              	hfwottara
hiṃ                                     	hiM
hiṃāṃśu-                                	hiMAMSu
hiṃācala-                               	hiMAcala
hiṃādri-                                	hiMAdri
hiṃāga-                                 	hiMAga
hiṃāgama-                               	hiMAgama
hiṃāhati-                               	hiMAhati
hiṃāhva-                                	hiMAhva
hiṃālaya-                               	hiMAlaya
hiṃāmbhas-                              	hiMAmBas
hiṃārdita-                              	hiMArdita
hiṃārta-                                	hiMArta
hiṃāruṇa-                               	hiMAruRa
hiṃātyaya-                              	hiMAtyaya
hiṃsādi-                                	hiMsAdi
hiṃsrāhimśra-                           	hiMsrAhimSra
hradiṇī-                                	hradiRI
hutoccheśana-                           	hutocCeSana
indrahva-                               	indrahva
indriyoparamaṇa-                        	indriyoparamaRa
jaigīśavya-                             	jEgISavya
jīvac-                                  	jIvac
jñājña-                                 	jYAjYa
jñānātmanā                              	jYAnAtmanA
jñānodaya-                              	jYAnodaya
jñānopeta-                              	jYAnopeta
jñātājñāta-                             	jYAtAjYAta
jaítra-                                 	jaitra
jaívala-                                	jaivala
jakṣat-                                 	jakzat
jalādhara-                              	jalADara
jalodbhāva-                             	jalodBAva
jambhira-                               	jamBira
jambīrā-                                	jambIrA
jatīkośa-                               	jatIkoSa
jvalanā -                               	jvalanA 
kāṃdig-                                 	kAMdig
kāṇḍekṣukā-                             	kARqekzukA
kāberī-                                 	kAberI
kāberaká-                               	kAberaka
kālātita-                               	kAlAtita
kālāvacchinna-                          	kAlAvacCinna
kālatrayābādhya-                        	kAlatrayAbADya
kālikā purāṇa-                          	kAlikA purARa
kāryādhikarin-                          	kAryADikarin
kāyākāśa-                               	kAyAkASa
kāyakikā-                               	kAyakikA
kāyendriyasiddhi-                       	kAyendriyasidDi
kairāṭa-                                	kErAwa
kaivalyārtham                           	kEvalyArTam
kūlā-                                   	kUlA
kathālapa-                              	kaTAlapa
kabandhinī-                             	kabanDinI
kadrā́-                                 	kadrA
káikeya-                                	kaikeya
kalādhvan-                              	kalADvan
kalaviṅkā-                              	kalaviNkA
kalpārṇava-                             	kalpArRava
kalpitāṅga-                             	kalpitANga
kandoṭṭa-                               	kandowwa
kapī                                    	kapI
kapotā-                                 	kapotA
kapy-                                   	kapy
karaṇādhipādhipa-                       	karaRADipADipa
karaṇāśrayin-                           	karaRASrayin
karañjikā-                              	karaYjikA
karmānuga-                              	karmAnuga
kartrādibhāva-                          	kartrAdiBAva
karyāśrayin-                            	karyASrayin
kastūra-                                	kastUra
kaúmāra-                                	kaumAra
kaṭukikā-                               	kawukikA
kebuka-                                 	kebuka
kekayā-                                 	kekayA
kembūka-                                	kembUka
kṛcchātikṛchha-                         	kfcCAtikfCha
kṛṣṇāhvā-                               	kfzRAhvA
kṛṣtopta-                               	kfztopta
kiṇ-                                    	kiR
kiṭokara--                              	kiwokara
kiyac-                                  	kiyac
kláibya-                                	klaibya
kleśābhāva-                             	kleSABAva
klinda-                                 	klinda
kośādhīṣa-                              	koSADIza
kośāmraka-                              	koSAmraka
kokkora-                                	kokkora
kosātakī-                               	kosAtakI
koṣala-                                 	kozala
krakacika-                              	krakacika
kratv-                                  	kratv
kriyāntarāsakti-                        	kriyAntarAsakti
kriyātmika-                             	kriyAtmika
kuṭhīñjara-                             	kuWIYjara
kukkuṭā-                                	kukkuwA
kumbhodbhāva-                           	kumBodBAva
kumudākāra-                             	kumudAkAra
kustumburī-                             	kustumburI
kutumbaka-                              	kutumbaka
kuṭāgāra-                               	kuwAgAra
kuṭat-                                  	kuwat
kṣīṇopaya-                              	kzIRopaya
kṣapāṇī-                                	kzapARI
