L	key1	devanagari	translit	sense	pc	anchor
89	akalmAza	अकल्माष	akalmāṣa		1-0008	pc
90	akava	अकव	akava		1-0008	pc
91	akavaca	अकवच	akavaca		1-0008	pc
92	akavAri	अकवारि	akavāri		1-0008	pc
93	akavi	अकवि	akavi		1-0008	pc
94	akasmAt	अकस्मात्	akasmāt		1-0008	pc
95	akARqa	अकाण्ड	akāṇḍa		1-0009	pc
96	akARqe	अकाण्डे	akāṇḍe		1-0009	pc
97	akAma	अकाम	akāma		1-0009	pc
98	akAmakarSana	अकामकर्शन	akāmakarśana		1-0009	pc
99	akAmatas	अकामतस्	akāmatas		1-0009	pc
100	akAmatA	अकामता	akāmatā		1-0009	pc
101	akAmahata	अकामहत	akāmahata		1-0009	pc
102	akAya	अकाय	akāya		1-0009	pc
103	akAra	अकार	akāra		1-0009	pc
104	akAraRa	अकारण	akāraṇa		1-0009	pc
105	akArin	अकारिन्	akārin		1-0009	pc
106	akArRavezwakika	अकार्णवेष्टकिक	akārṇaveṣṭakika		1-0009	pc
107	akArya	अकार्य	akārya		1-0009	pc
108	akAryakArin	अकार्यकारिन्	akāryakārin	1	1-0010	pc
109	akAryakArin	अकार्यकारिन्	akāryakārin	2	1-0010	pc
110	akAla	अकाल	akāla		1-0010	pc
111	akAlajaladodaya	अकालजलदोदय	akālajaladodaya		1-0010	pc
112	akAlameGodaya	अकालमेघोदय	akālameghodaya		1-0010	pc
113	akAlavelA	अकालवेला	akālavelā		1-0010	pc
114	akiMcana	अकिंचन	akiṃcana		1-0010	pc
115	akiMcanatA	अकिंचनता	akiṃcanatā		1-0010	pc
116	akiMcaniman	अकिंचनिमन्	akiṃcaniman		1-0010	pc
117	akitava	अकितव	akitava		1-0010	pc
118	akutas	अकुतस्	akutas		1-0010	pc
119	akutoBaya	अकुतोभय	akutobhaya		1-0010	pc
120	akutrA	अकुत्रा	akutrā	,	1-0010	pc
121	akuDryaYc	अकुध्र्यञ्च्	akudhryañc		1-0010	pc
122	akupya	अकुप्य	akupya		1-0010	pc
123	akumAra	अकुमार	akumāra		1-0010	pc
124	akula	अकुल	akula		1-0010	pc
125	akulatA	अकुलता	akulatā		1-0010	pc
126	akuSala	अकुशल	akuśala		1-0010	pc
127	akUpAra	अकूपार	akūpāra		1-0010	pc
128	akUrca	अकूर्च	akūrca		1-0011	pc
129	akUvAra	अकूवार	akūvāra		1-0011	pc
130	akfta	अकृत	akṛta	1	1-0011	pc
131	akfta	अकृत	akṛta	2	1-0011	pc
132	akftakAram	अकृतकारम्	akṛtakāram		1-0011	pc
133	akftavraRa	अकृतव्रण	akṛtavraṇa		1-0011	pc
134	akfttaruc	अकृत्तरुच्	akṛttaruc		1-0011	pc
135	akftya	अकृत्य	akṛtya		1-0011	pc
136	akftsna	अकृत्स्न	akṛtsna		1-0011	pc
137	akfSASva	अकृशाश्व	akṛśāśva		1-0011	pc
138	akfzIvala	अकृषीवल	akṛṣīvala		1-0011	pc
139	akfzwapacya	अकृष्टपच्य	akṛṣṭapacya		1-0011	pc
140	akfzRakarman	अकृष्णकर्मन्	akṛṣṇakarman		1-0011	pc
141	aketu	अकेतु	aketu		1-0011	pc
142	akeSa	अकेश	akeśa		1-0011	pc
143	akowa	अकोट	akoṭa		1-0012	pc
144	akOSala	अकौशल	akauśala		1-0012	pc
145	akkA	अक्का	akkā		1-0012	pc
146	akta	अक्त	akta		1-0012	pc
146	akta	अक्ता	aktā		1-0012	pc
148	aktu	अक्तु	aktu		1-0012	pc
149	akna	अक्न	akna		1-0012	pc
150	akra	अक्र	akra		1-0012	pc
150	akra	अक्र	akra		1-0012	pc
152	akratu	अक्रतु	akratu		1-0012	pc
153	akrama	अक्रम	akrama		1-0012	pc
154	akravihasta	अक्रविहस्त	akravihasta		1-0012	pc
155	akravyAd	अक्रव्याद्	akravyād		1-0012	pc
156	akravyAda	अक्रव्याद	akravyāda		1-0013	pc
157	akrAnta	अक्रान्त	akrānta		1-0013	pc
160	akrUra	अक्रूर	akrūra		1-0013	pc
161	akroDa	अक्रोध	akrodha		1-0013	pc
162	akroDana	अक्रोधन	akrodhana		1-0013	pc
163	aklikA	अक्लिका	aklikā		1-0013	pc
164	akleSa	अक्लेश	akleśa		1-0013	pc
165	akz	अक्ष्	akṣ	,	1-0013	pc
166	akza	अक्ष	akṣa	1	1-0013	pc
167	akza	अक्ष	akṣa	2	1-0013	pc
168	akza	अक्ष	akṣa	3	1-0014	pc
169	akzaka	अक्षक	akṣaka		1-0015	pc
170	akzakAma	अक्षकाम	akṣakāma		1-0015	pc
171	akzaja	अक्षज	akṣaja		1-0015	pc
173	akzata	अक्षत	akṣata		1-0015	pc
174	akzatra	अक्षत्र	akṣatra		1-0015	pc
175	akzadarSaka	अक्षदर्शक	akṣadarśaka		1-0015	pc
176	akzadfS	अक्षदृश्	akṣadṛś		1-0015	pc
177	akzadevin	अक्षदेविन्	akṣadevin		1-0015	pc
178	akzadyU	अक्षद्यू	akṣadyū		1-0015	pc
179	akzadyUta	अक्षद्यूत	akṣadyūta		1-0015	pc
180	akzadrugDa	अक्षद्रुग्ध	akṣadrugdha		1-0015	pc
181	akzaDara	अक्षधर	akṣadhara		1-0015	pc
182	akzaDUrta	अक्षधूर्त	akṣadhūrta		1-0015	pc
183	akzaDUrtila	अक्षधूर्तिल	akṣadhūrtila		1-0015	pc
184	akzan	अक्षन्	akṣan		1-0016	pc
185	akzapawala	अक्षपटल	akṣapaṭala		1-0016	pc
186	akzaparAjaya	अक्षपराजय	akṣaparājaya		1-0016	pc
187	akzapari	अक्षपरि	akṣapari		1-0016	pc
188	akzapAwaka	अक्षपाटक	akṣapāṭaka		1-0016	pc
189	akzapIqA	अक्षपीडा	akṣapīḍā		1-0016	pc
190	akzama	अक्षम	akṣama		1-0016	pc
190	akzama	अक्षमा	akṣamā		1-0016	pc
192	akzamAla	अक्षमाला	akṣamālā		1-0016	pc
194	akzamAlin	अक्षमालिन्	akṣamālin		1-0016	pc
195	akzaya	अक्षय	akṣaya		1-0016	pc
196	akzayaguRa	अक्षयगुण	akṣayaguṇa		1-0016	pc
197	akzayatftIyA	अक्षयतृतीया	akṣayatṛtīyā		1-0016	pc
198	akzayatva	अक्षयत्व	akṣayatva		1-0017	pc
199	akzayapuruhUta	अक्षयपुरुहूत	akṣayapuruhūta		1-0017	pc
200	akzayamati	अक्षयमति	akṣayamati		1-0017	pc
201	akzayiRI	अक्षयिणी	akṣayiṇī		1-0017	pc
202	akzayya	अक्षय्य	akṣayya		1-0017	pc
203	akzara	अक्षर	akṣara		1-0017	pc
204	akzaraka	अक्षरक	akṣaraka		1-0018	pc
205	akzaracaYcu	अक्षरचञ्चु	akṣaracañcu		1-0018	pc
206	akzaracaRa	अक्षरचण	akṣaracaṇa		1-0018	pc
207	akzaracuYcu	अक्षरचुञ्चु	akṣaracuñcu		1-0018	pc
209	akzarajIvaka	अक्षरजीवक	akṣarajīvaka		1-0018	pc
210	akzarajIvika	अक्षरजीविक	akṣarajīvika		1-0018	pc
211	akzarajIvin	अक्षरजीविन्	akṣarajīvin		1-0018	pc
212	akzaratUlikA	अक्षरतूलिका	akṣaratūlikā		1-0018	pc
213	akzaranyAsa	अक्षरन्यास	akṣaranyāsa		1-0018	pc
214	akzarapaNkti	अक्षरपङ्क्ति	akṣarapaṅkti	1	1-0018	pc
215	akzarapaNkti	अक्षरपङ्क्ति	akṣarapaṅkti	2	1-0018	pc
216	akzaraBAj	अक्षरभाज्	akṣarabhāj		1-0018	pc
217	akzaramuKa	अक्षरमुख	akṣaramukha		1-0018	pc
218	akzaravinyAsa	अक्षरविन्यास	akṣaravinyāsa		1-0018	pc
219	akzaraSas	अक्षरशस्	akṣaraśas		1-0018	pc
220	akzarasaMsTAna	अक्षरसंस्थान	akṣarasaṃsthāna		1-0018	pc
221	akzarANga	अक्षराङ्ग	akṣarāṅga		1-0018	pc
222	akzarAja	अक्षराज	akṣarāja		1-0018	pc
223	akzarya	अक्षर्य	akṣarya		1-0019	pc
225	akzavAwa	अक्षवाट	akṣavāṭa		1-0019	pc
226	akzavftta	अक्षवृत्त	akṣavṛtta		1-0019	pc
227	akzaSORqa	अक्षशौण्ड	akṣaśauṇḍa		1-0019	pc
228	akzasUkta	अक्षसूक्त	akṣasūkta		1-0019	pc
229	akzasUtra	अक्षसूत्र	akṣasūtra		1-0019	pc
230	akzAgrakIla	अक्षाग्रकील	akṣāgrakīla		1-0019	pc
231	akzAgrakIlaka	अक्षाग्रकीलक	akṣāgrakīlaka		1-0019	pc
232	akzAnah	अक्षानह्	akṣānah		1-0019	pc
233	akzAnti	अक्षान्ति	akṣānti		1-0019	pc
234	akzAralavaRa	अक्षारलवण	akṣāralavaṇa		1-0019	pc
236	akzAvapana	अक्षावपन	akṣāvapana		1-0019	pc
237	akzAvApa	अक्षावाप	akṣāvāpa		1-0019	pc
238	akzi	अक्षि	akṣi		1-0019	pc
239	akzika	अक्षिक	akṣika		1-0020	pc
240	akzikUwa	अक्षिकूट	akṣikūṭa		1-0020	pc
241	akzikUwaka	अक्षिकूटक	akṣikūṭaka		1-0020	pc
242	akzigata	अक्षिगत	akṣigata		1-0020	pc
243	akzijAha	अक्षिजाह	akṣijāha		1-0020	pc
244	akzita	अक्षित	akṣita		1-0020	pc
245	akzitAvasu	अक्षितावसु	akṣitāvasu		1-0020	pc
246	akziti	अक्षिति	akṣiti		1-0020	pc
247	akzitoti	अक्षितोति	akṣitoti		1-0020	pc
248	akzipat	अक्षिपत्	akṣipat		1-0020	pc
249	akziBU	अक्षिभू	akṣibhū		1-0021	pc
250	akziBezaja	अक्षिभेषज	akṣibheṣaja		1-0021	pc
251	akziBruva	अक्षिभ्रुव	akṣibhruva		1-0021	pc
253	akziloman	अक्षिलोमन्	akṣiloman		1-0021	pc
254	akziva	अक्षिव	akṣiva		1-0021	pc
254	akziva	अक्षीव	akṣīva		1-0021	pc
255	akzivikURita	अक्षिविकूणित	akṣivikūṇita		1-0021	pc
256	akzIka	अक्षीक	akṣīka		1-0021	pc
257	akzIyamARa	अक्षीयमाण	akṣīyamāṇa		1-0021	pc
259	akzu	अक्षु	akṣu		1-0021	pc
260	akzudra	अक्षुद्र	akṣudra		1-0021	pc
261	akzuD	अक्षुध्	akṣudh		1-0021	pc
262	akzuDya	अक्षुध्य	akṣudhya		1-0021	pc
263	akzetra	अक्षेत्र	akṣetra	1	1-0021	pc
264	akzetra	अक्षेत्र	akṣetra	2	1-0021	pc
265	akzetrajYa	अक्षेत्रज्ञ	akṣetrajña		1-0021	pc
266	akzetravid	अक्षेत्रविद्	akṣetravid		1-0021	pc
267	akzetrin	अक्षेत्रिन्	akṣetrin		1-0021	pc
268	akzEtrajYya	अक्षैत्रज्ञ्य	akṣaitrajñya		1-0021	pc
269	akzowa	अक्षोट	akṣoṭa		1-0021	pc
270	akzoqa	अक्षोड	akṣoḍa		1-0021	pc
271	akzoqaka	अक्षोडक	akṣoḍaka		1-0022	pc
272	akzoBa	अक्षोभ	akṣobha		1-0022	pc
273	akzoBya	अक्षोभ्य	akṣobhya		1-0022	pc
275	akzOhiRI	अक्षौहिणी	akṣauhiṇī		1-0022	pc
276	akzRa	अक्ष्ण	akṣṇa	1	1-0022	pc
277	akzRa	अक्ष्ण	akṣṇa	2	1-0022	pc
278	akzRayAdruh	अक्ष्णयाद्रुह्	akṣṇayādruh		1-0022	pc
279	akzRayAvan	अक्ष्णयावन्	akṣṇayāvan		1-0022	pc
280	aKawwa	अखट्ट	akhaṭṭa		1-0022	pc
281	aKawwi	अखट्टि	akhaṭṭi		1-0022	pc
282	aKaRqa	अखण्ड	akhaṇḍa		1-0022	pc
283	aKaRqana	अखण्डन	akhaṇḍana		1-0022	pc
284	aKaRqitartu	अखण्डितर्तु	akhaṇḍitartu		1-0022	pc
286	aKarva	अखर्व	akharva		1-0022	pc
287	aKAta	अखात	akhāta		1-0022	pc
288	aKidra	अखिद्र	akhidra		1-0022	pc
289	aKidrayAman	अखिद्रयामन्	akhidrayāman		1-0023	pc
290	aKila	अखिल	akhila		1-0023	pc
291	aKilena	अखिलेन	akhilena		1-0023	pc
293	aKewika	अखेटिक	akheṭika		1-0023	pc
294	aKeditva	अखेदित्व	akheditva		1-0023	pc
295	aKedin	अखेदिन्	akhedin		1-0023	pc
296	aKKala	अख्खल	akhkhala		1-0023	pc
298	ag	अग्	ag	,	1-0023	pc
299	aga	अग	aga	1	1-0023	pc
300	aga	अग	aga	2	1-0023	pc
301	agacCa	अगच्छ	agaccha		1-0023	pc
302	agaja	अगज	agaja		1-0023	pc
303	agata	अगत	agata		1-0023	pc
304	agatika	अगतिक	agatika		1-0024	pc
305	agada	अगद	agada	1	1-0024	pc
306	agada	अगद	agada	2	1-0024	pc
307	agadaMkAra	अगदंकार	agadaṃkāra		1-0024	pc
309	agama	अगम	agama		1-0024	pc
310	agamya	अगम्य	agamya		1-0024	pc
311	agamyAgamana	अगम्यागमन	agamyāgamana		1-0024	pc
312	agamyAgamanIya	अगम्यागमनीय	agamyāgamanīya		1-0024	pc
313	agarI	अगरी	agarī		1-0024	pc
314	agaru	अगरु	agaru		1-0024	pc
315	agarhita	अगर्हित	agarhita		1-0024	pc
316	agavyUti	अगव्यूति	agavyūti		1-0024	pc
317	agasti	अगस्ति	agasti		1-0024	pc
318	agastidru	अगस्तिद्रु	agastidru		1-0025	pc
319	agastI	अगस्ती	agastī		1-0025	pc
320	agastIya	अगस्तीय	agastīya		1-0025	pc
321	agastya	अगस्त्य	agastya		1-0025	pc
322	agastyagItA	अगस्त्यगीता	agastyagītā		1-0026	pc
323	agastyacAra	अगस्त्यचार	agastyacāra		1-0026	pc
324	agastyasaMhitA	अगस्त्यसंहिता	agastyasaṃhitā		1-0026	pc
325	agastyodaya	अगस्त्योदय	agastyodaya		1-0026	pc
326	agA	अगा	agā		1-0026	pc
327	agADa	अगाध	agādha		1-0026	pc
328	agADajala	अगाधजल	agādhajala		1-0026	pc
329	agAra	अगार	agāra		1-0026	pc
330	agAvaha	अगावह	agāvaha		1-0026	pc
331	agira	अगिर	agira		1-0026	pc
332	agirOkas	अगिरौकस्	agiraukas		1-0026	pc
333	agu	अगु	agu		1-0026	pc
334	aguRa	अगुण	aguṇa		1-0027	pc
335	aguru	अगुरु	aguru		1-0027	pc
337	agUQaganDa	अगूढगन्ध	agūḍhagandha		1-0027	pc
338	agfBIta	अगृभीत	agṛbhīta		1-0027	pc
339	agfBItaSocis	अगृभीतशोचिस्	agṛbhītaśocis		1-0027	pc
340	ago	अगो	ago		1-0027	pc
341	agotA	अगोता	agotā		1-0027	pc
342	agopA	अगोपा	agopā		1-0027	pc
343	agoruDa	अगोरुध	agorudha		1-0027	pc
344	agohya	अगोह्य	agohya		1-0027	pc
345	agOkas	अगौकस्	agaukas		1-0028	pc
347	agnAyI	अग्नायी	agnāyī		1-0028	pc
348	agnAvizRu	अग्नाविष्णु	agnāviṣṇu		1-0028	pc
349	agni	अग्नि	agni		1-0028	pc
350	agnika	अग्निक	agnika		1-0029	pc
351	agnikaRa	अग्निकण	agnikaṇa		1-0029	pc
352	agnikarman	अग्निकर्मन्	agnikarman		1-0029	pc
354	agnikArikA	अग्निकारिका	agnikārikā		1-0029	pc
355	agnikArya	अग्निकार्य	agnikārya		1-0029	pc
356	agnikAzWa	अग्निकाष्ठ	agnikāṣṭha		1-0029	pc
357	agnikukkuwa	अग्निकुक्कुट	agnikukkuṭa		1-0029	pc
358	agnikuRqa	अग्निकुण्ड	agnikuṇḍa		1-0030	pc
359	agnikumAra	अग्निकुमार	agnikumāra		1-0030	pc
360	agniketu	अग्निकेतु	agniketu		1-0030	pc
361	agnikoRa	अग्निकोण	agnikoṇa		1-0030	pc
362	agnikriyA	अग्निक्रिया	agnikriyā		1-0030	pc
363	agnigarBa	अग्निगर्भ	agnigarbha		1-0030	pc
364	agnigfha	अग्निगृह	agnigṛha		1-0030	pc
365	agnigranTa	अग्निग्रन्थ	agnigrantha		1-0030	pc
366	agnicaya	अग्निचय	agnicaya		1-0030	pc
367	agnicayana	अग्निचयन	agnicayana		1-0030	pc
368	agnicit	अग्निचित्	agnicit		1-0030	pc
369	agnicityA	अग्निचित्या	agnicityā		1-0030	pc
371	agnija	अग्निजा	agnijā		1-0030	pc
371	agnija	अग्निज	agnija		1-0030	pc
372	agnijanman	अग्निजन्मन्	agnijanman		1-0030	pc
374	agnijAra	अग्निजार	agnijāra		1-0030	pc
375	agnijAla	अग्निजाल	agnijāla		1-0030	pc
376	agnijihva	अग्निजिह्व	agnijihva		1-0030	pc
376	agnijihva	अग्निजिह्वा	agnijihvā		1-0030	pc
378	agnijvalitatejana	अग्निज्वलिततेजन	agnijvalitatejana		1-0030	pc
379	agnijvAlA	अग्निज्वाला	agnijvālā		1-0030	pc
380	agnitap	अग्नितप्	agnitap		1-0031	pc
381	agnitapas	अग्नितपस्	agnitapas		1-0031	pc
382	agnitapta	अग्नितप्त	agnitapta		1-0031	pc
383	agnitA	अग्निता	agnitā		1-0031	pc
384	agnitejas	अग्नितेजस्	agnitejas		1-0031	pc
385	agnitraya	अग्नित्रय	agnitraya		1-0031	pc
386	agnitrA	अग्नित्रा	agnitrā		1-0031	pc
387	agnitretA	अग्नित्रेता	agnitretā		1-0031	pc
388	agnida	अग्निद	agnida		1-0031	pc
389	agnidagDa	अग्निदग्ध	agnidagdha		1-0031	pc
389	agnidagDa	अग्निदग्ध	agnidagdha		1-0031	pc
391	agnidatta	अग्निदत्त	agnidatta		1-0031	pc
392	agnidamanI	अग्निदमनी	agnidamanī		1-0031	pc
393	agnidAyaka	अग्निदायक	agnidāyaka		1-0031	pc
394	agnidAha	अग्निदाह	agnidāha		1-0031	pc
395	agnidIpana	अग्निदीपन	agnidīpana		1-0031	pc
396	agnidIpta	अग्निदीप्त	agnidīpta		1-0031	pc
397	agnidIpti	अग्निदीप्ति	agnidīpti		1-0031	pc
398	agnidUta	अग्निदूत	agnidūta		1-0031	pc
399	agnidevA	अग्निदेवा	agnidevā		1-0031	pc
400	agniD	अग्निध्	agnidh		1-0031	pc
401	agniDAna	अग्निधान	agnidhāna		1-0032	pc
402	agninakzatra	अग्निनक्षत्र	agninakṣatra		1-0032	pc
403	agninayana	अग्निनयन	agninayana		1-0032	pc
404	agniniryAsa	अग्निनिर्यास	agniniryāsa		1-0032	pc
405	agninunna	अग्निनुन्न	agninunna		1-0032	pc
406	agninetra	अग्निनेत्र	agninetra		1-0032	pc
407	agnipada	अग्निपद	agnipada		1-0032	pc
408	agniparikriyA	अग्निपरिक्रिया	agniparikriyā		1-0032	pc
409	agniparicCada	अग्निपरिच्छद	agniparicchada		1-0032	pc
410	agniparvata	अग्निपर्वत	agniparvata		1-0032	pc
411	agnipucCa	अग्निपुच्छ	agnipuccha		1-0032	pc
412	agnipurARa	अग्निपुराण	agnipurāṇa		1-0032	pc
413	agnipraRayana	अग्निप्रणयन	agnipraṇayana		1-0032	pc
414	agnipraRayanIya	अग्निप्रणयनीय	agnipraṇayanīya		1-0032	pc
415	agnipraveSana	अग्निप्रवेशन	agnipraveśana		1-0032	pc
416	agniprastara	अग्निप्रस्तर	agniprastara		1-0032	pc
417	agnibAhu	अग्निबाहु	agnibāhu		1-0032	pc
418	agniBa	अग्निभ	agnibha		1-0032	pc
419	agniBu	अग्निभु	agnibhu		1-0032	pc
419	agniBu	अग्निभू	agnibhū		1-0032	pc
421	agniBUti	अग्निभूति	agnibhūti		1-0032	pc
422	agniBrAjas	अग्निभ्राजस्	agnibhrājas		1-0032	pc
423	agnimaRi	अग्निमणि	agnimaṇi		1-0032	pc
425	agnimanTa	अग्निमन्थ	agnimantha		1-0033	pc
426	agnimanTana	अग्निमन्थन	agnimanthana		1-0033	pc
427	agnimanTanIya	अग्निमन्थनीय	agnimanthanīya		1-0033	pc
428	agnimaya	अग्निमय	agnimaya		1-0033	pc
429	agnimAWara	अग्निमाठर	agnimāṭhara		1-0033	pc
430	agnimAndya	अग्निमान्द्य	agnimāndya		1-0033	pc
431	agnimAruti	अग्निमारुति	agnimāruti		1-0033	pc
432	agnimitra	अग्निमित्र	agnimitra		1-0033	pc
433	agniminDa	अग्निमिन्ध	agnimindha		1-0033	pc
434	agnimuKa	अग्निमुख	agnimukha		1-0033	pc
435	agnimUQa	अग्निमूढ	agnimūḍha		1-0033	pc
436	agniyuta	अग्नियुत	agniyuta		1-0033	pc
437	agniyojana	अग्नियोजन	agniyojana		1-0033	pc
438	agnirakzaRa	अग्निरक्षण	agnirakṣaṇa		1-0033	pc
439	agniraja	अग्निरज	agniraja		1-0033	pc
440	agnirahasya	अग्निरहस्य	agnirahasya		1-0033	pc
441	agnirASi	अग्निराशि	agnirāśi		1-0033	pc
442	agniruhA	अग्निरुहा	agniruhā		1-0033	pc
443	agnirUpa	अग्निरूप	agnirūpa		1-0033	pc
444	agniretasa	अग्निरेतस	agniretasa		1-0033	pc
445	agniloka	अग्निलोक	agniloka		1-0034	pc
447	agnivarcas	अग्निवर्चस्	agnivarcas		1-0034	pc
449	agnivarDaka	अग्निवर्धक	agnivardhaka		1-0034	pc
452	agnivAsas	अग्निवासस्	agnivāsas		1-0034	pc
453	agnivAha	अग्निवाह	agnivāha		1-0034	pc
458	agnivIrya	अग्निवीर्य	agnivīrya		1-0034	pc
462	agniSaraRa	अग्निशरण	agniśaraṇa		1-0034	pc
463	agniSarman	अग्निशर्मन्	agniśarman		1-0034	pc
464	agniSAla	अग्निशाल	agniśāla		1-0034	pc
464	agniSAla	अग्निशाला	agniśālā		1-0034	pc
466	agniSiKa	अग्निशिख	agniśikha		1-0034	pc
467	agniSiKA	अग्निशिखा	agniśikhā		1-0035	pc
468	agniSuSrUzA	अग्निशुश्रूषा	agniśuśrūṣā		1-0035	pc
469	agniSeKara	अग्निशेखर	agniśekhara		1-0035	pc
470	agniSeza	अग्निशेष	agniśeṣa		1-0035	pc
471	agniSrI	अग्निश्री	agniśrī		1-0035	pc
472	agnizwut	अग्निष्टुत्	agniṣṭut		1-0035	pc
474	agnizwoma	अग्निष्टोम	agniṣṭoma		1-0035	pc
475	agnizWa	अग्निष्ठ	agniṣṭha		1-0035	pc
476	agnizvAtta	अग्निष्वात्त	agniṣvātta		1-0035	pc
477	agnisaMskAra	अग्निसंस्कार	agnisaṃskāra		1-0035	pc
478	agnisaMkASa	अग्निसंकाश	agnisaṃkāśa		1-0036	pc
480	agnisahAya	अग्निसहाय	agnisahāya		1-0036	pc
481	agnisAkzika	अग्निसाक्षिक	agnisākṣika		1-0036	pc
482	agnisAra	अग्निसार	agnisāra		1-0036	pc
483	agnisiMha	अग्निसिंह	agnisiṃha		1-0036	pc
485	agnistamBa	अग्निस्तम्भ	agnistambha		1-0036	pc
486	agnisvAtta	अग्निस्वात्त	agnisvātta		1-0036	pc
488	agnihut	अग्निहुत्	agnihut		1-0036	pc
490	agnihotra	अग्निहोत्र	agnihotra	1	1-0036	pc
491	agnihotra	अग्निहोत्र	agnihotra	2	1-0037	pc
492	agnihotrahavaRI	अग्निहोत्रहवणी	agnihotrahavaṇī		1-0037	pc
493	agnihotrahut	अग्निहोत्रहुत्	agnihotrahut		1-0037	pc
494	agnihotrAhuti	अग्निहोत्राहुति	agnihotrāhuti		1-0037	pc
