cyrillic	slp1	iast_witness	validation	onomasticon	witness_count	seeds
Дхумрашва	DUmrASva	Dhūmrāśva	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дханвантари	Danvantari	Dhanvantari	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дхармаранья	DarmAraRya	Dharmāraṇya	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дхарма	Darma	Dharma	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дхармабхрит	DarmaBft	Dharmabhṛt	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Дхармапала	DarmapAla	Dharmapāla	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дхармараджа	DarmarAja	Dharmarāja	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дхармавардхана	DarmavarDana	Dharmavardhana	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дхритараштри	DftarAzwrI	Dhṛtarāṣṭrī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Дхриштакету	Dfzwaketu	Dhṛṣṭaketu	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дхришти	Dfzwi	Dhṛṣṭi	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дхрувасандхи	DruvasaMDi	Dhruvasaṃdhi	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дхундхумара	DunDumAra	Dhundhumāra	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Айравата	ErAvata	Airāvata	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Гхритачи	GftAcI	Ghṛtācī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Кхара	Kara	Khara	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шалмали	SAlmalI	Śālmalī	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шанта	SAntA	Śāntā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шардули	SArdUlI	Śārdūlī	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Шигхрага	SIGraga	Śīghraga	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шурпанакха	SUrpaRaKA	Śūrpaṇakhā	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шанкхана	SaNKana	Śaṅkhana	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шанкара	SaNkara	Śaṅkara	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шашабинду	SaSabindu	Śaśabindu	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шабала	SabalA	Śabalā	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шабари	SabarI	Śabarī	lexicon		2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шачи	SacI	Śacī	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шакра	Sakra	Śakra	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шамбара	Sambara	Śambara	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шарабха	SaraBa	Śarabha	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шарабханга	SaraBaNga	Śarabhaṅga	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шараданда	SaradaRqA	Śaradaṇḍā	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шатананда	SatAnanda	Śatānanda	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шатадру	Satadru	Śatadru	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шатахрада	SatahradA	Śatahradā	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Шатакрату	Satakratu	Śatakratu	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шатругхна	SatruGna	Śatrughna	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шеша	Seza	Śeṣa	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Шрингавера	SfNgavera	Śṛṅgavera	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шиби	Sibi	Śibi	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шилаваха	SilAvahA	Śilāvahā	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шива	Siva	Śiva	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шона	SoRA	Śoṇā	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шри	SrI	Śrī	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шрутакирти	SrutakIrtI	Śrutakīrtī	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шуки	SukI	Śukī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Шукра	Sukra	Śukra	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шунахшепа	SunaHSepa	Śunaḥśepa	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шунака	Sunaka	Śunaka	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Швета	SvetA	Śvetā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Шветы	Sveta	Śveta	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Шьени	SyenI	Śyenī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Урмила	UrmilA	Ūrmilā	onomasticon	inm	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Аншуман	aNSumAn	Aṅśumān	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Анга	aNga	Aṅga	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Ангада	aNgada	Aṅgada	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Ангирас	aNgiras	Aṅgiras	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Ашоканандана	aSokanandana	Aśokanandana	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Ашвагрива	aSvagrIva	Aśvagrīva	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Ашвапати	aSvapati	Aśvapati	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Ашвины	aSvinO	Aśvinau	iast-witness-only		2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Анджана	aYjana	Añjana	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Адити	aditi	Aditi	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Адрикритастхасли	adrikftasTalI	Adrikṛtasthalī	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Агастья	agastya	Agastya	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Агни	agni	Agni	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Агниварна	agnivarRa	Agnivarṇa	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Ахалья	ahalyA	Ahalyā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Аджа	aja	Aja	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Акампана	akampana	Akampana	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Акша	akza	Akṣa	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Аламбуша	alambuzA	Alambuṣā	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Аларка	alarka	Alarka	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Амаравати	amarAvatI	Amarāvatī	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Амбариша	ambarIza	Ambarīṣa	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Андхака	anDaka	Andhaka	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Ананга	anaNga	Anaṅga	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Анала	analA	Analā	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Анаранья	anaraRya	Anaraṇya	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Анасуя	anasUyA	Anasūyā	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Анила	anila	Anila	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Антака	antaka	Antaka	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Апаратала	aparatAla	Aparatāla	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Ариштанеми	arizwanemi	Ariṣṭanemi	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Аруна	aruRa	Aruṇa	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Арундхати	arunDatI	Arundhatī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Арьяман	aryaman	Aryaman	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Асуртараджаса	asUrtarajasa	Asūrtarajasa	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Асаманьджа	asamaYja	Asamañja	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Асита	asita	Asita	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Атри	atri	Atri	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Айодхья	ayoDyA	Ayodhyā	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Айомукхи	ayomuKI	Ayomukhī	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Бана	bARa	Bāṇa	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Бахлика	bAhlika	Bāhlika	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Балин	bAlin	Bālin	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Бахупутра	bahuputra	Bahuputra	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Бала	bala	Bala	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Бали	bali	Bali	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Брихадратха	bfhadraTa	Bṛhadratha	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Брихаспати	bfhaspati	Bṛhaspati	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Бинду	bindu	Bindu	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Брахма	brahmA	Brahmā	onomasticon	pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Брахмадатта	brahmadatta	Brahmadatta	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Будха	buDa	Budha	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Будда	budDa	Buddha	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Чайтраратха	cEtraraTa	Caitraratha	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Чулин	cUlin	Cūlin	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Чандра	candra	Candra	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Читракута	citrakUwa	Citrakūṭa	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Читраратха	citraraTa	Citraratha	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Чьявана	cyavana	Cyavana	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Диргхаюс	dIrGAyus	Dīrghāyus	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Милиус	dOer	Dauer	iast-witness-only		3	SamudraManthanam/Index/lib/x86_64-win64/Data/bhagavadgita-erman.html|SamudraManthanam/web/corpus_builder/jsonl/bhagavadgita-erman.jsonl
Душана	dUzaRa	Dūṣaṇa	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дандака	daRqaka	Daṇḍaka	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дашагрива	daSagrIva	Daśagrīva	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дашаратха	daSaraTa	Daśaratha	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дакша	dakza	Dakṣa	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дакшинапатха	dakziRApaTa	Dakṣiṇāpatha	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дану	danU	Danū	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Дандака	dandaka	Dandaka	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Дардура	dardura	Dardura	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Девамидха	devamIQa	Devamīḍha	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Деварата	devarAta	Devarāta	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дридханетра	dfQanetra	Dṛḍhanetra	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дилипа	dilIpa	Dilīpa	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дити	diti	Diti	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дравида	drAviqa	Drāviḍa	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дундубхи	dunduBi	Dundubhi	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Двивида	dvivida	Dvivida	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Дьюматсена	dyumatsena	Dyumatsena	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Экасала	ekasAla	Ekasāla	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Ришьямука	fSyamUka	Ṛśyamūka	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Ричика	fcika	Ṛcika	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Рикша	fkza	Ṛkṣa	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Рикшараджас	fkzarajas	Ṛkṣarajas	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Рикшават	fkzavat	Ṛkṣavat	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
