slp1	n_dicts	dicts
santva	2	PWG PWK
santya	6	CCS GRA MD MW PWG PWK
sanutf	3	GRA MD MW
sanyas	4	GRA MD MW PWG
sapAda	6	AP CAE MW PWG PWK VCP
sapAla	5	AP CAE MW PWG PWK
sapApa	1	SCH
sapIqa	1	MW
sapIti	9	BUR CAE CCS GRA MW PWG PWK SCH VCP
sapOra	1	MW
sapaRa	2	MW PWK
sapaSu	4	CAE MW PWG PWK
sapadi	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP
sapara	4	MW PWG PWK VCP
sapary	5	CAE CCS GRA PWG PWK
sapati	1	BHS
sapota	3	AP MW PWK
saptan	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP
saptiA	1	PWK
saptiH	2	AP SKD
saptia	1	GRA
saptin	5	CAE CCS MW PWG PWK
saptya	7	CAE CCS GRA MW PWG PWK VEI
sarAga	7	AP BUR CAE CCS MW PWG PWK
sarAhu	2	MW PWK
sarAla	1	SCH
sarAma	1	SCH
sarArI	3	MW PWG PWK
sarAti	6	CAE CCS GRA MW PWG PWK
sarAva	6	AP BUR MW PWG PWK VCP
sarAwa	2	MW PWG
sarRRa	1	MW
sarUpA	1	MW
sarUpa	9	AP BUR CAE CCS GRA MW PWG PWK VCP
saraBA	1	SCH
saraBa	3	MW PWG PWK
saraGA	8	AP MD MW PWG PWK SCH SKD VCP
saraRA	3	AP MW SKD
saraRI	5	AP PWG PWK SKD VCP
saraRa	11	AP BHS BUR CAE CCS GRA MD MW PWG PWK VCP
saraRi	7	CAE CCS MD MW PWG PWK VCP
saraRy	3	GRA PWG PWK
saraTa	8	AP BUR CAE CCS GRA MW PWG PWK
sarabU	1	BHS
saraha	4	BHS MW PWG PWK
saraja	4	MW PWG PWK VCP
saraka	8	CAE CCS INM MW PWG PWK SCH VCP
saralA	2	MW SKD
saralI	2	MW PWK
sarala	11	AP BHS BUR CAE CCS MD MW PWG PWK SCH VCP
saramA	13	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP
saraqa	2	BHS MW
sarasA	2	MW SKD
sarasI	9	AP CAE CCS GRA MD MW PWG PWK SKD
sarasa	10	AP BUR CAE CCS MD MW PWG PWK SCH VCP
sarasi	1	MW
sarati	1	BHS
sarava	3	PWG PWK SCH
sarawa	8	BHS CAE CCS MD MW PWG PWK VCP
sarawi	1	VCP
sarawu	4	MW PWG PWK VCP
sarayU	2	INM MW
saraya	1	MW
sarayu	10	BUR CAE CCS GRA MD MW PWG PWK VCP VEI
sarePa	4	BUR MW PWG PWK
sargaH	2	AP SKD
sargya	3	MW PWG PWK
sariRI	1	SCH
sarikA	5	AP BUR MW SKD VCP
sarika	3	MW PWG PWK
sarila	5	BUR MW PWG PWK VCP
sarimA	1	SKD
sarira	6	CAE CCS MD MW PWG PWK
saritA	1	BHS
sarita	2	BHS MW
sarjUH	1	AP
sarjaH	1	AP
sarjiH	1	AP
sarjjI	1	SKD
sarjja	1	SKD
sarjuH	1	AP
sarjya	4	MW PWG PWK VCP
sarkaH	2	AP SKD
sarkza	3	MW PWG PWK
sarmaH	1	AP
sarman	1	AP
saroDa	2	BUR MW
saroga	6	BUR CAE CCS MW PWG PWK
sarojI	1	SKD
saroja	8	BUR CAE CCS MD MW PWG PWK VCP
saroma	3	MD MW PWK
saroza	8	AP BUR CAE CCS MD MW PWG PWK
sarpAy	2	PWK SCH
sarpaH	2	AP SKD
sarpat	1	MW
sarpiH	2	MW SKD
sarpin	8	AP BUR CAE CCS MW PWG PWK SCH
sarpir	1	MW
sarpis	11	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI
sarpiz	1	MW
sarpya	1	MW
sartar	3	CCS PWG PWK
saruja	4	CAE MW PWG PWK
sarvaH	1	AP
sarvam	2	AP MW
sarvva	1	SKD
sasAdi	2	MW PWK
sasAra	4	BUR CAE MW PWK
sasIsa	1	SCH
sasIta	3	CAE MW PWK
sasUka	2	MW PWK
sasUnu	3	MW PWG PWK
sasUta	3	CAE MW PWK
sasUti	2	MW PWK
sasaKi	2	MW PWK
sasana	2	BUR VCP
sasawa	2	MW PWK
sasena	1	MW
sasita	2	MW PWK
sasoma	4	CAE MW PWK SCH
sasraj	2	MW PWK
sasrut	5	CAE GRA MW PWG PWK
sasura	4	CAE MW PWG PWK
sasuta	4	CAE CCS MW PWK
sasvar	7	CAE CCS GRA MD MW PWG PWK
sasyAd	3	AP MW PWK
sasyaM	1	SKD
sasyad	4	GRA MW PWG PWK
sasyam	1	AP
satAha	1	PWG
satApa	3	MD MW PWK
satArA	3	MW PWG PWK
satAra	3	MW PWG PWK
satIka	3	MW PWG PWK
satIlA	3	MW SKD VCP
satIla	5	BUR MW PWG PWK VCP
satIna	8	BUR CAE CCS GRA MW PWG PWK VCP
satItA	1	MW
satIya	3	MW PWG PWK
satUla	3	MW PWG PWK
satala	1	MW
satanu	5	CAE CCS MW PWG PWK
satata	9	AP BUR CAE CCS MD MW PWG PWK VCP
satati	5	CAE CCS MW PWG PWK
satera	4	MW PWG PWK VCP
satfRa	3	CAE MW PWK
satfza	1	MW
satila	3	MW PWG PWK
satkar	1	PWG
satoda	3	AP MW PWK
satoka	4	CAE MW PWG PWK
satpaT	3	MW PWG PWK
satrAc	2	GRA MW
satraM	1	SKD
satram	5	AP MW PWG PWK SCH
satrin	1	AP
sattar	3	CCS PWG PWK
sattiH	1	AP
sattrA	2	AP BUR
sattrI	2	PWK SKD
sattra	8	BUR CAE CCS MD MW PWG PWK VCP
sattri	5	BUR MW PWG PWK VCP
sattva	9	BUR CAE CCS INM MD MW PWG PWK VCP
satulA	1	SCH
satuza	3	MW PWG PWK
satvac	4	CAE MW PWG PWK
satvan	9	CAE CCS GRA INM MD MW PWG PWK VEI
satvat	3	INM MD MW
satyaH	2	AP SKD
satyaM	1	SKD
satyam	3	AP MW VCP
savARa	1	BUR
savAmi	1	BUR
savAsa	3	MW PWK SCH
savAtf	1	MW
savAya	1	MD
savEra	3	CAE MW PWK
savIja	1	VCP
savIra	4	CAE MW PWG PWK
savaTa	4	MD MW PWG PWK
savahA	5	MW PWG PWK SKD VCP
savala	1	MW
savana	9	CAE CCS GRA INM MD MW PWG PWK VCP
savant	2	PWG PWK
savara	6	BHS BUR MW PWG PWK SCH
saveDa	1	MW
saveRI	3	MW PWG PWK
saveSa	6	AP BUR MW PWG PWK VCP
savega	5	CAE CCS MW PWG PWK
saveza	1	MW
savfta	1	PWG
saviDI	2	CCS PWK
saviDa	8	AP BUR CAE CCS MW PWG PWK VCP
savitA	1	SKD
savitf	8	AP BUR CAE GRA INM MD MW VCP
saviza	5	CAE CCS MW PWG PWK
savyaH	2	AP SKD
savyam	1	AP
sawAla	7	AP CAE CCS MD MW PWG PWK
sawAlu	4	CAE MD MW PWK
sawIka	2	AP MW
sawikA	2	AP SKD
sawwam	1	AP
sayana	6	CAE CCS INM MW PWG PWK
sayati	3	MW PWG PWK
sayava	3	MW PWG PWK
sayoga	3	MW PWG PWK
sayoni	8	AP BUR CAE CCS GRA MW PWG PWK
sazwuB	3	CAE MW PWK
seDaka	1	MW
seDana	3	MW PWG PWK
sePAlI	1	SCH
secaka	6	AP MD MW PWG PWK VCP
secanI	2	AP MW
secana	6	CAE CCS MW PWG PWK VCP
secita	1	MW
seduka	4	INM MW PWG PWK
segava	3	MW PWG PWK
sehAna	1	MW
sehana	1	MW
sehula	1	SCH
sekima	4	MW PWG PWK VCP
sektar	3	CCS PWG PWK
sektra	4	MW PWG PWK VCP
selaga	7	CAE CCS MD MW PWG PWK VEI
selaka	1	BHS
selisa	1	MW
senAjU	5	CAE GRA MW PWG PWK
senAnI	10	AP CAE CCS GRA INM MW PWG PWK VCP VEI
senIya	3	MW PWG PWK
senaka	3	MW PWG PWK
senawa	2	PWG PWK
senaya	1	MW
sendra	6	CAE CCS MD MW PWG PWK
sepura	3	MW PWG PWK
serAha	3	MW PWG PWK
serAla	2	AP MW
seraka	1	SCH
seriBI	1	SCH
serzya	7	AP CAE CCS MD MW PWG PWK
setakI	3	MW PWG PWK
setaka	1	BHS
setikA	4	AP PWG PWK SKD
setraM	1	SKD
setram	1	AP
setuja	1	MW
setuka	3	MW PWG PWK
sevAsI	3	MW PWG PWK
sevaDi	5	AP BUR MW SCH VCP
sevaka	10	AP BHS BUR CAE CCS MD MW PWG PWK VCP
sevanA	1	AP
sevanI	3	AP MW SKD
sevana	8	BUR CAE CCS MD MW PWG PWK VCP
sevaqa	1	SCH
sevatI	5	AP MW PWG PWK SKD
sevikA	6	AP MW PWG PWK SKD VCP
sevitA	4	AP MW PWG PWK
sevita	6	AP MD MW PWG PWK VCP
sevitf	3	AP CAE MW
sevyaH	2	AP SKD
sevyaM	1	SKD
sevyam	1	AP
seyana	4	INM MW PWG PWK
sezIye	1	BUR
sezemi	1	BUR
sezuka	3	MW PWG PWK
sfRIkA	5	AP MW PWK SKD VCP
sfRIka	1	MW
sfRikA	6	AP BUR MW SCH SKD VCP
sfRika	3	MW PWG PWK
sfdAgu	3	MW PWG PWK
sfdAku	5	BUR MW PWG PWK VCP
sfdara	5	BUR MW PWG PWK VCP
sfgAlI	1	MW
sfgAla	10	BUR CAE CCS MD MW PWG PWK SCH VCP VEI
sfjAna	1	MW
sfjana	3	MW PWG PWK
sfjati	3	MD MW PWK
sfjayA	1	MW
sfjaya	6	CAE CCS MW PWG PWK VEI
sfkAla	5	BUR MW PWG PWK VCP
sfkkaM	1	SKD
sfkkam	1	AP
sfkkan	4	AP BUR PWK VCP
sfkkar	1	PWG
sfkkin	1	AP
sfkvaM	1	SKD
sfkvam	1	AP
sfkvan	7	AP CAE GRA MW PWG PWK VCP
sfkvin	1	AP
sfmala	3	MW PWG PWK
sfmara	10	AP BUR CAE CCS MD MW PWG PWK VCP VEI
sfpAku	2	PWG PWK
sfpAtI	1	SCH
sfpAwI	3	AP MW SKD
sfpAwa	5	BUR MW PWG PWK VCP
sfpman	2	AP MW
sfpraH	2	AP SKD
sfpram	1	AP
sftvan	9	AP CAE CCS GRA MD MW PWG PWK VCP
sfzwaM	1	SKD
sfzwiH	2	AP SKD
siDmaM	1	SKD
siDmam	1	AP
siDman	7	AP CAE CCS MW PWG PWK VCP
siDraH	2	AP SKD
siDyaH	2	AP SKD
siMhAy	4	CAE CCS PWG PWK
siMhaH	2	AP SKD
siYcan	1	SKD
sicaya	7	CAE CCS MD MW PWG PWK VCP
sidDaH	2	AP SKD
sidDaM	1	SKD
sidDam	1	AP
sidDiH	2	AP SKD
sidDya	1	BHS
sigatA	2	MW PWK
sigfqI	3	MW PWG PWK
sihlaH	2	AP SKD
sikTaH	2	AP SKD
sikTaM	1	SKD
sikTam	1	AP
sikatA	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP
sikata	1	INM
siktaH	1	SKD
siktiH	1	AP
sikyam	1	AP
sikzya	4	BUR MW PWG PWK
silAcI	5	CAE MW PWG PWK VEI
silaka	3	MW PWG PWK
silhaH	1	AP
simIka	1	MW
simbiH	1	SKD
sinDuH	2	AP SKD
sinvat	1	GRA
sipila	3	MW PWG PWK
siprAy	1	PWK
sipraH	2	AP SKD
sipraM	1	SKD
sipunA	2	MW PWK
sipuna	1	PWG
sirAlA	1	MW
sirAla	7	AP CAE CCS MD MW PWG PWK
sirAlu	3	MW PWG PWK
sisrat	1	MW
sitABA	2	MW SKD
sitABa	4	MW PWG PWK VCP
sitASu	1	CCS
sitAdi	4	MW PWG PWK VCP
sitAli	1	MW
sitIkf	2	MD MW
sitajA	3	MW PWG PWK
sitaka	3	MW PWG PWK
sitimA	1	SKD
sivAku	1	MW
sivaka	1	MW
sivara	4	MW PWG PWK VCP
sivasa	1	MW
sivata	3	MW PWG PWK
siyAti	1	BHS
sizAsu	6	CAE GRA MD MW PWG PWK
sizAya	1	BUR
sizeca	1	BUR
skAnda	6	AP INM MD MW PWG PWK
skaBAy	4	CAE CCS GRA PWK
skabDa	2	AP MW
skadye	1	BUR
skamBa	7	CAE CCS GRA MD MW PWG PWK
skanBa	1	VCP
skanDA	3	AP MW SKD
skanDI	3	PWK SCH SKD
skanDa	11	BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP
skanDo	1	MW
skanda	12	BHS BUR CCS GRA INM MD MW PWG PWK SCH SKD VCP
skanna	7	AP BUR MD MW PWG PWK VCP
skunBa	2	SKD VCP
smAram	5	AP CAE MD MW PWK
smArin	5	CAE CCS MW PWG PWK
smArta	8	AP BUR CAE CCS MD MW PWG PWK
smArya	4	MW PWG PWK SCH
smAyaH	1	AP
smaraH	2	AP SKD
smartf	2	AP MW
smarya	4	AP MW PWG PWK
smayaH	2	AP SKD
smayin	3	CAE MW PWK
smeraH	2	AP SKD
smftaH	1	SKD
smftam	1	AP
smftiH	2	AP SKD
smitaM	1	SKD
smitam	1	AP
smitiH	1	AP
snAkzA	2	PWG PWK
snAnaM	1	SKD
snAnam	1	AP
snAnin	6	CAE CCS MD MW PWG PWK
snAtaH	2	AP SKD
snAtar	2	PWG PWK
snAtra	3	BHS MW PWK
snAtvA	1	MW
snAtvI	1	PWK
snAtva	5	CAE CCS MW PWG PWK
snAvaH	1	AP
snAvan	7	AP CAE CCS MD MW PWG PWK
snAvin	1	MW
snAyin	7	BUR CAE CCS MD MW PWG PWK
snAyuH	2	AP SKD
snIhan	5	CAE MD MW PWG PWK
snUhan	3	CAE MW PWK
snavaH	2	AP SKD
snayaH	1	AP
snehaH	2	AP SKD
snehan	5	AP MW PWG PWK VCP
snehin	8	AP CAE CCS MD MW PWG PWK VCP
snehuH	2	AP SKD
snehya	3	MW PWG PWK
sneyAm	1	BUR
snigDA	3	AP MW SKD
snigDa	9	AP BUR CAE CCS MD MW PWG PWK VCP
snuhiH	2	AP SKD
snutaH	1	SKD
soBarI	2	GRA MW
soBari	7	CAE CCS GRA MW PWG PWK VEI
soBaya	2	MW PWG
soQAya	1	MW
soQala	1	MW
soSIra	2	MW PWK
soWala	2	PWG PWK
sodaka	6	CAE CCS MD MW PWG PWK
sodarA	2	AP SKD
sodarI	1	MW
sodara	8	AP BUR CAE CCS MW PWG PWK VCP
sodaya	6	AP BUR MW PWG PWK VCP
sohaqa	1	SCH
sokTya	3	MW PWG PWK
solAka	1	SCH
solUka	1	MW
solika	1	MW
somABA	4	MW PWG PWK SKD
somABa	1	MW
somADi	3	MW PWG PWK
somAha	3	MW PWG PWK
somAla	3	MW PWG PWK
somApa	2	MW PWG
somApi	3	MW PWG PWK
somIkf	1	MW
somIya	3	MW PWG PWK
somaBU	4	MW PWG PWK VCP
somadA	3	MW PWG PWK
somajA	3	MW PWG PWK
somaja	5	AP MW PWG PWK VCP
somaka	8	CAE CCS GRA INM MD MW PWG PWK
somala	1	AP
somama	1	SCH
somapA	8	AP CAE CCS GRA INM MW PWG PWK
somapa	8	AP CAE CCS INM MW PWG PWK VCP
somava	1	PWG
somikA	2	MD MW
somila	4	BHS MW PWG PWK
sominI	1	MW
sonaha	5	BUR MW PWG PWK VCP
sopADi	6	AP MD MW PWG PWK VCP
sopAka	7	BUR CAE MD MW PWG PWK VCP
sopAna	8	BUR CAE CCS MD MW PWG PWK VCP
sopAya	2	MW PWK
sopaDa	4	AP MW PWG PWK
sopaDi	3	AP MW PWK
sopama	3	MW PWG PWK
sopara	2	MW PWK
sopita	1	BHS
soraRa	2	AP MW
sotari	1	PWK
sotave	1	PWK
sovAka	2	MW PWK
sovAla	2	AP MW
sowAya	1	MW
sozUye	1	BUR
sozman	6	AP BUR CAE MW PWG PWK
spArha	8	AP CAE CCS GRA MD MW PWG PWK
spaSaH	2	AP SKD
spanda	7	CAE CCS MD MW PWG PWK VCP
sparDA	8	AP BUR CAE CCS MD MW PWG PWK
sparDa	2	AP MW
sparSA	4	AP MW SKD VCP
sparSa	11	BUR CAE CCS INM MD MW PWG PWK SCH SKD VCP
sparSu	1	VEI
spartf	1	MW
spazwI	2	MW PWK
spazwa	9	AP BUR CAE CCS MD MW PWG PWK VCP
spfDya	3	MW PWG PWK
spfSaH	1	AP
spfSyA	1	MW
spfSya	6	AP CAE CCS MW PWG PWK
spfhay	1	PWK
spfhya	5	AP MW PWG PWK VCP
spfkkA	7	AP BUR MW PWG PWK SKD VCP
spfzwa	6	AP BUR CAE MD MW VCP
spfzwi	8	BUR CAE CCS MD MW PWG PWK VCP
srAmya	3	MW PWG PWK
srAvaH	2	AP SKD
srAvin	5	CAE CCS MW PWG PWK
srAvya	3	MW PWG PWK
srIhan	1	PWK
srOGnI	1	MW
srOGna	4	AP MW PWG PWK
sraMsI	1	SKD
sraMsa	4	CCS MW PWG PWK
sradBU	1	PWK
sradDU	4	AP BUR MW PWG
sragvI	1	SKD
srajas	3	MW PWG PWK
srajay	2	PWG PWK
srajin	3	MW PWG PWK
srajvA	5	AP PWG PWK SKD VCP
srakti	8	CAE CCS GRA MD MW PWG PWK VEI
srakva	7	CAE CCS GRA MD MW PWG PWK
sramBa	1	VCP
sraman	1	PWG
sranBa	1	SKD
sransa	2	SKD VCP
srasta	7	AP BUR CAE CCS MW PWG VCP
srasti	4	MW PWG PWK SCH
sravaH	2	AP SKD
sravad	1	MW
sravas	4	CAE MW PWG PWK
sravat	8	AP BUR CAE CCS GRA MW PWG PWK
srazwA	1	SKD
srazwa	1	BUR
srazwf	6	AP CAE INM MD MW VCP
sreman	2	GRA PWK
srimBa	1	VCP
srinBa	1	SKD
srotaH	1	SKD
srotaM	1	SKD
srotam	1	AP
srotas	10	AP BHS CAE CCS GRA MD MW PWG PWK VCP
srotiA	2	GRA PWK
srotra	1	SCH
srotyA	7	CAE CCS GRA MD MW PWG PWK
sruGnA	1	BHS
sruGnI	3	AP MW SKD
sruGna	7	CAE CCS MD MW PWG PWK VCP
srucay	2	PWG PWK
srucya	4	CAE MW PWG PWK
srukka	4	CAE MW PWG PWK
srutaM	1	SKD
srutiH	1	AP
srutya	5	CAE CCS MW PWG PWK
sruvaH	2	AP SKD
stAman	3	MW PWG PWK
stAvaH	2	AP SKD
stAvya	4	AP MW PWG PWK
stAyat	1	MW
stEnaM	1	SKD
stEnam	1	AP
stEnya	7	CAE CCS MD MW PWG PWK VCP
stErRi	3	MW PWG PWK
stIrRa	7	BUR CAE CCS MD MW PWG PWK
stIrRi	1	MW
stIrvi	5	BUR MW PWG PWK VCP
stUpaH	2	AP SKD
staBAy	2	GRA PWK
staBUy	3	GRA PWG PWK
staBaH	2	AP SKD
staBiH	1	AP
stabDI	3	CCS MW PWK
stabDa	10	AP BHS BUR CAE CCS MD MW PWG PWK VCP
stabDi	1	MW
stamBI	1	PWK
stamBa	10	BUR CAE CCS MD MW PWG PWK SKD VCP VEI
stamBi	1	MW
stamba	10	BUR CAE CCS MD MW PWG PWK SCH VCP VEI
stambi	1	PWG
stanBa	1	VCP
stanaH	2	AP SKD
stanin	2	MW PWK
stanya	8	BUR CAE CCS MD MW PWG PWK VCP
staraH	1	AP
starkz	2	PWG PWK
starya	4	CAE MW PWG PWK
stavAn	3	CAE CCS PWG
stavaH	2	AP SKD
stavat	2	GRA MW
staviH	1	AP
stavya	7	CAE CCS INM MD MW PWG PWK
stemaH	2	AP SKD
stenaH	2	AP SKD
stenaM	1	SKD
stenam	1	AP
stenay	3	CAE CCS PWG
steyaM	1	SKD
steyam	1	AP
steyin	8	AP CAE CCS MD MW PWG PWK VCP
stfkza	1	SKD
stftiH	1	AP
stftya	5	CAE MD MW PWG PWK
stiBiH	1	AP
stimBi	3	BUR MW VCP
stoBaH	2	AP SKD
stoBaM	1	SKD
stokaH	2	AP SKD
stokam	2	AP MW
stokya	3	CAE MW PWK
stomaH	2	AP SKD
stomam	1	AP
stomay	2	PWG PWK
stomia	2	GRA PWK
stomya	8	AP CAE CCS GRA MD MW PWG PWK
stotar	3	CCS PWG PWK
stotra	10	BUR CAE CCS GRA INM MW PWG PWK VCP VEI
strAwa	2	MW PWK
strERa	9	AP CAE CCS GRA MD MW PWG PWK VCP
strIga	4	AP MW PWG PWK
strIka	5	CAE CCS MW PWG PWK
strItA	3	AP MW SKD
strIyA	1	BHS
strIya	2	MD MW
strIzU	3	CAE MW PWK
strasA	1	SCH
striyA	1	BHS
stuBaH	2	AP SKD
stubDa	1	MW
stukaH	1	AP
stunBa	2	SKD VCP
stutaH	2	AP SKD
stutiH	2	AP SKD
stutyA	2	AP MW
stutya	9	AP BUR CAE CCS INM MD MW PWG PWK
stuvat	1	MW
stuviH	1	AP
styAna	9	AP BHS CAE MD MW PWG PWK SCH VCP
styAya	1	MW
styEna	3	MW PWG PWK
styena	5	BUR MW PWG PWK VCP
suASis	1	GRA
suAkta	1	PWK
suAsti	1	PWK
suAsud	1	PWK
suAyuj	2	GRA PWK
suBAgA	1	MW
suBAga	6	CAE CCS GRA MW PWG PWK
suBAnu	3	MW PWG PWK
suBAsa	3	MW PWG PWK
suBImA	1	MW
suBIma	4	INM MW PWG PWK
suBIta	3	MW PWG PWK
suBUma	5	BHS MW PWG PWK VCP
suBUmi	4	BHS MW PWG PWK
suBUtA	1	MW
suBUta	5	CAE CCS MW PWG PWK
suBUti	7	BHS CAE CCS MW PWG PWK VCP
suBUza	1	SCH
suBagA	6	AP BHS INM MW SKD VEI
suBaga	13	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP
suBara	8	BHS CAE CCS GRA MW PWG PWK SCH
suBati	1	BHS
suBava	4	INM MW PWG PWK
suBawA	1	MW
suBawa	7	CAE CCS MD MW PWG PWK VCP
suBfSa	6	BUR CAE CCS MW PWK VCP
suBfta	7	AP CAE CCS GRA MW PWG PWK
suBita	1	PWG
suBogA	2	MW PWK
suBoja	3	MW PWG PWK
suBrAj	4	INM MW PWG PWK
suBrUH	2	AP SKD
suBruH	1	SKD
suBujA	1	MW
suBuja	7	BHS CAE CCS INM MW PWG PWK
suBvan	3	MW PWG PWK
suDAma	2	BHS MW
suDApa	1	SCH
suDAra	7	AP CAE CCS GRA MW PWG PWK
suDAsU	3	MW PWG PWK
suDAta	5	AP CAE MW PWG PWK
suDAtf	1	MW
suDAtu	6	CAE CCS GRA MW PWG PWK
suDAya	3	MW PWG PWK
suDIkf	2	MD MW
suDIra	6	CAE CCS MD MW PWG PWK
suDOta	4	CAE MW PWG PWK
suDUma	1	VCP
suDana	7	BHS CAE CCS GRA MW PWG PWK
suDanu	1	BHS
suDara	4	CCS MW PWG PWK
suDaya	1	MW
suDeza	1	MW
suDfta	4	CAE MW PWG PWK
suDfti	4	CAE MW PWG PWK
suDita	8	AP CAE CCS GRA MD MW PWG PWK
suDiti	5	BUR MW PWG PWK VCP
suDura	5	CAE GRA MW PWG PWK
suGana	3	CAE MW PWK
suGawa	3	MW PWG PWK
suGora	5	BHS CAE MW PWG PWK
suGoza	8	AP BHS CAE CCS INM MW PWG PWK
suKASA	3	MW PWG PWK
suKASa	4	MW PWG PWK VCP
suKAdi	5	CAE GRA MW PWG PWK
suKAkf	2	AP MW
suKApa	4	AP MW PWG PWK
suKAya	3	CCS MD MW
suKaBU	3	MW PWG PWK
suKadA	4	AP INM MW SKD
suKada	8	AP CAE CCS INM MW PWG PWK VCP
suKaga	1	MW
suKama	2	BHS SCH
suKana	3	MW PWG PWK
suKatA	3	MW PWG PWK
suKavI	3	MW PWG PWK
suKaya	2	MD MW
suKayu	3	MW PWG PWK
suKeta	1	MW
suKila	1	BHS
suKitA	6	CAE CCS MD MW PWG PWK
suKita	6	AP CAE CCS MD MW PWK
suKuma	1	BHS
suKura	2	MW PWK
suPAla	3	MW PWG PWK
suPalA	3	AP MW SKD
suPalI	1	PWK
suPala	9	AP BUR CAE CCS GRA MW PWG PWK VCP
suPena	5	BUR MW PWG PWK VCP
suSAka	4	MW PWG PWK VCP
suSIlA	3	AP MW SKD
suSIla	9	AP BHS BUR CAE CCS MW PWG PWK VCP
suSIma	6	AP MW PWG PWK SCH VCP
suSItA	3	MW SKD VCP
suSIta	7	BUR CAE CCS MW PWG PWK VCP
suSaWa	2	MW PWK
suSaka	5	AP GRA MW PWG PWK
suSamI	5	CAE GRA MW PWG PWK
suSama	3	MW PWG PWK
suSami	5	CAE CCS MW PWG PWK
suSara	3	MW PWG PWK
suSavI	5	MW PWG PWK SKD VCP
suSeru	3	MW PWG PWK
suSeva	7	AP CAE CCS GRA MW PWG PWK
suSfta	3	MW PWG PWK
suSiKA	4	AP MW PWG SKD
suSiKa	5	BUR MW PWG PWK VCP
suSila	1	BHS
suSoPa	2	MW PWK
suSoRa	4	AP MW PWG PWK
suSoka	4	GRA MW PWG PWK
suSruk	2	MW PWK
suSrut	6	CAE CCS GRA MW PWG PWK
suSuBa	3	MW PWG PWK
suaNga	2	GRA PWK
suaSis	1	PWK
suaSva	2	GRA PWK
suagni	2	GRA PWK
suapas	2	GRA PWK
suarRf	1	GRA
suarTa	2	GRA PWK
suarci	2	GRA PWK
suarga	2	GRA PWK
suarka	2	GRA PWK
suaryu	2	GRA PWK
suarzA	2	GRA PWK
suasti	1	GRA
suavas	2	GRA PWK
suavid	1	PWK
subAhu	10	AP BHS BUR CAE CCS GRA INM MW PWG PWK
subAla	6	AP CAE CCS MW PWG PWK
subIja	7	AP CAE CCS INM MW PWG PWK
subahu	5	CAE CCS MW PWG PWK
subala	8	AP BUR CAE CCS INM MW PWG PWK
suboDA	1	MW
suboDa	6	AP CAE CCS MW PWG PWK
subuDa	3	MW PWG PWK
sucArA	3	MW PWG PWK
sucAru	5	CAE INM MW PWG PWK
sucIrA	3	MW PWG PWK
sucalA	1	BHS
sucarA	2	MW PWK
sucela	4	CAE CCS MW PWK
sucetI	1	PWK
sucetu	5	CAE CCS GRA PWG PWK
sucira	6	CAE CCS MW PWG PWK VCP
sucuwI	6	AP BUR MW PWG PWK SKD
sudAmA	3	INM MW SKD
sudAma	3	MW PWG PWK
sudAna	5	CAE CCS MW PWG PWK
sudAnu	6	CAE CCS GRA MW PWG PWK
sudAru	6	BUR CAE MW PWG PWK VCP
sudAsa	7	BHS CAE CCS INM MW PWG PWK
sudAtf	1	MW
sudAtu	4	GRA MW PWG PWK
sudAya	6	BUR MW PWG PWK SCH VCP
sudIpA	1	BHS
sudIti	6	CAE CCS GRA MW PWG PWK
sudUra	8	AP BUR CAE CCS MW PWG PWK VCP
sudaas	1	GRA
sudalA	2	MW SKD
sudala	4	MW PWG PWK VCP
sudama	1	MW
sudant	4	CAE CCS PWG PWK
sudatI	1	MW
sudaya	1	BHS
sudeSa	4	CAE MW PWG PWK
sudeha	4	CAE MW PWG PWK
sudevA	2	INM MW
sudevI	1	VEI
sudeva	9	BHS CAE CCS GRA INM MW PWG PWK VEI
sudevi	2	MW PWK
sudfQa	6	AP CAE CCS MW PWG PWK
sudfSa	1	BHS
sudina	9	CAE CCS GRA INM MD MW PWG PWK VCP
suditi	3	MW PWG PWK
sudivA	2	MW PWK
sudiva	5	CAE CCS MW PWG PWK
sudivi	1	PWG
sudoDa	1	PWK
sudoGa	5	CAE CCS GRA MW PWG
sudoha	4	CAE MW PWG PWK
suduGA	1	MW
suduGa	6	CAE CCS GRA MW PWG PWK
suduha	3	MW PWG PWK
sudyut	6	CAE CCS GRA MW PWG PWK
sugADa	5	CAE GRA MW PWG PWK
sugAha	1	SCH
sugAtu	6	CAE CCS GRA MW PWG PWK
sugITa	2	MW PWK
sugIta	5	CAE CCS MW PWG PWK
sugIti	5	CAE CCS MW PWG PWK
sugUQa	4	CAE MW PWG PWK
sugaRA	2	INM MW
sugaRa	3	MW PWG PWK
sugalA	3	MW PWG PWK
sugama	8	AP BUR CAE CCS MD MW PWG PWK
sugara	3	MW PWG PWK
sugata	10	AP BHS BUR CAE CCS MW PWG PWK SCH VCP
sugati	5	CAE CCS MW PWG PWK
sugava	6	CAE CCS GRA MW PWG PWK
sugavi	3	MW PWG PWK
