slp1	iast	pos	period_spread
Gora	ghora	adj	7
SarIra	śarīra	n	7
DI	dhī	f	7
arh	arh	v	7
SaMkara	śaṁkara	m	5
sfj	sṛj	v	7
astra	astra	mn	6
lakzaRa	lakṣaṇa	n	6
kAnta	kānta	n	4
asura	asura	m	7
tanU	tanū	f	2
azwan	aṣṭan	adj	7
pat	pat	v	7
pAtra	pātra	n	7
anna	anna	n	7
mUtra	mūtra	n	4
mada	mada	m	7
rAjya	rājya	n	7
antara	antara	adj	7
deSa	deśa	m	7
praBu	prabhu	m	6
vidyA	vidyā	f	7
Ayus	āyus	n	7
kara	kara	adj	6
duryoDana	duryodhana	m	2
nAman	nāman	n	7
kratu	kratu	m	6
bARa	bāṇa	m	6
Dana	dhana	n	7
mAyA	māyā	f	7
Gfta	ghṛta	n	7
praviS	praviś	v	7
BIma	bhīma	m	6
Buj	bhuj	v	7
ISa	īśa	m	6
krama	krama	m	6
vaNga	vaṅga	mn	2
rai	rai	m	2
vaidehI	vaidehī	f	2
vft	vṛt	v	7
vastra	vastra	mn	7
amfta	amṛta	adj	7
samara	samara	mn	5
stoma	stoma	m	2
kruD	krudh	v	6
svasti	svasti	fn	6
parASara	parāśara	m	3
BImasena	bhīmasena	m	2
narmadA	narmadā	f	3
puzpa	puṣpa	n	7
antarikza	antarikṣa	n	6
lepay	lepay	v	2
kavi	kavi	m	7
cakra	cakra	n	7
rakta	rakta	adj	6
vrata	vrata	n	7
kula	kula	n	7
nI	nī	v	7
prajApati	prajāpati	m	6
giri	giri	m	7
nikzip	nikṣip	v	5
aDvara	adhvara	m	3
SUra	śūra	m	6
hA	hā	v	7
sTAna	sthāna	n	7
zaz	ṣaṣ	adj	7
ugra	ugra	adj	6
Bagavat	bhagavat	adj	7
kriyA	kriyā	f	6
arka	arka	m	7
jyotis	jyotis	n	7
Danus	dhanus	n	7
kAray	kāray	v	6
Sakra	śakra	m	7
vAta	vāta	m	7
Gna	ghna	adj	6
sad	sad	v	6
vaiSampAyana	vaiśampāyana	m	1
aNga	aṅga	n	7
saMSaya	saṁśaya	m	6
aS	aś	v	7
kfzRa	kṛṣṇa	m	7
viS	viś	f	7
laNkA	laṅkā	f	4
BUmi	bhūmi	f	7
Bava	bhava	m	5
hfdaya	hṛdaya	n	7
satya	satya	n	7
mArkaRqeya	mārkaṇḍeya	m	3
ojas	ojas	n	6
aBraka	abhraka	mn	2
mad	mad	v	7
yantra	yantra	mn	4
cakzus	cakṣus	n	7
vega	vega	m	6
devatA	devatā	f	7
citra	citra	adj	7
saMjaya	saṁjaya	m	2
devadeva	devadeva	m	4
kzaya	kṣaya	m	7
karza	karṣa	mn	2
bfhaspati	bṛhaspati	m	6
Satru	śatru	m	7
kanyA	kanyā	f	7
Atmaka	ātmaka	adj	5
jIv	jīv	v	7
aditi	aditi	f	4
mAkzika	mākṣika	mfn	2
Cid	chid	v	7
yogin	yogin	m	5
pitta	pitta	n	2
pArTiva	pārthiva	m	7
AyA	āyā	v	6
vinikzip	vinikṣip	v	2
samudra	samudra	m	7
tAta	tāta	m	5
janman	janman	n	7
sinDu	sindhu	mf	5
saMyuta	saṁyuta	adj	4
Buvana	bhuvana	n	5
vftti	vṛtti	f	6
mahApurARa	mahāpurāṇa	n	2
jAtavedas	jātavedas	m	3
sainya	sainya	n	5
darSay	darśay	v	6
barhis	barhis	mn	2
samudDf	samuddhṛ	v	2
paTin	pathin	m	7
hasta	hasta	mn	7
garBa	garbha	m	7
diS	diś	f	7
saMhitA	saṁhitā	f	3
aha	aha	mn	7
yoni	yoni	mf	7
AdA	ādā	v	7
arDa	ardha	mn	7
dAS	dāś	v	2
viSeza	viśeṣa	m	6
Kowa	khoṭa	mn	2
upAs	upās	v	6
sattama	sattama	adj	5
guYjA	guñjā	f	2
uru	uru	adj	3
cUrRay	cūrṇay	v	2
da	da	adj	6
BAryA	bhāryā	f	6
Ajya	ājya	n	6
duh	duh	v	4
nArAyaRa	nārāyaṇa	m	6
vas	vas	v	7
toya	toya	n	6
agra	agra	n	7
vf	vṛ	v	6
avAp	avāp	v	6
kAYcana	kāñcana	n	6
Candas	chandas	n	3
Sveta	śveta	adj	7
maGavan	maghavan	m	3
kroDa	krodha	m	6
yuga	yuga	mn	7
SilA	śilā	f	6
Siras	śiras	n	7
triPalA	triphalā	mf	2
e	e	v	6
sahas	sahas	n	6
jYa	jña	adj	7
snAna	snāna	n	4
SAstra	śāstra	n	6
gf	gṛ	v	3
sahita	sahita	adj	6
mfdu	mṛdu	adj	6
ukTa	uktha	n	2
AcAra	ācāra	m	5
vftra	vṛtra	m	3
upama	upama	adj	7
praRam	praṇam	v	6
dfQa	dṛḍha	adj	7
mahi	mahi	adj	2
kaTA	kathā	f	6
havya	havya	n	4
snigDa	snigdha	adj	6
vyaD	vyadh	v	6
jAraRa	jāraṇa	mfn	2
tf	tṛ	v	7
DftarAzwra	dhṛtarāṣṭra	m	2
yojay	yojay	v	6
vaDa	vadha	m	7
pravft	pravṛt	v	6
kanda	kanda	mn	3
vfzaBa	vṛṣabha	m	6
saMvid	saṁvid	f	5
BARqa	bhāṇḍa	n	5
fc	ṛc	f	4
ratna	ratna	mn	7
Badra	bhadra	adj	6
Sak	śak	v	7
saMyuj	saṁyuj	v	6
sAman	sāman	n	6
hf	hṛ	v	7
pIta	pīta	adj	5
prayA	prayā	v	6
Bakzay	bhakṣay	v	7
avas	avas	n	2
yuD	yudh	v	6
paYcama	pañcama	adj	6
sat	sat	adj	7
rAga	rāga	m	5
uzRa	uṣṇa	adj	5
DanaMjaya	dhanaṁjaya	m	3
sev	sev	v	6
maitreya	maitreya	m	2
yuta	yuta	adj	6
ASrama	āśrama	mn	6
SUdra	śūdra	m	6
puMs	puṁs	m	7
maRqala	maṇḍala	mfn	6
Savas	śavas	n	2
vikrama	vikrama	m	5
nizka	niṣka	mn	2
sac	sac	v	2
Bartf	bhartṛ	m	6
prasAda	prasāda	m	6
cit	cit	v	5
druti	druti	f	2
pura	pura	n	6
dakziRa	dakṣiṇa	adj	7
udaka	udaka	n	7
Baga	bhaga	mn	5
kAkutsTa	kākutstha	m	2
vijYA	vijñā	v	7
BAz	bhāṣ	v	6
hava	hava	m	2
rADas	rādhas	n	2
manuzya	manuṣya	m	7
svaBAva	svabhāva	m	6
kvATa	kvātha	m	2
mati	mati	f	7
viviDa	vividha	adj	6
aBiDA	abhidhā	v	6
jarA	jarā	f	6
svarga	svarga	m	7
kaPa	kapha	m	2
drAva	drāva	m	1
sAgara	sāgara	m	6
prAYc	prāñc	adj	7
mfga	mṛga	m	7
vyAGra	vyāghra	m	6
hara	hara	adj	5
rakz	rakṣ	v	7
pitAmaha	pitāmaha	m	6
sTiti	sthiti	f	5
kAYjika	kāñjika	n	2
haya	haya	m	6
candra	candra	m	7
zoqaSan	ṣoḍaśan	adj	4
payas	payas	n	7
saumitri	saumitri	m	2
pARqu	pāṇḍu	m	5
dala	dala	mn	4
rajas	rajas	n	7
viBu	vibhu	adj	6
prayatna	prayatna	m	5
savana	savana	n	2
ganDarva	gandharva	m	7
parameSvara	parameśvara	m	3
dugDa	dugdha	n	2
kalpa	kalpa	mn	7
puw	puṭ	v	2
ozaDi	oṣadhi	mf	7
nadI	nadī	f	7
kalA	kalā	f	5
vimarday	vimarday	v	1
IS	īś	v	2
gaja	gaja	m	6
jAti	jāti	f	5
jap	jap	v	7
Saila	śaila	mn	6
Ap	āp	v	7
Adika	ādika	adj	4
saMvatsara	saṁvatsara	mn	7
tamas	tamas	n	7
aMhas	aṁhas	n	2
kzatriya	kṣatriya	m	7
ga	ga	adj	7
Kalva	khalva	mn	1
DyA	dhyā	v	7
pakva	pakva	adj	6
DArA	dhārā	f	7
siD	sidh	v	7
ABa	ābha	adj	6
sADu	sādhu	adj	7
manu	manu	m	7
tIkzRa	tīkṣṇa	n	6
Ahuti	āhuti	f	5
vatsa	vatsa	m	6
mftyu	mṛtyu	m	7
jambIra	jambīra	m	2
hi	hi	v	2
Atmaja	ātmaja	m	5
lavaRa	lavaṇa	n	5
AsTA	āsthā	v	6
kzAra	kṣāra	m	2
martya	martya	m	7
upAya	upāya	m	6
Sulba	śulba	n	2
rodas	rodas	n	2
vAlin	vālin	m	2
pAcay	pācay	v	2
Suci	śuci	adj	7
daSaraTa	daśaratha	m	2
Asana	āsana	n	6
mala	mala	mn	4
UrDva	ūrdhva	adj	7
pUzan	pūṣan	m	4
banDa	bandha	m	6
tan	tan	v	4
tala	tala	mn	6
aKila	akhila	adj	5
ram	ram	v	7
kalka	kalka	mn	2
retas	retas	n	5
viBIzaRa	vibhīṣaṇa	m	3
karaRa	karaṇa	n	6
saKI	sakhī	f	5
yaSas	yaśas	n	6
Sravas	śravas	n	2
alpa	alpa	adj	6
prAh	prāh	v	7
dyAvApfTivI	dyāvāpṛthivī	f	2
yama	yama	m	7
dah	dah	v	7
Sarman	śarman	n	3
mUrti	mūrti	f	5
mantrin	mantrin	m	6
drAvay	drāvay	v	2
kowi	koṭi	f	6
aNgula	aṅgula	mn	4
budDa	buddha	m	3
anvita	anvita	adj	6
sidDa	siddha	m	6
aBAva	abhāva	m	5
mAray	māray	v	2
sUkta	sūkta	n	3
maiTilI	maithilī	f	2
KaRqa	khaṇḍa	mn	4
apaha	apaha	adj	3
Iq	īḍ	v	2
vfkza	vṛkṣa	m	7
prI	prī	v	7
pramARa	pramāṇa	mn	6
Atapa	ātapa	m	4
vraj	vraj	v	6
Denu	dhenu	f	5
sAhasra	sāhasra	adj	3
icCA	icchā	f	4
varjay	varjay	v	6
aDika	adhika	adj	6
vaS	vaś	v	2
gadA	gadā	f	5
laGu	laghu	adj	6
Bid	bhid	v	7
Dvaja	dhvaja	mn	5
cintay	cintay	v	6
dvijottama	dvijottama	m	4
dviz	dviṣ	v	6
Boga	bhoga	m	6
vaktra	vaktra	n	6
van	van	v	2
jvara	jvara	m	6
DAray	dhāray	v	7
tap	tap	v	7
saMkASa	saṁkāśa	m	6
sampuwa	sampuṭa	mn	2
pf	pṛ	v	7
saKya	sakhya	n	3
hfz	hṛṣ	v	7
senA	senā	f	6
saMjYA	saṁjñā	f	6
gola	gola	mn	1
Sastra	śastra	n	7
aSeza	aśeṣa	adj	4
udaya	udaya	m	6
mArga	mārga	m	6
mahABAga	mahābhāga	adj	5
lih	lih	v	2
janay	janay	v	7
As	ās	v	7
Sozay	śoṣay	v	2
DAman	dhāman	n	6
vaSa	vaśa	m	7
sTApay	sthāpay	v	6
guwikA	guṭikā	f	2
prakfti	prakṛti	f	6
aryaman	aryaman	m	4
prIti	prīti	f	6
mAMsa	māṁsa	n	7
suvarRa	suvarṇa	n	6
Sizya	śiṣya	m	6
dvAdaSan	dvādaśan	adj	7
arc	arc	v	7
siMha	siṁha	m	6
pezay	peṣay	v	2
BUri	bhūri	adj	7
sampad	sampad	v	7
AkAra	ākāra	m	6
marta	marta	m	2
ISAna	īśāna	m	4
rasendra	rasendra	mn	2
pratizWA	pratiṣṭhā	v	7
Arta	ārta	adj	6
tApya	tāpya	mn	2
adri	adri	m	7
pakza	pakṣa	m	7
padma	padma	mn	6
hita	hita	adj	6
pratyaYc	pratyañc	adj	2
SIta	śīta	adj	6
maDura	madhura	adj	6
pavitra	pavitra	n	6
anuttama	anuttama	adj	5
mokza	mokṣa	m	5
fC	ṛch	v	4
SrImat	śrīmat	adj	6
sveday	sveday	v	2
jIvita	jīvita	n	6
Sam	śam	v	7
tftIya	tṛtīya	adj	7
vasizWa	vasiṣṭha	m	6
bAla	bāla	m	6
ftu	ṛtu	m	7
purI	purī	f	5
SUla	śūla	mn	6
cetas	cetas	n	7
skAnda	skānda	n	1
auzaDa	auṣadha	n	4
rA	rā	v	2
vaRij	vaṇij	m	5
ADA	ādhā	v	7
pARi	pāṇi	m	7
ekASIti	ekāśīti	f	1
hfd	hṛd	n	7
veDay	vedhay	v	2
aNgada	aṅgada	m	2
Bikzu	bhikṣu	m	4
nimitta	nimitta	n	5
viqa	viḍa	mn	2
samAna	samāna	adj	7
kaunteya	kaunteya	m	2
SudDi	śuddhi	f	4
vAsudeva	vāsudeva	m	5
SrAdDa	śrāddha	n	4
kft	kṛt	adj	7
graha	graha	mn	7
Bakta	bhakta	m	5
samiD	samidh	f	4
Avantya	āvantya	m	1
sUkzma	sūkṣma	adj	6
SamBu	śambhu	m	5
gA	gā	v	7
DImat	dhīmat	adj	6
tila	tila	mn	5
grAma	grāma	mn	7
revAKaRqa	revākhaṇḍa	m	1
sUtaka	sūtaka	mn	2
tuz	tuṣ	v	6
gajapuwa	gajapuṭa	mn	1
aDipa	adhipa	m	5
prasad	prasad	v	6
dIp	dīp	v	6
vezway	veṣṭay	v	4
rAtri	rātri	f	7
palita	palita	n	2
dIna	dīna	adj	6
vaD	vadh	v	6
samAhf	samāhṛ	v	1
anyonya	anyonya	adj	6
deveSa	deveśa	m	3
gAruqa	gāruḍa	n	1
tAlaka	tālaka	mn	2
golaka	golaka	m	2
akzara	akṣara	n	7
Sukra	śukra	adj	7
nitya	nitya	adj	7
svarUpa	svarūpa	n	4
niruD	nirudh	v	4
kzatra	kṣatra	n	6
Ananda	ānanda	m	7
sah	sah	v	7
pAka	pāka	m	5
yajYiya	yajñiya	adj	2
vAsas	vāsas	n	7
sainDava	saindhava	mn	3
praBA	prabhā	f	6
AsAday	āsāday	v	6
kopa	kopa	m	6
veDa	vedha	mn	2
sumati	sumati	f	2
kuzWa	kuṣṭha	mn	2
vanaspati	vanaspati	mf	4
CAyA	chāyā	f	7
Sri	śri	v	5
saMgrAma	saṁgrāma	mn	5
BUDara	bhūdhara	m	3
jaritf	jaritṛ	m	2
utTA	utthā	v	7
aYj	añj	v	4
pAYcAla	pāñcāla	m	2
I	ī	v	2
grahaRa	grahaṇa	n	5
Seza	śeṣa	mn	7
sneha	sneha	mn	6
dUta	dūta	m	6
samBava	sambhava	m	6
dvitIya	dvitīya	adj	7
fz	ṛṣ	v	2
puMgava	puṁgava	m	5
mahI	mahī	f	7
kARqa	kāṇḍa	mn	2
hiraRya	hiraṇya	n	5
kzetra	kṣetra	mn	7
ad	ad	v	4
samasta	samasta	adj	5
buD	budh	v	6
inD	indh	v	2
saMyuga	saṁyuga	n	2
moha	moha	m	6
vyAsa	vyāsa	m	4
ahi	ahi	m	6
suhfd	suhṛd	m	5
vfdDi	vṛddhi	f	5
tAla	tāla	mn	6
raSmi	raśmi	mf	7
utpad	utpad	v	6
naS	naś	v	7
muh	muh	v	7
dakziRA	dakṣiṇā	f	7
viSvAmitra	viśvāmitra	m	6
nagara	nagara	mn	6
nASana	nāśana	adj	4
vidaTa	vidatha	n	2
anIka	anīka	mn	5
upe	upe	v	7
Garma	gharma	m	4
niDA	nidhā	v	7
kumBakarRa	kumbhakarṇa	m	2
DArtarAzwra	dhārtarāṣṭra	m	1
aNgiras	aṅgiras	m	6
niSAcara	niśācara	m	3
vfdDa	vṛddha	adj	6
rUpya	rūpya	n	2
Ahava	āhava	m	3
kAya	kāya	m	6
dolAyantra	dolāyantra	n	1
AyuDa	āyudha	mn	6
Sakya	śakya	adj	5
maRi	maṇi	m	7
vaikrAnta	vaikrānta	mn	2
Srotra	śrotra	n	6
dviguRa	dviguṇa	adj	4
vayas	vayas	n	7
nArada	nārada	m	5
SoDay	śodhay	v	4
vAjin	vājin	m	6
pUjA	pūjā	f	6
jaya	jaya	m	7
tIvra	tīvra	adj	7
Urj	ūrj	f	2
dIkzA	dīkṣā	f	4
nipat	nipat	v	6
praBAva	prabhāva	m	6
mitrAvaruRa	mitrāvaruṇa	m	2
kaikeyI	kaikeyī	f	2
saMsTA	saṁsthā	v	7
patnI	patnī	f	7
kaurava	kaurava	m	2
jihvA	jihvā	f	7
arcay	arcay	v	6
Suzka	śuṣka	adj	6
samaya	samaya	m	6
gad	gad	v	5
bali	bali	m	7
pratyaya	pratyaya	m	6
vaiSvAnara	vaiśvānara	m	2
paraspara	paraspara	adj	6
vajramUzA	vajramūṣā	mf	1
maDumat	madhumat	adj	2
SoBana	śobhana	adj	6
sAra	sāra	mn	6
divasa	divasa	mn	6
Df	dhṛ	v	7
pradA	pradā	v	7
kleSa	kleśa	m	5
SApa	śāpa	m	5
mardana	mardana	mn	2
sic	sic	v	7
sAtyaki	sātyaki	m	2
SIla	śīla	mn	6
utTa	uttha	adj	4
vI	vī	v	6
sTAlI	sthālī	f	3
manyu	manyu	mf	6
druma	druma	m	5
SaraRa	śaraṇa	n	7
vyoman	vyoman	mn	6
varcas	varcas	n	5
viBAga	vibhāga	m	4
dIrGa	dīrgha	adj	7
pfzWa	pṛṣṭha	n	7
udara	udara	n	7
odana	odana	mn	2
prAjYa	prājña	adj	6
Baj	bhaj	v	7
guqa	guḍa	mn	3
yoDa	yodha	m	3
prayam	prayam	v	7
SudDa	śuddha	adj	4
somya	somya	adj	2
AcArya	ācārya	m	7
tanu	tanu	f	7
kzaudra	kṣaudra	n	2
sarga	sarga	m	6
prada	prada	adj	5
utsfj	utsṛj	v	6
izvAsa	iṣvāsa	m	1
uBaya	ubhaya	adj	7
vaMSa	vaṁśa	m	7
Aruh	āruh	v	7
saMniBa	saṁnibha	adj	6
san	san	v	2
Ahf	āhṛ	v	7
sajozas	sajoṣas	adj	2
DarmarAja	dharmarāja	m	2
umA	umā	f	3
ambu	ambu	n	6
aDvaryu	adhvaryu	m	2
aneka	aneka	adj	6
Dara	dhara	adj	6
DAtu	dhātu	mn	7
saMGa	saṁgha	m	5
rasaka	rasaka	mn	2
sarasvatI	sarasvatī	f	7
rati	rati	f	5
Gana	ghana	mn	6
sUnu	sūnu	m	5
ASri	āśri	v	6
vapus	vapus	n	7
DyAna	dhyāna	mn	6
manda	manda	adj	6
pre	pre	v	5
balavat	balavat	adj	6
suvrata	suvrata	adj	5
saminD	samindh	v	2
sakala	sakala	adj	4
saumya	saumya	adj	7
pAzARa	pāṣāṇa	m	3
anDas	andhas	n	2
parAkrama	parākrama	m	6
piRqa	piṇḍa	mn	6
nivft	nivṛt	v	5
Sayana	śayana	n	6
prakASa	prakāśa	m	6
sAray	sāray	v	2
nAsatya	nāsatya	m	2
nandana	nandana	m	5
BUnAga	bhūnāga	mn	1
ramya	ramya	adj	6
lepa	lepa	m	2
ketu	ketu	m	6
daSagrIva	daśagrīva	m	2
matsya	matsya	m	5
Akula	ākula	adj	6
sADaka	sādhaka	m	4
tvazwf	tvaṣṭṛ	m	4
citraka	citraka	mn	2
mukti	mukti	f	4
pUrvya	pūrvya	adj	2
aDarma	adharma	m	5
riz	riṣ	v	2
pratigrah	pratigrah	v	6
naraka	naraka	mn	4
Bairava	bhairava	m	5
amitra	amitra	mf	4
Kara	khara	m	6
dAruRa	dāruṇa	adj	6
SI	śī	v	6
avasTA	avasthā	f	6
locana	locana	n	6
vyADi	vyādhi	m	5
dIdI	dīdī	v	2
krAmaRa	krāmaṇa	mfn	2
nABi	nābhi	f	6
AhAra	āhāra	m	6
svaDA	svadhā	f	5
saMkruD	saṁkrudh	v	2
tikta	tikta	adj	2
taptaKalva	taptakhalva	mn	1
mA	mā	v	4
upasTA	upasthā	v	6
svapna	svapna	mn	7
udBava	udbhava	adj	4
arvAYc	arvāñc	adj	2
vIryavat	vīryavat	adj	5
ASraya	āśraya	m	5
gomat	gomat	adj	2
kuntI	kuntī	f	2
niveday	niveday	v	6
prayoga	prayoga	m	5
Sauca	śauca	n	4
vfj	vṛj	v	2
fBu	ṛbhu	m	3
SArdUla	śārdūla	m	4
mAnasa	mānasa	n	6
aDvan	adhvan	m	7
mAza	māṣa	m	3
keSava	keśava	m	5
nyas	nyas	v	6
udDf	uddhṛ	v	7
ruh	ruh	v	5
amara	amara	m	6
mAna	māna	n	6
cakzas	cakṣas	n	2
muhUrta	muhūrta	mn	6
ambara	ambara	n	6
viDAna	vidhāna	n	6
samAgam	samāgam	v	6
saMskAra	saṁskāra	m	6
pIti	pīti	f	2
vaiSya	vaiśya	m	7
sutA	sutā	f	6
daivya	daivya	adj	2
