slp1	iast	pos	period_spread
pramARa	pramāṇa	mn	1
BAz	bhāṣ	v	1
praBu	prabhu	m	1
nitya	nitya	adj	1
pU	pū	v	1
utTA	utthā	v	1
mati	mati	f	1
saMjYA	saṁjñā	f	1
citra	citra	adj	1
dvAdaSan	dvādaśan	adj	1
Bf	bhṛ	v	1
prayA	prayā	v	1
BImasena	bhīmasena	m	1
jf	jṛ	v	1
Asana	āsana	n	1
vaSa	vaśa	m	1
padma	padma	mn	1
sainya	sainya	n	1
rakzas	rakṣas	n	1
hfd	hṛd	n	1
Seza	śeṣa	mn	1
sev	sev	v	1
Atmaka	ātmaka	adj	1
samudra	samudra	m	1
prI	prī	v	1
praBA	prabhā	f	1
sampad	sampad	v	1
kAya	kāya	m	1
prIti	prīti	f	1
sADay	sādhay	v	1
vfD	vṛdh	v	1
dIrGa	dīrgha	adj	1
dAnava	dānava	m	1
krama	krama	m	1
dvitIya	dvitīya	adj	1
mada	mada	m	1
vyADi	vyādhi	m	1
Arta	ārta	adj	1
tIkzRa	tīkṣṇa	adj	1
vaiSampAyana	vaiśampāyana	m	1
dAha	dāha	m	1
saMyuj	saṁyuj	v	1
vAnara	vānara	m	1
moha	moha	m	1
boDisattva	bodhisattva	m	1
Bava	bhava	m	1
AsTA	āsthā	v	1
ganDaka	gandhaka	mn	1
anila	anila	m	1
prajApati	prajāpati	m	1
mUrDan	mūrdhan	m	1
rAga	rāga	m	1
yuD	yudh	v	1
mala	mala	mn	1
rAvaRa	rāvaṇa	m	1
ga	ga	adj	1
tAmra	tāmra	n	1
maRi	maṇi	m	1
AhAra	āhāra	m	1
graha	graha	mn	1
ugra	ugra	adj	1
naS	naś	v	1
darSay	darśay	v	1
tvac	tvac	f	1
saMjaya	saṁjaya	m	1
sUkzma	sūkṣma	adj	1
tikta	tikta	adj	1
kowi	koṭi	f	1
Slezman	śleṣman	m	1
Dam	dham	v	1
mfdu	mṛdu	adj	1
janay	janay	v	1
lakzmaRa	lakṣmaṇa	m	1
netra	netra	mn	1
siMha	siṁha	m	1
aBAva	abhāva	m	1
apaha	apaha	adj	1
varuRa	varuṇa	m	1
jIvita	jīvita	n	1
SilA	śilā	f	1
AkASa	ākāśa	mn	1
rAGava	rāghava	m	1
toya	toya	n	1
udara	udara	n	1
gadA	gadā	f	1
daitya	daitya	m	1
pradA	pradā	v	1
sarpis	sarpis	n	1
yuta	yuta	adj	1
AkAra	ākāra	m	1
aha	aha	mn	1
viS	viś	f	1
yogin	yogin	m	1
prAh	prāh	v	1
kaTA	kathā	f	1
dfQa	dṛḍha	adj	1
mokza	mokṣa	m	1
sTApay	sthāpay	v	1
pAna	pāna	n	1
UrDva	ūrdhva	adj	1
haya	haya	m	1
sidDa	siddha	m	1
samBU	sambhū	v	1
aBra	abhra	mn	1
AyA	āyā	v	1
vraj	vraj	v	1
ASri	āśri	v	1
DftarAzwra	dhṛtarāṣṭra	m	1
aDyAya	adhyāya	m	1
ISa	īśa	m	1
vyAGra	vyāghra	m	1
ojas	ojas	n	1
Atmaja	ātmaja	m	1
cetas	cetas	n	1
vfdDa	vṛddha	adj	1
hfz	hṛṣ	v	1
sadfSa	sadṛśa	adj	1
dIp	dīp	v	1
Bojana	bhojana	n	1
DImat	dhīmat	adj	1
pf	pṛ	v	1
SIla	śīla	mn	1
kalpa	kalpa	mn	1
jaya	jaya	m	1
dvAra	dvāra	n	1
viDAna	vidhāna	n	1
samBava	sambhava	m	1
BI	bhī	v	1
Sizya	śiṣya	m	1
vAsudeva	vāsudeva	m	1
SUdra	śūdra	m	1
manda	manda	adj	1
Baj	bhaj	v	1
vfdDi	vṛddhi	f	1
suhfd	suhṛd	m	1
jap	jap	v	1
mahI	mahī	f	1
vAsas	vāsas	n	1
Sveta	śveta	adj	1
vikrama	vikrama	m	1
suvarRa	suvarṇa	n	1
upAya	upāya	m	1
Bakzay	bhakṣay	v	1
DanaMjaya	dhanaṁjaya	m	1
nivft	nivṛt	v	1
sAgara	sāgara	m	1
samaya	samaya	m	1
paTin	pathin	m	1
vAra	vāra	mn	1
Dvaja	dhvaja	mn	1
muh	muh	v	1
anyonya	anyonya	adj	1
AsAday	āsāday	v	1
kumAra	kumāra	m	1
nArada	nārada	m	1
dru	dru	v	1
pArSva	pārśva	mn	1
pfzWa	pṛṣṭha	n	1
karaRa	karaṇa	n	1
pAka	pāka	m	1
snAna	snāna	n	1
utpad	utpad	v	1
sItA	sītā	f	1
svaBAva	svabhāva	m	1
prada	prada	adj	1
piz	piṣ	v	1
Ananda	ānanda	m	1
DyA	dhyā	v	1
nArAyaRa	nārāyaṇa	m	1
paraspara	paraspara	adj	1
ABa	ābha	adj	1
SaNKa	śaṅkha	mn	1
marut	marut	m	1
viBu	vibhu	adj	1
Adika	ādika	adj	1
nimitta	nimitta	n	1
praSaMs	praśaṁs	v	1
kuzWa	kuṣṭha	mn	1
buD	budh	v	1
vaktra	vaktra	n	1
prayam	prayam	v	1
kawu	kaṭu	adj	1
aBiDA	abhidhā	v	1
Df	dhṛ	v	1
gaNgA	gaṅgā	f	1
matsya	matsya	m	1
Avf	āvṛ	v	1
vidvas	vidvas	adj	1
SoRita	śoṇita	n	1
Saila	śaila	mn	1
tila	tila	mn	1
AcArya	ācārya	m	1
uBaya	ubhaya	adj	1
vatsa	vatsa	m	1
vraRa	vraṇa	mn	1
mUzA	mūṣā	f	1
svarRa	svarṇa	n	1
kalA	kalā	f	1
dfzwi	dṛṣṭi	f	1
nASana	nāśana	adj	1
aNgula	aṅgula	mn	1
Sam	śam	v	1
tftIya	tṛtīya	adj	1
bAla	bāla	m	1
aneka	aneka	adj	1
muKya	mukhya	adj	1
rUkza	rūkṣa	adj	1
prasad	prasad	v	1
amla	amla	adj	1
pIta	pīta	adj	1
asTi	asthi	n	1
Aruh	āruh	v	1
patnI	patnī	f	1
spfS	spṛś	v	1
vaMSa	vaṁśa	m	1
senA	senā	f	1
jyotis	jyotis	n	1
yojay	yojay	v	1
aDarma	adharma	m	1
Boga	bhoga	m	1
drava	drava	mn	1
nArI	nārī	f	1
SaMkara	śaṁkara	m	1
vaD	vadh	v	1
vimuc	vimuc	v	1
praRam	praṇam	v	1
niyam	niyam	v	1
sAra	sāra	mn	1
Ajya	ājya	n	1
DI	dhī	f	1
jAti	jāti	f	1
manu	manu	m	1
pUjA	pūjā	f	1
tAra	tāra	mn	1
prayuj	prayuj	v	1
gAtra	gātra	n	1
maheSvara	maheśvara	m	1
svap	svap	v	1
ambu	ambu	n	1
pArada	pārada	mn	1
Bikzu	bhikṣu	m	1
kAsa	kāsa	m	1
kzi	kṣi	v	1
Acar	ācar	v	1
saMyuta	saṁyuta	adj	1
vf	vṛ	v	1
Dara	dhara	adj	1
SrImat	śrīmat	adj	1
kaRWa	kaṇṭha	m	1
sparSa	sparśa	m	1
indu	indu	m	1
nagara	nagara	mn	1
mahAdeva	mahādeva	m	1
vyAKyA	vyākhyā	v	1
aDipa	adhipa	m	1
vijYAna	vijñāna	n	1
kzetra	kṣetra	mn	1
SI	śī	v	1
SvAsa	śvāsa	m	1
upasTA	upasthā	v	1
yakza	yakṣa	m	1
dAruRa	dāruṇa	adj	1
vikAra	vikāra	mn	1
banDa	bandha	m	1
kazAya	kaṣāya	adj	1
Buja	bhuja	m	1
piRqa	piṇḍa	mn	1
ASraya	āśraya	m	1
AviS	āviś	v	1
jarA	jarā	f	1
AcAra	ācāra	m	1
praBAva	prabhāva	m	1
yantra	yantra	mn	1
navan	navan	adj	1
prajYApAramitA	prajñāpāramitā	f	1
mahABAga	mahābhāga	adj	1
rAtra	rātra	mn	1
paYcama	pañcama	adj	1
upAs	upās	v	1
prayatna	prayatna	m	1
auzaDa	auṣadha	n	1
saMyoga	saṁyoga	m	1
keSava	keśava	m	1
yatna	yatna	m	1
bali	bali	m	1
gir	gir	f	1
