slp1	iast	pos	period_spread
prayam	prayam	v	1
Aruh	āruh	v	1
Ananda	ānanda	m	1
kzetra	kṣetra	mn	1
niDA	nidhā	v	1
muh	muh	v	1
praSaMs	praśaṁs	v	1
svap	svap	v	1
tvac	tvac	f	1
AcArya	ācārya	m	1
salila	salila	n	1
vaMSa	vaṁśa	m	1
kzi	kṣi	v	1
vidvas	vidvas	adj	1
AnI	ānī	v	1
jaya	jaya	m	1
nIla	nīla	adj	1
vayas	vayas	n	1
spfS	spṛś	v	1
samAna	samāna	adj	1
keSa	keśa	m	1
Avf	āvṛ	v	1
KyA	khyā	v	1
ozaDi	oṣadhi	mf	1
prAYc	prāñc	adj	1
ftu	ṛtu	m	1
tIvra	tīvra	adj	1
grAma	grāma	mn	1
Ahf	āhṛ	v	1
DArA	dhārā	f	1
CAyA	chāyā	f	1
raSmi	raśmi	mf	1
jihvA	jihvā	f	1
saMvatsara	saṁvatsara	mn	1
adri	adri	m	1
pAna	pāna	n	1
vAma	vāma	adj	1
akzara	akṣara	n	1
dakziRA	dakṣiṇā	f	1
maDyama	madhyama	adj	1
nava	nava	adj	1
vimuc	vimuc	v	1
SaraRa	śaraṇa	n	1
kalpay	kalpay	v	1
pAvaka	pāvaka	m	1
pASa	pāśa	m	1
rAtra	rātra	mn	1
SfNga	śṛṅga	n	1
BUri	bhūri	adj	1
sTira	sthira	adj	1
udDf	uddhṛ	v	1
AraB	ārabh	v	1
sarasvatI	sarasvatī	f	1
yojana	yojana	fn	1
mAnuza	mānuṣa	adj	1
Asya	āsya	n	1
cAru	cāru	adj	1
saumya	saumya	adj	1
saMsTA	saṁsthā	v	1
sarpa	sarpa	m	1
vaiSya	vaiśya	m	1
udi	udi	v	1
nakzatra	nakṣatra	mn	1
kziti	kṣiti	f	1
pratizWA	pratiṣṭhā	v	1
DUma	dhūma	mn	1
ADA	ādhā	v	1
aDvan	adhvan	m	1
kumBa	kumbha	m	1
Iray	īray	v	1
atI	atī	v	1
adButa	adbhuta	adj	1
DIra	dhīra	adj	1
svapna	svapna	mn	1
pratipad	pratipad	v	1
jantu	jantu	m	1
sic	sic	v	1
Sukla	śukla	adj	1
haMsa	haṁsa	m	1
nam	nam	v	1
Ka	kha	n	1
tfRa	tṛṇa	n	1
kevala	kevala	adj	1
vand	vand	v	1
Uru	ūru	mf	1
svara	svara	m	1
gras	gras	v	1
naKa	nakha	mn	1
aSman	aśman	mn	1
viMSati	viṁśati	f	1
yuvan	yuvan	m	1
nirmA	nirmā	v	1
saMskf	saṁskṛ	v	1
nASay	nāśay	v	1
vaDU	vadhū	f	1
carman	carman	n	1
anDa	andha	adj	1
aDama	adhama	adj	1
gup	gup	v	1
niDi	nidhi	m	1
zazwi	ṣaṣṭi	f	1
Sloka	śloka	m	1
SuBra	śubhra	adj	1
SAKA	śākhā	f	1
sru	sru	v	1
vitan	vitan	v	1
saMtap	saṁtap	v	1
uras	uras	n	1
vakzas	vakṣas	n	1
