hw_slp1	iast	pw_L	pw_pc	corr_n	corr_dicts	mahavy_refs	dcs_band	proposed_action	evidence	gloss
agnizwomayAgaviDi	agniṣṭomayāgavidhi	209734	7-291-a	2	acc;sch		0	add-entry	B:agnizwut;B:agnizWa	
agnihotraprAyaScitta	agnihotraprāyaścitta	209742	7-291-a	2	acc;sch		0	add-entry	A:agnihotraprAyaRa;B:agnihotrin	
aGawita	aghaṭita	209787	7-291-b	3	md;sch;stc		0	add-entry		
aGadIpikA	aghadīpikā	209788	7-291-b	2	acc;sch		0	add-entry	B:aGana	
aGapaYcavivecana	aghapañcavivecana	209790	7-291-b	2	acc;sch		0	add-entry	B:aGana	
aGavivecana	aghavivecana	209794	7-291-b	2	acc;sch		0	add-entry	B:aGarma;B:aGaSaMsa	
aGazawka	aghaṣaṭka	209797	7-291-b	2	acc;sch		0	add-entry	B:aGaSaMsin;B:aGAtuka	
aGorakalpa	aghorakalpa	209802	7-291-b	3	acc;pui;sch		0	add-entry	B:aGfRin;B:aGoraGoratara	
aNkanaSAstra	aṅkanaśāstra	209807	7-291-b	2	acc;sch		0	add-entry	B:aNkapASa	
aNgatvanirukti	aṅgatvanirukti	209826	7-291-c	2	acc;sch		0	add-entry		
aNgadinna	aṅgadinna	209827	7-291-c	2	bhs;sch		0	add-entry		
aNgulIPaRahastaka	aṅgulīphaṇahastaka	209857	7-291-d	2	bhs;sch		0	add-entry	B:aNgulivezwaka;A:aNgulIBaNga	
acakita	acakita	209867	7-291-d	3	md;sch;stc		1	add-entry	A:aNGryavanejana;A:acakravarta	
acandrasUrya	acandrasūrya	209870	7-291-d	2	sch;stc		0	add-entry	B:acaRqa	
acalendra	acalendra	209882	7-291-d	3	inm;md;sch		0	add-entry	B:acalapura;A:acAkrika	
acAturmAsya	acāturmāsya	209885	7-291-d	2	sch;stc		0	add-entry		
acikitsanIya	acikitsanīya	209886	7-291-d	2	md;sch		0	add-entry	B:acit	
acintanIya	acintanīya	209889	7-291-d	6	ap;cae;ccs;md;sch;vcp		0	add-entry	B:acittapAjas;B:acintya	
acetita	acetita	209898	7-292-a	3	md;sch;stc		2	add-entry	B:acetana	
acCidradarSana	acchidradarśana	209912	7-292-a	2	ben;sch		0	add-entry		
acyutapraca	acyutapraca	209924	7-292-a	2	pwg;sch		0	add-entry		
acyutaSataka	acyutaśataka	209928	7-292-a	2	acc;sch		0	add-entry		
ajaqapramAtfsidDi	ajaḍapramātṛsiddhi	209942	7-292-b	2	acc;sch		0	add-entry	B:ajana	
ajalpant	ajalpant	209957	7-292-b	3	cae;ccs;sch		0	add-entry	B:ajAgalastana	
ajigIza	ajigīṣa	209968	7-292-b	3	md;sch;stc		0	add-entry	B:ajASva	
ajitadevAcArya	ajitadevācārya	209969	7-292-b	2	acc;sch		0	add-entry		
ajIrRAmftamaYjarI	ajīrṇāmṛtamañjarī	209980	7-292-b	2	acc;sch		0	add-entry	B:ajIrRa;B:ajIrRi	
ajugupsa	ajugupsa	209984	7-292-c	3	ben;sch;stc		0	add-entry	B:ajIvani;A:ajU	
aYjanaparvan	añjanaparvan	209996	7-292-c	2	inm;sch		2	add-entry	B:aYjanaka	
aYjalivEBava	añjalivaibhava	210001	7-292-c	2	acc;sch		0	add-entry		
atanubala	atanubala	210038	7-292-d	2	md;sch		0	add-entry		
atAttvika	atāttvika	210055	7-292-d	2	fri;sch		0	add-entry	B:atasTAna	
atikapila	atikapila	210059	7-292-d	2	pui;sch		0	add-entry		
atikrAntaBAvanIya	atikrāntabhāvanīya	210070	7-293-a	2	pwg;sch		0	add-entry	A:atikrAntAtikrAnta	
atigarjin	atigarjin	210075	7-293-a	2	pwg;sch		0	add-entry	B:atiguru	
atiGana	atighana	210079	7-293-a	3	md;sch;stc		2	add-entry		
aticCedya	aticchedya	210087	7-293-a	2	sch;stc		0	add-entry	B:aticCattraka	
atidarpita	atidarpita	210103	7-293-b	3	md;sch;stc		0	add-entry	B:atidagDa	
atidahanAtmaka	atidahanātmaka	210105	7-293-b	3	md;sch;stc		0	add-entry	B:atidAha	
atiduHKa	atiduḥkha	210109	7-293-b	2	sch;stc		0	add-entry		
atidurjana	atidurjana	210110	7-293-b	3	md;sch;stc		0	add-entry		
atidurbala	atidurbala	210113	7-293-b	3	md;sch;stc		0	add-entry		
atidurvizaha	atidurviṣaha	210115	7-293-b	2	sch;stc		0	add-entry		
atidUravartin	atidūravartin	210120	7-293-b	3	ben;ccs;sch		0	add-entry	B:atidUra	
atinadIzRa	atinadīṣṇa	210127	7-293-b	2	ben;sch		0	add-entry		
atiniBftam	atinibhṛtam	210131	7-293-b	3	md;sch;stc		0	add-entry		
atinirGfRa	atinirghṛṇa	210132	7-293-b	5	cae;ccs;md;sch;stc		0	add-entry		
atinirmaTana	atinirmathana	210133	7-293-b	2	sch;stc		1	add-entry		
atinirviRRa	atinirviṇṇa	210137	7-293-b	2	cae;sch		0	add-entry		
atipadmin	atipadmin	210141	7-293-b	2	sch;stc		0	add-entry		
atipiSuna	atipiśuna	210144	7-293-b	3	md;sch;stc		0	add-entry		
atipratyAsaNga	atipratyāsaṅga	210151	7-293-c	2	sch;stc		0	add-entry		
atipraloBita	atipralobhita	210159	7-293-c	2	sch;stc		0	add-entry		
atipraSAnta	atipraśānta	210164	7-293-c	3	cae;sch;stc		0	add-entry		
atibanDura	atibandhura	210168	7-293-c	2	sch;stc		0	add-entry	B:atibala	
atiBaya	atibhaya	210174	7-293-c	3	md;sch;stc		1	add-entry		
atimaYjula	atimañjula	210185	7-293-c	3	md;sch;stc		0	add-entry		
atimAnuzastava	atimānuṣastava	210195	7-293-d	2	acc;sch		0	add-entry	B:atimAtra;A:atimAla	
atimUrKa	atimūrkha	210198	7-293-d	2	fri;sch		0	add-entry	A:atimukti	
atirajasvala	atirajasvala	210205	7-293-d	2	sch;stc		0	add-entry	A:atiyAtrA	
atiriraMsA	atiriraṃsā	210213	7-293-d	2	sch;stc		1	add-entry	B:atiruz	
atirocamAna	atirocamāna	210218	7-293-d	3	md;sch;stc		0	add-entry		
atilolupa	atilolupa	210227	7-293-d	2	sch;stc		1	add-entry	B:ativakra	
ativatsala	ativatsala	210229	7-293-d	3	md;sch;stc		0	add-entry	B:ativakra	
ativAtsalya	ativātsalya	210232	7-293-d	2	sch;stc		0	add-entry		
ativirAjin	ativirājin	210249	7-294-a	2	md;sch		0	add-entry		
ativizWita	ativiṣṭhita	210257	7-294-a	3	ap;sch;stc		0	add-entry	B:ativizA	
ativisaMzWula	ativisaṃṣṭhula	210258	7-294-a	3	cae;ccs;sch		0	add-entry		
ativismaya	ativismaya	210260	7-294-a	2	sch;stc		2	add-entry		
ativihvala	ativihvala	210263	7-294-a	2	sch;stc		0	add-entry		
ativIryavant	ativīryavant	210266	7-294-a	2	cae;sch		0	add-entry	B:ativfdDa	
atiSaNkitavya	atiśaṅkitavya	210282	7-294-b	2	sch;stc		0	add-entry	B:atiSaNkA;B:atiSaya	
atiSIGra	atiśīghra	210287	7-294-b	2	md;pwg		0	add-entry	B:atiSizwa	
atisaMkawa	atisaṃkaṭa	210306	7-294-b	4	cae;md;sch;stc		0	add-entry		
atisatvaram	atisatvaram	210307	7-294-b	3	md;sch;stc		0	add-entry		
atisamutkruzwa	atisamutkruṣṭa	210313	7-294-c	2	sch;stc		0	add-entry	B:atisamarTa	
atisaviSaNkam	atisaviśaṅkam	210320	7-294-c	3	md;sch;stc		0	add-entry	A:atisarga	
atisuBaga	atisubhaga	210326	7-294-c	2	sch;stc		0	add-entry	B:atisundara;A:atisuhita	
atisOjanya	atisaujanya	210329	7-294-c	3	md;sch;stc		0	add-entry		
atisparDin	atispardhin	210334	7-294-c	2	sch;stc		0	add-entry		
atisPuwa	atisphuṭa	210335	7-294-c	2	sch;stc		0	add-entry		
atiharzula	atiharṣula	210340	7-294-c	2	md;sch		0	add-entry	A:atihasita	
atihelana	atihelana	210347	7-294-c	2	sch;stc		1	add-entry	B:atihimam;A:atIcAra	
atundila	atundila	210352	7-294-c	2	sch;stc		0	add-entry	B:atIvra	
atyalpabudDi	atyalpabuddhi	210379	7-294-d	2	cae;sch		0	add-entry	B:atyalpa	
atyasahya	atyasahya	210380	7-294-d	2	sch;stc		0	add-entry		
atyunnati	atyunnati	210396	7-295-a	4	cae;ccs;pwg;sch		0	add-entry		
atyUrjasvala	atyūrjasvala	210400	7-295-a	3	md;sch;stc		0	add-entry	A:atyUrjitam	
atrija	atrija	210411	7-295-a	2	cae;sch		0	add-entry		
adamBin	adambhin	210430	7-295-a	2	md;sch		2	add-entry	B:adaBra;A:adaridra	
adfzwarajas	adṛṣṭarajas	210468	7-295-b	2	armh;sch		0	add-entry	B:adfzwi	
adevajuzwa	adevajuṣṭa	210471	7-295-b	2	md;sch		0	add-entry		
adehabanDa	adehabandha	210477	7-295-b	3	md;sch;stc		0	add-entry	B:adeSya;A:adEteya	
adozajYa	adoṣajña	210481	7-295-c	2	cae;sch		0	add-entry	A:adoza	
advizant	adviṣant	210505	7-295-c	2	sch;stc		0	add-entry	A:advivarza;A:advIpa	
aDarmaBIru	adharmabhīru	210531	7-295-d	3	cae;ccs;sch		0	add-entry		
aDarzaRIya	adharṣaṇīya	210536	7-295-d	2	md;sch		1	add-entry	A:aDarmottaratA;B:aDaScara	
aDikamAsaPala	adhikamāsaphala	210551	7-295-d	2	acc;sch		0	add-entry	B:aDikaraRa	
aDitalpam	adhitalpam	210566	7-296-a	3	md;sch;stc		0	add-entry	A:aDijarAyu;B:aDidIDiti	
aDirukmamandiragavAkzam	adhirukmamandiragavākṣam	210581	7-296-a	3	md;sch;stc		0	add-entry	A:aDirajani;A:aDiruh	
aDilavaNgam	adhilavaṅgam	210592	7-296-a	3	md;sch;stc		0	add-entry	A:aDilaNkam	
aDOta	adhauta	210638	7-296-b	5	cae;ccs;md;sch;stc		2	add-entry	B:aDyagni	
aDyAtmopanizad	adhyātmopaniṣad	210650	7-296-b	2	acc;sch		0	add-entry	A:aDyAcAra	
aDvaraSrOta	adhvaraśrauta	210670	7-296-c	2	acc;sch		0	add-entry	A:aDvartavya	
anakzatragaRa	anakṣatragaṇa	210677	7-296-c	2	sch;stc		0	add-entry	B:anakzasaNgam	
anakzigata	anakṣigata	210679	7-296-c	2	sch;stc		0	add-entry	B:anakzasaNgam	
anaNgavatI	anaṅgavatī	210695	7-296-d	2	pui;sch		2	add-entry	B:anaNgaleKA;B:anaNgaSeKara	
anaNgIkfta	anaṅgīkṛta	210700	7-296-d	3	md;sch;stc		0	add-entry	B:anaqutka	
anatitrasnu	anatitrasnu	210707	7-296-d	4	ben;md;sch;stc		1	add-entry	A:anatidfSna	
anatiprOQa	anatiprauḍha	210716	7-296-d	5	cae;gst;md;sch;stc		2	add-entry	B:anatireca	
anatilolam	anatilolam	210719	7-296-d	3	md;sch;stc		0	add-entry		
anativalita	anativalita	210720	7-296-d	4	ben;md;sch;stc		0	add-entry		
anaDimUrCita	anadhimūrchita	210729	7-296-d	2	bhs;sch		0	add-entry	B:anaDikArin	
ananukampanIya	ananukampanīya	210737	7-297-a	3	md;sch;stc		0	add-entry		
anantavratakalpa	anantavratakalpa	210764	7-297-a	2	acc;sch		0	add-entry	B:anantavijaya	
anantikasTa	anantikastha	210768	7-297-a	2	md;sch		0	add-entry		
ananyanArIsAmAnya	ananyanārīsāmānya	210783	7-297-b	2	ben;sch		0	add-entry		
ananyapUrvikA	ananyapūrvikā	210784	7-297-b	2	ben;sch		0	add-entry	B:ananyapratikriya	
ananyaSAsana	ananyaśāsana	210792	7-297-b	2	ap;sch		0	add-entry		
ananvizyant	ananviṣyant	210798	7-297-b	3	cae;ccs;sch		0	add-entry	B:ananvita	
anapaSabdam	anapaśabdam	210811	7-297-b	3	md;sch;stc		0	add-entry	B:anapaspfS	
anaBiKyAtadoza	anabhikhyātadoṣa	210821	7-297-b	2	md;sch		0	add-entry	A:anapekzamARa	
anaBijalpita	anabhijalpita	210824	7-297-c	2	sch;stc		1	add-entry		
anaBiBava	anabhibhava	210840	7-297-c	4	sch;shs;vcp;wil		0	add-entry	B:anaBipreta	
anaBilapya	anabhilapya	210851	7-297-c	2	bhs;sch		0	add-entry	B:anaBilakzita	
anaBisnigDa	anabhisnigdha	210859	7-297-c	2	sch;stc		0	add-entry	A:anaByavacAruka	
anamaskAra	anamaskāra	210865	7-297-c	2	sch;stc		0	add-entry	A:anama	
anavakarRita	anavakarṇita	210884	7-297-d	3	md;sch;stc		0	add-entry		
anavakeSin	anavakeśin	210888	7-297-d	2	sch;stc		0	add-entry		
anavalokayant	anavalokayant	210913	7-298-a	3	cae;sch;stc		0	add-entry		
anavahiMsita	anavahiṃsita	210923	7-298-a	2	md;sch		0	add-entry	A:anavasnAtA	
anAkftsnagatA	anākṛtsnagatā	210946	7-298-a	2	bhs;sch		0	add-entry	B:anAkula	
anAtmavedin	anātmavedin	210968	7-298-b	2	ap;sch		0	add-entry	B:anAtmya	
anAdarSaka	anādarśaka	210973	7-298-b	2	bhs;sch		0	add-entry		
anAdimaDyaniDana	anādimadhyanidhana	210980	7-298-b	2	inm;sch		0	add-entry	B:anAdimaDyAnta	
anAmarzamARa	anāmarṣamāṇa	211005	7-298-c	2	sch;stc		0	add-entry		
anAyatikzama	anāyatikṣama	211013	7-298-c	3	md;sch;stc		0	add-entry	B:anAyata	
anAsAdayant	anāsādayant	211050	7-298-d	4	cae;ccs;sch;stc		0	add-entry		
animizekzaRa	animiṣekṣaṇa	211084	7-299-a	2	cae;sch		0	add-entry	A:animizita	
animIlitalocana	animīlitalocana	211085	7-299-a	2	sch;stc		0	add-entry	B:animeza	
anirIkzaka	anirīkṣaka	211093	7-299-a	2	md;sch		0	add-entry	A:anirAkftin;B:anirukta	
anirudDasaMhitA	aniruddhasaṃhitā	211097	7-299-a	2	acc;sch		0	add-entry	B:anirUpita	
anirvacanIyavAda	anirvacanīyavāda	211105	7-299-a	2	acc;sch		0	add-entry		
anirviDitsa	anirvidhitsa	211108	7-299-a	2	sch;stc		0	add-entry	B:anirviRRa	
anirhARarca	anirhāṇarca	211113	7-299-b	2	md;sch		0	add-entry	A:anirvedita	
anizkaDfk	aniṣkadhṛk	211132	7-299-b	2	sch;stc		0	add-entry	B:anizuDanva;B:anizkAsita	
aniHsarant	aniḥsarant	211142	7-299-b	2	sch;stc		0	add-entry	B:anIka	
anItiSAstrajYa	anītiśāstrajña	211149	7-299-b	2	md;sch		0	add-entry		
anIdfgAtman	anīdṛgātman	211150	7-299-b	3	md;sch;stc		0	add-entry		
anIdfgASaya	anīdṛgāśaya	211151	7-299-b	2	sch;stc		0	add-entry		
anIpsanIya	anīpsanīya	211154	7-299-b	2	sch;stc		0	add-entry	B:anIdfSa;B:anIraSana	
anugamanaviDAna	anugamanavidhāna	211171	7-299-c	2	acc;sch		0	add-entry	B:anugantavya;A:anugApana	
anujIvisAt	anujīvisāt	211188	7-299-c	2	gst;sch		0	add-entry	A:anujYApana	
anutsUtrapadanyAsa	anutsūtrapadanyāsa	211211	7-299-d	2	sch;stc		0	add-entry	B:anutsuka;A:anutsfzwa	
anudEvatam	anudaivatam	211221	7-299-d	2	sch;stc		0	add-entry	B:anudData	
anupalabDivAda	anupalabdhivāda	211259	7-300-a	2	acc;sch		0	add-entry	A:anuparvata;B:anupalabDisama	
anuBavasUtra	anubhavasūtra	211302	7-300-b	2	acc;sch		0	add-entry	A:anuBavam;B:anuBAva	
anuzWAyajYayajYIya	anuṣṭhāyajñayajñīya	211365	7-300-d	2	pwg;sch		0	add-entry	B:anuzWAna	
anOSIra	anauśīra	211438	7-301-b	2	cae;sch		0	add-entry	B:anOrasa;A:anOzaDa	
antarBAvaprakASikA	antarbhāvaprakāśikā	211491	7-301-c	2	acc;sch		0	add-entry	A:antarBAva	
annapAnaviDi	annapānavidhi	211536	7-301-d	3	acc;gst;sch		2	add-entry	A:annaparyAyam	
anyAyaDanyacarita	anyāyadhanyacarita	211572	7-302-a	2	acc;sch		0	add-entry	A:anyAyatas;A:anyAyin	
anyonyajananavftti	anyonyajananavṛtti	211579	7-302-a	2	gst;sch		0	add-entry	A:anyonyakftya;A:anyonyamiTuna	
anyonyABiBavavftti	anyonyābhibhavavṛtti	211582	7-302-a	2	gst;sch		0	add-entry	A:anyonyApatitatyAgin;B:anyonyASraya	
anvajiravati	anvajiravati	211586	7-302-a	2	sch;stc		0	add-entry	A:anvagjyezWa	
apakzigaRasaMpAta	apakṣigaṇasaṃpāta	211615	7-302-b	2	sch;stc		0	add-entry	A:apagatakAlaka	
apayoDarava	apayodharava	211678	7-302-c	2	sch;stc		0	add-entry	A:apayAtavya	
aparaviDi	aparavidhi	211685	7-302-d	2	acc;sch		0	add-entry	A:apararAtri;A:aparAktva	
aparigfhIta	aparigṛhīta	211711	7-302-d	2	sch;vcp		0	add-entry	B:aparigraha	
apariRAyaka	apariṇāyaka	211722	7-303-a	2	sch;stc		3	add-entry	B:apariRAmin	
aparituzwa	aparituṣṭa	211725	7-303-a	3	cae;md;sch		2	add-entry		
aparinizWita	apariniṣṭhita	211731	7-303-a	5	ap;ap90;cae;ccs;sch		1	add-entry		
apariBUtAjYa	aparibhūtājña	211738	7-303-a	2	sch;stc		0	add-entry	B:apariBraSyamAna	
aparirakzaRa	aparirakṣaṇa	211743	7-303-a	2	ben;sch		2	add-entry	B:aparivargam	
aparivraQiman	aparivraḍhiman	211748	7-303-a	2	sch;stc		0	add-entry		
aparisaMsTita	aparisaṃsthita	211753	7-303-a	3	ap;sch;stc		1	add-entry	B:aparihARa	
aparokzAnuBUti	aparokṣānubhūti	211764	7-303-a	3	acc;sch;vcp		0	add-entry	B:aparoDuka	
apaSabdanirAkaraRa	apaśabdanirākaraṇa	211792	7-303-b	2	acc;sch		0	add-entry	A:apavyAhAra;A:apaSabdita	
apAkartos	apākartos	211817	7-303-c	2	gst;sch		0	add-entry	A:apahvara;B:apAkfti	
apippalAda	apippalāda	211862	7-303-d	2	sch;stc		1	add-entry		
apiSasas	apiśasas	211863	7-303-d	2	md;sch		0	add-entry		
apuRyaSIla	apuṇyaśīla	211873	7-303-d	2	gst;sch		0	add-entry	B:apuRyakft	
apunarnivartin	apunarnivartin	211876	7-303-d	3	md;sch;stc		0	add-entry	A:apunarABAva	
apUrvamaRi	apūrvamaṇi	211895	7-304-a	2	acc;sch		0	add-entry	A:apUrva;A:apUrvin	
apfTagBUta	apṛthagbhūta	211898	7-304-a	3	md;sch;stc		0	add-entry		
apfTAtmaja	apṛthātmaja	211899	7-304-a	3	md;sch;stc		0	add-entry		
apOrRamAsa	apaurṇamāsa	211909	7-304-a	2	sch;stc		0	add-entry	B:apOruzeya;B:apOzkalya	
appakavi	appakavi	211913	7-304-a	2	acc;sch		0	add-entry	B:apnaHsTa	
aprakftisTa	aprakṛtistha	211919	7-304-a	3	sch;vcp;yat		0	add-entry	B:aprakASin	
apratikUlakft	apratikūlakṛt	211951	7-304-b	2	sch;stc		0	add-entry		
apratikruDyant	apratikrudhyant	211954	7-304-b	2	sch;stc		0	add-entry		
apratigaja	apratigaja	211957	7-304-b	2	sch;stc		0	add-entry		
apratidruh	apratidruh	211962	7-304-b	2	sch;yat		0	add-entry		
apratinandant	apratinandant	211963	7-304-b	2	sch;stc		0	add-entry		
apratinandita	apratinandita	211964	7-304-b	2	sch;stc		0	add-entry	B:apratinoda	
apratipudgala	apratipudgala	211967	7-304-b	2	bhs;sch	1	0	add-entry	B:apratipatti	
apratipUjita	apratipūjita	211968	7-304-b	3	cae;sch;stc		1	add-entry	B:apratibanDa	
apratiSaraRa	apratiśaraṇa	211989	7-304-c	2	bhs;sch	63	0	add-entry	B:apratiSAsana	
apratizeDita	apratiṣedhita	211995	7-304-c	2	sch;stc		0	add-entry	B:apratizikta;B:apratizWA	
apratyudAvartya	apratyudāvartya	212019	7-304-d	2	bhs;sch	278	0	add-entry	A:apratyutTAyuka	
apratyUha	apratyūha	212020	7-304-d	2	sch;stc		0	add-entry		
apraduzwa	apraduṣṭa	212023	7-304-d	2	gst;sch		2	add-entry	B:apradadi;B:apraDAna	
aprArTanIyA	aprārthanīyā	212072	7-305-a	2	sch;stc		0	add-entry	B:aprAyu	
aPalIkfta	aphalīkṛta	212096	7-305-b	2	gst;sch		0	add-entry		
aPUtkArya	aphūtkārya	212097	7-305-b	3	md;sch;stc		0	add-entry	A:aPenila	
abanDudAyAda	abandhudāyāda	212100	7-305-b	2	sch;stc		0	add-entry	A:abadDa;A:abanDura	
abahuBAzin	abahubhāṣin	212107	7-305-b	2	md;sch		0	add-entry		
abahumAna	abahumāna	212108	7-305-b	2	bhs;sch		0	add-entry		
aBakzyaBakzyaprakaraRa	abhakṣyabhakṣyaprakaraṇa	212138	7-305-c	2	acc;sch		0	add-entry	B:aBaga	
aBayapradAnasAra	abhayapradānasāra	212146	7-305-c	2	acc;sch		0	add-entry	A:aBavani	
aBasmIkaraRa	abhasmīkaraṇa	212150	7-305-c	2	sch;stc		0	add-entry	B:aBAga	
aBinayadarpaRa	abhinayadarpaṇa	212205	7-305-d	2	acc;sch		0	add-entry		
aBinavakAverImAhAtmya	abhinavakāverīmāhātmya	212207	7-305-d	2	acc;sch		0	add-entry	A:aBinAmaDeya	
aBinirhAra	abhinirhāra	212213	7-306-a	2	bhs;sch		3	add-entry	A:aBinimroka;A:aBinivizwaka	
aBinnanimittopAdAna	abhinnanimittopādāna	212217	7-306-a	2	acc;sch		0	add-entry	B:aBinnAtman	
aBilapanatA	abhilapanatā	212273	7-306-b	2	bhs;sch	138	0	add-entry	B:aBilakzaRa;B:aBilazaRa	
aBisamitAvin	abhisamitāvin	212311	7-306-c	2	bhs;sch	142	0	add-entry		
aBettar	abhettar	212339	7-306-d	2	ccs;sch		0	add-entry	B:aBftaka	
aBedaKaRqana	abhedakhaṇḍana	212340	7-306-d	2	acc;sch		0	add-entry		
amajjana	amajjana	212399	7-307-a	3	md;sch;stc		0	add-entry	B:amajjaka;B:amati	
amanasikAra	amanasikāra	212407	7-307-b	2	bhs;sch	68	0	add-entry		
amanasvin	amanasvin	212408	7-307-b	6	ap;ap90;mw72;sch;stc;yat		2	add-entry	B:amanAk	
amanorama	amanorama	212412	7-307-b	2	md;sch		0	add-entry	B:amanuzyanizevita	
amaraviveka	amaraviveka	212429	7-307-b	2	acc;sch		0	add-entry	A:amaravaDU	
amareSvarakalpa	amareśvarakalpa	212433	7-307-b	2	acc;sch		0	add-entry	B:amartyatA	
amahAyajYayAjin	amahāyajñayājin	212438	7-307-b	2	sch;stc		0	add-entry	B:amA	
amImAMsita	amīmāṃsita	212459	7-307-c	2	sch;stc		0	add-entry	A:amImAMsaka;B:amukta	
ayajurvedaDArin	ayajurvedadhārin	212529	7-307-d	2	sch;stc		0	add-entry	B:ayajus	
ayanacayanAdigaRita	ayanacayanādigaṇita	212539	7-308-a	2	acc;sch		0	add-entry	B:ayanAMSa	
ayoDyAmAhAtmya	ayodhyāmāhātmya	212585	7-308-b	2	acc;sch		0	add-entry	A:ayoni	
ayonijanman	ayonijanman	212587	7-308-b	3	ap;lrv;sch		0	add-entry	A:ayoni	
arajovirajonayayukta	arajovirajonayayukta	212606	7-308-b	2	bhs;sch	21	0	add-entry	A:arajovittA	
araYjita	arañjita	212609	7-308-b	3	md;sch;stc		2	add-entry	B:araqA	
araRasamavasaraRa	araṇasamavasaraṇa	212611	7-308-b	2	bhs;sch	21	0	add-entry	B:araqA;A:araRAvihArin	
aravAqa	aravāḍa	212622	7-308-c	2	bhs;sch	167	0	add-entry	B:arare	
aruRADikaraRamaYjarI	aruṇādhikaraṇamañjarī	212659	7-308-d	2	acc;sch		0	add-entry	B:aruRapsu;B:aruREta	
arcanAnavanIta	arcanānavanīta	212691	7-308-d	2	acc;sch		0	add-entry	B:arcatrya;B:arcA	
arcAvEBava	arcāvaibhava	212693	7-308-d	2	acc;sch		0	add-entry	B:arcA	
arC	arch	212696	7-309-a	6	ben;ccs;gra;md;pwg;sch		0	add-entry	B:arj	
arTadIpikA	arthadīpikā	212718	7-309-a	2	acc;sch		0	add-entry	B:arTadAna;A:arTanASaka	
arDanArISvarastotra	ardhanārīśvarastotra	212768	7-309-b	2	acc;sch		0	add-entry	B:arDanArAca;A:arDanizpanna	
arDalakzya	ardhalakṣya	212792	7-309-c	2	md;sch		0	add-entry	B:arDarcaSasya;B:arDavartman	
alaMkAratilaka	alaṃkāratilaka	212844	7-309-d	2	acc;sch		0	add-entry	B:alaMkarmIRa	
alaMkAranikarza	alaṃkāranikarṣa	212845	7-309-d	2	acc;sch		0	add-entry	A:alaMkAraratnAkara	
