hw_slp1	iast	src	pwk_L	pwk_pc	also_pwkvn	body_chars	mahavy	mahavy_refs	mw_stem_variant	mw_near	corr_n	corr_n_ex_mw72	corr_dicts	dcs_lemma	dcs_form	verdict	rec_score	recommendation	review_note
ARqIvant	āṇḍīvant	pw	14035.1	1-166-a	0	23	0		0	ARqIvat:0.933	0	0		0	0	confirmed-missing	-2	low-priority	false-friend near form 'ARqIvat' (0.933) - different word, omission stands
ARqIvata	āṇḍīvata	pw	14035	1-166-a	0	87	0		0	ARqIvat:0.933	2	2	pwg;vcp	0	0	confirmed-missing	3	add-check	false-friend near form 'ARqIvat' (0.933) - different word, omission stands
ARqavant	āṇḍavant	pw	206761	5-248-c	1	108	0		0		2	2	pwg;sch	0	0	confirmed-missing	5	add	
ASApurasaMBava	āśāpurasaṃbhava	pw	16100	1-190-c	0	81	0		0	ASApurasamBava:1.000	0	0		0	0	confirmed-missing	-1	low-priority	vowel-length/case variant of MW headword 'ASApurasamBava' (fold-twin - same lexeme or distinct word needs eyes)
AScary	āścary	pw	16181	1-191-b	0	53	0		1	AScarya:0.923	2	2	pwg;sch	0	0	variant-form-in-MW	2	add-check	false-friend near form 'AScarya' (0.923) - different word, omission stands
ASmaBArika	āśmabhārika	pw	16193	1-191-c	0	87	0		0		2	2	ap;pwg	0	0	confirmed-missing	5	add	
ASmaki	āśmaki	pw	16190	1-191-c	0	67	0		0	aSmakI:1.000	1	1	pwg	0	0	confirmed-missing	1	check	vowel-length/case variant of MW headword 'aSmakI' (fold-twin - same lexeme or distinct word needs eyes)
ASmanya	āśmanya	pw	16192	1-191-c	0	52	0		0	asAmanya:0.933	2	2	pwg;vcp	0	0	confirmed-missing	2	add-check	false-friend near form 'asAmanya' (0.933) - different word, omission stands
ASudDya	āśuddhya	pw	16157	1-191-b	0	64	0		0	aSudDa:0.923	0	0		0	0	confirmed-missing	-1	low-priority	false-friend near form 'aSudDa' (0.923) - different word, omission stands
ASukarman	āśukarman	pw	16147	1-191-a	0	66	0		0	aSrukarman:0.947	1	1	pwg	0	0	confirmed-missing	1	check	false-friend near form 'aSrukarman' (0.947) - different word, omission stands
ASvAvatAna	āśvāvatāna	pw	16269	1-192-c	0	80	0		0	aSvAvatAna:1.000	2	2	pwg;vcp	0	0	confirmed-missing	3	add-check	vowel-length/case variant of MW headword 'aSvAvatAna' (fold-twin - same lexeme or distinct word needs eyes)
ASvatTIya	āśvatthīya	pw	16247	1-192-b	0	56	0		0	aSvatTIya:1.000	1	1	pwg	0	0	confirmed-missing	0	check	vowel-length/case variant of MW headword 'aSvatTIya' (fold-twin - same lexeme or distinct word needs eyes)
ASvatTikIya	āśvatthikīya	pw	16246	1-192-b	0	60	0		0		0	0		0	0	confirmed-missing	0	low-priority	
AYjanikya	āñjanikya	pw	13965	1-165-b	0	76	0		0	AjAnikya:0.941	2	2	pwg;vcp	0	0	confirmed-missing	3	add-check	false-friend near form 'AjAnikya' (0.941) - different word, omission stands
AcArAtikrama	ācārātikrama	pw	13794	1-163-b	0	69	0		0		2	2	armh;pwg	0	0	confirmed-missing	5	add	
AcCAdanaPala	ācchādanaphala	pw	13831	1-163-c	0	84	0		0		0	0		0	0	confirmed-missing	1	low-priority	
AcCowa	ācchoṭa	pw	13838	1-164-a	0	92	0		0		1	1	sch	0	0	confirmed-missing	3	check	
AdIDyaka	ādīdhyaka	pw	14486	1-171-b	0	98	0		0		1	1	pwg	1	0	confirmed-missing	5	check	
AdIDyana	ādīdhyana	pw	14486.1	1-171-b	0	23	0		0	aDIyAna:0.933	0	0		1	0	confirmed-missing	0	low-priority	false-friend near form 'aDIyAna' (0.933) - different word, omission stands
AdarSamuKa	ādarśamukha	pw	214068	7-317-d	1	115	1	167	0		2	2	bhs;sch	1	0	confirmed-missing	9	add	
AdeSanAprAtihArya	ādeśanāprātihārya	pw	214097	7-318-a	1	146	1	16	0		1	1	sch	0	0	confirmed-missing	5	check	
Adftatva	ādṛtatva	pw	206785	5-249-a	1	107	0		0		1	1	sch	0	0	confirmed-missing	3	check	
Adivfkza	ādivṛkṣa	pw	14474	1-171-a	0	89	0		0		0	0		0	0	confirmed-missing	1	low-priority	
AdyavasAna	ādyavasāna	pw	14519	1-171-c	0	102	0		0	aDyavasAna:1.000	0	0		0	0	confirmed-missing	-1	low-priority	vowel-length/case variant of MW headword 'aDyavasAna' (fold-twin - same lexeme or distinct word needs eyes)
AgnimAruti	āgnimāruti	pw	13675	1-161-c	0	97	0		1	agnimAruti:1.000	0	0		0	0	variant-form-in-MW	-1	low-priority	vowel-length/case variant of MW headword 'agnimAruti' (fold-twin - same lexeme or distinct word needs eyes)
Ahananavant	āhananavant	pw	16521	1-196-b	0	71	0		0		1	1	pwg	0	0	confirmed-missing	3	check	
AharacelA	āharacelā	pw	16526.1	1-196-b	0	23	0		0		1	1	ap	0	0	confirmed-missing	2	check	
AhicCattrIya	āhicchattrīya	pw	16559	1-196-c	0	62	0		0		0	0		0	0	confirmed-missing	1	low-priority	
Ahikam	āhikam	pw	16556	1-196-c	0	40	0		1		2	1	mw72;pwg	0	1	variant-form-in-MW	2	add-check	
AhitTa	āhittha	pw	16567	1-197-a	0	53	0		0		1	1	pwg	0	0	confirmed-missing	2	check	
Ahvaray	āhvaray	pw	16614	1-197-b	0	73	0		0	Ahvara:0.923	1	1	pwg	0	0	confirmed-missing	1	check	false-friend near form 'Ahvara' (0.923) - different word, omission stands
AjYApanIya	ājñāpanīya	pw	213978	7-317-b	1	112	1	20,27	0		1	1	sch	0	0	confirmed-missing	5	check	
AjYeya	ājñeya	pw	213980	7-317-b	1	90	1	20	0	ajYeya:1.000	2	2	bhs;sch	0	0	confirmed-missing	5	add-check	vowel-length/case variant of MW headword 'ajYeya' (fold-twin - same lexeme or distinct word needs eyes)
AjakarORa	ājakarauṇa	pw	13845	1-164-a	0	73	0		0	AjakaroRa:1.000	1	1	pwg	0	0	confirmed-missing	1	check	vowel-length/case variant of MW headword 'AjakaroRa' (fold-twin - same lexeme or distinct word needs eyes)
AjinIya	ājinīya	pw	13895	1-164-b	0	52	0		0		2	2	pwg;vcp	0	0	confirmed-missing	4	add	
AkASAsaNgavimuktinirupalepa	ākāśāsaṅgavimuktinirupalepa	pw	213861	7-316-c	1	133	1	21	0		2	2	bhs;sch	0	0	confirmed-missing	7	add	
AkASajananin	ākāśajananin	pw	13412	1-158-c	0	60	0		0	AkASajananI:0.957	5	5	ap;pwg;shs;wil;yat	0	0	confirmed-missing	8	add-check	probable orthographic doublet of MW headword 'AkASajananI' (0.957)
AkASapawala	ākāśapaṭala	pw	13415	1-159-a	0	67	0		0		0	0		0	0	confirmed-missing	1	low-priority	
AkASasParaRa	ākāśaspharaṇa	pw	213859	7-316-c	1	118	1	21	0		2	2	bhs;sch	0	0	confirmed-missing	7	add	
AkArABinirhAra	ākārābhinirhāra	pw	213849	7-316-c	1	100	0		0		2	2	bhs;sch	0	0	confirmed-missing	5	add	
AkArAnapakAra	ākārānapakāra	pw	213848	7-316-c	1	119	1	21	0		1	1	sch	0	0	confirmed-missing	5	check	
AkArakaraBa	ākārakarabha	pw	13390	1-158-c	0	71	0		0		1	1	sch	1	1	confirmed-missing	5	check	
AkArika	ākārika	pw	13394	1-158-c	0	65	0		0	Akarika:1.000	1	1	pwg	0	0	confirmed-missing	1	check	vowel-length/case variant of MW headword 'Akarika' (fold-twin - same lexeme or distinct word needs eyes)
AkalI	ākalī	pw	13370	1-158-b	0	74	0		1	akali:1.000	0	0		0	0	variant-form-in-MW	-1	low-priority	vowel-length/case variant of MW headword 'akali' (fold-twin - same lexeme or distinct word needs eyes)
Akampya	ākampya	pw	213834	7-316-b	1	113	1	24	0	akampya:1.000	2	2	bhs;sch	0	0	confirmed-missing	5	add-check	vowel-length/case variant of MW headword 'akampya' (fold-twin - same lexeme or distinct word needs eyes)
AkarAkara	ākarākara	pw	13352	1-158-a	0	69	0		0	akzarakara:0.947	0	0		0	0	confirmed-missing	-1	low-priority	false-friend near form 'akzarakara' (0.947) - different word, omission stands
AkaraRA	ākaraṇā	pw	13350.1	1-158-a	0	23	0		0	AkAraRA:1.000	1	1	ap90	0	0	confirmed-missing	0	check	vowel-length/case variant of MW headword 'AkAraRA' (fold-twin - same lexeme or distinct word needs eyes)
AkaraRa	ākaraṇa	pw	13350	1-158-a	0	95	0		0	AkAraRa:1.000	2	1	mw72;pwg	0	0	confirmed-missing	3	add-check	vowel-length/case variant of MW headword 'AkAraRa' (fold-twin - same lexeme or distinct word needs eyes)
Akfzwimant	ākṛṣṭimant	pw	213868	7-316-c	1	99	1	143	0	Akfzwiman:0.947	2	2	bhs;sch	0	0	confirmed-missing	5	add-check	false-friend near form 'Akfzwiman' (0.947) - different word, omission stands
AlabDI	ālabdhī	pw	15790.1	1-186-c	0	23	0		1		0	0		0	0	variant-form-in-MW	-2	low-priority	
AlabDi	ālabdhi	pw	15790	1-186-c	0	74	0		1		2	2	pwg;vcp	0	0	variant-form-in-MW	3	add-check	
AlajI	ālajī	pw	15785.1	1-186-c	0	23	0		1	Alaji:1.000	0	0		0	0	variant-form-in-MW	-2	low-priority	vowel-length/case variant of MW headword 'Alaji' (fold-twin - same lexeme or distinct word needs eyes)
AlakzI	ālakṣī	pw	15783.1	1-186-c	0	23	0		1	Alakzi:1.000	0	0		0	0	variant-form-in-MW	-2	low-priority	vowel-length/case variant of MW headword 'Alakzi' (fold-twin - same lexeme or distinct word needs eyes)
Alasyavant	ālasyavant	pw	206813	5-249-b	1	95	0		0	Alasyavat:0.947	1	1	sch	0	0	confirmed-missing	1	check	false-friend near form 'Alasyavat' (0.947) - different word, omission stands
AliNgi	āliṅgi	pw	15850	1-187-c	0	92	0		1	AliNgin:0.923	0	0		0	1	variant-form-in-MW	-1	low-priority	false-friend near form 'AliNgin' (0.923) - different word, omission stands
Alindaka	ālindaka	pw	15856.1	1-187-c	0	23	0		0	alindaka:1.000	3	3	pwg;sch;stc	0	0	confirmed-missing	4	add-check	vowel-length/case variant of MW headword 'alindaka' (fold-twin - same lexeme or distinct word needs eyes)
AmIla	āmīla	pw	15203	1-180-a	0	76	0		1		1	1	pwg	0	0	variant-form-in-MW	1	check	
AmaGnI	āmaghnī	pw	15130	1-179-b	0	66	0		0		0	0		1	1	confirmed-missing	3	low-priority	
Amala	āmala	pw	15168	1-179-c	0	81	0		0	amala:1.000	2	2	pwg;sch	1	0	confirmed-missing	5	add-check	vowel-length/case variant of MW headword 'amala' (fold-twin - same lexeme or distinct word needs eyes)
Amantrayitar	āmantrayitar	pw	15145	1-179-b	0	78	0		0		1	1	pwg	0	0	confirmed-missing	3	check	
AmapattrikA	āmapattrikā	pw	15150	1-179-c	0	77	0		0		0	0		0	0	confirmed-missing	1	low-priority	
AmiDI	āmidhī	pw	15193	1-180-a	0	129	0		0		0	0		0	0	confirmed-missing	1	low-priority	
AmizakiMcitka	āmiṣakiṃcitka	pw	214234	7-319-a	1	138	1	261,26	0		1	1	sch	0	0	confirmed-missing	5	check	
AmraganDaDfk	āmragandhadhṛk	pw	15248.2	1-180-c	0	23	0		0		0	0		0	0	confirmed-missing	0	low-priority	
AmraganDaDft	āmragandhadhṛt	pw	15248.3	1-180-c	0	23	0		0		0	0		0	0	confirmed-missing	0	low-priority	
AmraganDakft	āmragandhakṛt	pw	15248.1	1-180-c	0	23	0		0		0	0		0	0	confirmed-missing	0	low-priority	
AmratIrTa	āmratīrtha	pw	214246	7-319-a	1	115	1	167	0		2	2	bhs;sch	0	0	confirmed-missing	7	add	
AmuzyakulIna	āmuṣyakulīna	pw	15213	1-180-a	0	42	0		0		1	1	vcp	0	0	confirmed-missing	2	check	
Amuzyakulaka	āmuṣyakulaka	pw	15212	1-180-a	0	115	0		0		3	2	mw72;pwg;vcp	0	0	confirmed-missing	7	add	
Amuzyaputraka	āmuṣyaputraka	pw	15214	1-180-a	0	115	0		0	AmuzyaputrikA:0.923	1	1	pwg	0	0	confirmed-missing	1	check	false-friend near form 'AmuzyaputrikA' (0.923) - different word, omission stands
AnApAnasmfti	ānāpānasmṛti	pw	214136	7-318-b	1	121	1	53	0		1	1	sch	0	0	confirmed-missing	5	check	
Anaki	ānaki	pw	14611	1-172-c	0	34	0		1		0	0		0	0	variant-form-in-MW	-2	low-priority	
Anayuga	ānayuga	pw	14697	1-173-c	0	57	0		0		1	1	pwg	0	0	confirmed-missing	2	check	
AntarAhati	āntarāhati	pw	14811	1-175-a	0	105	0		0		0	0		0	0	confirmed-missing	1	low-priority	
AntarIpa	āntarīpa	pw	14813	1-175-a	0	69	0		0	antarIpa:1.000	0	0		0	0	confirmed-missing	-1	low-priority	vowel-length/case variant of MW headword 'antarIpa' (fold-twin - same lexeme or distinct word needs eyes)
Anulepika	ānulepika	pw	14768	1-174-b	0	58	0		0	anulepikA:1.000	4	4	ap;ap90;pwg;vcp	0	0	confirmed-missing	6	add-check	vowel-length/case variant of MW headword 'anulepikA' (fold-twin - same lexeme or distinct word needs eyes)
Anumati	ānumati	pw	14759	1-174-b	0	102	0		1	anumati:1.000	0	0		0	0	variant-form-in-MW	-1	low-priority	vowel-length/case variant of MW headword 'anumati' (fold-twin - same lexeme or distinct word needs eyes)
Anuseya	ānuseya	pw	14788	1-174-c	0	89	0		0	anusEnya:0.933	1	1	pwg	0	0	confirmed-missing	1	check	false-friend near form 'anusEnya' (0.933) - different word, omission stands
AnuzaRqaka	ānuṣaṇḍaka	pw	14780.1	1-174-c	0	23	0		0		0	0		0	0	confirmed-missing	0	low-priority	
ApAri	āpāri	pw	14929	1-177-a	0	95	0		0	apARi:1.000	0	0		0	0	confirmed-missing	-1	low-priority	vowel-length/case variant of MW headword 'apARi' (fold-twin - same lexeme or distinct word needs eyes)
Apaccika	āpaccika	pw	14852	1-176-b	0	69	0		0		3	3	ap;pwg;vcp	0	0	confirmed-missing	7	add	
Apakziti	āpakṣiti	pw	14849	1-176-b	0	102	0		0		2	2	pwg;vcp	0	0	confirmed-missing	5	add	
Apanika	āpanika	pw	14880	1-176-c	0	143	0		0	apAnika:1.000	7	6	lrv;mw72;pwg;shs;vcp;wil;yat	0	0	confirmed-missing	13	add-check	vowel-length/case variant of MW headword 'apAnika' (fold-twin - same lexeme or distinct word needs eyes)
ApiSalyA	āpiśalyā	pw	14942	1-177-a	0	52	0		0	ApiSala:0.933	0	0		0	0	confirmed-missing	-2	low-priority	false-friend near form 'ApiSala' (0.933) - different word, omission stands
ArAkara	ārākara	pw	15467	1-183-a	0	65	0		0	agrakara:0.933	0	0		0	0	confirmed-missing	-1	low-priority	false-friend near form 'agrakara' (0.933) - different word, omission stands
ArAmavallikA	ārāmavallikā	pw	15495	1-183-b	0	91	0		0		0	0		1	0	confirmed-missing	3	low-priority	
ArDadroRika	ārdhadroṇika	pw	15674.3	1-185-b	0	23	0		0	ArDadrORika:1.000	0	0		0	0	confirmed-missing	-2	low-priority	vowel-length/case variant of MW headword 'ArDadrORika' (fold-twin - same lexeme or distinct word needs eyes)
ArDapura	ārdhapura	pw	15679	1-185-c	0	80	0		0	arDapUrRa:0.941	1	1	pwg	0	0	confirmed-missing	1	check	false-friend near form 'arDapUrRa' (0.941) - different word, omission stands
ArDavAhanika	ārdhavāhanika	pw	15684	1-185-c	0	69	0		0		1	1	pwg	0	0	confirmed-missing	3	check	
ArDavAhika	ārdhavāhika	pw	15685	1-185-c	0	112	0		0		0	0		0	0	confirmed-missing	1	low-priority	
ArISvIya	ārīśvīya	pw	15514	1-183-c	0	81	0		0		0	0		0	0	confirmed-missing	1	low-priority	
ArIhaRaka	ārīhaṇaka	pw	15515	1-183-c	0	88	0		0		2	2	pwg;vcp	0	0	confirmed-missing	5	add	
AraRyamudrA	āraṇyamudrā	pw	15431	1-182-c	0	78	0		0		0	0		0	0	confirmed-missing	1	low-priority	
AragvAyanabanDakI	āragvāyanabandhakī	pw	15410	1-182-b	0	76	0		0		1	1	pwg	0	0	confirmed-missing	3	check	
ArambaRaka	ārambaṇaka	pw	214284	7-319-b	1	95	1	226	0		2	2	bhs;sch	0	0	confirmed-missing	7	add	
AramuKI	āramukhī	pw	15448	1-183-a	0	90	0		0		0	0		0	0	confirmed-missing	1	low-priority	
Araraka	āraraka	pw	15460	1-183-a	0	55	0		0	ararakA:1.000	1	1	pwg	0	0	confirmed-missing	0	check	vowel-length/case variant of MW headword 'ararakA' (fold-twin - same lexeme or distinct word needs eyes)
Ararakya	ārarakya	pw	15461	1-183-a	0	70	0		0	ararakA:0.933	1	1	pwg	0	0	confirmed-missing	1	check	false-friend near form 'ararakA' (0.933) - different word, omission stands
Arcana	ārcana	pw	15599	1-184-c	0	80	0		0	arcana:1.000	0	0		0	0	confirmed-missing	-1	low-priority	vowel-length/case variant of MW headword 'arcana' (fold-twin - same lexeme or distinct word needs eyes)
ArdrapadI	ārdrapadī	pw	15657	1-185-b	0	71	0		1		2	2	ap;vcp	0	0	variant-form-in-MW	3	add-check	
ArhantI	ārhantī	pw	15777	1-186-c	0	104	0		0	ahanti:0.923	4	4	ap;lrv;pwg;vcp	0	0	confirmed-missing	7	add-check	false-friend near form 'ahanti' (0.923) - different word, omission stands
Ari	āri	pw	214296	7-319-b	1	104	0		1	ARi:1.000	1	1	sch	0	0	variant-form-in-MW	1	check	vowel-length/case variant of MW headword 'ARi' (fold-twin - same lexeme or distinct word needs eyes); pratyayhara/short-form class (PWK lists grammatical elements MW does not headword)
AriSmIya	āriśmīya	pw	15511	1-183-c	0	82	0		0		1	1	pwg	0	0	confirmed-missing	3	check	
ArikA	ārikā	pw	15506	1-183-c	0	62	0		0		1	1	sch	0	0	confirmed-missing	3	check	
ArizwIya	āriṣṭīya	pw	15512	1-183-c	0	54	0		0		0	0		0	0	confirmed-missing	0	low-priority	
Arjawa	ārjaṭa	pw	15606	1-184-c	0	92	0		0		0	0		0	0	confirmed-missing	1	low-priority	
Arji	ārji	pw	15610	1-184-c	0	38	0		0		1	1	pwg	0	0	confirmed-missing	0	check	pratyayhara/short-form class (PWK lists grammatical elements MW does not headword)
ArjunAda	ārjunāda	pw	15614	1-184-c	0	133	0		0		0	0		0	0	confirmed-missing	1	low-priority	
ArjunAvaka	ārjunāvaka	pw	15617	1-184-c	0	75	0		0		1	1	pwg	0	0	confirmed-missing	3	check	
Arohavant	ārohavant	pw	15578	1-184-b	0	54	0		0		1	1	pwg	0	0	confirmed-missing	2	check	
AryaSis	āryaśis	pw	15739	1-186-b	0	66	0		0		1	1	pwg	0	0	confirmed-missing	3	check	
AryaSveta	āryaśveta	pw	15741	1-186-b	0	94	0		0	aryaSveta:1.000	1	1	pwg	0	0	confirmed-missing	1	check	vowel-length/case variant of MW headword 'aryaSveta' (fold-twin - same lexeme or distinct word needs eyes)
AryabrahmaviSezacittaparipfcCA	āryabrahmaviśeṣacittaparipṛcchā	pw	214332	7-319-c	1	115	1	65	0		1	1	sch	0	0	confirmed-missing	5	check	
AryasTAna	āryasthāna	pw	15749	1-186-b	0	67	0		0	AyasTAna:0.941	0	0		0	0	confirmed-missing	-1	low-priority	false-friend near form 'AyasTAna' (0.941) - different word, omission stands
ArzamBya	ārṣambhya	pw	15768	1-186-c	0	94	0		0	ArzaBya:0.933	0	0		0	0	confirmed-missing	-1	low-priority	false-friend near form 'ArzaBya' (0.933) - different word, omission stands
Arzika	ārṣika	pw	15769	1-186-c	0	68	0		0	Arzikya:0.923	1	1	pwg	0	0	confirmed-missing	1	check	false-friend near form 'Arzikya' (0.923) - different word, omission stands
AsParaRakasamADi	āspharaṇakasamādhi	pw	214470	7-320-c	1	131	1	67	0		2	2	bhs;sch	0	0	confirmed-missing	7	add	
Asevitin	āsevitin	pw	16425	1-195-a	0	59	0		0		1	1	pwg	0	0	confirmed-missing	2	check	
AsibanDaki	āsibandhaki	pw	16388.1	1-194-c	0	23	0		0		1	1	vcp	0	0	confirmed-missing	2	check	
AsrAyaRa	āsrāyaṇa	pw	16500	1-196-a	0	71	0		0	ASrayaRa:1.000	1	1	pwg	0	0	confirmed-missing	1	check	vowel-length/case variant of MW headword 'ASrayaRa' (fold-twin - same lexeme or distinct word needs eyes)
AstIkArTada	āstīkārthada	pw	16448	1-195-b	0	109	0		0	AstikArTada:1.000	0	0		0	0	confirmed-missing	-1	low-priority	vowel-length/case variant of MW headword 'AstikArTada' (fold-twin - same lexeme or distinct word needs eyes)
AsurAhati	āsurāhati	pw	16410	1-195-a	0	104	0		0		0	0		0	0	confirmed-missing	1	low-priority	
AsutIya	āsutīya	pw	16403	1-195-a	0	51	0		0		1	1	pwg	0	0	confirmed-missing	2	check	
Asutimant	āsutimant	pw	16402	1-195-a	0	68	0		0	Asutimat:0.941	1	1	pwg	0	0	confirmed-missing	1	check	false-friend near form 'Asutimat' (0.941) - different word, omission stands
AsyaPala	āsyaphala	pw	16488	1-196-a	0	86	0		0	ASApAla:0.933	0	0		0	0	confirmed-missing	-1	low-priority	false-friend near form 'ASApAla' (0.933) - different word, omission stands
Asyandanavant	āsyandanavant	pw	16484	1-196-a	0	63	0		0		0	0		0	0	confirmed-missing	1	low-priority	
Asyapuzpa	āsyapuṣpa	pw	16487	1-196-a	0	77	0		0		0	0		0	0	confirmed-missing	1	low-priority	
AtaNkaka	ātaṅkaka	pw	14040	1-166-a	0	61	0		0		0	0		0	0	confirmed-missing	1	low-priority	
Atapatraka	ātapatraka	pw	14054	1-166-b	0	53	0		0		4	4	pwg;shs;wil;yat	0	0	confirmed-missing	8	add	
AtapatrapattrA	ātapatrapattrā	pw	14055	1-166-b	0	88	0		0		0	0		0	0	confirmed-missing	1	low-priority	
AtaptakArin	ātaptakārin	pw	214011	7-317-c	1	106	1	98	0		2	2	bhs;sch	0	0	confirmed-missing	7	add	
AtiSvAyana	ātiśvāyana	pw	14098	1-166-c	0	57	0		0	AtisvAyana:1.000	2	2	pwg;vcp	0	0	confirmed-missing	2	add-check	vowel-length/case variant of MW headword 'AtisvAyana' (fold-twin - same lexeme or distinct word needs eyes)
Atmacintana	ātmacintana	pw	14148	1-167-b	0	72	0		0		0	0		0	0	confirmed-missing	1	low-priority	
AtmaganDaka	ātmagandhaka	pw	14140	1-167-b	0	69	0		0		0	0		0	0	confirmed-missing	1	low-priority	
AtmaganDiharidrA	ātmagandhiharidrā	pw	14141	1-167-b	0	92	0		0	AmraganDiharidrA:0.938	0	0		0	0	confirmed-missing	-1	low-priority	false-friend near form 'AmraganDiharidrA' (0.938) - different word, omission stands
AvAsita	āvāsita	pw	15974	1-189-b	0	67	0		0	Avasita:1.000	1	1	pwg	0	0	confirmed-missing	1	check	vowel-length/case variant of MW headword 'Avasita' (fold-twin - same lexeme or distinct word needs eyes)
AvAya	āvāya	pw	15969	1-189-b	0	58	0		0	Avaya:1.000	1	1	pwg	0	0	confirmed-missing	0	check	vowel-length/case variant of MW headword 'Avaya' (fold-twin - same lexeme or distinct word needs eyes)
AvantyaSmaka	āvantyaśmaka	pw	15909	1-188-b	0	147	0		0	avantyaSmaka:1.000	0	0		0	0	confirmed-missing	-1	low-priority	vowel-length/case variant of MW headword 'avantyaSmaka' (fold-twin - same lexeme or distinct word needs eyes)
AvapanizkirA	āvapaniṣkirā	pw	15912	1-188-b	0	84	0		0		2	2	pwg;vcp	0	0	confirmed-missing	5	add	
AvartamaRi	āvartamaṇi	pw	15941	1-188-c	0	95	0		0		0	0		1	1	confirmed-missing	3	low-priority	
AvartapUlikA	āvartapūlikā	pw	15940	1-188-c	0	95	0		0		0	0		0	0	confirmed-missing	1	low-priority	
AvawyAyanI	āvaṭyāyanī	pw	15897	1-188-a	0	69	0		0	avawyAyanI:1.000	0	0		0	0	confirmed-missing	-1	low-priority	vowel-length/case variant of MW headword 'avawyAyanI' (fold-twin - same lexeme or distinct word needs eyes)
AvayAsIya	āvayāsīya	pw	15922	1-188-b	0	104	0		0		0	0		0	0	confirmed-missing	1	low-priority	
AvayAtaka	āvayātaka	pw	15921	1-188-b	0	101	0		0		0	0		0	0	confirmed-missing	1	low-priority	
Avevyaka	āvevyaka	pw	16036	1-190-a	0	70	0		0		1	1	pwg	1	0	confirmed-missing	5	check	
AvezaRa	āveṣaṇa	pw	16041	1-190-a	0	71	0		0	anvezaRa:0.933	0	0		0	0	confirmed-missing	-1	low-priority	false-friend near form 'anvezaRa' (0.933) - different word, omission stands
AvizpIta	āviṣpīta	pw	16009	1-189-c	0	72	0		0		0	0		0	0	confirmed-missing	1	low-priority	
AwarUzaka	āṭarūṣaka	pw	13978.2	1-165-b	0	23	0		0		3	3	armh;sch;stc	1	1	confirmed-missing	8	add	
Awaru	āṭaru	pw	13978	1-165-b	0	106	0		0		0	0		0	0	confirmed-missing	1	low-priority	
