mw_annexure_headword	in_sup7
Asyagarta	N
AsyajAha	N
AsyamETunika	Y
Asyaprayatna	N
Asyasammita	N
AsyavErasya	Y
Atakz	N
Atapa	Y
AtapanivAraRa	Y
Atati	N
Atfpti	Y
AtiSayika	Y
Atijagata	Y
AtisArika	Y
AtitAMsu	Y
AtivAhika	N
AtmABimarSana	N
AtmAvAsya	N
AtmAyAsa	N
AtmaDAraRI	N
AtmacintA	N
AtmajYAnopanizad	N
Atmajit	N
Atmajyotirupanizad	N
AtmakAma	Y
AtmanikA	N
AtmanirAloka	N
AtmanirUpaRa	N
AtmapaYcaka	N
AtmasaMyoga	N
AtmasaMyukta	N
AtmasamBAvita	N
Atmatattvaviveka	N
AtmecCA	N
AtmollAsa	Y
AttakAnti	N
AttasomapITIya	N
Attasva	Y
Attasvatva	N
AttaviBava	N
Attavidya	N
AvApa	Y
AvAriDi	Y
AvAsika	Y
Avan	N
AvarItf	N
AvaraRa	N
Avarjana	N
Avartaka	Y
Avartam	Y
AvevidAna	N
AvftISayAna	N
AviH	N
AviHsUrye	Y
Avika	Y
AvoDavE	N
Avraska	Y
Avutta	N
AvyaTA	N
Awaka	N
Awika	Y
Awopa	N
AyAcana	N
AyAmatas	Y
AyAna	Y
AyApita	N
AyAsadAyin	N
AyAsana	Y
AyAsita	Y
AyAsya	N
AyasI	N
Ayasta	Y
AyataBrUkatA	N
AyatapARileKatA	N
AyatapArzRitA	N
Ayatapakzmala	Y
Ayatasamalamba	Y
Ayatavikrama	N
AyuDapiSAcikA	N
AyuDika	Y
AyuktA	N
Ayukta	N
AyuzyagaRa	Y
AzAQa	N
AzwrAdaMzwra	N
BAnuBft	N
BAravoQf	N
BAskaradina	N
BAskaraputravAsara	N
BAvat	N
BAvayu	N
BEkzAhAra	N
BEkzAka	N
BEkzArTin	N
BU	Y
BUmi	N
BUmicCidra	N
BUmiga	N
BUmitanaya	N
BUsTita	N
BUstfRa	N
BUtahan	N
BaYj	N
Bagadatta	N
BakzacCandas	N
BakzavikAra	N
Bandra	N
BaraRqakezRa	N
BaratArjunanAwaka	N
Baratasamuccaya	N
BaratawIkA	N
BarjU	N
BartfsUkta	N
BaveRu	N
Bawila	N
BerISaNKavAda	N
BfzwI	N
BidAkara	N
BidaTa	N
BikzopaBogin	N
BrAtfsaMGAtavat	N
BrUvaYcita	N
BrUvijfmBa	N
BujAMsadeSa	N
BujaMgadIrGa	N
BuktocCizwa	N
CARaka	N
CAgamAMsa	N
CadistfRa	N
CalapAta	Y
CalavAc	N
CandaHpratizWAna	Y
CinnABra	N
CinnadvEDa	N
CinnakarRa	Y
CinnasTURa	N
Cittapa	N
CurikAbanDaprayoga	N
DAman	Y
DArzwyaBUmi	N
DAtu	N
DAvani	N
DAyine	N
DIr	N
DIsaMtati	N
DUmrakarRa	N
DUrRi	N
DUrtaprahasana	N
DanDuka	N
Danotpatti	N
Danu	N
DarIyas	N
Darma	Y
Darmacakrapravartana	N
DarmakIrti	N
DarmamativinanditarAga	N
Darmamatsara	N
DarmasAgara	Y
DarmasaMSraya	N
DarmavIra	N
DarmavahikA	N
DarmavallaBa	N
DarmolkA	N
DaruRI	N
DftAtapatra	N
DftizeRa	N
DfzARa	N
DizRyaviharaRa	N
DizWita	N
Dotra	N
DrURA	N
DvAnta	N
DvAntamaRi	N
DvAntasaMtati	N
DvajapraharaRa	N
Dvasra	N
DyAnAspada	N
EReyajaNGatA	N
ESi	N
ESvarakAraRika	Y
ESvarika	N
ESvaryakAdambinI	N
Ekamantrya	Y
EkamuKya	Y
ElavaMSa	N
EndraniGaRwu	N
EryApaTikI	Y
EvamarTya	Y
GArikA	Y
GAwA	N
GanABoga	N
GanadunduBisvana	N
Ganapada	N
Gargaraka	N
GawajAnu	N
Gawana	N
Gftapfkta	N
Gftasamudra	Y
Gnu	N
Gora	N
Gorita	N
GozavadAdi	N
Gozita	N
GuNGuma	Y
IMkAra	Y
IMkfta	N
ISADara	Y
ISAcala	Y
ISAnadiS	Y
ISAnahata	Y
ISaSakti	N
ISagocara	N
ISake	N
ISeSvara	N
ISvarakAraRika	Y
ISvarapratyaBijYAsUtra	N
ISvarapriya	N
IdfSaBUta	Y
IdfSaBUtatA	N
IdfgavasTa	Y
IhAlih	N
Ikz	Y
Ikzita	N
IlikA	N
Ira	Y
IrayaDyE	N
IzAntabanDana	N
IzatsaMjYa	Y
IzatsadfSa	N
JaNki	N
JaRajJaRatkArin	N
Jawiti	N
JiRikA	N
KANka	N
KAqgika	N
KAtra	Y
KaRqasaMsTApaka	N
KaRqika	Y
KaRqila	N
Kadana	Y
KalIkftya	N
KalatA	N
KalekapotanyAya	Y
KalvaNga	Y
KamARika	N
KanyavAdin	Y
Kapuwa	N
KaqIna	Y
KaqgAKaqgi	Y
KaqgANga	N
KaqgaSataka	N
Kaqgaka	N
KaqgalatA	N
Kaqgaratna	N
KaqgavAri	Y
KaqgavizARa	Y
KarAri	N
Karagraha	N
Karaka	N
KaramuKa	N
KaraturagIya	Y
Karawa	N
Karvaya	N
KasTa	N
KawvANgaGaRwA	N
KawvANgahasta	N
KetasiMha	N
Kewana	Y
Kila	Y
KinnamAnasa	N
KurAgra	N
KuramAlin	Y
KuranyAsa	N
OdArikaSarIra	N
OdAryacintAmaRi	N
OdDatya	Y
OdambarI	N
Odarciza	Y
OdrAyaRa	N
OdumbarAyaRa	N
OdumbarI	N
Ojasa	N
OjjAgari	N
OmApata	Y
Onnidrya	N
OpacAyika	Y
OpajaNGani	N
OpakArika	Y
OpakArya	Y
Opendra	Y
OraBrika	Y
OrvakalpagranTa	N
OrvaprakAra	N
Orvaprayoga	N
Otkawya	Y
OzRa	Y
OzWIna	Y
OzaDakalpagranTa	N
OzaDaprakAra	N
OzaDaprayoga	Y
PAli	N
PalIkaraRamiSra	N
PalIkaraRamuzwi	N
PalakriyA	N
Palapravftti	N
PalasTa	N
PalepsA	N
QOkana	N
QilI	N
SARqikera	N
SAhAjyAhAm	N
SAkajaYjaBa	N
SAntimat	N
SAntizeRa	N
SAradatilaka	N
SaNkukarRa	N
SaSANkAtmajavAsara	N
SaSaDara	N
SaSivAsara	N
SabdopAtta	N
SacIpuraMdara	N
SakfdData	N
SakfdrIti	N
Sakfdrasa	N
Saktivizaya	N
Sakunimitra	N
SalAlugrapsa	N
SamASraya	N
SamavihAra	N
Samepsu	N
Saratpayoda	N
SarmaRyadeSIya	N
SarmaRyadeSa	N
SarmavarUTa	N
SarmizWAvijaya	N
Seza	N
Sezavat	N
SiKarasvAminI	N
SiSu	N
SiSupramARa	N
Sibinta	N
Silaka	N
SizwARuSizwa	N
SlokArDa	N
SmaSAnADivyatikrama	N
SmaSAnalozwa	N
SrAdDABimarSana	N
SravaRApakza	N
SreRya	N
Srutagraha	N
SuBaBrU	N
SuBajAlahasta	N
SuBorRaBrU	N
SuRQi	N
SudDADivAsa	N
SudDOjas	N
SudDaraSmipraBa	N
Sukla	N
SuklaDarma	N
Sukradina	N
SukravAsara	N
Suti	N
SvaDiti	N
SvagrahagfhIta	N
SvagrahaprAyaScitta	N
SvalominI	N
SvetArDavaktra	N
SyAmajayanta	N
SyenI	N
UKa	N
UQapUrvA	Y
UQaraTa	N
UQavayas	N
UbaDya	N
UdaleSvara	N
UlI	Y
UlIBakzam	N
UlIBeda	N
Uma	N
UnIBU	N
UnadvivArzika	Y
UnavAda	Y
UnavarRatA	N
UnazoqaSavarza	Y
UnendupUrRimA	Y
UpA	N
UpAsvara	N
UrDvA	N
UrDvAgra	N
UrDvAgraromatA	N
UrDvaBAgahara	Y
UrDvaJampa	N
UrDvaSuzI	Y
UrDvacUqa	N
UrDvajAnu	N
UrDvajvalana	Y
UrDvakam	N
UrDvamUla	Y
UrDvanApita	N
UrDvapravarzin	N
UrDvasUcikA	N
UrDvavAsin	Y
UrIkf	N
UrRAlaMkftamuKatA	N
UrRAmfdu	Y
UrRAmradas	Y
UrRAvAhi	N
UrRAyu	Y
UrRavAhi	N
UrjAhuti	Y
Urjaspati	Y
UrjayantatIrTa	N
Urjayat	N
Urjitam	N
UruBaNga	Y
UruBitti	N
UrucCinna	Y
UrugrAha	N
UrumUla	N
Urva	N
Urvya	N
UtimatI	Y
Wepaka	N
WuRWupadDati	N
aBAgaDeya	Y
aBAjana	Y
aBAna	N
aBAvayat	N
aBEzajya	Y
aBIga	Y
aBIzwatftIyA	N
aBUtalasparSatA	N
aBUtopamA	N
aBaNgaSleza	Y
aBaNgura	N
aBavani	Y
aBavya	Y
aBayadatta	N
aBayagaRa	N
aBayagirivihAra	N
aBedya	Y
aBi	Y
aBiBAzita	Y
aBiBUti	Y
aBiBUz	N
aBiDyAlu	Y
aBiGozam	Y
aBiKyAna	N
aBiKya	N
aBiSatru	Y
aBiSirogra	N
aBiSradDA	Y
aBicCAyA	Y
aBicaraRa	N
aBicarita	N
aBicezwA	N
aBicumb	N
aBidUtam	Y
aBidozam	Y
aBigIta	N
aBigopAya	N
aBigrAhin	N
aBihAra	Y
aBihf	N
aBihiMsana	N
aBijAta	Y
aBijAtavAc	N
aBijYAta	Y
aBijYa	N
aBijYetara	N
aBikarRakUpam	Y
aBikara	N
aBikarman	Y
aBikfzRam	Y
aBikzepa	Y
aBilamBa	Y
aBilazitArTacintAmaRi	Y
aBimArgaRA	Y
aBimaNgala	Y
aBimanAya	N
aBimarSa	Y
aBimarSin	Y
aBimuKaya	N
aBimuni	Y
aBinAmaDeya	Y
aBinIlanetratA	N
aBinIti	Y
aBiniScikramizA	N
aBinigadana	Y
aBinimlocana	N
aBinimroka	Y
aBinirhf	N
aBinirmi	N
aBiniryARa	N
aBiniveSana	N
aBinivft	N
aBinivizwaka	Y
aBiniyama	N
aBinizic	N
aBinnARqa	N
aBinnakAla	N
aBinnavela	N
aBipARqu	Y
aBipARqutA	N
aBipAlin	N
aBiparyAvarta	Y
aBipatti	Y
aBipattimat	N
aBiplava	Y
aBiprabuD	N
aBipradfS	N
aBiprasanna	N
aBipravrajana	Y
aBiprezaRa	Y
aBipriyatamam	Y
aBirUpaBUyizWa	N
aBirUpaprajAyinI	N
aBiraSmimAli	Y
aBisU	N
aBisaMcUrR	N
aBisaMhftya	N
aBisaMyam	N
aBisamBava	N
aBisambuD	N
aBisamplava	N
aBisamprahA	N
aBiskanda	N
aBistaraRa	Y
aBitApin	Y
aBitAqana	Y
aBitazwIya	Y
aBivAtA	N
aBivI	N
aBivandya	Y
aBivarDana	N
aBivijYeya	Y
aBivratin	N
aBivyAhAra	Y
aBiyukta	Y
aBizava	N
aBizavaRa	N
aBizekaBUmipratilamBa	N
aBrAgama	N
aBrAja	N
aBraKaRqa	N
aBraMga	N
aBraPullaka	N
aBraga	Y
aBragiri	N
aBrakUwa	N
aBramUpati	Y
aBramaya	Y
aBramujIviteSa	Y
aBugnakukzitA	N
aBujaMgavat	N
aByASrAvaRa	Y
aByAgAmin	N
aByAhitAgni	N
aByAkAram	Y
aByAmnAya	Y
aByAnandya	N
aByArUQa	N
aByAsAriRI	N
aByaDikADika	Y
aByaDyayana	N
aByantara	N
aByantaracArin	N
aByanujYeya	N
aByanumodana	Y
aByarDam	N
aByavAyin	Y
aByavagAh	N
aByavahAra	Y
aByavahfta	N
aByavapAta	N
aByavaskanda	N
aByudAcArin	N
aByudDAra	Y
aByudDaraRa	Y
aByudayAvaha	N
aByuddravaRa	N
aByudgati	Y
aByujjayini	N
aByujjval	N
aByunmodanIya	Y
aByupapAdana	Y
aByupapattf	N
aByupapatti	Y
aByutTiti	Y
aByutsAha	Y
aDArAgraha	Y
aDArayamARa	N
aDAsanaSAyin	Y
aDISitf	N
aDIkzepa	N
aDItarasa	Y
aDIz	N
aDUnvat	N
aDaHKAta	Y
aDaHSAyin	N
aDaHSAyitA	N
aDaHkumba	Y
aDaHsTAnAsana	N
aDaHsaMveSin	Y
aDaIza	Y
aDamADama	N
aDarAmbara	Y
aDarOzWarucaka	Y
aDaradala	N
aDaramUla	N
aDararucaka	Y
aDarima	Y
aDarmacaraRa	Y
aDarmacaryA	Y
aDarmottaratA	Y
aDastAnnABi	Y
aDastAnnirbADam	N
aDiSIlaSikzA	N
aDiSiras	N
aDiSiroDaram	Y
aDiSrI	N
aDiSrotram	N
aDibala	N
aDicara	N
aDicittaSikzA	N
aDidEvatya	Y
aDidyo	Y
aDigopam	Y
aDigoptf	N
aDihastya	N
aDijAgf	N
aDijaNGam	N
aDijarAyu	Y
aDiji	N
aDijigAMsu	N
aDikADi	Y
aDikAkzara	N
aDikAraka	N
aDikArapuruza	N
aDikArasaMgraha	N
aDikAravat	N
aDikaRWam	Y
aDikalpin	Y
aDikarRam	Y
aDikaraRaleKaka	N
aDikavayas	N
aDikazwa	N
aDiketanam	N
aDikf	N
aDikopama	Y
aDikziti	Y
aDilaNkam	Y
aDiluW	N
aDimaKam	N
aDimitra	N
aDimitratA	N
aDimokza	N
aDimukta	Y
aDinAgam	Y
aDiniSam	N
aDipARi	Y
aDipASa	N
aDipaSya	Y
aDiprajYASikzA	N
aDiprajYam	N
aDirUQA	N
aDirUQaka	Y
aDirUQi	Y
aDirajani	Y
aDiroQavya	N
aDiropaRa	Y
aDiruh	Y
aDisenApati	N
aDisyada	Y
aDivAha	N
aDivAsanA	N
aDivAsanIya	N
aDivIra	Y
aDivakzas	Y
aDivarcas	N
aDivarjana	N
aDivartana	Y
aDivas	N
aDivasati	N
aDiveSma	N
aDivfkzasUrye	N
aDivivAham	Y
aDivrata	Y
aDivyatikrama	Y
aDiyoga	N
aDizAdam	Y
aDizWA	N
aDizWAna	Y
aDizWita	N
aDizavaRaPalaka	N
aDoMSuka	N
aDobARa	Y
aDomayUKa	N
aDonApita	N
aDonIvI	Y
aDonivIta	N
aDovAsas	Y
aDvAna	N
aDvApanna	Y
aDvaSIla	Y
aDvaSrama	N
aDvadarSin	N
aDvagaRa	N
aDvagacCat	N
aDvagati	Y
aDvalozwa	N
aDvaraSrI	N
aDvaraguru	Y
aDvarakalpa	Y
aDvaras	N
aDvartavya	Y
aDvaryupAtra	Y
aDvaryupaTa	N
aDvasaha	N
aDyASaya	Y
aDyAcAra	Y
aDyAhAriRI	N
aDyAjya	N
aDyAkASam	Y
aDyAkramaRa	Y
aDyArohaRa	Y
aDyAsyA	N
aDyAtmacintAmaRi	N
aDyAyopAkarman	N
aDyaDvam	Y
aDyarDopA	N
aDyavasAya	N
aDyavaseya	N
aDyayana	N
aDyayanasaMvftti	N
aDyeya	Y
aDyoQa	N
aDyudyam	N
aDyupekz	N
aDyupekzA	Y
aDyuras	Y
aDyuza	N
aGUrRa	Y
aGaRwa	N
aGarikA	N
aGawitaGawita	N
aGaya	N
aGnyatva	N
aGodaka	N
aGoraGaRwa	N
aKaRqakala	Y
aKaRqamaRqala	Y
aKaRqopaDi	N
aKarvan	Y
aKinna	Y
aMSarUpiRI	N
aMhana	N
aMholiNga	Y
aMsapIWa	Y
aMsoccaya	N
aNGri	Y
aNGripAta	Y
aNGrisaMDi	N
aNGryavanejana	Y
aNGryavanejanatva	N
aNgANgiBAvasaMkara	N
aNgArAvakzepaRa	Y
aNgAraSakawi	N
aNgArajIvikA	N
aNgArakarmAnta	N
aNgArakayantra	N
aNgArasAtkf	N
aNgAravAra	N
aNgAravarza	N
aNgUza	N
aNgaBaYjana	N
aNgaBeda	Y
aNgadIya	N
aNgadin	N
aNgakriyA	Y
aNgamantra	N
aNgareja	N
aNgasPuraRavicAra	N
aNgasamAKyAyam	Y
aNgavAhaka	Y
aNgiraHsmfti	N
aNgiroDAman	Y
aNgu	N
aNgulIBaNga	Y
aNgulIgranTi	N
aNgulIvezwa	Y
aNgularAji	Y
aNgulija	N
aNgulikA	N
aNgulimAtra	Y
aNguliprASana	Y
aNgulipraRejana	N
aNguzWaviBedaka	N
aNkAsya	N
aNkAvaNka	Y
aNkAya	N
aNkUraya	N
aNka	Y
aNkacCeda	N
aNkagata	N
aNkalakzaRa	N
aNkapAla	N
aNkasaMjYA	N
aNkri	N
aNku	N
aNkulI	N
aNkurAropaRa	Y
aNkurAya	N
aNkura	N
aNkuraRa	N
aNkuravat	N
aNkuraya	N
aPenila	Y
aRIci	N
aRIcin	N
aRasa	N
aRi	Y
aRikAzam	Y
aRimatas	Y
aRqa	Y
aRqika	N
aRquka	N
aRu	Y
aRupriyaNgu	Y
aSAbda	N
aSIrtatanu	N
aSItyakzara	Y
aSItyakzaratva	N
aSUdrocCizwin	N
aSaktaBartfka	N
aSanISa	Y
aSanakriyA	N
aSani	Y
aSanigrAvan	N
aSayya	Y
aSiKa	N
aSiSlikzu	N
aSila	N
aSizyavftti	N
aSlezAviDi	N
aSlizwArTa	N
aSlizwa	Y
aSmaSAnacit	Y
aSmaSru	N
aSmacUrRa	N
aSmagarBamaya	Y
aSmalozwranyAya	N
aSmaplava	N
aSmavarzavat	N
aSmayokta	Y
aSmayu	N
aSoBana	N
aSokAntara	N
aSokIkf	N
aSokaBARqa	N
aSokaSrI	Y
aSokamalla	N
aSokavanikAnyAya	N
aSokeSvara	N
aSrAnta	N
aSradDya	Y
aSruDArA	N
aSruleSa	Y
aSrumaya	Y
aSrunetra	Y
aSrupariplutAkza	N
aSrupramArjana	N
aSruvadana	N
aSruvaha	N
aSuBAtmaka	Y
aSuBacintaka	Y
aSucivrata	N
aSudDaprakfti	Y
aSvAjAneya	N
aSvAmuKa	Y
aSvAnana	Y
aSvAnfta	N
aSvAnusaraRa	N
aSvApad	N
aSvAvatAra	N
aSvEkaviMSa	N
aSvaDAwI	N
aSvaGoza	N
aSvaSiSna	N
aSvaballava	N
aSvacaryA	N
aSvadAya	Y
aSvadeva	N
aSvadvAdaSa	N
aSvagopa	N
aSvaka	Y
aSvakanda	N
aSvakrAnta	Y
aSvakuYjara	N
aSvalavaRa	N
aSvamahiza	N
aSvamatallikA	N
aSvanAga	N
aSvanAman	N
aSvapUrRa	Y
aSvapaRya	N
aSvapad	Y
aSvapada	N
aSvaparaSu	Y
aSvapluta	N
aSvapota	N
aSvapozaka	Y
aSvaprakARqa	N
aSvapriya	N
aSvaraTadAna	N
aSvaratna	N
aSvasADana	N
aSvasUta	N
aSvasaMKya	N
aSvasravaRa	N
aSvatTaSAKA	Y
aSvatTakalpa	N
aSvatTapUjA	N
aSvatTavivAha	N
aSvatTodyApana	N
aSvavARija	N
aSvavAhyAlI	Y
aSvavfndAraka	N
aSvavfndin	Y
aSvayukta	N
aSvisAlokya	N
aSvisuta	N
aTarI	Y
aTarvI	N
aYjizWu	N
abAla	N
abDikanyA	N
abDimaTana	Y
abDivastrA	N
abadDa	Y
abalAgni	Y
abalIyastva	Y
abala	Y
abaliman	Y
abanDura	Y
abanDuram	N
abbA	N
abbindu	N
abdaBU	Y
abdaparyaya	Y
abjAsana	N
abjala	N
abjapARi	N
abjasamBava	N
abjasamudgata	N
abjasaras	N
abrahmavarcasin	Y
ac	Y
acAkrika	Y
acAkrikatA	N
acCandaska	Y
acCawASabda	Y
acCera	Y
acCidrokTa	N
acaRqamarIci	N
acakfvas	N
acakravarta	Y
acara	Y
acaraRIya	N
acaraRa	Y
acaramavayas	Y
acarita	Y
acarizyat	N
aciroQA	Y
acyAvin	N
acyutacakravartin	N
adAkziRAtya	N
adAman	N
adAnIya	Y
adAnava	Y
adAsyat	N
adButArTa	N
adButadarpaRa	Y
adButakfzRarAja	N
adButaraNga	N
adButopamA	N
adButotpAta	N
adEteya	Y
adInagAtratA	N
adIrGadarSin	N
adaRqa	Y
adaRqana	N
adabDacakzus	N
adantAGAtin	N
adantajAta	N
adarSanIBU	N
adarSanapaTa	Y
adaridra	Y
adas	N
adasta	N
adattAdAna	Y
adattAdAyika	Y
adeSika	Y
adeha	N
adipsat	N
aditikuRqalAharaRa	N
adivA	N
adivASin	Y
adivAsvApin	N
admasad	N
adoza	Y
adozadarSin	N
adriBedana	N
adriDft	N
adruta	N
aduHKasuKavedanA	N
aduhAna	N
advAdaSAha	Y
advEtabrahmasidDi	N
advEtadIpikA	N
advEtamakaranda	N
advEtavAdin	N
advEtin	Y
advIpa	Y
advayavAda	Y
advivarza	Y
adviyoni	N
adyAgreRa	Y
adyatas	N
adyatva	N
adyayajYa	Y
adyotaka	Y
agAlita	N
agArAvakASa	N
agAra	Y
agArasTURAvirohaRa	N
agArastUpa	Y
agAravinoda	N
agIta	N
agada	N
agadita	Y
agama	N
agamyarUpa	Y
aganDasevin	Y
aganDi	Y
agarBA	N
agarBa	Y
agastyaSAsta	Y
agastyagfhaspatika	N
agatAsu	Y
agatyA	N
agfhIta	N
agfhItadiS	N
agfhRat	N
agfhya	Y
agnIya	N
agnOkaraRa	N
