pwkvn_k1	pwkvn_L	pc	tier	mahavy	in_pw	in_pwg	gloss_snippet
asUy	13689	7-315-b	absent	N	Y	Y	{#asUy#}¦ I. 1. 5. — Mit {#aBi#} 1. 5. {#aByasUya#} Absol. R. 2,8,1. {#aByasUyitum#} 4,15,22.
asUyin	1463	1-296-b	absent	N	Y	N	{#asUyin#}¦ in {#anasUyin#}.
asUyin	13690	7-315-b	absent	N	Y	N	{#asUyin#}¦ 1.
asaByArTAntara	8558	6-297-b	absent	N	Y	N	{#asaByArTAntara#}¦ Adj. {%von unanständiger Nebenbedeutung%} ebend. und VĀMANA 2,1,15.
asaByArTAntara	13581	7-314-c	absent	N	Y	N	{{Lbody=13581}}
asaByArTa	8557	6-297-b	absent	N	Y	N	{#asaByArTa#}¦ Adj. {%von unanständiger Bedeutung%} SARASVATĪK. 5,15.
asaByArTa	13581	7-314-c	absent	N	Y	N	{{Lbody=13581}}
asaByasmftihetu	8556	6-297-b	absent	N	Y	N	{#asaByasmftihetu#}¦ m. {%die Ursache der Ideenassociation von etwas Unanständigem%} SARASVATĪK. 5,15. VĀMANA 2,1,15.
asaByasmftihetu	13581	7-314-c	absent	N	Y	N	{#asaByasmftihetu#}, {#asaByArTa#} und {#asaByArTAntara#}¦ 6.
asaDnIcIna	8550	6-297-a	absent	N	Y	N	{#asaDnIcIna#}¦ Adj. {%unrecht, unrichtig%} BHĀG. P. 5,9,5.
asaDnIcIna	13569	7-314-c	absent	N	Y	N	{#asaDnIcIna#}¦ 6.
asaMBUta	13620	7-315-a	absent	N	Y	N	{#asaMBUta#}¦ Adj. {%nicht vorhanden, — da seiend, fingirt%} R. ed. Bomb. 4,32,4.
asaMBavapattra	2539	2-293-a	absent	N	Y	N	{#asaMBavapattra#}¦ n. Titel eines Werkes OPP. Cat. 1.
asaMBavapattra	13617	7-314-d	absent	N	Y	N	{#asaMBavapattra#}¦ 2.
asaMBfta	1449	1-296-b	absent	N	Y	N	{#asaMBfta#}¦ Adj. {%nicht gemacht, natürlich%} KUMĀRAS. 1,31.
asaMBfta	13621	7-315-a	absent	N	Y	N	{#asaMBfta#}¦ 1.
asaMBindant	1448	1-296-b	absent	N	Y	N	{#asaMBindant#}¦ Adj. (f. {#˚tI#}) {%nicht verletzend%} TĀṆḌYA-BR. 7,9,11.
asaMBindant	2540	2-293-a	absent	N	Y	N	{#a/saMBindant#}¦ auch {%nicht untereinander mengend%} TBR. 3,7,5,6.
asaMBindant	13619	7-315-a	absent	N	Y	N	{#a/saMBindant#}¦ 1. 2.
asaMNga	13540	7-314-b	absent	N	Y	N	1. {#asaMNga#}¦ I. Instr. so v. a. {%unaufhaltsam%} R. ed. Bomb. 4,14,18. {#˚m#} Adv. {%unverzüglich%} JĀTAKAM. 10,27.
asaMSAruka	2523	2-292-c	absent	N	Y	N	{#asaMSAruka#}¦ Adj. {%nicht zusammenbrechend%} KAP. S. 44,9.
asaMSAruka	13508	7-314-a	absent	N	Y	N	{#asaMSAruka#}¦ 2.
asaMSiYjayant	8526	6-296-c	absent	N	Y	N	{#a/saMSiYjayant#}¦ Adj. {%nicht klingend zusammenstossend%} ŚAT. BR. 11,4,2,2.
asaMSiYjayant	13509	7-314-a	absent	N	Y	N	{#a/saMSiYjayant#}¦ 6.
asaMSrAnta	8527	6-297-a	absent	N	Y	N	{#asaMSrAnta#}¦ Adj. {%unermüdlich%} SUŚR. 2,244,3.
asaMSrAnta	13511	7-314-a	absent	N	Y	N	{#asaMSrAnta#}¦ 6.
asaMSudDa	1425	1-296-a	absent	N	Y	N	{#asaMSudDa#}¦ Adj. {%nicht bereinigt, — bezahlt%}.
asaMSudDa	13510	7-314-a	absent	N	Y	N	{#asaMSudDa#}¦ 1.
asaMcalant	2529	2-293-a	absent	N	Y	N	{#asaMcalant#}¦ Adj. {%sich nicht entfernend von%} (Abl.).
asaMcalant	13549	7-314-b	absent	N	Y	N	{#asaMcalant#}¦ 2.
asaMcetayamAna	1434	1-296-a	absent	N	Y	N	{#asaMcetayamAna#}¦ Adj. {%nicht gewahr werdend%} Spr. 6125.
asaMcetayamAna	13550	7-314-b	absent	N	Y	N	{#asaMcetayamAna#}¦ 1.
asaMdeSa	8553	6-297-b	absent	N	Y	N	{#asaMdeSa#}¦ m. {%kein Auftrag, — Geheiss%} R. 5,24,20.
asaMdeSa	13573	7-314-c	absent	N	Y	N	{{Lbody=13573}}
asaMdeham	8554	6-297-b	absent	N	Y	N	{#asaMdeham#}¦ Adv. {%ohne Zweifel, sicher%} Spr. 182.
asaMdeham	13573	7-314-c	absent	N	Y	N	{{Lbody=13573}}
asaMgfhItatva	13542	7-314-b	absent	N	Y	N	{#asaMgfhItatva#}¦ n. {%das nicht im Zaume Gehaltenwerden%} MBH. 7,188,4.
asaMgrAmeRa	4000	3-255-a	absent	N	Y	N	{#asaMgrAmeRa#}¦ Instr. {%ohne Kampf%} HARIV. 1940.
asaMgrAmeRa	13544	7-314-b	absent	N	Y	N	{#asaMgrAmeRa#}¦ 3.
asaMhAyyam	8537	6-297-a	absent	N	Y	N	{#asaMhAyyam#}¦ TĀṆḌYA-BR. 9,1,21 fehlerhaft für {#asaMhAryam#}; vgl. {#asaMhArya#} Nachtr. 1.
asaMhAyyam	13524	7-314-b	absent	N	Y	N	{#asaMhAyyam#}¦ 6.
asaMhati	8536	6-297-a	absent	N	Y	N	{#asaMhati#}¦ f. {%das Nichtverbundensein%} KĀM. NĪTIS. 19,51. MĀRK. P. 102,3.
asaMhati	13522	7-314-b	absent	N	Y	N	{#asaMhati#}¦ 6.
asaMhatyakArin	13523	7-314-b	absent	N	Y	N	{#asaMhatyakArin#}¦ Adj. {%isolirt —, für sich allein wirkend%}. Nom. abstr. {#˚ritva#} n. SĀṂKHYAPR. 1,75.
asaMhfta	8538	6-297-a	absent	N	Y	N	{#asaMhfta#}¦ Adj. {%ununterbrochen%} UTTARAR. 1,16. 17 (2,9. 10).
asaMhfta	13526	7-314-b	absent	N	Y	N	{#asaMhfta#}¦ 6.
asaMjAta	2530	2-293-a	absent	N	Y	N	{#asaMjAta#}¦ Adj. {%nicht erstanden, — zum Vorschein gekommen%} Spr. 2135.
asaMjAta	13551	7-314-b	absent	N	Y	N	{#asaMjAta#}¦ 2.
asaMjYin	4004	3-255-a	absent	N	Y	Y	{#asaMjYin#}¦ Adj. {%kein Bewusstsein habend%} (Wesen) VAJRACCH. 20,18.
asaMjYin	13555	7-314-c	absent	N	Y	Y	{#asaMjYin#}¦ 3.
asaMkucita	2526	2-292-c	absent	N	Y	N	{#asaMkucita#}¦ Adj. 1〉 {%nicht gerunzelt%}. — 2〉 {%ungeschmälert%}.
asaMkucita	13534	7-314-b	absent	N	Y	N	{#asaMkucita#} und {#asaMkxpta#}¦ 2.
asaMlakzita	6671	5-248-a	absent	N	Y	N	{#asaMlakzita#}¦ Adj. {%unbemerkt%} KATHĀS. 78,132.
asaMlakzita	13499	7-314-a	absent	N	Y	N	{#asaMlakzita#} und {#asaMlulita#}¦ 5.
asaMlulita	6672	5-248-a	absent	N	Y	N	{#*asaMlulita#}¦ Adj. {%nicht verwirrt%} (Haar) VYUTP. 12.
asaMlulita	13499	7-314-a	absent	N	Y	N	{{Lbody=13499}}
asaMmatAvavAda	13623	7-315-a	absent	Y	Y	N	{#*asaMmatAvavAda#}¦ m. {%unautorisirtes Predigen%} MAHĀVY. 261.
asaMnayant	4006	3-255-a	absent	N	Y	N	{#asaMnayant#}¦ Adj. {%keine aus süsser und saurer Milch gemischte Spende darbringend%} KĀTY. ŚR. 4,2,36.
asaMnayant	13574	7-314-c	absent	N	Y	N	{#asaMnayant#}¦ 3.
asaMnivizwa	6675	5-248-a	absent	N	Y	N	{#asaMnivizwa#}¦ Adj. {%nicht aufgehend —, nicht enthalten in%} (Loc.) R. 2,21,57.
asaMnivizwa	13575	7-314-c	absent	N	Y	N	{#asaMnivizwa#}¦ 5.
asaMparigraha	13604	7-314-d	absent	N	Y	N	{#asaMparigraha#}¦ Adj. {%nicht angenommen, zurückgewiesen%} JĀTAKAM. 9,78.
asaMpraKyAna	13606	7-314-d	absent	Y	Y	N	{#*asaMpraKyAna#}¦ n. vielleicht {%Mangel an Einsicht%} MAHĀVY. 127. 133.
asaMprajYAna	13609	7-314-d	absent	Y	Y	N	{#*asaMprajYAna#}¦ n. {%Nichterkenntniss%} MAHĀVY. 245,488.
asaMprajYAta	13608	7-314-d	absent	N	Y	N	{#asaMprajYAta#}¦ Adj. {%bewusstlos%} Comm. zu YOGAS. 1,17. fg. {#˚yogin#} m. {%ein%} Yogin {%im Zustande der Bewusstlos
asaMprajanya	13607	7-314-d	absent	Y	Y	N	{#*asaMprajanya#}¦ n. {%Mangel an klarem Bewusstsein, — Besonnenheit%} MAHĀVY. 104.
asaMprakIrRa	1446	1-296-a	absent	N	Y	N	{#asaMprakIrRa#}¦ Adj. {%unvermengt%}.
asaMprakIrRa	13605	7-314-d	absent	N	Y	N	{#asaMprakIrRa#}¦ 1.
asaMpramARa	1447	1-296-b	absent	N	Y	N	{#asaMpramARa#}¦ Adj. {%nicht zu geräumig%} ŚĀṄKH. GṚHY. 6,2.
asaMpramARa	13611	7-314-d	absent	N	Y	N	{#asaMpramARa#}¦ 1.
asaMprayuYjant	5361	4-295-c	absent	N	Y	N	{#asaMprayuYjant#}¦ Adj. {%keinen freien Lauf gewährend, hemmend%} (die Sinne) BHĀG. P. 11,26,33.
asaMprayuYjant	13613	7-314-d	absent	N	Y	N	{#asaMprayuYjant#}¦ 4.
asaMprezita	2538	2-293-a	absent	N	Y	N	{#asaMprezita#}¦ Adj. {%unaufgefordert%} ĀPAST. ŚR. 13,1,6.
asaMprezita	13614	7-314-d	absent	N	Y	N	{#asaMprezita#}¦ 2.
asaMrUQa	13497	7-314-a	absent	N	Y	N	{#asaMrUQa#}¦ Adj. {%noch nicht vernarbt%} JĀTAKAM. 19.
asaMrakta	3991	3-254-c	absent	N	Y	N	{#asaMrakta#}¦ Adj. {%keine Liebe empfindend%} HARIV. 11264. v. l. {#asaMsakta#}.
asaMrakta	13496	7-314-a	absent	N	Y	N	{#asaMrakta#}¦ 3.
asaMsTiti	2524	2-292-c	absent	N	Y	N	{#asaMsTiti#}¦ f. {%das Nichtruhen in%} (im Comp. vorangehend) ŚĀṆḌ. 4.
asaMsTiti	13519	7-314-b	absent	N	Y	N	{#asaMsTiti#}¦ 2.
asaMsargin	8529	6-297-a	absent	N	Y	N	{#˚asaMsargin#}¦ Adj. {%frei von%} ŚAṂK. zu BṚH. ĀR. UP. S. 88.
asaMsargin	13513	7-314-b	absent	N	Y	N	{#asaMsargin#} und {#asaMsfzwin#}¦ 6.
asaMsfzwin	8530	6-297-a	absent	N	Y	N	{#asaMsfzwin#}¦ Adj. {%nach erfolgter Erbtheilung mit den Verwandten nicht wieder auf gemeinsame Kosten lebend%} GAUT. 2
asaMsfzwin	13513	7-314-b	absent	N	Y	N	{{Lbody=13513}}
asaMskftapraBAvita	3997	3-255-a	absent	N	Y	N	{#asaMskftapraBAvita#}¦ Adj. {%unbeschränkt mächtig%} VAJRACCH. 24,9.
asaMskftapraBAvita	13516	7-314-b	absent	N	Y	N	{#asaMskftapraBAvita#}¦ 3.
asaMspfzwa	8534	6-297-a	absent	N	Y	N	{#asaMspfzwa#}¦ Adj. 1〉 {%unerreicht%} KATHĀS. 17,131. — 2〉 {%nicht verunreinigt%} SARVAD. 32,13.
asaMspfzwa	13520	7-314-b	absent	N	Y	N	{#asaMspfzwa#} und {#asaMsyandayant#}¦ 6.
asaMsyUta	1427	1-296-a	absent	N	Y	N	{#asaMsyUta#}¦ Adj. {%unzerbissen%} PĀR. GṚHY. 2,14,25.
asaMsyUta	13521	7-314-b	absent	N	Y	N	{#asaMsyUta#}¦ 1.
asaMsyandayant	8535	6-297-a	absent	N	Y	N	{#asaMsyandayant#}¦ Adj. {%nicht zusammenlaufen lassend%} ĀPAST. ŚR. 1,25,15.
asaMsyandayant	13520	7-314-b	absent	N	Y	N	{{Lbody=13520}}
asaMtardana	8551	6-297-a	absent	N	Y	N	{#asaMtardana#}¦ m. {%das Nichtaneinanderbefestigen%} Comm. zu JAIM. 3,3,24.
asaMtardana	13573	7-314-c	absent	N	Y	N	{#asaMtardana#}, {#asaMtfRRa#}, {#asaMdeSa#} und {#asaMdeham#}¦ 6.
asaMtfRRa	8552	6-297-b	absent	N	Y	N	{#asaMtfRRa#}¦ Adj. {%nicht aneinander befestigt%} ebend.
asaMtfRRa	13573	7-314-c	absent	N	Y	N	{{Lbody=13573}}
asaMvAsa	8524	6-296-c	absent	N	Y	N	{#asaMvAsa#}¦ Adj. {%keinen festen Wohnsitz habend, nomadisirend%} MBH. 13,111,128.
asaMvAsa	13504	7-314-a	absent	N	Y	N	{{Lbody=13504}}
asaMvIta	8525	6-296-c	absent	N	Y	N	{#asaMvIta#}¦ Adj. (f. {#A#}) {%unbekleidet%} MBH. 3,61,6. BHĀG. P. 5,6,8. 6,18,49.
asaMvIta	13506	7-314-a	absent	N	Y	N	{#asaMvIta#}¦ 6.
asaMvala	8523	6-296-c	absent	N	Y	N	{#asaMvala#}¦ Adj. {%ohne Wegekost%} ŚATR. 10,182 ({#asambala#} geschr.).
asaMvala	13504	7-314-a	absent	N	Y	N	{#asaMvala#} und {#asaMvAsa#}¦ 6.
asaMvartamAna	6673	5-248-a	absent	N	Y	N	{#a/saMvartamAna#}¦, so zu betonen.
asaMvartamAna	13503	7-314-a	absent	N	Y	N	{#a/saMvartamAna#}¦ I. 5.
asaMvasant	22246	7-386-c	absent	N	Y	N	{#asaMvasant#}¦ Adj. {%nicht verkehrend mit%} (Instr.) M. 4,246.
asaMvatsaradIkzita	13500	7-314-a	absent	N	Y	N	{#asaMvatsaradIkzita#}¦ Adj. {%noch kein Jahr geweiht%} ŚĀṄKH. ŚR. 16,20,11.
asaMvihita	3994	3-254-c	absent	N	Y	N	{#asaMvihita#}¦ Adj. {%wofür man nicht die gehörige Sorge getragen hat%} MBH. 12,130,4.
asaMvihita	13505	7-314-a	absent	N	Y	N	{{Lbody=13505}}
asaMyacCant	3990	3-254-c	absent	N	Y	N	{#asaMyacCant#}¦ Adj. {%nicht zügelnd, — in der Gewalt habend%} MBH. 12,91,42.
asaMyacCant	13489	7-314-a	absent	N	Y	N	{#asaMyacCant#}¦ 3.
asaMyamitAlakin	13493	7-314-a	absent	N	Y	N	{#asaMyamitAlakin#}¦ Adj. {%mit unaufgebundenen Locken%} DAŚAK. (1883) 60,19. v. l. {#asaMskftAlakin#}.
asaMyamitAlakin	22245	7-386-c	absent	N	Y	N	{#asaMyamitAlakin#}¦ 7. Lies KĀD. st. DAŚAK.
asaMyant	6669	5-248-a	absent	N	Y	Y	{#a/saMyant#}¦, so richtiger betont in einigen Hdschrr.
asaMyant	13492	7-314-a	absent	N	Y	Y	{#a/saMyant#}¦ I. 5.
asabrahmacArin	1437	1-296-a	absent	N	Y	N	{#asabrahmacArin#}¦ m. {%kein Mitschüler%} PĀR. GṚHY. 2,11,9.
asabrahmacArin	13580	7-314-c	absent	N	Y	N	{#asabrahmacArin#}¦ 1.
asadgati	8549	6-297-a	absent	N	Y	N	{#asadgati#}¦ f. {%eine schlimme Stellung, ein schlimmes Loos%} BHĀG. P. 3,19,29.
asadgati	13567	7-314-c	absent	N	Y	N	{#asadgati#}¦ 6.
asahacarita	1451	1-296-b	absent	N	Y	N	{#asahacarita#}¦ Adj. {%kein Genoss seiend%} PARIBH. 103.
asahacarita	13632	7-315-a	absent	N	Y	N	{#asahacarita#}¦ 1.
asahant	8565	6-297-b	absent	N	Y	N	{#asahant#}¦ Adj. (f. {#˚ntI#}) {%nicht ertragend%} 〔100,8〕.
asahant	13634	7-315-a	absent	N	Y	N	{#asahant#}¦ I. 6.
asahasra	8566	6-297-b	absent	N	Y	N	{#asahasra#}¦ n. {%kein volles Tausend%} CHĀND. UP. 4,4,5.
asahasra	13636	7-315-a	absent	N	Y	N	{#asahasra#}¦ 6.
asajjant	4001	3-255-a	absent	N	Y	N	{#asajjant#}¦ Adj. {%nicht hängend an%} (Loc.) MBH. 12,248,19 (Bl. 112,a).
asajjant	13546	7-314-b	absent	N	Y	N	{#asajjant#}¦ 3.
asajjita	8544	6-297-a	absent	N	Y	N	{#asajjita#}¦ Adj. {%an Nichts geheftet%} ({#Atman#}) BHĀG. P. 5,13,20.
asajjita	13547	7-314-b	absent	N	Y	N	{#asajjita#}¦ 6.
asakASe	3998	3-255-a	absent	N	Y	N	{#asakASe#}¦ Loc. {%nicht in der Nähe von%} (Gen.) MĀN. GṚHY. 2,5.
asakASe	13527	7-314-b	absent	N	Y	N	{#asakASe#}¦ 3.
asakfdAvartin	8539	6-297-a	absent	N	Y	N	{#asakfdAvartin#}¦ Adj. {%oftmals wiederkehrend%} CHĀND. UP. 5,10,8.
asakfdAvartin	13528	7-314-b	absent	N	Y	N	{#asakfdAvartin#}¦ 6.
asamADAna	6676	5-248-a	absent	N	Y	N	{#asamADAna#}¦ n. {%Unbedachtsamkeit%} CAMPAKA 460.
asamADAna	13594	7-314-d	absent	N	Y	N	{#asamADAna#}¦ 5.
asamAveSa	1442	1-296-a	absent	N	Y	N	{#asamAveSa#}¦ m. {%Nichtbesetzung%} MAHĀBH. in Ind. St. 13,472.
asamAveSa	13598	7-314-d	absent	N	Y	N	{#asamAveSa#}¦ 1.
asamAvftta	6677	5-248-a	absent	N	Y	N	{#asamAvftta#}¦ Adj. = {#asamAvfttaka#} ĀPAST. 2,6,12.
asamAvftta	13597	7-314-d	absent	N	Y	N	{#asamAvftta#}¦ 5.
asamaSIla	5360	4-295-c	absent	N	Y	N	{#asamaSIla#}¦ Adj. {%unebenbürtig%} BHĀM. V. 1,1.
asamaSIla	13591	7-314-d	absent	N	Y	N	{#asamaSIla#}¦ 4.
asamabalatA	13584	7-314-c	absent	N	Y	N	{#asamabalatA#}¦ f. {%keine gleiche Mächtigkeit%} ŚĀṄKH. BR. 26,9.
asamahAvrata	4010	3-255-a	absent	N	Y	N	{#asamahAvrata#}¦ Adj. {%mit keinem%} Mahāvrata-{%Tage versehen%} ĀPAST. ŚR. 23,2.
asamahAvrata	13593	7-314-d	absent	N	Y	N	{#asamahAvrata#}¦ 3.
asamara	2536	2-293-a	absent	N	Y	N	{#asamara#}¦ Adj. {%nicht kämpfend, friedfertig%} ŚOBH. 50.
asamara	13586	7-314-c	absent	N	Y	N	{#asamara#}¦ I. 2.
asamavaDAna	13588	7-314-c	absent	N	Y	N	{#asamavaDAna#}¦ n. {%das Nichtzusammentreffen [Page7-314-d] an einem Orte, Nichtbegegnung%} JĀTAKAM. 7.
asamayavimukta	13585	7-314-c	absent	Y	Y	N	{#*asamayavimukta#}¦ Adj. Bez. {%eines%} Śrāvaka {%in einem best. Stadium der geistigen und sittlichen Entwickelung%} MA
asambala	8559	6-297-b	absent	N	Y	N	{#asambala#}¦ Adj. s. oben u. {#asaMvala#}.
asambala	13615	7-314-d	absent	N	Y	N	{#asambala#}¦ 6.
asamiDyamAna	13600	7-314-d	absent	N	Y	N	{#a/samiDyamAna#}¦ Adj. {%sich nicht entzündend%} MAITR. S. 1,6,5 (95,6).
asamudAcAra	13602	7-314-d	absent	N	Y	N	{#asamudAcAra#}¦ m. {%ungehöriges Betragen%} JĀTAKAM. 19.
asant	13572	7-314-c	absent	N	Y	Y	1. {#asant#}¦ I. {#asat#} mit {#kar#} {%schlecht empfangen%} JĀTAKAM. 22,70. {%schlecht behandeln%} 23.
asapUrva	8555	6-297-b	absent	N	Y	N	{#asapUrva#}¦ Adj. (f. {#A#}) {%von den Vorfahren nicht besessen%} RĀJAT. 2,8.
asapUrva	13579	7-314-c	absent	N	Y	N	{#asapUrva#}¦ 6.
asapatnezwakA	1436	1-296-a	absent	N	Y	N	{#asapatnezwakA#}¦ f. = {#asapatna#} 2〉 VAITĀN.
asapatnezwakA	13577	7-314-c	absent	N	Y	N	{#asapatnezwakA#}¦ 1.
asargabanDa	8561	6-297-b	absent	N	Y	N	{#asargabanDa#}¦ Adj. {%nicht in Kapitel eingetheilt%} PRATĀPAR. 19,a,6.
asargabanDa	13627	7-315-a	absent	N	Y	N	{#asargabanDa#}¦ 6.
asarvagocara	2541	2-293-a	absent	N	Y	N	{#asarvagocara#}¦ Adj. {%nicht Allen zugänglich, für Andre verschlossen%} AK. 3,4,14,68.
asarvagocara	13628	7-315-a	absent	N	Y	N	{#asarvagocara#}¦ 2.
asarvavizaya	8563	6-297-b	absent	N	Y	N	{#asarvavizaya#}¦ Adj. {%sich nicht auf Alles beziehend, nicht allgemein%}. Nom. abstr. {#˚tva#} n. Comm. zu VĀMANA 5,2.
asarvavizaya	13629	7-315-a	absent	N	Y	N	{{Lbody=13629}}
asatpaTajuz	5359	4-295-c	absent	N	Y	N	{{Lbody=5359}}
asatpratipakzin	8547	6-297-a	absent	N	Y	N	{#asatpratipakzin#}¦ Adj. {%wogegen kein triftiger Einwand erhoben werden kann%}. Nom. abstr. {#˚kzitva#} n. Z. d. d. m.
asatpratipakzin	13560	7-314-c	absent	N	Y	N	{{Lbody=13560}}
asatpriya	13561	7-314-c	absent	N	Y	N	{#asatpriya#}¦ Adj. {%dem es an Freunden gebricht%} R. ed. Bomb. 4,43,53.
asatsaMparka	8548	6-297-a	absent	N	Y	N	{#asatsaMparka#}¦ m. {%eine Berührung mit Unwürdigen, — mit Schlechten%} Spr. 7463.
asatsaMparka	13565	7-314-c	absent	N	Y	N	{#asatsaMparka#}¦ 6.
asatvaram	2532	2-293-a	absent	N	Y	N	{#asatvaram#}¦ Adv. {%langsam, gründlich%} BHĀG. P. 4,9,5.
asatvaram	13564	7-314-c	absent	N	Y	N	{#asatvaram#}¦ 2.
asatyavacana	6674	5-248-a	absent	N	Y	N	{#asatyavacana#}¦ Adj. (f. {#A#}) {%unwahr redend, lügnerisch%} MBH. 1,74,73.
asatyavacana	13562	7-314-c	absent	N	Y	N	{#asatyavacana#}¦ 5.
asevana	13697	7-315-c	absent	N	Y	N	{#asevana#}¦ n. und {#˚nA#} f. {%Mangel an Rücksichtnahme, Vernachlässigung%} JĀTAKAM. 23,16.
asfjant	5366	4-295-c	absent	N	Y	N	{#asfjant#}¦ Adj. {%nicht schaffend%} SARVAD. 121,5.
asfjant	13694	7-315-b	absent	N	Y	N	{#asfjant#}¦ 4.
asfkapaNkapezam	6692	5-248-a	absent	N	Y	N	{#asfkapaNkapezam#}¦ Absol. mit {#piz#} {%zu einem Blutsumpf [Page5-248-b] zermalmen%} ŚIŚ. 18,45.
asfkapaNkapezam	13692	7-315-b	absent	N	Y	N	{#asfkapaNkapezam#}¦ 5.
asiDAra	13666	7-315-b	absent	Y	Y	N	{#*asiDAra#}¦ m. {%eine best. Hölle%} MAHĀVY. 215.
asikta	8571	6-297-b	absent	N	Y	N	{#asikta#}¦ Adj. {%unbegossen%} ŚĀK. 84, v. l.
asikta	13656	7-315-a	absent	N	Y	N	{#asikta#}¦ 6.
asitAlakARqA	13664	7-315-b	absent	N	Y	N	{#asitAlakARqA#}¦ (?) KAUŚ. 35,28.
askanDa	4025	3-255-a	absent	N	Y	N	{#askanDa#}¦ m. {%keine Ansammlung%} VAJRACCH. 24,16.
askanDa	13707	7-315-c	absent	N	Y	N	{#askanDa#}¦ 3.
askandamAna	8577	6-297-b	absent	N	Y	N	{#askandamAna#}¦ Adj. {%nicht herausspritzend%} (intrans.) SUŚR. 1,47,9.
askandamAna	13706	7-315-c	absent	N	Y	N	{#askandamAna#}¦ 6.
asmaddAtra	6704	5-248-b	absent	N	Y	N	{#asma/ddAtra#}¦ Adj. {%von uns gegeben%} TS. 1,4,43,2.
asmaddAtra	13754	7-315-d	absent	N	Y	N	{#asma/ddAtra#}¦ 5.
asmaryamARa	8586	6-297-c	absent	N	Y	N	{#asmaryamARa#}¦ Adj. {%dessen man sich nicht erinnert, vergessen%} SARVAD. 127,17. 19.
asmaryamARa	13756	7-315-d	absent	N	Y	N	{#asmaryamARa#}¦ 6.
asmftadruh	13759	7-315-d	absent	N	Y	N	{#a/smftadruh#} und {#a/smftaDru#}¦ I. 3.
asoQar	6694	5-248-b	absent	N	Y	N	{#asoQar#}¦ Nom. ag. {%nicht ertragend%} ŚĀŚVATA 32.
asoQar	13700	7-315-c	absent	N	Y	N	{#asoQar#}¦ 5.
asrasta	8588	6-297-c	absent	N	Y	N	{#asrasta#}¦ Adj. MBH. 4,22,80 fehlerhaft für {#Asrasta#}, wie die anderen Ausgaben lesen.
asrasta	13763	7-315-d	absent	N	Y	N	{#asrasta#}¦ 6.
astamitAvavAda	13711	7-315-c	absent	Y	Y	N	{#*astamitAvavAda#}¦ m. {%das Predigen nach Sonnenuntergang%} MAHĀVY. 261.
astavya	8579	6-297-b	absent	N	Y	N	{#astavya#}¦ Adj. {%nicht zu loben, — verherrlichen%} MBH. 2,44,25.
astavya	13714	7-315-c	absent	N	Y	N	{#astavya#}¦ 6.
asteyatA	1466	1-296-b	absent	N	Y	N	{#asteyatA#}¦ f. = {#asteya#} HEMĀDRI 2,a,7,21.
asteyatA	13720	7-315-c	absent	N	Y	N	{#asteyatA#}¦ 1.
astfRant	2550	2-293-a	absent	N	Y	N	{#astfRant#}¦ Adj. {%nicht streuend%} ĀPAST. ŚR. 8,14,4.
astfRant	13718	7-315-c	absent	N	Y	N	{#astfRant#}¦ 2.
astoma	1467	1-296-b	absent	N	Y	N	{#astoma#}¦ m. {%kein rechter%} Stoma TĀṆḌYA-BR. 3,9,3.
astoma	13722	7-315-c	absent	N	Y	N	{#astoma#}¦ 1.
astomaBAj	13723	7-315-c	absent	N	Y	N	{#a/stomaBAj#}¦ Adj. {%am%} Stoma {%nicht theilhabend%} MAITR. S. 4,7,1 (94,10).
astotriya	13721	7-315-c	absent	N	Y	N	{#astotriya#}¦ m. {%kein%} Stotriya ŚĀṄKH. ŚR. 7,26,1 (vgl. Nachtr.).
astraKadira	6699	5-248-b	absent	N	Y	N	{#*astraKadira#}¦, vgl. {#*asraKadira#}, welches nach LEUMANN wohl richtiger ist.
astraKadira	13726	7-315-c	absent	N	Y	N	{#astraKadira#}¦ I. 5.
astrakzatimant	8580	6-297-b	absent	N	Y	N	{#astrakzatimant#}¦ Adj. {%durch Geschosse verwundet%} ŚIŚ. 19,78.
astrakzatimant	13725	7-315-c	absent	N	Y	N	{#astrakzatimant#}¦ 6.
asuKAy	13674	7-315-b	absent	N	Y	N	{#asuKAy#}¦, {#˚yate#} {%Unlust —, Missbehagen empfinden, kein Gefallen finden%} JĀTAKAM. 18,29.
asuKada	8573	6-297-b	absent	N	Y	N	{#asuKada#}¦ Adj. {%Leid bereitend, wehe thuend%} SARASVATĪK. 2,7.
asuKada	13673	7-315-b	absent	N	Y	N	{#asuKada#}¦ 6.
asuboDa	6687	5-248-a	absent	N	Y	N	{#asuboDa#}¦ Adj. {%nicht leicht zu erlernen%} ŚIŚ. 15,19.
asuboDa	13679	7-315-b	absent	N	Y	N	{#asuboDa#}¦ 5.
asudarSana	1460	1-296-b	absent	N	Y	N	{#asudarSana#}¦ Adj. {%nicht leicht zu erblicken%}. Nom. abstr. {#˚tA#} f. HEMĀDRI 1,333,15.
asudarSana	13677	7-315-b	absent	N	Y	N	{#asudarSana#}¦ 1.
asurasaMcodana	2546	2-293-a	absent	N	Y	N	{#asurasaMcodana#}¦ m. {%ein best.%} Samādhi KĀRAṆḌ. 52,7.
asurasaMcodana	13684	7-315-b	absent	N	Y	N	{#asurasaMcodana#}¦ 2.
asurendrA	2547	2-293-a	absent	N	Y	N	{#asurendrA#}¦ f. N. pr. einer Kiṃnara-Jungfrau KĀRAṆḌ. 6,21.
