pwkvn_k1	pwkvn_L	pc	tier	mahavy	in_pw	in_pwg	gloss_snippet
ASvalAyanaprAyaScitta	2657	2-294-b	absent	N	Y	N	{{Lbody=2657}}
ASvalAyanaprAyaScitta	14439	7-320-b	absent	N	Y	N	{{Lbody=14439}}
ASvalAyanasTAlIpAka	2657	2-294-b	absent	N	Y	N	{{Lbody=2657}}
ASvalAyanasTAlIpAka	14439	7-320-b	absent	N	Y	N	{{Lbody=14439}}
ASvalAyanasUtra	2657	2-294-b	absent	N	Y	N	{{Lbody=2657}}
ASvalAyanasUtra	14439	7-320-b	absent	N	Y	N	{{Lbody=14439}}
ASvalAyanasmfti	2657	2-294-b	absent	N	Y	N	{{Lbody=2657}}
ASvalAyanasmfti	14439	7-320-b	absent	N	Y	N	{{Lbody=14439}}
AYjigavi	6755	5-248-c	absent	N	Y	N	{#AYjigavi#}¦ m. N. pr. eines Rituallehrers bei BAUDHĀYANA Comm. zu ĀPAST. ŚR. 13,24,12.
AYjigavi	13990	7-317-b	absent	N	Y	N	{#AYjigavi#}¦ 5.
AbrahmARqa	1570	1-297-b	absent	N	Y	N	{#AbrahmARqa˚#}¦ Adv. {%so lange die Welt besteht%} HEMĀDRI 1,700,11.
AbrahmARqa	14206	7-318-d	absent	N	Y	N	{#AbrahmARqa˚#} und {#ABaraRI#}¦ 1.
AbrahmaBuvanAntikam	1569	1-297-b	absent	N	Y	N	{#AbrahmaBuvanAntikam#}¦ Adv. {%bis zu%} Brahmanʼs {%Welt%} HEMĀDRI 1,273,3.
AbrahmaBuvanAntikam	14204	7-318-d	absent	N	Y	N	{#AbrahmaBuvanAntikam#}¦ 1.
AcAmla	4057	3-255-b	absent	N	Y	N	{#AcAmla#}¦ Bez. {%einer Speise, mit der%} Jaina-{%Asketen im letzten Stadium ihre Fasten brechen,%} ŚĪLĀṄKA 1,345.
AcAmla	13950	7-317-a	absent	N	Y	N	{#AcAmla#}¦ 3. Vgl. WEBER in Ind. St. 16,306, N.
AcAradAya	2586	2-293-b	absent	N	Y	N	{{Lbody=2586}}
AcAradAya	13953	7-317-a	absent	N	Y	N	{{Lbody=13953}}
AcAradarSana	2586	2-293-b	absent	N	Y	N	{{Lbody=2586}}
AcAradarSana	13953	7-317-a	absent	N	Y	N	{#AcAradarSana#}, {#AcAradAya#}, {#AcAranavanIta#} und {#AcArapraSaMsA#}¦ 2.
AcArakARqa	2586	2-293-b	absent	N	Y	N	{#AcArakARqa#}, {#AcAradarSana#} n., {#AcAradAya#} m., {#AcAranavanIta#} n., {#AcArapraSaMsA#} f., {#AcAryacampU#} f., {
AcArakARqa	13951	7-317-a	absent	N	Y	N	{#AcArakARqa#}¦ 2.
AcArakAlakUwa	1513	1-296-c	absent	N	Y	N	{#AcArakAlakUwa#}¦ m. N. pr. eines Priesters KAUTUKAR.
AcArakAlakUwa	13952	7-317-a	absent	N	Y	N	{#AcArakAlakUwa#}¦ 1.
AcAranavanIta	2586	2-293-b	absent	N	Y	N	{{Lbody=2586}}
AcAranavanIta	13953	7-317-a	absent	N	Y	N	{{Lbody=13953}}
AcArapraSaMsA	2586	2-293-b	absent	N	Y	N	{{Lbody=2586}}
AcArapraSaMsA	13953	7-317-a	absent	N	Y	N	{{Lbody=13953}}
AcAryARI	4060	3-255-b	absent	N	Y	N	{#AcAryARI#}¦ MAHĀVĪRAC. 40,15.
AcAryARI	13962	7-317-b	absent	N	Y	N	{#AcAryARI#}¦ (fehlerhaft) und {#AcAryAnI#} I. 3.
AcAryI	4061	3-255-b	absent	N	Y	N	{#AcAryI#}¦ Adv. mit {#kar#} {%zum Lehrer machen%} P. 1,3,36, Sch.
AcAryI	13963	7-317-b	absent	N	Y	N	{#AcAryI#}¦ 3.
AcAryaSikzA	2586	2-293-b	absent	N	Y	N	{{Lbody=2586}}
AcAryaSikzA	13961	7-317-b	absent	N	Y	N	{#AcAryaSikzA#} und {#AcAryasaptati#}¦ 2.
