pwk_L	pwk_pc	slp1	iast	tier	rank	mw_fuzzy	evidence
209516	7-289-d	akftavyUha	akṛtavyūha	NO-MATCH	C		
209517	7-289-d	akftaSrama	akṛtaśrama	nearform0.80		akftakAram	
209518	7-289-d	akftAgas	akṛtāgas	NO-MATCH	C		
209519	7-289-d	akftAgra	akṛtāgra	nearform0.88		akftArTa	
209524	7-289-d	akfSAnekakaRwaka	akṛśānekakaṇṭaka	NO-MATCH	A		B:akfSalakzmI;A:akfzwa
209526	7-289-d	akfzwarohin	akṛṣṭarohin	NO-MATCH	A		A:akfzwa
209527	7-289-d	akfzRa	akṛṣṇa	nearform0.91		akzRa	
209528	7-289-d	akxpta	akḷpta	NO-MATCH	B		B:akopa
209531	7-289-d	akopayant	akopayant	NO-MATCH	B		B:akopana
209532	7-289-d	akOdreya	akaudreya	NO-MATCH	B		B:akOSala
209534	7-289-d	akOsIdya	akausīdya	NO-MATCH	A		B:akOSala;A:akkA
209537	7-289-d	akratusaMyukta	akratusaṃyukta	NO-MATCH	A		A:akti;B:akrama
209542	7-289-d	akrimi	akrimi	NO-MATCH	A		A:akramoQA;B:akriya
209544	7-290-a	akriyAka	akriyāka	NO-MATCH	B		B:akriya
209545	7-290-a	akrIRant	akrīṇant	NO-MATCH	A		A:akrIta
209548	7-290-a	akrUraMkAra	akrūraṃkāra	NO-MATCH	A		A:akrUra
209549	7-290-a	akrUraparivAra	akrūraparivāra	NO-MATCH	A		A:akroDa
209551	7-290-a	akroSant	akrośant	nearform0.88		AkroSana	
209558	7-290-a	akzakUwa	akṣakūṭa	nearform0.88		akzikUwa	
209561	7-290-a	akzataDAnA	akṣatadhānā	nearform0.80		akzapAtana	
209562	7-290-a	akzatasaktu	akṣatasaktu	NO-MATCH	A		A:akzatAmaya
209564	7-290-a	akzatodaka	akṣatodaka	nearform0.86		akzayyodaka	
209565	7-290-a	akzatriya	akṣatriya	nearform0.89		akzapriya	
209566	7-290-a	akzadevanapaRI	akṣadevanapaṇī	NO-MATCH	C		
209567	7-290-a	akzadevitar	akṣadevitar	NO-MATCH	B		B:akzadevin
209579	7-290-a	akzamAlAmaya	akṣamālāmaya	NO-MATCH	A		A:akzamA
209580	7-290-a	akzamAvant	akṣamāvant	NO-MATCH	A		A:akzamin
209601	7-290-b	akzasUtraka	akṣasūtraka	nearform0.82		AkzepasUtra	
209609	7-290-b	akzAlita	akṣālita	nearform0.93		akalita	
209612	7-290-b	akzicCidra	akṣicchidra	NO-MATCH	B		B:akzikUwa
209613	7-290-b	akziRvant	akṣiṇvant	nearform0.94		akziRvat	
209615	7-290-b	akzipaTa	akṣipatha	nearform0.93		akzipat	
209617	7-290-b	akziruj	akṣiruj	NO-MATCH	A		A:akzibanDa
209618	7-290-b	akzirogavant	akṣirogavant	NO-MATCH	C		
209619	7-290-b	akzIRabudDi	akṣīṇabuddhi	NO-MATCH	B		B:akzIba
209621	7-290-b	akzIrAkzArAlavaRa	akṣīrākṣārālavaṇa	NO-MATCH	B		B:akzIba;B:akzu
209625	7-290-b	akzetratara	akṣetratara	NO-MATCH	B		B:akzetrajYa
209626	7-290-b	akzema	akṣema	nearform0.83		akzama	
209630	7-290-b	akzyupanizad	akṣyupaniṣad	NO-MATCH	B		B:akzRayAkfta
209631	7-290-b	aKaYja	akhañja	NO-MATCH	A		A:aKaRqamaRqala
209633	7-290-b	aKaRqArTanirUpaRa	akhaṇḍārthanirūpaṇa	NO-MATCH	A		A:aKaRqamaRqala
209634	7-290-c	aKaRqitAjYa	akhaṇḍitājña	NO-MATCH	C		
209635	7-290-c	aKaRqopADi	akhaṇḍopādhi	nearform1.00		aKaRqopaDi	
209636	7-290-c	aKaRqyamAna	akhaṇḍyamāna	NO-MATCH	B		B:aKarva
209640	7-290-c	aKAdant	akhādant	nearform0.80		apadAnta	
209642	7-290-c	aKilalokanATa	akhilalokanātha	NO-MATCH	A		A:aKinna
209643	7-290-c	aKileSvara	akhileśvara	NO-MATCH	C		
209644	7-290-c	agaRayant	agaṇayant	NO-MATCH	C		
209645	7-290-c	agaRya	agaṇya	NO-MATCH	C		
209646	7-290-c	agataSrI	agataśrī	NO-MATCH	B		B:agati
209659	7-290-c	agastikusuma	agastikusuma	NO-MATCH	A		A:agarBa;B:agastI
209661	7-290-c	agastyagfhapatika	agastyagṛhapatika	nearform0.97		agastyagfhaspatika	
209662	7-290-c	agastyaniGaRwu	agastyanighaṇṭu	NO-MATCH	C		
209663	7-290-c	agastyavawa	agastyavaṭa	NO-MATCH	A		A:agastyaSAsta
209665	7-290-c	agastyasaMpAta	agastyasaṃpāta	nearform0.86		agastyasaMhitA	
209666	7-290-c	agastyASrama	agastyāśrama	nearform0.83		agastyaSAsta	
209668	7-290-c	agADabudDi	agādhabuddhi	NO-MATCH	A		B:agADa;A:agAra
209672	7-290-c	agArdaBaraTika	agārdabharathika	NO-MATCH	A		A:agArastUpa
209673	7-290-c	agiriBid	agiribhid	nearform0.80		adriBid	
209674	7-290-c	aguYjin	aguñjin	NO-MATCH	B		B:aguRa
209678	7-290-d	aguRyatA	aguṇyatā	nearform0.93		aguRatA	
209680	7-290-d	aguruka	aguruka	NO-MATCH	B		B:aguru
209681	7-290-d	agurugavI	agurugavī	NO-MATCH	C		
209682	7-290-d	agurutalpa	agurutalpa	NO-MATCH	C		
209683	7-290-d	agurusAra	agurusāra	nearform0.82		agrasArA	
209684	7-290-d	agfDnu	agṛdhnu	NO-MATCH	B		B:agfha
209686	7-290-d	agfhRant	agṛhṇant	nearform0.93		agfhRat	
209688	7-290-d	agfhyamARakAraRa	agṛhyamāṇakāraṇa	NO-MATCH	A		A:agfhya;B:ago
209690	7-290-d	agoarGa	agoargha	NO-MATCH	B		B:ago;B:agocara
209692	7-290-d	agotracaraRa	agotracaraṇa	NO-MATCH	B		B:agocara
209693	7-290-d	agopAla	agopāla	nearform1.00		AgopAla	
209694	7-290-d	agorasa	agorasa	nearform0.80		agrasara	
209696	7-290-d	agozpada	agoṣpada	NO-MATCH	B		B:agoruDa
209697	7-290-d	agOpavana	agaupavana	NO-MATCH	C		
209698	7-290-d	agnAvizRu	agnāviṣṇu	stem			
209707	7-290-d	agnijananaviDi	agnijananavidhi	NO-MATCH	B		B:agnija;B:agnijihva
209711	7-290-d	agnitanU	agnitanū	stem			
209713	7-290-d	agnidEva	agnidaiva	nearform1.00		agnideva	
209719	7-290-d	agnipiRqa	agnipiṇḍa	NO-MATCH	A		B:agnipada;A:agniputra
209721	7-290-d	agnipUjA	agnipūjā	NO-MATCH	A		A:agniputra
209722	7-290-d	agnipUta	agnipūta	nearform0.88		agnipAta	
209724	7-291-a	agnipraskandana	agnipraskandana	NO-MATCH	A		A:agnipraRayana
209725	7-291-a	agniBaya	agnibhaya	nearform0.88		agnimaya	
209734	7-291-a	agnizwomayAgaviDi	agniṣṭomayāgavidhi	NO-MATCH	B		B:agnizwut;B:agnizWa
209742	7-291-a	agnihotraprAyaScitta	agnihotraprāyaścitta	NO-MATCH	A		A:agnihotraprAyaRa;B:agnihotrin
209745	7-291-a	agnIvaruRa	agnīvaruṇa	nearform1.00		AgnivAruRa	
209749	7-291-a	agnyavaBfTa	agnyavabhṛtha	NO-MATCH	B		B:agnyarcis;B:agnyADeya
209751	7-291-a	agnyupasaminDana	agnyupasamindhana	NO-MATCH	B		B:agnyADeya;B:agnyupasTAna
209755	7-291-a	agragatvara	agragatvara	NO-MATCH	A		A:agragaRanA;B:agragrAsikA
209759	7-291-a	agrataHsTa	agrataḥstha	nearform0.86		agrataHsara	
209760	7-291-a	agratoraTa	agratoratha	nearform0.84		agratIrTa	
209761	7-291-a	agradAtar	agradātar	nearform0.82		agradAtf	
209765	7-291-a	agraBogin	agrabhogin	NO-MATCH	B		B:agraBUmi
209766	7-291-a	agraBojana	agrabhojana	nearform0.84		agraBojya	
209769	7-291-b	agravakra	agravakra	nearform0.95		agravaktra	
209775	7-291-b	agrahoma	agrahoma	NO-MATCH	A		A:agrahaRa;A:agrAgra
209778	7-291-b	agrAmyakanda	agrāmyakanda	NO-MATCH	A		A:agrAnta
209779	7-291-b	agrAha	agrāha	nearform1.00		agraha	
209785	7-291-b	agryamahizI	agryamahiṣī	nearform0.95		agramahizI	
209786	7-291-b	aglAsnu	aglāsnu	nearform0.80		agrasAnu	
209787	7-291-b	aGawita	aghaṭita	NO-MATCH	C		
209788	7-291-b	aGadIpikA	aghadīpikā	NO-MATCH	B		B:aGana
209790	7-291-b	aGapaYcavivecana	aghapañcavivecana	NO-MATCH	B		B:aGana
209791	7-291-b	aGaBeda	aghabheda	NO-MATCH	B		B:aGamarzaRa
209794	7-291-b	aGavivecana	aghavivecana	NO-MATCH	B		B:aGarma;B:aGaSaMsa
209797	7-291-b	aGazawka	aghaṣaṭka	NO-MATCH	B		B:aGaSaMsin;B:aGAtuka
209802	7-291-b	aGorakalpa	aghorakalpa	NO-MATCH	B		B:aGfRin;B:aGoraGoratara
209804	7-291-b	aGnyAtva	aghnyātva	nearform1.00		aGnyatva	
209806	7-291-b	aNkatA	aṅkatā	stem			
209807	7-291-b	aNkanaSAstra	aṅkanaśāstra	NO-MATCH	B		B:aNkapASa
209809	7-291-b	aNkAy	aṅkāy	stem			
209811	7-291-b	aNkur	aṅkur	stem			
209812	7-291-b	aNkuray	aṅkuray	stem			
209816	7-291-c	aNkuSaKewin	aṅkuśakheṭin	NO-MATCH	B		B:aNkuSa
209817	7-291-c	aNkuSaDara	aṅkuśadhara	NO-MATCH	C		
209818	7-291-c	aNkuSeSvara	aṅkuśeśvara	NO-MATCH	C		
209819	7-291-c	aNkUray	aṅkūray	stem			
209823	7-291-c	aNgaGawanA	aṅgaghaṭanā	NO-MATCH	A		A:aNgakriyA;B:aNgaja
209825	7-291-c	aNgatas	aṅgatas	stem			
209826	7-291-c	aNgatvanirukti	aṅgatvanirukti	NO-MATCH	C		
209827	7-291-c	aNgadinna	aṅgadinna	NO-MATCH	C		
209828	7-291-c	aNgapragraha	aṅgapragraha	NO-MATCH	C		
209829	7-291-c	aNgaBaNga	aṅgabhaṅga	nearform0.82		avaBaNga	
209830	7-291-c	aNgaBUta	aṅgabhūta	NO-MATCH	A		A:aNgaBeda
209834	7-291-c	aNgalatikA	aṅgalatikā	nearform0.80		ANgalOkika	
209835	7-291-c	aNgalepA	aṅgalepā	NO-MATCH	C		
209836	7-291-c	aNgaloman	aṅgaloman	NO-MATCH	C		
209837	7-291-c	aNgavAdA	aṅgavādā	NO-MATCH	A		A:aNgavAhaka
209842	7-291-c	aNgArakalikA	aṅgārakalikā	nearform0.83		aNgAraDAnikA	
209843	7-291-c	aNgArakA	aṅgārakā	stem			
209846	7-291-c	aNgAraDUmavant	aṅgāradhūmavant	NO-MATCH	B		B:aNgAraDAnikA
209847	7-291-c	aNgAravAhikA	aṅgāravāhikā	nearform0.83		aNgArajIvikA	
209851	7-291-c	aNgAreSvara	aṅgāreśvara	nearform0.86		aNgAravAra	
209857	7-291-d	aNgulIPaRahastaka	aṅgulīphaṇahastaka	NO-MATCH	A		B:aNgulivezwaka;A:aNgulIBaNga
209859	7-291-d	aNgulIvikzepam	aṅgulīvikṣepam	NO-MATCH	A		A:aNgulIBaNga
209860	7-291-d	aNgulya	aṅgulya	nearform0.93		aNgulIya	
209861	7-291-d	aNguzWaka	aṅguṣṭhaka	nearform0.89		aNguzWikA	
209862	7-291-d	aNguzWaviBedika	aṅguṣṭhavibhedika	nearform0.93		aNguzWaviBedaka	
209867	7-291-d	acakita	acakita	NO-MATCH	A		A:aNGryavanejana;A:acakravarta
209870	7-291-d	acandrasUrya	acandrasūrya	NO-MATCH	B		B:acaRqa
209871	7-291-d	acandrArkagraha	acandrārkagraha	NO-MATCH	C		
209872	7-291-d	acayana	acayana	NO-MATCH	A		A:acara
209878	7-291-d	acarvayant	acarvayant	NO-MATCH	A		A:acarita;B:acala
209880	7-291-d	acaladakza	acaladakṣa	NO-MATCH	B		B:acala;B:acalapura
209882	7-291-d	acalendra	acalendra	NO-MATCH	A		B:acalapura;A:acAkrika
209884	7-291-d	acAkzuza	acākṣuṣa	nearform0.94		acakzuzka	
209885	7-291-d	acAturmAsya	acāturmāsya	NO-MATCH	C		
209886	7-291-d	acikitsanIya	acikitsanīya	NO-MATCH	B		B:acit
209889	7-291-d	acintanIya	acintanīya	NO-MATCH	B		B:acittapAjas;B:acintya
209891	7-291-d	acintyaja	acintyaja	NO-MATCH	B		B:acintya;B:acira
209893	7-291-d	aciraruci	aciraruci	nearform0.82		arTaruci	
209898	7-292-a	acetita	acetita	NO-MATCH	B		B:acetana
209899	7-292-a	acokza	acokṣa	NO-MATCH	A		A:acCawASabda
209901	7-292-a	acCattraka	acchattraka	nearform0.80		apacCattra	
209902	7-292-a	acCadirdarSa	acchadirdarśa	NO-MATCH	C		
209903	7-292-a	acCadman	acchadman	nearform0.88		AcCAdana	
209904	7-292-a	acCanda	acchanda	nearform0.80		AcCAdana	
209906	7-292-a	acCandaskfta	acchandaskṛta	NO-MATCH	A		A:acCandaska;B:acCaBalla
209908	7-292-a	acCamaRqaka	acchamaṇḍaka	NO-MATCH	B		B:acCaBalla
209909	7-292-a	acCambawkAram	acchambaṭkāram	nearform0.89		acCambawkArAya	
209910	7-292-a	acCardanIya	acchardanīya	NO-MATCH	C		
209911	7-292-a	acCAyopaga	acchāyopaga	NO-MATCH	C		
209912	7-292-a	acCidradarSana	acchidradarśana	NO-MATCH	C		
209913	7-292-a	acCidrapattra	acchidrapattra	nearform0.85		acCinnapattra	
209914	7-292-a	acCidrayAman	acchidrayāman	nearform0.87		aKidrayAman	
209915	7-292-a	acCidrASvameDa	acchidrāśvamedha	NO-MATCH	B		B:acCinna
209918	7-292-a	acCinnapayas	acchinnapayas	NO-MATCH	B		B:acCinnapattra;B:acCuptA
209923	7-292-a	acyutakfzRadIkzita	acyutakṛṣṇadīkṣita	NO-MATCH	B		B:acyuta
209924	7-292-a	acyutapraca	acyutapraca	NO-MATCH	C		
209925	7-292-a	acyutaprekza	acyutaprekṣa	NO-MATCH	C		
209926	7-292-a	acyutarAjAByudaya	acyutarājābhyudaya	NO-MATCH	C		
209927	7-292-a	acyutaloka	acyutaloka	NO-MATCH	C		
209928	7-292-a	acyutaSataka	acyutaśataka	NO-MATCH	C		
209929	7-292-a	acyutArcana	acyutārcana	nearform0.82		acyutAgraja	
209930	7-292-a	acyuti	acyuti	stem			
209932	7-292-a	ajakranda	ajakranda	nearform0.89		avakranda	
209934	7-292-a	ajagat	ajagat	nearform0.92		ajagati	
209937	7-292-a	ajagDapApman	ajagdhapāpman	NO-MATCH	B		B:ajagAva
209938	7-292-a	ajaNgama	ajaṅgama	NO-MATCH	C		
209939	7-292-b	ajaNGAla	ajaṅghāla	NO-MATCH	C		
209940	7-292-b	ajajYivaMs	ajajñivaṃs	NO-MATCH	C		
209941	7-292-b	ajaWara	ajaṭhara	NO-MATCH	C		
209942	7-292-b	ajaqapramAtfsidDi	ajaḍapramātṛsiddhi	NO-MATCH	B		B:ajana
209945	7-292-b	ajanavAdaSIla	ajanavādaśīla	NO-MATCH	A		B:ajanani;A:ajanman
209947	7-292-b	ajanmanASa	ajanmanāśa	NO-MATCH	A		A:ajanman;B:ajanya
209949	7-292-b	ajabanDu	ajabandhu	nearform0.88		asabanDu	
209950	7-292-b	ajamaTana	ajamathana	NO-MATCH	B		B:ajamIQa
209954	7-292-b	ajarAjarizRu	ajarājariṣṇu	NO-MATCH	B		B:ajaras;B:ajarAmara
209956	7-292-b	ajarAmarI	ajarāmarī	stem			
209957	7-292-b	ajalpant	ajalpant	NO-MATCH	B		B:ajAgalastana
209959	7-292-b	ajAtaguRa	ajātaguṇa	nearform0.82		AtmaguRa	
209960	7-292-b	ajAtarajas	ajātarajas	NO-MATCH	B		B:ajAtaSatru
209964	7-292-b	ajApAla	ajāpāla	nearform1.00		ajapAla	
209968	7-292-b	ajigIza	ajigīṣa	NO-MATCH	B		B:ajASva
209969	7-292-b	ajitadevAcArya	ajitadevācārya	NO-MATCH	C		
209970	7-292-b	ajitamanas	ajitamanas	nearform0.90		ahitamanas	
209971	7-292-b	ajitendriyamiSra	ajitendriyamiśra	NO-MATCH	A		A:ajinaratna
209973	7-292-b	ajinavAsas	ajinavāsas	nearform0.80		ajinavAsin	
209976	7-292-b	ajihmacArin	ajihmacārin	NO-MATCH	B		B:ajihma;B:ajihva
209980	7-292-b	ajIrRAmftamaYjarI	ajīrṇāmṛtamañjarī	NO-MATCH	B		B:ajIrRa;B:ajIrRi
209982	7-292-c	ajIryant	ajīryant	nearform0.93		ajIryat	
209984	7-292-c	ajugupsa	ajugupsa	NO-MATCH	A		B:ajIvani;A:ajU
209988	7-292-c	ajYAtar	ajñātar	nearform0.92		ajYAta	
209989	7-292-c	ajYAtalipsam	ajñātalipsam	NO-MATCH	C		
209990	7-292-c	ajYeyatva	ajñeyatva	NO-MATCH	B		B:ajyAni
209992	7-292-c	ajyAyaMs	ajyāyaṃs	nearform0.93		ajyAyas	
209996	7-292-c	aYjanaparvan	añjanaparvan	NO-MATCH	B		B:aYjanaka
209997	7-292-c	aYjanABa	añjanābha	nearform0.88		abjanABa	
209998	7-292-c	aYjanika	añjanika	stem			
210000	7-292-c	aYjalipragraha	añjalipragraha	NO-MATCH	B		B:aYjalipuwa
210001	7-292-c	aYjalivEBava	añjalivaibhava	NO-MATCH	C		
210002	7-292-c	aYjogati	añjogati	nearform0.80		ajagati	
210007	7-292-c	awwapAla	aṭṭapāla	NO-MATCH	B		B:awAwyA;B:awwahAsa
210009	7-292-c	aRahilapAwaka	aṇahilapāṭaka	NO-MATCH	A		B:awwahAsa;A:aRi
210011	7-292-c	aRika	aṇika	nearform0.91		aRqika	
210015	7-292-c	aRujyotis	aṇujyotis	NO-MATCH	A		A:aRu;A:aRupriyaNgu
210019	7-292-c	aRUka	aṇūka	nearform1.00		ARUka	
210020	7-292-c	aRUkARqa	aṇūkāṇḍa	NO-MATCH	B		B:aRW
210023	7-292-d	aRqantara	aṇḍantara	NO-MATCH	A		A:aRqa
210024	7-292-d	aRqaBedana	aṇḍabhedana	NO-MATCH	C		
210025	7-292-d	aRqAta	aṇḍāta	NO-MATCH	C		
210026	7-292-d	aRRAdIkzita	aṇṇādīkṣita	nearform0.86		ayadIkzita	
210028	7-292-d	atacCabda	atacchabda	NO-MATCH	C		
210029	7-292-d	atajjAtIya	atajjātīya	nearform0.86		antyajAtIya	
210030	7-292-d	ataTAkaraRa	atathākaraṇa	nearform0.91		AtatIkaraRa	
210032	7-292-d	atadarhamARa	atadarhamāṇa	NO-MATCH	B		B:atad
210033	7-292-d	atadAtman	atadātman	nearform0.84		antarAtman	
210035	7-292-d	atadrUpa	atadrūpa	nearform0.80		atirUpa	
210036	7-292-d	atadvid	atadvid	nearform0.86		Atmavid	
210037	7-292-d	atadvIryavidvaMs	atadvīryavidvaṃs	NO-MATCH	C		
210038	7-292-d	atanubala	atanubala	NO-MATCH	C		
210039	7-292-d	atantumant	atantumant	NO-MATCH	B		B:atantra
210041	7-292-d	atantrita	atantrita	nearform0.89		Amantrita	
210045	7-292-d	atarapaRya	atarapaṇya	nearform0.80		apatarpaRa	
210047	7-292-d	ataruRa	ataruṇa	NO-MATCH	B		B:ataritra
210048	7-292-d	atarkaRIya	atarkaṇīya	nearform0.84		akaraRIya	
210049	7-292-d	atarkAvacara	atarkāvacara	NO-MATCH	B		B:atarkita
210051	7-292-d	atarzula	atarṣula	stem			
210055	7-292-d	atAttvika	atāttvika	NO-MATCH	B		B:atasTAna
210056	7-292-d	atApaBft	atāpabhṛt	NO-MATCH	C		
210057	7-292-d	atArya	atārya	nearform1.00		AtArya	
210058	7-292-d	atikaWina	atikaṭhina	nearform0.82		atikAnta	
210059	7-292-d	atikapila	atikapila	NO-MATCH	C		
210060	7-292-d	atikaruRa	atikaruṇa	nearform0.84		astakaruRa	
210061	7-292-d	atikala	atikala	nearform0.80		atiSukla	
210062	7-293-a	atikazwa	atikaṣṭa	nearform0.88		aDikazwa	
210063	7-293-a	atikAtara	atikātara	nearform0.84		atikftArTa	
210064	7-293-a	atikAryakara	atikāryakara	NO-MATCH	C		
210065	7-293-a	atikuYcita	atikuñcita	nearform0.80		anukuYcita	
210066	7-293-a	atikuwila	atikuṭila	nearform0.82		atikulva	
210069	7-293-a	atikrame	atikrame	stem			
210070	7-293-a	atikrAntaBAvanIya	atikrāntabhāvanīya	NO-MATCH	A		A:atikrAntAtikrAnta
210073	7-293-a	atikrUramfdu	atikrūramṛdu	NO-MATCH	B		B:atikrudDa
210074	7-293-a	atigarIyaMs	atigarīyaṃs	nearform0.95		atigarIyas	
210075	7-293-a	atigarjin	atigarjin	NO-MATCH	B		B:atiguru
210077	7-293-a	atigfdDa	atigṛddha	nearform0.88		ativfdDa	
210078	7-293-a	atigrAhyapAtra	atigrāhyapātra	nearform0.81		AgrayaRapAtra	
210079	7-293-a	atiGana	atighana	NO-MATCH	C		
210080	7-293-a	atiGasmara	atighasmara	nearform0.80		atisamarTa	
210081	7-293-a	aticaRqikA	aticaṇḍikā	NO-MATCH	C		
210082	7-293-a	aticatura	aticatura	nearform0.84		aticCattra	
210083	7-293-a	aticapala	aticapala	nearform0.95		aticApalya	
210085	7-293-a	aticikkaRa	aticikkaṇa	NO-MATCH	B		B:aticAra;B:aticCattraka
210087	7-293-a	aticCedya	aticchedya	NO-MATCH	B		B:aticCattraka
210088	7-293-a	atijawADara	atijaṭādhara	NO-MATCH	C		
210089	7-293-a	atijaWara	atijaṭhara	nearform0.82		atijaras	
210090	7-293-a	atitarpaRa	atitarpaṇa	nearform0.84		avitaraRa	
210091	7-293-a	atitarza	atitarṣa	NO-MATCH	C		
210092	7-293-a	atitApa	atitāpa	nearform0.92		atitap	
210094	7-293-a	atitikzA	atitikṣā	nearform0.80		Acitika	
210096	7-293-a	atituNga	atituṅga	NO-MATCH	B		B:atitIvra
210097	7-293-a	atitud	atitud	nearform0.83		atinud	
210098	7-293-a	atitundila	atitundila	NO-MATCH	C		
210099	7-293-a	atitfpta	atitṛpta	stem			
210100	7-293-b	atiTivratin	atithivratin	NO-MATCH	C		
210101	7-293-b	atiTI	atithī	stem			
210103	7-293-b	atidarpita	atidarpita	NO-MATCH	B		B:atidagDa
210104	7-293-b	atidaSaraTam	atidaśaratham	NO-MATCH	C		
210105	7-293-b	atidahanAtmaka	atidahanātmaka	NO-MATCH	B		B:atidAha
210107	7-293-b	atidilIpam	atidilīpam	NO-MATCH	B		B:atidAha
210108	7-293-b	atidIpti	atidīpti	nearform0.82		agnidIpti	
210109	7-293-b	atiduHKa	atiduḥkha	NO-MATCH	C		
210110	7-293-b	atidurjana	atidurjana	NO-MATCH	C		
210111	7-293-b	atidurnaya	atidurnaya	NO-MATCH	C		
210112	7-293-b	atidurnyasta	atidurnyasta	NO-MATCH	C		
210113	7-293-b	atidurbala	atidurbala	NO-MATCH	C		
210114	7-293-b	atidurbalatA	atidurbalatā	NO-MATCH	C		
210115	7-293-b	atidurvizaha	atidurviṣaha	NO-MATCH	C		
210116	7-293-b	atidurvizahya	atidurviṣahya	nearform0.80		adurgavizaya	
210117	7-293-b	atiduzwa	atiduṣṭa	nearform0.88		aBiduzwa	
