pw_line	k1	hw_slp1	hom_pw	mw_main_max_hom	mw_all_max_hom	annexure_covers	pos	pos_set	sup_layer	dcs_band	corr_n	corr_outside_n	corr_outside	mahavy	dcs	verdict
495406	sadAnanda	sadAnanda	2	0	0	no	adj.	adj.+m.	0	3						
495646	sadukti	sadukti	2	0	0	no	adj.	adj.	0	0						
495741	sadozaka	sadozaka	2	0	0	no	adj.	adj.	0	2						
495763	sadguRa	sadguRa	2	0	0	no	adj.	adj.+f.	0	0						
495778	sadgraha	sadgraha	2	0	0	no	adj.	adj.	0	0						
495821	sadman	sadman	2	0	0	no	n.	n.	0	4						
495930	sadyaskAla	sadyaskAla	2	0	0	no	adj.	adj.+f.+n.	0	0						
496065	sadru	sadru	2	0	0	no	adj.	adj.	0	0						
496073	sadvaMSa	sadvaMSa	2	0	0	no	adj.	adj.+n.	0	0						
496134	sadvftta	sadvftta	2	0	0	no	adj.	adj.+f.	0	2						
496169	saDana	saDana	2	0	0	no	adj.	adj.+f.	0	0						
496226	saDarma	saDarma	2	0	0	no	adj.	adj.	0	2						
496231	saDarmaka	saDarmaka	2	0	0	no	adj.	adj.	0	2						
496264	saDastuti	saDastuti	2	0	0	no	adj.	adj.	0	2						
496744	sanIhAra	sanIhAra	2	0	0	no	adj.	adj.	0	1						
496753	sanutar	sanutar	2	0	0	no	adv.	adv.	0	3						
496771	sanemi	sanemi	2	0	0	no	adv.	adv.	0	2						
497911	saMDyArAga	saMDyArAga	2	0	0	no	adj.	adj.+n.	0	1						
498418	sanmati	sanmati	2	0	0	no	adj.	adj.	0	2						
498465	sap	sap	3	2	2	no			0	3						
498476	sapakza	sapakza	2	0	0	no			0	3						
498574	sapatnI	sapatnI	3	2	2	no	adv.	adv.	0	3						
498760	sapIti	sapIti	2	0	0	no	m.	m.	0	0						
499040	saptadvIpa	saptadvIpa	2	0	0	no	adj.	adj.+f.+m.	0	0						
499279	saptarAtra	saptarAtra	2	0	0	no	m.	m.+n.	0	3						
499629	saptArRava	saptArRava	2	0	0	no	adj.	adj.+f.	0	0						
499919	sabarDu	sabarDu	3	0	0	no	adj.	adj.+f.	0	1						
499937	sabala	sabala	2	0	0	no			0	3						
500072	saBAga	saBAga	2	0	0	no	adj.	adj.	0	2						
500096	saBAjana	saBAjana	2	0	0	no	adj.	adj.	0	1						
500277	sama	sama	4	3	3	no	adj.	adj.+f.	0	5						
500528	samadana	samadana	2	0	0	no	adj.	adj.+f.	0	1						
500558	samadfzwi	samadfzwi	2	0	0	no	adj.	adj.	0	0						
500600	samaDura	samaDura	2	0	0	no	adj.	adj.	0	0						
501328	samarya	samarya	2	0	0	no	adj.	adj.	0	3						
501336	samarya	samarya	3	0	0	no			0	3						
501391	samavattaDAna	samavattaDAna	3	0	0	no	adj.	adj.+f.	0	0						
501444	samavasTA	samavasTA	2	0	0	no	f.	f.	0	3						
501455	samavasrAviRI	samavasrAviRI	2	0	0	no	f.	f.	0	0						
501489	samavAyana	samavAyana	3	0	0	no	n.	n.	0	0						
501541	samaveta	samaveta	3	0	0	no	adj.	adj.	0	0						
501660	samasta	samasta	2	0	0	no	adj.	adj.	0	4						
501692	samasTalI	samasTalI	2	0	0	no	adv.	adv.	0	0						
501733	samAMSa	samAMSa	2	0	0	no	adj.	adj.+f.	0	3						
501869	samAcAra	samAcAra	2	0	0	no	m.	m.	0	3						
502042	samAna	samAna	3	2	2	no	adj.	adj.	0	4						
502059	samAnakarman	samAnakarman	2	0	0	no	adj.	adj.	0	0						
502158	samAnana	samAnana	2	0	0	no	adj.	adj.	0	0						
502304	samAnasTAna	samAnasTAna	2	0	0	no	adj.	adj.	0	0						
502318	samAnADikaraRa	samAnADikaraRa	2	0	0	no	adj.	adj.+f.+n.	0	0						
502324	samAnArTa	samAnArTa	2	0	0	no	adj.	adj.+f.+m.+n.	0	2						
502335	samAnArTatva	samAnArTatva	2	0	0	no	n.	n.	0	0						
502734	samAvAsa	samAvAsa	5	0	0	no	m.	m.	0	2						
502842	samAsana	samAsana	2	0	0	no	adj.	adj.	0	2						
502996	samita	samita	3	0	0	no	adj.	adj.+adv.+f.	0	2						
503587	samud	samud	2	0	0	no	f.	f.	0	0						
503806	samudra	samudra	2	0	0	no	adj.	adj.+f.	0	5						
504016	samudrAnta	samudrAnta	2	0	0	no	adj.	adj.+f.+n.	0	2						
504361	sameta	sameta	3	0	0	no	adj.	adj.+m.	0	0						
506245	samyagdarSana	samyagdarSana	2	0	0	no	adj.	adj.+f.	0	0						
506257	samyagdfzwi	samyagdfzwi	2	0	0	no	adj.	adj.+n.	0	0						
506357	sayava	sayava	2	0	0	no	adj.	adj.	0	0						
506387	sayoga	sayoga	2	0	0	no	m.	m.	0	0						
506674	sara	sara	2	0	0	no	m.	m.	0	4						
506725	saraNga	saraNga	2	0	0	no	m.	m.	0	0						
506738	saraja	saraja	2	0	0	no	n.	n.	0	1						
506792	saraRa	saraRa	2	0	0	no	adj.	adj.	0	3						
506841	saraTam	saraTam	2	0	0	no	adv.	adv.	0	0						
506977	sarasa	sarasa	2	0	0	no	adj.	adj.+f.+adv.	0	3						
506988	sarasatA	sarasatA	2	0	0	no	f.	f.	0	0						
506991	sarasatva	sarasatva	2	0	0	no	n.	n.	0	0						
507034	sarasI	sarasI	2	0	0	no	adv.	adv.	0	3						
507524	sarj	sarj	3	2	2	no	adj.	adj.	0	2						
508427	sarvakarman	sarvakarman	2	0	0	no	adj.	adj.+m.	0	2						
508441	sarvakAma	sarvakAma	2	0	0	no	adj.	adj.+m.	0	2						
508555	sarvagaRa	sarvagaRa	2	0	0	no	adj.	adj.+n.	0	0						
508574	sarvaganDa	sarvaganDa	2	0	0	no	adj.	adj.+m.+n.+f.	0	3						
508821	sarvatantra	sarvatantra	2	0	0	no	adj.	adj.	0	0						
509192	sarvanAman	sarvanAman	2	0	0	no	adj.	adj.	0	3						
509267	sarvapaSu	sarvapaSu	2	0	0	no	adj.	adj.	0	0						
509321	sarvapUrva	sarvapUrva	2	0	0	no	adj.	adj.	0	0						
509495	sarvaBUmi	sarvaBUmi	2	0	0	no	adj.	adj.	0	0						
509637	sarvarasa	sarvarasa	2	0	0	no	adj.	adj.	0	2						
509849	sarvavijYAna	sarvavijYAna	2	0	0	no	adj.	adj.+f.	0	0						
509958	sarvavrata	sarvavrata	2	0	0	no	adj.	adj.	0	0						
510155	sarvasasya	sarvasasya	2	0	0	no	adj.	adj.+f.	0	0						
510221	sarvasidDi	sarvasidDi	2	0	0	no	m.	m.	0	0						
510390	sarvANga	sarvANga	2	0	0	no	adj.	adj.+f.+adv.	0	2						
510431	sarvAtmaka	sarvAtmaka	2	0	0	no	adj.	adj.+n.+m.	0	3						
510452	sarvAtman	sarvAtman	2	0	0	no	adj.	adj.	0	3						
510464	sarvAdi	sarvAdi	2	0	0	no	adj.	adj.	0	2						
510636	sarvArTa	sarvArTa	2	0	0	no	adj.	adj.+n.+f.+m.	0	0						
510673	sarvArTasidDi	sarvArTasidDi	2	0	0	no	m.	m.	0	0						
510743	sarvAsya	sarvAsya	2	0	0	no	adj.	adj.	0	0						
510839	sarvOzaDi	sarvOzaDi	2	0	0	no	m.	m.	0	0						
511252	savana	savana	4	3	3	no	adj.	adj.+f.	0	4						
511469	savitave	savitave	3	0	0	no			0	0						
511736	savya	savya	2	0	0	no	m.	m.	0	4						
512583	saha	saha	3	2	2	no	m.	m.+f.	0	5						
512610	sahakAra	sahakAra	2	0	0	no	adj.	adj.	0	3						
513341	sahasraka	sahasraka	2	0	0	no	adj.	adj.	0	3						
513549	sahasranAman	sahasranAman	2	0	0	no	adj.	adj.+f.	0	2						
514641	sA	sA	5	4	4	no	f.	f.	0	3						
514786	sAMSitya	sAMSitya	2	0	0	no			0	0						
514842	sAka	sAka	4	0	0	no	n.	n.	0	0						
515247	sAgarAnta	sAgarAnta	2	0	0	no	adj.	adj.+f.	0	0						
515629	sAc	sAc	2	0	0	no			0	0						
516268	sADanI	sADanI	2	0	0	no	adv.	adv.	0	0						
516593	sADusamAcAra	sADusamAcAra	2	0	0	no	adj.	adj.	0	0						
516621	sADya	sADya	2	0	0	no	adj.	adj.+m.	0	4						
516683	sADvAcAra	sADvAcAra	2	0	0	no	adj.	adj.	0	0						
517133	sAp	sAp	2	0	0	no	adj.	adj.	0	0						
517234	sApta	sApta	3	2	2	no	n.	n.	0	2						
517464	sAmatva	sAmatva	2	0	0	no	n.	n.	0	0						
518286	sAmrAjya	sAmrAjya	2	0	0	no	m.	m.	0	3						
519190	sArI	sArI	2	0	0	no	f.	f.	0	2						
520178	sAh	sAh	2	0	0	no			0	2						
520348	sAhi	sAhi	2	0	0	no	m.	m.	0	1						
520428	sAhya	sAhya	2	0	0	no	n.	n.	0	3						
520476	si	si	4	3	3	no	other	other	0	3						
520945	siMhAsana	siMhAsana	2	0	0	no	m.	m.	0	3						
521063	sikta	sikta	2	0	0	no	adj.	adj.+f.	0	0						
521307	sita	sita	4	3	3	no			0	4						
521351	sitakuYjara	sitakuYjara	2	0	0	no	adj.	adj.+m.	0	0						
521425	sitapakza	sitapakza	2	0	0	no	m.	m.	0	0						
521814	sidDa	sidDa	3	2	2	no	n.	n.	0	5						
522016	sidDarasa	sidDarasa	2	0	0	no	m.	m.	0	3						
522182	sidDAdeSa	sidDAdeSa	2	0	0	no	m.	m.	0	2						
522475	sidDAsana	sidDAsana	2	0	0	no	m.	m.	0	3						
522506	sidDika	sidDika	2	0	0	no			0	0						
522881	sindUratilaka	sindUratilaka	2	0	0	no	adj.	adj.+m.+f.	0	0						
523187	simA	simA	2	0	0	no	f.	f.+n.	0	3						
523504	sItAyajYa	sItAyajYa	2	0	0	no	adj.	adj.	0	0						
523627	sImanta	sImanta	2	0	0	no	n.	n.+f.	0	3						
523707	sImAnta	sImAnta	2	0	0	no	adj.	adj.+f.	0	3						
523906	su	su	6	5	5	no	adv.	adv.	0	5						
524005	sukarRa	sukarRa	2	0	0	no	adj.	adj.+m.+f.	0	1						
524023	sukarman	sukarman	2	0	0	no	adj.	adj.+m.	0	2						
524112	sukIrti	sukIrti	2	0	0	no	adj.	adj.+m.	0	2						
524200	sukula	sukula	2	0	0	no	adj.	adj.+f.	0	0						
524224	sukfta	sukfta	2	0	0	no	adj.	adj.+f.+m.+n.	0	4						
524232	sukfta	sukfta	3	0	0	no	adj.	adj.	0	4						
524238	sukftakarman	sukftakarman	2	0	0	no	adj.	adj.	0	0						
524265	sukfti	sukfti	2	0	0	no	adj.	adj.+m.	0	2						
524441	sukzetra	sukzetra	2	0	0	no	adj.	adj.+f.+m.+n.	0	2						
524803	suKavAsa	suKavAsa	3	2	2	no	m.	m.	0	0						
524812	suKavihAra	suKavihAra	2	0	0	no	adj.	adj.	0	0						
524940	suKA	suKA	2	0	0	no	adv.	adv.	0	2						
524955	suKAdi	suKAdi	2	0	0	no	adj.	adj.	0	0						
525050	suKASa	suKASa	2	0	0	no	m.	m.	0	1						
525062	suKASA	suKASA	2	0	0	no	f.	f.	0	0						
525153	suKopAya	suKopAya	2	0	0	no	adj.	adj.+f.	0	0						
525231	sugati	sugati	2	0	0	no	adj.	adj.+m.	0	3						
525244	suganDa	suganDa	2	0	0	no	adj.	adj.+f.+m.+n.	0	4						
525436	sugava	sugava	2	0	0	no	adj.	adj.	0	2						
525549	sugopA	sugopA	2	0	0	no	adj.	adj.	0	0						
525726	sucaritacarita	sucaritacarita	2	1	1	no	adj.	adj.	0	0						
525735	sucaritra	sucaritra	2	0	0	no	adj.	adj.+f.	0	0						
525903	sujanman	sujanman	2	0	0	no	adj.	adj.	0	0						
525919	sujaya	sujaya	2	0	0	no	adj.	adj.	0	1						
525990	sujIvita	sujIvita	2	0	0	no	adj.	adj.	0	1						
525993	sujIvita	sujIvita	3	0	0	no	n.	n.	0	1						
526017	sujYAna	sujYAna	2	0	0	no	adj.	adj.+f.	0	0						
526104	sutanu	sutanu	2	0	0	no	adj.	adj.+m.+f.	0	2						
526365	sutIrTa	sutIrTa	2	0	0	no	adj.	adj.+f.+m.	0	2						
526548	sudakziRa	sudakziRa	2	0	0	no	adj.	adj.	0	3						
526785	sudAya	sudAya	2	0	0	no	adj.	adj.	0	1						
526791	sudAru	sudAru	2	0	0	no	m.	m.	0	1						
526864	sudIti	sudIti	2	0	0	no	adj.	adj.+m.	0	2						
526869	sudIditi	sudIditi	2	0	0	no	adj.	adj.	0	0						
527112	sudeva	sudeva	2	0	0	no	adj.	adj.+m.+f.	0	3						
527228	suDarma	suDarma	2	0	0	no	adj.	adj.+m.+f.	0	2						
527448	suDArasa	suDArasa	2	0	0	no	adj.	adj.+n.	0	0						
527543	suDi	suDi	2	0	0	no	adj.	adj.+n.	0	0						
527555	suDita	suDita	2	0	0	no	adj.	adj.	0	3						
527564	suDI	suDI	2	0	0	no	adj.	adj.+m.	0	4						
527571	suDI	suDI	3	0	0	no	adv.	adv.	0	4						
527645	sunakzatra	sunakzatra	2	0	0	no	adj.	adj.+m.+f.	0	2						
527697	sunaya	sunaya	2	0	0	no	adj.	adj.+m.	0	2						
527929	suniScaya	suniScaya	2	0	0	no	adj.	adj.+f.+adv.	0	0						
527997	sunIti	sunIti	2	0	0	no	adj.	adj.+m.+f.	0	3						
528042	sunu	sunu	2	0	0	no	adj.	adj.+n.	0	0						
528071	sunO	sunO	2	0	0	no	adj.	adj.	0	0						
528264	supattra	supattra	2	0	0	no	adj.	adj.+m.+f.	0	2						
528442	suparRa	suparRa	2	0	0	no	adj.	adj.+f.+m.+n.	0	4						
528548	suparvan	suparvan	2	0	0	no	adj.	adj.+m.	0	3						
528651	supArSva	supArSva	2	0	0	no	adj.	adj.+f.+m.	0	3						
528756	suputra	suputra	2	0	0	no	adj.	adj.+f.+n.	0	2						
528795	supuzpa	supuzpa	2	0	0	no	adj.	adj.+m.+f.+n.	0	3						
528875	supeSa	supeSa	2	0	0	no	adj.	adj.	0	2						
528974	supraketa	supraketa	2	0	0	no	adj.	adj.	0	0						
529030	supraRIti	supraRIti	2	0	0	no	adj.	adj.	0	0						
529189	suprapARa	suprapARa	2	0	0	no	adj.	adj.	0	0						
529492	suPena	suPena	2	0	0	no	adj.	adj.+f.	0	1						
529594	subIja	subIja	2	0	0	no	adj.	adj.+m.	0	2						
529605	subudDi	subudDi	2	0	0	no	adj.	adj.+m.	0	2						
529625	suboDa	suboDa	2	0	0	no	adj.	adj.+f.+adv.	0	1						
529664	subrahman	subrahman	2	0	0	no	adj.	adj.	0	2						
529684	suBa	suBa	2	0	0	no	adj.	adj.	0	2						
529916	suBAzita	suBAzita	2	0	0	no	adj.	adj.+f.+m.	0	3						
530010	suBUti	suBUti	2	0	0	no	adj.	adj.+m.	0	4						
530030	suBUmi	suBUmi	2	0	0	no	m.	m.	0	2						
530106	suBru	suBru	2	0	0	no	adj.	adj.+n.+f.	0	2						
530192	sumati	sumati	2	0	0	no	adj.	adj.+m.+f.	0	4						
530287	sumaDyama	sumaDyama	2	0	0	no	adj.	adj.+f.	0	0						
530403	sumantu	sumantu	2	0	0	no	adj.	adj.+m.	0	3						
530446	sumanman	sumanman	2	0	0	no	adj.	adj.	0	0						
530667	sumuKa	sumuKa	2	0	0	no	adj.	adj.+f.+m.+n.	0	3						
530707	sumuKI	sumuKI	2	0	0	no	adv.	adv.	0	2						
530728	sumuhUrta	sumuhUrta	2	0	0	no	adj.	adj.	0	0						
530778	sumeDa	sumeDa	2	0	0	no	adj.	adj.	0	2						
530888	suyajYa	suyajYa	2	0	0	no	adj.	adj.+m.+f.	0	3						
531042	sura	sura	2	0	0	no	n.	n.	0	5						
531045	sura	sura	3	0	0	no	m.	m.	0	5						
531275	suraTa	suraTa	2	0	0	no	adj.	adj.+f.+m.+n.	0	3						
531492	suraBiganDa	suraBiganDa	2	0	0	no	adj.	adj.+f.+n.	0	1						
531585	suraBI	suraBI	2	0	0	no	f.	f.	0	2						
531588	suraBI	suraBI	3	0	0	no	adv.	adv.	0	2						
531963	surAjYI	surAjYI	2	0	0	no	f.	f.	0	0						
532029	surApARa	surApARa	2	0	0	no	adj.	adj.+m.	0	0						
532049	surApITa	surApITa	2	0	0	no	adj.	adj.	0	0						
532064	surAma	surAma	2	0	0	no	m.	m.	0	2						
532257	suruc	suruc	2	0	0	no	adj.	adj.+m.	0	0						
532265	suruci	suruci	2	0	0	no	m.	m.+f.	0	3						
532702	suvaktra	suvaktra	2	0	0	no	adj.	adj.+m.	0	2						
532726	suvacana	suvacana	2	0	0	no	adj.	adj.+f.	0	2						
532769	suvar	suvar	3	0	0	no	other	other	0	3						
533192	suvarRI	suvarRI	2	0	0	no	adv.	adv.	0	0						
533214	suvartman	suvartman	2	0	0	no	adj.	adj.	0	2						
533226	suvarman	suvarman	2	0	0	no	m.	m.	0	2						
533238	suvarza	suvarza	2	0	0	no	adj.	adj.+f.+m.	0	1						
533497	suvitta	suvitta	2	0	0	no	adj.	adj.	0	0						
533569	suviDAna	suviDAna	2	0	0	no	adj.	adj.	0	0						
533713	suvistara	suvistara	2	0	0	no	adj.	adj.+f.+adv.	0	0						
533779	suvIrya	suvIrya	2	0	0	no	adj.	adj.+f.+n.	0	2						
533790	suvfkti	suvfkti	2	0	0	no	adj.	adj.	0	3						
533910	suveza	suveza	2	0	0	no	adj.	adj.+f.+m.	0	1						
533917	suvezatA	suvezatA	2	0	0	no	f.	f.	0	0						
533977	suSakuna	suSakuna	2	0	0	no	adj.	adj.+f.	0	0						
533986	suSakti	suSakti	2	0	0	no	adj.	adj.+m.	0	0						
534027	suSarman	suSarman	2	0	0	no	adj.	adj.+m.	0	3						
534049	suSasti	suSasti	2	0	0	no	adj.	adj.	0	0						
534070	suSAnti	suSAnti	2	0	0	no	m.	m.	0	2						
534163	suSIla	suSIla	2	0	0	no	adj.	adj.+f.+m.	0	3						
534176	suSIlatA	suSIlatA	2	0	0	no	f.	f.	0	0						
534188	suSIlin	suSIlin	2	0	0	no	adj.	adj.	0	1						
534352	suSlizwasaMDi	suSlizwasaMDi	2	0	0	no	adj.	adj.+f.	0	0						
534422	suzamiD	suzamiD	2	0	0	no	adj.	adj.	0	2						
534437	suzA	suzA	2	0	0	no	f.	f.	0	2						
534446	suzAman	suzAman	2	0	0	no	m.	m.	0	2						
534449	suzAman	suzAman	3	0	0	no	adj.	adj.+f.	0	2						
534510	suzIma	suzIma	2	0	0	no	adj.	adj.+m.	0	2						
534619	suzwu	suzwu	2	0	0	no	adv.	adv.	0	2						
534836	susaciva	susaciva	2	0	0	no	adj.	adj.	0	0						
534942	susamiD	susamiD	2	0	0	no	adj.	adj.	0	0						
535026	susaraRa	susaraRa	2	0	0	no	adj.	adj.	0	0						
535085	susAman	susAman	2	0	0	no	m.	m.	0	1						
535097	susAra	susAra	2	0	0	no			0	1						
535370	susvara	susvara	2	0	0	no	f.	f.+adv.+m.	0	3						
535386	susvAgata	susvAgata	2	0	0	no	adj.	adj.+f.	0	2						
535657	sU	sU	5	4	4	no			0	4						
535660	sU	sU	6	4	4	no	adv.	adv.	0	4						
535756	sUkta	sUkta	2	0	0	no	adj.	adj.+f.	0	4						
536193	sUcImuKa	sUcImuKa	2	0	0	no	adj.	adj.+f.+m.+n.	0	3						
536232	sUcyagra	sUcyagra	2	0	0	no	adj.	adj.+m.	0	2						
536269	sUta	sUta	4	3	3	no			0	5						
536282	sUtaka	sUtaka	2	0	0	no	m.	m.	0	4						
536314	sUtatA	sUtatA	3	0	0	no	f.	f.+n.	0	1						
536350	sUtave	sUtave	3	0	0	no			0	0						
536465	sUtya	sUtya	3	0	0	no	n.	n.+f.	0	0						
536714	sUtrI	sUtrI	2	0	0	no	adv.	adv.	0	1						
537287	sUryatejas	sUryatejas	2	0	0	no	adj.	adj.	0	0						
537480	sUryaraSmi	sUryaraSmi	2	0	0	no	adj.	adj.	0	1						
537978	sfjati	sfjati	3	0	0	no	m.	m.	0	0						
538044	sfta	sfta	2	0	0	no	adj.	adj.	0	2						
538145	sfzwa	sfzwa	3	0	0	no	adj.	adj.	0	0						
539894	somapAna	somapAna	2	0	0	no	adj.	adj.	0	2						
539935	somaputra	somaputra	2	0	0	no	adj.	adj.+f.	0	3						
540095	somarUpa	somarUpa	2	0	0	no	adj.	adj.+f.	0	0						
540124	somavaMSa	somavaMSa	2	0	0	no	adj.	adj.+m.	0	1						
540493	somAhuti	somAhuti	2	0	0	no	m.	m.	0	0						
540517	somI	somI	2	0	0	no	adv.	adv.	0	0						
542165	sOSravasa	sOSravasa	2	0	0	no	n.	n.	0	3						
543621	starI	starI	2	0	0	no	adv.	adv.	0	3						
543656	stavaka	stavaka	2	0	0	no			0	2						
544327	stri	stri	2	0	0	no			0	0						
544679	strIliNga	strIliNga	2	0	0	no	adj.	adj.+n.	0	0						
544720	strIvizaya	strIvizaya	2	0	0	no	adj.	adj.	0	0						
544783	strIsvaBAva	strIsvaBAva	2	0	0	no	m.	m.	0	0						
545990	sTAnatva	sTAnatva	2	0	0	no	n.	n.	0	0						
546209	sTAman	sTAman	2	0	0	no	n.	n.	0	3						
546627	sTiramati	sTiramati	2	0	0	no	adj.	adj.+m.	0	0						
546654	sTirayOvana	sTirayOvana	2	0	0	no	adj.	adj.+f.+m.	0	0						
547442	snA	snA	3	2	2	no			0	5						
547445	snA	snA	4	2	2	no	f.	f.	0	5						
547460	snAtakavrata	snAtakavrata	2	0	0	no	adj.	adj.	0	0						
547475	snAtavrata	snAtavrata	2	0	0	no	adj.	adj.	0	0						
548826	sPuwArTa	sPuwArTa	2	0	0	no	adj.	adj.+f.+m.	0	0						
548845	sPuwI	sPuwI	2	0	0	no	adv.	adv.	0	1						
549151	sma	sma	2	0	0	no			0	5						
549415	smarANkuSa	smarANkuSa	2	0	0	no	adj.	adj.	0	0						
549459	smAra	smAra	2	0	0	no	adj.	adj.	0	2						
549832	syad	syad	2	0	0	no	adj.	adj.	0	0						
550286	sras	sras	2	0	0	no	adj.	adj.	0	0						
550325	srAma	srAma	2	0	0	no	m.	m.	0	3						
550812	svakula	svakula	2	0	0	no	adj.	adj.	0	0						
550818	svakulya	svakulya	2	0	0	no	adj.	adj.	0	0						
550890	svaguRa	svaguRa	2	0	0	no	adj.	adj.	0	0						
550904	svagfha	svagfha	2	0	0	no	m.	m.	0	0						
550991	svacCanda	svacCanda	2	0	0	no	adj.	adj.+f.+adv.+m.	0	3						
551094	svajAti	svajAti	2	0	0	no	adj.	adj.	0	0						
551100	svajAtIya	svajAtIya	2	0	0	no	adj.	adj.	0	0						
551144	svatantra	svatantra	2	0	0	no	adj.	adj.+f.+n.+m.	0	4						
551169	svatantrin	svatantrin	2	0	0	no	adj.	adj.	0	2						
551303	svaDA	svaDA	2	0	0	no	f.	f.	0	4						
551309	svaDA	svaDA	3	0	0	no	f.	f.	0	4						
551399	svaDiti	svaDiti	2	0	0	no	f.	f.	0	3						
551444	svaDvara	svaDvara	2	0	0	no	adj.	adj.+n.	0	0						
551484	svana	svana	2	0	0	no	m.	m.	0	4						
551519	svanAman	svanAman	2	0	0	no	adj.	adj.	0	0						
551640	svapati	svapati	2	0	0	no	adj.	adj.	0	0						
551660	svapatya	svapatya	2	0	0	no	adj.	adj.+f.	0	0						
551699	svapas	svapas	2	0	0	no	adj.	adj.	0	1						
551773	svapna	svapna	2	0	0	no	adj.	adj.	0	4						
551883	svapnasTAna	svapnasTAna	2	0	0	no	adj.	adj.	0	0						
552069	svaBUti	svaBUti	2	0	0	no	adj.	adj.	0	0						
552083	svaBUmi	svaBUmi	2	0	0	no	m.	m.	0	0						
552260	svayaMgrAha	svayaMgrAha	2	0	0	no	adj.	adj.+f.+adv.	0	2						
552565	svayoni	svayoni	2	0	0	no	adj.	adj.+f.+n.	0	2						
552832	svarasa	svarasa	2	0	0	no	adj.	adj.+f.+m.	0	4						
552953	svarAzwra	svarAzwra	2	0	0	no	m.	m.	0	0						
553008	svaruci	svaruci	2	0	0	no	adj.	adj.	0	0						
553020	svarUpa	svarUpa	2	0	0	no	adj.	adj.+m.+n.	0	4						
553093	svarocis	svarocis	2	0	0	no	adj.	adj.+m.	0	0						
553224	svargaloka	svargaloka	2	0	0	no	adj.	adj.	0	0						
