mw_key1	covered_flag	heritage_entry_anchor
akArya	1	DICO/1.html#akaarya
akAryakArin	0	
akArzRya	0	
akAla	1	DICO/1.html#akaala
akAlaka	0	
akAlakuzmARqa	0	
akAlakusuma	0	
akAlaja	0	
akAlajAta	0	
akAlotpanna	0	
akAlajaladodaya	0	
akAlameGodaya	0	
akAlavelA	0	
akAlasaha	0	
akAlakOmudI	0	
akAlahInam	1	DICO/1.html#akaalahiinam
akAlikam	0	
akAlya	1	DICO/1.html#akaalya
akAvaNka	0	
akAsAra	0	
akiYcana	1	DICO/1.html#aki~ncana
akiYcanatA	0	
akiYcanatva	0	
akiYcaniman	0	
akitava	0	
akilina	0	
akilviza	0	
akIrti	1	DICO/1.html#akiirti
akIrtikara	1	DICO/1.html#akiirtikara
akuRWa	0	
akuRWaDizRya	0	
akuRWita	0	
akuRqala	0	
akutas	0	
akutaScana	0	
akutaScala	0	
akutaScid	0	
akutomftyu	0	
akutoBaya	0	
akutaScidBaya	0	
akutracaBaya	0	
akutra	1	DICO/1.html#akutra
akutrA	0	
akutUhala	0	
akutsayat	0	
akutsita	0	
akuDryaYc	0	
akupya	1	DICO/1.html#akupya
akupyaka	0	
akupyat	0	
akumAra	0	
akumBa	0	
akula	1	DICO/1.html#akula
akulaka	1	DICO/1.html#akulaka
akulatA	0	
akulIna	0	
akuSala	1	DICO/1.html#akuzala
akuzWipfzat	0	
akusIda	0	
akuSIda	0	
akusuma	0	
akuha	0	
akuhaka	0	
akUja	0	
akUjana	0	
akUwa	0	
akUpAra	1	DICO/1.html#akuupaara
akUvAra	0	
akUrca	0	
akUrmapfzat	0	
akfcCra	0	
akfcCrin	0	
akfta	1	DICO/1.html#ak.rta
akftakAram	0	
akftakArya	0	
akftakftya	0	
akftacUqa	0	
akftajYa	0	
akftajYatA	0	
akftabudDi	1	DICO/1.html#ak.rtabuddhi
akftabudDitva	1	DICO/1.html#ak.rtabuddhitva
akftavraRa	1	DICO/1.html#ak.rtavra.na
akftaSmaSAna	0	
akftAtman	0	
akftArTa	1	DICO/1.html#ak.rtaartha
akftAstra	1	DICO/1.html#ak.rtaastra
akftin	0	
akftitva	0	
akftya	1	DICO/1.html#ak.rtya
akftyakArin	0	
akftta	0	
akfttaruc	0	
akftrima	1	DICO/1.html#ak.rtrima
akftsna	1	DICO/1.html#ak.rtsna
akfpa	0	
akfpaRa	0	
akfmiparisfpta	0	
akfSa	0	
akfSakIrti	0	
akfSalakzmI	0	
akfSASva	0	
akfzIvala	0	
akfzwa	1	DICO/1.html#ak.r.s.ta
akfzwapacya	1	DICO/1.html#ak.r.s.tapacya
akfzRakarman	0	
aketana	0	
aketu	0	
akeSa	1	DICO/1.html#akeza
akowa	0	
akopa	0	
akopana	0	
akopya	0	
akovida	0	
akOSala	0	
akkA	1	DICO/1.html#akkaa
akkAdevI	0	
akta	0	
aktA	0	
aktu	1	DICO/1.html#aktu
aknopana	0	
akra	0	
akratu	0	
akrandita	0	
akrama	1	DICO/1.html#akrama
akramaSas	0	
akramoQA	0	
akravihasta	0	
akravyAd	1	DICO/1.html#akravyaad
akravyAda	0	
akrAnta	0	
akriya	1	DICO/1.html#akriya
akrIqat	0	
akrIta	0	
akruDyat	0	
akrUra	1	DICO/1.html#akruura
akroDa	1	DICO/1.html#akrodha
akroDamaya	0	
akroDana	0	
aklama	0	
aklikA	0	
aklinnavartman	0	
akledya	1	DICO/1.html#akledya
aklizwa	1	DICO/1.html#akli.s.ta
aklizwakarman	0	
aklizwakArin	0	
aklizwavrata	0	
akleSa	1	DICO/1.html#akleza
aklIba	0	
akz	1	DICO/1.html#ak.s
akza	1	DICO/1.html#ak.sa
akzakarRa	1	DICO/1.html#ak.sakar.na
akzaja	0	
akzadfkkarman	0	
akzadvAra	0	
akzaDur	1	DICO/1.html#ak.sadhur
akzaDurA	0	
akzaDUrtila	0	
akzapIqa	0	
akzaBA	0	
akzaBAga	0	
akzaBAra	0	
akzaSabda	0	
akzasaNgam	0	
akzAMsa	0	
akzAgra	0	
akzAgrakIla	0	
akzAgrakIlaka	0	
akzAnah	0	
akzAnta	0	
akzakAma	0	
akzakitava	0	
akzakuSala	1	DICO/1.html#ak.sakuzala
akzakzapaRa	0	
akzaglaha	0	
akzatattva	0	
akzatattvavid	0	
akzadAya	1	DICO/1.html#ak.sadaaya
akzadevana	1	DICO/1.html#ak.sadevana
akzadevin	0	
akzadyU	0	
akzadyUta	1	DICO/1.html#ak.sadyuuta
akzadyUtAdi	0	
akzadrugDa	1	DICO/1.html#ak.sadrugdha
akzaDara	0	
akzaDarma	0	
akzaDUrta	1	DICO/1.html#ak.sadhuurta
akzanEpuRa	0	
akzanEpuRya	1	DICO/1.html#ak.sanaipu.nya
akzaparAjaya	0	
akzapari	1	DICO/1.html#ak.sapari
akzapAta	1	DICO/1.html#ak.sapaata
akzapAtana	1	DICO/1.html#ak.sapaatana
akzapriya	1	DICO/1.html#ak.sapriya
akzaBUmi	0	
akzamada	1	DICO/1.html#ak.samada
akzamAtra	0	
akzamAlA	1	DICO/1.html#ak.samaalaa
akzamAlin	0	
akzamAlikA	0	
akzarAja	0	
akzavat	0	
akzavApa	0	
akzavAma	0	
akzavid	0	
akzavftta	0	
akzaSORqa	1	DICO/1.html#ak.sazau.n.da
akzaSikzA	0	
akzaSIla	0	
akzasUkta	0	
akzasUtra	0	
akzasUtravalayin	0	
akzastuza	0	
akzahfdaya	1	DICO/1.html#ak.sah.rdaya
akzahfdayajYa	0	
akzAtivApa	0	
akzAvapana	0	
akzAvalI	0	
akzAvApa	1	DICO/1.html#ak.saavaapa
akzadarSaka	0	
akzadfS	0	
akzapawala	1	DICO/1.html#ak.sapa.tala
akzapAwa	0	
akzapAwaka	0	
akzapAwika	0	
akzavAwa	0	
akzacaraRa	0	
akzaka	1	DICO/1.html#ak.saka
akzaRa	1	DICO/1.html#ak.sa.na
akzaRvat	1	DICO/1.html#ak.sa.nvat
akzata	1	DICO/1.html#ak.sata
akzatAmaya	0	
akzatayoni	0	
akzita	1	DICO/1.html#ak.sita
akzitavya	0	
akzatra	0	
akzan	0	
akzama	1	DICO/1.html#ak.sama
akzamatA	0	
akzamin	0	
akzaya	1	DICO/1.html#ak.saya
akzayaguRa	0	
akzayatA	1	DICO/1.html#ak.sayataa
akzayatva	1	DICO/1.html#ak.sayatva
akzayatftIyA	1	DICO/1.html#ak.sayat.rtiiyaa
akzayanIvI	0	
akzayapuruhUta	0	
akzayamati	0	
akzayaloka	0	
akzayavawa	0	
akzayin	0	
akzayya	1	DICO/1.html#ak.sayya
akzayyanavamI	0	
akzayyodaka	0	
akzara	1	DICO/1.html#ak.sara
akzarakara	0	
akzaracaYcu	0	
akzaracuYcu	0	
akzaracaRa	0	
akzaracana	0	
akzaracyutaka	1	DICO/1.html#ak.saracyutaka
akzaraCandas	0	
akzarajananI	0	
akzarajIvaka	0	
akzarajIvika	0	
akzarajIvin	0	
akzaratUlikA	0	
akzaranyAsa	1	DICO/1.html#ak.saranyaasa
akzarapaNkti	0	
akzaraBAj	0	
akzaramuKa	0	
akzaramuzwikA	0	
akzaravat	0	
akzaravinyAsa	0	
akzaraSas	0	
akzaraSikzA	0	
akzaraSUnya	0	
akzarasaMsTAna	0	
akzarasamAmnAya	1	DICO/1.html#ak.sarasamaamnaaya
akzarasaMhAta	0	
akzarasaMGAta	0	
akzarasaMhitA	0	
akzarasaDAtu	0	
akzarasampad	0	
akzarAkzara	0	
akzarANga	0	
akzarAntara	0	
akzaresTA	0	
akzaraka	0	
akzarA	0	
akzarya	0	
akzAnti	1	DICO/1.html#ak.saanti
akzAra	1	DICO/1.html#ak.saara
akzAralavaRa	1	
akzAralavaRASin	0	
akzAramadyamAMsAda	0	
akzi	0	
akzikUwa	0	
akzikUwaka	0	
akzigata	1	DICO/1.html#ak.sigata
akzigola	0	
akzijAha	0	
akzitArA	0	
akzinikARam	0	
akzinimeza	0	
akzipakzman	1	DICO/1.html#ak.sipak.sman
akzipawala	0	
akzipat	0	
akzipAka	0	
akzibanDa	0	
akziBU	0	
akziBezaja	0	
akziBruva	1	DICO/1.html#ak.sibhruva
akzimat	1	DICO/1.html#ak.simat
akzilakzIkf	0	
akziloman	1	DICO/1.html#ak.siloman
akzivikURita	0	
akzisaMtarjana	0	
akzisaMskAra	0	
akzyAmaya	0	
akzyAmayin	0	
akzapad	0	
akzapAda	1	DICO/1.html#ak.sapaada
akzaprapAtana	0	
akzanvat	0	
akzika	0	
akzIka	0	
akziRI	0	
akziRvat	0	
akzit	0	
akzitAvasu	0	
akzitoti	0	
akziti	1	DICO/1.html#ak.siti
akziba	0	
akziyat	0	
akzIRa	0	
akzIba	0	
akzIyamARa	1	DICO/1.html#ak.siiyamaa.na
akzu	0	
akzuRRa	0	
akzuRRatA	0	
akzuRRaveDa	0	
akzudra	1	DICO/1.html#ak.sudra
akzuD	0	
akzuDya	0	
akzoDuka	0	
akzetra	0	
akzetrajYa	0	
akzetravid	0	
akzetrin	0	
akzEtrajYya	0	
akzowa	0	
akzoqa	0	
akzoqaka	0	
akzoBa	0	
akzoBya	1	DICO/1.html#ak.sobhya
akzoByatIrTa	1	DICO/1.html#ak.sobhyatiirtha
akzOhiRI	1	DICO/1.html#ak.sauhi.nii
akzRa	1	DICO/1.html#ak.s.na
akzRayAvan	0	
akzRayA	1	DICO/1.html#ak.s.nayaa
akzRayAkfta	0	
akzRayAdeSa	0	
akzRayAdruh	0	
akzRayApacCedana	0	
akzRayArajju	0	
akzRayAstomIyA	0	
aKawwa	0	
aKawwi	0	
aKaRqa	1	DICO/1.html#akha.n.da
aKaRqakala	0	
aKaRqamaRqala	0	
aKaRqopaDi	0	
aKaRqana	1	DICO/1.html#akha.n.dana
aKaRqita	1	DICO/1.html#akha.n.dita
aKaRqitartu	0	
aKanat	0	
aKarva	1	DICO/1.html#akharva
aKAta	0	
aKAdya	0	
aKidra	1	DICO/1.html#akhidra
aKidrayAman	0	
aKinna	0	
aKila	1	DICO/1.html#akhila
aKilAtman	0	
aKilIkf	0	
aKewika	0	
AKewika	0	
aKedin	0	
aKeditva	0	
aKKala	0	
aKKalIkftyA	0	
aKyAta	0	
aKyAti	1	DICO/1.html#akhyaati
aKyAtikara	0	
ag	0	
aga	0	
agaja	0	
agAtmajA	0	
agAvaha	0	
agOkas	0	
agacCa	0	
agaRita	1	DICO/1.html#aga.nita
agaRitapratiyAta	0	
agaRitalajja	0	
agata	1	DICO/1.html#agata
agatAsu	1	DICO/1.html#agataasu
agati	1	DICO/1.html#agati
agatika	0	
agatikagati	0	
agatIka	0	
agatyA	0	
agada	1	DICO/1.html#agada
agadaMkAra	0	
agadaveda	1	DICO/1.html#agadaveda
agadya	0	
agadita	0	
aganDa	0	
aganDasevin	0	
aganDi	0	
aganDin	0	
agama	0	
agamya	1	DICO/1.html#agamya
agamyagA	0	
agamyarUpa	0	
agamyA	1	DICO/1.html#agamyaa
agamyAgamana	1	DICO/1.html#agamyaagamana
agamyAgamanIya	0	
agamyAgAmin	0	
agarI	0	
agaru	0	
agartamit	0	
agartaskandya	0	
agarBa	0	
agarva	0	
agarhita	0	
agavyUti	0	
agasti	1	DICO/1.html#agasti
agastidru	0	
agastIya	0	
agastya	0	
agastyagItA	0	
agastyagfhaspatika	0	
agastyacAra	0	
agastyamArga	0	
agastyaSAsta	0	
agastyasaMhitA	1	DICO/1.html#agastyasa.mhitaa
agastyodaya	0	
agA	0	
agAtf	0	
agADa	1	DICO/1.html#agaadha
agADajala	0	
agADaruDira	0	
agADitva	0	
agAra	1	DICO/1.html#agaara
agAradAhin	0	
agAravinoda	0	
agArastUpa	0	
agArasTURAvirohaRa	0	
agArAvakASa	0	
agArin	0	
agAlita	0	
agira	0	
agirOkas	0	
agIta	0	
agu	0	
ago	0	
agoHprApaRam	0	
agotA	0	
aguRa	1	DICO/1.html#agu.na
aguRatA	0	
aguRatva	0	
aguRavat	0	
aguRavAdin	0	
aguRaSIla	0	
aguRin	0	
agupta	0	
aguru	1	DICO/1.html#aguru
agUQa	0	
agUQaganDa	0	
agUQaBAva	0	
agfBIta	0	
agfBItaSocis	0	
agfha	0	
agfhatA	0	
agfhIta	0	
agfhItadiS	0	
agfhRat	0	
agfhya	0	
agocara	1	DICO/1.html#agocara
agocarIkf	0	
agopA	0	
agoruDa	0	
agohya	0	
agDAd	0	
agnA	0	
agnAmarutO	0	
agnAvizRU	0	
agnAyI	0	
anti	1	DICO/3.html#anti
antigfha	1	DICO/3.html#antig.rha
antitara	1	DICO/3.html#antitara
antitama	1	DICO/3.html#antitama
antitas	1	DICO/3.html#antitas
antideva	0	
antimitra	0	
antivAma	0	
antizad	0	
antisumna	0	
antyUti	0	
antika	1	DICO/3.html#antika
antikagati	0	
antikatA	0	
antikASraya	0	
antima	0	
antikA	0	
antI	0	
antimANka	0	
antya	1	DICO/3.html#antya
antyakarman	1	DICO/3.html#antyakarman
antyakriyA	1	DICO/3.html#antyakriyaa
antyaja	1	DICO/3.html#antyaja
antyajagamana	0	
antyajanman	0	
antyajAti	1	DICO/3.html#antyajaati
antyajAtIya	0	
antyajAgamana	0	
antyaDana	0	
antyapada	0	
antyamUla	0	
antyaBa	0	
antyamaRqana	0	
antyayuga	0	
antyayoni	0	
antyavarRa	0	
antyavipulA	0	
antyAvasAyin	0	
antyArDa	0	
antyAhuti	0	
antyezwi	1	DICO/3.html#antye.s.ti
antyezwikriyA	0	
antyaka	0	
antu	0	
antevAsin	0	
antra	1	DICO/3.html#antra
antrakUja	0	
antrakUjana	0	
antravikUjana	0	
antraMDami	0	
antrapAcaka	0	
antramaya	0	
antravarDman	0	
antravfdDi	0	
antraSilA	0	
antrasraj	0	
antrAda	0	
and	0	
andu	1	DICO/3.html#andu
andU	0	
anduka	0	
andUka	0	
andikA	0	
andolaya	0	
andolana	1	DICO/3.html#andolana
andolita	0	
andraka	0	
anD	0	
anDa	1	DICO/3.html#andha
anDakAra	1	DICO/3.html#andhakaara
anDakAramaya	0	
anDakArasaMcaya	0	
anDakArita	0	
anDakArin	0	
anDakAla	0	
anDakUpa	0	
anDaMkaraRa	0	
anDacawakanyAya	0	
anDatamasa	0	
anDatA	1	DICO/3.html#andhataa
anDatva	1	DICO/3.html#andhatva
anDatAmasa	0	
anDatAmisra	1	DICO/3.html#andhataamisra
anDaDI	0	
anDaparamparAnyAya	0	
anDapUtanA	0	
anDamUzA	0	
anDamUzikA	0	
anDamehala	0	
anDamBavizRu	0	
anDamBAvuka	0	
anDarAtrI	0	
anDavyUha	0	
anDAlajI	0	
anDAhi	0	
anDIkaraRa	0	
anDIkf	0	
anDIkfta	0	
anDIkftAtman	0	
anDIgu	0	
anDIBU	0	
anDIBUta	0	
anDaka	1	DICO/3.html#andhaka
anDakaGAtin	0	
anDakaripu	0	
anDakavarta	0	
anDakavfzRi	0	
anDakAntaka	0	
anDakAri	0	
anDakAsuhfd	0	
anDakI	0	
anDas	1	DICO/3.html#andhas#1
anDikA	0	
anDu	1	DICO/3.html#andhu
anDula	0	
anDra	1	DICO/3.html#andhra
anDrajAti	0	
anDrajAtIya	0	
anDraBftya	0	
anna	1	DICO/3.html#anna
annakaraRa	0	
annakAma	0	
annakAla	0	
annakASin	0	
annakozWaka	0	
annagati	0	
annaganDi	0	
annaja	0	
annajA	0	
annajAta	0	
annajala	0	
annajit	0	
annajIvana	0	
annatejas	0	
annada	0	
annadAtf	0	
annadAna	1	DICO/3.html#annadaana
annadAyin	0	
annadevatA	0	
annadoza	1	DICO/3.html#annado.sa
annadravaSUla	0	
annadveza	0	
annapati	0	
annapatnI	0	
annapatya	0	
annaparyAyam	0	
annapASa	0	
annapU	0	
annapUrRa	1	DICO/3.html#annapuur.na
annapeya	0	
annaprada	0	
annapralaya	0	
annaprASa	0	
annaprASana	1	DICO/3.html#annapraazana
annabuBukzu	0	
annabrahman	0	
annaBakza	0	
annaBakzaRa	0	
annaBAga	0	
annaBuj	0	
annamaya	1	DICO/3.html#annamaya
annamayakoSa	1	DICO/3.html#annamayakoza
annamala	0	
annayoni	0	
annarakzA	0	
annarasa	1	DICO/3.html#annarasa
annalipsA	0	
annavat	1	DICO/3.html#annavat
annavastra	0	
annavAhisrotas	0	
annavikAra	0	
annavikfti	0	
annavid	0	
annavidveza	0	
annaSuBa	0	
annaSeza	0	
annasaMdeha	0	
annasaMskartf	0	
annasaMskAra	0	
annahartf	0	
annahAra	0	
annahoma	0	
annAkAla	0	
annAcCAdana	0	
annAttf	0	
annAdin	0	
annAda	0	
annAdana	0	
annAdya	1	DICO/3.html#annaadya
annAdyakAma	1	DICO/3.html#annaadyakaama
annABiruci	0	
annAyu	0	
annArTin	1	DICO/3.html#annaarthin
annAvfD	0	
annASana	0	
annAhArin	0	
annikA	0	
anniyat	0	
annIya	0	
annamBawwa	1	DICO/3.html#annambha.t.ta
anya	1	DICO/3.html#anya
anyakAma	0	
anyakAra	0	
anyakArukA	0	
anyakfta	0	
anyakriya	0	
anyakzetra	0	
anyaga	0	
anyagAmin	0	
anyagotra	0	
anyacitta	1	DICO/3.html#anyacitta
anyacodita	0	
anyacCAyAyoni	0	
anyaja	0	
anyajanatA	0	
anyajAta	0	
anyajanman	0	
anyatas	0	
anyatA	1	DICO/3.html#anyataa
anyatIrTika	0	
anyatkAma	1	DICO/3.html#anyatkaama
anyatpArSva	0	
anyatsTAnagata	0	
anyadurvaha	0	
anyadevata	0	
anyadevatya	0	
anyadEvata	0	
anyaDarma	0	
anyaDI	0	
anyanABi	0	
anyapadArTapraDAna	1	DICO/3.html#anyapadaarthapradhaana
anyapara	0	
anyaparigraha	0	
anyapuzwa	1	DICO/3.html#anyapu.s.ta
anyapUrvA	0	
anyabanDu	0	
anyabIjaja	0	
anyabIjasamudBava	0	
anyabIjotpanna	0	
anyaBAva	0	
anyaBft	0	
anyaBfta	1	DICO/3.html#anyabh.rta
anyamanas	1	DICO/3.html#anyamanas
anyamanaska	1	DICO/3.html#anyamanaska
anyamAtfka	0	
anyamAtfja	0	
anyamAnasa	1	DICO/3.html#anyamaanasa
anyayajYa	0	
anyarAjan	0	
anyarAzwriya	0	
anyarAzwrIya	0	
anyarUpa	0	
anyarUpin	0	
anyalokya	0	
anyaloha	0	
anyaliNga	0	
anyaliNgaka	0	
anyavarRa	0	
anyavApa	1	DICO/3.html#anyavaapa
anyavrata	0	
anyaSaNkita	0	
anyaSAKaka	0	
anyaSAKAsTa	0	
anyaSfNga	0	
anyasaMgama	0	
anyasADAraRa	0	
anyastrIga	0	
anyahaka	0	
anyAdfkza	0	
anyAdfS	0	
anyAdfSa	0	
anyADIna	0	
anyApadeSa	1	DICO/3.html#anyaapadeza
anyArTa	1	DICO/3.html#anyaartha
anyArTatva	0	
anyASrayaRa	0	
anyASrita	0	
anyAsakta	0	
anyAsADAraRa	0	
anyokti	1	DICO/3.html#anyokti
anyoktikaRWABaraRa	0	
anyoktiparicCeda	0	
anyoktiSataka	0	
anyoQA	0	
anyotpanna	0	
anyodarya	0	
anyopatApin	0	
anyaka	0	
anyatama	1	DICO/3.html#anyatama
anyatara	1	DICO/3.html#anyatara
anyataratas	0	
anyataratodanta	0	
anyataratoyukta	0	
anyataredyus	1	DICO/3.html#anyataredyus
anyatarAnyatara	0	
anyataeta	0	
anyataHkzRut	1	DICO/3.html#anyata.hk.s.nut
anyataHplakzA	0	
anyatomuKa	0	
anyataHsitibAhu	0	
anyataHsitiranDra	0	
anyatoGAtin	0	
anyatojyotis	0	
anyatodat	0	
anyatodvAra	1	DICO/3.html#anyatodvaara
anyatoraRya	0	
anyatovAta	0	
anyatastya	0	
anyatastyajAyin	0	
anyatkAraka	0	
anyatkf	0	
anyadASA	0	
anyadASis	0	
anyatra	1	DICO/3.html#anyatra
anyatrakaraRa	0	
anyatramanas	0	
anyaTaya	0	
anyaTA	1	DICO/3.html#anyathaa
anyaTAkaraRa	0	
anyaTAkAra	0	
anyaTAkf	0	
anyaTAkfta	0	
anyaTAkfti	0	
anyaTAjAtIyaka	0	
anyaTAKyAti	1	DICO/3.html#anyathaakhyaati
anyaTAtva	0	
anyaTAdarSana	0	
anyaTABAva	0	
anyaTABUta	0	
anyaTAvAdin	1	DICO/3.html#anyathaavaadin
anyaTAvftti	0	
anyaTASIlika	0	
anyaTAsamBAvin	0	
anyaTAsidDa	1	DICO/3.html#anyathaasiddha
anyaTAsidDatva	0	
anyaTAsidDi	1	DICO/3.html#anyathaasiddhi
anyaTAstotra	0	
anyaTABiDAna	0	
anyadA	1	DICO/3.html#anyadaa
anyadIya	0	
anyarhi	0	
anyedyuka	0	
anyedyuzka	0	
anyedyus	1	DICO/3.html#anyedyus
anyedyuska	0	
anyonya	1	DICO/3.html#anyonya
anyonyakalaha	0	
anyonyakftya	0	
anyonyagata	0	
anyonyaGAta	0	
anyonyadarSana	0	
anyonyaDarmin	0	
anyonyapakzanayana	0	
anyonyaBAva	0	
anyonyaBeda	0	
anyonyamiTuna	0	
anyonyaviBAga	0	
anyonyavftti	0	
anyonyavyatikara	0	
anyonyasaMSraya	0	
anyonyasApekza	0	
anyonyasparDA	0	
anyonyasparDin	0	
anyonyahArABihata	0	
anyonyAnurAga	0	
anyonyApatitatyAgin	0	
anyonyApahfta	0	
anyonyABAva	1	DICO/3.html#anyonyaabhaava
anyonyASraya	0	
anyonyASrita	0	
anyonyokti	0	
anyonyopamA	0	
anyaNga	0	
anyaNgaSveta	0	
anyA	0	
anyAya	0	
anyAyatas	0	
anyAyamati	0	
anyAyavartin	1	DICO/3.html#anyaayavartin
anyAyavftta	0	
anyAyavftti	0	
anyAyasamAsa	0	
anyAyin	0	
anyAyya	0	
anyUna	1	DICO/3.html#anyuuna
anyUnANga	0	
anyUnAtirikta	0	
anyUnAtiriktANga	0	
anyUnADika	0	
anyUnArTavAdin	0	
anyokas	0	
anvakza	0	
anvakzaram	0	
anvakzarasanDi	0	
anvagram	0	
anvaNgam	0	
anvaYc	0	
anvaksTAnin	0	
anvaksTAnIya	0	
anvagjyezWa	0	
anvagBAvam	0	
anvagBUya	0	
anvaYj	0	
anvat	0	
anvatisic	0	
anvatI	0	
anvaDiruh	0	
anvaDyas	0	
anvaDyAyam	0	
anvapakram	0	
anvaBizic	0	
anvaByavacar	0	
anvaByavacAram	0	
anvaya	1	DICO/3.html#anvaya
anvayajYa	0	
anvayavat	1	DICO/3.html#anvayavat
anvayavyatireka	1	DICO/3.html#anvayavyatireka
anvayavyatirekin	1	DICO/3.html#anvayavyatirekin
anvayavyApti	1	DICO/3.html#anvayavyaapti
anvayAgata	0	
anvayin	1	DICO/3.html#anvayin
anvayitva	0	
anvarc	0	
anvarj	0	
anvart	0	
anvartitf	0	
anuvartitf	0	
anvarTa	1	DICO/3.html#anvartha
anvarTagrahaRa	1	DICO/3.html#anvarthagraha.na
anvarTasaMjYA	1	
anvav	0	
anvavakf	0	
anvavakF	0	
anvavakiraRa	0	
anvavakram	0	
anvavagA	0	
anvavacar	0	
anvavacAra	0	
anvavaDA	0	
anvavapA	0	
anvavaplu	0	
anvavamfS	0	
anvavaruh	0	
anvavalamba	0	
anvavalup	0	
anvavasfj	0	
anvavasarga	0	
anvavaso	0	
anvavasAyin	0	
anvavasita	0	
anvavasTA	0	
anvavasru	0	
anvavahan	0	
anvavahf	0	
anvavArj	0	
anvavAs	0	
anvave	0	
anvavAya	0	
anvavAyana	0	
anvavekz	0	
anvavekzaRa	0	
anvavekzA	0	
anvavekzin	0	
anvaS	0	
anvazwakA	0	
anvazwakya	0	
anvas	0	
anvasta	0	
anvah	0	
anvaham	0	
anvA	0	
