bhs_key2	mw_tier	pwg_tier	dcs_lemma_id	dcs_bhs_tokens	dcs_bhs_loci	dcs_tier	dcs_lemma_hits
-aSva	marker_strip	marker_strip+form_key	60200	92	Avadānaśataka;Aṣṭasāhasrikā;Buddhacarita;Divyāvadāna;Lalitavistara;Laṅkāvatārasūtra;Mūlamadhyamakārikāḥ;Saddharmapuṇḍarīkasūtra;Saundarānanda;Viṃśatikāvṛtti	marker_strip	1
-agreRa	marker_strip+form_key	unlinked	5938	1	Divyāvadāna	marker_strip	1
-akumBa	marker_strip	unlinked		0		unlinked	0
-alaMkArika	unlinked	unlinked	221464	1	Divyāvadāna	marker_strip	1
-anUccalita	unlinked	unlinked		0		unlinked	0
-antarIya	marker_strip	marker_strip+form_key		0		unlinked	0
-antarIyaka	unlinked	unlinked		0		unlinked	0
-antika	marker_strip	marker_strip	11945	165	Avadānaśataka;Aṣṭasāhasrikā;Bodhicaryāvatāra;Buddhacarita;Divyāvadāna;Lalitavistara;Saddharmapuṇḍarīkasūtra;Saṅghabhedavastu;Āryāsaptaśatī	marker_strip	2
-anuBavana-tA	unlinked	unlinked		0		unlinked	0
-anuDAra	unlinked	unlinked		0		unlinked	0
-anuDArin	unlinked	unlinked		0		unlinked	0
-anuSaMsaka	unlinked	unlinked		0		unlinked	0
-anujYA	marker_strip	marker_strip	157744	31	Avadānaśataka;Aṣṭasāhasrikā;Bodhicaryāvatāra;Divyāvadāna;Saddharmapuṇḍarīkasūtra;Saṅghabhedavastu	marker_strip	2
-anulomana-tA	unlinked	unlinked		0		unlinked	0
-anupIqana	unlinked	unlinked		0		unlinked	0
-anupIqin	unlinked	unlinked		0		unlinked	0
-anuparivartin	unlinked	unlinked	221531	1	Lalitavistara	marker_strip	1
-anuprapUra	unlinked	unlinked		0		unlinked	0
-anuprekzin	unlinked	unlinked		0		unlinked	0
-anurakzaRa-tA	unlinked	unlinked		0		unlinked	0
-anuravaRa	unlinked	unlinked		0		unlinked	0
-anuvAhin	unlinked	unlinked		0		unlinked	0
-anuyogin	marker_strip	unlinked		0		unlinked	0
-apacAyaka	marker_strip	unlinked	222244	1	Divyāvadāna	marker_strip	1
-apahArakam	unlinked	unlinked		0		unlinked	0
-apakarzaRa-tA	unlinked	unlinked		0		unlinked	0
-apakarzin	marker_strip	marker_strip		0		unlinked	0
-apamardana	unlinked	unlinked	220959	1	Divyāvadāna	marker_strip	1
-arGyeya	unlinked	unlinked		0		unlinked	0
-atisArin	marker_strip	marker_strip		0		unlinked	0
-attamanas	unlinked	unlinked		0		unlinked	0
-atyastam	unlinked	unlinked		0		unlinked	0
-avaDUnakam	unlinked	unlinked		0		unlinked	0
-avacara	marker_strip	marker_strip	54071	7	Buddhacarita;Lalitavistara;Saddharmapuṇḍarīkasūtra	marker_strip	1
-avakrAma	unlinked	unlinked		0		unlinked	0
-avakrAntaka	unlinked	unlinked		0		unlinked	0
-avakrAntika	unlinked	unlinked		0		unlinked	0
-avalambaka	marker_strip	marker_strip	167540	6	Divyāvadāna	marker_strip	1
-avalehakam	unlinked	unlinked		0		unlinked	0
-avavicArAd	unlinked	unlinked		0		unlinked	0
-bAhunikA	unlinked	unlinked		0		unlinked	0
-balADAna	unlinked	unlinked		0		unlinked	0
-balika	marker_strip	marker_strip	223209	3	Saddharmapuṇḍarīkasūtra	marker_strip	1
-boDika	unlinked	unlinked		0		unlinked	0
-brAhmaRa	marker_strip+form_key	marker_strip	149743	223	Avadānaśataka;Aṣṭasāhasrikā;Buddhacarita;Divyāvadāna;Lalitavistara;Laṅkāvatārasūtra;Saddharmapuṇḍarīkasūtra;Saṅghabhedavastu	marker_strip	2
-budDaka	marker_strip	unlinked		0		unlinked	0
-budDivant	unlinked	unlinked		0		unlinked	0
-cAla	marker_strip	marker_strip+form_key		0		unlinked	0
-cAraka	marker_strip	marker_strip	51075	4	Bodhicaryāvatāra;Divyāvadāna;Lalitavistara	marker_strip	1
-cArika	marker_strip	marker_strip		0		unlinked	0
-cagGati	unlinked	unlinked		0		unlinked	0
-cakzuka	unlinked	unlinked		0		unlinked	0
-cippitika	unlinked	unlinked		0		unlinked	0
-cittaka	unlinked	unlinked		0		unlinked	0
-cittotpAdika	unlinked	unlinked		0		unlinked	0
-dAWa	unlinked	unlinked		0		unlinked	0
-dAntaka	marker_strip	unlinked		0		unlinked	0
-dAsitA	unlinked	unlinked		0		unlinked	0
-dIyate	unlinked	unlinked		0		unlinked	0
-daSaka	marker_strip	marker_strip		0		unlinked	0
-dada	marker_strip	marker_strip		0		unlinked	0
-dadana	marker_strip	marker_strip		0		unlinked	0
-dantinikA	unlinked	unlinked		0		unlinked	0
-darSana-tA	unlinked	unlinked		0		unlinked	0
-darSimant	unlinked	unlinked		0		unlinked	0
-darSin	marker_strip	marker_strip	145893	33	Aṣṭasāhasrikā;Bodhicaryāvatāra;Buddhacarita;Divyāvadāna;Lalitavistara;Saddharmapuṇḍarīkasūtra;Saundarānanda	marker_strip	1
-deSaka	marker_strip	marker_strip	87243	5	Lalitavistara;Saddharmapuṇḍarīkasūtra	marker_strip	2
-dfzwika	marker_strip	unlinked	86536	2	Aṣṭasāhasrikā;Lalitavistara	marker_strip	1
-dravyaka	marker_strip	marker_strip+form_key	90505	1	Abhidharmakośa	marker_strip	1
-dukA	unlinked	unlinked		0		unlinked	0
-duka	unlinked	unlinked		0		unlinked	0
-dunduBikA	unlinked	unlinked		0		unlinked	0
-dvIpika	unlinked	unlinked		0		unlinked	0
-fdDika	unlinked	unlinked		0		unlinked	0
-gAmika	marker_strip	marker_strip		0		unlinked	0
-gAminikA	unlinked	unlinked		0		unlinked	0
-gUTaka	marker_strip	marker_strip		0		unlinked	0
-galvArka)	unlinked	unlinked		0		unlinked	0
-ganDinikA	unlinked	unlinked		0		unlinked	0
-gatIka	marker_strip	marker_strip		0		unlinked	0
-gavezaka	unlinked	unlinked	170883	2	Bodhicaryāvatāra	marker_strip	1
-gotraka	unlinked	marker_strip	124590	7	Laṅkāvatārasūtra	marker_strip	1
-grAha	marker_strip+form_key	marker_strip+form_key	156936	32	Acintyastava;Aṣṭasāhasrikā;Buddhacarita;Divyāvadāna;Laṅkāvatārasūtra;Mūlamadhyamakārikāḥ;Saundarānanda;Saṅghabhedavastu	marker_strip	1
-hAra	marker_strip	marker_strip	108676	37	Avadānaśataka;Bodhicaryāvatāra;Buddhacarita;Divyāvadāna;Lalitavistara;Laṅkāvatārasūtra;Saddharmapuṇḍarīkasūtra;Saundarānanda;Saṅghabhedavastu;Āryāsaptaśatī	marker_strip	2
-hAri	marker_strip	marker_strip+form_key		0		unlinked	0
-hArika	marker_strip	marker_strip	109070	1	Divyāvadāna	marker_strip	1
-harati	unlinked	unlinked		0		unlinked	0
-indraka	marker_strip	marker_strip	210487	2	Aṣṭasāhasrikā	marker_strip	1
-jAtIya	marker_strip	marker_strip	88671	30	Avadānaśataka;Aṣṭasāhasrikā;Divyāvadāna;Lalitavistara;Laṅkāvatārasūtra;Saddharmapuṇḍarīkasūtra;Saṅghabhedavastu	marker_strip	1
-jAta	marker_strip	marker_strip	88547	11	Buddhacarita;Divyāvadāna	marker_strip	2
-jAtika	unlinked	unlinked	205993	5	Aṣṭasāhasrikā	marker_strip	1
-jAtya	marker_strip+form_key	marker_strip	88677	2	Lalitavistara;Saundarānanda	marker_strip	1
-jaha	marker_strip	marker_strip		0		unlinked	0
-jahana	marker_strip	marker_strip		0		unlinked	0
-jananIya	marker_strip	unlinked		0		unlinked	0
-jota	unlinked	unlinked		0		unlinked	0
-kARqaka	unlinked	unlinked		0		unlinked	0
-kAraRika	marker_strip	marker_strip		0		unlinked	0
-kAraka	marker_strip	marker_strip	14106	25	Acintyastava;Aṣṭasāhasrikā;Bodhicaryāvatāra;Buddhacarita;Divyāvadāna;Lalitavistara;Mūlamadhyamakārikāḥ;Saundarānanda;Saṅghabhedavastu	marker_strip	2
-kArakam	unlinked	unlinked		0		unlinked	0
-kArika	unlinked	unlinked		0		unlinked	0
-kArzI	marker_strip	unlinked		0		unlinked	0
-kAsI	unlinked	unlinked		0		unlinked	0
-kAwaka	unlinked	unlinked		0		unlinked	0
-kAyika	marker_strip	marker_strip	14095	46	Abhidharmakośa;Avadānaśataka;Aṣṭasāhasrikā;Divyāvadāna;Lalitavistara;Mūlamadhyamakārikāḥ;Saddharmapuṇḍarīkasūtra;Saundarānanda;Saṅghabhedavastu	marker_strip	1
-kaTin	unlinked	unlinked		0		unlinked	0
-karRaka	marker_strip+form_key	marker_strip		0		unlinked	0
-kara	marker_strip	marker_strip	2230	138	Avadānaśataka;Bodhicaryāvatāra;Buddhacarita;Divyāvadāna;Lalitavistara;Saddharmapuṇḍarīkasūtra;Saundarānanda;Saṅghabhedavastu;Āryāsaptaśatī	marker_strip	3
-karaka	marker_strip	marker_strip	220776	6	Avadānaśataka	marker_strip	2
-kariRa	unlinked	unlinked		0		unlinked	0
-karman	marker_strip+form_key	marker_strip	12243	611	Abhidharmakośa;Avadānaśataka;Aṣṭasāhasrikā;Bodhicaryāvatāra;Buddhacarita;Divyāvadāna;Lalitavistara;Laṅkāvatārasūtra;Mūlamadhyamakārikāḥ;Saddharmapuṇḍarīkasūtra;Saundarānanda;Saṅghabhedavastu;Viṃśatikākārikā;Viṃśatikāvṛtti;Āryāsaptaśatī;Śikṣāsamuccaya	marker_strip	1
-kartin	unlinked	unlinked		0		unlinked	0
-keraka	marker_strip	marker_strip		0		unlinked	0
-kfta	marker_strip	marker_strip	3448	8	Bodhicaryāvatāra;Lalitavistara;Laṅkāvatārasūtra;Saddharmapuṇḍarīkasūtra;Saundarānanda;Āryāsaptaśatī	marker_strip	1
-kftaM	unlinked	unlinked		0		unlinked	0
-kfto	unlinked	unlinked		0		unlinked	0
-kftvA	marker_strip+form_key	unlinked		0		unlinked	0
-kftyA	marker_strip+form_key	unlinked		0		unlinked	0
-kftyo	unlinked	unlinked		0		unlinked	0
-kuSalin	marker_strip	marker_strip		0		unlinked	0
-kutsaka	unlinked	unlinked		0		unlinked	0
-kuttaM	unlinked	unlinked		0		unlinked	0
-kzAntika	unlinked	unlinked		0		unlinked	0
-kzattaM	unlinked	unlinked		0		unlinked	0
-kzatto	unlinked	unlinked		0		unlinked	0
-kzunto	unlinked	unlinked		0		unlinked	0
-kzuttaM	unlinked	unlinked		0		unlinked	0
-kzutto	unlinked	unlinked		0		unlinked	0
-lABika	unlinked	unlinked		0		unlinked	0
-lApika	unlinked	unlinked		0		unlinked	0
-lIqa	unlinked	unlinked		0		unlinked	0
-lambaka	marker_strip	marker_strip		0		unlinked	0
-lapa	unlinked	unlinked		0		unlinked	0
-layanaka	unlinked	unlinked		0		unlinked	0
-lucana	unlinked	unlinked		0		unlinked	0
-mAMsaka	unlinked	unlinked		0		unlinked	0
-mAraka	marker_strip	marker_strip	79216	13	Bodhicaryāvatāra;Divyāvadāna;Lalitavistara;Saddharmapuṇḍarīkasūtra	marker_strip	1
-mAtra	marker_strip	marker_strip	78185	208	Acintyastava;Avadānaśataka;Aṣṭasāhasrikā;Bodhicaryāvatāra;Buddhacarita;Divyāvadāna;Lalitavistara;Laṅkāvatārasūtra;Nyāyabindu;Saddharmapuṇḍarīkasūtra;Saundarānanda;Saṅghabhedavastu;Viṃśatikākārikā;Viṃśatikāvṛtti;Āryāsaptaśatī;Śikṣāsamuccaya	marker_strip	1
-mUrDaka	marker_strip	marker_strip		0		unlinked	0
-mUrDni	unlinked	unlinked		0		unlinked	0
-maraRIya	marker_strip	unlinked		0		unlinked	0
-miTyAcArika	unlinked	unlinked		0		unlinked	0
-muKaka	unlinked	unlinked		0		unlinked	0
-nAqyA	unlinked	unlinked		0		unlinked	0
-nemika	unlinked	unlinked	221546	2	Lalitavistara	marker_strip	1
-niScArakam	unlinked	unlinked		0		unlinked	0
-nilamBa	unlinked	marker_strip		0		unlinked	0
-nir-aBinandin	unlinked	unlinked		0		unlinked	0
-nirGAtin	unlinked	unlinked		0		unlinked	0
-nirmaTa	marker_strip	marker_strip		0		unlinked	0
-nirnAdana	unlinked	unlinked		0		unlinked	0
-nizkramaRa	marker_strip	marker_strip	28325	2	Lalitavistara;Saddharmapuṇḍarīkasūtra	marker_strip	1
-odaka	marker_strip+form_key	unlinked		0		unlinked	0
-ojaska	unlinked	unlinked	217724	11	Aṣṭasāhasrikā;Saddharmapuṇḍarīkasūtra	marker_strip	1
-pAWa	marker_strip	marker_strip	93245	9	Bodhicaryāvatāra;Divyāvadāna;Lalitavistara;Laṅkāvatārasūtra	marker_strip	1
-pAdapaka	unlinked	marker_strip		0		unlinked	0
-pArzadya	marker_strip	marker_strip	94375	3	Lalitavistara	marker_strip	1
-pAsa(ka)	unlinked	unlinked		0		unlinked	0
-pAya	marker_strip	marker_strip		0		unlinked	0
-pIzaka	unlinked	unlinked		0		unlinked	0
-pakzika	unlinked	unlinked		0		unlinked	0
-palaka	unlinked	unlinked		0		unlinked	0
-parAyaRIya	unlinked	unlinked		0		unlinked	0
-parapratyaya	unlinked	unlinked		0		unlinked	0
-pariKa	unlinked	unlinked	221914	1	Lalitavistara	marker_strip	1
-paricArika	marker_strip	marker_strip		0		unlinked	0
-pariga	marker_strip	marker_strip		0		unlinked	0
-parigrAhaka	marker_strip	unlinked	18917	2	Saddharmapuṇḍarīkasūtra	marker_strip	1
-parihARikA	unlinked	unlinked		0		unlinked	0
-parijYAna-tA	unlinked	unlinked		0		unlinked	0
-parikANkzin	unlinked	unlinked		0		unlinked	0
-parimArjaka	marker_strip	unlinked		0		unlinked	0
-parisAmantaka	unlinked	unlinked	220450	2	Aṣṭasāhasrikā;Saddharmapuṇḍarīkasūtra	marker_strip	1
-parisrAvin	marker_strip	marker_strip		0		unlinked	0
-parpawaka	marker_strip	marker_strip		0		unlinked	0
-paryaya	marker_strip	marker_strip		0		unlinked	0
-parzatka	marker_strip	unlinked		0		unlinked	0
-pfTakkArakam	unlinked	unlinked		0		unlinked	0
-pfcCa	unlinked	unlinked		0		unlinked	0
-piwakIya	unlinked	unlinked		0		unlinked	0
-poRa	unlinked	unlinked		0		unlinked	0
-poRika	unlinked	unlinked		0		unlinked	0
-prARika	marker_strip	unlinked		0		unlinked	0
-prApta	marker_strip	marker_strip		0		unlinked	0
-prAtiBAnika	unlinked	unlinked		0		unlinked	0
-prAtilamBika	unlinked	unlinked		0		unlinked	0
-prItika	unlinked	unlinked		0		unlinked	0
-praBUti	marker_strip+form_key	marker_strip		0		unlinked	0
-praDarzaka	marker_strip	marker_strip		0		unlinked	0
-pracAlaka	marker_strip	marker_strip		0		unlinked	0
-pracCandika-tA	unlinked	unlinked		0		unlinked	0
-pradAlana	unlinked	unlinked		0		unlinked	0
-pradAraRa	unlinked	unlinked		0		unlinked	0
-pradakziRa-grAha-tA	unlinked	unlinked		0		unlinked	0
-pradarSanaka	unlinked	unlinked	200458	1	Laṅkāvatārasūtra	marker_strip	1
-prajAna-tA	unlinked	unlinked		0		unlinked	0
-prajYAyate	unlinked	unlinked		0		unlinked	0
-prakfta	marker_strip	marker_strip		0		unlinked	0
-pramARin	unlinked	unlinked		0		unlinked	0
-pramaTaka	unlinked	unlinked		0		unlinked	0
-pramuYca	unlinked	unlinked		0		unlinked	0
-pramuYcaka	unlinked	unlinked		0		unlinked	0
-pramuktaka	unlinked	unlinked		0		unlinked	0
-prastAraka	unlinked	unlinked		0		unlinked	0
-pratISa	unlinked	unlinked		0		unlinked	0
-pratiSizyakA	unlinked	unlinked		0		unlinked	0
-pratikANkzin	marker_strip	marker_strip	222018	1	Lalitavistara	marker_strip	1
-pratikftika	unlinked	unlinked		0		unlinked	0
-pratilamBika	unlinked	unlinked		0		unlinked	0
-pratinizevaRa(-tA)	unlinked	unlinked		0		unlinked	0
-pratizWAna	marker_strip+form_key	marker_strip	140021	3	Laṅkāvatārasūtra;Saddharmapuṇḍarīkasūtra	marker_strip	1
-puruzaka	marker_strip	marker_strip		0		unlinked	0
-qaha	unlinked	unlinked		0		unlinked	0
-rAhuka	unlinked	unlinked		0		unlinked	0
-rUpa	marker_strip+form_key	marker_strip+form_key	71929	444	Abhidharmakośa;Abhidharmakośabhāṣya;Acintyastava;Avadānaśataka;Aṣṭasāhasrikā;Bodhicaryāvatāra;Buddhacarita;Divyāvadāna;Lalitavistara;Laṅkāvatārasūtra;Mūlamadhyamakārikāḥ;Nyāyabindu;Prasannapadā;Saddharmapuṇḍarīkasūtra;Saundarānanda;Saṅghabhedavastu;Viṃśatikākārikā;Viṃśatikāvṛtti;Āryāsaptaśatī	marker_strip	1
-rUpiRikA	marker_strip	marker_strip		0		unlinked	0
-raNgika	unlinked	unlinked		0		unlinked	0
-ratnika	unlinked	unlinked		0		unlinked	0
-rutAvin	unlinked	unlinked		0		unlinked	0
-sAtman	marker_strip+form_key	marker_strip+form_key		0		unlinked	0
-sEnyaka	unlinked	unlinked		0		unlinked	0
-sPowakam	unlinked	unlinked		0		unlinked	0
-sTARuka	unlinked	unlinked		0		unlinked	0
-sUcika	marker_strip	marker_strip		0		unlinked	0
-saMDunakam	unlinked	unlinked		0		unlinked	0
-saMbanDa	marker_strip+form_key	marker_strip	103761	12	Bodhicaryāvatāra;Laṅkāvatārasūtra;Saṅghabhedavastu;Āryāsaptaśatī	marker_strip+form_key	1
-saMdarSana-tA	unlinked	unlinked		0		unlinked	0
-saMjAna-	unlinked	unlinked		0		unlinked	0
-saMjYa	marker_strip	marker_strip	9388	1	Aṣṭasāhasrikā	marker_strip	1
-saMjana	marker_strip+form_key	unlinked		0		unlinked	0
-saMkalIBUta	unlinked	unlinked		0		unlinked	0
-saMlagnikA	unlinked	unlinked		0		unlinked	0
-saMpraBa	unlinked	unlinked		0		unlinked	0
-saMprakzAlaka	unlinked	unlinked		0		unlinked	0
-saMpremaka	unlinked	unlinked		0		unlinked	0
-saMsTitaka	unlinked	unlinked		0		unlinked	0
-saMsTitikA	unlinked	unlinked		0		unlinked	0
-saMtatika	marker_strip+form_key	unlinked		0		unlinked	0
-saMtuzitaka	marker_strip	unlinked		0		unlinked	0
-saMvAcaka	unlinked	unlinked		0		unlinked	0
-saMvAsika	unlinked	unlinked		0		unlinked	0
-saMvAsya	unlinked	marker_strip		0		unlinked	0
-saMvartanaka	unlinked	unlinked		0		unlinked	0
-saMvedin	unlinked	unlinked		0		unlinked	0
-sakkati	unlinked	unlinked		0		unlinked	0
-sakkin	unlinked	unlinked		0		unlinked	0
-samAcArin	unlinked	unlinked		0		unlinked	0
-samudGAwin	unlinked	unlinked		0		unlinked	0
-samutTAnaka	unlinked	unlinked		0		unlinked	0
-sarati	unlinked	unlinked		0		unlinked	0
-sayyaka	unlinked	unlinked		0		unlinked	0
-seyyAka	unlinked	unlinked		0		unlinked	0
-sitTa(ka)	unlinked	unlinked		0		unlinked	0
-smaraRika	unlinked	unlinked		0		unlinked	0
