form_slp1	flag	heritage_stems	kosha_lemmas	heritage_category	kosha_sources	disagreement_class
ASaMsayA	disagree	ASaMsa	ASaMsA	nominal	dcs	genuine-or-ambiguous
ASaMse	disagree	ASaMsa	ASaMs	nominal	dcs	stem-granularity
ASanAyan	disagree	aSana	aSanAy	finite-verb	dcs	genuine-or-ambiguous
ASas	disagree	ASA|ASa|ASas	ASi	iic-compound|nominal	vidyut	genuine-or-ambiguous
ASasana	disagree	ASasana	ASas	iic-compound|nominal	vidyut	stem-granularity
ASava	disagree	ASava	ASu	iic-compound|nominal	dcs	genuine-or-ambiguous
ASayan	disagree	ASayat|aS	ASay	finite-verb|participle	dcs	stem-granularity
ASayanti	disagree	ASayat|aS	ASay	finite-verb|participle	dcs	stem-granularity
ASayat	disagree	ASayat|aS	ASI	finite-verb|participle	dcs	genuine-or-ambiguous
ASayate	disagree	ASayat|aS	ASay	finite-verb|participle	dcs	stem-granularity
ASayati	disagree	ASayat|aS	ASay	finite-verb|participle	dcs	stem-granularity
ASayet	disagree	aS	ASay	finite-verb	dcs	genuine-or-ambiguous
ASayitvA	disagree	aS	ASay	verbal-indecl	dcs	genuine-or-ambiguous
ASitA	disagree	ASita	ASay	participle	dcs	genuine-or-ambiguous
ASitO	disagree	ASita	ASay	participle	dcs	genuine-or-ambiguous
ASitam	disagree	ASita	ASay	participle	dcs	genuine-or-ambiguous
ASitasya	disagree	ASita	ASay	participle	dcs	genuine-or-ambiguous
ASite	disagree	ASita	ASay	participle	dcs	genuine-or-ambiguous
ASitena	disagree	ASita	ASay	participle	dcs	genuine-or-ambiguous
ASlezA	disagree	ASleza	ASlezA	nominal	dcs	genuine-or-ambiguous
ASlezAsu	disagree	ASleza	ASlezA	nominal	dcs	genuine-or-ambiguous
ASlezAyAm	disagree	ASleza	ASlezA	nominal	dcs	genuine-or-ambiguous
ASrayI	disagree	ASraya	ASrayin	iiv-compound	dcs	genuine-or-ambiguous
ASvas	disagree	ASva	ASvas	nominal	vidyut	stem-granularity
ASvasya	disagree	ASva	ASvas	nominal	dcs	stem-granularity
ASvasyatAm	disagree	aSva	ASvas	finite-verb	dcs	genuine-or-ambiguous
ASvayujI	disagree	ASvayuja	ASvayujI	iic-compound|iiv-compound|nominal	dcs	genuine-or-ambiguous
ASvayuji	disagree	ASvayuja	ASvayuj	iic-compound|nominal	dcs	stem-granularity
ASvayujyA	disagree	ASvayuja	ASvayujI	nominal	dcs	genuine-or-ambiguous
ASvayujyAm	disagree	ASvayuja	ASvayujI	nominal	dcs	genuine-or-ambiguous
ASvayujyE	disagree	ASvayuja	ASvayujI	nominal	dcs	genuine-or-ambiguous
ASyAna	disagree	ASyAna	ASyA	iic-compound|nominal	dcs	stem-granularity
ASyam	disagree	ASya	aS	participle	dcs	genuine-or-ambiguous
AYcanta	disagree	aYc	AYc	finite-verb	dcs	genuine-or-ambiguous
Abilam	disagree	Avila	Abila	nominal	dcs	genuine-or-ambiguous
AcAma	disagree	aYc	AcAma|Acam	finite-verb	dcs	genuine-or-ambiguous
AcArI	disagree	AcAra	AcArin	iiv-compound	dcs	genuine-or-ambiguous
AcAravatyAm	disagree	AcAravat	AcAravatI	nominal	dcs	stem-granularity
AdAt	disagree	Ada	AdA	nominal	dcs	genuine-or-ambiguous
AdAyam	disagree	AdAya	AdA	nominal	dcs	stem-granularity
AdarSI	disagree	AdarSa	AdarSin	iiv-compound	dcs	genuine-or-ambiguous
Adat	disagree	ad	AdA	finite-verb	dcs	genuine-or-ambiguous
Adaya	disagree	ad	Adi	finite-verb	vidyut	genuine-or-ambiguous
Adayan	disagree	Adayat|ad	Aday	finite-verb|participle	dcs	stem-granularity
Adayanti	disagree	Adayat|ad	Aday	finite-verb|participle	dcs	stem-granularity
Adayati	disagree	Adayat|ad	Aday	finite-verb|participle	dcs	stem-granularity
Adayet	disagree	ad	Aday	finite-verb	dcs	genuine-or-ambiguous
AdayitvA	disagree	ad	Aday	verbal-indecl	dcs	genuine-or-ambiguous
AdigDAm	disagree	AdigDa	Adih	nominal	dcs	genuine-or-ambiguous
AdigDa	disagree	AdigDa	Adih	iic-compound|nominal	dcs	genuine-or-ambiguous
AdigDam	disagree	AdigDa	Adih	nominal	dcs	genuine-or-ambiguous
AdikAn	disagree	Adi	Adika	nominal	dcs	stem-granularity
AdikAnAm	disagree	Adi	Adika	nominal	dcs	stem-granularity
AdikAt	disagree	Adi	Adika	nominal	dcs	stem-granularity
AdikO	disagree	Adi	Adika	nominal	dcs	stem-granularity
Adika	disagree	Adi	Adika	iic-compound|nominal	dcs	stem-granularity
Adikam	disagree	Adi	Adika	nominal	dcs	stem-granularity
Adikasya	disagree	Adi	Adika	nominal	dcs	stem-granularity
Adike	disagree	Adi	Adika	nominal	dcs	stem-granularity
Adikena	disagree	Adi	Adika	nominal	dcs	stem-granularity
Adikezu	disagree	Adi	Adika	nominal	dcs	stem-granularity
Aditas	disagree	Adi|Adita	Aditas	indeclinable|participle	dcs	stem-granularity
Adite	disagree	Adita	AditA	participle	vidyut	genuine-or-ambiguous
Adivat	disagree	Adivas	ad	participle	vidyut	genuine-or-ambiguous
AdyE	disagree	Adi|ad	Adya	finite-verb|nominal	dcs	genuine-or-ambiguous
Adyanta	disagree	ad	Adyanta	finite-verb	vidyut	genuine-or-ambiguous
AgAmin	disagree	AgAmin	Agam	nominal	vidyut	genuine-or-ambiguous
AgacCantI	disagree	anAgacCat	Agam	iic-compound|nominal	dcs	genuine-or-ambiguous
AgacCanti	disagree	anAgacCat	Agam	iic-compound|nominal	dcs	genuine-or-ambiguous
AgacCantyA	disagree	anAgacCat	Agam	nominal	dcs	genuine-or-ambiguous
AgacCantyAm	disagree	anAgacCat	Agam	nominal	dcs	genuine-or-ambiguous
Agamin	disagree	Agamin	AgAmi	nominal	vidyut	genuine-or-ambiguous
Agantave	disagree	Agantu	Agam	nominal	dcs	genuine-or-ambiguous
AgaskftAm	disagree	Agaskfta	Agaskft	nominal	dcs	stem-granularity
Agaskftam	disagree	Agaskfta	Agaskft	nominal	dcs	stem-granularity
AhanasyA	disagree	Ahanasya	AhanasyA	nominal	dcs	genuine-or-ambiguous
AharARi	disagree	Ahara	Ahf	nominal	dcs	genuine-or-ambiguous
Ahara	disagree	Ahara	Ahf	iic-compound|nominal	dcs	genuine-or-ambiguous
Ahare	disagree	Ahara	Ahf	nominal	vidyut	genuine-or-ambiguous
AhlAdI	disagree	AhlAda	AhlAdin	iiv-compound	dcs	genuine-or-ambiguous
AhukI	disagree	Ahuka	AhukI	iiv-compound	dcs	genuine-or-ambiguous
AhvAm	disagree	Ahva	AhvA	nominal	dcs	genuine-or-ambiguous
AhvAnayet	disagree	AhvAna	AhvAnay	finite-verb	dcs	stem-granularity
AhvAnitA	disagree	AhvAnita	AhvAnay	participle	dcs	genuine-or-ambiguous
AhvAs	disagree	Ahva	AhvA	nominal	dcs	genuine-or-ambiguous
AhvAyAm	disagree	Ahva	AhvA	nominal	dcs	genuine-or-ambiguous
AhvAya	disagree	Ahva	AhvA	nominal	dcs	genuine-or-ambiguous
Ahve	disagree	Ahva	AhvA	nominal	dcs	genuine-or-ambiguous
AjAnA	disagree	AjAna	AjAnA	nominal	dcs	genuine-or-ambiguous
AjAnAn	disagree	AjAna	AjYA	nominal	dcs	genuine-or-ambiguous
AjAti	disagree	AjAti	Aj	iic-compound|nominal	dcs	genuine-or-ambiguous
AjI	disagree	Aja|Aji	AjIvi	iiv-compound|nominal	vidyut	genuine-or-ambiguous
AjIvA	disagree	AjIva	AjIv	nominal	vidyut	stem-granularity
Ajagara	disagree	Ajagara	AgF	iic-compound|nominal	vidyut	genuine-or-ambiguous
Ajata	disagree	aj	Aj	finite-verb	dcs	genuine-or-ambiguous
AkANkza	disagree	AkANkza	AkANkz	iic-compound|nominal	vidyut	stem-granularity
AkASI	disagree	AkASa	AkASI	iiv-compound	dcs	genuine-or-ambiguous
AkUtO	disagree	AkUta	AkUti	nominal	dcs	genuine-or-ambiguous
AkUte	disagree	AkUta	AkUti	nominal	dcs	genuine-or-ambiguous
AkarRam	disagree	AkarRa	AkarRam	nominal	dcs	stem-granularity
AkarRaya	disagree	AkarRa	AkarRay	finite-verb	dcs	stem-granularity
AkarRayan	disagree	AkarRa|AkarRayat	AkarRay	finite-verb|participle	dcs	stem-granularity
AkarRayantam	disagree	AkarRayat	AkarRay	participle	dcs	stem-granularity
AkarRayasi	disagree	AkarRa	AkarRay	finite-verb	dcs	stem-granularity
AkarRayata	disagree	AkarRa	AkarRay	finite-verb	dcs	stem-granularity
AkarRayet	disagree	AkarRa	AkarRay	finite-verb	dcs	stem-granularity
AkarRayitum	disagree	AkarRa	AkarRay	verbal-indecl	dcs	stem-granularity
AkarRayizyAmi	disagree	AkarRa	AkarRay	finite-verb	dcs	stem-granularity
AkarRitam	disagree	AkarRita	AkarRay	participle	dcs	genuine-or-ambiguous
AkarRya	disagree	AkarRa	AkarRay	verbal-indecl	dcs	stem-granularity
AkarzikA	disagree	Akarzaka	AkarzikA	nominal	dcs	genuine-or-ambiguous
AkuYcita	disagree	AkuYcita	AkuYcay	iic-compound|nominal	dcs	genuine-or-ambiguous
AkuYcitam	disagree	AkuYcita	AkuYcay	nominal	dcs	genuine-or-ambiguous
AkuYcite	disagree	AkuYcita	AkuYcay	nominal	dcs	genuine-or-ambiguous
AkulI	disagree	Akula	AkulI|Akuli	iiv-compound	dcs	genuine-or-ambiguous
Akulayan	disagree	Akula|Akulayat	Akulay	finite-verb|participle	dcs	stem-granularity
Akulayet	disagree	Akula	Akulay	finite-verb	dcs	stem-granularity
Akzam	disagree	akz	Akza	finite-verb	dcs	genuine-or-ambiguous
Akzepin	disagree	Akzepin	Akzip	nominal	vidyut	genuine-or-ambiguous
AkzikI	disagree	Akzika	AkzikI	iiv-compound	dcs	genuine-or-ambiguous
Alakzya	disagree	Alakzya	Alakzay	iic-compound|nominal	dcs	genuine-or-ambiguous
Alakzyam	disagree	Alakzya	Alakzay	nominal	dcs	genuine-or-ambiguous
AlocanA	disagree	Alocana	AlocanA	nominal	dcs	genuine-or-ambiguous
AlocanAt	disagree	Alocana	AlocanA	nominal	dcs	genuine-or-ambiguous
Alocanam	disagree	Alocana	AlocanA	nominal	dcs	genuine-or-ambiguous
Alocanena	disagree	Alocana	AlocanA	nominal	dcs	genuine-or-ambiguous
Alolite	disagree	Alolita	Alolay	nominal	dcs	genuine-or-ambiguous
AlukA	disagree	Aluka	AlukA	nominal	dcs	genuine-or-ambiguous
Alulitam	disagree	Alulita	Alul	nominal	dcs	stem-granularity
AmarSI	disagree	AmarSa	AmarSin	iiv-compound	dcs	genuine-or-ambiguous
AmardI	disagree	Amarda	Amardin	iiv-compound	dcs	genuine-or-ambiguous
AmayI	disagree	Amaya	Amayin	iiv-compound	dcs	genuine-or-ambiguous
Amayas	disagree	Amaya|am	Ami	finite-verb|nominal	vidyut	genuine-or-ambiguous
Amayat	disagree	Amayat|am	Amay|Amayant	finite-verb|participle	dcs	stem-granularity
Amayati	disagree	Amayat|am	Amay	finite-verb|participle	dcs	stem-granularity
Amayet	disagree	am	Amay	finite-verb	dcs	genuine-or-ambiguous
AmizI	disagree	Amis	AmizI	nominal	dcs	genuine-or-ambiguous
AmlA	disagree	Amla	AmlA	nominal	dcs	genuine-or-ambiguous
AmodI	disagree	Amoda	Amodin	iiv-compound	dcs	genuine-or-ambiguous
AmuKam	disagree	AmuKa	AmuKam	nominal	dcs	stem-granularity
AmuzyA	disagree	Amivas	Amuz	participle	dcs	genuine-or-ambiguous
AnaSAnAs	disagree	AnaSAna	aS	participle	dcs	genuine-or-ambiguous
AnaSAte	disagree	aS	AS	finite-verb	dcs	genuine-or-ambiguous
AnaSire	disagree	aS	naS	finite-verb	dcs	genuine-or-ambiguous
AnajAnA	disagree	AnajAna	aYj	participle	dcs	genuine-or-ambiguous
Anam	disagree	an	Ani	finite-verb	vidyut	genuine-or-ambiguous
Anama	disagree	Anama	AnAmi	iic-compound|nominal	vidyut	genuine-or-ambiguous
Aname	disagree	Anama	AnAmi	nominal	vidyut	genuine-or-ambiguous
AnandAyE	disagree	Ananda	AnandA	nominal	dcs	genuine-or-ambiguous
Anarca	disagree	fc	arc	finite-verb	dcs	genuine-or-ambiguous
AnatO	disagree	Anati	Anam	nominal	dcs	genuine-or-ambiguous
AnayAma	disagree	an	AnI	finite-verb	dcs	genuine-or-ambiguous
AnayAmahe	disagree	an	AnI	finite-verb	dcs	genuine-or-ambiguous
AnayAmi	disagree	an	AnI	finite-verb	dcs	genuine-or-ambiguous
Anaya	disagree	Anaya|an	AnI	finite-verb|iic-compound|nominal	dcs	genuine-or-ambiguous
AnayaDvam	disagree	an	AnI	finite-verb	dcs	genuine-or-ambiguous
Anayan	disagree	Anayat|an	AnI	finite-verb|participle	dcs	genuine-or-ambiguous
AnayantI	disagree	Anayat	AnI	participle	dcs	genuine-or-ambiguous
AnayantO	disagree	Anayat	AnI	participle	dcs	genuine-or-ambiguous
Anayantam	disagree	Anayat	AnI	participle	dcs	genuine-or-ambiguous
Anayante	disagree	an	AnI	finite-verb	dcs	genuine-or-ambiguous
Anayanti	disagree	Anayat|an	AnI	finite-verb|participle	dcs	genuine-or-ambiguous
Anayantu	disagree	an	AnI	finite-verb	dcs	genuine-or-ambiguous
Anayasi	disagree	an	AnI	finite-verb	dcs	genuine-or-ambiguous
Anayasva	disagree	an	AnI	finite-verb	dcs	genuine-or-ambiguous
Anayat	disagree	Anayat|an	AnI	finite-verb|participle	dcs	genuine-or-ambiguous
AnayatAm	disagree	Anayat|an	AnI	finite-verb|participle	dcs	genuine-or-ambiguous
AnayatI	disagree	Anayat	AnI	participle	dcs	genuine-or-ambiguous
Anayata	disagree	an	AnI	finite-verb	dcs	genuine-or-ambiguous
Anayatam	disagree	an	AnI	finite-verb	dcs	genuine-or-ambiguous
Anayate	disagree	Anayat|an	AnI	finite-verb|participle	dcs	genuine-or-ambiguous
Anayati	disagree	Anayat|an	AnI	finite-verb|participle	dcs	genuine-or-ambiguous
Anayatu	disagree	an	AnI	finite-verb	dcs	genuine-or-ambiguous
Anaye	disagree	Anaya|an	AnI	finite-verb|nominal	dcs	genuine-or-ambiguous
Anayet	disagree	an	AnI	finite-verb	dcs	genuine-or-ambiguous
Anayeya	disagree	an	Ani	finite-verb	vidyut	genuine-or-ambiguous
Anayeyam	disagree	an	AnI	finite-verb	dcs	genuine-or-ambiguous
Anayeyur	disagree	an	AnI	finite-verb	dcs	genuine-or-ambiguous
Anayitum	disagree	an	AnI	verbal-indecl	dcs	genuine-or-ambiguous
AnayitvA	disagree	an	AnI	verbal-indecl	dcs	genuine-or-ambiguous
AnayizyAmahe	disagree	an	AnI	finite-verb	dcs	genuine-or-ambiguous
AnayizyAmi	disagree	an	AnI	finite-verb	dcs	genuine-or-ambiguous
Anayizyanti	disagree	Anayizyat|an	AnI	finite-verb|participle	dcs	genuine-or-ambiguous
Anayizyasi	disagree	an	AnI	finite-verb	dcs	genuine-or-ambiguous
Anayizyati	disagree	Anayizyat|an	AnI	finite-verb|participle	dcs	genuine-or-ambiguous
AndolitA	disagree	Andolita	Andolay	participle	dcs	genuine-or-ambiguous
Andolitam	disagree	Andolita	Andolay	participle	dcs	genuine-or-ambiguous
Anfcus	disagree	fc	arc	finite-verb	dcs	genuine-or-ambiguous
AnilI	disagree	Anila	AnilI	iic-compound|iiv-compound|nominal	dcs	genuine-or-ambiguous
AntAt	disagree	Anta	am	participle	vidyut	genuine-or-ambiguous
AnukUlyatas	disagree	AnukUlya	AnukUlyatas	indeclinable	vidyut	stem-granularity
Anyam	disagree	Anya	an	participle	vidyut	genuine-or-ambiguous
ApA	disagree	Apa	Ap|ap	nominal	dcs	genuine-or-ambiguous
ApAtAm	disagree	ApAta	ApA	nominal	dcs	stem-granularity
ApI	disagree	Apa	Api	iiv-compound	dcs	genuine-or-ambiguous
ApItO	disagree	ApIta	ApA	nominal	dcs	genuine-or-ambiguous
Apata	disagree	Ap	Apat	finite-verb	dcs	genuine-or-ambiguous
ApayA	disagree	Apa	Ap	nominal	vidyut	genuine-or-ambiguous
ApayAma	disagree	Ap|i	Apay	finite-verb	dcs	genuine-or-ambiguous
Apaya	disagree	Ap|i	Apay|Api	finite-verb	dcs	genuine-or-ambiguous
Apayanti	disagree	Ap|Apayat|i	Apay	finite-verb|participle	dcs	stem-granularity
Apaye	disagree	Ap|i	Api	finite-verb	dcs	genuine-or-ambiguous
Apayet	disagree	Ap|i	Apay	finite-verb	dcs	genuine-or-ambiguous
ApayitA	disagree	Ap|i	Apayitf	finite-verb	dcs	genuine-or-ambiguous
Ape	disagree	Ap|Apa	Api	finite-verb|nominal	dcs	genuine-or-ambiguous
AptAni	disagree	Apta	Ap	participle	dcs	genuine-or-ambiguous
AptAyAm	disagree	Apta	Ap	participle	dcs	genuine-or-ambiguous
AptavAn	disagree	Aptavat	Ap	participle	dcs	genuine-or-ambiguous
AptavatI	disagree	Aptavat	Ap	participle	dcs	genuine-or-ambiguous
AptavyA	disagree	Aptavya	Ap	participle	dcs	genuine-or-ambiguous
Aptavyam	disagree	Aptavya	Ap	participle	dcs	genuine-or-ambiguous
Apte	disagree	Apta	Ap	participle	dcs	genuine-or-ambiguous
ApyAya	disagree	Apya	ApyA|ApyAya	nominal|participle	dcs	genuine-or-ambiguous
Apyas	disagree	Apya	ApA	nominal|participle	vidyut	genuine-or-ambiguous
ArA	disagree	Ara	ArA	nominal	dcs	genuine-or-ambiguous
ArAm	disagree	Ara	ArA	nominal	dcs	genuine-or-ambiguous
ArAn	disagree	Ara	ArAt	nominal	dcs	genuine-or-ambiguous
ArAva	disagree	f	ArAva	finite-verb	dcs	genuine-or-ambiguous
AraBawI	disagree	AraBawa	AraBawI	iic-compound|iiv-compound|nominal	dcs	genuine-or-ambiguous
AraBawyO	disagree	AraBawa	AraBawI	nominal	dcs	genuine-or-ambiguous
Aran	disagree	f	ArC	finite-verb	dcs	genuine-or-ambiguous
Arat	disagree	f	fC	finite-verb	dcs	genuine-or-ambiguous
AratAm	disagree	f	ArC|fC	finite-verb	dcs	genuine-or-ambiguous
Arata	disagree	f	Aram|fC	finite-verb	dcs	genuine-or-ambiguous
ArayA	disagree	Ara	ArA	nominal	dcs	genuine-or-ambiguous
ArcAma	disagree	fc	arc	finite-verb	dcs	genuine-or-ambiguous
Arcan	disagree	fc	arc	finite-verb	dcs	genuine-or-ambiguous
Arcat	disagree	fc	arc	finite-verb	dcs	genuine-or-ambiguous
Arcayan	disagree	fc	arcay	finite-verb	dcs	genuine-or-ambiguous
Arcayat	disagree	fc	arcay	finite-verb	dcs	genuine-or-ambiguous
Arcizam	disagree	fc	arc	finite-verb	dcs	genuine-or-ambiguous
Ardan	disagree	ard	fd	finite-verb	dcs	genuine-or-ambiguous
ArdrAsu	disagree	Ardra	ArdrA	nominal	dcs	genuine-or-ambiguous
ArdrAyE	disagree	Ardra	ArdrA	nominal	dcs	genuine-or-ambiguous
Arhatam	disagree	arh	Arhata	finite-verb	dcs	genuine-or-ambiguous
ArjavI	disagree	Arjava	Arjavin	iiv-compound	dcs	genuine-or-ambiguous
Arjayat	disagree	fj	arjay	finite-verb	dcs	genuine-or-ambiguous
Arpayan	disagree	f	arpay	finite-verb	dcs	genuine-or-ambiguous
Arpayat	disagree	f	arpay	finite-verb	dcs	genuine-or-ambiguous
AruRI	disagree	AruRa|AruRi	AruRI	iic-compound|iiv-compound|nominal	vidyut	genuine-or-ambiguous
AruRIzu	disagree	AruRa	AruRI	nominal	dcs	genuine-or-ambiguous
AruRa	disagree	AruRa	AruRi	iic-compound|nominal	dcs	genuine-or-ambiguous
ArzI	disagree	Arza	ArzI	iiv-compound	dcs	genuine-or-ambiguous
ArzaBI	disagree	ArzaBa	ArzaBI	iiv-compound	dcs	genuine-or-ambiguous
AsAni	disagree	As|Asa|Asya	Asi	finite-verb|nominal	vidyut	genuine-or-ambiguous
AsAva	disagree	As|as	AsAva	finite-verb	dcs	genuine-or-ambiguous
AsInA	disagree	AsIna	As	participle	dcs	genuine-or-ambiguous
AsInAByAm	disagree	AsIna	As	participle	dcs	genuine-or-ambiguous
AsInAm	disagree	AsIna	As	participle	dcs	genuine-or-ambiguous
AsInAn	disagree	AsIna	As	participle	dcs	genuine-or-ambiguous
AsInAs	disagree	AsIna	As	participle	dcs	genuine-or-ambiguous
AsInAsu	disagree	AsIna	As	participle	dcs	genuine-or-ambiguous
AsInAya	disagree	AsIna	As	participle	dcs	genuine-or-ambiguous
AsInO	disagree	AsIna	As	participle	dcs	genuine-or-ambiguous
AsInam	disagree	AsIna	As	participle	dcs	genuine-or-ambiguous
AsInas	disagree	AsIna	As	participle	dcs	genuine-or-ambiguous
AsInasya	disagree	AsIna	As	participle	dcs	genuine-or-ambiguous
AsIne	disagree	AsIna	As	participle	dcs	genuine-or-ambiguous
AsInezu	disagree	AsIna	As	participle	dcs	genuine-or-ambiguous
AsTAnI	disagree	AsTAna	AsTAnI	iic-compound|nominal	dcs	genuine-or-ambiguous
AsTAnIm	disagree	AsTAna	AsTAnI	nominal	dcs	genuine-or-ambiguous
AsUyat	disagree	asUya	asUy	finite-verb	dcs	stem-granularity
AsaNgI	disagree	AsaNga	AsaNgin	iiv-compound	dcs	genuine-or-ambiguous
AsaNgasya	disagree	AsaNga	AsaYj	nominal	vidyut	genuine-or-ambiguous
Asada	disagree	Asada	Asad	iic-compound|nominal	dcs	stem-granularity
Asadam	disagree	Asada	Asad	nominal	dcs	stem-granularity
Asade	disagree	Asada	Asad	nominal	dcs	stem-granularity
AsaktO	disagree	Asakti	AsaYj	nominal	dcs	genuine-or-ambiguous
AsamudrAt	disagree	AsamudrAt	Asamudra	indeclinable	dcs	genuine-or-ambiguous
AsanIyam	disagree	AsanIya	As	participle	dcs	genuine-or-ambiguous
AsanIyezu	disagree	AsanIya	As	participle	dcs	genuine-or-ambiguous
AsandI	disagree	Asanda	AsandI	iic-compound|iiv-compound|nominal	dcs	genuine-or-ambiguous
AsandIm	disagree	Asanda	AsandI	nominal	dcs	genuine-or-ambiguous
AsandyA	disagree	Asanda	AsandI	nominal	dcs	genuine-or-ambiguous
AsandyAm	disagree	Asanda	AsandI	nominal	dcs	genuine-or-ambiguous
AsandyE	disagree	Asanda	AsandI	nominal	dcs	genuine-or-ambiguous
Asat	disagree	As|Asat|as	asat	finite-verb|participle	dcs	genuine-or-ambiguous
AsatA	disagree	Asat	As	participle	dcs	genuine-or-ambiguous
AsayA	disagree	As|Asa|Asan	AsayA	nominal	dcs	stem-granularity
Asayanti	disagree	As|Asayat|as	Asay	finite-verb|participle	dcs	stem-granularity
Asayati	disagree	As|Asayat|as	Asay	finite-verb|participle	dcs	stem-granularity
AsayitvA	disagree	As|as	Asay	verbal-indecl	dcs	genuine-or-ambiguous
Asitam	disagree	Asita	As	participle	dcs	genuine-or-ambiguous
Asitavyam	disagree	Asitavya	As	participle	dcs	genuine-or-ambiguous
Asite	disagree	Asita	As	participle	dcs	genuine-or-ambiguous
AsmAkInAm	disagree	AsmAka	AsmAkIna	nominal	dcs	genuine-or-ambiguous
AsrAvI	disagree	AsrAva	AsrAvin	iiv-compound	dcs	genuine-or-ambiguous
AsurIRAm	disagree	Asura|Asuri	AsurI	nominal	dcs	genuine-or-ambiguous
AsvAdI	disagree	AsvAda	AsvAdin	iiv-compound	dcs	genuine-or-ambiguous
Asva	disagree	as	As	finite-verb	dcs	genuine-or-ambiguous
AsyamAnezu	disagree	AsyamAna	As	participle	dcs	genuine-or-ambiguous
AtiTeyasya	disagree	AtiTeya	AtiTeyI	nominal	dcs	genuine-or-ambiguous
AtiTyAyAm	disagree	AtiTya	AtiTyA	nominal	dcs	genuine-or-ambiguous
Atmaguptam	disagree	AtmaguptA	Atmagupta	nominal	dcs	genuine-or-ambiguous
AtmajAsu	disagree	Atmaja	AtmajA	nominal	dcs	genuine-or-ambiguous
AtmajAyAm	disagree	Atmaja	AtmajA	nominal	dcs	genuine-or-ambiguous
AtreyI	disagree	Atreya	AtreyI	iiv-compound	dcs	genuine-or-ambiguous
AttA	disagree	Atta	AdA	nominal	dcs	genuine-or-ambiguous
Atta	disagree	Atta|ad	AdA	finite-verb|iic-compound|nominal	dcs	genuine-or-ambiguous
Attam	disagree	Atta|ad	AdA	finite-verb|nominal	dcs	genuine-or-ambiguous
Attas	disagree	Atta	AdA	nominal	dcs	genuine-or-ambiguous
Atte	disagree	Atta	AdA	nominal	dcs	genuine-or-ambiguous
Attena	disagree	Atta	AdA	nominal	dcs	genuine-or-ambiguous
Attezu	disagree	Atta	AdA	nominal	dcs	genuine-or-ambiguous
AvAByAm	disagree	asmad	mad	nominal	dcs	genuine-or-ambiguous
AvAm	disagree	asmad	mad	nominal	dcs	genuine-or-ambiguous
AvApI	disagree	AvApa	AvApin	iiv-compound	dcs	genuine-or-ambiguous
