pwkvn_k1	pc	mw_L	mw_pc	in_mw_sup
ASOca	7-320-b	27582	158,1	main
ASaMsa	1-297-c	27372	1320,2	sup
ASaNkanIya	6-298-b	27408	157,2	main
ASaNkita	7-386-d	27419	1320,2	sup
ASaNkya	6-298-b	27425	157,2	main
ASiKam	1-297-c	27477	1320,2	sup
ASleza	6-298-b	27734	159,1	main
ASokeya	5-249-c	27581	158,1	main
ASrava	1-297-c	27712	1320,2	sup
ASravaRam	1-298-a	27713	1320,2	sup
ASuganDa	7-320-b	27533	1320,2	sup
ASukavi	7-386-d	27521	1320,2	sup
ASvAsaka	7-320-b	27814	159,2	main
ASvAsanI	2-294-b	27817	1320,2	sup
ASvalAyana	7-320-b	27803	159,2	main
ASvameDika	3-256-a	27768	1320,2	sup
ASvapadika	3-256-a	27760	1320,2	sup
ASvina	5-249-c	27791	1320,2	sup
ASvineya	1-298-a	27796	159,1	main
ASyAma	1-297-c	27615	1320,2	sup
ASya	7-320-b	27612	1320,2	sup
AYCita	7-386-c	23213	1319,1	sup
AYjanIkArI	5-248-c	23225	133,3	main
AYjaneya	3-255-c	23227	1319,1	sup
AYjaneyapurARa	2-293-b	23227	1319,1	sup
AYjaneyastava	2-293-b	23227	1319,1	sup
AbanDura	4-296-a	25191	144,3	main
AbrahmasaBam	4-296-a	25219	145,1	main
AbravantI	7-318-d	25220	1319,3	sup
AcArya	4-296-a	22960	132,1	sup
AcAryadeva	3-255-b	22942	131,3	main
AcAryaka	7-317-a	22961	132,1	main
AcAryakaraRa	3-255-b	22938	131,3	main
AcAryamuzwi	7-317-b	22945	1319,1	sup
AcCAdaka	3-255-b	22990	132,1	main
AcCedanI	2-293-b	23009	132,2	main
AcamanIyaka	1-296-c	22876	131,2	main
Acamanaka	1-296-c	22873	131,2	main
Acandram	2-293-b	22866	131,2	main
AcandratArakam	1-296-c	22865	131,2	main
AcaparAca	5-248-c	22867	131,2	main
Acaturam	3-255-b	22863	131,2	main
Acitra	7-317-b	22973	1319,1	sup
Acyutadanti	5-248-c	23025	132,2	main
Acyutanti	7-317-b	23026	132,2	main
AdAdika	5-249-a	23809	136,3	main
AdAya	1-297-a	23792	136,3	main
AdaDIci	1-297-a	23804	1319,2	sup
AdarSa	1-297-a	24046	138,1	main
Adarin	1-297-a	24030	1319,2	sup
AdeSa	3-255-c	23989	1319,2	sup
AdehadAham	1-297-a	23999	1319,2	sup
Adeya	7-318-a	24066	138,1	sup
Adi	7-317-d	23906	137,1	sup
AdiBarataprastAra	2-293-c	23856	137,1	main
AdidIpa	1-297-a	23834	1319,2	sup
AdinavadarSa	7-318-a	23969	137,2	main
AditA	5-249-a	23832	1319,2	sup
AditsA	2-293-c	23966	137,2	main
Aditya	1-297-a	23965	137,2	main
AdityaDAman	1-297-a	23926	1319,2	sup
AdityadarSana	3-255-c	23923	137,2	main
Adityajyotis	2-293-c	23919	137,2	main
AdityakIlaka	7-317-d	23911	1319,2	sup
Adityastotra	2-293-c	23958	137,2	main
Adityatva	1-297-a	23922	137,2	main
AdivarAha	2-293-c	23871	1319,2	sup
AdvAram	4-296-a	24090	138,2	main
Adyanta	6-298-a	23883	137,1	main
AgAra	7-316-d	22639	1319,1	sup
AgArika	7-316-d	22643	1319,1	sup
AgamaSazkulI	7-316-d	22590	129,3	main
Agamana	5-248-c	22596	129,3	main
Agamya	5-248-c	22604	1319,1	sup
Agantuka	3-255-b	22569	129,3	main
AgarBam	1-296-c	22616	1319,1	sup
Agarava	1-296-c	22614	129,3	main
AgastI	5-248-c	22632	130,1	main
AgastIya	5-248-c	22627	130,1	main
Agasvin	5-248-c	22624	1319,1	sup
Agati	1-296-c	22557	129,2	main
AgnIndra	3-255-b	22702	130,2	main
Agneya	2-293-b	22718	130,2	sup
Agnihotrika	4-296-a	22689	130,2	main
AgnivAruRa	1-296-c	22676	130,2	main
AgnizwomIya	3-255-b	22687	130,2	main
AgnyADeyika	2-293-b	22725	130,2	main
AgrAyaRa	4-296-a	22752	130,3	main
AgrahArika	5-248-c	22748	130,3	main
AgrayaRIya	7-317-a	22739	1319,1	sup
AgrayaRa	4-296-a	22732	130,3	main
AhAraka	7-320-d	28425	163,1	main
Aha	7-320-d	28278	162,1	main
Ahalam	4-296-b	28322	162,2	main
AhananaprakAra	4-296-b	28308	162,2	main
AharaRa	7-320-d	28398	162,3	main
Ahasa	5-249-c	28323	1320,3	sup
Ahatyavacana	4-296-b	28303	162,2	main
Ahava	7-320-d	28498	163,2	main
AhavaSoBin	2-294-b	28500	1320,3	sup
AhavanIyatas	3-256-b	28347	162,3	main
Aheya	7-320-d	28448	163,1	main
Ahftya	1-298-a	28446	1320,3	sup
Ahita	3-256-b	28336	162,2	sup
AhrIkya	7-320-d	28471	1320,3	sup
AhutiBAga	4-296-b	28360	162,3	main
AhvAnana	7-386-d	28526	1320,3	sup
Ahva	7-320-d	28514	163,2	main
AjAnu	3-255-c	23102	133,1	main
AjAtaSAtrava	5-248-c	23097	133,1	main
AjIva	5-248-c	23143	133,1	main
AjIvika	7-317-b	23148	133,1	main
AjIvin	7-317-b	23150	133,1	main
AjakaroRa	5-248-c	23040	132,2	main
AjiBUmi	5-248-c	23120	1319,1	sup
AjiSiras	3-255-c	23123	133,1	main
AjiSoBin	2-293-b	23123	1319,1	sup
Ajipati	5-248-c	23120	133,1	main
AjyaBuj	5-248-c	23201	133,2	main
AjyaDAnI	7-317-b	23196	133,2	main
AjyaDanvan	3-255-c	23195	133,2	main
Ajyagraha	3-255-c	23193	133,2	main
AjyasTAlI	3-255-c	23206	133,2	main
AkASagarBa	7-316-c	22115	1318,3	main
AkASamaRi	7-316-c	22131	1318,3	sup
AkASaplavA	2-293-b	22129	1318,3	sup
AkAlikAtIram	2-293-a	22101	126,3	main
AkAlika	7-316-c	22100	126,3	main
Akalana	5-248-b	22056	126,3	main
Akalla	1-296-c	22074	126,3	main
Akaluza	7-316-b	22061	1318,3	sup
Akampra	5-248-b	22043	1318,3	sup
AkarRin	1-296-c	22051	126,2	main
Akarin	7-316-b	22285	127,3	main
Akarza	7-316-b	22248	127,3	sup
AkarzakArikA	2-293-a	22249	127,3	main
Akarzin	1-296-c	22263	127,3	main
Akaza	2-293-a	22077	126,3	main
Ake	3-255-b	22291	128,1	sup
Akftilozwa	1-296-c	22233	1319,1	sup
Akfzwa	7-316-c	22265	1319,1	sup
Akfzwiman	2-293-b	22269	127,3	main
Akfzwya	2-293-b	22270	127,3	main
AkiMcanyAyatana	2-293-b	22158	1319,1	sup
AkowanA	5-248-c	22167	1319,1	sup
Akowana	7-316-c	22167	1319,1	sup
AkozWam	1-296-c	22297	1319,1	sup
AkrIqagiri	2-293-b	22346	128,2	main
Akrandana	7-316-c	22311	128,1	main
Akrandin	7-316-d	22317	128,1	main
Akrandita	2-293-b	22316	128,1	main
Akruzwa	2-293-b	22352	128,2	main
AktaKa	2-293-b	22300	128,1	main
AkumAram	7-316-c	22169	127,2	main
Akzapawalika	7-316-d	22367	128,2	main
AkzepaRa	3-255-b	22419	128,3	main
Akzepin	7-386-c	22421	128,3	main
Akzipta	4-295-c	22398	128,3	main
Akzveqita	2-293-b	22432	1319,1	sup
AlAla	5-249-b	26788	1320,2	sup
AlAlamehin	7-319-d	26788	1320,2	sup
AlApa	2-294-b	26787	153,3	main
Ala	7-319-d	26668	153,1	sup
AlaMkArika	1-297-c	26670	1320,1	sup
AlajAla	7-386-d	26668	1320,1	sup
Alakzita	7-319-d	26674	1320,1	sup
AlamBam	1-297-c	26722	153,2	main
Alambam	3-256-a	26735	153,2	main
Alapita	5-249-b	26683	1320,2	sup
Alaptaka	7-319-d	26684	1320,2	sup
AleKani	3-256-a	26815	153,3	main
AleSa	4-296-a	26901	154,2	main
AliNga	7-386-d	26827	153,3	main
AliNganA	1-297-c	26830	153,3	main
Alokaka	1-297-c	26916	154,2	main
Alokakara	7-319-d	26911	1320,2	sup
AlokasuvegaDvaja	7-319-d	26915	1320,2	sup
AlolikA	5-249-b	26942	1320,2	sup
Alopa	7-319-d	26888	154,1	main
Am	2-294-a	25395	146,1	main
AmUlam	4-296-a	25575	147,2	main
AmUrDAntam	4-296-a	25574	147,1	main
Ama	2-294-a	25445	1319,3	sup
AmaBfzwa	4-296-a	25421	146,2	main
AmaSrAdDa	7-318-d	25429	1319,3	sup
Amajjam	1-297-b	25446	1319,3	sup
AmantraRA	7-318-d	25467	146,3	main
Amapeza	1-297-b	25420	146,2	main
Ambuda	1-297-c	25641	147,3	main
AmeKalam	1-297-b	25595	147,2	main
Amezwaka	7-319-a	25434	1319,3	sup
AmikzApayasya	3-256-a	25509	1319,3	sup
Amitra	7-319-a	25513	1319,3	sup
AmitraSocani	7-319-a	25513	1319,3	sup
AmlocantI	5-249-b	25694	1320,1	sup
AmnAyayoni	7-386-d	25627	1319,3	sup
Amodin	7-319-a	25609	147,2	main
Amodita	4-296-a	25606	147,2	main
AmravAwaka	3-256-a	25667	147,3	main
AmuKa	6-298-a	25547	1319,3	sup
Amukta	2-294-a	25555	147,1	main
AnABi	3-255-c	24506	1319,3	sup
AnAha	7-318-b	24503	140,2	main
AnIlanizaDAyAma	1-297-a	24547	1319,3	main
AnIlanizaDAyata	1-297-a	24547	1319,3	sup
Anamam	3-255-c	24467	140,2	main
Anana	1-297-a	24343	139,3	main
Ananda	1-297-a	24366	139,3	sup
AnandakAvya	1-297-a	24373	140,1	main
AnandapraBA	1-297-a	24400	140,1	main
Anandapura	3-255-c	24396	140,1	main
Anantarya	3-255-c	24345	1319,2	sup
Anantya	3-255-c	24350	139,3	main
Anarta	3-255-c	24661	141,3	main
Anartaka	1-297-a	24664	141,3	main
Andola	1-297-a	24717	142,1	main
AndolikA	5-249-a	24722	1319,3	sup
Anetavya	3-255-c	24540	140,3	main
Aneya	5-249-a	24541	1319,3	sup
AnfSaMsa	5-249-a	24670	141,3	main
Anftika	7-318-b	24669	1319,3	sup
AniSam	4-296-a	24522	140,2	main
AntarAyika	3-255-c	24699	141,3	main
Antara	1-297-a	24691	141,3	main
Antra	3-255-c	24713	142,1	main
AnujAvara	2-294-a	24570	141,1	main
AnukUlika	5-249-a	24553	140,3	main
AnupUrva	7-318-b	24584	141,1	main
AnuyAjika	2-294-a	24592	1319,3	sup
Anuzak	6-298-a	24620	1319,3	sup
AnvIkzikI	6-298-a	24740	1319,3	sup
Ap	1-297-a	24817	142,2	main
ApAdana	1-297-b	24899	143,1	main
ApAdatalamastakam	7-318-c	24895	1319,3	sup
ApAdin	1-297-b	24899	1319,3	sup
ApAkesTa	3-255-c	24958	143,2	main
ApArzRi	5-249-a	24969	1319,3	sup
ApAtika	3-255-c	24859	142,3	main
ApAzWi	7-318-c	24971	1319,3	sup
ApIqa	1-297-b	24990	143,2	main
ApIqin	7-318-c	24997	1319,3	sup
Aparuza	7-318-c	24911	1319,3	sup
Apas	3-255-c	24920	143,1	main
ApastamBa	2-294-a	24941	143,2	main
Apastamba	7-318-c	24934	143,1	main
ApastambaDarma	2-294-a	24936	143,1	main
ApastambaSrOta	2-294-a	24937	143,1	main
Apastambagfhya	2-294-a	24935	143,1	main
ApastambasUtra	2-294-a	24938	143,1	main
Apatanta	1-297-b	24863	1319,3	sup
ApatsahAya	6-298-a	24865	1319,3	sup
ApfcCya	1-297-b	25107	144,1	main
Api	5-249-a	24972	143,2	sup
Apluta	2-294-a	25157	144,3	main
Apluti	7-386-c	25160	144,3	main
Apoda	5-249-a	25006	1319,3	sup
ApravaRa	6-298-a	25124	144,2	main
Apsara	1-297-b	25164	144,3	main
AptacCandas	1-297-b	24782	1319,3	sup
AptakAma	7-386-c	24778	142,2	main
Aptakft	2-294-a	24780	1319,3	sup
Aptastoma	1-297-b	24786	1319,3	sup
AptavAda	1-297-b	24793	1319,3	sup
AptavAkya	7-318-d	24789	142,2	main
AptaviBaktika	1-297-b	24793	1319,3	sup
Aptavya	7-386-c	24802	142,2	main
Apti	7-318-d	24810	142,2	sup
ApyAyin	7-318-d	25095	144,1	main
ApyAyinI	1-297-b	25096	144,1	main
Apyeya	2-294-a	25059	144,1	main
Apyeyatva	2-294-a	25060	144,1	main
AqI	3-255-c	23277	134,1	main
Aqambarita	1-296-c	23272	1319,2	sup
AqvAlana	7-317-b	23281	1319,2	sup
ArA	6-298-a	26156	150,2	main
ArAdupakArin	5-249-b	26162	1320,1	main
ArAgra	5-249-b	26027	149,2	main
ArAla	7-319-b	26196	150,2	main
ArAmADipati	4-296-a	26147	1320,1	sup
ArAsa	6-298-a	26200	1320,1	sup
ArAva	7-319-b	26225	1320,1	sup
ArDika	7-319-c	26528	152,2	main
ArRava	1-297-c	26438	1320,1	sup
ArUQa	1-297-c	26287	1320,1	sup
ArUpya	7-319-c	26353	1320,1	sup
Ara	6-298-a	26166	1320,1	sup
AraBya	7-370-d	26109	150,1	main
Arakza	7-319-b	26039	149,3	main
AramBa	5-249-b	26118	150,1	main
AramBayajYa	5-249-b	26119	1320,1	sup
ArambaRacCedana	7-319-b	26149	1320,1	sup
Arasita	5-249-b	26153	150,2	main
Arata	1-297-c	26137	150,1	main
Arawita	2-294-a	26061	149,3	main
Ardra	3-256-a	26477	152,1	main
Ardrapavi	6-298-a	26491	152,1	main
ArdratA	1-297-c	26480	152,1	main
ArdravAsas	7-386-d	26498	1320,1	sup
Arhata	1-297-c	26661	153,1	main
ArkAyaRa	2-294-b	26384	151,2	main
Arka	7-319-c	26380	1320,1	sup
AroDana	3-256-a	26267	151,1	main
Arogya	1-297-c	26365	151,2	main
Aroha	7-319-c	26334	1320,1	sup
ArohaRa	5-249-b	26345	151,2	main
ArtAyana	6-298-a	25997	1320,1	sup
ArtAyani	7-319-c	25997	1320,1	sup
ArtanAda	7-319-c	25995	149,2	main
Artvya	3-256-a	26457	152,1	main
Arupita	5-249-b	26268	151,1	main
Aruta	5-249-b	26228	150,3	main
AryApaYcASat	2-294-b	26609	1320,1	sup
AryasTavira	7-319-c	26602	1320,1	sup
Aryavajra	7-319-c	26586	1320,1	sup
Arza	3-256-a	26635	152,3	main
ArzeyabrAhmaRa	6-298-b	26642	1320,1	sup
ArzoQA	5-249-b	26637	152,3	main
As	1-298-a	27882	159,3	main
AsAda	7-320-c	27999	160,2	sup
AsAdanA	7-320-c	27977	1320,2	sup
AsInapracalAyita	4-296-b	27871	159,3	main
AsPAla	1-298-a	28206	161,3	main
AsPAlita	7-320-c	28214	161,3	main
AsPowana	3-256-a	28228	161,3	main
AsPura	6-298-b	28232	1320,3	sup
AsTApana	7-320-c	28165	161,2	main
AsTApita	6-298-b	28167	161,2	main
AsTita	6-298-b	28179	1320,3	sup
AsaMjYika	7-320-b	27909	1320,2	sup
AsaNga	3-256-a	27935	160,1	sup
AsaktaBAva	2-294-b	27922	160,1	main
AsamApti	6-298-b	27994	1320,2	sup
Asanda	7-320-c	27987	160,2	main
Asanna	6-298-b	27965	160,2	main
AsannakAlika	2-294-b	27967	1320,2	sup
AsannayoDin	7-320-c	27973	1320,2	sup
Asapuwa	3-256-a	27992	1320,2	sup
Asecanaka	7-320-c	28084	161,1	main
Askandam	2-294-b	28105	161,1	main
Askandana	7-320-c	28104	161,1	main
AsrAva	7-320-c	28255	1320,3	sup
Asuta	4-296-b	28040	160,3	main
AsvAdanIya	7-320-c	28267	1320,3	sup
AsvApana	7-320-c	28275	1320,3	sup
AsyadaGna	2-294-b	27893	160,1	main
AsyamETunika	7-320-c	27895	1320,3	sup
AsyavErasya	6-298-b	27899	1320,3	sup
AtA	5-248-c	23387	134,3	main
AtAmra	5-248-c	23389	134,3	main
AtAyin	5-248-c	23355	134,2	main
AtI	5-249-a	23422	134,3	main
Atapa	7-386-c	23358	1319,2	sup
AtapanivAraRa	1-296-c	23360	1319,2	sup
AtapavAraRa	1-296-c	23363	134,2	main
AtarpaRa	5-248-c	23444	135,1	main
Atfpti	4-296-a	23442	1319,2	sup
AtiSayika	1-296-c	23415	1319,2	sup
AtiTeya	7-317-c	23399	134,3	main
AticCandasa	1-296-c	23394	134,3	main
Atijagata	1-296-c	23394	1319,2	sup
AtisArika	1-297-a	23420	1319,2	sup
AtitAMsu	5-249-a	23394	1319,2	sup
AtizWadgu	2-293-c	23420	134,3	main
AtmaBU	4-296-a	23571	135,3	main
AtmaBavAyana	2-293-c	23563	135,3	main
AtmaGoza	5-249-a	23496	135,2	main
AtmaSlAGA	6-297-c	23624	135,3	main
AtmabanDu	5-249-a	23555	135,2	main
AtmadevatA	1-297-a	23530	135,2	main
AtmahitAyana	2-293-c	23653	136,1	main
AtmakAma	7-317-c	23477	1319,2	sup
AtmamAna	4-296-a	23575	135,3	main
Atmamaya	5-249-a	23574	135,3	main
Atman	5-249-a	23472	135,1	main
Atmanivedana	5-249-a	23534	135,2	main
AtmaparityAga	5-249-a	23540	135,2	main
AtmaprIti	5-249-a	23554	135,2	main
AtmapraBa	5-249-a	23547	135,2	main
AtmasaMsTa	6-297-c	23627	135,3	main
Atmasama	3-255-c	23633	135,3	main
Atmatantra	2-293-c	23515	135,2	main
AtmatrARaparigraha	3-255-c	23522	135,2	main
AtmavittA	5-249-a	23608	135,3	main
AtmayAjin	3-255-c	23581	135,3	main
Atmayoni	1-297-a	23586	135,3	main
AtmollAsa	2-293-c	23682	1319,2	sup
Attasva	6-297-c	23774	1319,2	sup
Atyayika	7-317-d	23714	136,2	main
AvAhana	7-320-a	27061	155,2	main
AvApa	5-249-b	27067	155,2	sup
AvAri	7-320-a	27190	156,1	main
AvAriDi	3-256-a	27191	1320,2	sup
AvAsika	7-320-a	27041	1320,2	sup
AvaSyaka	2-294-b	27024	155,1	main
Avantaka	7-319-d	26962	154,3	main
Avartaka	5-249-b	27230	1320,2	sup
Avartam	5-249-b	27223	1320,2	sup
Avartin	6-298-b	27256	156,2	main
AvasaTIya	3-256-a	27038	155,1	main
Avatsaram	4-296-b	26950	154,2	main
AveSika	5-249-c	27140	155,3	main
AviHsUrye	7-320-a	27144	1320,2	sup
Avika	4-296-b	27076	1320,2	sup
AvirmaRqala	7-320-a	27151	155,3	main
Avis	3-256-a	27143	155,3	main
Avraska	7-320-a	27349	1320,2	sup
Avya	7-320-a	27313	156,3	main
AwIlaka	5-248-c	23254	133,3	main
Awika	4-296-a	23249	1319,1	sup
AyAcita	4-296-a	25854	148,3	main
AyAmatas	7-319-a	25805	1320,1	sup
AyAna	5-249-b	25849	1320,1	sup
AyAsa	3-256-a	25827	148,2	main
AyAsana	1-297-c	25828	1320,1	sup
AyAsita	4-296-a	25828	1320,1	sup
AyaTApUrvya	2-294-a	25761	148,1	main
Ayasa	3-256-a	25837	148,3	main
Ayasta	7-319-a	25825	1320,1	sup
Ayata	4-296-a	25769	148,2	main
Ayatapakzmala	3-256-a	25774	1320,1	sup
Ayatasamalamba	5-249-b	25774	1320,1	sup
Ayati	2-294-a	25790	148,2	main
Ayojana	7-319-b	25944	149,1	main
AyuDIyaka	6-298-a	25964	1320,1	main
AyuDika	6-298-a	25964	1320,1	sup
AyuDin	3-256-a	25966	149,2	main
AyuHpati	4-296-a	25875	148,3	main
Ayuj	3-256-a	25933	149,1	main
Ayukft	2-294-a	25871	148,3	main
AyurdA	3-256-a	25883	148,3	main
Ayurvedin	1-297-c	25895	149,1	main
Ayuta	4-296-a	25859	148,3	main
Ayuzpati	7-319-b	25903	149,1	main
Ayuzya	1-297-c	25913	149,1	main
AyuzyagaRa	7-319-b	25913	1320,1	sup
Ayuzyahoma	3-256-a	25915	149,1	main
AzwrAdaMzwra	1-298-a	27848	1320,2	sup
BARqaka	7-365-a	149823	752,3	main
BARqana	7-365-a	149826	752,3	main
BARqika	7-365-a	149836	752,3	main
BAgIya	7-365-a	149659	751,3	main
BAga	7-365-a	149594	751,3	main
BAgaDAna	7-365-a	149566	751,2	main
BAgapAWa	7-365-a	149571	751,2	main
BAgin	7-365-a	149652	751,3	main
BAgineya	7-365-a	149654	751,3	main
BAgyavEzamya	6-304-c	149691	752,1	main
BAjI	5-262-b	149727	752,1	main
BAjanacArika	7-365-a	149714	752,1	main
BAjanavArika	7-365-a	149718	752,1	main
BAlalocana	7-365-b	150143	754,1	main
BAlanayana	7-365-b	150142	754,1	main
BAnda	7-365-a	149868	752,3	main
BAraka	5-262-b	149934	753,1	main
BArgava	7-365-b	150079	753,3	main
BArin	5-262-b	149941	753,1	main
BAs	7-365-b	150556	756,1	main
BAvAva	5-262-b	150336	754,3	main
BAvanAmaya	7-365-b	150376	755,1	main
BAvayatin	5-262-b	150265	754,3	main
BAvin	7-365-b	150446	755,2	main
BAz	7-365-b	150550	755,3	main
BEkzAkula	7-365-d	152961	766,3	main
BEkzuka	7-365-d	152970	767,1	main
BEmasena	7-365-d	152983	767,1	main
BEravaprAdurBAvanAwaka	5-262-c	153024	767,1	main
BI	7-365-c	150974	758,1	main
BImapUrvaja	5-262-b	151050	758,2	main
BImasAhi	6-304-c	151082	758,2	main
BIra	6-304-c	151203	759,1	main
BIru	7-389-c	151123	758,3	main
BIzmakAtmajA	5-262-b	151198	758,3	main
BOma	7-366-a	153404	768,3	main
BOvAyana	5-262-c	153445	769,1	main
BU	5-262-b	151561	1331,2	sup
BUDara	7-389-c	151638	761,1	main
BUdAra	5-262-b	151622	761,1	main
BUman	7-365-c	152105	763,1	main
BUmiBAga	7-365-c	152202	763,2	main
BUmigarBa	5-262-b	152138	763,1	main
BUmigocara	5-262-b	152142	763,1	main
BUmiruha	5-262-b	152220	763,2	main
BUmivarDana	5-262-b	152225	763,2	main
BUrBuva	7-365-d	152336	763,3	main
BUri	4-302-c	152456	764,2	main
BUrika	7-365-d	152436	764,2	main
BUtaDara	7-365-c	151855	762,1	main
BUtagrAma	7-365-c	151825	762,1	main
BUtajananI	6-304-c	151837	762,1	main
BUtatA	5-262-b	151844	762,1	main
BUtatanmAtra	7-365-c	151843	762,1	main
BUtibali	7-365-c	152071	762,3	main
BUvarI	6-304-c	152441	764,2	main
BUyaSCandika	7-365-c	152296	763,3	main
BUyaskAma	7-365-d	152307	763,3	main
BUyastva	7-365-d	152313	763,3	main
BUyoBAva	7-365-d	152331	763,3	main
BUyoruci	7-365-d	152333	763,3	main
BaNga	7-364-c	147996	744,3	main
BaNgya	4-302-c	148065	745,1	main
BaRitimaya	7-389-b	148193	745,2	main
BaRq	7-364-d	148198	745,2	main
BaRqIra	7-364-d	148239	745,3	main
BaRqana	7-364-d	148213	745,3	main
BaRqiman	5-262-a	148224	745,3	main
BaddAlin	7-364-d	148249	745,3	main
BadrA	7-364-d	148548	746,3	main
BadrAkaraRa	5-262-a	148549	746,3	main
BadrAvatI	7-364-d	148497	746,3	main
Badra	5-262-a	148316	746,1	main
BadraBuja	5-262-a	148403	746,2	main
BadraMkara	7-364-d	148353	746,1	main
BadraSilA	7-364-d	148457	746,2	main
BadrabAhu	5-262-a	148399	746,2	main
BadrabAhucaritra	5-262-a	148400	746,2	main
Badrados	5-262-a	148377	746,1	main
Badrakalpika	7-364-d	148324	746,1	main
BadramuKa	7-364-d	148410	746,2	main
BagIna	5-262-a	147895	744,1	main
Bagavftti	5-262-a	147790	743,3	main
Bagnanetra	4-302-c	147944	744,2	main
Baj	7-364-c	147598	743,1	main
BaktABisAra	7-364-c	147654	743,1	main
BaktAgra	7-364-c	147652	743,1	main
BaktIdyAvApfTivI	5-262-a	147740	743,2	main
BaktIdyAvApfTivya	5-262-a	147741	743,2	main
Baktakftya	7-364-c	147616	743,1	main
BaktijYa	7-364-c	147681	743,2	main
BakzaMkAra	7-364-c	147537	742,3	main
Bal	5-262-a	148923	748,2	main
Balla	7-364-d	148942	748,3	main
Balli	7-365-a	148954	748,3	main
BamBarAlI	5-262-a	148574	747,1	main
BaradvAjapravraska	7-364-d	148778	747,3	main
BartfcittA	7-364-d	148809	748,1	main
Baru	7-364-d	148798	748,1	main
Basad	7-365-a	149415	750,3	main
Basala	7-365-a	149300	750,2	main
Basita	7-365-a	149302	750,2	main
Basma	5-262-b	149316	750,2	main
BavAri	7-365-a	149092	749,2	main
Bavanandana	5-262-b	149022	749,1	main
BavasaMkrAnti	7-365-a	149058	749,1	main
Bavitavya	7-365-a	149194	749,3	main
BavodBava	7-365-a	149104	749,2	main
BawabalAgra	7-364-d	148099	745,1	main
BawwasarvajYa	6-304-c	148142	745,2	main
Bazita	7-365-a	149287	750,1	main
BedanIya	5-262-c	152867	766,2	main
BfNgaka	7-365-d	152681	765,3	main
BfNgarola	5-262-c	152686	765,3	main
BfSasvid	6-304-c	152752	766,1	main
Bfgu	7-365-d	152571	765,1	main
BftikA	7-365-d	152509	764,3	main
Bftikarmakara	7-365-d	152515	764,3	main
Bid	5-262-b	150751	757,1	main
BidABft	6-304-c	150759	757,1	main
Bidelima	5-262-b	150770	757,1	main
BikzAbiqAla	5-262-b	150679	756,2	main
Bikzuhala	7-365-b	150715	756,3	main
BikzurAkzasa	7-365-b	150710	756,3	main
Billa	6-304-c	150915	757,3	main
