hw_slp1	iast	src	pwk_L	pwk_pc	also_pwkvn	body_chars	mahavy	mahavy_refs	mw_stem_variant	mw_near	corr_n	corr_n_ex_mw72	corr_dicts	dcs_lemma	dcs_form
atiSakawi	atiśakaṭi	pw	2064	1-024-c	0	39	0		0		1	1	pwg	0	0
atiTyarcA	atithyarcā	pw	1758	1-021-b	0	66	0		0		0	0		0	0
atibIja	atibīja	pw	1890	1-022-c	0	84	0		0		0	0		0	0
atibfhatPala	atibṛhatphala	pw	1893	1-023-a	0	78	0		0		0	0		0	0
atibrAhmaRa	atibrāhmaṇa	pw	1895	1-023-a	0	94	0		0		0	0		0	0
atidIpti	atidīpti	pw	1771	1-021-c	0	88	0		0		1	1	sch	0	0
atiduzwa	atiduṣṭa	pw	1784	1-021-c	0	94	0		0		2	2	cae;sch	0	0
atiganDaka	atigandhaka	pw	1669	1-020-b	0	84	0		0		0	0		0	0
atihastay	atihastay	pw	2172	1-025-c	0	93	0		1	atihastaya:0.947	2	2	gst;pwg	0	0
atikAmuka	atikāmuka	pw	1638	1-020-a	0	69	0		0		0	0		0	0
atikArIzaganDya	atikārīṣagandhya	pw	1641	1-020-a	0	71	0		0		0	0		0	0
atikAraka	atikāraka	pw	1640	1-020-a	0	65	0		0		1	1	pwg	0	0
atikaRwa	atikaṇṭa	pw	1629	1-020-a	0	139	0		0	atiKara:0.933	0	0		0	0
atikaRwaka	atikaṇṭaka	pw	1629.1	1-020-a	0	22	0		0		0	0		0	0
atikaWinataRqula	atikaṭhinataṇḍula	pw	1627	1-020-a	0	74	0		0		0	0		0	0
atikanda	atikanda	pw	1632	1-020-a	0	104	0		0		0	0		0	0
atila	atila	pw	1995	1-024-a	0	100	0		0		1	1	sch	0	0
atilaka	atilaka	pw	1995.1	1-024-a	0	22	0		0		0	0		0	0
atimAnavant	atimānavant	pw	1930	1-023-b	0	63	0		0		0	0		0	0
atima	atima	pw	1914	1-023-a	0	35	0		1		1	1	pwg	0	0
atimaYjulA	atimañjulā	pw	1916	1-023-a	0	79	0		0		0	0		0	0
atimahiman	atimahiman	pw	200305	1-285-a	1	109	0		0		1	1	sch	0	0
atipanTAs	atipanthās	pw	1830	1-022-a	0	70	0		0		0	0		0	0
atipattraka	atipattraka	pw	1827	1-022-a	0	93	0		0		0	0		0	0
atipicCila	atipicchila	pw	1844	1-022-b	0	156	0		0		0	0		0	0
atirAjay	atirājay	pw	1976	1-023-c	0	77	0		1	atirAjaya:0.941	2	2	gst;pwg	0	0
atirUQa	atirūḍha	pw	1983	1-023-c	0	73	0		0		1	1	sch	0	0
atiraktANga	atiraktāṅga	pw	1967	1-023-c	0	97	0		0		0	0		0	0
atiruhA	atiruhā	pw	1982	1-023-c	0	99	0		1	atiruh:0.923	0	0		0	0
atisAraGnI	atisāraghnī	pw	2136	1-025-b	0	67	0		0		0	0		0	0
atisOmyA	atisaumyā	pw	2152	1-025-b	0	82	0		0		0	0		0	0
atisikta	atisikta	pw	2139	1-025-b	0	126	0		0		0	0		0	0
atiskanDA	atiskandhā	pw	2155	1-025-c	0	88	0		0		0	0		0	0
atisravA	atisravā	pw	2167	1-025-c	0	95	0		0		0	0		0	0
atisvan	atisvan	pw	200348	1-285-b	1	116	0		1	atiSva:0.923	1	1	sch	0	0
atitejanI	atitejanī	pw	1738	1-021-b	0	103	0		0		0	0		0	0
ativfzala	ativṛṣala	pw	2047	1-024-b	0	100	0		0		0	0		0	0
atriBaradvAjikA	atribharadvājikā	pw	2354	1-027-c	0	143	0		0	atriBAradvAjikA:1.000	1	1	pwg	0	0
atridagja	atridagja	pw	2351	1-027-c	0	51	0		0		0	0		0	0
atvaramARa	atvaramāṇa	pw	2360.1	1-027-c	0	22	0		0		1	1	pwg	0	0
atyAmarda	atyāmarda	pw	2294	1-027-a	0	61	0		0		0	0		0	0
atyaNga	atyaṅga	pw	2243	1-026-b	0	89	0		0		1	1	pwg	0	0
atyamlarasA	atyamlarasā	pw	2266	1-026-c	0	85	0		0		0	0		0	0
atyantaSoRita	atyantaśoṇita	pw	2256	1-026-c	0	71	0		0		0	0		0	0
atyantapadmA	atyantapadmā	pw	2253	1-026-c	0	73	0		0		0	0		0	0
atyantara	atyantara	pw	2254	1-026-c	0	81	0		0		0	0		0	0
atyarka	atyarka	pw	2270	1-026-c	0	104	0		0	atarka:0.923	0	0		0	0
