hw_slp1	iast	dcs_band	bhs_class	bhs_L	bhs_pc	bhs_mvy_refs	pw_mahavy_refs	corr_n	corr_dicts	evidence	proposed_action
jvalanolka	jvalanolka	0	full	6751	246,2	599	21,94	2	bhs;sch	B:jvalana;B:jvalita	add-entry
kAyakalisaMpramaTana	kāyakalisaṃpramathana	0	full	4725	178,1	621	21,116	2	bhs;sch	B:kAya	add-entry
kAzWahAraka	kāṣṭhahāraka	0	full	4832	182,2	3776	186,106	2	bhs;sch	B:kAzWAluka	add-entry
kaSambakajAta	kaśambakajāta	0	full	4631	174,1	9139; 9143—4	278	2	bhs;sch	B:kaSa;B:kaSyapottarasaMhitA	add-entry
kalmAzadamya	kalmāṣadamya	0	full	4612	173,2			2	bhs;sch		add-entry
kftsnAyatana	kṛtsnāyatana	0	full	5130	191,2		72	2	bhs;sch		add-entry
kiMpratyaya	kiṃpratyaya	0	full	4871	183,1			2	bhs;sch	B:kiri	add-entry
kirIwavatsa	kirīṭavatsa	0	full	4880	183,2			2	bhs;sch	B:kirmira;B:kila	add-entry
kubjottarA	kubjottarā	0	full	4981	187,1			2	bhs;sch	A:kubji;B:kuBra	add-entry
kulopaka	kulopaka	0	full	5033	188,1			2	bhs;sch	B:kulodBava	add-entry
kurukuci	kurukuci	0	full	5008	187,2		127,50	2	bhs;sch	B:kurukzetra	add-entry
mahAhatamanda	mahāhatamanda	0	crossref	11910	427,1			2	bhs;sch	B:mahAsvapna;B:mahAhava	add-entry
niScikIrzA	niścikīrṣā	0	full	8520	306,2	2456	127,15	2	bhs;sch	B:niScayin;B:niScitArTa	add-entry
oqigalla	oḍigalla	0	full	4193	159,1			2	bhs;sch	B:otu	add-entry
pElottika	pailottika	0	full	9794	354,2		281,242	2	bhs;sch	B:pEnya;B:pESunika	add-entry
paligoDa	paligodha	0	full	9314	337,2	6524	245,122	2	bhs;sch	B:palASa;B:palita	add-entry
tilakocavaka	tilakocavaka	0	full	6969	254,1	6099	238,29	2	bhs;sch	B:tilakAvala;B:tilaDenu	add-entry
uBayatoBAgavimukta	ubhayatobhāgavimukta	0	full	3898	147,2	1028	46	2	bhs;sch		add-entry
ucCaNga	ucchaṅga	0	full	3261	118,2		248	2	bhs;sch	A:ucCalana	add-entry
ucCiraska	ucchiraska	0	full	3274	119,1			2	bhs;sch	A:ucCuzma	add-entry
udakamaRi	udakamaṇi	0	full	3489	128,1			2	bhs;sch	A:udakarakzikA	add-entry
udguRWikA	udguṇṭhikā	0	full	3538	129,2	8540; 8606	263,17	1	bhs	B:udgAra	add-entry
ujjaNkikA	ujjaṅkikā	0	full	3291	119,2	8546	263	1	bhs	B:ucCvAsa	add-entry
ullaNGikA	ullaṅghikā	0	full	3923	148,2	8547	263,24	2	bhs;sch		add-entry
umeSvara	umeśvara	0	full	3901	148,1			2	bhs;sch		add-entry
upAdAyarUpa	upādāyarūpa	0	full	3849	146,1	1846	101,10	2	bhs;sch		add-entry
upaDivAra	upadhivāra	0	full	3684	136,1			2	bhs;sch	A:upaDi;A:upaDenu	add-entry
uqigalla	uḍigalla	0	full	3302	120,1			2	bhs;sch	A:uwwIkita	add-entry
utkfzwikA	utkṛṣṭikā	0	full	3335	121,2	8541; 8607	263,18	2	bhs;sch	A:utketana	add-entry
utkuwukikA	utkuṭukikā	0	full	3329	121,1	8548	263,25	2	bhs;sch	B:utkuwuka;B:utkUjita	add-entry
utkzepaRIya	utkṣepaṇīya	0	full	3346	122,1	8646	265	2	bhs;sch	A:utkzepa;A:utKanana	add-entry
vfzikA	vṛṣikā	0	full	14418	507,2	8991; 9005		2	bhs;sch	B:vfzwi	add-entry
yaTApi	yathāpi	0	full	12381	442,2		225,71	1	bhs	B:yaTA;B:yaTAkulam	add-entry
