safety	dcs_band	slp1	iast	in_catalan	in_huet
DCS-only	3	kaliNgadatta	kaliṅgadatta		
DCS-only	3	kanakeSvarI	kanakeśvarī		
DCS-only	3	kanikrad	kanikrad		
DCS-only	3	karpawamfttikA	karpaṭamṛttikā		
DCS-only	3	kaworikA	kaṭorikā		
DCS-only	3	kazwatama	kaṣṭatama		
DCS-only	3	kfSatara	kṛśatara		
DCS-only	3	kfttama	kṛttama		
DCS-only	3	kfzwI	kṛṣṭī		
DCS-only	3	kiMviSizwa	kiṃviśiṣṭa		
DCS-only	3	koqIyaka	koḍīyaka		
DCS-only	3	koraRwa	koraṇṭa		
DCS-only	3	kozWIyantra	koṣṭhīyantra		
DCS-only	3	kozWikAyantra	koṣṭhikāyantra		
DCS-only	3	krAmaka	krāmaka		
DCS-only	3	krOYcikA	krauñcikā		
DCS-only	3	kuWAracCinnA	kuṭhāracchinnā		
DCS-only	3	kulOzaDI	kulauṣadhī		
DCS-only	3	kulatTaka	kulatthaka		
DCS-only	3	kumpikA	kumpikā		
DCS-only	3	kundamAlikA	kundamālikā		
DCS-only	3	kuntaveDa	kuntavedha		
DCS-only	3	kuruBaka	kurubhaka		
DCS-only	3	kzakAra	kṣakāra		
DCS-only	3	kzetrIkaraRa	kṣetrīkaraṇa		
DCS-only	3	lAlapy	lālapy		
DCS-only	3	laddi	laddi		
DCS-only	3	lavaRaka	lavaṇaka		
DCS-only	3	lavaRayantra	lavaṇayantra		
DCS-only	3	lelih	lelih		
DCS-only	3	liptamUzA	liptamūṣā		
DCS-only	3	mAkir	mākir		
DCS-only	3	mUtraka	mūtraka		
DCS-only	3	mUtravarga	mūtravarga		
DCS-only	3	mUzAlepa	mūṣālepa		
DCS-only	3	mUzAyantra	mūṣāyantra		
DCS-only	3	madanamaYjukA	madanamañjukā		
DCS-only	3	mahAmokza	mahāmokṣa		
DCS-only	3	mahApuwa	mahāpuṭa		
DCS-only	3	marmfj	marmṛj		
DCS-only	3	mfdupuwa	mṛdupuṭa		
DCS-only	3	mfdvagni	mṛdvagni		
DCS-only	3	mfdvastra	mṛdvastra		
DCS-only	3	mfllavaRa	mṛllavaṇa		
DCS-only	3	mftasUta	mṛtasūta		
DCS-only	3	mitrapaYcaka	mitrapañcaka		
DCS-only	3	nAdabindu	nādabindu		
DCS-only	3	nAgABra	nāgābhra		
DCS-only	3	nAnad	nānad		
DCS-only	3	nIcatara	nīcatara		
DCS-only	3	nIrakaRA	nīrakaṇā		
DCS-only	3	nakir	nakir		
DCS-only	3	nalinikA	nalinikā		
DCS-only	3	netratraya	netratraya		
DCS-only	3	niHzyanda	niḥṣyanda		
DCS-only	3	niScandra	niścandra		
DCS-only	3	niScandrika	niścandrika		
DCS-only	3	nidrAnASa	nidrānāśa		
DCS-only	3	nimbuka	nimbuka		
DCS-only	3	nirBAra	nirbhāra		
DCS-only	3	nirdala	nirdala		
DCS-only	3	nirguRqikA	nirguṇḍikā		
DCS-only	3	nirvazawkAra	nirvaṣaṭkāra		
DCS-only	3	nistfRa	nistṛṇa		
DCS-only	3	nizkaka	niṣkaka		
DCS-only	3	nonAv	nonāv		
DCS-only	3	nyAYc	nyāñc		
DCS-only	3	nyagroDAdi	nyagrodhādi		
DCS-only	3	pAtAlayantraka	pātālayantraka		
DCS-only	3	pAtanAyantra	pātanāyantra		
DCS-only	3	pAtanayantra	pātanayantra		
DCS-only	3	pAtanayantraka	pātanayantraka		
DCS-only	3	pAzARagErika	pāṣāṇagairika		
DCS-only	3	pUjyatama	pūjyatama		
DCS-only	3	pUpA	pūpā		
DCS-only	3	pUrvakatva	pūrvakatva		
DCS-only	3	paTyatama	pathyatama		
DCS-only	3	paYcamAhiza	pañcamāhiṣa		
DCS-only	3	padmadevikA	padmadevikā		
DCS-only	3	pakvabIja	pakvabīja		
DCS-only	3	pakvamUzA	pakvamūṣā		
DCS-only	3	pakzacCeda	pakṣaccheda		
DCS-only	3	pakzacCinna	pakṣacchinna		
DCS-only	3	parAparA	parāparā		
DCS-only	3	parAtparatara	parātparatara		
DCS-only	3	parIvf	parīvṛ		
DCS-only	3	parameSAnI	parameśānī		
DCS-only	3	parameSAna	parameśāna		
DCS-only	3	pariRAmanA	pariṇāmanā		
DCS-only	3	parinirmA	parinirmā		
DCS-only	3	parinirvf	parinirvṛ		
DCS-only	3	parpawikA	parpaṭikā		
DCS-only	3	paryApad	paryāpad		
DCS-only	3	paryavanah	paryavanah		
DCS-only	3	pawupaYcaka	paṭupañcaka		
DCS-only	3	pewArI	peṭārī		
DCS-only	3	pippalyAdi	pippalyādi		
DCS-only	3	pitfsTAlI	pitṛsthālī		
DCS-only	3	piwikA	piṭikā		
DCS-only	3	powalI	poṭalī		
DCS-only	3	prAgukta	prāgukta		
DCS-only	3	pracCA	pracchā		
DCS-only	3	prajYAparADa	prajñāparādha		
DCS-only	3	prakASamUzA	prakāśamūṣā		
DCS-only	3	pranaptfkA	pranaptṛkā		
DCS-only	3	prapOtfkA	prapautṛkā		
DCS-only	3	pratiniyam	pratiniyam		
DCS-only	3	pratiprasramB	pratiprasrambh		
DCS-only	3	pratisaMyuj	pratisaṃyuj		
DCS-only	3	prativiSizwatara	prativiśiṣṭatara		
DCS-only	3	pratyekaSaH	pratyekaśaḥ		
DCS-only	3	pratyutpad	pratyutpad		
DCS-only	3	pravinyas	pravinyas		
DCS-only	3	proJ	projh		
DCS-only	3	puMvajra	puṃvajra		
DCS-only	3	puNKA	puṅkhā		
DCS-only	3	puRyatama	puṇyatama		
DCS-only	3	puratraya	puratraya		
DCS-only	3	rAjAvartaka	rājāvartaka		
DCS-only	3	rAjahasta	rājahasta		
DCS-only	3	rUkman	rūkman		
DCS-only	3	rUpaRikA	rūpaṇikā		
DCS-only	3	raktagaRa	raktagaṇa		
DCS-only	3	rasANkuSI	rasāṅkuśī		
DCS-only	3	rasANkuSa	rasāṅkuśa		
DCS-only	3	rasaBErava	rasabhairava		
DCS-only	3	rasaliNga	rasaliṅga		
DCS-only	3	rorUy	rorūy		
DCS-only	3	roro	roro		
DCS-only	3	sADikAra	sādhikāra		
DCS-only	3	sAlasArAdi	sālasārādi		
DCS-only	3	sAmAnyena	sāmānyena		
DCS-only	3	sAnudAsa	sānudāsa		
DCS-only	3	sAraRAtEla	sāraṇātaila		
DCS-only	3	sAraRAyantra	sāraṇāyantra		
DCS-only	3	sAtama	sātama		
DCS-only	3	sEryaka	sairyaka		
DCS-only	3	sUkzmaka	sūkṣmaka		
DCS-only	3	sUtarAja	sūtarāja		
DCS-only	3	sUtavara	sūtavara		
DCS-only	3	sUtendra	sūtendra		
DCS-only	3	saMSA	saṃśā		
DCS-only	3	saMkalI	saṃkalī		
DCS-only	3	saMmuKIBAva	saṃmukhībhāva		
DCS-only	3	saMnirmA	saṃnirmā		
DCS-only	3	saMpAtavat	saṃpātavat		
DCS-only	3	saMtulya	saṃtulya		
DCS-only	3	sahAnuga	sahānuga		
DCS-only	3	sahajanyI	sahajanyī		
DCS-only	3	samADU	samādhū		
DCS-only	3	samanvAhf	samanvāhṛ		
DCS-only	3	samparizvaj	sampariṣvaj		
DCS-only	3	sampracC	sampracch		
DCS-only	3	samprakAs	samprakās		
DCS-only	3	samudAnI	samudānī		
DCS-only	3	samudBram	samudbhram		
DCS-only	3	samudDan	samuddhan		
DCS-only	3	samudradinnA	samudradinnā		
DCS-only	3	samupASri	samupāśri		
DCS-only	3	samupaspfs	samupaspṛs		
DCS-only	3	saptAhva	saptāhva		
DCS-only	3	satikta	satikta		
DCS-only	3	sfzwitraya	sṛṣṭitraya		
DCS-only	3	sikatayantra	sikatayantra		
DCS-only	3	somAnala	somānala		
DCS-only	3	sozRa	soṣṇa		
DCS-only	3	sparSaveDa	sparśavedha		
DCS-only	3	sparSaveDin	sparśavedhin		
DCS-only	3	suKena	sukhena		
DCS-only	3	sukumArikA	sukumārikā		
DCS-only	3	sumanasyamAna	sumanasyamāna		
DCS-only	3	suradAlI	suradālī		
DCS-only	3	surasAdi	surasādi		
DCS-only	3	suravanditA	suravanditā		
DCS-only	3	svANgaSItala	svāṅgaśītala		
DCS-only	3	svaBAvaSItala	svabhāvaśītala		
DCS-only	3	svedanIyantra	svedanīyantra		
DCS-only	3	tAlameGa	tālamegha		
DCS-only	3	tAmragOrI	tāmragaurī		
DCS-only	3	tArArizwa	tārāriṣṭa		
DCS-only	3	taptaKalla	taptakhalla		
DCS-only	3	taptaKalvaka	taptakhalvaka		
DCS-only	3	tfROzaDI	tṛṇauṣadhī		
DCS-only	3	trijagant	trijagant		
DCS-only	3	trivfta	trivṛta		
DCS-only	3	tryUza	tryūṣa		
DCS-only	3	tuSabda	tuśabda		
DCS-only	3	tulyaka	tulyaka		
DCS-only	3	tuzRIBAva	tuṣṇībhāva		
DCS-only	3	udDAta	uddhāta		
DCS-only	3	udDUlita	uddhūlita		
DCS-only	3	upahvA	upahvā		
DCS-only	3	upanisA	upanisā		
DCS-only	3	utpalAdi	utpalādi		
DCS-only	3	uttaravAruRI	uttaravāruṇī		
DCS-only	3	uzRIBU	uṣṇībhū		
DCS-only	3	uzWa	uṣṭha		
DCS-only	3	vAlukAyantraka	vālukāyantraka		
DCS-only	3	vAritara	vāritara		
DCS-only	3	vIRAdattaka	vīṇādattaka		
DCS-only	3	vaNgABra	vaṅgābhra		
DCS-only	3	vaNkanAla	vaṅkanāla		
DCS-only	3	vahnimitrA	vahnimitrā		
DCS-only	3	vajrABraka	vajrābhraka		
DCS-only	3	vanotpala	vanotpala		
DCS-only	3	varanAga	varanāga		
DCS-only	3	vastramfd	vastramṛd		
DCS-only	3	vastramftsnA	vastramṛtsnā		
DCS-only	3	vastramfttikA	vastramṛttikā		
DCS-only	3	vfdDadAruka	vṛddhadāruka		
DCS-only	3	viSvAci	viśvāci		
DCS-only	3	viSvila	viśvila		
DCS-only	3	vicCardi	vicchardi		
DCS-only	3	vicikits	vicikits		
DCS-only	3	vidAriganDAdi	vidārigandhādi		
DCS-only	3	vidAryAdi	vidāryādi		
DCS-only	3	vihvA	vihvā		
DCS-only	3	vijijiYAs	vijijiñās		
DCS-only	3	vimaleSvara	vimaleśvara		
DCS-only	3	viniHkzip	viniḥkṣip		
DCS-only	3	vipravyaD	vipravyadh		
DCS-only	3	vistaraSaH	vistaraśaḥ		
DCS-only	3	vuY	vuñ		
DCS-only	3	vyAptf	vyāptṛ		
DCS-only	3	waNkaRaka	ṭaṅkaṇaka		
DCS-only	3	yaTABUta	yathābhūta		
DCS-only	3	yaTecCaka	yathecchaka		
DCS-only	3	yaY	yañ		
DCS-only	3	yajYagupta	yajñagupta		
DCS-only	3	yavaciYcA	yavaciñcā		
DCS-only	3	yavaciYcikA	yavaciñcikā		
DCS-only	3	yodDu	yoddhu		
DCS-only	3	zoqaSaguRa	ṣoḍaśaguṇa		
DCS-only	3	zowa	ṣoṭa		
