fem_slp1	fem_iast	masc_slp1	masc_iast	ending
liNginI	liṅginī	liNgin	liṅgin	ī
mAdinI	mādinī	mAdin	mādin	ī
mAlinI	mālinī	mAlin	mālin	ī
mAninI	māninī	mAnin	mānin	ī
mAsopavAsinI	māsopavāsinī	mAsopavAsin	māsopavāsin	ī
maDuvAhinI	madhuvāhinī	maDuvAhin	madhuvāhin	ī
maRqalinI	maṇḍalinī	maRqalin	maṇḍalin	ī
maYjuvAdinI	mañjuvādinī	maYjuvAdin	mañjuvādin	ī
manTinI	manthinī	manTin	manthin	ī
manasvinI	manasvinī	manasvin	manasvin	ī
mardinI	mardinī	mardin	mardin	ī
matsyabanDinI	matsyabandhinī	matsyabanDin	matsyabandhin	ī
meDAvinI	medhāvinī	meDAvin	medhāvin	ī
meGavAhinI	meghavāhinī	meGavAhin	meghavāhin	ī
medinI	medinī	medin	medin	ī
mfdugAminI	mṛdugāminī	mfdugAmin	mṛdugāmin	ī
mftasaMjIvinI	mṛtasaṃjīvinī	mftasaMjIvin	mṛtasaṃjīvin	ī
modinI	modinī	modin	modin	ī
mohinI	mohinī	mohin	mohin	ī
nAginI	nāginī	nAgin	nāgin	ī
nIlotpalinI	nīlotpalinī	nIlotpalin	nīlotpalin	ī
nandinI	nandinī	nandin	nandin	ī
nideSinI	nideśinī	nideSin	nideśin	ī
nitambinI	nitambinī	nitambin	nitambin	ī
nizkAsinI	niṣkāsinī	nizkAsin	niṣkāsin	ī
pARipraRayinI	pāṇipraṇayinī	pARipraRayin	pāṇipraṇayin	ī
pARqaravAsinI	pāṇḍaravāsinī	pARqaravAsin	pāṇḍaravāsin	ī
pAWaSAlinI	pāṭhaśālinī	pAWaSAlin	pāṭhaśālin	ī
pAlinI	pālinī	pAlin	pālin	ī
pAyinI	pāyinī	pAyin	pāyin	ī
paNkajinI	paṅkajinī	paNkajin	paṅkajin	ī
padmamAlinI	padmamālinī	padmamAlin	padmamālin	ī
padminI	padminī	padmin	padmin	ī
palASinI	palāśinī	palASin	palāśin	ī
parRinI	parṇinī	parRin	parṇin	ī
paramezWinI	parameṣṭhinī	paramezWin	parameṣṭhin	ī
paripAkinI	paripākinī	paripAkin	paripākin	ī
parivedinI	parivedinī	parivedin	parivedin	ī
parvatavAsinI	parvatavāsinī	parvatavAsin	parvatavāsin	ī
patAkinI	patākinī	patAkin	patākin	ī
pataMginI	pataṃginī	pataMgin	pataṃgin	ī
payasvinI	payasvinī	payasvin	payasvin	ī
piRqinI	piṇḍinī	piRqin	piṇḍin	ī
pinAkinI	pinākinī	pinAkin	pinākin	ī
prAdeSinI	prādeśinī	prAdeSin	prādeśin	ī
praRayinI	praṇayinī	praRayin	praṇayin	ī
praTiminI	prathiminī	praTimin	prathimin	ī
praboDinI	prabodhinī	praboDin	prabodhin	ī
pracodinI	pracodinī	pracodin	pracodin	ī
pramATinI	pramāthinī	pramATin	pramāthin	ī
pramodinI	pramodinī	pramodin	pramodin	ī
pratAninI	pratāninī	pratAnin	pratānin	ī
pratikAminI	pratikāminī	pratikAmin	pratikāmin	ī
rUpasvinI	rūpasvinī	rUpasvin	rūpasvin	ī
raTinI	rathinī	raTin	rathin	ī
raktapAyinI	raktapāyinī	raktapAyin	raktapāyin	ī
ratArTinI	ratārthinī	ratArTin	ratārthin	ī
ripuGAtinI	ripughātinī	ripuGAtin	ripughātin	ī
sAgaragAminI	sāgaragāminī	sAgaragAmin	sāgaragāmin	ī
sAvinI	sāvinī	sAvin	sāvin	ī
sImantinI	sīmantinī	sImantin	sīmantin	ī
sPuliNginI	sphuliṅginī	sPuliNgin	sphuliṅgin	ī
sUcinI	sūcinī	sUcin	sūcin	ī
saMDinI	saṃdhinī	saMDin	saṃdhin	ī
saMjIvinI	saṃjīvinī	saMjIvin	saṃjīvin	ī
saMtAninI	saṃtāninī	saMtAnin	saṃtānin	ī
saMvAhinI	saṃvāhinī	saMvAhin	saṃvāhin	ī
saMyaminI	saṃyaminī	saMyamin	saṃyamin	ī
sahAyinI	sahāyinī	sahAyin	sahāyin	ī
sahagAminI	sahagāminī	sahagAmin	sahagāmin	ī
samaNginI	samaṅginī	samaNgin	samaṅgin	ī
saralayAyinI	saralayāyinī	saralayAyin	saralayāyin	ī
