slp1	iast	n_dicts	dicts	gender	fem_fold
BI	bhī	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fn	
BU	bhū	13	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP	fmn	
Ba	bha	9	BUR CAE CCS MD MW PWG PWK SKD VCP	fmn	
Bf	bhṛ	9	AP BUR CAE CCS GRA MD MW SKD VCP	-	
Bo	bho	7	BUR CAE CCS MD MW PWG PWK	-	
Bu	bhu	7	CAE CCS GRA MD MW PWG PWK	fmn	
CA	chā	10	AP CAE CCS MD MW PWG PWK SCH SKD VCP	fm	
Ca	cha	8	AP BUR MW PWG PWK SCH SKD VCP	fmn	
Ci	chi	4	MW PWG PWK VCP	m	
Co	cho	6	AP BUR MW PWG SKD VCP	-	
DA	dhā	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
DF	dhṝ	2	BUR MW	-	
DI	dhī	12	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI	f	
DU	dhū	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fn	
Da	dha	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP	fmn	
De	dhe	6	AP BUR MD MW SKD VCP	-	
Df	dhṛ	8	AP BUR CAE GRA MD MW SKD VCP	-	
Di	dhi	12	AP BHS BUR CAE CCS GRA MD MW PWG PWK SKD VCP	mn	
Du	dhu	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP	f	
ED	aidh	1	PWG	fm	
EH	aiḥ	2	AP SKD	m	
Es	ais	1	BUR	-	
Et	ait	1	BUR	-	
FH	ṝḥ	1	SKD	-	
GA	ghā	5	AP MW PWK SKD VCP	f	
Ga	gha	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP	fmn	
Gf	ghṛ	7	AP BUR CAE MD MW SKD VCP	-	
Gi	ghi	1	BUR	-	
Gu	ghu	8	AP BUR MD MW PWG PWK SKD VCP	m	
IH	īḥ	2	AP SKD	fm	
IK	īkh	3	AP MW PWK	-	
IL	īḻ	2	BUR MW	-	
IS	īś	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP	m	
Ih	īh	9	AP BUR CAE CCS GRA MD MW PWG PWK	n	
Ij	īj	9	AP BUR CAE CCS GRA MD MW PWG PWK	-	
Il	īl	2	BUR MW	-	
Im	īm	9	AP CAE CCS GRA MD MW PWG PWK VCP	-	
Iq	īḍ	9	AP BUR CAE CCS GRA MD MW PWG PWK	f	
Ir	īr	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	f	
Is	īs	1	PWG	-	
Iz	īṣ	9	AP BUR CAE CCS GRA MD MW PWG PWK	-	
JA	jhā	2	AP MW	f	
JF	jhṝ	4	AP BUR MW SKD	-	
Ja	jha	7	AP BUR MW PWG PWK SKD VCP	fmn	
Jf	jhṛ	1	VCP	-	
Ju	jhu	3	BUR MW SKD	-	
KA	khā	7	AP GRA MD MW PWG PWK VCP	fmn	
KE	khai	4	BUR MW SKD VCP	-	
Ka	kha	12	BUR CAE CCS GRA INM MD MW PWG PWK SKD VCP VEI	fmn	
Ke	khe	1	MW	-	
Ko	kho	1	BHS	-	
Ku	khu	8	AP BHS BUR MW PWG PWK SKD VCP	-	
La	ḻa	1	SKD	-	
Na	ṅa	7	AP BUR MW PWG PWK SKD VCP	m	
Nu	ṅu	7	AP BUR MW PWG PWK SKD VCP	-	
OH	auḥ	1	SKD	-	
Om	aum	4	AP MW PWG PWK	-	
O~	au~	1	SKD	-	
PA	phā	5	AP MW PWG PWK VCP	m	
Pa	pha	7	AP BUR MW PWG PWK SKD VCP	fmn	
Pi	phi	5	BUR MW PWG PWK VCP	m	
Pu	phu	4	MW PWG PWK VCP	m	
Qa	ḍha	6	BUR MW PWG PWK SKD VCP	fmn	
RI	ṇī	2	SKD VCP	-	
RU	ṇū	2	SKD VCP	-	
Ra	ṇa	8	AP BUR MW PWG PWK SCH SKD VCP	m	
Ri	ṇi	3	CCS MD PWK	m	
Ru	ṇu	2	SKD VCP	-	
SA	śā	7	CAE CCS GRA MD PWG PWK SCH	-	
SE	śai	1	MW	-	
SF	śṝ	6	AP BUR MD MW SKD VCP	-	
SI	śī	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
SU	śū	7	CAE CCS GRA MD MW PWG PWK	-	
Sa	śa	7	BUR MW PWG PWK SCH SKD VCP	mn	
Se	śe	1	MD	-	
Sf	śṛ	3	BUR CAE MD	-	
Si	śi	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP	mn	
So	śo	5	AP BUR MW SKD VCP	-	
Su	śu	6	AP BHS BUR MW PWG PWK	-	
Ta	tha	6	BUR MW PWG PWK SKD VCP	mn	
UH	ūḥ	3	AP BUR SKD	-	
UM	ūṃ	2	MW PWK	-	
UW	ūṭh	4	AP MW PWG PWK	-	
Uh	ūh	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	-	
Um	ūm	7	AP BUR MW PWG PWK SKD VCP	n	
Un	ūn	2	AP BUR	-	
Uy	ūy	5	AP BUR MW PWG PWK	-	
Uz	ūṣ	5	AP BUR MW PWG PWK	-	
U~	ū~	3	MD PWG PWK	-	
Wa	ṭha	6	BUR MW PWG PWK SKD VCP	m	
XH	ḹḥ	1	SKD	-	
Ya	ña	6	BUR MW PWG PWK SKD VCP	m	
aB	abh	2	BUR PWG	-	
aG	agh	3	AP BUR MW	-	
aH	aḥ	2	AP SKD	-	
aM	aṃ	1	SKD	-	
aN	aṅ	1	MD	-	
aR	aṇ	6	AP BUR MD MW PWG PWK	-	
aS	aś	9	AP BUR CAE CCS GRA MD MW PWG PWK	n	
aW	aṭh	5	AP BUR MW PWG PWK	-	
ab	ab	4	AP BUR MW PWG	-	
ac	ac	9	AP CAE CCS GRA MD MW PWG PWK SCH	m	
ad	ad	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	fmn	
ag	ag	4	AP BUR MW PWG	-	
ah	ah	9	AP BUR CAE CCS GRA MD MW PWG PWK	-	
aj	aj	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	-	
ak	ak	5	AP BUR MW PWG SCH	-	
al	al	5	AP BUR MW PWG PWK	-	
am	am	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP	-	
an	an	9	AP BUR CAE CCS GRA MD MW PWG PWK	m	
ap	ap	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP	fmn	
aq	aḍ	5	AP BUR MW PWG PWK	-	
ar	ar	5	CCS GRA PWG PWK SCH	f	
as	as	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	n	
at	at	11	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP	-	
av	av	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	n	
aw	aṭ	9	AP BUR CAE CCS MD MW PWG PWK SCH	-	
ay	ay	5	AP BUR MW PWG PWK	-	
az	aṣ	5	AP BUR MW PWG PWK	-	
bA	bā	1	BUR	-	
bF	bṝ	4	BUR MW SKD VCP	-	
ba	ba	6	BUR MW PWG PWK SKD VCP	fm	
ca	ca	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
ci	ci	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fn	
co	co	1	BHS	-	
dA	dā	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
dE	dai	6	AP BUR MD MW SKD VCP	-	
dF	dṝ	7	AP BUR CCS MD MW SKD VCP	-	
dI	dī	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	f	
dU	dū	9	AP CAE GRA MW PWG PWK SCH SKD VCP	f	
da	da	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
de	de	5	AP BUR MW SKD VCP	-	
df	dṛ	9	AP BUR CAE CCS GRA MD MW SKD VCP	-	
di	di	2	PWG PWK	-	
do	do	5	AP BUR MW SKD VCP	-	
du	du	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	-	
eD	edh	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	f	
eH	eḥ	2	AP SKD	m	
eN	eṅ	3	CCS MD PWK	-	
eW	eṭh	5	AP BUR MW PWG PWK	-	
ed	ed	5	CAE CCS MD MW PWK	-	
ej	ej	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	n	
em	em	1	BHS	-	
er	er	1	MW	-	
ez	eṣ	11	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP	-	
fC	ṛch	4	BUR GRA MD MW	-	
fD	ṛdh	6	AP BUR CAE GRA MD MW	-	
fH	ṛḥ	1	AP	-	
fN	ṛṅ	1	MW	-	
fP	ṛph	3	AP BUR MW	-	
fR	ṛṇ	3	AP BUR MW	-	
fS	ṛś	2	AP GRA	-	
fc	ṛc	11	AP BUR CAE CCS GRA INM MD MW PWG PWK VCP	fn	
fd	ṛd	2	CAE MD	-	
fg	ṛg	1	MW	-	
fj	ṛj	6	AP BUR CAE GRA MD MW	-	
fk	ṛk	3	BUR MW SKD	-	
ft	ṛt	3	AP BUR MW	-	
fz	ṛṣ	6	AP BUR CAE GRA MD MW	-	
gA	gā	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
gE	gai	6	AP BUR MD MW SKD VCP	-	
gF	gṝ	7	AP BUR CCS MD MW SKD VCP	-	
gI	gī	1	MW	-	
gU	gū	7	AP BUR MW PWG PWK SKD VCP	fmn	
ga	ga	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP	fmn	
gf	gṛ	8	AP BUR CAE CCS MD MW SKD VCP	-	
go	go	13	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	fmn	
gu	gu	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP	fn	
hA	hā	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
hE	hai	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP	n	
hF	hṝ	1	MW	-	
hI	hī	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP	n	
hO	hau	7	AP BUR MW PWG PWK SKD VCP	-	
hU	hū	11	AP BHS BUR CAE CCS GRA MD MW PWG PWK SKD	fmn	
ha	ha	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP	fmn	
he	he	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP	n	
hf	hṛ	9	AP BUR CAE CCS GRA MD MW SKD VCP	n	
hi	hi	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	-	
ho	ho	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP	n	
hu	hu	12	AP BHS BUR CAE CCS GRA MD MW PWG PWK SKD VCP	n	
iC	ich	2	BUR PWG	-	
iD	idh	7	CAE CCS GRA MD MW PWG PWK	-	
iH	iḥ	2	AP SKD	-	
iK	ikh	5	AP BUR MW PWG PWK	-	
iN	iṅ	1	VCP	-	
iR	iṇ	1	VCP	-	
id	id	10	AP CAE CCS GRA MD MW PWG PWK VCP VEI	n	
ig	ig	1	BUR	-	
ij	ij	4	BUR GRA PWG PWK	-	
ik	ik	1	VCP	-	
il	il	8	AP BUR CAE CCS MD MW PWG PWK	-	
im	im	4	CAE MW PWK SCH	-	
in	in	7	AP CCS GRA MD MW PWG PWK	-	
iq	iḍ	9	AP CAE CCS GRA MD MW PWG PWK VCP	fmn	
ir	ir	4	AP MW PWG PWK	-	
is	is	8	AP BUR CAE GRA MW PWG PWK VCP	n	
it	it	6	AP MD MW PWG PWK VCP	-	
iv	iv	1	BUR	-	
iw	iṭ	6	AP BUR MW PWG PWK SKD	-	
iz	iṣ	11	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP	fmn	
jA	jā	10	AP CAE CCS GRA MD MW PWG PWK SKD VCP	fmn	
jE	jai	5	AP BUR MW SKD VCP	-	
jF	jṝ	7	AP BUR CCS MD MW SKD VCP	-	
jI	jī	3	MW PWG PWK	m	
jU	jū	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP	fmn	
ja	ja	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP	fmn	
jf	jṛ	8	AP BUR CAE CCS MD MW SKD VCP	-	
ji	ji	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
ju	ju	9	AP BUR CAE CCS MW PWG PWK SKD VCP	-	
kA	kā	9	AP BUR CAE CCS GRA MD MW PWG PWK	-	
kE	kai	5	AP BUR MW SKD VCP	-	
kF	kṝ	7	AP BUR CCS MD MW SKD VCP	-	
kI	kī	2	PWK VCP	-	
kU	kū	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	f	
ka	ka	13	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP	fmn	
kf	kṛ	9	AP BUR CAE CCS GRA MD MW SKD VCP	-	
ki	ki	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP	-	
ko	ko	4	MD MW PWG PWK	-	
ku	ku	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
kx	kḷ	1	VCP	-	
lA	lā	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP	f	
lI	lī	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fn	
lU	lū	11	AP BUR CAE CCS MD MW PWG PWK SCH SKD VCP	fmn	
la	la	10	BUR CAE CCS MD MW PWG PWK SCH SKD VCP	fm	
lf	lṛ	1	MW	-	
li	li	4	BUR MW PWG PWK	m	
lo	lo	3	MW PWG PWK	fmn	
lu	lu	2	BUR PWK	-	
mA	mā	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fn	
mF	mṝ	5	AP BUR MW SKD VCP	-	
mI	mī	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP	-	
mU	mū	9	AP BUR GRA MD MW PWG PWK SKD VCP	fmn	
ma	ma	12	BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
me	me	7	AP BUR MD MW PWK SKD VCP	-	
mf	mṛ	9	AP BUR CAE CCS GRA MD MW SKD VCP	f	
mi	mi	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	n	
mo	mo	4	CAE CCS MD MW	-	
mu	mu	6	BUR MW PWG PWK SCH VCP	m	
nA	nā	9	AP BUR CAE CCS MW PWG PWK SKD VCP	f	
nE	nai	1	MW	-	
nF	nṝ	5	AP BUR MW SKD VCP	-	
nI	nī	11	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP	fmn	
nO	nau	11	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI	f	
nU	nū	8	AP BUR CAE CCS GRA MW PWG PWK	-	
na	na	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
nf	nṛ	9	AP BUR CAE CCS GRA MD MW VCP VEI	m	
ni	ni	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP	fmn	
no	no	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP	-	
nu	nu	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	m	
oH	oḥ	1	SKD	-	
oK	okh	5	AP BUR MW PWG PWK	-	
oM	oṃ	1	BUR	-	
oR	oṇ	5	AP BUR MW PWG PWK	-	
oj	oj	5	AP BUR MW PWG PWK	-	
om	om	9	AP CAE CCS MD MW PWG PWK SKD VCP	m	
o~	o~	1	SKD	-	
pA	pā	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
pE	pai	5	AP BUR MW SKD VCP	-	
pF	pṝ	7	AP BUR CCS MD MW SKD VCP	-	
pI	pī	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP	fmn	
pU	pū	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
pa	pa	11	AP BUR CAE CCS MD MW PWG PWK SCH SKD VCP	fmn	
pe	pe	1	BHS	-	
pf	pṛ	7	AP BUR CAE MD MW SKD VCP	-	
pi	pi	12	AP BHS BUR CAE CCS GRA MD MW PWG PWK SKD VCP	-	
po	po	5	AP MW PWG PWK VCP	-	
pu	pu	2	MW PWK	fmn	
qA	ḍā	3	AP MW SKD	f	
qI	ḍī	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP	n	
qa	ḍa	6	BUR MW PWG PWK SKD VCP	fm	
rA	rā	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	f	
rE	rai	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP	fm	
rI	rī	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	f	
ra	ra	10	BUR CAE CCS MD MW PWG PWK SCH SKD VCP	fmn	
re	re	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP	n	
ri	ri	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	-	
ru	ru	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	mn	
sA	sā	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP	fn	
sE	sai	4	AP BUR MW SKD	-	
sF	sṝ	5	AP BUR MW SKD VCP	-	
sI	sī	7	BHS BUR GRA MD MW PWG PWK	f	
sU	sū	12	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH VCP	fmn	
sa	sa	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
se	se	4	MD MW PWG PWK	fmn	
sf	sṛ	9	AP BUR CAE CCS GRA MD MW SKD VCP	-	
si	si	10	AP BHS BUR CAE CCS GRA MD MW PWG PWK	-	
so	so	7	AP BHS BUR MD MW PWG PWK	f	
su	su	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
sv	sv	2	PWG PWK	-	
tA	tā	4	AP MW PWK SCH	f	
tF	tṝ	7	AP BUR CCS MD MW SKD VCP	-	
tO	tau	1	BUR	-	
tU	tū	1	PWK	-	
ta	ta	10	BUR CAE CCS GRA MD MW PWG PWK SKD VCP	fmn	
te	te	5	BUR MD PWK SKD VCP	-	
tf	tṛ	3	CAE GRA MW	n	
ti	ti	5	BHS MW PWG PWK VCP	-	
tu	tu	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	-	
uB	ubh	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	-	
uC	uch	4	BUR MW PWG PWK	-	
uH	uḥ	2	AP SKD	-	
uK	ukh	5	AP BUR MW PWG PWK	-	
uS	uś	1	BUR	-	
uW	uṭh	5	AP BUR MW PWG PWK	-	
uc	uc	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	-	
ud	ud	10	AP CAE CCS GRA MD MW PWG PWK SKD VCP	-	
uh	uh	8	AP BUR CAE CCS MD MW PWG PWK	-	
uj	uj	1	GRA	-	
ul	ul	3	AP MW PWG	-	
um	um	7	AP BUR MW PWG PWK SKD VCP	n	
uq	uḍ	2	PWG PWK	-	
ur	ur	2	AP PWG	-	
ut	ut	7	AP BUR MW PWG PWK SKD VCP	-	
uz	uṣ	9	AP BUR CAE CCS GRA MD MW PWG PWK	f	
vA	vā	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
vE	vai	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP	-	
vF	vṝ	5	AP BUR MW SKD VCP	-	
vI	vī	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
va	va	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
ve	ve	11	AP BHS BUR CAE CCS GRA MD MW PWK SKD VCP	m	
vf	vṛ	9	AP BUR CAE CCS GRA MD MW SKD VCP	-	
vi	vi	14	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP VEI	mn	
vy	vy	1	MW	-	
wA	ṭā	4	AP MW SKD VCP	f	
wa	ṭa	6	BUR MW PWG PWK SKD VCP	fmn	
wu	ṭu	4	BUR MW PWG PWK	m	
xN	ḷṅ	1	AP	-	
xw	ḷṭ	3	AP CCS MD	-	
yA	yā	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fn	
yO	yau	1	BUR	-	
yU	yū	5	AP BUR MW PWG PWK	fm	
ya	ya	11	BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
ye	ye	1	BUR	-	
yu	yu	12	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI	fmn	
zE	ṣai	2	SKD VCP	-	
zF	ṣṝ	1	VCP	-	
zU	ṣū	6	BUR MW PWG PWK SKD VCP	f	
za	ṣa	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP	fmn	
zi	ṣi	3	BUR SKD VCP	-	
zo	ṣo	3	MW SKD VCP	-	
zu	ṣu	7	BUR MD MW PWG PWK SKD VCP	fm	
ABA	ābhā	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP	f	
ABU	ābhū	8	AP CAE CCS GRA MD MW PWG PWK	fmn	
ABa	ābha	2	BHS MW	m	
ABf	ābhṛ	2	AP MW	-	
ABu	ābhu	9	AP CAE CCS GRA MD MW PWG PWK VCP	fmn	
ACa	ācha	2	SKD VCP	-	
ADA	ādhā	2	AP MW	-	
ADI	ādhī	7	AP CAE GRA MD MW PWG PWK	f	
ADU	ādhū	1	MW	-	
ADf	ādhṛ	2	AP MW	-	
ADi	ādhi	10	BUR CAE CCS GRA MD MW PWG PWK SCH VCP	fm	
ADu	ādhu	2	AP MW	-	
AGA	āghā	1	SKD	-	
AGf	āghṛ	2	AP MW	-	
AIr	āīr	1	MW	-	
AIz	āīṣ	1	MW	-	
AKA	ākhā	3	MW PWG PWK	fmn	
AKa	ākha	4	MW PWG PWK VCP	m	
AKu	ākhu	11	BUR CAE CCS GRA MD MW PWG PWK SCH VCP VEI	fm	
AQA	āḍhā	1	MW	f	
ARA	āṇā	1	BHS	-	
ARa	āṇa	1	BUR	-	
ARi	āṇi	11	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI	fm	
ASA	āśā	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
ASI	āśī	8	AP BUR MW PWG PWK SCH SKD VCP	f	
ASU	āśū	2	AP VCP	-	
ASa	āśa	10	AP BHS BUR CAE CCS MD MW PWG PWK VCP	m	
ASi	āśi	4	CAE MW PWG PWK	f	
ASu	āśu	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI	fmn	
AYC	āñch	8	AP BUR CAE CCS MD MW PWG PWK	-	
AYc	āñc	1	MW	-	
AYj	āñj	1	MW	-	
Aca	āca	4	MD MW PWG PWK	m	
Aci	āci	2	AP MW	-	
AdA	ādā	2	AP MW	-	
AdE	ādai	1	MW	-	
AdF	ādṝ	2	AP MW	-	
AdI	ādī	1	MW	-	
AdO	ādau	3	AP BUR MW	-	
Ada	āda	4	AP MW PWG PWK	fmn	
Adf	ādṛ	2	AP MW	-	
Adi	ādi	12	AP BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	fmn	
Ado	ādo	1	MW	-	
Adu	ādu	1	MW	-	
AfD	āṛdh	1	MW	-	
AgA	āgā	4	GRA MW PWG PWK	f	
AgE	āgai	2	AP MW	-	
AgF	āgṝ	1	MW	-	
AgU	āgū	1	VCP	-	
Aga	āga	5	AP BUR MW PWG PWK	n	
AhA	āhā	1	SCH	-	
AhU	āhū	6	CAE GRA MW PWG PWK VCP	f	
Aha	āha	11	AP BHS BUR CCS MD MW PWG PWK SCH SKD VCP	n	
Ahf	āhṛ	2	AP MW	-	
Ahi	āhi	3	CCS MD MW	-	
Aho	āho	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP	-	
Ahu	āhu	2	AP MW	-	
Aiz	āiṣ	1	MW	-	
AjA	ājā	1	MW	f	
AjU	ājū	3	AP BUR VCP	-	
Aja	āja	9	AP BUR CAE CCS MD MW PWG PWK VCP	fmn	
Aji	āji	11	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI	fmn	
AkA	ākā	1	MW	-	
AkF	ākṝ	2	AP MW	-	
AkU	ākū	1	MW	-	
Aka	āka	1	BUR	-	
Ake	āke	10	AP CAE CCS GRA MD MW PWG PWK SCH VCP	-	
Akf	ākṛ	2	AP MW	-	
Aku	āku	1	SCH	-	
AlI	ālī	6	AP BUR CAE MW PWK SKD	f	
AlU	ālū	5	AP CAE MW PWG VCP	fn	
Ala	āla	11	AP BUR CAE GRA MD MW PWG PWK SCH VCP VEI	fmn	
Ali	āli	10	AP BHS BUR CAE CCS MD MW PWG PWK VCP	fmn	
Alu	ālu	11	AP BHS BUR CAE CCS MD MW PWG PWK SKD VCP	fmn	
AmA	āmā	1	MW	-	
AmI	āmī	1	MW	-	
Ama	āma	12	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH VCP	fmn	
Ami	āmi	1	MW	-	
AnI	ānī	2	AP MW	-	
Ana	āna	10	BHS BUR CAE CCS GRA MD MW PWG PWK VCP	m	
Anu	ānu	2	MW VCP	fmn	
ApA	āpā	2	AP MW	-	
ApF	āpṝ	2	AP MW	-	
ApI	āpī	4	AP MW PWG VCP	fmn	
ApU	āpū	1	MW	-	
Apa	āpa	8	BHS BUR INM MW PWG PWK SKD VCP	fmn	
Apf	āpṛ	1	MW	-	
Api	āpi	9	CAE CCS GRA MD MW PWG PWK SCH VCP	fmn	
Apo	āpo	1	MW	-	
AqI	āḍī	3	MW PWK SCH	f	
