dcs_band	kind	slp1	iast
4	verb-deriv	utTApay	utthāpay
4	verb-deriv	utpAday	utpāday
4	verb-deriv	utpAway	utpāṭay
4	verb-deriv	vAcay	vācay
4	verb-deriv	vAday	vāday
4	verb-deriv	vAhay	vāhay
4	verb-deriv	vAray	vāray
4	verb-deriv	vaYcay	vañcay
4	verb-deriv	varDay	vardhay
4	verb-deriv	vartay	vartay
4	verb-deriv	veDay	vedhay
4	verb-deriv	veday	veday
4	verb-deriv	vezway	veṣṭay
4	verb-deriv	viBAvay	vibhāvay
4	verb-deriv	viBUzay	vibhūṣay
4	indecl?	viSezataH	viśeṣataḥ
4	prefixed-verb?	viSf	viśṛ
4	verb-deriv	viSoDay	viśodhay
4	verb-deriv	viSozay	viśoṣay
4	verb-deriv	vicAray	vicāray
4	verb-deriv	vicUrRay	vicūrṇay
4	verb-deriv	vicintay	vicintay
4	verb-deriv	vidAray	vidāray
4	verb-deriv	vijYApay	vijñāpay
4	verb-deriv	vilokay	vilokay
4	verb-deriv	vimarday	vimarday
4	verb-deriv	vinASay	vināśay
4	verb-deriv	vipAcay	vipācay
4	verb-deriv	visarjay	visarjay
4	prefixed-verb?	vitf	vitṛ
4	verb-deriv	vivarjay	vivarjay
4	indecl?	vyAkartu	vyākartu
4	verb-deriv	yAjay	yājay
4	verb-deriv	yApay	yāpay
4	verb-deriv	yoDay	yodhay
4	verb-deriv	yojay	yojay
3	nominal	ASvAsayitf	āśvāsayitṛ
3	nominal	ASyA	āśyā
3	nominal	AcEtanya	ācaitanya
3	nominal	Antarika	āntarika
3	nominal	ApyA	āpyā
3	nominal	AragvaDAdi	āragvadhādi
3	nominal	Arowa	āroṭa
3	nominal	Ayuzwva	āyuṣṭva
3	nominal	BUKaga	bhūkhaga
3	nominal	BUja	bhūja
3	nominal	BasmasUta	bhasmasūta
3	nominal	BasmasUtaka	bhasmasūtaka
3	nominal	BfgutIrTa	bhṛgutīrtha
3	nominal	CARa	chāṇa
3	nominal	CAyASuzka	chāyāśuṣka
3	nominal	CidramUzA	chidramūṣā
3	nominal	DUmasAra	dhūmasāra
3	nominal	DUmaveDa	dhūmavedha
3	nominal	Danyatara	dhanyatara
3	nominal	Darmatanaya	dharmatanaya
3	nominal	DuttUra	dhuttūra
3	nominal	GaY	ghañ
3	nominal	Gawayantra	ghaṭayantra
3	nominal	GeraRqa	gheraṇḍa
3	nominal	GftAYc	ghṛtāñc
3	nominal	Goratama	ghoratama
3	nominal	GozAkfzwa	ghoṣākṛṣṭa
3	nominal	KaY	khañ
3	nominal	Kanija	khanija
3	nominal	Karala	kharala
3	nominal	Karparaka	kharparaka
3	nominal	QAlana	ḍhālana
3	nominal	QaNkaRI	ḍhaṅkaṇī
3	nominal	QaY	ḍhañ
3	nominal	Qak	ḍhak
3	nominal	Satama	śatama
3	nominal	SfNKalikA	śṛṅkhalikā
3	nominal	SiKitra	śikhitra
3	nominal	SinipuMgava	śinipuṃgava
3	nominal	SivAmbu	śivāmbu
3	nominal	SoSuc	śośuc
3	nominal	Sravastama	śravastama
3	nominal	SuSuB	śuśubh
3	nominal	SudDasUta	śuddhasūta
3	nominal	SukapicCa	śukapiccha
3	nominal	SulvABra	śulvābhra
3	nominal	TUTA	thūthā
3	nominal	WaY	ṭhañ
3	nominal	Wak	ṭhak
3	nominal	Wan	ṭhan
3	nominal	Yya	ñya
3	nominal	aBUtvA	abhūtvā
3	nominal	aBinirmA	abhinirmā
3	nominal	aBiparI	abhiparī
3	nominal	aBipariplu	abhipariplu
3	nominal	aBisaMprasTA	abhisaṃprasthā
3	nominal	aBisamIkz	abhisamīkṣ
3	nominal	aBiviSru	abhiviśru
3	nominal	aByaDikatva	abhyadhikatva
3	nominal	aByasUy	abhyasūy
3	nominal	aByudyA	abhyudyā
3	nominal	aByupAgam	abhyupāgam
3	nominal	aDaHpAtanayantra	adhaḥpātanayantra
3	nominal	aDyAhf	adhyāhṛ
3	nominal	aMSikA	aṃśikā
3	nominal	acintayat	acintayat
3	nominal	acintayitvA	acintayitvā
3	nominal	adravyavat	adravyavat
3	nominal	ahaMSabda	ahaṃśabda
3	nominal	anaBizyandin	anabhiṣyandin
3	nominal	anasUyat	anasūyat
3	nominal	anuprASana	anuprāśana
3	nominal	anusnAna	anusnāna
3	nominal	apaDyA	apadhyā
3	nominal	arDarcaSaH	ardharcaśaḥ
3	nominal	arTatA	arthatā
3	nominal	aryaputra	aryaputra
3	nominal	asamBrAnta	asambhrānta
3	nominal	asmAhaka	asmāhaka
3	nominal	atigati	atigati
3	nominal	atipravfD	atipravṛdh
3	nominal	atyakta	atyakta
3	nominal	avijita	avijita
3	nominal	ayakzman	ayakṣman
3	nominal	azwAdaSaviDa	aṣṭādaśavidha
3	nominal	azwAviMSat	aṣṭāviṃśat
3	nominal	azwottaraSata	aṣṭottaraśata
3	nominal	azwottarasahasra	aṣṭottarasahasra
3	nominal	badbaD	badbadh
3	nominal	bahurUpI	bahurūpī
3	nominal	balAtEla	balātaila
3	nominal	balivasA	balivasā
3	nominal	bfhattara	bṛhattara
3	nominal	bilvAdi	bilvādi
3	nominal	bola	bola
3	nominal	budDavarman	buddhavarman
3	nominal	caN	caṅ
3	nominal	caNkram	caṅkram
3	nominal	caSabda	caśabda
3	nominal	candrahAsya	candrahāsya
3	nominal	candrodaka	candrodaka
3	nominal	capalatva	capalatva
3	nominal	carkar	carkar
3	nominal	catuzpala	catuṣpala
3	nominal	cekit	cekit
3	nominal	cetasya	cetasya
3	nominal	ciR	ciṇ
3	nominal	cittamAtra	cittamātra
3	nominal	cullikA	cullikā
3	nominal	cvi	cvi
3	nominal	dIpikAyantra	dīpikāyantra
3	nominal	dIrGaMjIvitIya	dīrghaṃjīvitīya
3	nominal	darSivat	darśivat
3	nominal	dardar	dardar
3	nominal	davidyut	davidyut
3	nominal	dedIpy	dedīpy
3	nominal	devadeveSI	devadeveśī
3	nominal	dfQodyama	dṛḍhodyama
3	nominal	dfkkriyA	dṛkkriyā
3	nominal	doDUy	dodhūy
3	nominal	dolikAyantra	dolikāyantra
3	nominal	drutadrAva	drutadrāva
3	nominal	drutasUta	drutasūta
3	nominal	dugDaka	dugdhaka
3	nominal	dvEDIkAra	dvaidhīkāra
3	nominal	dvaMdvamelApaka	dvaṃdvamelāpaka
3	nominal	dvandvamelApa	dvandvamelāpa
3	nominal	ekaguRa	ekaguṇa
3	nominal	ekonapaYcASat	ekonapañcāśat
3	nominal	ekonatriMSat	ekonatriṃśat
3	nominal	ekonaviMSa	ekonaviṃśa
3	nominal	eraRqIsaMgama	eraṇḍīsaṃgama
3	nominal	fkzaSfNga	ṛkṣaśṛṅga
3	nominal	fzidattA	ṛṣidattā
3	nominal	gArA	gārā
3	nominal	gaNgadattA	gaṅgadattā
3	nominal	ganDakatEla	gandhakataila
3	nominal	garBavat	garbhavat
3	nominal	garBayantra	garbhayantra
3	nominal	gartaka	gartaka
3	nominal	giriRqa	giriṇḍa
3	nominal	girisindUra	girisindūra
3	nominal	grAsamAna	grāsamāna
3	nominal	guhyatama	guhyatama
3	nominal	guhyatara	guhyatara
3	nominal	haMsapAka	haṃsapāka
3	nominal	hantama	hantama
3	nominal	hehaya	hehaya
3	nominal	hemABra	hemābhra
3	nominal	hemarAji	hemarāji
3	nominal	hiMkAra	hiṃkāra
3	nominal	hitatama	hitatama
3	nominal	hvaya	hvaya
3	nominal	ini	ini
3	nominal	jAjval	jājval
3	nominal	jAtucit	jātucit
3	nominal	jaNGan	jaṅghan
3	nominal	jawAyuza	jaṭāyuṣa
3	nominal	johav	johav
3	nominal	kAdi	kādi
3	nominal	kAntABra	kāntābhra
3	nominal	kAritva	kāritva
3	nominal	kArttikaprasaNga	kārttikaprasaṅga
3	nominal	kAzWodumbarikA	kāṣṭhodumbarikā
3	nominal	kacCapayantra	kacchapayantra
3	nominal	kaliNgadatta	kaliṅgadatta
3	nominal	kanakeSvarI	kanakeśvarī
3	nominal	kanikrad	kanikrad
3	nominal	karkanDU	karkandhū
3	nominal	karpawamfttikA	karpaṭamṛttikā
3	nominal	kaworikA	kaṭorikā
3	nominal	kazwatama	kaṣṭatama
3	nominal	kfSatara	kṛśatara
3	nominal	kfttama	kṛttama
3	nominal	kfzwI	kṛṣṭī
3	nominal	kiMviSizwa	kiṃviśiṣṭa
3	nominal	koqIyaka	koḍīyaka
3	nominal	koraRwa	koraṇṭa
3	nominal	kozWIyantra	koṣṭhīyantra
3	nominal	kozWikAyantra	koṣṭhikāyantra
3	nominal	krAmaka	krāmaka
3	nominal	krOYcikA	krauñcikā
3	nominal	ktvA	ktvā
3	nominal	kuWAracCinnA	kuṭhāracchinnā
3	nominal	kulOzaDI	kulauṣadhī
3	nominal	kulatTaka	kulatthaka
3	nominal	kumpikA	kumpikā
3	nominal	kundamAlikA	kundamālikā
3	nominal	kuntaveDa	kuntavedha
3	nominal	kuruBaka	kurubhaka
3	nominal	kzakAra	kṣakāra
3	nominal	kzetrIkaraRa	kṣetrīkaraṇa
3	nominal	lAlapy	lālapy
3	nominal	laddi	laddi
3	nominal	lavaRaka	lavaṇaka
3	nominal	lavaRayantra	lavaṇayantra
3	nominal	lelih	lelih
3	nominal	liptamUzA	liptamūṣā
3	nominal	mAkir	mākir
3	nominal	mUtraka	mūtraka
3	nominal	mUtravarga	mūtravarga
3	nominal	mUzAlepa	mūṣālepa
3	nominal	mUzAyantra	mūṣāyantra
3	nominal	maRikA	maṇikā
3	nominal	madanamaYjukA	madanamañjukā
3	nominal	mahAmokza	mahāmokṣa
3	nominal	mahApuwa	mahāpuṭa
3	nominal	marmfj	marmṛj
3	nominal	mfdupuwa	mṛdupuṭa
3	nominal	mfdvagni	mṛdvagni
3	nominal	mfdvastra	mṛdvastra
3	nominal	mfllavaRa	mṛllavaṇa
3	nominal	mftasUta	mṛtasūta
3	nominal	mitrapaYcaka	mitrapañcaka
3	nominal	nAdabindu	nādabindu
3	nominal	nAgABra	nāgābhra
3	nominal	nAnad	nānad
3	nominal	nIcatara	nīcatara
3	nominal	nIrakaRA	nīrakaṇā
3	nominal	nakir	nakir
3	nominal	nalinikA	nalinikā
3	nominal	netratraya	netratraya
3	nominal	niDyA	nidhyā
3	nominal	niHzyanda	niḥṣyanda
3	nominal	niScandra	niścandra
3	nominal	niScandrika	niścandrika
3	nominal	nidrAnASa	nidrānāśa
3	nominal	nimbuka	nimbuka
3	nominal	nirBAra	nirbhāra
3	nominal	nirdala	nirdala
3	nominal	nirguRqikA	nirguṇḍikā
3	nominal	nirvazawkAra	nirvaṣaṭkāra
3	nominal	nistaraNga	nistaraṅga
3	nominal	nistfRa	nistṛṇa
3	nominal	nizkaka	niṣkaka
3	nominal	nonAv	nonāv
3	nominal	nyAYc	nyāñc
3	nominal	nyagroDAdi	nyagrodhādi
3	nominal	pAtAlayantraka	pātālayantraka
3	nominal	pAtanAyantra	pātanāyantra
3	nominal	pAtanayantra	pātanayantra
3	nominal	pAtanayantraka	pātanayantraka
3	nominal	pAzARagErika	pāṣāṇagairika
3	nominal	pUjyatama	pūjyatama
3	nominal	pUpA	pūpā
3	nominal	pUrvakatva	pūrvakatva
3	nominal	paTyatama	pathyatama
3	nominal	paYcamAhiza	pañcamāhiṣa
3	nominal	padmadevikA	padmadevikā
3	nominal	pakvabIja	pakvabīja
3	nominal	pakvamUzA	pakvamūṣā
3	nominal	pakzacCeda	pakṣaccheda
3	nominal	pakzacCinna	pakṣacchinna
3	nominal	parAparA	parāparā
3	nominal	parAtparatara	parātparatara
3	nominal	parIvf	parīvṛ
3	nominal	parameSAnI	parameśānī
3	nominal	parameSAna	parameśāna
3	nominal	pariRAmanA	pariṇāmanā
3	nominal	parimlA	parimlā
3	nominal	parinirmA	parinirmā
3	nominal	parinirvf	parinirvṛ
3	nominal	parpawikA	parpaṭikā
3	nominal	paryApad	paryāpad
3	nominal	paryavanah	paryavanah
3	nominal	pawupaYcaka	paṭupañcaka
3	nominal	pewArI	peṭārī
3	nominal	pippalyAdi	pippalyādi
3	nominal	pitfsTAlI	pitṛsthālī
3	nominal	piwikA	piṭikā
3	nominal	powalI	poṭalī
3	nominal	prAgukta	prāgukta
3	nominal	praDyA	pradhyā
3	nominal	pracCA	pracchā
3	nominal	prajYAparADa	prajñāparādha
3	nominal	prakASamUzA	prakāśamūṣā
3	nominal	pranaptfkA	pranaptṛkā
3	nominal	prapOtfkA	prapautṛkā
3	nominal	pratiniyam	pratiniyam
3	nominal	pratiprasramB	pratiprasrambh
3	nominal	pratisaMyuj	pratisaṃyuj
3	nominal	prativiSiz	prativiśiṣ
3	nominal	prativiSizwatara	prativiśiṣṭatara
3	nominal	pratyekaSaH	pratyekaśaḥ
3	nominal	pratyutpad	pratyutpad
3	nominal	pravinyas	pravinyas
3	nominal	proJ	projh
3	nominal	puMvajra	puṃvajra
3	nominal	puNKA	puṅkhā
3	nominal	puRyatama	puṇyatama
3	nominal	puratraya	puratraya
3	nominal	rAjAvartaka	rājāvartaka
3	nominal	rAjahasta	rājahasta
3	nominal	rUkman	rūkman
3	nominal	rUpaRikA	rūpaṇikā
3	nominal	raktagaRa	raktagaṇa
3	nominal	rasANkuSI	rasāṅkuśī
3	nominal	rasANkuSa	rasāṅkuśa
3	nominal	rasaBErava	rasabhairava
3	nominal	rasaliNga	rasaliṅga
3	nominal	rorUy	rorūy
3	nominal	roro	roro
3	nominal	sADikAra	sādhikāra
3	nominal	sAlasArAdi	sālasārādi
3	nominal	sAmAnyena	sāmānyena
3	nominal	sAnudAsa	sānudāsa
3	nominal	sAraRAtEla	sāraṇātaila
3	nominal	sAraRAyantra	sāraṇāyantra
3	nominal	sAtama	sātama
3	nominal	sEryaka	sairyaka
3	nominal	sUkzmaka	sūkṣmaka
3	nominal	sUtarAja	sūtarāja
3	nominal	sUtavara	sūtavara
3	nominal	sUtendra	sūtendra
3	nominal	saMSA	saṃśā
3	nominal	saMkalI	saṃkalī
3	nominal	saMmuKIBAva	saṃmukhībhāva
3	nominal	saMnirmA	saṃnirmā
3	nominal	saMpAtavat	saṃpātavat
3	nominal	saMpradIp	saṃpradīp
3	nominal	saMtulya	saṃtulya
3	nominal	sahAnuga	sahānuga
3	nominal	sahajanyI	sahajanyī
3	nominal	samADU	samādhū
3	nominal	samanvAhf	samanvāhṛ
3	nominal	samparizvaj	sampariṣvaj
3	nominal	sampracC	sampracch
3	nominal	samprakAs	samprakās
3	nominal	samudAnI	samudānī
3	nominal	samudBram	samudbhram
3	nominal	samudDan	samuddhan
3	nominal	samudradinnA	samudradinnā
3	nominal	samupASri	samupāśri
3	nominal	samupaspfs	samupaspṛs
3	nominal	saptAhva	saptāhva
3	nominal	satikta	satikta
3	nominal	sfzwitraya	sṛṣṭitraya
3	nominal	sikatayantra	sikatayantra
3	nominal	somAnala	somānala
3	nominal	sozRa	soṣṇa
3	nominal	sparSaveDa	sparśavedha
3	nominal	sparSaveDin	sparśavedhin
3	nominal	suKena	sukhena
3	nominal	sukumArikA	sukumārikā
3	nominal	sumanasyamAna	sumanasyamāna
3	nominal	suradAlI	suradālī
3	nominal	surasAdi	surasādi
3	nominal	suravanditA	suravanditā
3	nominal	svANgaSItala	svāṅgaśītala
3	nominal	svaBAvaSItala	svabhāvaśītala
3	nominal	svedanIyantra	svedanīyantra
3	nominal	tAlameGa	tālamegha
3	nominal	tAmragOrI	tāmragaurī
3	nominal	tArArizwa	tārāriṣṭa
3	nominal	taptaKalla	taptakhalla
3	nominal	taptaKalvaka	taptakhalvaka
3	nominal	tfROzaDI	tṛṇauṣadhī
3	nominal	trijagant	trijagant
3	nominal	trivfta	trivṛta
3	nominal	tryUza	tryūṣa
3	nominal	tuSabda	tuśabda
3	nominal	tulyaka	tulyaka
3	nominal	tuzRIBAva	tuṣṇībhāva
3	nominal	udDAta	uddhāta
3	nominal	udDUlita	uddhūlita
3	nominal	upahvA	upahvā
3	nominal	upanisA	upanisā
3	nominal	utpalAdi	utpalādi
3	nominal	uttaravAruRI	uttaravāruṇī
3	nominal	uzRIBU	uṣṇībhū
3	nominal	uzWa	uṣṭha
3	nominal	vAlukAyantraka	vālukāyantraka
3	nominal	vAritara	vāritara
3	nominal	vIRAdattaka	vīṇādattaka
3	nominal	vaNgABra	vaṅgābhra
3	nominal	vaNkanAla	vaṅkanāla
3	nominal	vahnimitrA	vahnimitrā
3	nominal	vajrABraka	vajrābhraka
3	nominal	vanotpala	vanotpala
3	nominal	varanAga	varanāga
3	nominal	vastramfd	vastramṛd
3	nominal	vastramftsnA	vastramṛtsnā
3	nominal	vastramfttikA	vastramṛttikā
3	nominal	vfdDadAruka	vṛddhadāruka
3	nominal	viSvAci	viśvāci
3	nominal	viSvila	viśvila
3	nominal	vicCardi	vicchardi
3	nominal	vicikits	vicikits
3	nominal	vidAriganDAdi	vidārigandhādi
3	nominal	vidAryAdi	vidāryādi
3	nominal	vihvA	vihvā
3	nominal	vijigIz	vijigīṣ
3	nominal	vijijiYAs	vijijiñās
3	nominal	vimaleSvara	vimaleśvara
3	nominal	viniHkzip	viniḥkṣip
3	nominal	vipravyaD	vipravyadh
3	nominal	vistaraSaH	vistaraśaḥ
3	nominal	vuY	vuñ
3	nominal	vyAptf	vyāptṛ
3	nominal	waNkaRaka	ṭaṅkaṇaka
3	nominal	yaTABUta	yathābhūta
3	nominal	yaTecCaka	yathecchaka
3	nominal	yaY	yañ
3	nominal	yajYagupta	yajñagupta
3	nominal	yavaciYcA	yavaciñcā
3	nominal	yavaciYcikA	yavaciñcikā
3	nominal	yodDu	yoddhu
3	nominal	zoqaSaguRa	ṣoḍaśaguṇa
3	nominal	zowa	ṣoṭa
3	prefixed-verb?	ADam	ādham
3	verb-deriv	ADmApay	ādhmāpay
3	verb-deriv	ADyAyay	ādhyāyay
3	verb-deriv	ASay	āśay
3	verb-deriv	ASrAvay	āśrāvay
3	verb-deriv	AcAmay	ācāmay
3	verb-deriv	AdIpay	ādīpay
3	verb-deriv	AdeSay	ādeśay
3	verb-deriv	Agamay	āgamay
3	verb-deriv	AjYapay	ājñapay
3	verb-deriv	AkAray	ākāray
3	verb-deriv	Akalay	ākalay
3	verb-deriv	Akampay	ākampay
3	verb-deriv	Akarzay	ākarṣay
3	verb-deriv	AkuYcay	ākuñcay
3	verb-deriv	Alakzay	ālakṣay
3	verb-deriv	Alepay	ālepay
3	verb-deriv	Alocay	ālocay
3	verb-deriv	Aloqay	āloḍay
3	verb-deriv	AmIlay	āmīlay
3	verb-deriv	AnAyay	ānāyay
3	verb-deriv	Ananday	ānanday
3	verb-deriv	ApAday	āpāday
3	verb-deriv	ApIqay	āpīḍay
3	verb-deriv	AplAvay	āplāvay
3	verb-deriv	ApoTay	āpothay
3	verb-deriv	Arocay	ārocay
3	verb-deriv	Arohay	ārohay
3	verb-deriv	AsPAlay	āsphālay
3	verb-deriv	AsPoway	āsphoṭay
3	verb-deriv	AsTApay	āsthāpay
3	verb-deriv	AsrAvay	āsrāvay
3	verb-deriv	AsvAday	āsvāday
3	prefixed-verb?	Atf	ātṛ
3	verb-deriv	AvApay	āvāpay
3	verb-deriv	AvAray	āvāray
3	verb-deriv	AvAsay	āvāsay
3	verb-deriv	Avarjay	āvarjay
3	verb-deriv	AveSay	āveśay
3	verb-deriv	Aveday	āveday
3	verb-deriv	Avezway	āveṣṭay
3	verb?	Aviras	āviras
3	verb?	AvivAs	āvivās
3	verb-deriv	AyAsay	āyāsay
3	verb-deriv	AyAtay	āyātay
3	verb-deriv	BAjay	bhājay
3	verb-deriv	BAsay	bhāsay
3	verb-deriv	Barjay	bharjay
3	verb-deriv	Bartsay	bhartsay
3	verb-deriv	Basmay	bhasmay
3	verb-deriv	Beday	bheday
3	indecl?	Boktu	bhoktu
3	verb-deriv	BraMSay	bhraṃśay
3	verb-deriv	Bramay	bhramay
3	verb-deriv	Canday	chanday
3	verb-deriv	Carday	charday
3	verb-deriv	Ceday	cheday
3	verb-deriv	Coray	choray
3	verb-deriv	DAmay	dhāmay
3	verb-deriv	DAvay	dhāvay
3	verb-deriv	Damay	dhamay
3	verb-deriv	Darzay	dharṣay
3	verb-deriv	DmApay	dhmāpay
3	verb-deriv	DvaMsay	dhvaṃsay
3	bija/letter	EM	aiṃ
3	bija/letter	Em	aim
3	verb-deriv	Garzay	gharṣay
3	verb-deriv	Gaway	ghaṭay
3	verb-deriv	Gawway	ghaṭṭay
3	verb-deriv	Gozay	ghoṣay
3	verb-deriv	Ikzay	īkṣay
3	verb-deriv	KAday	khāday
3	verb-deriv	KAnay	khānay
3	verb-deriv	Keday	kheday
3	verb-deriv	KyApay	khyāpay
3	bija/letter	N	ṅ
3	verb-deriv	QAlay	ḍhālay
3	bija/letter	R	ṇ
3	bija/letter	S	ś
3	verb-deriv	SAmay	śāmay
3	verb-deriv	SApay	śāpay
3	verb-deriv	SAtay	śātay
3	verb-deriv	SAyay	śāyay
