hint	n_shared_dicts	fem_slp1	fem_iast	fem_gloss_MW	masc_slp1	masc_iast	masc_gloss_MW	ending
likely-distinct	3	vijfmBA	vijṛmbhā	yawning	vijfmBa	vijṛmbha	bending or knitting (the brows	ā
likely-distinct	3	vipaRI	vipaṇī	(not in MW)	vipaRin	vipaṇin	a trader, shopkeeper, merchant	ī
likely-distinct	3	vipaYcikA	vipañcikā	= next	vipaYcika	vipañcika	197542973,2vipaYcikavi-paYcika2 {{Lbody=197541}}	ā
likely-distinct	3	viraTyA	virathyā	a bad road or a by-road	viraTya	virathya	‘delighting in by-roads (?)’, N. of Śiva	ā
likely-distinct	3	vyazwakA	vyaṣṭakā	the first day in the dark half of a month	vyazwaka	vyaṣṭaka	black mustard	ā
likely-distinct	3	yamadaMzwrA	yamadaṃṣṭrā	Y˚'s tooth (˚wrAntaraM gataH, one who has fallen into the jaws of Y˚ or Death	yamadaMzwra	yamadaṃṣṭra	N. of an Asura	ā
likely-distinct	2	AruRI	āruṇī	a reddish mare [	AruRin	āruṇin	N. of a school derived from Vaiśampāyana Āruṇi	ī
likely-distinct	2	BARqikA	bhāṇḍikā	an implement, tool	BARqika	bhāṇḍika	a barber	ā
likely-distinct	2	BaRqI	bhaṇḍī	See below	BaRqin	bhaṇḍin	148223745,3BaRqinBaRqin3 BaR˚qin w.r. for ˚qi.	ī
likely-distinct	2	BadrikA	bhadrikā	an amulet	Badrika	bhadrika	N. of a prince of the Śākyas	ā
likely-distinct	2	GuwikA	ghuṭikā	id.	Guwika	ghuṭika	id.	ā
likely-distinct	2	KaraSAlA	kharaśālā	a donkey-stable	KaraSAla	kharaśāla	produced in a donkey-stall	ā
likely-distinct	2	SArNgI	śārṅgī	the female of the bird Śārṅga	SArNgin	śārṅgin	‘bowman, archer’, N. of Viṣṇu-Kṛṣṇa	ī
likely-distinct	2	SIrI	śīrī	218550.11078,3SIrISIrI1 {{Lbody=218550}}	SIrin	śīrin	a kind of Kuśa grass	ī
likely-distinct	2	SaRqikA	śaṇḍikā	= yudDa (in the language of the Draviḍas	SaRqika	śaṇḍika	a descendant of Śaṇḍa	ā
likely-distinct	2	SaraBA	śarabhā	a girl with withered limbs and therefore unfit for marriage	SaraBa	śarabha	a kind of deer or (in later times) a fabulous animal (supposed to have eight legs and to i	ā
likely-distinct	2	SatabalA	śatabalā	N. of a river	Satabala	śatabala	N. of a monkey	ā
likely-distinct	2	SiprA	śiprā	the cheeks	Sipra	śipra	See sipra	ā
likely-distinct	2	SuRqI	śuṇḍī	the swelling or enlargement of any gland (cf. kaRWa, and gala-S˚	SuRqin	śuṇḍin	‘possessing spirituous liquor’, a distiller, preparer or seller of spirituous liquors (con	ī
likely-distinct	2	aBinandA	abhinandā	delight	aBinanda	abhinanda	the delight, pleasure (of sensuality	ā
likely-distinct	2	agnijvAlA	agnijvālā	flame of fire	agnijvAla	agnijvāla	N. of Śiva	ā
likely-distinct	2	apsarA	apsarā	(not in MW)	apsara	apsara	(not in MW)	ā
likely-distinct	2	arDapAdA	ardhapādā	the plant Phyllanthus Niruri	arDapAda	ardhapāda	half the fourth part	ā
likely-distinct	2	asiDArA	asidhārā	the blade of a sword	asiDAra	asidhāra	(not in MW)	ā
likely-distinct	2	atrI	atrī	(not in MW)	atrin	atrin	a devourer, demon	ī
likely-distinct	2	atyASA	atyāśā	extravagant hope.	atyASa	atyāśa	(not in MW)	ā
likely-distinct	2	avakA	avakā	id.	avaka	avaka	a grassy plant growing in marshy land (Blyxa Octandra Rich., otherwise called Śaivāla	ā
likely-distinct	2	avaroDikA	avarodhikā	a female of the inner apartments	avaroDika	avarodhika	a guard of the queen's apartments	ā
likely-distinct	2	azWIlA	aṣṭhīlā	id.	azWIla	aṣṭhīla	n.	ā
likely-distinct	2	cAmarikA	cāmarikā	a cluster	cAmarika	cāmarika	= ˚ra-grAha	ā
likely-distinct	2	cArikA	cārikā	‘a female attendant’, see antaHpura-	cArika	cārika	73108393,2cArikacArika2 cArika See brahma-, mAsa-	ā
likely-distinct	2	devakulikA	devakulikā	a small t˚, chapel	devakulika	devakulika	attendant on a t˚	ā
likely-distinct	2	devapraBA	devaprabhā	of the daughter of a Siddha	devapraBa	devaprabha	‘having divine splendour’, N. of a Gandharva	ā
likely-distinct	2	dyotA	dyotā	a squinting or a red-eyed or a red-haired woman	dyota	dyota	light, brilliance (cf. Ka-, cintya-, naKa-	ā
likely-distinct	2	gArgikA	gārgikā	descent from Garga, v, 1, 134	gArgika	gārgika	contemptuous metron. fr. gArgI	ā
likely-distinct	2	guptikA	guptikā	depth (of voice	guptika	guptika	N. of a man	ā
likely-distinct	2	halakA	halakā	g. prekzAdi.	halaka	halaka	N. of a man	ā
likely-distinct	2	indravaMSA	indravaṃśā	a metre of four lines (each of which contains twelve syllables).	indravaMSa	indravaṃśa	(not in MW)	ā
likely-distinct	2	indukA	indukā	N. of a river	induka	induka	N. of a plant = aSmantaka	ā
likely-distinct	2	jIvantikA	jīvantikā	a parasitical plant	jIvantika	jīvantika	= jIvAntaka	ā
likely-distinct	2	kOSalyA	kauśalyā	See kOsalya.	kOSalya	kauśalya	a kind of pavilion	ā
likely-distinct	2	kOSikI	kauśikī	N. of a goddess sprung from the body of Pārvatī	kOSikin	kauśikin	the pupils of Kauśika	ī
likely-distinct	2	kOzItakI	kauṣītakī	patr. of Agastya's wife	kOzItakin	kauṣītakin	‘the pupils of ˚ka’, N. of a school	ī
likely-distinct	2	kURikA	kūṇikā	the horn of any animal	kURika	kūṇika	N. of a prince of Campā	ā
likely-distinct	2	kUbarI	kūbarī	id.	kUbarin	kūbarin	a carriage	ī
likely-distinct	2	kaTA	kathā	conversation, speech, talking together	kaTa	katha	(not in MW)	ā
likely-distinct	2	kadalI	kadalī	the plantain tree	kadalin	kadalin	a kind of antelope	ī
likely-distinct	2	kadalIgarBA	kadalīgarbhā	N. of a daughter of Maṅkaṇaka	kadalIgarBa	kadalīgarbha	the pith of the plantain tree	ā
likely-distinct	2	karaBI	karabhī	a she-camel	karaBin	karabhin	‘having a trunk’, an elephant	ī
likely-distinct	2	karikA	karikā	a wound caused by a finger-nail	karika	karika	ifc. (= karin) an elephant	ā
likely-distinct	2	kfzRatArA	kṛṣṇatārā	the black of the eye	kfzRatAra	kṛṣṇatāra	‘black-eyed’, an antelope	ā
likely-distinct	2	kfzikA	kṛṣikā	cultivation of the soil	kfzika	kṛṣika		ā
likely-distinct	2	kiSarA	kiśarā	g. maDv-Adi.	kiSara	kiśara	a fragrant article for sale	ā
likely-distinct	2	koSAtakI	kośātakī	N. of a plant and of its fruit (Trichosanthes dioeca, or Luffa acutangula, or Luffa pentan	koSAtakin	kośātakin	trade, business	ī
likely-distinct	2	kundA	kundā	(not in MW)	kunda	kunda		ā
likely-distinct	2	kzatrI	kṣatrī	a woman of the second caste	kzatrin	kṣatrin	a man of the second caste	ī
likely-distinct	2	lambikA	lambikā	the uvula or soft palate (cf. lambikA-kokilA).	lambika	lambika	the Indian cuckoo	ā
likely-distinct	2	lipikA	lipikā	lipi, a writing, written paper	lipika	lipika	a scribe, clerk	ā
likely-distinct	2	mAhizikA	māhiṣikā	(not in MW)	mAhizika	māhiṣika	prec. sg.	ā
likely-distinct	2	madanaleKA	madanalekhā	id.	madanaleKa	madanalekha	a love letter	ā
likely-distinct	2	mahAdvArA	mahādvārā	having a large vagina	mahAdvAra	mahādvāra	n. a principal door or gate	ā
likely-distinct	2	makarI	makarī	the female of the sea-monster M˚	makarin	makarin	‘full of Makaras’, the sea	ī
likely-distinct	2	mowA	moṭā	Sida Cordifolia	mowa	moṭa	or n. a bundle (= Hindī moṭh	ā
likely-distinct	2	pASikA	pāśikā	a strap of leather on a plough	pASika	pāśika	one who snares animals, a bird-catcher	ā
likely-distinct	2	paTI	pathī	115154582,3paTIpaTI2 paTI See A-paTI.	paTin	pathin	pa/nTAnam [pa/nTAm	ī
likely-distinct	2	pitfgaRA	pitṛgaṇā	N. of Durgā (?	pitfgaRa	pitṛgaṇa	a group or class of P˚s	ā
