lemma_slp1	root_slp1	how
AstAray	stAray	suffix
Astf	stf	suffix
Astu	stu	suffix
AstuB	stuB	suffix
AstyE	styE	suffix
Asu	su	suffix
AsvAday	svAday	suffix
Asvad	svad	suffix
Asvid	svid	suffix
Asyand	syand	suffix
AtApay	tApay	suffix
AtAqay	tAqay	suffix
AtAray	AtAray	self
AtaYc	taYc	suffix
Atakz	takz	suffix
Atam	tam	suffix
Atan	tan	suffix
Atap	tap	suffix
Atarjay	tarjay	suffix
Atf	tf	suffix
Atfd	tfd	suffix
Atfp	tfp	suffix
AtmIBU	BU	suffix
AtmIkf	kf	suffix
Atolay	tolay	suffix
Atud	tud	suffix
Atuj	tuj	suffix
AvA	vA	suffix
AvAhay	vAhay	suffix
AvApay	vApay	suffix
AvAray	vAray	suffix
AvAsay	vAsay	suffix
AvI	vI	suffix
AvIjay	vIjay	suffix
AvaD	vaD	suffix
AvaYc	vaYc	suffix
Avac	vac	suffix
Avad	vad	suffix
Avah	vah	suffix
Avalg	valg	suffix
Avan	van	suffix
Avand	vand	suffix
Avap	vap	suffix
AvaraRIkf	AvaraRIkf	self
Avaray	varay	suffix
Avarjay	varjay	suffix
Avartay	vartay	suffix
Avarvft	varvft	suffix
Avas	vas	suffix
Avay	Avay	self
Ave	ve	suffix
AveSay	veSay	suffix
Aveday	veday	suffix
Avejay	vejay	suffix
Avekz	Avekz	unresolved
Avezw	vezw	suffix
Avezway	vezway	suffix
Avf	vf	suffix
AvfD	vfD	suffix
Avfh	vfh	suffix
Avfj	vfj	suffix
Avft	vft	suffix
Avfz	vfz	suffix
AvfzAy	vfzAy	suffix
AviBA	BA	suffix
AviS	viS	suffix
Avid	vid	suffix
Avihan	han	suffix
Avij	vij	suffix
Avilay	Avilay	self
AvirBAvay	BAvay	suffix
AvirBU	BU	suffix
AvirDA	DA	suffix
Aviras	ras	suffix
AvirbuBUz	AvirbuBUz	self
Avitan	tan	suffix
AvivAs	vivAs	suffix
Avizkf	kf	suffix
Avizw	vizw	suffix
AvraSc	vraSc	suffix
Avraj	vraj	suffix
AvyaD	vyaD	suffix
Avye	vye	suffix
AwIk	wIk	suffix
Away	Away	self
AyA	yA	suffix
AyAc	yAc	suffix
AyAmay	yAmay	suffix
AyApay	AyApay	self
AyAsay	yAsay	suffix
AyAtay	yAtay	suffix
Ayaj	yaj	suffix
Ayam	yam	suffix
Ayas	yas	suffix
Ayat	yat	suffix
Ayay	Ayay	self
AyoDay	yoDay	suffix
Ayojay	yojay	suffix
Ayu	yu	suffix
AyuD	yuD	suffix
Ayuj	yuj	suffix
BA	BA	self
BAgIkf	kf	suffix
BAjanIBU	BU	suffix
BAjanIkf	kf	suffix
BAjay	BAjay	self
BApay	BApay	self
BArAy	BArAy	self
BAray	BAray	self
BAs	BAs	self
BAsay	BAsay	self
BAskf	kf	suffix
BAvay	BAvay	self
BAway	BAway	self
BAyay	BAyay	self
BAz	BAz	self
BAzay	BAzay	self
BEravAy	BEravAy	self
BEravIBU	BU	suffix
BI	BI	self
BIzay	BIzay	self
BU	BU	self
BUtIBU	BU	suffix
BUz	BUz	self
BUzaRIkf	BUzaRIkf	self
BUzay	BUzay	self
BaNguray	BaNguray	self
BaR	BaR	self
BaRqay	BaRqay	self
BaYj	BaYj	self
BaYjay	BaYjay	self
BadrAkf	kf	suffix
BagnapfzWIBU	BU	suffix
BagnapfzWIkf	kf	suffix
Baj	Baj	self
Bajay	Bajay	self
Bakz	Bakz	self
BakzaMkf	BakzaMkf	self
Bakzay	Bakzay	self
Ban	Ban	self
Band	Band	self
BandanAy	BandanAy	self
BarBarABU	BU	suffix
Baray	Baray	self
BariBf	BariBf	self
Barjay	Barjay	self
Barts	Barts	self
BartsApay	BartsApay	self
Bartsay	Bartsay	self
Barv	Barv	self
Bas	Bas	self
Basm	Basm	self
BasmIBU	BU	suffix
BasmIkf	kf	suffix
BasmarASIkf	kf	suffix
BasmasAtkf	kf	suffix
Basmay	Basmay	self
Baz	Baz	self
Beday	Beday	self
Bez	Bez	self
Bf	Bf	self
BfNgAy	BfNgAy	self
BfSAy	BfSAy	self
Bfjj	Bfjj	self
BftyAy	BftyAy	self
Bid	Bid	self
Bikz	Bikz	self
Bikzay	Bikzay	self
Bizaj	Bizaj	self
Bizajy	Bizajy	self
Bizakkf	Bizakkf	self
Bojay	Bojay	self
BrASay	BrASay	self
BrAj	BrAj	self
BrAjay	BrAjay	self
BrAmay	BrAmay	self
BrI	BrI	self
BraMS	BraMS	self
BraMSay	BraMSay	self
Bram	Bram	self
Bramay	Bramay	self
Brez	Brez	self
Buj	Buj	self
Bur	Bur	self
BuraRy	BuraRy	self
Buraj	Buraj	self
Byas	Byas	self
CA	CA	self
CAday	CAday	self
CAyay	CAyay	self
CaRway	CaRway	self
Cad	Cad	self
Caday	Caday	self
Cal	Cal	self
Calay	Calay	self
Cambawkf	kf	suffix
Cand	Cand	self
CandAy	CandAy	self
Candaskf	kf	suffix
Canday	Canday	self
Carday	Carday	self
CatrAy	CatrAy	self
Ceday	Ceday	self
Cfd	Cfd	self
Cid	Cid	self
CidrIkf	kf	suffix
Cidray	Cidray	self
Coray	Coray	self
Cup	Cup	self
Cur	Cur	self
Curay	Curay	self
DA	DA	self
DAmay	DAmay	self
DApay	DApay	self
DAray	DAray	self
DAv	DAv	self
DAvay	DAvay	self
DI	DI	self
DIkz	DIkz	self
DIps	DIps	self
DIray	DIray	self
DU	DU	self
DUlay	DUlay	self
DUmAy	DUmAy	self
DUmay	DUmay	self
DUnay	DUnay	self
DUpAy	DUpAy	self
DUpay	DUpay	self
DUrRApay	DUrRApay	self
DUrv	DUrv	self
DUsarIBU	DUsarIBU	self
DUsarIkf	DUsarIkf	self
Dam	Dam	self
Damay	Damay	self
Dan	Dan	self
DanAy	DanAy	self
DanDAy	DanDAy	self
Danay	Danay	self
Danv	Danv	self
DanvIkf	kf	suffix
DarDf	DarDf	self
DarmIkf	kf	suffix
Darmay	Darmay	self
Darzay	Darzay	self
Dav	Dav	self
DavalIkf	kf	suffix
Davalay	Davalay	self
Df	Df	self
Dfz	Dfz	self
Di	Di	self
Dikkf	kf	suffix
Dits	Dits	self
DiyAy	DiyAy	self
DizaRy	DizaRy	self
DmApay	DmApay	self
Draj	Draj	self
Dukz	Dukz	self
Dukzay	Dukzay	self
Dunay	Dunay	self
DvAnay	DvAnay	self
DvaMs	DvaMs	self
DvaMsay	DvaMsay	self
DvajIkf	kf	suffix
Dvan	Dvan	self
Dvanay	Dvanay	self
Dvasay	Dvasay	self
Dvf	Dvf	self
DyA	DyA	self
DyAnIBU	BU	suffix
DyApay	DyApay	self
DyAyay	DyAyay	self
GAray	GAray	self
GAtay	GAtay	self
GAway	GAway	self
GUrR	GUrR	self
GUrRay	GUrRay	self
GaRway	GaRway	self
GanIBU	BU	suffix
GanIkf	kf	suffix
Gar	Gar	self
Garzay	Garzay	self
Gas	Gas	self
Gaw	Gaw	self
GawIkf	kf	suffix
Gaway	Gaway	self
Gaww	Gaww	self
Gawway	Gawway	self
Gf	Gf	self
GfRAy	GfRAy	self
Gfz	Gfz	self
GozApay	GozApay	self
Gozay	Gozay	self
GrA	GrA	self
GrApay	GrApay	self
GuraGurAy	GuraGurAy	self
Guz	Guz	self
I	I	self
IMkf	IMkf	self
INK	INK	self
INKay	INKay	self
INk	INk	self
INkay	INkay	self
IS	IS	self
Ih	Ih	self
Ihay	Ihay	self
Ij	Ij	self
Ikz	Ikz	self
Ikzay	Ikzay	self
Ips	Ips	self
Ipsay	Ipsay	self
Iq	Iq	self
Ir	Ir	self
Iray	Iray	self
Irts	Irts	self
Irzy	Irzy	self
Iz	Iz	self
JaRaJaRAy	JaRaJaRAy	self
KAd	KAd	self
KAday	KAday	self
KAnay	KAnay	self
KAtay	KAtay	self
KaRaKaRAy	KaRaKaRAy	self
KaRqIBU	BU	suffix
KaRqIkf	kf	suffix
KaRqay	KaRqay	self
KaYj	KaYj	self
Kac	Kac	self
Kaj	Kaj	self
Kal	Kal	self
KalIkf	kf	suffix
Kallay	Kallay	self
Kan	Kan	self
KanaKanAy	KanaKanAy	self
Kanay	Kanay	self
KarAy	KarAy	self
Karj	Karj	self
KawwAy	KawwAy	self
Keday	Keday	self
Kel	Kel	self
Kelay	Kelay	self
Kid	Kid	self
KilIBU	BU	suffix
KilIkf	kf	suffix
Koway	Koway	self
Kud	Kud	self
KuraKurAy	KuraKurAy	self
KuruKurAy	KuruKurAy	self
KyA	KyA	self
KyApay	KyApay	self
PARay	PARay	self
PAlay	PAlay	self
PUtkf	kf	suffix
PaR	PaR	self
Pal	Pal	self
PalAy	PalAy	self
PalIkf	kf	suffix
PenAy	PenAy	self
PenIBU	BU	suffix
Pull	Pull	self
Putkf	kf	suffix
QAlay	QAlay	self
QOk	QOk	self
QOkay	QOkay	self
Qakkay	Qakkay	self
SA	SA	self
SANkay	SANkay	self
SASvas	SASvas	self
SAmay	SAmay	self
SAntIBU	BU	suffix
SAntay	SAntay	self
SApay	SApay	self
SArIkf	SArIkf	self
SAs	SAs	self
SAsay	SAsay	self
SAtay	SAtay	self
SAyay	SAyay	self
SElIBU	BU	suffix
SElIkf	kf	suffix
SI	SI	self
SIkAy	SIkAy	self
SIlay	SIlay	self
SIrRay	SIrRay	self
SItIBU	BU	suffix
SItIkf	kf	suffix
SItalIBU	BU	suffix
SItalIkf	kf	suffix
SItalay	SItalay	self
SItay	SItay	self
SItkf	kf	suffix
SUdrIBU	BU	suffix
SUlAkf	kf	suffix
SUlAy	SUlAy	self
SUlay	SUlay	self
SUnyIBU	BU	suffix
SUnyIkf	kf	suffix
SUrIkf	SUrIkf	self
SaMs	SaMs	self
SaMsay	SaMsay	self
SaNKAy	SaNKAy	self
SaNk	SaNk	self
SaNkay	SaNkay	self
SabalIkf	SabalIkf	self
Sabalay	Sabalay	self
Sabd	Sabd	self
SabdApay	SabdApay	self
SabdAy	SabdAy	self
Sabday	Sabday	self
Sad	Sad	self
Sak	Sak	self
SakalIBU	BU	suffix
SakalIkf	kf	suffix
Sakalay	Sakalay	self
SakrAy	SakrAy	self
SakracApAy	SakracApAy	self
SakulIkf	kf	suffix
Salyay	Salyay	self
Sam	Sam	self
SamAy	SamAy	self
Samay	Samay	self
Sap	Sap	self
SapaTIy	SapaTIy	self
SarDay	SarDay	self
SaraRIkf	SaraRIkf	self
Sarmay	Sarmay	self
Sas	Sas	self
Sastray	Sastray	self
SataguRIBU	BU	suffix
SatrUy	SatrUy	self
Savalay	Savalay	self
Scam	Scam	self
Scotay	Scotay	self
Scut	Scut	self
SeKarIBU	BU	suffix
SeKarIkf	kf	suffix
SeKaray	SeKaray	self
SezIBU	BU	suffix
SezIkf	kf	suffix
Sezay	Sezay	self
Sf	Sf	self
SfD	SfD	self
SfNKalIBU	BU	suffix
SfNKalay	SfNKalay	self
SfNgAr	SfNgAr	self
SfNgAy	SfNgAy	self
SiKAy	SiKAy	self
SiKIkf	kf	suffix
SiSayiz	SiSayiz	self
SiSirIkf	kf	suffix
SiSiray	SiSiray	self
SiTilAy	SiTilAy	self
SiTilIBU	BU	suffix
SiTilIkf	kf	suffix
SiTilay	SiTilay	self
SiYj	SiYj	self
Sikz	Sikz	self
SikzApay	SikzApay	self
Sikzay	Sikzay	self
Sim	Sim	self
SivIBU	BU	suffix
SivIkf	kf	suffix
SivamayIkf	kf	suffix
Siz	Siz	self
SizyIkf	kf	suffix
SlAG	SlAG	self
SlAGay	SlAGay	self
SlaT	SlaT	self
SlaTAy	SlaTAy	self
SlaTIkf	kf	suffix
SlaTay	SlaTay	self
SlakzRIkf	kf	suffix
SlakzRay	SlakzRay	self
Slezay	Slezay	self
Sliz	Sliz	self
Slokay	Slokay	self
SnaT	SnaT	self
SnaTay	SnaTay	self
SoBay	SoBay	self
SoDApay	SoDApay	self
SoDay	SoDay	self
SoRIBU	BU	suffix
SoSuB	SoSuB	self
SoSuc	SoSuc	self
Socay	Socay	self
Sozay	Sozay	self
SrARay	SrARay	self
SrAmay	SrAmay	self
SrApay	SrApay	self
SrAvay	SrAvay	self
SrI	SrI	self
SrIvay	SrIvay	self
SraT	SraT	self
SraTAy	SraTAy	self
SraTary	SraTary	self
SraTay	SraTay	self
SradDA	DA	suffix
Sram	Sram	self
SramB	SramB	self
SramBay	SramBay	self
Sramay	Sramay	self
Srapay	Srapay	self
Sravasy	Sravasy	self
Sravay	Sravay	self
Sri	Sri	self
Sriz	Sriz	self
Sru	Sru	self
Sruz	Sruz	self
SuB	SuB	self
SuBAy	SuBAy	self
SuBay	SuBay	self
SuBray	SuBray	self
SuD	SuD	self
SuR	SuR	self
SuSrUz	SuSrUz	self
SuSuB	SuSuB	self
Suc	Suc	self
SudDIkf	kf	suffix
Suj	Suj	self
SukIBU	BU	suffix
SuklIBU	BU	suffix
SukrIBU	BU	suffix
Sulkay	Sulkay	self
SunDay	SunDay	self
Suz	Suz	self
SuzkAy	SuzkAy	self
SuzkIBU	BU	suffix
SuzkIkf	kf	suffix
SvAsay	SvAsay	self
SvAyay	SvAyay	self
SvaYc	SvaYc	self
SvaYcay	SvaYcay	self
Svas	Svas	self
Svasay	Svasay	self
SvetAy	SvetAy	self
SvetIBU	BU	suffix
SvetIkf	kf	suffix
SvetadvIpAy	SvetadvIpAy	self
Svi	Svi	self
Svit	Svit	self
SyA	SyA	self
SyAmAy	SyAmAy	self
SyAmIBU	BU	suffix
SyAmIkf	kf	suffix
SyAnay	SyAnay	self
SyAvIBU	BU	suffix
SyetIkf	SyetIkf	self
UNK	UNK	self
UNKay	UNKay	self
Uh	Uh	self
Uhay	Uhay	self
UnIkf	kf	suffix
Unay	Unay	self
UrDvIBU	BU	suffix
UrDvIkf	kf	suffix
UrIkf	kf	suffix
Urjay	Urjay	self
UzmAy	UzmAy	self
aBI	BI	suffix
aBIkz	Ikz	suffix
aBInD	aBInD	unresolved
aBIps	Ips	suffix
aBIray	Iray	suffix
aBIz	Iz	suffix
aBavastf	stf	suffix
aBiBA	BA	suffix
aBiBAz	BAz	suffix
aBiBU	BU	suffix
aBiBUz	BUz	suffix
aBiBUzay	BUzay	suffix
aBiBaYj	BaYj	suffix
aBiBaj	Baj	suffix
aBiBarts	Barts	suffix
aBiBf	Bf	suffix
aBiBuj	Buj	suffix
aBiDA	DA	suffix
aBiDApay	DApay	suffix
aBiDAray	DAray	suffix
aBiDAv	DAv	suffix
aBiDI	DI	suffix
aBiDU	DU	suffix
aBiDam	Dam	suffix
aBiDanv	Danv	suffix
aBiDarzay	Darzay	suffix
aBiDeyIkf	kf	suffix
aBiDf	Df	suffix
aBiDfz	Dfz	suffix
aBiDi	Di	suffix
aBiDits	Dits	suffix
aBiDvaMs	DvaMs	suffix
aBiDvaMsay	DvaMsay	suffix
aBiDvan	Dvan	suffix
aBiDyE	aBiDyE	unresolved
aBiGAray	GAray	suffix
aBiGAtay	GAtay	suffix
aBiGf	Gf	suffix
aBiGrA	GrA	suffix
aBiGuz	Guz	suffix
aBiKan	Kan	suffix
aBiKyA	KyA	suffix
aBiKyApay	KyApay	suffix
aBiSApay	SApay	suffix
aBiSAs	SAs	suffix
aBiSI	SI	suffix
aBiSaMs	SaMs	suffix
aBiSaNk	SaNk	suffix
aBiSabday	Sabday	suffix
aBiSam	Sam	suffix
aBiSap	Sap	suffix
aBiScotay	Scotay	suffix
aBiSikzay	Sikzay	suffix
aBiSnaT	SnaT	suffix
aBiSoBay	SoBay	suffix
aBiSoDay	SoDay	suffix
aBiSocay	Socay	suffix
aBiSrAvay	SrAvay	suffix
aBiSrI	SrI	suffix
aBiSradDA	DA	suffix
aBiSram	Sram	suffix
aBiSri	Sri	suffix
aBiSriz	aBiSriz	self
aBiSru	Sru	suffix
aBiSuB	SuB	suffix
aBiSuc	Suc	suffix
aBiSvas	Svas	suffix
aBibAD	bAD	suffix
aBibanD	banD	suffix
aBicAkaS	cAkaS	suffix
aBicAray	aBicAray	self
aBicCAday	CAday	suffix
aBicCad	Cad	suffix
aBicakz	cakz	suffix
aBicar	car	suffix
aBici	aBici	self
aBicihnay	cihnay	suffix
aBicintay	cintay	suffix
aBicoday	coday	suffix
aBicumb	cumb	suffix
aBicyu	cyu	suffix
aBidA	dA	suffix
aBidAhay	aBidAhay	self
aBidApay	dApay	suffix
aBidAray	dAray	suffix
aBidAs	dAs	suffix
aBidIkz	dIkz	suffix
aBidIp	dIp	suffix
aBidIpay	dIpay	suffix
