form_slp1	lemma_slp1	pos	n_entries
Ahftim	Ahf	noun	4
AhitalakzaRa	AhitalakzaRa	noun	2
Ahitavat	Ahi	noun	6
AhotA	Ahu	noun	2
Ahu	AhU	noun	5
AhvAyayAmAsa	AhvAyi	verb	8
AhvayamAna	Ahve	noun	4
Ahvayana	Ahvayana	noun	2
Ahvayitavya	Ahvayitavya	noun	2
AjAnadeva	AjAnadeva	noun	2
AjAnaja	AjAnaja	noun	2
AjAnubAhu	AjAnubAhu	noun	3
AjAta	Ajan	noun	2
AjAvas	Aaj	verb	1
AjAyamAnam	Ajan	noun	9
AjI	AjIvi	noun	12
AjIvA	AjIv	noun	7
AjIvika	AjIvika	noun	2
AjYAcakra	AjYAcakra	noun	2
AjYApayantI	AjYApi	noun	4
AjYApayanta	AjYApi	verb	1
AjYAyi	AjYA	noun	3
AjYapti	AjYapti	noun	3
Ajagara	AgF	verb	2
Ajagava	Ajagava	noun	2
Ajanana	Ajan	noun	2
Ajayat	Aji	noun	3
AjiGrat	AGrA	noun	3
AjihIrzu	AjihIrza	noun	6
Ajikft	Ajikft	noun	7
Ajipati	Ajipati	noun	3
Ajire	Ajiri	noun	2
Ajituram	Ajitur	noun	2
AjyAhuti	AjyAhuti	noun	3
Ajyalepa	Ajyalepa	noun	2
Ajyapa	Ajyapa	noun	4
AkANkza	AkANkz	noun	8
AkANkzamARa	AkANkz	noun	2
AkASAtmA	AkASAtman	noun	3
AkASAtman	AkASAtman	noun	3
AkASacArin	AkASacArin	noun	4
AkASadeSam	AkASadeSa	noun	3
AkASagAni	AkASaga	noun	6
AkASaga	AkASaga	noun	4
AkASagam	AkASaga	noun	6
AkASagata	AkASagata	noun	2
AkASamaya	AkASamaya	noun	2
AkASasTa	AkASasTa	noun	2
AkASavat	AkASavat	noun	3
AkAlikI	AkAlikI	noun	8
AkAma	ak	verb	1
AkAraRIya	AkAri	noun	4
AkArayantI	AkAri	noun	8
AkArayitum	AkAri	ind	2
AkArita	AkAri	noun	4
AkAryam	AkAri	noun	6
AkAyya	AkAyya	noun	2
AkIryamARam	AkF	noun	3
Akampayanta	Akampi	verb	1
AkarRamukta	AkarRamukta	noun	2
Akarzat	Akfz	noun	3
Akarzatu	Akfz	verb	1
AkarzetAm	Akfz	verb	1
AkfzyamARAni	Akfz	noun	6
AkiYcanya	AkiMcanya	noun	4
AkirantI	AkF	noun	4
AkrIqaBUmi	AkrIqaBUmi	noun	3
AkrIqanta	AkrIq	verb	1
AkrIqaparvata	AkrIqaparvata	noun	2
Akramasva	Akram	verb	1
AkrandamAna	Akrand	noun	2
Akrozwf	AkruS	noun	3
AkruSyamAna	AkruS	noun	2
AkulatayA	AkulatA	noun	2
AkulendriyA	Akulendriya	noun	1
Akulendriya	Akulendriya	noun	2
AkurvatI	Akf	noun	4
AkzAraya	AkzAri	verb	2
Akzepin	Akzip	noun	4
Akzip	Akzip	noun	14
AkzipantI	Akzip	noun	4
AkzipyamARa	Akzip	noun	6
Akzipyata	Akzip	verb	4
AlAbu	AlAbu	noun	3
AlApayizyaTa	AlAli	verb	3
AlamBanIya	AlaB	noun	2
AlambIputra	AlambIputra	noun	2
AlapantIm	Alap	noun	1
Alayat	Ali	noun	3
AleBAnAt	AlaB	noun	2
AleKyA	AliK	noun	1
AleKyaSeza	AleKyaSeza	noun	2
AleKyasamarpita	AleKyasamarpita	noun	2
AliKantI	AliK	noun	4
AliNgitAyAm	AliNgita	noun	2
Alipyata	Alip	verb	1
Alita	Ali	noun	2
Alok	Alok	noun	7
AlokamArga	AlokamArga	noun	2
AlokapaTAt	AlokapaTa	noun	2
AlokayAma	Aloki	verb	2
Alokayanta	Aloki	verb	1
AlokayatAm	Aloki	verb	3
Alokayeta	Aloki	verb	2
Alokayizyan	Aloki	noun	2
AlokyA	Alok	noun	1
AmAtyA	AmAtya	noun	1
AmAtya	AmAtya	noun	2
AmIlana	AmIlana	noun	2
AmUrtarayasa	AmUrtarayasa	noun	2
AmaMsi	Aman	verb	2
Amanet	AmnA	verb	1
Amantrayan	Amantri	noun	2
Amanyata	Aman	verb	2
AmapAtra	AmapAtra	noun	2
AmaraRAntika	AmaraRAntika	noun	2
Amati	Aman	noun	3
Amayad	Ami	noun	9
Amayas	Ami	verb	3
Ambikeya	Ambikeya	noun	2
AmfSyate	AmfS	verb	1
Amfta	Amfta	noun	2
Amftena	Amfta	noun	2
Amfzyata	Amfz	verb	5
AmiSlatama	AmiSlatama	noun	2
Amitra	Amitra	noun	2
AmizatA	AmizatA	noun	3
AmlAna	AmlAna	noun	2
AmnAyasAriRIm	AmnAyasArin	noun	1
Amodin	Amud	noun	2
AmrAtakeSvara	AmrAtakeSvara	noun	2
AmuKa	AmuKa	noun	4
Amumoca	Amuc	verb	2
AnAdayan	AnAdi	noun	2
AnAdayat	AnAdi	noun	3
AnAkaraTavartman	AnAkaraTavartman	noun	3
AnAyin	AnI	noun	2
AnAyita	AnAyi	noun	2
AnI	AnI	noun	12
AnUka	AnUka	noun	2
Anadat	Anad	noun	3
Anam	Ani	noun	16
Anama	AnAmi	noun	8
Anamaya	AnAmi	verb	2
Aname	AnAmi	noun	39
AnandaGana	AnandaGana	noun	2
Anandaja	Anandaja	noun	6
Anandajam	Anandaja	noun	9
Anandamaya	Anandamaya	noun	4
AnandarUpA	AnandarUpa	noun	1
AnandarUpa	AnandarUpa	noun	2
AnandarUpam	AnandarUpa	noun	3
AnandatA	AnandatA	noun	3
AnandavarDana	AnandavarDana	noun	4
Anandayate	Anandi	noun	2
Anandayitavya	Anandi	noun	2
AnandayitrI	Anandi	noun	1
Anarda	Anard	noun	8
Anava	Anu	noun	8
AnayAYcakre	Ani	verb	12
Anayeya	Ani	verb	2
Anayitavya	Ani	noun	4
Anena	Ani	noun	8
AnfSaMsA	AnfSaMsa	noun	1
AnonavIti	Anonu	verb	1
AntAt	am	noun	2
Anta	am	noun	2
AntaHpurika	AntaHpurika	noun	4
AntarikzAt	Antarikza	noun	4
Antra	Antra	noun	2
AnuSAsanika	AnuSAsanika	noun	2
AnuSAsanikam	AnuSAsanika	noun	3
AnukUlyatas	AnukUlyatas	ind	1
Anulomya	Anulomya	noun	4
Anum	Anu	noun	2
AnusUya	AnusUya	noun	2
Anyam	an	noun	6
ApAdayanta	ApAdi	verb	1
ApAdyamAna	ApAdi	noun	2
ApAdyate	ApAdi	verb	2
ApAkAt	ApA	noun	2
ApAkesTa	ApAkesTa	noun	2
ApAntamanyu	ApAntamanyu	noun	3
ApAtayet	ApAti	verb	1
ApIqin	ApIqi	noun	4
ApUr	ApF	noun	14
ApUryamARapakza	ApUryamARapakza	noun	2
ApUryanta	ApF	verb	2
ApaSyam	AdfS	noun	3
ApaSyat	AdfS	noun	3
ApadDarma	ApadDarma	noun	2
Apadgata	Apadgata	noun	2
ApadyamAna	Apad	noun	6
Apaneya	Apaneya	noun	2
Apannasattva	ApannasattvA	noun	3
Apapra	ApF	verb	2
ApatanAt	Apat	noun	4
ApatantIm	Apat	noun	1
Apatatas	Apat	noun	5
ApatkAla	ApatkAla	noun	2
Apatkalpa	Apatkalpa	noun	2
ApayA	Ap	noun	6
Apekzikatva	Apekzikatva	noun	2
ApfcCate	ApracC	noun	2
ApfcCyam	ApfcCya	noun	3
ApiNgalAkza	ApiNgalAkza	noun	2
Apibeyam	ApA	verb	1
Apima	Ap	verb	2
ApipyAna	ApyAy	noun	2
Apitva	Apitva	noun	2
Apitvam	Apitva	noun	3
Apitve	Apitva	noun	9
Aplavata	Aplu	verb	1
ApnAna	ApnAna	noun	2
Apomaya	Apomaya	noun	2
AprAt	AprA	noun	9
AptAsmi	Ap	verb	1
AptaSruti	AptaSruti	noun	3
AptadakziRA	AptadakziRa	noun	1
AptadakziRa	AptadakziRa	noun	2
AptakAma	AptakAma	noun	4
AptakArin	AptakArin	noun	4
Aptakft	Aptakft	noun	7
AptavacanAt	Aptavacana	noun	2
Aptavacana	Aptavacana	noun	2
Aptavya	Ap	noun	2
AptopadeSa	AptopadeSa	noun	2
Apus	Ap	verb	2
ApyAyanavat	ApyAyanavat	noun	3
ApyAyayantu	ApyAyi	verb	1
Apyas	ApA	noun	12
Aqayat	Aqi	noun	3
ArADanIya	ArAD	noun	2
ArADanaprakAra	ArADanaprakAra	noun	2
ArADayam	ArADaya	noun	3
ArAlika	ArAlika	noun	2
ArAti	ArAvi	noun	6
ArAttAt	ArAttAt	ind	1
ArRavAt	ArRava	noun	2
ArSa	ArSa	noun	2
AraBAmahe	AraB	verb	1
AraBamARa	AraB	noun	4
AraNgara	AraNgara	noun	2
AraReya	AraReya	noun	6
ArabDavya	AraB	noun	2
AramBarucitA	AramBarucitA	noun	3
Aramata	Aram	verb	4
Arap	AraB	noun	7
AravaqiRqima	AravaqiRqima	noun	2
ArcCat	f	verb	1
ArcCatAm	f	verb	1
ArcIkaparvata	ArcIkaparvata	noun	2
ArdradAnu	ArdradAnu	noun	3
ArdrahastA	Ardrahasta	noun	1
Ardrapavi	Ardrapavi	noun	3
AreSatru	AreSatru	noun	3
ArehaRa	ArehaRa	noun	2
ArirADayizu	ArirADayiza	noun	3
Arireca	Aric	verb	2
ArjIkIya	ArjIkIyA	noun	3
ArjIka	ArjIka	noun	4
Arjuneya	Arjuneya	noun	2
Arjunis	Arjuni	noun	2
AroDana	AruD	noun	2
ArohatAm	Aruh	noun	2
ArohayAmi	Aropi	verb	1
Arohaya	Aropi	verb	2
AropyamARA	Aropi	noun	1
Arpita	Arpita	noun	2
ArtAyani	ArtAyani	noun	3
ArtaBAgIputra	ArtaBAgIputra	noun	2
ArtanA	ArtanA	noun	3
ArtanAdAn	ArtanAda	noun	1
ArtanAda	ArtanAda	noun	2
ArtanAdam	ArtanAda	noun	3
ArtanAdena	ArtanAda	noun	2
ArtasvarAn	Artasvara	noun	1
Artasvara	Artasvara	noun	2
Artasvaram	Artasvara	noun	3
ArtasvareRa	Artasvara	noun	2
ArtatA	ArtatA	noun	3
Artatara	Artatara	noun	2
ArtavAs	Artava	noun	15
Artvya	Artvya	noun	2
AruRI	AruRI	noun	8
AruReya	AruReya	noun	4
Arujatnu	Arujatnu	noun	3
ArunDAm	AruD	verb	3
Arupita	Arupita	noun	2
AryaSIla	AryaSIla	noun	2
Aryajana	Aryajana	noun	2
Aryajuzwa	Aryajuzwa	noun	2
Aryakarma	Aryakarman	noun	3
Aryakarman	Aryakarman	noun	3
AryaliNgin	AryaliNgin	noun	2
AryamArga	AryamArga	noun	2
AryamiSrARAm	AryamiSra	noun	6
AryaprAya	AryaprAya	noun	2
AryarUpam	AryarUpa	noun	6
AryasaNGa	AryasaMGa	noun	2
Aryasamaya	Aryasamaya	noun	2
AryatA	AryatA	noun	3
AryatayA	AryatA	noun	2
Aryatva	Aryatva	noun	2
AryavfttAnAm	Aryavftta	noun	6
Aryavftta	Aryavftta	noun	4
Aryavrata	Aryavrata	noun	2
Aryavratam	Aryavrata	noun	3
AsAdayA	AsAdi	noun	8
AsAdayizyAmi	AsAdi	verb	2
AsAna	as	noun	4
AsAni	Asi	noun	18
AsIdatAm	Asad	noun	4
AsTApayata	AsTApi	verb	3
AsTas	as	verb	1
AsaBis	Asan	noun	2
AsaNgasya	AsaYj	noun	4
AsaYjite	AsaYji	noun	9
Asacete	Asac	verb	1
Asajantu	AsaYj	verb	1
Asaktamanas	Asaktamanas	noun	5
AsanabanDa	AsanabanDa	noun	2
AsanasTAn	AsanasTa	noun	1
AsanasTa	AsanasTa	noun	2
AsanasTezu	AsanasTa	noun	2
AsannayoDin	AsannayoDin	noun	2
Asanya	Asanya	noun	2
Asaran	Asf	noun	2
AsasrARa	Asf	noun	6
Asecya	Asic	noun	2
AseduzI	Asad	noun	8
Aseduzos	Asad	noun	8
Aseka	Asic	noun	4
AsevamAna	Asev	noun	4
Asevita	Asev	noun	2
AsevyA	Asev	noun	1
AsiDAra	AsiDAra	noun	2
Asin	Asi	noun	6
Asita	Asi	noun	6
Askunoti	Asku	verb	1
AsnAna	AsnA	noun	4
Asna	AsnA	noun	2
Aspadatva	Aspadatva	noun	2
AsrAvaBezaja	AsrAvaBezaja	noun	2
AstfRantam	AstF	noun	1
AstrabuDna	AstrabuDna	noun	2
Asunoti	Asu	verb	1
Asuris	Asuri	noun	2
AsurivAsin	AsurivAsin	noun	2
Asyad	Aas	noun	3
Asyamodaka	Asyamodaka	noun	2
Asyantam	Aas	noun	1
AtAyatAm	Atan	verb	1
Ata	Ati	noun	4
Atan	AtaYci	noun	7
Atani	Atani	noun	3
Atanomi	Atan	verb	1
Atanuzva	Atan	verb	1
AtanvAna	Atan	noun	4
Atap	Atap	noun	7
Atapat	Atap	noun	3
Atarpayat	Atarpi	noun	6
Atastare	AstF	verb	4
Atat	at	verb	1
AtatAyin	AtatAyin	noun	2
Atatezu	Atan	noun	2
Atfd	Atfd	noun	7
AtizWam	AtizWa	noun	3
AtizWatAm	AsTA	verb	3
AtizWipat	AsTApi	verb	1
AtmADIna	AtmADIna	noun	4
AtmASrayam	AtmASraya	noun	3
AtmAnanda	AtmAnanda	noun	2
AtmApahAraka	AtmApahAraka	noun	2
AtmApahArin	AtmApahArin	noun	2
AtmAparADAt	AtmAparADa	noun	2
AtmArTam	AtmArTam	ind	1
AtmaBUta	AtmaBUta	noun	2
AtmaBavas	AtmaBava	noun	2
AtmaGAta	AtmaGAta	noun	2
AtmaSakti	AtmaSakti	noun	3
AtmaSaktim	AtmaSakti	noun	2
AtmaSaktyA	AtmaSakti	noun	1
AtmaSudDaye	AtmaSudDi	noun	2
AtmaSudDi	AtmaSudDi	noun	3
AtmabudDi	AtmabudDi	noun	3
AtmabudDyA	AtmabudDi	noun	1
AtmadA	AtmadA	noun	2
AtmadUzis	AtmadUzi	noun	2
AtmadarSana	AtmadarSana	noun	2
Atmadrohin	Atmadrohin	noun	2
Atmagata	Atmagata	noun	2
Atmagatam	Atmagata	noun	3
Atmagati	Atmagati	noun	3
AtmaguRa	AtmaguRa	noun	2
Atmagupta	AtmaguptA	noun	3
Atmahan	Atmahan	noun	4
AtmahitAya	Atmahita	noun	4
Atmahita	Atmahita	noun	4
Atmahitam	Atmahita	noun	6
Atmahite	Atmahita	noun	18
AtmajYAna	AtmajYAna	noun	2
Atmajanman	Atmajanman	noun	6
AtmakAma	AtmakAma	noun	2
Atmakarman	Atmakarman	noun	3
Atmakfta	Atmakfta	noun	2
AtmakrIqa	AtmakrIqa	noun	2
AtmalABa	AtmalABa	noun	2
AtmanIna	AtmanIna	noun	4
AtmanindA	AtmanindA	noun	3
AtmanvatI	Atmanvat	noun	4
Atmanvin	Atmanvin	noun	2
AtmapUjA	AtmapUjA	noun	3
AtmapraBa	AtmapraBa	noun	2
Atmarati	Atmarati	noun	3
Atmaruha	Atmaruha	noun	2
AtmasaMsTAm	AtmasaMsTa	noun	1
AtmasaMsTa	AtmasaMsTa	noun	2
AtmasaMsTam	AtmasaMsTa	noun	3
AtmasaMyama	AtmasaMyama	noun	2
Atmasad	Atmasad	noun	7
AtmasamAm	Atmasama	noun	1
AtmasamBAvita	AtmasamBAvita	noun	2
AtmasamBava	AtmasamBavA	noun	3
Atmasama	Atmasama	noun	2
Atmasamam	Atmasama	noun	3
Atmasame	Atmasama	noun	9
Atmatattva	Atmatattva	noun	2
Atmatfpta	Atmatfpta	noun	2
AtmatrARa	AtmatrARa	noun	2
Atmatva	Atmatva	noun	2
AtmavaDa	AtmavaDa	noun	2
AtmavaSa	AtmavaSa	noun	2
AtmavattA	AtmavattA	noun	3
AtmavattayA	AtmavattA	noun	2
AtmavfdDi	AtmavfdDi	noun	3
Atmavftti	Atmavftti	noun	3
Atmavid	Atmavid	noun	7
Atmavide	Atmavid	noun	3
Atmavikraya	Atmavikraya	noun	2
Atmavit	Atmavid	noun	7
AtmayAjin	AtmayAjin	noun	2
AtmayogAt	Atmayoga	noun	2
Atmayoga	Atmayoga	noun	2
Atmayogam	Atmayoga	noun	3
Atmayogena	Atmayoga	noun	2
AtmeSvara	AtmeSvara	noun	2
AtmecCayA	AtmecCA	noun	2
AtmodBave	AtmodBavA	noun	14
AtmopajIvin	AtmopajIvin	noun	2
Atmopama	Atmopama	noun	2
Atmya	Atmya	noun	2
Atodin	Atud	noun	2
Atra	Atra	noun	2
AtreyIputra	AtreyIputra	noun	2
Attalakzmi	Attalakzmi	noun	3
Atud	Atud	noun	7
Atum	Atu	noun	2
Atyanta	at	verb	1
AvA	AvA	noun	22
AvApta	Avap	verb	1
AvApti	AvApi	noun	24
AvAra	AvAri	noun	8
AvAritam	AvAri	noun	3
AvAyam	AvApi	noun	12
Avahantu	Avah	verb	1
AvahatAm	Avah	verb	3
AvahatAt	Avah	verb	2
AvanI	Avi	noun	2
Avantika	Avantika	noun	4
Avapa	Avap	noun	6
AvaraRaSakti	AvaraRaSakti	noun	3
Avaram	Avf	noun	12
Avarezu	Avf	noun	8
Avarjayata	Avarji	verb	9
AvarjayetAm	Avarji	verb	9
AvartamAna	Avft	noun	4
AvartayAmas	Avarti	verb	1
AvartayantI	Avarti	noun	4
Avartayanta	Avarti	verb	1
Avartayitum	Avarti	ind	1
Avartin	Avartin	noun	4
Avarzat	Avfz	noun	3
Avas	O	noun	20
AvasAna	Avaso	noun	2
Avasata	Avas	verb	2
AveSayantu	AveSi	verb	1
Aveda	Avedi	noun	8
AvedayatAm	Avedi	verb	3
AvfRvAnam	Avf	noun	6
Avftan	Avft	verb	1
