form_slp1	primary_lemma	primary_upos	primary_n	alt_lemma	alt_upos	alt_n
AdiSe	AdiS	VERB	3	AdiS	NOUN	1
Adita	Aditas	ADV	14	AdA	VERB	3
AditaH	Aditas	ADV	50	Adi	NOUN	15
AdityA	Aditya	NOUN	180	Aditya	ADJ	25
AdityAH	Aditya	NOUN	210	Aditya	ADJ	1
AdityAn	Aditya	NOUN	63	Aditya	ADJ	1
Aditya	Aditya	NOUN	647	Aditya	ADJ	27
AdityaH	Aditya	NOUN	366	Aditya	ADJ	15
AdityaM	Aditya	NOUN	87	Aditya	ADJ	27
AdityaS	Aditya	NOUN	18	Aditya	ADJ	4
Adityam	Aditya	NOUN	373	Aditya	ADJ	14
Adityasya	Aditya	NOUN	149	Aditya	ADJ	3
Aditye	Aditya	NOUN	125	Aditya	ADJ	2
Adityena	Aditya	NOUN	32	Aditya	ADJ	2
Adityo	Aditya	NOUN	189	Aditya	ADJ	3
AdyA	Adya	ADJ	70	ad	VERB	6
AdyAH	Adya	ADJ	672	Adi	NOUN	8
Adya	Adya	ADJ	106	ad	VERB	5
AdyaH	Adya	ADJ	109	ad	VERB	9
AdyaM	Adya	ADJ	44	ad	VERB	4
Adyam	Adya	ADJ	255	ad	VERB	14
Adye	Adya	ADJ	58	ad	VERB	1
AgA	AgA	NOUN	3	AgA	VERB	2
AgAH	AgA	VERB	9	AgA	NOUN	2
Agama	Agama	NOUN	187	Agama	ADJ	1
AgamaH	Agama	NOUN	144	Agam	VERB	4
Agamam	Agama	NOUN	56	Agam	VERB	14
AganIganti	AganIgam	VERB	1	AganIganti	NOUN	1
AgantA	Agam	VERB	18	Agantf	ADJ	2
Agantum	Agam	VERB	24	Agantu	ADJ	2
Agastyam	Agastya	ADJ	2	Agastya	NOUN	1
AgatA	Agam	VERB	215	Agata	NOUN	1
Agata	Agam	VERB	139	Agata	NOUN	1
Agatam	Agam	VERB	495	Agata	NOUN	1
AgatyA	Agati	NOUN	4	Agam	VERB	3
Agneya	Agneya	ADJ	93	Agneya	NOUN	2
AgneyaM	Agneya	ADJ	91	Agneya	NOUN	4
Agneyam	Agneya	ADJ	271	Agneya	NOUN	7
AhAram	AhAra	NOUN	139	Ahf	VERB	5
AhArya	AhAray	VERB	7	Ahf	VERB	7
Aha	ah	VERB	6731	karman	NOUN	1
AhartA	Ahartf	NOUN	15	Ahf	VERB	3
Ahata	Ahan	VERB	31	Ahata	NOUN	1
Ahatam	Ahan	VERB	32	Ahata	NOUN	1
Ahnika	Ahnika	NOUN	8	Ahnika	ADJ	4
Aho	Aho	INTJ	19	Aha	NOUN	1
Ahus	ah	VERB	52	Baga	NOUN	1
Ahvaya	AhvA	VERB	26	Ahvaya	NOUN	14
Ahvaye	Ahvaya	NOUN	23	AhvA	VERB	5
AjA	Aji	NOUN	7	Aj	VERB	1
AjYAtA	AjYA	VERB	2	AjYAtf	NOUN	1
AjYaptAH	AjYapay	VERB	7	AjYapta	ADJ	1
AjYaptaH	AjYapay	VERB	17	AjYapta	ADJ	1
Aja	Aja	ADJ	13	aj	VERB	2
AjaH	aj	VERB	1	Aja	ADJ	1
Ajat	aj	VERB	4	Aj	VERB	2
Ajya	Ajya	NOUN	700	AYj	VERB	1
AkANkze	AkANkz	VERB	3	AkANkza	ADJ	1
AkaraH	Akara	NOUN	47	Akf	VERB	1
Akaram	Akara	NOUN	26	Akf	VERB	2
Akarza	Akarza	NOUN	10	Akfz	VERB	3
Akfte	Akfti	NOUN	3	Akf	VERB	1
AkiMcanya	AkiMcanya	NOUN	2	AkiMcanya	ADJ	1
AkrIqa	AkrIqa	NOUN	16	AkrIq	VERB	1
Akrama	Akram	VERB	3	Akrama	NOUN	1
Akrandita	Akrand	VERB	2	Akrandita	NOUN	1
AkulA	Akula	ADJ	45	Akula	NOUN	1
AkulAH	Akula	ADJ	38	Akula	NOUN	1
Akulam	Akula	ADJ	154	Akula	NOUN	2
Akzika	Akzika	NOUN	2	Akzika	ADJ	1
Akzipta	Akzip	VERB	32	Akzipta	NOUN	5
AkziptaM	Akzip	VERB	8	Akzipta	NOUN	1
Akziptam	Akzip	VERB	13	Akzipta	NOUN	3
Alamba	Alamba	NOUN	6	Alamb	VERB	2
AleKya	AleKya	NOUN	8	AliK	VERB	3
AliNgya	AliNgay	VERB	77	AliNgya	NOUN	1
Alokana	Alokana	NOUN	19	Alokana	ADJ	1
Am	AM	ADV	9	Am	NOUN	7
Ama	Ama	NOUN	260	Ama	ADJ	121
AmaH	Ama	ADJ	7	Am	NOUN	1
AmaM	Ama	ADJ	32	Ama	NOUN	8
Amam	Ama	ADJ	39	Ama	NOUN	18
Amasya	Ama	ADJ	7	Ama	NOUN	4
Amayat	Amay	VERB	3	Amayant	NOUN	1
Ame	Ama	ADJ	18	Ama	NOUN	14
AmnAya	AmnAya	NOUN	37	AmnA	VERB	3
AnDrAH	AnDra	NOUN	2	AnDra	ADJ	1
AnDra	AnDra	NOUN	9	AnDra	ADJ	1
Ana	an	VERB	2	Ana	NOUN	1
AnandI	Anandin	ADJ	4	AnandA	NOUN	1
Anantyam	Anantya	NOUN	58	Anantya	ADJ	9
AnfSaMsyam	AnfSaMsya	NOUN	21	AnfSaMsya	ADJ	4
AnfSaMsyena	AnfSaMsya	NOUN	10	AnfSaMsya	ADJ	1
AntarikzyA	antarikzya	ADJ	1	Antarikza	ADJ	1
Anulomyam	Anulomya	NOUN	5	Anulomya	ADJ	1
ApA	ap	NOUN	10	Ap	VERB	1
ApAnam	ApAna	NOUN	4	Ap	VERB	1
ApI	Api	NOUN	2	Api	ADJ	1
ApInAm	Api	NOUN	3	Apay	VERB	1
ApIta	ApIta	ADJ	9	ApA	VERB	4
ApUryata	Ap￞	VERB	5	Apf	VERB	3
Apa	ap	NOUN	161	Ap	VERB	69
Apad	Apad	NOUN	131	Ap	VERB	4
Apadi	Apad	NOUN	98	Apad	VERB	1
Apat	Ap	VERB	9	Apad	NOUN	4
Apaya	Api	NOUN	2	Apay	VERB	1
ApfcCya	ApracC	VERB	39	ApfcCya	ADJ	1
Api	Api	NOUN	2	Ap	NOUN	1
ApiH	Api	NOUN	10	Api	ADJ	4
Apim	Api	NOUN	3	Api	ADJ	1
AplutaH	Aplu	VERB	34	Apluta	NOUN	1
AprA	AprA	VERB	10	Apra	ADJ	1
Apta	Apta	NOUN	66	Apta	ADJ	57
AptaH	Ap	VERB	23	Apta	NOUN	6
Aptam	Ap	VERB	76	Apta	ADJ	2
ApyAyana	ApyAyana	NOUN	15	ApyAyana	ADJ	1
Apya	Apya	ADJ	9	Ap	VERB	6
Apyam	Apya	ADJ	16	Apya	NOUN	14
ArADanam	ArADana	NOUN	37	ArADana	ADJ	1
ArADitaH	ArADay	VERB	39	ArADita	NOUN	1
ArUQa	Aruh	VERB	33	ArUQa	NOUN	1
Ara	Ara	NOUN	48	fC	VERB	3
AraRya	AraRya	ADJ	28	AraRya	NOUN	1
AraRyaka	AraRyaka	ADJ	10	AraRyaka	NOUN	2
AraRyakaM	AraRyaka	ADJ	6	AraRyaka	NOUN	3
AraRyakam	AraRyaka	NOUN	7	AraRyaka	ADJ	3
ArabDa	AraB	VERB	50	ArabDa	NOUN	1
Arakta	Arakta	ADJ	25	AraYj	VERB	2
AratAm	ArC	VERB	1	fC	VERB	1
Arata	fC	VERB	3	Aram	VERB	2
ArdrA	Ardra	ADJ	23	ArdrA	NOUN	11
ArdrAt	Ardra	ADJ	2	Ardra	NOUN	2
Ardra	Ardra	ADJ	253	Ardra	NOUN	20
ArdraM	Ardra	ADJ	14	Ardra	NOUN	1
Ardram	Ardra	ADJ	58	Ardra	NOUN	2
Ardrasya	Ardra	ADJ	11	Ardra	NOUN	3
Ardre	Ardra	ADJ	11	Ardra	NOUN	1
ArdreRa	Ardra	ADJ	22	Ardra	NOUN	1
Are	Are	ADV	75	Ara	NOUN	5
Arjava	Arjava	NOUN	27	Arjava	ADJ	1
Arjave	Arjava	NOUN	15	Arjava	ADJ	2
Arjavena	Arjava	NOUN	20	Arjava	ADJ	4
Arogya	Arogya	NOUN	107	Arogya	ADJ	2
Arogyam	Arogya	NOUN	83	Arogya	ADJ	6
Aroha	Aruh	VERB	93	Aroha	NOUN	27
Arohe	Aroha	NOUN	21	Aruh	VERB	1
Arta	Arta	ADJ	202	fC	VERB	2
ArtavAH	Artava	NOUN	8	Artava	ADJ	2
ArtavAn	Artava	ADJ	2	Artava	NOUN	2
ArtavaH	Artava	NOUN	6	Artava	ADJ	1
Artavam	Artava	NOUN	38	Artava	ADJ	4
AruH	fC	VERB	2	Aru	NOUN	1
AruRe	AruRi	NOUN	6	AruRa	ADJ	1
Aruham	Aruh	VERB	14	Aruh	ADJ	1
Arujam	Aruja	ADJ	2	Aruj	VERB	1
AruzI	AruzI	NOUN	1	fC	VERB	1
AryA	Arya	ADJ	44	AryA	NOUN	22
AryAH	Arya	ADJ	29	Arya	NOUN	7
AryARAm	Arya	ADJ	7	Arya	NOUN	2
AryAm	Arya	ADJ	11	AryA	NOUN	2
AryAyAH	Arya	ADJ	1	AryA	NOUN	1
AryAya	Arya	NOUN	8	Arya	ADJ	3
Arya	Arya	ADJ	391	Arya	NOUN	85
AryaH	Arya	ADJ	60	Arya	NOUN	17
AryaM	Arya	ADJ	24	Arya	NOUN	9
Aryam	Arya	ADJ	29	Arya	NOUN	5
Aryasya	Arya	ADJ	28	Arya	NOUN	5
AryayA	Arya	ADJ	6	AryA	NOUN	3
Arye	Arya	ADJ	43	AryA	NOUN	2
AryeRa	Arya	ADJ	37	Arya	NOUN	6
ArzaM	Arza	ADJ	20	Arza	NOUN	1
Arzam	Arza	ADJ	17	Arza	NOUN	1
Arzeya	Arzeya	ADJ	2	Arzeya	NOUN	1
ArzeyaM	Arzeya	ADJ	8	Arzeya	NOUN	4
AsAt	Asa	NOUN	1	AsAt	ADV	1
AsTita	AsTA	VERB	4	AsTita	ADJ	1
Asa	as	VERB	233	Asa	NOUN	5
Asan	as	VERB	530	Asan	NOUN	24
Asann	as	VERB	31	Asan	NOUN	11
Asanna	Asad	VERB	69	Asanna	ADJ	29
AsannaH	Asad	VERB	16	Asanna	ADJ	1
Asanne	Asanna	NOUN	13	Asad	VERB	12
Asata	As	VERB	61	asat	ADJ	1
AstAM	as	VERB	31	As	VERB	28
AstIkaH	AstIka	NOUN	11	AstIka	ADJ	1
AstIke	AstIka	ADJ	1	AstIka	NOUN	1
Astara	Astara	NOUN	5	Astf	VERB	1
AstikaH	Astika	NOUN	6	Astika	ADJ	1
AsurI	AsurI	NOUN	44	Asura	ADJ	8
AsurIM	Asura	ADJ	8	AsurI	NOUN	1
AsurIm	Asura	ADJ	5	AsurI	NOUN	2
Asura	Asura	ADJ	19	Asura	NOUN	2
Asuram	Asura	ADJ	25	Asura	NOUN	6
Asuri	Asuri	NOUN	1	AsurI	NOUN	1
Asuta	Asu	VERB	1	Asuta	NOUN	1
AsvAdya	AsvAday	VERB	30	AsvAdya	ADJ	1
AsyaM	Asya	NOUN	33	As	VERB	1
AtapaH	Atapa	NOUN	21	Atap	VERB	1
AtatanTa	Atan	VERB	6	AtatanTa	NOUN	1
AtiTya	AtiTya	NOUN	15	AtiTya	ADJ	1
AtiTyaM	AtiTya	NOUN	32	AtiTya	ADJ	1
AtiTyam	AtiTya	NOUN	101	AtiTya	ADJ	2
Atmaje	Atmaja	NOUN	26	AtmajA	NOUN	24
Ava	av	VERB	2	ava	ADP	2
AvaSyaka	AvaSyaka	ADJ	20	AvaSyaka	NOUN	4
Avad	Avat	ADJ	4	av	VERB	3
Avaha	Avah	VERB	75	Avaha	ADJ	5
AvahaH	Avaha	ADJ	90	Avaha	NOUN	4
Avaham	Avaha	ADJ	191	Avah	VERB	2
Avahe	Avaha	ADJ	12	Avaha	NOUN	1
Avam	mad	PRON	3	av	VERB	2
Avan	av	VERB	4	Ave	VERB	2
Avarta	Avarta	NOUN	97	Avft	VERB	6
AvartaM	Avarta	NOUN	8	Avft	VERB	1
AvasaTa	AvasaTa	NOUN	19	Avas	VERB	1
Avat	av	VERB	13	Avat	ADJ	1
AvayaH	Avay	VERB	3	Avi	NOUN	2
AvftA	Avft	NOUN	105	Avf	VERB	46
AvftAM	Avf	VERB	4	Avft	NOUN	1
AvftAm	Avf	VERB	45	Avft	NOUN	2
Avfta	Avf	VERB	109	Avft	NOUN	1
AvftaH	Avf	VERB	153	Avft	NOUN	36
AvftaM	Avf	VERB	33	Avft	NOUN	1
Avftam	Avf	VERB	182	Avft	NOUN	35
Avftya	Avf	VERB	150	Avft	VERB	94
AviH	Avis	ADV	8	Avi	NOUN	2
AvidDa	AvyaD	VERB	16	AvidDa	ADJ	2
AvidDam	AvyaD	VERB	14	AvidDa	NOUN	4
Avika	Avika	ADJ	16	Avika	NOUN	1
Avila	Avila	ADJ	41	Avila	NOUN	1
Avir	Avis	ADV	47	Avi	NOUN	2
Avitsi	vid	VERB	1	Avid	VERB	1
Aviz	Avis	ADV	4	Avi	NOUN	1
Avo	av	VERB	6	vas	VERB	4
AyAcitaM	AyAc	VERB	1	AyAcita	NOUN	1
AyAma	AyAma	NOUN	52	AyA	VERB	4
AyAmi	AyA	VERB	5	AyAmin	ADJ	3
AyAsya	AyA	VERB	1	AyAsay	VERB	1
AyAti	AyA	VERB	254	AyAti	NOUN	3
AyaM	Aya	NOUN	4	i	VERB	3
AyajI	Ayajin	ADJ	2	Ayaji	ADJ	1
Ayam	i	VERB	5	Aya	NOUN	2
Ayann	e	VERB	17	i	VERB	9
Ayanta	e	VERB	2	i	VERB	2
AyasAni	Ayasa	ADJ	9	Ayasa	NOUN	1
Ayasa	Ayasa	ADJ	29	Ayasa	NOUN	20
AyasaM	Ayasa	ADJ	27	Ayasa	NOUN	4
Ayasam	Ayasa	ADJ	40	Ayasa	NOUN	38
AyatA	Ayam	VERB	38	Ayata	ADJ	2
AyatIH	e	VERB	11	Ayati	NOUN	2
Ayatam	Ayam	VERB	102	Ayata	ADJ	12
Ayati	Ayati	NOUN	23	e	VERB	15
AyatyA	Ayati	NOUN	2	e	VERB	1
AyatyAm	Ayati	NOUN	3	e	VERB	1
Ayava	Ayu	ADJ	2	Ayu	NOUN	1
AyavaH	Ayu	NOUN	18	Ayu	ADJ	3
Ayave	Ayu	NOUN	10	Ayu	ADJ	1
Ayavo	Ayu	NOUN	7	Ayu	ADJ	1
AyuBiH	Ayu	NOUN	2	Ayu	ADJ	1
Ayutam	Ayuta	ADJ	34	Ayuta	NOUN	1
Ayuza	Ayus	NOUN	5	Ayuza	NOUN	3
AyuzmAn	Ayuzmat	ADJ	376	Ayuzmant	NOUN	1
Ayuzmant	Ayuzmant	NOUN	3	Ayuzmat	ADJ	1
Ayuzya	Ayuzya	NOUN	28	Ayuzya	ADJ	10
BA	BAs	NOUN	37	BA	NOUN	36
BAgaDeyam	BAgaDeya	NOUN	64	BAgaDeya	ADJ	1
BAgaH	BAga	NOUN	325	tatas	ADV	1
BAjanam	BAjana	NOUN	112	BAjana	ADJ	1
BAnumAn	BAnumant	NOUN	14	BAnumat	ADJ	1
BAnumantam	BAnumant	NOUN	10	BAnumat	ADJ	3
BAradvAjaH	BAradvAja	NOUN	58	BAradvAja	ADJ	1
BAradvAjaM	BAradvAja	NOUN	36	BAradvAja	ADJ	2
BAradvAjam	BAradvAja	NOUN	10	BAradvAja	ADJ	4
BAradvAjo	BAradvAja	NOUN	57	BAradvAja	ADJ	1
BAratA	BArata	NOUN	6	BArata	ADJ	1
BAratAH	BArata	NOUN	9	BArata	ADJ	1
BAratAnAM	BArata	NOUN	22	BArata	ADJ	1
BAratAnAm	BArata	NOUN	6	BArata	ADJ	2
BAratI	BAratI	NOUN	56	BArata	ADJ	21
BAratIM	BArata	ADJ	16	BAratI	NOUN	10
BAratIm	BAratI	NOUN	13	BArata	ADJ	3
BArata	BArata	NOUN	2117	BArata	ADJ	250
BArataH	BArata	NOUN	6	BArata	ADJ	3
BArataM	BArata	NOUN	51	BArata	ADJ	14
BAratasya	BArata	NOUN	18	BArata	ADJ	5
BArate	BArata	NOUN	39	BArata	ADJ	16
BAratena	BArata	ADJ	1	BArata	NOUN	1
BArgavI	BArgavI	NOUN	8	BArgava	ADJ	1
BArgava	BArgava	NOUN	118	BArgava	ADJ	5
BArgavaH	BArgava	NOUN	104	BArgava	ADJ	3
BArgavaM	BArgava	NOUN	21	BArgava	ADJ	2
BArgavam	BArgava	NOUN	20	BArgava	ADJ	2
BArgave	BArgava	NOUN	9	BArgava	ADJ	2
BAri	BArin	ADJ	2	Bf	VERB	1
BAryA	BAryA	NOUN	855	Bf	VERB	3
BAryAM	BAryA	NOUN	269	Bf	VERB	1
BAryaH	BAryA	NOUN	110	Bf	VERB	5
BArye	BAryA	NOUN	58	Bf	VERB	1
BAsAM	BAs	NOUN	2	BAsA	NOUN	1
BAsaH	BAs	NOUN	11	BAsa	NOUN	9
BAsi	BA	VERB	22	BAs	NOUN	4
BAskara	BAskara	NOUN	130	BAskara	ADJ	3
BAskaraH	BAskara	NOUN	101	BAskara	ADJ	1
BAskaraM	BAskara	NOUN	48	BAskara	ADJ	4
BAskaram	BAskara	NOUN	78	BAskara	ADJ	6
BAskare	BAskara	NOUN	48	BAskara	ADJ	8
BAsvAn	BAsvant	NOUN	7	BAsvat	ADJ	1
BAsvara	BAsvara	ADJ	28	BAsvara	NOUN	1
BAsvaram	BAsvara	ADJ	53	BAsvara	NOUN	2
BAsvat	BAsvat	ADJ	27	BAsvant	NOUN	5
BAsvatA	BAsvat	ADJ	35	BAsvant	NOUN	4
BAsvatI	BAsvat	ADJ	5	BAsvatI	NOUN	1
BAsvati	BAsvant	NOUN	4	BAsvat	ADJ	2
BAvanA	BAvanA	NOUN	160	BAvana	ADJ	2
BAvanAH	BAvanA	NOUN	14	BAvana	ADJ	6
BAvana	BAvana	ADJ	6	BAvanA	NOUN	3
BAvanaH	BAvana	ADJ	40	BAvanA	NOUN	5
BAvanaM	BAvanA	NOUN	4	BAvana	NOUN	3
BAvanam	BAvana	ADJ	13	BAvanA	NOUN	12
BAvataH	BAva	NOUN	15	BAvatas	ADV	3
BAvinI	BAvin	ADJ	17	BAvinI	NOUN	2
BAvinaH	BAvin	ADJ	27	BAvin	NOUN	1
BAvuka	BAvuka	ADJ	1	BAvuka	NOUN	1
BAvya	BAvay	VERB	6	BAvya	ADJ	4
BAvyasya	BU	VERB	2	BAvya	NOUN	1
BAzitA	BAz	VERB	20	BAzitf	ADJ	7
BAzita	BAzita	NOUN	12	BAz	VERB	7
BAzitaM	BAz	VERB	42	BAzita	NOUN	39
BAzitam	BAz	VERB	151	BAzita	NOUN	117
BI	BI	NOUN	31	aBi	ADP	1
BImA	BIma	ADJ	37	BImA	NOUN	4
BImAH	BIma	ADJ	22	BIma	NOUN	1
BImAm	BIma	ADJ	7	BImA	NOUN	1
BImAn	BIma	ADJ	6	BIma	NOUN	1
BImAt	BIma	NOUN	7	BIma	ADJ	1
BImAya	BIma	NOUN	24	BIma	ADJ	9
BIma	BIma	ADJ	519	BIma	NOUN	329
BImaH	BIma	NOUN	253	BIma	ADJ	45
BImaM	BIma	NOUN	236	BIma	ADJ	62
BImam	BIma	NOUN	77	BIma	ADJ	56
BImasya	BIma	NOUN	133	BIma	ADJ	5
BIme	BIma	NOUN	17	BIma	ADJ	14
BImena	BIma	NOUN	122	BIma	ADJ	7
BImo	BIma	NOUN	297	BIma	ADJ	27
BIru	BIru	ADJ	141	BIru	NOUN	3
BIruH	BIru	ADJ	23	BIru	NOUN	5
BIta	BI	VERB	107	BIta	NOUN	2
BIto	BI	VERB	84	aBIta	ADJ	1
BIzA	BIzA	NOUN	24	BIzA	ADV	1
BIzaRa	BIzaRa	ADJ	27	BIzaRa	NOUN	2
BIzaRe	BIzaRa	ADJ	7	BIzaRa	NOUN	1
BIzayA	BIzay	VERB	1	BIzA	NOUN	1
BIzitAH	BIzita	ADJ	6	BIzay	VERB	2
BIzitaH	BIzita	ADJ	3	BIzay	VERB	1
BIzmAya	BIzma	NOUN	28	BIzma	ADJ	1
BIzma	BIzma	NOUN	961	BIzma	ADJ	4
BIzmaH	BIzma	NOUN	319	BIzma	ADJ	1
BIzmaM	BIzma	NOUN	302	BIzma	ADJ	1
BIzmam	BIzma	NOUN	100	BIzma	ADJ	1
BIzmasya	BIzma	NOUN	155	BIzma	ADJ	1
BIzmo	BIzma	NOUN	206	BIzma	ADJ	1
BU	BU	NOUN	544	BU	ADV	1
BUH	BU	NOUN	335	BU	VERB	39
BUmA	BUman	NOUN	47	BU	VERB	1
BUma	BUman	NOUN	23	BU	VERB	10
BUmyA	BUmi	NOUN	26	BUmya	ADJ	2
BUr	BU	NOUN	324	BU	VERB	25
BUrI	BUri	ADJ	1	BUrI	NOUN	1
BUri	BUri	ADJ	460	BUri	NOUN	4
BUriH	BUri	NOUN	7	BUri	ADJ	3
BUs	BU	NOUN	12	BU	VERB	4
BUt	BU	VERB	276	BU	VERB	156
BUtA	BU	VERB	117	BUta	NOUN	18
BUtAH	BU	VERB	201	BUta	NOUN	20
BUtAn	BU	VERB	33	BUta	NOUN	8
BUtAnAM	BUta	NOUN	460	BU	VERB	3
BUtAnAm	BUta	NOUN	683	BU	VERB	16
BUtAni	BUta	NOUN	893	BU	VERB	67
BUtAt	BU	VERB	10	BUta	NOUN	2
BUta	BUta	NOUN	1582	BU	VERB	281
BUtaBAvana	BUtaBAvana	NOUN	6	BUtaBAvana	ADJ	1
BUtaBAvanaH	BUtaBAvana	NOUN	22	BUtaBAvana	ADJ	2
BUtaM	BU	VERB	204	BUta	NOUN	96
BUtam	BU	VERB	489	BUta	NOUN	43
BUtasya	BU	VERB	103	BUta	NOUN	64
BUte	BU	VERB	135	BUta	NOUN	16
BUteByaH	BUta	NOUN	101	BU	VERB	3
BUtena	BU	VERB	38	BUta	NOUN	23
BUtezu	BUta	NOUN	406	BU	VERB	16
BUto	BU	VERB	34	BUta	NOUN	6
BUvam	BU	VERB	4	BU	VERB	2
BUvan	BU	VERB	9	BU	VERB	5
BUyA	BU	VERB	34	BUyas	ADJ	2
BUyAH	BU	VERB	32	BUyas	ADJ	12
BUyAn	BUyas	ADJ	58	BU	VERB	19
BUya	BUyas	ADV	148	BUyas	ADJ	58
BUyaH	BUyas	ADV	496	BUyas	ADJ	98
BUyaS	BUyas	ADV	38	BUyas	ADJ	4
BUyas	BUyas	ADV	355	BUyas	ADJ	33
BUyastaram	BUyastaram	ADV	7	BUyastara	ADJ	1
BUyo	BUyas	ADV	606	BUyas	ADJ	82
BUzaRaH	BUzaRa	NOUN	53	BUzaRa	ADJ	2
BUzaRam	BUzaRa	NOUN	123	BUzaRa	ADJ	2
BaNgam	BaNga	NOUN	37	BaNga	ADJ	1
BaNgi	BaNgin	ADJ	8	BaNgi	NOUN	1
BadrA	Badra	ADJ	92	BadrA	NOUN	79
BadrARi	Badra	ADJ	24	Badra	NOUN	14
BadrAm	Badra	ADJ	11	BadrA	NOUN	8
BadrAt	Badra	ADJ	7	Badra	NOUN	7
BadrAya	Badra	ADJ	5	Badra	NOUN	4
Badra	Badra	ADJ	186	Badra	NOUN	26
BadraH	Badra	ADJ	15	Badra	NOUN	10
BadraM	Badra	NOUN	379	Badra	ADJ	102
BadrakAH	Badraka	NOUN	2	Badraka	ADJ	1
Badram	Badra	ADJ	112	Badra	NOUN	57
BadrayA	Badra	ADJ	17	BadrA	NOUN	14
Badre	Badra	ADJ	296	BadrA	NOUN	10
BadreRa	Badra	NOUN	7	Badra	ADJ	3
Badro	Badra	ADJ	30	Badra	NOUN	8
Baga	Baga	NOUN	147	tad	PRON	1
BagavAn	Bagavant	NOUN	1925	Bagavat	ADJ	1600
Bagavan	Bagavat	ADJ	855	Bagavant	NOUN	359
Bagavann	Bagavat	ADJ	73	Bagavant	NOUN	15
BagavantaH	Bagavant	NOUN	59	Bagavat	ADJ	19
BagavantaM	Bagavant	NOUN	227	Bagavat	ADJ	58
Bagavantam	Bagavant	NOUN	223	Bagavat	ADJ	136
