folder	basename	text_formats	media_formats	topic_tags	text_bytes_total
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-Строй-ведийского-языка-2015-2016-гг-Лекция-20-19032016	txt	(none-in-same-folder)	sanskrit_vedic	8680
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-Строй-ведийского-языка-2015-2016-гг-Лекция-22-230416	txt	(none-in-same-folder)	sanskrit_vedic	8940
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-Строй-ведийского-языка-2015-2016-гг-Лекция-3-260915	txt	(none-in-same-folder)	sanskrit_vedic	8200
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-Строй-ведийского-языка-2015-2016-гг-Лекция-6-17102015	txt	(none-in-same-folder)	sanskrit_vedic	6820
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-Строй-ведийского-языка-2015-2016-гг-Лекция-7-311015	txt	(none-in-same-folder)	sanskrit_vedic	9300
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-Строй-ведийского-языка-2015-2016-гг-Лекция-8-07112015	txt	(none-in-same-folder)	sanskrit_vedic	9420
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-Строй-ведийского-языка-2015-2016-гг-Лекция-9-13112015	txt	(none-in-same-folder)	sanskrit_vedic	8760
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-Строй-ведийского-языка-Лекция-1-12092015	txt	(none-in-same-folder)	sanskrit_vedic	8360
таймкоды-речи-канал-Анна-Осанкина	Академик-А-А-Зализняк-о-санскритском-корне-jR	txt	(none-in-same-folder)	sanskrit_vedic	500
таймкоды-речи-канал-Анна-Осанкина	Грамматический-строй-санскрита-2014-2015-гг-Лекция-2-20-сентября-2014-г	txt	(none-in-same-folder)	sanskrit_vedic	8940
таймкоды-речи-канал-Анна-Осанкина	Грамматический-строй-санскрита-2014-2015-гг-Лекция-4-04102014	txt	(none-in-same-folder)	sanskrit_vedic	8840
таймкоды-речи-канал-Анна-Осанкина	Грамматический-строй-санскрита-2014-2015-гг-Лекция-5-11-10-2014	txt	(none-in-same-folder)	sanskrit_vedic	10580
таймкоды-речи-канал-Анна-Осанкина	Зализняк-История-русского-ударения-15102016-Семинар-6	txt	(none-in-same-folder)	russian_diachrony	11620
таймкоды-речи-канал-Анна-Осанкина	Перед-лекцией-академика-А-А-Зализняка-Октябрь-2017-г-ГЗ-МГУ	txt	(none-in-same-folder)	other_unclassified	20
текст	ОбОчеркеакадемикеЗализнякеисанскрите(презентациякниги)	srt	(none-in-same-folder)	sanskrit_vedic	292186
текст-канал-Алексей-Головастиков	21.07.2010,-Новгород,-берестяная-грамота-№-1000	ans,html,json,srt,txt	(none-in-same-folder)	birchbark_novgorod	220422
текст-канал-Алексей-Головастиков	60-летие-Е.В.Падучевой-застолье,-песни…-1995-год	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	121783
текст-канал-Алексей-Головастиков	ACADEMIA.-Андрей-Зализняк.-Берестяные-грамоты.-1-лекция.-Кан	ans,html,json,srt,txt	(none-in-same-folder)	birchbark_novgorod	375194
текст-канал-Алексей-Головастиков	ACADEMIA.-Андрей-Зализняк.-Берестяные-грамоты.-2-лекция.-Кан	ans,html,json,srt,txt	(none-in-same-folder)	birchbark_novgorod	490790
текст-канал-Алексей-Головастиков	ACADEMIA.-Андрей-Зализняк.-Русский-устный.-1-лекция.-Канал-К	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	445721
текст-канал-Алексей-Головастиков	ACADEMIA.-Андрей-Зализняк.-Русский-устный.-2-лекция.-Канал-Культура	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	405499
текст-канал-Алексей-Головастиков	ACADEMIA.-Андрей-Зализняк.-Читаем-«Слово-о-полку-Игореве».-1-лекция.-Канал-Культура	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	465097
