dict,lang,headword_iast,headword_slp1,register,field,latin_gloss,sanskrit_example_iast,citation
SCH,de,cāṭukapheluka,cAwukaPeluka,CLINICAL,coitus,coitus,,
SCH,de,dantāvalopamardita,dantAvalopamardita,CLINICAL,coitus,coitus,,
SCH,de,darpavināśana,darpavinASana,CLINICAL,coitus,coitus,,
SCH,de,devabandha,devabanDa,CLINICAL,coitus,coitus,,
PW,de,dhainuka,DEnuka,CLINICAL,coitus,coeundi,dhainuka,
PWG,de,dhainuka,DEnuka,CLINICAL,coitus,coitus,dhenuka,MED. k. 106
SCH,de,dhainuka,DEnuka,CLINICAL,coitus,coitus,,
PW,de,dhenuka,Denuka,CLINICAL,coitus,coeundi,dhenuka,"MBH. 6,50,51"
PWG,de,dhenuka,Denuka,CLINICAL,coitus,coitus,dhainuka,RATIM.
SCH,de,dhenuka,Denuka,CLINICAL,coitus,coeundi,,"S I,198,3."
SCH,de,dhvajabandha,DvajabanDa,CLINICAL,coitus,coitus,,
SCH,de,dolitabandha,dolitabanDa,CLINICAL,coitus,coitus,,
SCH,de,dolāyitabandha,dolAyitabanDa,CLINICAL,coitus,coitus,,
PW,de,dvayadvayasamāpatti,dvayadvayasamApatti,CLINICAL,coitus,copulation,dvayadvayasamāpatti,"MAHĀVY. 281,265"
PWK,de,dvayadvayasamāpatti,dvayadvayasamApatti,CLINICAL,coitus,copulation,*dvayadvayasamāpatti,"MAHĀVY. 281,265"
SCH,de,dvitala,dvitala,CLINICAL,coitus,coitus,,
PW,de,dyo,dyo,CLINICAL,coitus,copulativen,dyo,"MBH. 8,90,32"
PWG,de,dīrgharata,dIrGarata,CLINICAL,coitus,coitus,rata,WILS.
PWG,de,dīrghasurata,dIrGasurata,CLINICAL,coitus,coitus,su˚,"TRIK. 2,10,5"
PW,de,ekapada,ekapada,CLINICAL,coitus,coeundi,ekapadā,"VARĀH. BṚH. S. 6,12"
PWG,de,ekapada,ekapada,CLINICAL,coitus,coitus,pādamekaṃ hṛdi sthāpya dvitīyaṃ skandhasaṃsthitam . stanau dhṛtvā rametkāmī bandhastvekapadaḥ smṛtaḥ ..,13997
SCH,de,ekapāda,ekapAda,CLINICAL,coitus,coitus,,
SCH,de,ekarūpa,ekarUpa,CLINICAL,coitus,coitus,,
SCH,de,gajopamardita,gajopamardita,CLINICAL,coitus,coitus,,
PW,de,gantavya,gantavya,CLINICAL,coitus,coitus,viśrambha,7
PWG,de,gantavya,gantavya,CLINICAL,coitus,coitus,paradārā na gantavyāḥ,"M. 8,314"
SCH,de,gardabhākrānta,gardaBAkrAnta,CLINICAL,coitus,coitus,,
SCH,de,garuḍabandha,garuqabanDa,CLINICAL,coitus,coitus,,
SCH,de,gaurīpriya,gOrIpriya,CLINICAL,coitus,coitus,,
SCH,de,ghaṭṭita,Gawwita,CLINICAL,coitus,coitus,,
PWG,de,gotrapravara,gotrapravara,CLINICAL,coitus,copulatives,gotrapravara,
SCH,de,goyūthika,goyUTika,CLINICAL,coitus,coitus,,
PW,de,grāmin,grAmin,CLINICAL,coitus,coitus,grāmiṇāṃ ratiḥ,
PWG,de,grāmin,grAmin,CLINICAL,coitus,coitus,grāmiṇāṃ ratiḥ,"BHĀG. P. 4,29,14"
SCH,de,grāmyarata,grAmyarata,CLINICAL,coitus,coitus,,
SCH,de,gārdabha,gArdaBa,CLINICAL,coitus,coitus,,
SCH,de,gārdabhika,gArdaBika,CLINICAL,coitus,coitus,,
SCH,de,harivikrama,harivikrama,CLINICAL,coitus,coitus,,"Ragh. XIX,25"
PW,de,harṣakīlaka,harzakIlaka,CLINICAL,coitus,coeundi,harṣakīlaka,
PWG,de,harṣakīlaka,harzakIlaka,CLINICAL,coitus,coeundi,nārī pādadvayaṃ dhṛtvā kāntasyoruyugopari . kaṭimāloḍayedāśu bandho 'yaṃ harṣakīlakaḥ ..,SMARADĪPIKĀ Tüb. Hdschr.
SCH,de,harṣalīlaka,harzalIlaka,CLINICAL,coitus,coitus,,
PW,de,harṣasaṃpuṭa,harzasaMpuwa,CLINICAL,coitus,coeundi,harṣasaṃpuṭa,
PWG,de,harṣasaṃpuṭa,harzasaMpuwa,CLINICAL,coitus,coeundi,nāryāścoruyugaṃ dhṛtvā karābhyāṃ pīḍayetpunaḥ . kāmayennirbhayaḥ kāmī bandho 'yaṃ harṣasaṃpuṭaḥ ..,SMARADĪPIKĀ Tüb. Hdschr.
SCH,de,haṃsabandha,haMsabanDa,CLINICAL,coitus,coitus,,
PW,de,haṃsakīlaka,haMsakIlaka,CLINICAL,coitus,coeundi,haṃsakīlaka,
PWG,de,haṃsakīlaka,haMsakIlaka,CLINICAL,coitus,coeundi,haṃsakīlaka,SMARADĪPIKĀ
SCH,de,haṃsalīlaka,haMsalIlaka,CLINICAL,coitus,coitus,,
SCH,de,hula,hula,CLINICAL,coitus,coitus,,H
SCH,de,hāriṇa,hAriRa,CLINICAL,coitus,coitus,,
SCH,de,hāstikabandha,hAstikabanDa,CLINICAL,coitus,coitus,,
SCH,de,hāsya,hAsya,CLINICAL,coitus,coitus,,
PWG,de,i,i,CLINICAL,coitus,coire,rohiṇīmupait,"M. 6,22"
SCH,de,indrāṇika,indrARika,CLINICAL,coitus,coitus,,"Vās. 244,3."
PW,de,indrāṇī,indrARI,CLINICAL,coitus,coeundi,indrāṇī,"ŚAT. BR. 10,5,2,9"
PWG,de,indrāṇī,indrARI,CLINICAL,coitus,coitus,strībandha,TRIK.
SCH,de,indrāṇī,indrARI,CLINICAL,coitus,coeundi,,"H 27,48"
SCH,de,indrāṇīka,indrARIka,CLINICAL,coitus,coitus,,
SCH,de,jayabandha,jayabanDa,CLINICAL,coitus,coitus,,
SCH,de,jvālāmukhabandha,jvAlAmuKabanDa,CLINICAL,coitus,coitus,,
SCH,de,jānukūrpara,jAnukUrpara,CLINICAL,coitus,coitus,,
PW,de,jṛmbhita,jfmBita,CLINICAL,coitus,coeundi,jrambh,
PWG,de,jṛmbhita,jfmBita,CLINICAL,coitus,coitus,strīṇāṃ karaṇa,MED.
SCH,de,jṛmbhita,jfmBita,CLINICAL,coitus,coitus,,
SCH,de,jṛmbhitaka,jfmBitaka,CLINICAL,coitus,coitus,,
SCH,de,kalāgraha,kalAgraha,CLINICAL,coitus,coitus,,
SCH,de,kalāvataraṇa,kalAvataraRa,CLINICAL,coitus,coitus,,
PWG,de,kam,kam,CLINICAL,coitus,coire,saṃdhyāyāṃ hṛcchayārditā,"BHĀG. P. 3,14,7"
SCH,de,kandarpa,kandarpa,CLINICAL,coitus,coitus,,"S I,406,11"
SCH,de,kandarpayuddha,kandarpayudDa,CLINICAL,coitus,coitus,,"S I,103,2"
PW,de,kandarpaśṛṅkhala,kandarpaSfNKala,CLINICAL,coitus,coeundi,kandarpaśṛṅkhala,
PWG,de,kandarpaśṛṅkhala,kandarpaSfNKala,CLINICAL,coitus,coitus,śṛṅgārabandhaviśeṣaḥ . tasya lakṣaṇam nārī padadvayaṃ sthāpya kāntasyorudvayopari . kaṭiṃ ceddholayedāśu bandhaḥ kandarpaśṛṅkhalaḥ .. iti ratimañjarī .,ŚKDR.
SCH,de,kanduka,kanduka,CLINICAL,coitus,coitus,,
PWG,de,karaṇa,karaRa,CLINICAL,coitus,coitus,yoṣitāṃ karaṇam,H. an.
PW,de,karkaṭa,karkawa,CLINICAL,coitus,coeundi,ā,"BHĀVAPR. 3,71"
PWG,de,karkaṭa,karkawa,CLINICAL,coitus,coitus,karkaṭī,H. an.
SCH,de,karkaṭa,karkawa,CLINICAL,coitus,coitus,,
SCH,de,karṇābharaṇa,karRABaraRa,CLINICAL,coitus,coitus,,
SCH,de,kaurma,kOrma,CLINICAL,coitus,coitus,,
SCH,de,kaurmaka,kOrmaka,CLINICAL,coitus,coitus,,
PW,de,keyūra,keyUra,CLINICAL,coitus,coeundi,keyūra,"KĀRAṆḌ. 51,11"
PWG,de,keyūra,keyUra,CLINICAL,coitus,coitus,strījaṅghe caiva saṃpīḍya dorbhyāmāliṅgya sundarīm . kārayet ṣṭhāpanaṃ,"BHARTṚ. 2,16"
PW,de,krīḍāratna,krIqAratna,CLINICAL,coitus,coitus,krīḍāratna,
PW,de,kuharita,kuharita,CLINICAL,coitus,coitus,kuharita,
SCH,de,kukkuṭabandha,kukkuwabanDa,CLINICAL,coitus,coitus,,
SCH,de,kuliśa,kuliSa,CLINICAL,coitus,coitus,,
PW,de,kuliśanāyaka,kuliSanAyaka,CLINICAL,coitus,coeundi,kuliśanāyaka,
PWG,de,kuliśanāyaka,kuliSanAyaka,CLINICAL,coitus,coitus,strīpādadvayamākṛṣya vimumukṣitaliṅgakaḥ . yoniṃ ca pīḍayetkāmī bandhaḥ kuliśanāyakaḥ ..,RATIM.
SCH,de,kuṇḍala,kuRqala,CLINICAL,coitus,coitus,,
PW,de,kāka,kAka,CLINICAL,coitus,coeundi,ī,"MBH. 8,41,58"
PWG,de,kāka,kAka,CLINICAL,coitus,coitus,kāka,H. an.
PW,de,kākapada,kAkapada,CLINICAL,coitus,coeundi,kākapada,
PWG,de,kākapada,kAkapada,CLINICAL,coitus,coitus,pādau dvau skandhayugmasthau kṣiptvā liṅgaṃ bhage laghu . kāmayetkāmukīṃ kāmī bandhaḥ kākapado mataḥ ..,MOLESW.
SCH,de,kākila,kAkila,CLINICAL,coitus,coeundi,,"S I,83,2"
PW,de,kāla,kAla,CLINICAL,coitus,coitus,kālaṃ gacchati,"CHĀND. UP. 2,13,1"
PWG,de,kāla,kAla,CLINICAL,coitus,coitus,kālaṃ gacchati,"CHĀND. UP. 2,13,1"
PW,de,kāmaprada,kAmaprada,CLINICAL,coitus,coeundi,kāmaprada,
PWG,de,kāmaprada,kAmaprada,CLINICAL,coitus,coitus,dvau pādau skandhasaṃlagnau kṣiptvā liṅgaṃ bhage tathā . kāmayetkāmukaḥ prītyā bandhaḥ kāmaprado hi saḥ ..,SMARAD.
SCH,de,kāmapāśaka,kAmapASaka,CLINICAL,coitus,coitus,,
SCH,de,kāmasundara,kAmasundara,CLINICAL,coitus,coitus,,
SCH,de,kāminīpriya,kAminIpriya,CLINICAL,coitus,coitus,,
SCH,de,kārkaṭaka,kArkawaka,CLINICAL,coitus,coitus,,
PWG,de,kīla,kIla,CLINICAL,coitus,coitus,ratahati,ŚKDR.
SCH,de,kīrti,kIrti,CLINICAL,coitus,coitus,,
SCH,de,kūrmabandha,kUrmabanDa,CLINICAL,coitus,coitus,,
PW,de,kṛcchravyavāya,kfcCravyavAya,CLINICAL,coitus,coitus,kṛcchravyavāya,"CARAKA 1,21"
PWK,de,kṛcchravyavāya,kfcCravyavAya,CLINICAL,coitus,coitus,kṛcchravyavāya,"CARAKA 1,21"
PW,de,kṣip,kzip,CLINICAL,coitus,coitus,ākṣipta,"NĀR. 12,16. 13"
PW,de,kṣubdha,kzubDa,CLINICAL,coitus,coeundi,kṣubh,
PWG,de,kṣubdha,kzubDa,CLINICAL,coitus,coitus,pārśvopari padau kṛtvā yonau liṅgena tāḍayet . bāhubhyāṃ dhāraṇaṃ gāḍhaṃ bandho vai kṣubdhasaṃjñakaḥ ..,H. 1023
SCH,de,lambaka,lambaka,CLINICAL,coitus,coitus,,
PW,de,latāveṣṭa,latAvezwa,CLINICAL,coitus,coeundi,latāveṣṭa,
PWG,de,latāveṣṭa,latAvezwa,CLINICAL,coitus,coeundi,bāhubhyāṃ pādayugmābhyāṃ veṣṭayitvā striyaṃ ramet . laghu liṅgatāḍanaṃ,10319
PW,de,likh,liK,CLINICAL,coitus,coire,lekhayati,"NĀRADA (a.) 2,1,150"
PWG,de,likh,liK,CLINICAL,coitus,coire,lekhayati,"MBH. 13,2456"
SCH,de,lolita,lolita,CLINICAL,coitus,coitus,,
SCH,de,līlāsana,lIlAsana,CLINICAL,coitus,coitus,,
SCH,de,līna,lIna,CLINICAL,coitus,coitus,,
SCH,de,manmatha,manmaTa,CLINICAL,coitus,coitus,,"S I,96,6"
SCH,de,manmathakalaha,manmaTakalaha,CLINICAL,coitus,coitus,,"S I,103,5."
SCH,de,manmathakeli,manmaTakeli,CLINICAL,coitus,coitus,,"Rasas. 49,11"
SCH,de,mantha,manTa,CLINICAL,coitus,coitus,,
SCH,de,manthana,manTana,CLINICAL,coitus,coitus,,
PW,de,markaṭa,markawa,CLINICAL,coitus,coeundi,markaṭi,"BHĀVAPR. 1,206"
PWG,de,markaṭa,markawa,CLINICAL,coitus,coitus,strīkaraṇāntara,H. 1197
SCH,de,mausalabandha,mOsalabanDa,CLINICAL,coitus,coitus,,
PW,de,maṇḍūka,maRqUka,CLINICAL,coitus,coeundi,maṇḍūkī,Mat. med. 213
PWG,de,maṇḍūka,maRqUka,CLINICAL,coitus,coitus,"abdhimaṇḍūkī, brahma˚, māṇḍūka, māṇḍūki, māṇḍūkeya",VIŚVA
SCH,de,maṇḍūka,maRqUka,CLINICAL,coitus,coitus,,"Aśvav. 39,6. 11."
SCH,de,mukula,mukula,CLINICAL,coitus,coitus,,"S I,310,7."
SCH,de,muraja,muraja,CLINICAL,coitus,coitus,,
SCH,de,musala,musala,CLINICAL,coitus,coitus,,
SCH,de,mārga,mArga,CLINICAL,coitus,coitus,,"R. ed. Bomb. 3,59,26."
SCH,de,mārjāra,mArjAra,CLINICAL,coitus,coitus,,
SCH,de,mārjārakrīḍitaka,mArjArakrIqitaka,CLINICAL,coitus,coitus,,
SCH,de,mārjāralatitaka,mArjAralatitaka,CLINICAL,coitus,coitus,,
SCH,de,mārkaṭa,mArkawa,CLINICAL,coitus,coitus,,
SCH,de,mārkaṭika,mArkawika,CLINICAL,coitus,coitus,,
SCH,de,mātsyabandha,mAtsyabanDa,CLINICAL,coitus,coitus,,
SCH,de,mātsyapuṭa,mAtsyapuwa,CLINICAL,coitus,coitus,,
SCH,de,māyūra,mAyUra,CLINICAL,coitus,coitus,,H
PW,de,mṛga,mfga,CLINICAL,coitus,coitus,maṅga,"HEMĀDRI 1,651,19. 654,11"
PWG,de,mṛga,mfga,CLINICAL,coitus,coitus,vadati madhuravāṇīṃ dīrghanetro 'tibhīruścapalamatiḥ sudehaḥ śīghravego mṛgo 'yam . — . mṛge tuṣṭā ca citriṇī . — . citriṇīmṛgayoryonimeḍhrakau ca tathāvidhau,"VARĀH. BṚH. S. 53,44"
SCH,de,nabhovyāpta,naBovyApta,CLINICAL,coitus,coitus,,
SCH,de,narāyita,narAyita,CLINICAL,coitus,coitus,,
PW,de,nidhuvana,niDuvana,CLINICAL,coitus,coitus,nidhuvana,"HARṢAC. 162,6"
PWG,de,nidhuvana,niDuvana,CLINICAL,coitus,coitus,ni,UJJVAL.
SCH,de,nirghāta,nirGAta,CLINICAL,coitus,coitus,,
SCH,de,nirhāti,nirhAti,CLINICAL,coitus,coitus,,
PW,de,nāga,nAga,CLINICAL,coitus,coeundi,karaṇa,GOLĀDHY. BHUV. 41
PWG,de,nāga,nAga,CLINICAL,coitus,coitus,strībandha,H. an.
SCH,de,nāga,nAga,CLINICAL,coitus,coitus,,"H XXXI,28."
SCH,de,nāgakesara,nAgakesara,CLINICAL,coitus,coitus,,
PW,de,nāgapada,nAgapada,CLINICAL,coitus,coeundi,nāgapada,
PWG,de,nāgapada,nAgapada,CLINICAL,coitus,coitus,pada,RATIM.
PW,de,nāgapāśa,nAgapASa,CLINICAL,coitus,coeundi,nāgapāśa,
PWG,de,nāgapāśa,nAgapASa,CLINICAL,coitus,coitus,nāga,H. an.
PW,de,nāgapāśaka,nAgapASaka,CLINICAL,coitus,coeundi,nāgapāśaka,
PWG,de,nāgapāśaka,nAgapASaka,CLINICAL,coitus,coitus,nāgapāśaka,RATIM.
PW,de,nāgara,nAgara,CLINICAL,coitus,coeundi,˚deśa,"HEMĀDRI 1,550,17"
PWG,de,nāgara,nAgara,CLINICAL,coitus,coitus,kelināgara,VIŚVA
SCH,de,nāgaraka,nAgaraka,CLINICAL,coitus,coitus,,
PW,de,nīlāsana,nIlAsana,CLINICAL,coitus,coeundi,nīlāsana,"RĀJAN. 9,140"
PWG,de,nīlāsana,nIlAsana,CLINICAL,coitus,coitus,nīla,ŚKDR.
SCH,de,nīrabandha,nIrabanDa,CLINICAL,coitus,coitus,,
SCH,de,nīvīnivāraṇa,nIvInivAraRa,CLINICAL,coitus,coitus,,
PW,de,nṛsiṃha,nfsiMha,CLINICAL,coitus,coeundi,˚siṃhācārya,"AGNI-P. 43,18"
PWG,de,nṛsiṃha,nfsiMha,CLINICAL,coitus,coitus,˚caturdaśī,RATIM.
PW,de,padma,padma,CLINICAL,coitus,coeundi,padmaka,"BHĀVAPR. 1,186"
PWG,de,padma,padma,CLINICAL,coitus,coitus,hastābhyāṃ ca samāliṅgya nārī padmāsanopari . ramedgāḍhaṃ samākṛṣya bandho 'yaṃ padmasaṃjñakaḥ ..,VEDĀNTAS. (Allah.) No. 130
SCH,de,padmabandha,padmabanDa,CLINICAL,coitus,coitus,,
PW,de,padmāsana,padmAsana,CLINICAL,coitus,coeundi,padmāsana,
PWG,de,padmāsana,padmAsana,CLINICAL,coitus,coitus,himagiriśilābaddha˚,"Ind. St. 2,47, N. 2"
SCH,de,pallava,pallava,CLINICAL,coitus,coitus,,"Vās. 38,4."
PWG,de,parimala,parimala,CLINICAL,coitus,coitus,suratopamardavikasaccharīrarāgādisaurabhe,MED.
SCH,de,parimṛṣṭaka,parimfzwaka,CLINICAL,coitus,coitus,,
SCH,de,parivartanaka,parivartanaka,CLINICAL,coitus,coitus,,
SCH,de,parivartita,parivartita,CLINICAL,coitus,coitus,,
SCH,de,parāvṛtta,parAvftta,CLINICAL,coitus,coitus,,
SCH,de,parāvṛttaka,parAvfttaka,CLINICAL,coitus,coitus,,
SCH,de,paśubandha,paSubanDa,CLINICAL,coitus,coitus,,
PW,de,paśupāśaka,paSupASaka,CLINICAL,coitus,coeundi,paśupāśaka,
PWG,de,paśupāśaka,paSupASaka,CLINICAL,coitus,coitus,striyamānatapūrvāṅgīṃ svapādāntaḥ padadvayam . ūrdhvāṃśena rametkāmī bandho 'yaṃ paśupāśakaḥ ..,RATIM.
SCH,de,paṅkajāsana,paNkajAsana,CLINICAL,coitus,coitus,,
SCH,de,phaṇipāśa,PaRipASa,CLINICAL,coitus,coitus,,
PWG,de,pravara,pravara,CLINICAL,coitus,copulatives,gotra˚,"Verz. d. Oxf. H. 268,b,39"
PW,de,praveśana,praveSana,CLINICAL,coitus,coitus,praveśana,GAL.
PWG,de,praveśana,praveSana,CLINICAL,coitus,coitus,paracitta˚,"PĀR. GṚHY. 1,11"
SCH,de,preṅkha,preNKa,CLINICAL,coitus,coitus,,
SCH,de,preṅkholita,preNKolita,CLINICAL,coitus,coitus,,
SCH,de,preṅkholitaka,preNKolitaka,CLINICAL,coitus,coitus,,
PW,de,priyatoṣaṇa,priyatozaRa,CLINICAL,coitus,coeundi,priyatoṣaṇa,
PWG,de,priyatoṣaṇa,priyatozaRa,CLINICAL,coitus,coitus,ratibandhaviśeṣa,ŚKDR.
SCH,de,prālambaka,prAlambaka,CLINICAL,coitus,coitus,,
SCH,de,puruṣarata,puruzarata,CLINICAL,coitus,coitus,,"S I,526,5"
SCH,de,puruṣopasṛpta,puruzopasfpta,CLINICAL,coitus,coitus,,
SCH,de,puruṣopasṛptaka,puruzopasfptaka,CLINICAL,coitus,coitus,,
PW,de,puruṣāyita,puruzAyita,CLINICAL,coitus,coitus,˚tva,"DEŚĪN. 1,42"
PWG,de,pāra,pAra,CLINICAL,coitus,coitus,abhayasya,"CHĀND. UP. 2,13,1"
SCH,de,pārāvata,pArAvata,CLINICAL,coitus,coitus,,
SCH,de,pārśvasaṃpuṭa,pArSvasaMpuwa,CLINICAL,coitus,coitus,,
PW,de,pīḍita,pIqita,CLINICAL,coitus,coeundi,pīḍana,"MBH. 15,227"
PWG,de,pīḍita,pIqita,CLINICAL,coitus,coitus,karaṇe strīṇām,"H. an. 3,282"
SCH,de,pīḍita,pIqita,CLINICAL,coitus,coitus,,
SCH,de,pīḍā,pIqA,CLINICAL,coitus,coitus,,
SCH,de,pūruṣāyitarata,pUruzAyitarata,CLINICAL,coitus,coitus,,Rasas. 183
SCH,de,rahas,rahas,CLINICAL,coitus,coitus,,
SCH,de,ramaṇarata,ramaRarata,CLINICAL,coitus,coitus,,"S I,101,2."
SCH,de,rambhāpriya,ramBApriya,CLINICAL,coitus,coitus,,
PW,de,rata,rata,CLINICAL,coitus,coitus,ā,
PWG,de,rata,rata,CLINICAL,coitus,coitus,ā,"AK. 2,7,56"
PWG,de,ratabandha,ratabanDa,CLINICAL,coitus,coitus,ratabandha,"H. an. 2,355"
PWG,de,rataguru,rataguru,CLINICAL,coitus,coitus,rata,"TRIK. 2,6,10"
PWG,de,ratajvara,ratajvara,CLINICAL,coitus,coitus,rata,"TRIK. 2,5,19"
PWG,de,ratakīla,ratakIla,CLINICAL,coitus,coitus,rata,H. 1280
SCH,de,ratakṣamā,ratakzamA,CLINICAL,coitus,coitus,,Śṛṅgt. 125
PWG,de,ratanidhi,rataniDi,CLINICAL,coitus,coitus,rata,"TRIK. 2,5,16"
PW,de,ratanārāca,ratanArAca,CLINICAL,coitus,coitu,ratanārāca,
PWG,de,ratanārīca,ratanArIca,CLINICAL,coitus,coitu,ratanārāca,TRIK.
PWG,de,ratavraṇa,ratavraRa,CLINICAL,coitus,coitus,rata,"TRIK. 2,10,6"
PWG,de,rataśāyin,rataSAyin,CLINICAL,coitus,coitus,rata,H. 1280
PW,de,rati,rati,CLINICAL,coitus,coitus,bandh,"134,21"
PWG,de,rati,rati,CLINICAL,coitus,coitus,ye divā ratyā saṃyujyante,H. 537
PW,de,ratimitra,ratimitra,CLINICAL,coitus,coeundi,ratimitra,SUBHĀṢITAR. 1709. 1749
PWG,de,ratimitra,ratimitra,CLINICAL,coitus,coeundi,pātayedūruyugme ca kāmukaṃ yadi kāmukī . ratimitrastadā khyātaḥ kāminīnāṃ sukhāvahaḥ ..,RATIM.
PW,de,ratināga,ratinAga,CLINICAL,coitus,coeundi,ratināga,
PWG,de,ratināga,ratinAga,CLINICAL,coitus,coeundi,pīḍyedūruyugmena kāmukaṃ kāminī yadā . ratināgaḥ samākhyātaḥ kāminīnāṃ manoramaḥ ..,RATIM.
PW,de,ratipriya,ratipriya,CLINICAL,coitus,coitus,ratipriya,"VĀSAV. 229,1"
PW,de,ratipāśa,ratipASa,CLINICAL,coitus,coeundi,ratipāśa,
PWG,de,ratipāśa,ratipASa,CLINICAL,coitus,coeundi,pīḍayedūruyugmena kāmuko yadi sundarīm . ratipāśastathā,SMARADĪPIKĀ
PWG,de,ratisaṃyoga,ratisaMyoga,CLINICAL,coitus,coitus,ratisaṃyoga,"R. 2,71,22"
PW,de,ratisundara,ratisundara,CLINICAL,coitus,coeundi,ratisundara,
PWG,de,ratisundara,ratisundara,CLINICAL,coitus,coeundi,nārīpadadvayaṃ kāmī dhārayeddhṛdaye yadi . dhṛtakaṇṭho rametkāmī bandhaḥ syādratisundaraḥ ..,RATIM.
SCH,de,rativyatyaya,rativyatyaya,CLINICAL,coitus,coitus,,"Śrīk. XV,44."
SCH,de,ratākṣamā,ratAkzamA,CLINICAL,coitus,coitus,,Śṛṅgt. 125
PWG,de,ratānduka,ratAnduka,CLINICAL,coitus,coitus,rata,H. 1280
SCH,de,rāsabha,rAsaBa,CLINICAL,coitus,coitus,,Śuk.
