fem_slp1	fem_iast	masc_slp1	masc_iast
AmantraRA	āmantraṇā	AmantraRa	āmantraṇa
AmbazWyA	āmbaṣṭhyā	AmbazWya	āmbaṣṭhya
AmuktA	āmuktā	Amukta	āmukta
AnandA	ānandā	Ananda	ānanda
AnandI	ānandī	Anandin	ānandin
ApA	āpā	Apa	āpa
AprA	āprā	Apra	āpra
AptA	āptā	Apta	āpta
ApyAyinI	āpyāyinī	ApyAyin	āpyāyin
ArA	ārā	Ara	āra
ArADanA	ārādhanā	ArADana	ārādhana
ArAgrA	ārāgrā	ArAgra	ārāgra
ArakzA	ārakṣā	Arakza	ārakṣa
ArdrA	ārdrā	Ardra	ārdra
ArjIkIyA	ārjīkīyā	ArjIkIya	ārjīkīya
ArogyA	ārogyā	Arogya	ārogya
ArtanA	ārtanā	Artana	ārtana
AruRI	āruṇī	AruRin	āruṇin
AryA	āryā	Arya	ārya
AsAdanA	āsādanā	AsAdana	āsādana
AsPotA	āsphotā	AsPota	āsphota
AsaNginI	āsaṅginī	AsaNgin	āsaṅgin
AsanA	āsanā	Asana	āsana
AsikA	āsikā	Asika	āsika
AsyA	āsyā	Asya	āsya
AtA	ātā	Ata	āta
AtiTyA	ātithyā	AtiTya	ātithya
AtmaSlAGA	ātmaślāghā	AtmaSlAGa	ātmaślāgha
AtmajA	ātmajā	Atmaja	ātmaja
AtmaneBAzA	ātmanebhāṣā	AtmaneBAza	ātmanebhāṣa
AtmasamBavA	ātmasambhavā	AtmasamBava	ātmasambhava
AtmodBavA	ātmodbhavā	AtmodBava	ātmodbhava
AvA	āvā	Ava	āva
AvantikA	āvantikā	Avantika	āvantika
AvartA	āvartā	Avarta	āvarta
AvartinI	āvartinī	Avartin	āvartin
AvyADinI	āvyādhinī	AvyADin	āvyādhin
AwavI	āṭavī	Awavin	āṭavin
AyA	āyā	Aya	āya
AyatA	āyatā	Ayata	āyata
AyuktA	āyuktā	Ayukta	āyukta
AzAQA	āṣāḍhā	AzAQa	āṣāḍha
AzwrA	āṣṭrā	Azwra	āṣṭra
BA	bhā	Ba	bha
BARqikA	bhāṇḍikā	BARqika	bhāṇḍika
BAdrapadA	bhādrapadā	BAdrapada	bhādrapada
BAgaDA	bhāgadhā	BAgaDa	bhāgadha
BAginI	bhāginī	BAgin	bhāgin
BAjI	bhājī	BAjin	bhājin
BAmA	bhāmā	BAma	bhāma
BAminI	bhāminī	BAmin	bhāmin
BAnumatI	bhānumatī	BAnumatin	bhānumatin
BArAkrAntA	bhārākrāntā	BArAkrAnta	bhārākrānta
BAradvAjI	bhāradvājī	BAradvAjin	bhāradvājin
BAravAhI	bhāravāhī	BAravAhin	bhāravāhin
BArikA	bhārikā	BArika	bhārika
BAryA	bhāryā	BArya	bhārya
BAsI	bhāsī	BAsin	bhāsin
BAvAnugA	bhāvānugā	BAvAnuga	bhāvānuga
BAvajYA	bhāvajñā	BAvajYa	bhāvajña
BAvakA	bhāvakā	BAvaka	bhāvaka
BAvanA	bhāvanā	BAvana	bhāvana
BAvinI	bhāvinī	BAvin	bhāvin
BAvitA	bhāvitā	BAvita	bhāvita
BAvukA	bhāvukā	BAvuka	bhāvuka
BAzA	bhāṣā	BAza	bhāṣa
BAzikA	bhāṣikā	BAzika	bhāṣika
BEkzacaryA	bhaikṣacaryā	BEkzacarya	bhaikṣacarya
BEravA	bhairavā	BErava	bhairava
BImA	bhīmā	BIma	bhīma
BImaraTA	bhīmarathā	BImaraTa	bhīmaratha
BIzaRA	bhīṣaṇā	BIzaRa	bhīṣaṇa
BUCAyA	bhūchāyā	BUCAya	bhūchāya
BUkeSA	bhūkeśā	BUkeSa	bhūkeśa
BUliNgA	bhūliṅgā	BUliNga	bhūliṅga
BUmijA	bhūmijā	BUmija	bhūmija
BUmimaRqA	bhūmimaṇḍā	BUmimaRqa	bhūmimaṇḍa
BUmisamBavA	bhūmisambhavā	BUmisamBava	bhūmisambhava
BUribalA	bhūribalā	BUribala	bhūribala
BUridA	bhūridā	BUrida	bhūrida
BUsutA	bhūsutā	BUsuta	bhūsuta
BUtA	bhūtā	BUta	bhūta
BUtaDarA	bhūtadharā	BUtaDara	bhūtadhara
BUtamAtrA	bhūtamātrā	BUtamAtra	bhūtamātra
BaNgA	bhaṅgā	BaNga	bhaṅga
BaNgI	bhaṅgī	BaNgin	bhaṅgin
BaNgurA	bhaṅgurā	BaNgura	bhaṅgura
BaNgyA	bhaṅgyā	BaNgya	bhaṅgya
BaRqA	bhaṇḍā	BaRqa	bhaṇḍa
BaRqI	bhaṇḍī	BaRqin	bhaṇḍin
BaYjI	bhañjī	BaYjin	bhañjin
BaYjanA	bhañjanā	BaYjana	bhañjana
BadrA	bhadrā	Badra	bhadra
BadrakA	bhadrakā	Badraka	bhadraka
BadramustA	bhadramustā	Badramusta	bhadramusta
BadrapadA	bhadrapadā	Badrapada	bhadrapada
BadrikA	bhadrikā	Badrika	bhadrika
BagA	bhagā	Baga	bhaga
BagadevatA	bhagadevatā	Bagadevata	bhagadevata
BagalA	bhagalā	Bagala	bhagala
BaginI	bhaginī	Bagin	bhagin
BallikA	bhallikā	Ballika	bhallika
BamBA	bhambhā	BamBa	bhambha
BandanA	bhandanā	Bandana	bhandana
BaratA	bharatā	Barata	bharata
BartfvratA	bhartṛvratā	Bartfvrata	bhartṛvrata
BasmagarBA	bhasmagarbhā	BasmagarBa	bhasmagarbha
BastrikA	bhastrikā	Bastrika	bhastrika
BavA	bhavā	Bava	bhava
BavAtmajA	bhavātmajā	BavAtmaja	bhavātmaja
BavaBAvanA	bhavabhāvanā	BavaBAvana	bhavabhāvana
BavakA	bhavakā	Bavaka	bhavaka
BavyA	bhavyā	Bavya	bhavya
BawA	bhaṭā	Bawa	bhaṭa
BawwA	bhaṭṭā	Bawwa	bhaṭṭa
BayanASinI	bhayanāśinī	BayanASin	bhayanāśin
BazA	bhaṣā	Baza	bhaṣa
BeRqA	bheṇḍā	BeRqa	bheṇḍa
BedinI	bhedinī	Bedin	bhedin
BeruRqA	bheruṇḍā	BeruRqa	bheruṇḍa
BfNgA	bhṛṅgā	BfNga	bhṛṅga
BfNgAhvA	bhṛṅgāhvā	BfNgAhva	bhṛṅgāhva
BfNgI	bhṛṅgī	BfNgin	bhṛṅgin
BfNgajA	bhṛṅgajā	BfNgaja	bhṛṅgaja
BfNgavallaBA	bhṛṅgavallabhā	BfNgavallaBa	bhṛṅgavallabha
BftyA	bhṛtyā	Bftya	bhṛtya
BillI	bhillī	Billin	bhillin
BinnA	bhinnā	Binna	bhinna
BittikA	bhittikā	Bittika	bhittika
BizajyA	bhiṣajyā	Bizajya	bhiṣajya
BogA	bhogā	Boga	bhoga
BogAvAsA	bhogāvāsā	BogAvAsa	bhogāvāsa
BoginI	bhoginī	Bogin	bhogin
BogyA	bhogyā	Bogya	bhogya
BojA	bhojā	Boja	bhoja
BojyA	bhojyā	Bojya	bhojya
BrAmakA	bhrāmakā	BrAmaka	bhrāmaka
BrAmarI	bhrāmarī	BrAmarin	bhrāmarin
BrAtfjA	bhrātṛjā	BrAtfja	bhrātṛja
BrAzwrajA	bhrāṣṭrajā	BrAzwraja	bhrāṣṭraja
BramarA	bhramarā	Bramara	bhramara
BramarezwA	bhramareṣṭā	Bramarezwa	bhramareṣṭa
BrazwA	bhraṣṭā	Brazwa	bhraṣṭa
BujA	bhujā	Buja	bhuja
BujaMgamA	bhujaṃgamā	BujaMgama	bhujaṃgama
BujagaSiSusftA	bhujagaśiśusṛtā	BujagaSiSusfta	bhujagaśiśusṛta
BujizyA	bhujiṣyā	Bujizya	bhujiṣya
CA	chā	Ca	cha
CAdinI	chādinī	CAdin	chādin
CAgA	chāgā	CAga	chāga
CAgalAntrI	chāgalāntrī	CAgalAntrin	chāgalāntrin
CAttriSAlA	chāttriśālā	CAttriSAla	chāttriśāla
CAyA	chāyā	CAya	chāya
CagalA	chagalā	Cagala	chagala
CagalAntrI	chagalāntrī	CagalAntrin	chagalāntrin
CagalI	chagalī	Cagalin	chagalin
CalA	chalā	Cala	chala
CalanA	chalanā	Calana	chalana
CandasyA	chandasyā	Candasya	chandasya
CattrA	chattrā	Cattra	chattra
CattrAticCattrA	chattrāticchattrā	CattrAticCattra	chattrāticchattra
CattrI	chattrī	Cattrin	chattrin
CattrikA	chattrikā	Cattrika	chattrika
CedI	chedī	Cedin	chedin
CidA	chidā	Cida	chida
CikkikA	chikkikā	Cikkika	chikkika
CinnA	chinnā	Cinna	chinna
CinnaruhA	chinnaruhā	Cinnaruha	chinnaruha
CuqqA	chuḍḍā	Cuqqa	chuḍḍa
DA	dhā	Da	dha
DAkA	dhākā	DAka	dhāka
DAnA	dhānā	DAna	dhāna
DAnAkA	dhānākā	DAnAka	dhānāka
DAnI	dhānī	DAnin	dhānin
DAnakA	dhānakā	DAnaka	dhānaka
DAnuzkA	dhānuṣkā	DAnuzka	dhānuṣka
DAnyamiSrA	dhānyamiśrā	DAnyamiSra	dhānyamiśra
DArA	dhārā	DAra	dhāra
DAraRA	dhāraṇā	DAraRa	dhāraṇa
DAraRIyA	dhāraṇīyā	DAraRIya	dhāraṇīya
DArakA	dhārakā	DAraka	dhāraka
DAyyA	dhāyyā	DAyya	dhāyya
DIrA	dhīrā	DIra	dhīra
DIralalitA	dhīralalitā	DIralalita	dhīralalita
DItA	dhītā	DIta	dhīta
DUmA	dhūmā	DUma	dhūma
DUminI	dhūminī	DUmin	dhūmin
DUmitA	dhūmitā	DUmita	dhūmita
DUmrA	dhūmrā	DUmra	dhūmra
DUmravarRA	dhūmravarṇā	DUmravarRa	dhūmravarṇa
DUrtA	dhūrtā	DUrta	dhūrta
DUsarA	dhūsarā	DUsara	dhūsara
DUtA	dhūtā	DUta	dhūta
DUtapApA	dhūtapāpā	DUtapApa	dhūtapāpa
DamaDamA	dhamadhamā	DamaDama	dhamadhama
DanAyA	dhanāyā	DanAya	dhanāya
DanadA	dhanadā	Danada	dhanada
DanaharI	dhanaharī	Danaharin	dhanaharin
DanapriyA	dhanapriyā	Danapriya	dhanapriya
DanikA	dhanikā	Danika	dhanika
DanizWA	dhaniṣṭhā	DanizWa	dhaniṣṭha
DanurguRA	dhanurguṇā	DanurguRa	dhanurguṇa
DanvA	dhanvā	Danva	dhanva
DanyA	dhanyā	Danya	dhanya
DarA	dharā	Dara	dhara
DarADarA	dharādharā	DarADara	dharādhara
DaraRIsutA	dharaṇīsutā	DaraRIsuta	dharaṇīsuta
DarmABimuKA	dharmābhimukhā	DarmABimuKa	dharmābhimukha
DarmANgA	dharmāṅgā	DarmANga	dharmāṅga
DarmaMdadA	dharmaṃdadā	DarmaMdada	dharmaṃdada
DarmameGA	dharmameghā	DarmameGa	dharmamegha
DarmapIWA	dharmapīṭhā	DarmapIWa	dharmapīṭha
DarzitA	dharṣitā	Darzita	dharṣita
DattUrakA	dhattūrakā	DattUraka	dhattūraka
DawI	dhaṭī	Dawin	dhaṭin
DenA	dhenā	Dena	dhena
DenukA	dhenukā	Denuka	dhenuka
DfzitA	dhṛṣitā	Dfzita	dhṛṣita
DfzwA	dhṛṣṭā	Dfzwa	dhṛṣṭa
DizRyA	dhiṣṇyā	DizRya	dhiṣṇya
DizaRA	dhiṣaṇā	DizaRa	dhiṣaṇa
DmA	dhmā	Dma	dhma
DoyI	dhoyī	Doyin	dhoyin
DrA	dhrā	Dra	dhra
DruvA	dhruvā	Druva	dhruva
DruvakA	dhruvakā	Druvaka	dhruvaka
DukA	dhukā	Duka	dhuka
DurA	dhurā	Dura	dhura
DuvakA	dhuvakā	Duvaka	dhuvaka
DvANkzA	dhvāṅkṣā	DvANkza	dhvāṅkṣa
DvaMsI	dhvaṃsī	DvaMsin	dhvaṃsin
DvajI	dhvajī	Dvajin	dhvajin
DvajinI	dhvajinī	Dvajin	dhvajin
ElA	ailā	Ela	aila
GA	ghā	Ga	gha
GAtinI	ghātinī	GAtin	ghātin
GAwA	ghāṭā	GAwa	ghāṭa
GAwikA	ghāṭikā	GAwika	ghāṭika
GUrRanA	ghūrṇanā	GUrRana	ghūrṇana
GaRwA	ghaṇṭā	GaRwa	ghaṇṭa
GaRwAravA	ghaṇṭāravā	GaRwArava	ghaṇṭārava
GaRwI	ghaṇṭī	GaRwin	ghaṇṭin
GaRwikA	ghaṇṭikā	GaRwika	ghaṇṭika
GanA	ghanā	Gana	ghana
GanAGanA	ghanāghanā	GanAGana	ghanāghana
GarGarA	ghargharā	GarGara	gharghara
GawA	ghaṭā	Gawa	ghaṭa
GawI	ghaṭī	Gawin	ghaṭin
GawanA	ghaṭanā	Gawana	ghaṭana
GawikA	ghaṭikā	Gawika	ghaṭika
GawwA	ghaṭṭā	Gawwa	ghaṭṭa
GawwanA	ghaṭṭanā	Gawwana	ghaṭṭana
GawwitA	ghaṭṭitā	Gawwita	ghaṭṭita
GfRA	ghṛṇā	GfRa	ghṛṇa
GftA	ghṛtā	Gfta	ghṛta
GftamaRqA	ghṛtamaṇḍā	GftamaRqa	ghṛtamaṇḍa
GftapakvA	ghṛtapakvā	Gftapakva	ghṛtapakva
GorA	ghorā	Gora	ghora
GorarUpA	ghorarūpā	GorarUpa	ghorarūpa
GoravASinI	ghoravāśinī	GoravASin	ghoravāśin
GozA	ghoṣā	Goza	ghoṣa
GozaRA	ghoṣaṇā	GozaRa	ghoṣaṇa
GrARA	ghrāṇā	GrARa	ghrāṇa
GuRwikA	ghuṇṭikā	GuRwika	ghuṇṭika
GurGurA	ghurghurā	GurGura	ghurghura
GuwikA	ghuṭikā	Guwika	ghuṭika
I	ī	in	in
ISA	īśā	ISa	īśa
ISAnA	īśānā	ISAna	īśāna
ISAnADipA	īśānādhipā	ISAnADipa	īśānādhipa
ISinI	īśinī	ISin	īśin
ISvarA	īśvarā	ISvara	īśvara
IhA	īhā	Iha	īha
IkzA	īkṣā	Ikza	īkṣa
IrmA	īrmā	Irma	īrma
IryA	īryā	Irya	īrya
IrzyA	īrṣyā	Irzya	īrṣya
IzA	īṣā	Iza	īṣa
IzaRA	īṣaṇā	IzaRa	īṣaṇa
JA	jhā	Ja	jha
JAwA	jhāṭā	JAwa	jhāṭa
JampA	jhampā	Jampa	jhampa
JarJarA	jharjharā	JarJara	jharjhara
JarJarI	jharjharī	JarJarin	jharjharin
JazA	jhaṣā	Jaza	jhaṣa
JillI	jhillī	Jillin	jhillin
JillIkA	jhillīkā	JillIka	jhillīka
JillikA	jhillikā	Jillika	jhillika
KA	khā	Ka	kha
KAdanA	khādanā	KAdana	khādana
KAnikA	khānikā	KAnika	khānika
KArikA	khārikā	KArika	khārika
KAtA	khātā	KAta	khāta
KAwA	khāṭā	KAwa	khāṭa
KaNKaRA	khaṅkhaṇā	KaNKaRa	khaṅkhaṇa
KaRqanA	khaṇḍanā	KaRqana	khaṇḍana
KaRqikA	khaṇḍikā	KaRqika	khaṇḍika
KaRqinI	khaṇḍinī	KaRqin	khaṇḍin
KaRqitA	khaṇḍitā	KaRqita	khaṇḍita
KaYjA	khañjā	KaYja	khañja
KaYjanA	khañjanā	KaYjana	khañjana
KadirA	khadirā	Kadira	khadira
KadirakA	khadirakā	Kadiraka	khadiraka
KadyotA	khadyotā	Kadyota	khadyota
KajA	khajā	Kaja	khaja
KajAkA	khajākā	KajAka	khajāka
KalA	khalā	Kala	khala
KalI	khalī	Kalin	khalin
KalinI	khalinī	Kalin	khalin
KalyA	khalyā	Kalya	khalya
KanitrA	khanitrā	Kanitra	khanitra
KaqgahastA	khaḍgahastā	Kaqgahasta	khaḍgahasta
KaqikA	khaḍikā	Kaqika	khaḍika
KarA	kharā	Kara	khara
KaraSAlA	kharaśālā	KaraSAla	kharaśāla
KaranAdinI	kharanādinī	KaranAdin	kharanādin
KarapattrA	kharapattrā	Karapattra	kharapattra
KarapuzpA	kharapuṣpā	Karapuzpa	kharapuṣpa
KaraskanDA	kharaskandhā	KaraskanDa	kharaskandha
KargalA	khargalā	Kargala	khargala
KasA	khasā	Kasa	khasa
KasamBavA	khasambhavā	KasamBava	khasambhava
KawakA	khaṭakā	Kawaka	khaṭaka
KawikA	khaṭikā	Kawika	khaṭika
KawvANgI	khaṭvāṅgī	KawvANgin	khaṭvāṅgin
KawwA	khaṭṭā	Kawwa	khaṭṭa
KawwikA	khaṭṭikā	Kawwika	khaṭṭika
KecarA	khecarā	Kecara	khecara
KedA	khedā	Keda	kheda
KedinI	khedinī	Kedin	khedin
KelA	khelā	Kela	khela
KelanA	khelanā	Kelana	khelana
KurI	khurī	Kurin	khurin
OdakA	audakā	Odaka	audaka
OpakAryA	aupakāryā	OpakArya	aupakārya
OpalA	aupalā	Opala	aupala
OqavA	auḍavā	Oqava	auḍava
PA	phā	Pa	pha
PaRA	phaṇā	PaRa	phaṇa
PaRI	phaṇī	PaRin	phaṇin
PaRijJakA	phaṇijjhakā	PaRijJaka	phaṇijjhaka
PalA	phalā	Pala	phala
PalAQyA	phalāḍhyā	PalAQya	phalāḍhya
PalI	phalī	Palin	phalin
PalahArI	phalahārī	PalahArin	phalahārin
PalakA	phalakā	Palaka	phalaka
PalakinI	phalakinī	Palakin	phalakin
PalapuzpA	phalapuṣpā	Palapuzpa	phalapuṣpa
PalepAkA	phalepākā	PalepAka	phalepāka
PalgudA	phalgudā	Palguda	phalguda
PalikA	phalikā	Palika	phalika
PalinI	phalinī	Palin	phalin
PalitA	phalitā	Palita	phalita
ParParIkA	pharpharīkā	ParParIka	pharpharīka
PawA	phaṭā	Pawa	phaṭa
PelA	phelā	Pela	phela
PenA	phenā	Pena	phena
PenilA	phenilā	Penila	phenila
QakkA	ḍhakkā	Qakka	ḍhakka
SAKA	śākhā	SAKa	śākha
SAbalyA	śābalyā	SAbalya	śābalya
SAdA	śādā	SAda	śāda
SAkA	śākā	SAka	śāka
SAkI	śākī	SAkin	śākin
SAkaSrezWA	śākaśreṣṭhā	SAkaSrezWa	śākaśreṣṭha
SAkinI	śākinī	SAkin	śākin
SAlA	śālā	SAla	śāla
SAlI	śālī	SAlin	śālin
SAlInA	śālīnā	SAlIna	śālīna
SAlikA	śālikā	SAlika	śālika
SAlinI	śālinī	SAlin	śālin
SAlitA	śālitā	SAlita	śālita
SAlmalI	śālmalī	SAlmalin	śālmalin
SAlmalinI	śālmalinī	SAlmalin	śālmalin
SAlvA	śālvā	SAlva	śālva
SAmA	śāmā	SAma	śāma
SAntA	śāntā	SAnta	śānta
SArNgI	śārṅgī	SArNgin	śārṅgin
SArNgikA	śārṅgikā	SArNgika	śārṅgika
SAradA	śāradā	SArada	śārada
SAradI	śāradī	SAradin	śāradin
SAradikA	śāradikā	SAradika	śāradika
SArikA	śārikā	SArika	śārika
SArvarI	śārvarī	SArvarin	śārvarin
SAwyAyanI	śāṭyāyanī	SAwyAyanin	śāṭyāyanin
SEbyA	śaibyā	SEbya	śaibya
SElA	śailā	SEla	śaila
SElajA	śailajā	SElaja	śailaja
SEvalinI	śaivalinī	SEvalin	śaivalin
SIGrA	śīghrā	SIGra	śīghra
SIlA	śīlā	SIla	śīla
SIpAlA	śīpālā	SIpAla	śīpāla
SIrI	śīrī	SIrin	śīrin
SIrzA	śīrṣā	SIrza	śīrṣa
SItA	śītā	SIta	śīta
SItaPalA	śītaphalā	SItaPala	śītaphala
SItaSivA	śītaśivā	SItaSiva	śītaśiva
SItaganDA	śītagandhā	SItaganDa	śītagandha
SItalA	śītalā	SItala	śītala
SItapallavA	śītapallavā	SItapallava	śītapallava
SItapuzpA	śītapuṣpā	SItapuzpa	śītapuṣpa
SItasahA	śītasahā	SItasaha	śītasaha
SItodA	śītodā	SItoda	śītoda
SItozRA	śītoṣṇā	SItozRa	śītoṣṇa
SORqA	śauṇḍā	SORqa	śauṇḍa
SORqI	śauṇḍī	SORqin	śauṇḍin
SORqinI	śauṇḍinī	SORqin	śauṇḍin
SOnakI	śaunakī	SOnakin	śaunakin
SUdrA	śūdrā	SUdra	śūdra
SUkA	śūkā	SUka	śūka
SUlA	śūlā	SUla	śūla
SUlI	śūlī	SUlin	śūlin
SUlaDarA	śūladharā	SUlaDara	śūladhara
SUlikA	śūlikā	SUlika	śūlika
SUlinI	śūlinī	SUlin	śūlin
SUnA	śūnā	SUna	śūna
SUnyA	śūnyā	SUnya	śūnya
SUrasenA	śūrasenā	SUrasena	śūrasena
SaMkarA	śaṃkarā	SaMkara	śaṃkara
SaMkarapriyA	śaṃkarapriyā	SaMkarapriya	śaṃkarapriya
SaMsA	śaṃsā	SaMsa	śaṃsa
SaMsTA	śaṃsthā	SaMsTa	śaṃstha
SaNKA	śaṅkhā	SaNKa	śaṅkha
SaNKaDarA	śaṅkhadharā	SaNKaDara	śaṅkhadhara
SaNKaDmA	śaṅkhadhmā	SaNKaDma	śaṅkhadhma
SaNKikA	śaṅkhikā	SaNKika	śaṅkhika
SaNKinI	śaṅkhinī	SaNKin	śaṅkhin
SaNkA	śaṅkā	SaNka	śaṅka
SaRqikA	śaṇḍikā	SaRqika	śaṇḍika
SaSI	śaśī	SaSin	śaśin
SaSikAntA	śaśikāntā	SaSikAnta	śaśikānta
SaSinI	śaśinī	SaSin	śaśin
SaSipraBA	śaśiprabhā	SaSipraBa	śaśiprabha
SaSipriyA	śaśipriyā	SaSipriya	śaśipriya
SabalA	śabalā	Sabala	śabala
SabarA	śabarā	Sabara	śabara
SabdasaMjYA	śabdasaṃjñā	SabdasaMjYa	śabdasaṃjña
SakA	śakā	Saka	śaka
SakaDUmajA	śakadhūmajā	SakaDUmaja	śakadhūmaja
SakalI	śakalī	Sakalin	śakalin
SakawI	śakaṭī	Sakawin	śakaṭin
SakawikA	śakaṭikā	Sakawika	śakaṭika
SakulI	śakulī	Sakulin	śakulin
SakunajYA	śakunajñā	SakunajYa	śakunajña
SakvarA	śakvarā	Sakvara	śakvara
SalAkA	śalākā	SalAka	śalāka
SalakA	śalakā	Salaka	śalaka
SallA	śallā	Salla	śalla
SalyA	śalyā	Salya	śalya
SamA	śamā	Sama	śama
SamI	śamī	Samin	śamin
SamakA	śamakā	Samaka	śamaka
SamitA	śamitā	Samita	śamita
SamyA	śamyā	Samya	śamya
SarI	śarī	Sarin	śarin
SaraBA	śarabhā	SaraBa	śarabha
SaraRyA	śaraṇyā	SaraRya	śaraṇya
SaradA	śaradā	Sarada	śarada
SaradaRqA	śaradaṇḍā	SaradaRqa	śaradaṇḍa
SarapuNKA	śarapuṅkhā	SarapuNKa	śarapuṅkha
SaravyA	śaravyā	Saravya	śaravya
SarkarA	śarkarā	Sarkara	śarkara
SarkarI	śarkarī	Sarkarin	śarkarin
SarkarikA	śarkarikā	Sarkarika	śarkarika
SarvA	śarvā	Sarva	śarva
SarvarI	śarvarī	Sarvarin	śarvarin
SaryA	śaryā	Sarya	śarya
SasA	śasā	Sasa	śasa
SastrI	śastrī	Sastrin	śastrin
SatA	śatā	Sata	śata
SatAnanA	śatānanā	SatAnana	śatānana
SatAnandA	śatānandā	SatAnanda	śatānanda
SatAtfRRA	śatātṛṇṇā	SatAtfRRa	śatātṛṇṇa
SatAyuDA	śatāyudhā	SatAyuDa	śatāyudha
SatI	śatī	Satin	śatin
SataBizA	śatabhiṣā	SataBiza	śatabhiṣa
SataGnI	śataghnī	SataGnin	śataghnin
SataSIrzA	śataśīrṣā	SataSIrza	śataśīrṣa
SataSalAkA	śataśalākā	SataSalAka	śataśalāka
SatabalA	śatabalā	Satabala	śatabala
SatadA	śatadā	Satada	śatada
SatadalA	śatadalā	Satadala	śatadala
SatahradA	śatahradā	Satahrada	śatahrada
SatakumBA	śatakumbhā	SatakumBa	śatakumbha
SatamUlA	śatamūlā	SatamUla	śatamūla
SataparivArA	śataparivārā	SataparivAra	śataparivāra
SataparvA	śataparvā	Sataparva	śataparva
SatapattrA	śatapattrā	Satapattra	śatapattra
SatapuzpA	śatapuṣpā	Satapuzpa	śatapuṣpa
SatarUpA	śatarūpā	SatarUpa	śatarūpa
SatarudrA	śatarudrā	Satarudra	śatarudra
SatavIryA	śatavīryā	SatavIrya	śatavīrya
SatendriyA	śatendriyā	Satendriya	śatendriya
SatikA	śatikā	Satika	śatika
SatruMjayA	śatruṃjayā	SatruMjaya	śatruṃjaya
SavasI	śavasī	Savasin	śavasin
SawA	śaṭā	Sawa	śaṭa
SayA	śayā	Saya	śaya
SepyA	śepyā	Sepya	śepya
SevA	śevā	Seva	śeva
SezA	śeṣā	Seza	śeṣa
SezI	śeṣī	Sezin	śeṣin
SfNKalA	śṛṅkhalā	SfNKala	śṛṅkhala
SfNgArA	śṛṅgārā	SfNgAra	śṛṅgāra
SfNgI	śṛṅgī	SfNgin	śṛṅgin
SfNgikA	śṛṅgikā	SfNgika	śṛṅgika
SiKA	śikhā	SiKa	śikha
SiKI	śikhī	SiKin	śikhin
SiKaRqI	śikhaṇḍī	SiKaRqin	śikhaṇḍin
SiKaRqikA	śikhaṇḍikā	SiKaRqika	śikhaṇḍika
SiKaRqinI	śikhaṇḍinī	SiKaRqin	śikhaṇḍin
SiKarA	śikharā	SiKara	śikhara
SiKarI	śikharī	SiKarin	śikharin
SiKinI	śikhinī	SiKin	śikhin
SiNgI	śiṅgī	SiNgin	śiṅgin
SiPA	śiphā	SiPa	śipha
SiSirA	śiśirā	SiSira	śiśira
SiYjinI	śiñjinī	SiYjin	śiñjin
SibikA	śibikā	Sibika	śibika
SikzA	śikṣā	Sikza	śikṣa
SikzitA	śikṣitā	Sikzita	śikṣita
SilA	śilā	Sila	śila
SilAvahA	śilāvahā	SilAvaha	śilāvaha
SilI	śilī	Silin	śilin
SilajA	śilajā	Silaja	śilaja
SilpA	śilpā	Silpa	śilpa
SilpI	śilpī	Silpin	śilpin
