slp1	iast
AtreyikA	ātreyikā
AvADA	āvādhā
AvAhanI	āvāhanī
AvI	āvī
AvaSyakatA	āvaśyakatā
AvalI	āvalī
AvalikA	āvalikā
AvantI	āvantī
AvapanI	āvapanī
AvarikA	āvarikā
AvartakI	āvartakī
AvartanI	āvartanī
AvegI	āvegī
AviBA	āvibhā
AvidDakarRI	āviddhakarṇī
AvikI	āvikī
AvirmuKI	āvirmukhī
AvyaTA	āvyathā
AwikI	āṭikī
AyasI	āyasī
AyatI	āyatī
AyataBrUkatA	āyatabhrūkatā
AyatacCadA	āyatacchadā
AyatapARileKatA	āyatapāṇilekhatā
AyatapArzRitA	āyatapārṣṇitā
AyatayA	āyatayā
AyattatA	āyattatā
AyogavI	āyogavī
AyuDaDarmiRI	āyudhadharmiṇī
AyuDaSAlA	āyudhaśālā
AyuDapiSAcI	āyudhapiśācī
AyuDapiSAcikA	āyudhapiśācikā
AyuHSezatA	āyuḥśeṣatā
AyupatnI	āyupatnī
AyurdA	āyurdā
AyuzpA	āyuṣpā
AzAQI	āṣāḍhī
AzAQikA	āṣāḍhikā
AzWA	āṣṭhā
AzwrI	āṣṭrī
BANgAsurinfpAjYA	bhāṅgāsurinṛpājñā
BARikA	bhāṇikā
BARqI	bhāṇḍī
BARqaSAlA	bhāṇḍaśālā
BARqaraYjakamfttikA	bhāṇḍarañjakamṛttikā
BARqiSAlA	bhāṇḍiśālā
BARqinI	bhāṇḍinī
BAdrI	bhādrī
BAdrabAhavI	bhādrabāhavī
BAdrapadI	bhādrapadī
BAgIraTI	bhāgīrathī
BAgadA	bhāgadā
BAgakalpanA	bhāgakalpanā
BAgalakzaRA	bhāgalakṣaṇā
BAgavatAmftakaRikA	bhāgavatāmṛtakaṇikā
BAgavatI	bhāgavatī
BAgavatIsaMhitA	bhāgavatīsaṃhitā
BAgavataSrutigItA	bhāgavataśrutigītā
BAgavatacUrRikA	bhāgavatacūrṇikā
BAgavatacandracandrikA	bhāgavatacandracandrikā
BAgavatakOmudI	bhāgavatakaumudī
BAgavatanibanDayojanA	bhāgavatanibandhayojanā
BAgavatapurARAdyaSlokatrayIwIkA	bhāgavatapurāṇādyaślokatrayīṭīkā
BAgavatapurARArkapraBA	bhāgavatapurāṇārkaprabhā
BAgavatapurARamaYjarI	bhāgavatapurāṇamañjarī
BAgavatapurARapraTamaSlokatrayIwIkA	bhāgavatapurāṇaprathamaślokatrayīṭīkā
BAgavatapurARaprasaNgadfzwAntAvalI	bhāgavatapurāṇaprasaṅgadṛṣṭāntāvalī
BAgavatapurARasArArTadarSinI	bhāgavatapurāṇasārārthadarśinī
BAgavatapurARasUcikA	bhāgavatapurāṇasūcikā
BAgavatasaMkzepavyAKyA	bhāgavatasaṃkṣepavyākhyā
BAgavatasaptAhAnukramaRikA	bhāgavatasaptāhānukramaṇikā
BAgavatavAditoziRI	bhāgavatavāditoṣiṇī
BAgineyI	bhāgineyī
BAgurI	bhāgurī
BAgyavattA	bhāgyavattā
BAjA	bhājā
BAjanatA	bhājanatā
BAllaviSAKA	bhāllaviśākhā
BAmanI	bhāmanī
BAmatI	bhāmatī
BAnavI	bhānavī
BAnuPalA	bhānuphalā
BAnutA	bhānutā
BArNgI	bhārṅgī
BArOhI	bhārauhī
BAraNgI	bhāraṅgī
BAraRqI	bhāraṇḍī
BAradvAjaSikzA	bhāradvājaśikṣā
BAradvAjaSrAdDakARqavyAKyA	bhāradvājaśrāddhakāṇḍavyākhyā
BAradvAjakI	bhāradvājakī
BAradvAjasaMhitA	bhāradvājasaṃhitā
BAratArTadIpikA	bhāratārthadīpikā
BAratI	bhāratī
BAratamaYjarI	bhāratamañjarī
BAratasAvitrI	bhāratasāvitrī
BAratasaMgrahadIpikA	bhāratasaṃgrahadīpikā
BAratavyAKyA	bhāratavyākhyā
BAravI	bhāravī
BArdvAjI	bhārdvājī
BArgI	bhārgī
BArgavArcanacandrikA	bhārgavārcanacandrikā
BArgavArcanadIpikA	bhārgavārcanadīpikā
BArgavI	bhārgavī
BArgavadIpikA	bhārgavadīpikā
BAsantI	bhāsantī
BAsatA	bhāsatā
BAskarasaptamI	bhāskarasaptamī
BAskarezwA	bhāskareṣṭā
BAsurapuzpA	bhāsurapuṣpā
BAsvatI	bhāsvatī
BAvAlInA	bhāvālīnā
BAvAnandI	bhāvānandī
BAvArTadIpikA	bhāvārthadīpikā
BAvArTaprakASikA	bhāvārthaprakāśikā
BAvAtmakatA	bhāvātmakatā
BAvaSabalA	bhāvaśabalā
BAvaSabalatA	bhāvaśabalatā
BAvacandrikA	bhāvacandrikā
BAvacintA	bhāvacintā
BAvadIpikA	bhāvadīpikā
BAvadevI	bhāvadevī
BAvadyotanikA	bhāvadyotanikā
BAvagarhA	bhāvagarhā
BAvakOmudI	bhāvakaumudī
BAvakalpalatA	bhāvakalpalatā
BAvalA	bhāvalā
BAvalavavyAKyA	bhāvalavavyākhyā
BAvaleSaprakASikA	bhāvaleśaprakāśikā
BAvanAmayI	bhāvanāmayī
BAvanayA	bhāvanayā
BAvanikA	bhāvanikā
BAvapraboDinI	bhāvaprabodhinī
BAvapradIpikA	bhāvapradīpikā
BAvaprakASikA	bhāvaprakāśikā
BAvasiMhaprakriyA	bhāvasiṃhaprakriyā
BAvataraMgiRI	bhāvataraṃgiṇī
BAvatriBaNgI	bhāvatribhaṅgī
BAvavfttI	bhāvavṛttī
BAvaviBAvinI	bhāvavibhāvinī
BAvaviSoDinI	bhāvaviśodhinī
BAvyatA	bhāvyatā
BAwakajIvikA	bhāṭakajīvikā
BAwwadIpikA	bhāṭṭadīpikā
BAwwapariBAzA	bhāṭṭaparibhāṣā
BAwwapariBAzAprakASikA	bhāṭṭaparibhāṣāprakāśikā
BAwwasArakArikA	bhāṭṭasārakārikā
BAzAkOmudI	bhāṣākaumudī
BAzAkumudamaYjarI	bhāṣākumudamañjarī
BAzAlIlAvatI	bhāṣālīlāvatī
BAzAmaYjarI	bhāṣāmañjarī
BAzAprakASikA	bhāṣāprakāśikā
BAzAvivftigItA	bhāṣāvivṛtigītā
BAzaRI	bhāṣaṇī
BAzyAvatArikA	bhāṣyāvatārikā
BAzyaBAnupraBA	bhāṣyabhānuprabhā
BAzyacandrikA	bhāṣyacandrikā
BAzyadIpikA	bhāṣyadīpikā
BAzyaratnAvalI	bhāṣyaratnāvalī
BAzyaratnapraBA	bhāṣyaratnaprabhā
BAzyaratnaprakASikA	bhāṣyaratnaprakāśikā
BAzyavizayavAkyadIpikA	bhāṣyaviṣayavākyadīpikā
BAzyavyAKyA	bhāṣyavyākhyā
BAzyawIkA	bhāṣyaṭīkā
BEkzajIvikA	bhaikṣajīvikā
BEmI	bhaimī
BEmaraTI	bhaimarathī
BEravArcanakalpalatA	bhairavārcanakalpalatā
BEravI	bhairavī
BEravanAmAvalI	bhairavanāmāvalī
BEravasaMhitA	bhairavasaṃhitā
BEravayAtanA	bhairavayātanā
BEravyazwottaraSatanAmAvalI	bhairavyaṣṭottaraśatanāmāvalī
BEzajyaguruvEqUryapraBA	bhaiṣajyaguruvaiḍūryaprabhā
BEzajyaratnAvalI	bhaiṣajyaratnāvalī
BEzajyasArAmftasaMhitA	bhaiṣajyasārāmṛtasaṃhitā
BEzmakI	bhaiṣmakī
BI	bhī
BIRI	bhīṇī
BIlaBUzaRA	bhīlabhūṣaṇā
BImEkAdaSI	bhīmaikādaśī
BImaBavA	bhīmabhavā
BImadvAdaSI	bhīmadvādaśī
BImajA	bhīmajā
BImajananI	bhīmajananī
BImaputrikA	bhīmaputrikā
BImaraTI	bhīmarathī
BImarikA	bhīmarikā
BImasutA	bhīmasutā
BImatA	bhīmatā
BImodarI	bhīmodarī
BIruparRI	bhīruparṇī
BIrupattrI	bhīrupattrī
BIrutA	bhīrutā
BItI	bhītī
BIzA	bhīṣā
BIzikA	bhīṣikā
BIzmAzwamI	bhīṣmāṣṭamī
BIzmajananI	bhīṣmajananī
BIzmakAtmajA	bhīṣmakātmajā
BIzmaratnaparikzA	bhīṣmaratnaparikṣā
BORikyA	bhauṇikyā
BOlI	bhaulī
BOliNgI	bhauliṅgī
BOlikyA	bhaulikyā
BOmI	bhaumī
BOmapUjA	bhaumapūjā
BOmasaMhitA	bhaumasaṃhitā
BOmavratakaTA	bhaumavratakathā
BOrikI	bhaurikī
BOrikyA	bhaurikyā
BOtI	bhautī
BUDAtirI	bhūdhātirī
BUDaratA	bhūdharatā
BUGnI	bhūghnī
BUKarjUrI	bhūkharjūrī
BUSamI	bhūśamī
BUSarkarA	bhūśarkarā
BUSayyA	bhūśayyā
BUbadarI	bhūbadarī
BUcaryA	bhūcaryā
BUdarIBavA	bhūdarībhavā
BUgolavidyA	bhūgolavidyā
BUgolavyavasTAtantroktA	bhūgolavyavasthātantroktā
BUkadambikA	bhūkadambikā
BUkeSI	bhūkeśī
BUkumBI	bhūkumbhī
BUkuzmARqI	bhūkuṣmāṇḍī
BUkzIravAwikA	bhūkṣīravāṭikā
BUlagnA	bhūlagnā
BUlatA	bhūlatā
BUmAnandasarasvatI	bhūmānandasarasvatī
BUmI	bhūmī
BUmIcCA	bhūmīcchā
BUmakatftIyA	bhūmakatṛtīyā
BUmavidyA	bhūmavidyā
BUmayI	bhūmayī
BUmiKarjUrI	bhūmikharjūrī
BUmiKarjUrikA	bhūmikharjūrikā
BUmiSayyA	bhūmiśayyā
BUmidevI	bhūmidevī
BUmiguhA	bhūmiguhā
BUmijambukA	bhūmijambukā
BUmikA	bhūmikā
BUmikandalI	bhūmikandalī
BUmimaRqapaBUzaRA	bhūmimaṇḍapabhūṣaṇā
BUmimayI	bhūmimayī
BUmipASakA	bhūmipāśakā
BUmnA	bhūmnā
BUmyAmalI	bhūmyāmalī
BUmyAmalakI	bhūmyāmalakī
BUnA	bhūnā
BUpAlI	bhūpālī
BUpAlaSrI	bhūpālaśrī
BUpAwalI	bhūpāṭalī
BUpadI	bhūpadī
BUpatA	bhūpatā
BUpiWarI	bhūpiṭharī
BUputrI	bhūputrī
BUriPalI	bhūriphalī
BUriPenA	bhūriphenā
BUridugDA	bhūridugdhā
BUriganDA	bhūrigandhā
BUrilagnA	bhūrilagnā
BUrimUlikA	bhūrimūlikā
BUrimallI	bhūrimallī
BUripalitadA	bhūripalitadā
BUriprayogagaRaDAtuwIkA	bhūriprayogagaṇadhātuṭīkā
BUripuzpA	bhūripuṣpā
BUritA	bhūritā
BUruRqI	bhūruṇḍī
BUtAlI	bhūtālī
BUtAnukampA	bhūtānukampā
BUtaBAzA	bhūtabhāṣā
BUtaDAriRI	bhūtadhāriṇī
BUtaDAtrI	bhūtadhātrī
BUtaGnI	bhūtaghnī
BUtacaturdaSI	bhūtacaturdaśī
BUtacintA	bhūtacintā
BUtadamanI	bhūtadamanī
BUtadattA	bhūtadattā
BUtadayA	bhūtadayā
BUtaganDA	bhūtagandhā
BUtahantrI	bhūtahantrī
BUtahatyA	bhūtahatyā
BUtajananI	bhūtajananī
BUtajawA	bhūtajaṭā
BUtakaraRavatI	bhūtakaraṇavatī
BUtakeSI	bhūtakeśī
BUtakesarA	bhūtakesarā
BUtalikA	bhūtalikā
BUtamArI	bhūtamārī
BUtamAtfkA	bhūtamātṛkā
BUtanAyikA	bhūtanāyikā
BUtapUrRimA	bhūtapūrṇimā
BUtapUrvawA	bhūtapūrvaṭā
BUtapattrI	bhūtapattrī
BUtapurI	bhūtapurī
BUtaqAmarI	bhūtaḍāmarī
BUtasADanI	bhūtasādhanī
BUtasArI	bhūtasārī
BUtatA	bhūtatā
BUtavezI	bhūtaveṣī
BUtavidyA	bhūtavidyā
BUtavikriyA	bhūtavikriyā
BUtezwA	bhūteṣṭā
BUtezwakA	bhūteṣṭakā
BUtigOrI	bhūtigaurī
BUtitIrTA	bhūtitīrthā
BUtopamA	bhūtopamā
BUtumbI	bhūtumbī
BUvarI	bhūvarī
BUyasA	bhūyasā
BUyaskAmatA	bhūyaskāmatā
BUyorucitA	bhūyorucitā
BUyuktA	bhūyuktā
BUzA	bhūṣā
BUzApewI	bhūṣāpeṭī
BUzaRapewikA	bhūṣaṇapeṭikā
BUzaRatA	bhūṣaṇatā
BUzaRawIkA	bhūṣaṇaṭīkā
BaMkArI	bhaṃkārī
BaNgArI	bhaṅgārī
BaNgavAsA	bhaṅgavāsā
BaNguratA	bhaṅguratā
BaRqAkI	bhaṇḍākī
BaRqIrI	bhaṇḍīrī
BaRqIralatikA	bhaṇḍīralatikā
BaRqItakI	bhaṇḍītakī
BaRqahAsinI	bhaṇḍahāsinī
BaRqikA	bhaṇḍikā
BaRqirI	bhaṇḍirī
BaRwAkI	bhaṇṭākī
BaSirA	bhaśirā
BaYjA	bhañjā
BaYjikA	bhañjikā
BaYjipattrikA	bhañjipattrikā
BadrAlI	bhadrālī
BadrAlapattrikA	bhadrālapattrikā
BadrAvakASA	bhadrāvakāśā
BadrAvatI	bhadrāvatī
BadrElA	bhadrailā
BadrOdanI	bhadraudanī
BadraBUzaRA	bhadrabhūṣaṇā
BadraMyA	bhadraṃyā
BadraMyikA	bhadraṃyikā
BadraSilA	bhadraśilā
BadraSrI	bhadraśrī
BadrabAhusaMhitA	bhadrabāhusaṃhitā
BadrabalA	bhadrabalā
BadradantikA	bhadradantikā
BadraganDikA	bhadragandhikā
BadrakASI	bhadrakāśī
BadrakAlI	bhadrakālī
BadrakanyA	bhadrakanyā
BadrakarRikA	bhadrakarṇikā
BadralatA	bhadralatā
BadramallikA	bhadramallikā
BadranAmikA	bhadranāmikā
BadraparRA	bhadraparṇā
BadraparRI	bhadraparṇī
BadrarUpA	bhadrarūpā
BadrarohiRI	bhadrarohiṇī
BadrasomA	bhadrasomā
BadratA	bhadratā
BadrataruRI	bhadrataruṇī
BadravallI	bhadravallī
BadravallikA	bhadravallikā
BadravatI	bhadravatī
BadrayA	bhadrayā
BadrazazWI	bhadraṣaṣṭhī
BagAnAmnI	bhagānāmnī
BagIraTakanyA	bhagīrathakanyā
BagIraTasutA	bhagīrathasutā
BagadA	bhagadā
BaganandA	bhaganandā
BagavadBakticandrikA	bhagavadbhakticandrikā
BagavadBaktiratnAvalI	bhagavadbhaktiratnāvalī
BagavadBaktitaraMgiRI	bhagavadbhaktitaraṃgiṇī
BagavadDyAnamuktAvalI	bhagavaddhyānamuktāvalī
BagavadgItA	bhagavadgītā
BagavadgItAgUQArTadIpikA	bhagavadgītāgūḍhārthadīpikā
BagavadgItAlaGuvyAKyA	bhagavadgītālaghuvyākhyā
BagavadgItArTasaMgraharakzA	bhagavadgītārthasaṃgraharakṣā
BagavadgItAtAtparyaboDikA	bhagavadgītātātparyabodhikā
BagavadgItAtAtparyaboDinI	bhagavadgītātātparyabodhinī
BagavadgItAtAtparyacandrikA	bhagavadgītātātparyacandrikā
BagavadgItAtAtparyadIpikA	bhagavadgītātātparyadīpikā
BagavadgItAvyAKyA	bhagavadgītāvyākhyā
BagavadgItAwIkA	bhagavadgītāṭīkā
BagavadvilAsaratnAvalI	bhagavadvilāsaratnāvalī
BagavanmAnapUjA	bhagavanmānapūjā
BagavannAmAvalI	bhagavannāmāvalī
BagavannAmakOmudI	bhagavannāmakaumudī
BagavatI	bhagavatī
BagavatIgItA	bhagavatīgītā
BagavatpadI	bhagavatpadī
BagavatprasAdamAlA	bhagavatprasādamālā
BagavatsvatantratA	bhagavatsvatantratā
BagavattattvadIpikA	bhagavattattvadīpikā
BagavattattvamaYjarI	bhagavattattvamañjarī
BaginikA	bhaginikā
BagnI	bhagnī
BagnaprakramatA	bhagnaprakramatā
BagnatA	bhagnatā
BajanatA	bhajanatā
BakakzA	bhakakṣā
BakkikA	bhakkikā
BaktAkANkzA	bhaktākāṅkṣā
BaktArADanaprayogamaRimAlikA	bhaktārādhanaprayogamaṇimālikā
BaktIdyAvApfTivI	bhaktīdyāvāpṛthivī
BaktaSAlA	bhaktaśālā
BaktagItAwIkA	bhaktagītāṭīkā
BaktajA	bhaktajā
BaktajayantI	bhaktajayantī
BaktamAlA	bhaktamālā
BaktamImAMsA	bhaktamīmāṃsā
BaktamodataraMgiRI	bhaktamodataraṃgiṇī
BaktapratizWA	bhaktapratiṣṭhā
BaktatA	bhaktatā
BakticandrikA	bhakticandrikā
BaktidIpikA	bhaktidīpikā
BaktidUtI	bhaktidūtī
BaktijYatA	bhaktijñatā
BaktikalpalatA	bhaktikalpalatā
BaktilaharI	bhaktilaharī
BaktimArgopadeSadIkzA	bhaktimārgopadeśadīkṣā
BaktimaYjarI	bhaktimañjarī
BaktimuktAvalI	bhaktimuktāvalī
BaktiprArTanA	bhaktiprārthanā
BaktipraBA	bhaktiprabhā
BaktirasAbDikaRikA	bhaktirasābdhikaṇikā
BaktiratnAvalI	bhaktiratnāvalī
BaktisaMdarBapadyAvalI	bhaktisaṃdarbhapadyāvalī
BaktitaraMgiRI	bhaktitaraṃgiṇī
BaktivarDinI	bhaktivardhinī
BaktivilAsatattvadIpikA	bhaktivilāsatattvadīpikā
BaktyA	bhaktyā
BaktyaDikaraRamAlA	bhaktyadhikaraṇamālā
BaktyullAsamaYjarI	bhaktyullāsamañjarī
BakzAlI	bhakṣālī
BakzaRIyatA	bhakṣaṇīyatā
BakzapattrI	bhakṣapattrī
BakziRI	bhakṣiṇī
BakzikA	bhakṣikā
BalatA	bhalatā
BallI	bhallī
BallapucCI	bhallapucchī
BamBarAlI	bhambharālī
BamBarAlikA	bhambharālikā
BarBarA	bharbharā
BarUjI	bharūjī
BaraRI	bharaṇī
BaraRyAhvA	bharaṇyāhvā
