slp1	iast
BadrElA	bhadrailā
BadradantikA	bhadradantikā
BadraganDikA	bhadragandhikā
BadrakASI	bhadrakāśī
BadrakAlI	bhadrakālī
BadramallikA	bhadramallikā
BadramustA	bhadramustā
BadranAmA	bhadranāmā
BadranAmikA	bhadranāmikā
BadrapaRI	bhadrapaṇī
BadrapadA	bhadrapadā
BadraparRA	bhadraparṇā
BadrasomA	bhadrasomā
BadrataruRI	bhadrataruṇī
BadravalA	bhadravalā
BadravallI	bhadravallī
BadravallikA	bhadravallikā
BadravarmmA	bhadravarmmā
BadravatI	bhadravatī
BadrodanI	bhadrodanī
BagAlI	bhagālī
BagavatI	bhagavatī
BaginI	bhaginī
BagnAtmA	bhagnātmā
BagnI	bhagnī
BaktatA	bhaktatā
BakzapatrA	bhakṣapatrā
BakzyapatrA	bhakṣyapatrā
BalatA	bhalatā
BallAtakI	bhallātakī
BallI	bhallī
BallapucCI	bhallapucchī
BallikA	bhallikā
BamBarAlI	bhambharālī
BamBarAlikA	bhambharālikā
BaraRI	bharaṇī
BaraRyA	bharaṇyā
BaraRyAhvA	bharaṇyāhvā
BariRI	bhariṇī
BarimA	bharimā
BarmmaRyA	bharmmaṇyā
BartsapatrikA	bhartsapatrikā
BarttA	bharttā
BarttfGnI	bharttṛghnī
BarttfdArikA	bharttṛdārikā
BasmaganDA	bhasmagandhā
BasmaganDikA	bhasmagandhikā
BasmaganDinI	bhasmagandhinī
BasmagarBA	bhasmagarbhā
BasmarohA	bhasmarohā
BastrA	bhastrā
BastrAkA	bhastrākā
BastrI	bhastrī
BastrakA	bhastrakā
BavAnI	bhavānī
BavAtmajA	bhavātmajā
BavAyanA	bhavāyanā
BavanASinI	bhavanāśinī
BavatI	bhavatī
BavitA	bhavitā
BavitavyatA	bhavitavyatā
BavyA	bhavyā
BawwinI	bhaṭṭinī
BayanASinI	bhayanāśinī
BazI	bhaṣī
BedI	bhedī
BekI	bhekī
BekaparRI	bhekaparṇī
BeqI	bheḍī
BerI	bherī
BeruRqA	bheruṇḍā
BettA	bhettā
BfNgAhvA	bhṛṅgāhvā
BfNgAnandA	bhṛṅgānandā
BfNgArI	bhṛṅgārī
BfNgArikA	bhṛṅgārikā
BfNgI	bhṛṅgī
BfNgajA	bhṛṅgajā
BfNgamUlikA	bhṛṅgamūlikā
BfNgaparRikA	bhṛṅgaparṇikā
BfNgapriyA	bhṛṅgapriyā
BfNgavallaBA	bhṛṅgavallabhā
BfNgezwA	bhṛṅgeṣṭā
BfNgiRI	bhṛṅgiṇī
BfkuwI	bhṛkuṭī
BftyA	bhṛtyā
BiRqA	bhiṇḍā
BikzASI	bhikṣāśī
BikzAkI	bhikṣākī
BikzusaMGAwI	bhikṣusaṃghāṭī
BillI	bhillī
BillagavI	bhillagavī
BinnaBinnAtmA	bhinnabhinnātmā
BinnagAtrikA	bhinnagātrikā
BinnayojanI	bhinnayojanī
BiriRwikA	bhiriṇṭikā
BissA	bhissā
BissawA	bhissaṭā
BissiwA	bhissiṭā
BittikA	bhittikā
BiyA	bhiyā
BizaNmAtA	bhiṣaṅmātā
BizagBadrA	bhiṣagbhadrā
BizakpriyA	bhiṣakpriyā
BogAvalI	bhogāvalī
BogI	bhogī
BogapiSAcikA	bhogapiśācikā
BogavatI	bhogavatī
BoginI	bhoginī
BogyA	bhogyā
BojayitA	bhojayitā
BoktA	bhoktā
BrAmarI	bhrāmarī
BrAtA	bhrātā
BrAtfdvitIyA	bhrātṛdvitīyā
BrAtfjAyA	bhrātṛjāyā
BrAtfpatnI	bhrātṛpatnī
BrURahA	bhrūṇahā
BrURahatyA	bhrūṇahatyā
BrakuwI	bhrakuṭī
BramI	bhramī
BramaRI	bhramaṇī
BramarA	bhramarā
BramarI	bhramarī
BramaracCallI	bhramaracchallī
BramaramArI	bhramaramārī
BramarezwA	bhramareṣṭā
BramarotsavA	bhramarotsavā
BramatkuwI	bhramatkuṭī
BujaNgAkzI	bhujaṅgākṣī
BujaNgaBojI	bhujaṅgabhojī
BujaNgaGAtinI	bhujaṅgaghātinī
BujaNgahA	bhujaṅgahā
BujaNgajihvA	bhujaṅgajihvā
BujaNgalatA	bhujaṅgalatā
BujagABojI	bhujagābhojī
BujizyA	bhujiṣyā
CAgI	chāgī
CAgaBojI	chāgabhojī
CAgalAntrI	chāgalāntrī
CAgalAntrikA	chāgalāntrikā
CAgikA	chāgikā
CAyA	chāyā
CUrI	chūrī
CUrikApatrI	chūrikāpatrī
CadmikA	chadmikā
CagalA	chagalā
CagalANGrI	chagalāṅghrī
CagalARqI	chagalāṇḍī
CagalAntrI	chagalāntrī
CagalAntrikA	chagalāntrikā
CagalI	chagalī
CallI	challī
CarddApanikA	charddāpanikā
CarddikA	charddikā
CattrA	chattrā
CattrAkI	chattrākī
CattrI	chattrī
CattrikA	chattrikā
CawA	chaṭā
CawABA	chaṭābhā
CidravEdehI	chidravaidehī
CikkA	chikkā
CikkanI	chikkanī
CikkikA	chikkikā
CinnA	chinnā
CinnagranTinikA	chinnagranthinikā
CinnamastA	chinnamastā
