a_slp1	a_iast	b_slp1	b_iast
balakzaH	balakṣaḥ	valakzaH	valakṣaḥ
balguH	balguḥ	valguH	valguḥ
balgukaM	balgukaṃ	valgukaM	valgukaṃ
balha	balha	valha	valha
baliBaH	balibhaḥ	valiBaH	valibhaḥ
baliBuk	balibhuk	valiBuk	valibhuk
baliDvaMsI	balidhvaṃsī	valiDvaMsI	validhvaṃsī
baliH	baliḥ	valiH	valiḥ
baliSI	baliśī	valiSI	valiśī
baliSaM	baliśaṃ	valiSaM	valiśaṃ
baliSiH	baliśiḥ	valiSiH	valiśiḥ
balihA	balihā	valihA	valihā
balimAn	balimān	valimAn	valimān
balimandiraM	balimandiraṃ	valimandiraM	valimandiraṃ
balimuKaH	balimukhaḥ	valimuKaH	valimukhaḥ
balinI	balinī	valinI	valinī
balinaH	balinaḥ	valinaH	valinaḥ
balinandanaH	balinandanaḥ	valinandanaH	valinandanaḥ
balipodakI	balipodakī	valipodakI	valipodakī
balipriyaH	balipriyaḥ	valipriyaH	valipriyaḥ
balipuzwaH	balipuṣṭaḥ	valipuzwaH	valipuṣṭaḥ
balisadma	balisadma	valisadma	valisadma
balizWaH	baliṣṭhaḥ	valizWaH	valiṣṭhaḥ
balkaH	balkaḥ	valkaH	valkaḥ
balkaM	balkaṃ	valkaM	valkaṃ
balkalaH	balkalaḥ	valkalaH	valkalaḥ
balkalaM	balkalaṃ	valkalaM	valkalaṃ
balmIkaH	balmīkaḥ	valmIkaH	valmīkaḥ
balvajA	balvajā	valvajA	valvajā
balvajaH	balvajaḥ	valvajaH	valvajaḥ
balyaM	balyaṃ	valyaM	valyaṃ
bana	bana	vana	vana
bandI	bandī	vandI	vandī
bandIkAraH	bandīkāraḥ	vandIkAraH	vandīkāraḥ
bandiH	bandiḥ	vandiH	vandiḥ
bandicOraH	bandicauraḥ	vandicOraH	vandicauraḥ
bandigrAhaH	bandigrāhaḥ	vandigrAhaH	vandigrāhaḥ
bandipAWaH	bandipāṭhaḥ	vandipAWaH	vandipāṭhaḥ
baqavA	baḍavā	vaqavA	vaḍavā
baqavAgniH	baḍavāgniḥ	vaqavAgniH	vaḍavāgniḥ
baqavAhftaH	baḍavāhṛtaḥ	vaqavAhftaH	vaḍavāhṛtaḥ
baqavAmuKaH	baḍavāmukhaḥ	vaqavAmuKaH	vaḍavāmukhaḥ
baqavAnalaH	baḍavānalaḥ	vaqavAnalaH	vaḍavānalaḥ
baqavAsutO	baḍavāsutau	vaqavAsutO	vaḍavāsutau
barhI	barhī	varhI	varhī
barha	barha	varha	varha
barhaM	barhaṃ	varhaM	varhaṃ
barhiRaH	barhiṇaḥ	varhiRaH	varhiṇaḥ
bastaH	bastaḥ	vastaH	vastaḥ
bawuH	baṭuḥ	vawuH	vaṭuḥ
bazkayaRI	baṣkayaṇī	vazkayaRI	vaṣkayaṇī
bekawaH	bekaṭaḥ	vekawaH	vekaṭaḥ
bfhacCalkaH	bṛhacchalkaḥ	vfhacCalkaH	vṛhacchalkaḥ
bfhaccaYcuH	bṛhaccañcuḥ	vfhaccaYcuH	vṛhaccañcuḥ
bfhaccittaH	bṛhaccittaḥ	vfhaccittaH	vṛhaccittaḥ
bfhadBawwArikA	bṛhadbhaṭṭārikā	vfhadBawwArikA	vṛhadbhaṭṭārikā
bfhadDalaM	bṛhaddhalaṃ	vfhadDalaM	vṛhaddhalaṃ
bfhadaNgaH	bṛhadaṅgaḥ	vfhadaNgaH	vṛhadaṅgaḥ
bfhadamlaH	bṛhadamlaḥ	vfhadamlaH	vṛhadamlaḥ
bfhaddalaH	bṛhaddalaḥ	vfhaddalaH	vṛhaddalaḥ
bfhadelA	bṛhadelā	vfhadelA	vṛhadelā
bfhadgolaM	bṛhadgolaṃ	vfhadgolaM	vṛhadgolaṃ
bfhadrAvI	bṛhadrāvī	vfhadrAvI	vṛhadrāvī
bfhadraTaH	bṛhadrathaḥ	vfhadraTaH	vṛhadrathaḥ
bfhadvAruRI	bṛhadvāruṇī	vfhadvAruRI	vṛhadvāruṇī
bfhadvAtaH	bṛhadvātaḥ	vfhadvAtaH	vṛhadvātaḥ
bfhadvIjaH	bṛhadvījaḥ	vfhadvIjaH	vṛhadvījaḥ
bfhadvalkaH	bṛhadvalkaḥ	vfhadvalkaH	vṛhadvalkaḥ
bfhajjIvantI	bṛhajjīvantī	vfhajjIvantI	vṛhajjīvantī
bfhannalaH	bṛhannalaḥ	vfhannalaH	vṛhannalaḥ
bfhaqQakkA	bṛhaḍḍhakkā	vfhaqQakkA	vṛhaḍḍhakkā
bfhaspatiH	bṛhaspatiḥ	vfhaspatiH	vṛhaspatiḥ
bfhaspaticakraM	bṛhaspaticakraṃ	vfhaspaticakraM	vṛhaspaticakraṃ
bfhat	bṛhat	vfhat	vṛhat
bfhatI	bṛhatī	vfhatI	vṛhatī
bfhatIpatiH	bṛhatīpatiḥ	vfhatIpatiH	vṛhatīpatiḥ
bfhatPalA	bṛhatphalā	vfhatPalA	vṛhatphalā
bfhatPalaH	bṛhatphalaḥ	vfhatPalaH	vṛhatphalaḥ
bfhatikA	bṛhatikā	bfhattikA	bṛhattikā
bfhatikA	bṛhatikā	vfhatikA	vṛhatikā
bfhatkASaH	bṛhatkāśaḥ	vfhatkASaH	vṛhatkāśaḥ
bfhatkAlaSAkaH	bṛhatkālaśākaḥ	vfhatkAlaSAkaH	vṛhatkālaśākaḥ
bfhatkaH	bṛhatkaḥ	vfhatkaH	vṛhatkaḥ
bfhatkandaH	bṛhatkandaḥ	vfhatkandaH	vṛhatkandaḥ
bfhatkukziH	bṛhatkukṣiḥ	vfhatkukziH	vṛhatkukṣiḥ
bfhatpAlI	bṛhatpālī	vfhatpAlI	vṛhatpālī
bfhatpArevataM	bṛhatpārevataṃ	vfhatpArevataM	vṛhatpārevataṃ
bfhatpAwaliH	bṛhatpāṭaliḥ	vfhatpAwaliH	vṛhatpāṭaliḥ
bfhatpIluH	bṛhatpīluḥ	vfhatpIluH	vṛhatpīluḥ
bfhatpatrA	bṛhatpatrā	vfhatpatrA	vṛhatpatrā
bfhatpatraH	bṛhatpatraḥ	vfhatpatraH	vṛhatpatraḥ
bfhatpuzpI	bṛhatpuṣpī	vfhatpuzpI	vṛhatpuṣpī
bfhattAlaH	bṛhattālaḥ	vfhattAlaH	vṛhattālaḥ
bfhattfRaH	bṛhattṛṇaḥ	vfhattfRaH	vṛhattṛṇaḥ
bfhattikA	bṛhattikā	vfhattikA	vṛhattikā
bfhattvak	bṛhattvak	vfhattvak	vṛhattvak
biBrat	bibhrat	viBrat	vibhrat
bida	bida	vida	vida
bila	bila	vila	vila
bilaH	bilaḥ	vilaH	vilaḥ
bilaM	bilaṃ	billaM	billaṃ
bilaM	bilaṃ	vilaM	vilaṃ
bilaSayaH	bilaśayaḥ	vilaSayaH	vilaśayaḥ
bilakArI	bilakārī	vilakArI	vilakārī
bilavAsI	bilavāsī	vilavAsI	vilavāsī
bilavAsaH	bilavāsaḥ	vilavAsaH	vilavāsaḥ
bileSayaH	bileśayaḥ	vileSayaH	vileśayaḥ
bilevAsI	bilevāsī	vilevAsI	vilevāsī
billaM	billaṃ	villaM	villaṃ
billamUlA	billamūlā	villamUlA	villamūlā
billasUH	billasūḥ	villasUH	villasūḥ
bilvA	bilvā	vilvA	vilvā
bilvaH	bilvaḥ	vilvaH	vilvaḥ
bilvaM	bilvaṃ	vilvaM	vilvaṃ
bilvapezikA	bilvapeṣikā	vilvapezikA	vilvapeṣikā
bimbA	bimbā	vimbA	vimbā
bimbI	bimbī	vimbI	vimbī
bimbaH	bimbaḥ	vimbaH	vimbaḥ
bimbaM	bimbaṃ	vimbaM	vimbaṃ
bimbajA	bimbajā	vimbajA	vimbajā
bimbakaM	bimbakaṃ	vimbakaM	vimbakaṃ
bimbikA	bimbikā	vimbikA	vimbikā
bimbuH	bimbuḥ	vimbuH	vimbuḥ
binduH	binduḥ	vinduH	vinduḥ
binducitrakaH	binducitrakaḥ	vinducitrakaH	vinducitrakaḥ
bindujAlaM	bindujālaṃ	vindujAlaM	vindujālaṃ
bindujAlakaM	bindujālakaṃ	vindujAlakaM	vindujālakaṃ
bindupatraH	bindupatraḥ	vindupatraH	vindupatraḥ
bindureKakaH	bindurekhakaḥ	vindureKakaH	vindurekhakaḥ
bindusaraH	bindusaraḥ	vindusaraH	vindusaraḥ
bindutantraH	bindutantraḥ	vindutantraH	vindutantraḥ
binduvAsaraH	binduvāsaraḥ	vinduvAsaraH	vinduvāsaraḥ
biqAlI	biḍālī	viqAlI	viḍālī
biqAlaH	biḍālaḥ	viqAlaH	viḍālaḥ
biqAlakaH	biḍālakaḥ	viqAlakaH	viḍālakaḥ
biqAlakaM	biḍālakaṃ	viqAlakaM	viḍālakaṃ
biqAlapadaH	biḍālapadaḥ	viqAlapadaH	viḍālapadaḥ
biqAlapadakaM	biḍālapadakaṃ	viqAlapadakaM	viḍālapadakaṃ
braRa	braṇa	vraRa	vraṇa
bratatiH	bratatiḥ	vratatiH	vratatiḥ
budDiH	buddhiḥ	vudDiH	vuddhiḥ
buwa	buṭa	vuwa	vuṭa
byaDa	byadha	vyaDa	vyadha
caka	caka	cakka	cakka
carbba	carbba	carvva	carvva
cela	cela	cella	cella
cila	cila	cilla	cilla
cuqa	cuḍa	cuqqa	cuḍḍa
cuwa	cuṭa	cuwwa	cuṭṭa
dIrGakoSikA	dīrghakośikā	dIrGakozikA	dīrghakoṣikā
dUSyaM	dūśyaṃ	dUzyaM	dūṣyaṃ
dfSat	dṛśat	dfzat	dṛṣat
dfkARaH	dṛkāṇaḥ	dfkkARaH	dṛkkāṇaḥ
fSa	ṛśa	fza	ṛṣa
fSyaH	ṛśyaḥ	fzyaH	ṛṣyaḥ
gIrbbARaH	gīrbbāṇaḥ	gIrvvARaH	gīrvvāṇaḥ
gIrbbARakusumaM	gīrbbāṇakusumaṃ	gIrvvARakusumaM	gīrvvāṇakusumaṃ
galaH	galaḥ	gallaH	gallaḥ
ganDabaRik	gandhabaṇik	ganDavaRik	gandhavaṇik
gaqakaH	gaḍakaḥ	gaqqakaH	gaḍḍakaḥ
garbba	garbba	garvva	garvva
garbbaH	garbbaḥ	garvvaH	garvvaḥ
hanaH	hanaḥ	hannaH	hannaḥ
haqiH	haḍiḥ	haqqiH	haḍḍiḥ
iSIkA	iśīkā	izIkA	iṣīkā
jAtIkoSaM	jātīkośaṃ	jAtIkozaM	jātīkoṣaṃ
jAtikoSaM	jātikośaṃ	jAtikozaM	jātikoṣaṃ
jayaH	jayaḥ	jayyaH	jayyaḥ
kAlameSI	kālameśī	kAlamezI	kālameṣī
kAlameSikA	kālameśikā	kAlamezikA	kālameṣikā
kAmpilaH	kāmpilaḥ	kAmpillaH	kāmpillaḥ
kArSyaH	kārśyaḥ	kArzyaH	kārṣyaḥ
kOSeyaM	kauśeyaṃ	kOzeyaM	kauṣeyaṃ
kOSikI	kauśikī	kOzikI	kauṣikī
kOSikaH	kauśikaḥ	kOzikaH	kauṣikaḥ
kaNkeliH	kaṅkeliḥ	kaNkelliH	kaṅkelliḥ
