fem_slp1	fem_iast	masc_slp1	masc_iast
kfpA	kṛpā	kfpa	kṛpa
krIqA	krīḍā	krIqa	krīḍa
kruDA	krudhā	kruDa	krudha
kuSA	kuśā	kuSa	kuśa
kuhA	kuhā	kuha	kuha
kujA	kujā	kuja	kuja
kutsA	kutsā	kutsa	kutsa
kzIrA	kṣīrā	kzIra	kṣīra
kzamA	kṣamā	kzama	kṣama
kzapA	kṣapā	kzapa	kṣapa
kzipA	kṣipā	kzipa	kṣipa
kzuBA	kṣubhā	kzuBa	kṣubha
kzuDA	kṣudhā	kzuDa	kṣudha
lA	lā	la	la
lAjA	lājā	lAja	lāja
lakzA	lakṣā	lakza	lakṣa
lasA	lasā	lasa	lasa
latA	latā	lata	lata
luRwA	luṇṭā	luRwa	luṇṭa
mA	mā	ma	ma
mIvA	mīvā	mIva	mīva
mUlA	mūlā	mUla	mūla
mUzA	mūṣā	mUza	mūṣa
maGA	maghā	maGa	magha
mahA	mahā	maha	maha
malA	malā	mala	mala
mallA	mallā	malla	malla
manTA	manthā	manTa	mantha
mayA	mayā	maya	maya
meDA	medhā	meDa	medha
medA	medā	meda	meda
mfDA	mṛdhā	mfDa	mṛdha
mfdA	mṛdā	mfda	mṛda
mfgA	mṛgā	mfga	mṛga
mfjA	mṛjā	mfja	mṛja
mfqA	mṛḍā	mfqa	mṛḍa
mfzA	mṛṣā	mfza	mṛṣa
mudA	mudā	muda	muda
murA	murā	mura	mura
mustA	mustā	musta	musta
muzA	muṣā	muza	muṣa
nA	nā	na	na
pA	pā	pa	pa
pAmA	pāmā	pAma	pāma
pArA	pārā	pAra	pāra
pIqA	pīḍā	pIqa	pīḍa
pIvA	pīvā	pIva	pīva
pUjA	pūjā	pUja	pūja
pUrvvA	pūrvvā	pUrvva	pūrvva
pUzA	pūṣā	pUza	pūṣa
pacA	pacā	paca	paca
parikarmmA	parikarmmā	parikarmma	parikarmma
pfTA	pṛthā	pfTa	pṛtha
picCA	picchā	picCa	piccha
plihA	plihā	pliha	pliha
prA	prā	pra	pra
praTA	prathā	praTa	pratha
premA	premā	prema	prema
purA	purā	pura	pura
puzA	puṣā	puza	puṣa
puzpA	puṣpā	puzpa	puṣpa
qA	ḍā	qa	ḍa
rA	rā	ra	ra
rADA	rādhā	rADa	rādha
rAjA	rājā	rAja	rāja
rUkzA	rūkṣā	rUkza	rūkṣa
rakzA	rakṣā	rakza	rakṣa
ramA	ramā	rama	rama
ramyA	ramyā	ramya	ramya
rasA	rasā	rasa	rasa
rekA	rekā	reka	reka
revA	revā	reva	reva
rucA	rucā	ruca	ruca
ruhA	ruhā	ruha	ruha
rujA	rujā	ruja	ruja
ruzA	ruṣā	ruza	ruṣa
sA	sā	sa	sa
sArA	sārā	sAra	sāra
sPawA	sphaṭā	sPawa	sphaṭa
sPuwA	sphuṭā	sPuwa	sphuṭa
sTUlA	sthūlā	sTUla	sthūla
sTalA	sthalā	sTala	sthala
sahA	sahā	saha	saha
sevA	sevā	seva	seva
siDmA	sidhmā	siDma	sidhma
sinDujanmA	sindhujanmā	sinDujanma	sindhujanma
sparSA	sparśā	sparSa	sparśa
spardDA	sparddhā	spardDa	sparddha
spfSA	spṛśā	spfSa	spṛśa
spfhA	spṛhā	spfha	spṛha
suKA	sukhā	suKa	sukha
surA	surā	sura	sura
svarA	svarā	svara	svara
tUlA	tūlā	tUla	tūla
takzA	takṣā	takza	takṣa
talA	talā	tala	tala
tamA	tamā	tama	tama
tambA	tambā	tamba	tamba
tfzA	tṛṣā	tfza	tṛṣa
trapA	trapā	trapa	trapa
tulA	tulā	tula	tula
tutTA	tutthā	tutTa	tuttha
tvarA	tvarā	tvara	tvara
tvizA	tviṣā	tviza	tviṣa
uKA	ukhā	uKa	ukha
ukzA	ukṣā	ukza	ukṣa
uzA	uṣā	uza	uṣa
vA	vā	va	va
vADA	vādhā	vADa	vādha
vASA	vāśā	vASa	vāśa
vAhA	vāhā	vAha	vāha
vAsA	vāsā	vAsa	vāsa
vIrA	vīrā	vIra	vīra
vaSA	vaśā	vaSa	vaśa
vacA	vacā	vaca	vaca
vahA	vahā	vaha	vaha
valA	valā	vala	vala
valgA	valgā	valga	valga
vapA	vapā	vapa	vapa
vaqA	vaḍā	vaqa	vaḍa
varA	varā	vara	vara
varRA	varṇā	varRa	varṇa
varmmA	varmmā	varmma	varmma
vasA	vasā	vasa	vasa
velA	velā	vela	vela
vfSA	vṛśā	vfSa	vṛśa
vfkA	vṛkā	vfka	vṛka
vfzA	vṛṣā	vfza	vṛṣa
viDA	vidhā	viDa	vidha
vidA	vidā	vida	vida
vizA	viṣā	viza	viṣa
vrIqA	vrīḍā	vrIqa	vrīḍa
vyaTA	vyathā	vyaTa	vyatha
wA	ṭā	wa	ṭa
wIkA	ṭīkā	wIka	ṭīka
yA	yā	ya	ya
zawkarmmA	ṣaṭkarmmā	zawkarmma	ṣaṭkarmma
