kanda	sarga	n_verses	volume	page_first	page_last	ipage_first	ipage_last	flags
2	100	76	I	622	633	186a	191b	
2	101	26	I	633	635	191b	192b	
2	102	9	I	636	636	193a	193a	
2	103	49	I	637	640	193b	195a	
2	104	32	I	640	643	195a	196b	
2	105	42	I	643	648	196b	199a	
2	106	35	I	648	652	199a	201a	
2	107	19	I	653	654	201b	202a	
2	108	18	I	655	657	202b	203b	
2	109	39	I	657	663	203b	206b	
2	110	37	I	663	666	206b	208a	
2	111	32	I	666	669	208a	209b	
2	112	31	I	670	673	210a	211b	
2	113	24	I	673	675	211b	212b	
2	114	29	I	675	678	212b	214a	
2	115	24	I	678	680	214a	215a	
2	116	26	I	680	684	215a	217a	
2	117	29	I	684	687	217a	218b	
2	118	54	I	687	692	218b	221a	
2	119	22	I	692	694	221a	222a	
3	1	23	II	5	8	1a	2b	
3	2	26	II	8	10	2b	3b	
3	3	25	II	11	13	4a	5a	
3	4	33	II	13	16	5a	6b	
3	5	42	II	16	21	6b	9a	
3	6	26	II	21	24	9a	10b	
3	7	24	II	24	27	10b	12a	
3	8	20	II	27	29	12a	13a	
3	9	33	II	29	33	13a	15a	
3	10	22	II	33	35	15a	16a	
3	11	94	II	35	43	16a	20a	
3	12	37	II	43	46	20a	21b	
3	13	25	II	47	49	22a	23a	
3	14	36	II	49	52	23a	24b	
3	15	31	II	52	55	24b	26a	
3	16	43	II	55	59	26a	28a	
3	17	29	II	59	61	28a	29a	
3	18	26	II	61	64	29a	30b	
3	19	26	II	64	67	30b	32a	
3	20	25	II	67	69	32a	33a	
3	21	22	II	69	70	33a	33b	
3	22	24	II	71	73	34a	35a	
3	23	34	II	73	75	35a	36a	
3	24	36	II	76	79	36b	38a	
3	25	46	II	79	82	38a	39b	
3	26	38	II	83	85	40a	41a	
3	27	20	II	85	87	41a	42a	
3	28	33	II	87	89	42a	43a	
3	29	28	II	89	92	43a	44b	
3	30	42	II	92	96	44b	46b	
3	31	50	II	96	101	46b	49a	
3	32	25	II	101	103	49a	50a	
3	33	24	II	103	105	50a	51a	
3	34	26	II	105	107	51a	52a	
3	35	42	II	107	110	52a	53b	
3	36	24	II	110	112	53b	54b	
3	37	25	II	112	115	54b	56a	
3	38	33	II	115	117	56a	57a	
3	39	25	II	117	120	57a	58b	
3	40	27	II	120	122	58b	59b	
3	41	20	II	123	125	60a	61a	
3	42	35	II	125	127	61a	62a	
3	43	51	II	128	132	62b	64b	
3	44	27	II	133	135	65a	66a	
3	45	40	II	135	140	66a	68b	
3	46	38	II	140	143	68b	70a	
3	47	50	II	144	149	70b	73a	
3	48	24	II	149	151	73a	74a	
3	49	40	II	152	155	74b	76a	
3	50	29	II	155	158	76a	77b	
3	51	46	II	158	162	77b	79b	
3	52	44	II	162	166	79b	81b	
3	53	26	II	166	168	81b	82b	
3	54	30	II	168	171	82b	84a	
3	55	37	II	171	174	84a	85b	
3	56	36	II	174	179	85b	88a	
3	57	23	II	179	181	88a	89a	
3	58	20	II	181	183	89a	90a	
3	59	27	II	183	185	90a	91a	
3	60	38	II	185	189	91a	93a	
3	61	31	II	189	192	93a	94b	
3	62	20	II	192	193	94b	95a	
3	63	20	II	193	196	95a	96b	
3	64	76	II	196	203	96b	100a	
3	65	16	II	203	205	100a	101a	
3	66	20	II	205	207	101a	102a	
3	67	29	II	207	209	102a	103a	
3	68	38	II	209	213	103a	105a	
3	69	51	II	213	217	105a	107a	
3	70	19	II	218	219	107b	108a	
3	71	34	II	219	222	108a	109b	
3	72	27	II	222	225	109b	111a	
3	73	46	II	225	229	111a	113a	
3	74	35	II	229	232	113a	114b	
3	75	30	II	233	235	115a	116a	
4	1	130	II	241	253	1a	7a	
4	2	29	II	253	256	7a	8b	
4	3	39	II	256	260	8b	10b	
4	4	35	II	260	263	10b	12a	
4	5	31	II	263	266	12a	13b	
4	6	27	II	266	268	13b	14b	
4	7	25	II	268	270	14b	15b	
4	8	46	II	270	274	15b	17b	
4	9	26	II	274	276	17b	18b	
4	10	35	II	276	278	18b	19b	
4	11	93	II	279	286	20a	23b	
4	12	42	II	286	289	23b	23a	
4	13	30	II	289	292	23a	24b	
4	14	23	II	292	294	24b	25b	
4	15	31	II	294	297	25b	27a	
4	16	40	II	297	300	27a	28b	
4	17	54	II	300	305	28b	31a	
4	18	68	II	305	313	31a	35a	
4	19	29	II	314	316	35b	36b	
4	20	26	II	316	318	36b	37b	
4	21	16	II	319	320	38a	38b	
4	22	32	II	320	324	38b	40b	
4	23	30	II	324	327	40b	42a	
4	24	44	II	327	333	42a	45a	
4	25	54	II	333	339	45a	48a	
4	26	42	II	339	342	48a	49b	
4	27	48	II	342	346	49b	51b	
4	28	66	II	346	353	51b	55a	
4	29	34	II	353	357	55a	57a	
4	30	85	II	357	366	57a	61b	
4	31	51	II	366	371	61b	64a	
4	32	22	II	371	373	64a	65a	
4	33	66	II	373	379	65a	68a	
4	34	19	II	379	381	68a	69a	
4	35	23	II	381	384	69a	70b	
4	36	20	II	384	385	70b	71a	
4	37	37	II	385	388	71a	72b	
4	38	34	II	388	391	72b	74a	
4	39	44	II	391	394	74a	75b	
4	40	71	II	394	401	75b	79a	
4	41	49	II	401	405	79a	81a	
4	42	57	II	406	410	81b	83b	
4	43	62	II	410	415	83b	86a	
4	44	17	II	416	417	86b	87a	
4	45	17	II	417	418	87a	87b	
4	46	24	II	418	420	87b	88b	
4	47	14	II	421	422	89a	89b	
4	48	23	II	422	424	89b	90b	
4	49	22	II	424	425	90b	91a	
4	50	41	II	425	428	91a	92b	
4	51	19	II	429	430	93a	93b	
4	52	32	II	430	433	93b	95a	
4	53	27	II	433	436	95a	96b	
4	54	22	II	436	439	96b	98a	
4	55	23	II	439	441	98a	99a	
4	56	25	II	441	444	99a	100b	
4	57	19	II	444	445	100b	101a	
4	58	35	II	445	448	101a	102b	
4	59	28	II	449	451	103a	104a	
4	60	21	II	451	453	104a	105a	
4	61	17	II	453	455	105a	106a	
4	62	15	II	455	457	106a	107a	
4	63	15	II	457	458	107a	107b	
4	64	22	II	458	460	107b	108b	
4	65	35	II	460	462	108b	109b	
4	66	38	II	463	466	110a	111b	
4	67	49	II	466	470	111b	113b	
5	1	203	II	475	494	1a	10b	
5	2	55	II	494	498	10b	12b	
5	3	52	II	498	503	12b	15a	
5	4	34	II	503	508	15a	17b	
5	5	27	II	508	513	17b	20a	
5	6	44	II	513	516	20a	21b	
5	7	17	II	516	519	21b	23a	
5	8	8	II	519	520	23a	23b	
5	9	74	II	521	529	24a	28a	
5	10	54	II	529	534	28a	30b	
5	11	49	II	534	539	30b	33a	
5	12	25	II	539	542	33a	34b	
5	13	68	II	542	549	34b	38a	
5	14	52	II	549	554	38a	40b	
5	15	54	II	554	560	40b	43b	
5	16	32	II	560	563	43b	45a	
5	17	32	II	563	566	45a	46b	
5	18	32	II	566	570	46b	48b	
5	19	22	II	570	572	48b	49b	
5	20	36	II	572	575	49b	51a	
5	21	34	II	575	579	51a	53a	
5	22	46	II	579	584	53a	55b	
5	23	19	II	584	585	55b	56a	
5	24	45	II	585	589	56a	58a	
5	25	20	II	589	591	58a	59a	
5	26	47	II	591	596	59a	61b	
5	27	48	II	596	600	61b	63b	
5	28	19	II	601	603	64a	65a	
5	29	8	II	603	604	65a	65b	
5	30	44	II	604	608	65b	67b	
5	31	17	II	608	609	67b	68a	
5	32	14	II	610	611	68b	69a	
5	33	31	II	612	614	69b	70b	
5	34	39	II	614	618	70b	72b	
5	35	89	II	618	626	72b	76b	
5	36	47	II	627	631	77a	79a	
5	37	68	II	631	637	79a	82a	
5	38	70	II	637	644	82a	85b	
5	39	54	II	644	649	85b	86a	
5	40	25	II	649	651	86a	87a	
5	41	21	II	651	654	87a	88b	
5	42	44	II	654	658	88b	90b	
5	43	25	II	658	660	90b	91b	
5	44	20	II	660	661	91b	92a	
5	45	17	II	661	663	92a	93a	
5	46	41	II	663	666	93a	94b	
5	47	38	II	666	670	94b	96b	
5	48	61	II	670	678	96b	100b	
5	49	20	II	678	679	100b	101a	
5	50	19	II	679	681	101a	102a	
5	51	45	II	682	687	102b	105a	
5	52	25	II	687	689	105a	106a	
5	53	40	II	690	694	106b	108b	
5	54	50	II	694	698	108b	110b	
5	55	35	II	698	701	110b	112a	
5	56	51	II	701	705	112a	114a	
5	57	53	II	705	709	114a	116a	
5	58	169	II	709	722	116a	122b	
5	59	33	II	722	725	122b	124a	
5	60	20	II	725	727	124a	125a	
5	61	24	II	727	729	125a	126a	
5	62	39	II	729	732	126a	127b	
5	63	18	II	732	733	127b	128a	
5	64	45	II	734	736	129b	130b	
5	65	28	II	736	738	130b	131b	
5	66	15	II	738	740	131b	132b	
5	67	44	II	740	743	132b	134a	
5	68	29	II	743	745	134a	135a	
6	1	19	III	7	9	1a	2a	
6	2	25	III	9	12	2a	3b	
6	3	34	III	12	15	3b	5a	
6	4	121	III	15	26	5a	10b	
6	5	23	III	26	28	10b	11b	
6	6	18	III	29	31	12a	13a	
6	7	25	III	31	33	13a	14a	
6	8	24	III	33	35	14a	15a	
6	9	22	III	35	37	15a	16a	
6	10	29	III	37	40	16a	17b	
6	11	31	III	40	43	17b	19a	
6	12	40	III	43	48	19a	21b	
6	13	21	III	48	50	21b	22b	
6	14	21	III	50	52	22b	23b	
6	15	14	III	52	54	23b	24b	
6	16	26	III	54	57	24b	26a	
6	17	68	III	57	66	26a	30b	
6	18	39	III	66	73	30b	34a	
6	19	41	III	73	76	34a	35b	
6	20	34	III	76	80	35b	37b	
6	21	35	III	80	83	37b	39a	
6	22	85	III	83	90	39a	42b	
6	23	16	III	90	92	42b	43b	
6	24	45	III	92	95	43b	45a	
6	25	33	III	95	98	45a	46b	
6	26	47	III	98	101	46b	48a	
6	27	47	III	101	105	48a	50a	
6	28	42	III	105	108	50a	51b	
6	29	29	III	108	110	51b	52b	
6	30	35	III	110	113	52b	54a	
6	31	45	III	113	116	54a	55b	
6	32	44	III	116	120	55b	57b	
6	33	36	III	120	123	57b	59a	
6	34	28	III	124	126	59b	60b	
6	35	36	III	126	131	60b	63a	
6	36	22	III	131	132	63a	63b	
6	37	38	III	132	136	63b	65b	
6	38	14	III	136	137	65b	66a	
6	39	27	III	137	139	66a	67a	
6	40	30	III	139	142	67a	68b	
6	41	100	III	143	151	69a	73a	
6	42	47	III	151	154	73a	74b	
6	43	47	III	155	158	75a	76b	
6	44	38	III	158	163	76b	79a	
6	45	49	III	161	166	78a	80b	
6	46	27	III	161	162	78a	78b	
6	47	23	III	167	168	81a	81b	
6	48	37	III	168	172	81b	83b	
6	49	32	III	172	174	83b	84b	
6	50	65	III	174	180	84b	87b	
6	51	36	III	180	182	87b	88b	
6	52	38	III	182	185	88b	90a	
6	53	31	III	185	187	90a	91a	
6	54	69	III	187	190	91a	92b	
6	55	32	III	190	192	92b	93b	
6	56	38	III	192	195	93b	95a	
6	57	44	III	195	198	95a	96b	
6	58	59	III	198	203	96b	99a	
6	59	144	III	203	215	99a	105a	
6	60	98	III	216	223	105b	109a	
6	61	39	III	223	227	109a	111a	
6	62	22	III	227	229	111a	112a	
6	63	56	III	229	235	112a	115a	
6	64	36	III	235	240	115a	117b	
6	65	57	III	240	245	117b	120a	
6	66	32	III	245	247	120a	121a	
6	67	177	III	248	261	121b	128a	
6	68	24	III	261	262	128a	128b	
6	69	163	III	262	274	128b	134b	
6	71	109	III	274	282	134b	138b	
6	72	18	III	282	283	138b	139a	
6	73	70	III	283	289	139a	142a	
6	74	73	III	289	296	142a	145b	
6	75	69	III	296	301	145b	148a	
6	76	94	III	301	307	148a	151a	
6	77	24	III	307	309	151a	152a	
6	78	21	III	309	311	152a	153a	
6	79	41	III	311	313	153a	154a	
6	80	43	III	314	317	154b	156a	
6	81	35	III	317	319	156a	157a	
6	82	27	III	319	321	157a	158a	
6	83	44	III	321	328	158a	161b	
6	84	23	III	328	330	161b	162b	
6	85	36	III	330	333	162b	164a	
6	86	35	III	333	335	164a	165a	
6	87	30	III	335	338	165a	166b	
6	88	36	III	338	341	166b	168a	
6	89	78	III	341	344	168a	169b	
6	90	54	III	344	348	169b	171b	
6	91	95	III	348	355	171b	175a	
6	92	29	III	355	357	175a	176a	
6	93	64	III	357	362	176a	178b	
6	94	39	III	362	366	178b	180b	
6	95	42	III	366	369	180b	182a	
6	96	53	III	369	373	182a	184a	
6	97	36	III	373	375	184a	185a	
6	98	37	III	375	378	185a	186b	
6	99	25	III	378	379	186b	187a	
6	100	51	III	380	383	187b	189a	
6	101	63	III	383	388	189a	191b	
6	102	55	III	388	392	191b	193b	
6	103	70	III	392	397	193b	196a	
6	104	31	III	397	399	196a	197a	
6	105	27	III	399	401	197a	198a	
6	106	31	III	402	411	198b	203a	
6	107	36	III	411	414	203a	204b	
6	108	29	III	414	417	204b	206a	
6	109	65	III	417	420	206a	207b	
6	110	33	III	420	422	207b	208b	
6	111	25	III	429	431	212a	213a	
6	112	25	III	432	433	213b	214a	
6	113	122	III	433	444	214a	219b	
6	114	24	III	444	446	219b	220b	
6	115	49	III	446	450	220b	222b	
6	116	35	III	450	453	222b	224a	
6	117	25	III	453	455	224a	225a	
6	118	34	III	455	458	225a	226b	
6	119	32	III	458	463	226b	229a	
6	120	20	III	463	465	229a	230a	
6	121	34	III	465	468	230a	231b	
6	124	27	III	468	470	231b	232b	
6	125	52	III	470	475	232b	235a	
6	126	23	III	475	477	235a	236a	
6	127	46	III	477	481	236a	238a	
6	128	55	III	481	484	238a	239b	
6	129	63	III	485	489	240a	242a	
6	130	121	III	489	499	242a	247a	
7	1	36	III	505	508	1a	2b	
7	2	33	III	508	510	2b	3b	
7	3	35	III	510	513	3b	5a	
7	4	32	III	513	516	5a	6b	
7	5	45	III	516	519	6b	8a	
7	6	70	III	519	524	8a	10b	
7	7	54	III	524	528	10b	12b	
7	8	29	III	528	531	12b	14a	
7	9	48	III	531	534	14a	15b	
7	10	48	III	534	538	15b	17b	
7	11	49	III	538	541	17b	19a	
7	12	31	III	542	544	19b	20b	
7	13	40	III	544	547	20b	22a	
7	14	30	III	547	549	22a	23a	
7	15	41	III	549	552	23a	24b	
7	16	49	III	552	556	24b	26b	
7	17	38	III	556	559	26b	28a	
7	18	35	III	559	562	28a	29b	
7	19	31	III	562	564	29b	30b	
7	20	32	III	564	567	30b	32a	
7	21	45	III	567	570	32a	33b	
7	22	50	III	570	574	33b	35b	
7	23	53	III	574	578	35b	37b	
7	23.1	89	III	578	582	37b	39b	interpolated
7	23.2	14	III	582	583	39b	40a	interpolated
7	23.3	54	III	583	586	40a	41b	interpolated
7	23.4	50	III	586	588	41b	42b	interpolated
7	23.5	72	III	588	592	42b	44b	interpolated
7	24	42	III	592	595	44b	46a	
7	25	52	III	595	599	46a	48a	
7	26	59	III	599	603	48a	50a	
7	27	51	III	603	606	50a	51b	
7	28	48	III	606	610	51b	53b	
7	29	40	III	610	612	53b	54b	
7	30	54	III	613	617	55a	57a	
7	31	44	III	617	620	57a	58b	
7	32	73	III	620	625	58b	61a	
7	33	23	III	625	627	61a	62a	
7	34	46	III	627	631	62a	64a	
7	35	65	III	631	635	64a	66a	
7	36	61	III	635	640	66a	68b	
7	37	25	III	640	642	68b	69b	
7	37.1	59	III	642	645	69b	71a	interpolated
7	37.2	23	III	645	646	71a	71b	interpolated
7	37.3	30	III	646	648	71b	72b	interpolated
7	37.4	9	III	648	648	72b	72b	interpolated
7	37.5	61	III	648	651	72b	74a	interpolated
7	38	32	III	652	654	74b	75b	
7	39	30	III	654	656	75b	76b	
7	40	31	III	656	658	76b	77b	
7	41	22	III	659	660	78a	78b	
7	42	36	III	660	663	78b	80a	
7	43	23	III	663	665	80a	81a	
7	44	21	III	665	666	81a	81b	
7	45	24	III	666	668	81b	82b	
7	46	33	III	668	670	82b	83b	
7	47	18	III	670	672	83b	84b	
7	48	26	III	672	674	84b	85b	
7	49	19	III	674	676	85b	86b	
7	50	20	III	676	678	86b	87b	
7	51	30	III	678	681	87b	89a	
7	52	19	III	681	683	89a	90a	
7	53	26	III	683	685	90a	91a	
7	54	19	III	685	687	91a	92a	
7	55	21	III	687	688	92a	92b	
7	56	29	III	688	691	92b	94a	
7	57	21	III	691	693	94a	95a	
7	58	25	III	693	694	95a	95b	
7	59	23	III	695	696	96a	96b	
7	59.1	29	III	697	698	97a	97b	interpolated
7	59.2	53	III	698	701	97b	99a	interpolated
7	59.3	65	III	701	704	99a	100b	interpolated
7	60	18	III	704	705	100b	101a	
7	61	24	III	705	707	101a	102a	
7	62	22	III	707	709	102a	103a	
7	63	31	III	709	712	103a	104b	
7	64	18	III	712	714	104b	105b	
7	65	39	III	714	717	105b	107a	
7	66	17	III	717	718	107a	107b	
7	67	26	III	718	720	107b	108b	
7	68	20	III	720	722	108b	109b	
7	69	39	III	722	724	109b	110b	
7	70	17	III	724	725	110b	111a	
7	71	24	III	725	728	111a	112b	
7	72	21	III	728	729	112b	113a	
7	73	19	III	729	731	113a	114a	
7	74	33	III	731	735	114a	116a	
7	75	19	III	736	737	116b	117a	
7	76	36	III	737	740	117a	118b	
7	77	21	III	741	742	119a	119b	
7	78	29	III	742	744	119b	120b	
7	79	20	III	744	746	120b	121b	
7	80	18	III	746	747	121b	122a	
7	81	22	III	747	749	122a	123a	
7	82	20	III	749	751	123a	124a	
7	83	20	III	751	752	124a	124b	
7	84	18	III	753	754	125a	125b	
7	85	22	III	754	756	125b	126b	
7	86	21	III	756	757	126b	127a	
7	87	30	III	758	760	127b	128b	
7	88	24	III	760	762	128b	129b	
7	89	25	III	762	764	129b	130b	
7	90	25	III	764	765	130b	131a	
7	91	29	III	766	768	131b	132b	
7	92	19	III	768	770	132b	133b	
7	93	18	III	770	772	133b	134b	
7	94	31	III	772	775	134b	136a	
7	95	17	III	775	776	136a	136b	
7	96	23	III	776	778	136b	137b	
7	97	26	III	778	781	137b	139a	
7	98	27	III	781	784	139a	140b	
7	99	19	III	784	786	140b	141b	
7	100	25	III	786	788	141b	142b	
7	101	18	III	788	789	142b	143a	
7	102	17	III	789	790	143a	143b	
7	103	16	III	791	792	144a	144b	
7	104	19	III	792	795	144b	146a	
7	105	18	III	795	797	146a	147a	
7	106	18	III	797	798	147a	147b	
7	107	20	III	798	800	147b	148b	
7	108	34	III	800	803	148b	150a	
7	109	22	III	803	805	150a	151a	
7	110	28	III	805	810	151a	153b	
7	111	11	III	810	812	153b	154b	index_typo_111
