k1	hom	lemma_iast	total_occ	cooccur	collocates
akzudra		akṣudra	29	33	dṛḍha:3|karman:2|satya:2|dharma:1|vṛddha:1|pitāmaha:1|śīla:1|anasūya:1|rati:1|dāna:1|vatsala:1|ghṛṇin:1
akzuDya		akṣudhya	2	2	anupaghātin:1|atṛṣya:1
akzetra	1	akṣetra	8	10	kṣetra:2|pada:2|yava:1|bīja:1|deha:1|nidhi:1|vṛddhi:1|jña:1
akzetra	2	akṣetra	8	10	kṣetra:2|pada:2|yava:1|bīja:1|deha:1|nidhi:1|vṛddhi:1|jña:1
akzetrin		akṣetrin	2	2	ikṣu:1|bījavat:1
akzowa		akṣoṭa	23	26	abhiṣuka:2|mukūlaka:2|ādi:2|tinduka:1|bīja:1|pīluka:1|pārvatīya:1|madhura:1|prasevaka:1|kandarāla:1|guḍa:1|moca:1
akzoqa		akṣoḍa	11	12	drākṣā:2|parvatīya:1|kṣīra:1|pārāvata:1|vidāri:1|kola:1|panasa:1|vātāma:1|jīvantī:1|nikocaka:1|abhiṣuka:1
akzoBa		akṣobha	6	7	ātman:2|niḥśabda:1|bilva:1|salila:1|kṣobha:1|ātmaka:1
akzoBya		akṣobhya	68	88	sāgara:11|hrada:4|samudra:3|pāra:2|rāma:2|kṣobhaṇa:2|varuṇālaya:2|bala:2|ātman:1|tva:1|ūrmimālin:1|stimita:1
akzOhiRI		akṣauhiṇī	93	149	pati:12|saptan:12|rājan:5|senā:5|mahat:4|sainya:4|sahasra:3|han:2|aṣṭādaśan:2|yuyutsā:2|guṇa:2|budha:2
akzRayAvan		akṣṇayāvan	1	1	budha:1
aKaRqa		akhaṇḍa	51	58	maṇḍala:4|brahman:2|vrata:2|pattra:2|tapas:2|śivatattva:1|antarikṣa:1|balābala:1|dhairya:1|bhagavatī:1|vega:1|saṁvid:1
aKaRqana		akhaṇḍana	2	2	tva:1|acchidra:1
aKarva		akharva	4	4	ṛtusnātā:1|añjali:1|mantra:1|garva:1
aKAta		akhāta	4	4	khāta:1|sudhita:1|taṭa:1|devakhātaka:1
aKidra		akhidra	1	1	dīrgha:1
aKila		akhila	655	1183	jagant:63|loka:28|trailokya:18|dharma:12|jana:12|karman:12|artha:11|pṛthivī:11|ātman:11|bhagavant:10|īśvara:9|brahman:9
aKeditva		akheditva	2	2	guṇa:1|pralī:1
