slice_order	k1_slp1	count_all	periods_sum	coverage_pct
165	hA	2938	5830	0.0782496
166	puRya	2922	5749	0.0181222
167	pada	2913	5628	0.0872807
168	budDi	2899	5771	0.0869807
169	anna	2891	5766	0.0867407
170	viSva	2891	5748	0.00180022
171	BAga	2886	5737	0.0865906
172	Sabda	2883	5713	0.0865006
173	rAja	2881	5745	0.0864406
174	mantra	2864	5530	0.0859306
175	SuBa	2846	5612	0.00297036
176	soma	2841	5661	0.0852105
177	vacana	2837	5608	0.0847604
178	BAva	2834	5592	0.0850304
179	viDi	2828	5574	0.0848504
180	dvija	2825	5557	0.0847004
181	gfha	2825	5613	0.0847604
182	vizRu	2819	5375	0.0845804
183	vIrya	2782	5554	0.0834102
184	bAhu	2781	5534	0.0831402
185	vAkya	2781	5531	0.0834402
186	pat	2775	5528	0.0832602
187	hita	2767	5497	0.0289236
188	SarIra	2751	5468	0.0825401
189	mAtra	2733	5387	0.08167
190	uttara	2732	5389	0.008131
191	SrezWa	2725	5410	0.0817
192	hari	2715	5288	0.00537066
193	kArya	2715	5410	0.08143
194	nAga	2715	5393	0.0306638
195	maya	2703	5350	0.00612075
196	yuDizWira	2683	5360	0.0804999
197	nAman	2667	5181	0.0800198
198	indriya	2664	5300	0.000990122
199	Siras	2655	5259	0.0796598
200	rakta	2631	5224	0.000480059
201	ISvara	2605	5154	0.0764794
202	BUmi	2592	5145	0.0777395
203	ap	2589	5130	0.0774995
204	BArata	2581	5154	0.00423052
205	Sakti	2557	5059	0.00261032
206	deha	2555	5049	0.0766594
207	vAyu	2551	5059	0.0765394
208	Buj	2547	5059	0.00540066
209	sUrya	2547	5042	0.0764194
210	div	2546	5057	0.0762694
211	ganDa	2546	5052	0.0762094
212	viza	2540	5072	0.0761494
213	deSa	2538	5026	0.0761494
214	lakzaRa	2535	5013	0.0759693
215	kaPa	2531	5061	0.0759393
216	diS	2530	4999	0.00438054
217	rAkzasa	2516	5021	0.00333041
218	veda	2516	4984	0.0750692
219	svayam	2508	4973	
220	yudDa	2507	5009	0.0752192
221	aSva	2500	4985	0.0750092
222	rudra	2498	4871	0.0747692
223	pfTivI	2494	4965	0.0748292
224	raRa	2491	4981	0.0747092
225	maDu	2490	4947	0.00297036
226	apara	2478	4936	0.00423052
227	tIrTa	2467	4736	0.0740191
228	gati	2445	4838	0.073359
229	uzRa	2437	4863	0.00447055
230	kAraRa	2426	4816	0.0727289
231	yadA	2425	4824	
232	pArTa	2419	4829	0.0715588
233	AKyA	2415	4756	0.0252931
234	hetu	2415	4799	0.0724589
235	kzip	2391	4762	0.0713488
236	viDA	2382	4721	0.0712287
237	BIma	2373	4738	0.0249631
238	dina	2355	4655	0.0706587
239	Gfta	2351	4679	0.0703886
240	kzaya	2346	4671	0.0634278
241	BIzma	2339	4676	0.0699386
242	darSana	2334	4631	0.0699086
243	aMSa	2323	4604	0.0696986
244	dravya	2321	4613	0.0695785
245	purA	2316	4589	
246	vrata	2313	4589	0.0693985
247	hasta	2309	4563	0.0692785
248	tattva	2308	4572	0.0692485
249	tyaj	2300	4563	0.0689185
250	roga	2286	4550	0.0685884
251	DA	2272	4515	0.00126015
252	vft	2265	4511	0.0677183
253	Dana	2256	4480	0.0675383
254	fzaBa	2255	4497	0.0676583
255	vajra	2235	4449	0.0657081
256	Gora	2223	4424	0.0659181
257	kzIra	2222	4413	0.0666082
258	vas	2220	4369	0.0596473
259	prajA	2219	4411	0.0665782
260	puzpa	2219	4386	0.0664582
261	agra	2216	4373	0.0655881
262	banD	2210	4380	0.0663081
263	dAna	2197	4347	0.065168
264	vacas	2182	4341	0.065468
265	sTAna	2175	4293	0.065258
266	bIja	2169	4293	0.065078
267	sidDi	2163	4233	0.064898
268	praBu	2146	4253	0.024663
269	arDa	2133	4216	0.0198624
270	i	2133	4188	0.0618376
271	ratna	2126	4212	0.0637878
272	astra	2122	4231	0.0636678
273	Adya	2116	4171	0.0632478
274	pattra	2105	4148	0.0631578
275	zaz	2105	4157	0.0631578
276	rAjya	2101	4174	0.0630377
277	nihan	2088	4173	0.0626477
278	Barata	2072	4129	0.0621676
279	garBa	2072	4132	0.0621676
280	tEla	2072	4112	0.0621676
281	prati	2063	4093	
282	saMSaya	2061	4060	0.0618376
283	droRa	2048	4094	0.0576971
284	cUrRa	2040	4050	0.0610575
285	azwan	2034	3998	0.0609675
286	yuD	2026	4046	0.0235829
287	hara	2018	3995	0.015902
288	sura	2013	3975	0.0603974
289	arjuna	2012	4021	0.0593173
290	dah	2012	3993	0.0603674
291	tulya	2009	3996	0.0602774
292	mAMsa	2002	3991	0.0600674
293	viS	1998	3977	0.0261332
294	maDura	1993	3981	0.000960118
295	mAsa	1983	3891	0.0594973
296	amfta	1979	3924	0.0156019
297	Gna	1975	3931	0.0591673
298	kriyA	1960	3857	0.0588072
299	loha	1953	3883	0.0578771
300	kuru	1947	3877	0.0584172
301	jvara	1942	3878	0.0582672
302	paSu	1936	3842	0.0579971
303	citta	1924	3822	0.0577271
304	svarga	1917	3794	0.0575171
305	viSeza	1917	3815	0.0575171
306	asura	1914	3796	0.0574271
307	jYa	1912	3811	0.0562869
308	heman	1911	3799	0.057187
309	mUtra	1911	3799	0.057337
310	liNga	1909	3691	0.057277
311	SIta	1890	3777	0.000540066
312	Cid	1889	3761	0.0547567
313	yaj	1887	3739	0.0563169
314	Bid	1875	3726	0.0545167
315	Sakra	1859	3705	0.0552068
316	kanyA	1853	3695	0.0555968
317	mftyu	1850	3681	0.0555068
318	pac	1844	3675	0.0552368
319	sfj	1840	3669	0.0546967
320	alpa	1837	3657	0.0551168
321	siD	1815	3591	0.0533165
322	nI	1809	3583	0.0537366
323	yatas	1806	3556	
324	da	1798	3470	0.0534666
325	Beda	1796	3550	0.0538866
326	parvata	1793	3574	0.0537066
327	Soka	1781	3552	0.0534366
328	hfdaya	1781	3529	0.0533766
329	sneha	1781	3554	0.0534366
330	vidyA	1779	3528	0.0533766
331	Kalu	1770	3530	
332	pARqu	1769	3535	0.00588072
333	daRqa	1764	3512	0.0528665
334	dakziRa	1748	3425	0.0520564
335	sADu	1745	3472	0.00414051
336	kroDa	1738	3461	0.0521464
337	SAstra	1735	3425	0.0520564
338	bARa	1708	3410	0.0512463
339	kft	1694	3343	0.00537066
340	devatA	1691	3326	0.0507362
341	amla	1684	3358	0.00123015
342	sahita	1674	3322	0.0499861
343	bAla	1670	3323	0.0219027
344	tIkzRa	1667	3328	0.0132916
345	tala	1661	3288	0.0498361
346	cakra	1659	3173	0.048786
347	vaDa	1658	3307	0.0497461
348	Satru	1654	3291	0.0496261
349	hu	1652	3286	0.0493861
350	Ayus	1645	3261	0.048666
351	antar	1632	3228	
352	pArTiva	1628	3227	0.00855105
353	rakz	1627	3243	0.048816
354	kzaRa	1626	3210	0.048696
355	tap	1623	3193	0.048516
356	dvaya	1621	3213	0.048546
357	vega	1615	3226	0.048456
358	vahni	1610	3195	0.0483059
359	Seza	1602	3167	0.00993122
360	pfTak	1596	3161	
361	pAtra	1592	3143	0.0477059
362	viviDa	1588	3158	0.0476459
363	Danus	1585	3161	0.0475558
364	Ap	1582	3093	0.0470458
365	yama	1577	3112	0.0471658
366	Aditya	1574	3134	0.0466257
367	kruD	1574	3143	0.00129016
368	mitra	1570	3119	0.0469558
369	udaka	1560	3077	0.0468057
370	SUra	1558	3114	0.0463557
371	janman	1556	3062	0.0466857
372	pra	1549	3071	
373	vizaya	1546	3048	0.0463857
374	manuzya	1535	3046	0.0456656
375	nu	1535	3065	
376	pravft	1532	3060	0.0459056
377	ityAdi	1526	3037	0.0457856
378	vyaD	1525	3038	0.0457556
379	stu	1522	3016	0.0453956
380	pura	1518	3015	0.00153019
381	mfd	1517	2994	0.0201925
382	ASrama	1515	2998	0.0454556
383	vastra	1514	2986	0.0453956
384	sattama	1513	2996	0.0453956
385	praTama	1511	2986	0.0453356
386	pala	1508	2991	0.0441354
387	traya	1502	2953	0.0444055
388	kazAya	1498	2991	0.0180922
389	tAmra	1498	2969	0.00918113
390	Atmaka	1494	2956	0.0379847
391	giri	1493	2950	0.0447355
392	Suci	1491	2949	0.00237029
393	arka	1487	2954	0.0444955
394	snigDa	1483	2957	0.0443454
395	SUla	1480	2956	0.0444055
396	DAtu	1478	2914	0.0443454
397	candra	1476	2921	0.00102013
398	prakfti	1475	2923	0.0442554
399	akza	1474	2934	0.00822101
400	nAnA	1472	2912	
401	vasu	1471	2931	0.00501062
402	citra	1462	2919	0.00219027
403	ganDarva	1460	2906	0.0438054
404	duryoDana	1458	2914	0.0436854
405	cakzus	1453	2876	0.0435353
406	snA	1450	2806	0.0434453
407	yoni	1450	2875	0.0435053
408	aDika	1447	2854	0.0433553
409	sEnya	1443	2883	0.0041105
410	Basman	1442	2863	0.0431753
411	tAta	1442	2875	0.0432653
412	yuga	1442	2842	0.0432653
413	Bakti	1438	2723	0.0431453
414	puwa	1437	2854	0.0431153
415	tamas	1435	2849	0.0429953
416	u	1417	2794	
417	upama	1412	2818	0.0415251
418	paScAt	1409	2785	
419	gaja	1401	2795	0.0420352
420	rajas	1401	2785	0.0419151
421	saMjYA	1400	2699	0.0395449
422	vfkza	1398	2775	0.0419452
423	payas	1397	2777	0.0419151
424	mfga	1395	2777	0.0418551
425	mArga	1391	2748	0.0413751
426	yaSas	1387	2750	0.00135017
427	samara	1386	2769	0.0415851
428	vi	1386	2736	0.00402049
429	prasAda	1380	2718	0.0414051
430	As	1379	2737	0.000840103
431	ram	1376	2728	0.0412251
432	laGu	1374	2739	0.041075
433	pARi	1372	2710	0.0411651
434	vftti	1371	2731	0.0411351
435	kalpa	1369	2700	0.00999123
436	pakza	1363	2706	0.040775
437	anu	1359	2690	0.00213026
438	avasTA	1359	2710	0.0193224
439	maRqala	1356	2671	0.0402649
440	Sastra	1352	2693	0.0399049
441	puMs	1346	2649	0.040385
442	vah	1346	2659	0.0402349
443	pitAmaha	1343	2679	0.0402949
444	kzatriya	1334	2659	0.0400249
445	praBA	1334	2648	0.0378046
446	nitya	1327	2614	0.0396349
447	pramARa	1327	2635	0.0398149
448	lavaRa	1326	2640	0.00147018
449	mati	1326	2632	0.0395449
450	pU	1326	2612	0.0396049
451	BAz	1325	2636	0.0397549
452	tena	1324	2641	
453	aDas	1318	2596	
454	rakzas	1317	2628	0.000750092
455	vaSa	1314	2617	0.0387948
456	dvAdaSan	1309	2580	0.0392748
457	padma	1309	2544	0.0387348
458	ASu	1305	2589	0.0136217
459	prayA	1305	2596	0.0391548
460	Sukra	1303	2595	0.0049206
461	Asana	1295	2546	0.0387948
462	BImasena	1295	2590	0.0388548
463	kuzWa	1295	2579	0.0291636
464	hfd	1284	2520	0.0385247
465	pratizWA	1275	2528	0.0124815
466	Sam	1269	2506	0.00438054
467	vfD	1265	2515	0.0374746
468	samudra	1263	2502	0.0378947
469	prI	1262	2517	0.0378646
470	dIrGa	1259	2473	0.0373546
471	kAya	1258	2501	0.0377146
472	prIti	1257	2477	0.0377146
473	SaNKa	1256	2406	0.008161
474	aS	1249	2481	0.0198024
475	dAnava	1249	2487	0.0372046
476	naS	1239	2451	0.0348343
477	krama	1238	2459	0.0371446
478	dvitIya	1236	2445	0.0370546
479	mada	1236	2458	0.0370245
480	ugra	1235	2462	0.00198024
481	AsTA	1229	2452	0.00114014
482	cit	1227	2438	0.00612075
483	vAnara	1225	2444	0.0361244
484	vyADi	1219	2417	0.0365745
485	mAna	1217	2420	0.0148818
486	Arta	1213	2425	0.0363945
487	Badra	1211	2400	0.0132916
488	Bava	1206	2380	0.0359744
489	saMyuj	1206	2383	0.0361244
490	dAha	1205	2406	0.0361544
491	moha	1203	2388	0.0360944
492	boDisattva	1202	2404	0.0360644
493	ganDaka	1192	2355	0.0357044
494	upari	1190	2346	
495	anila	1189	2375	0.0356744
496	prajApati	1189	2370	0.0356744
497	rAvaRa	1189	2351	0.0351943
498	mUrDan	1185	2323	0.0355544
499	vfdDa	1185	2367	0.00378046
500	yogin	1184	2339	0.00207025
501	rAga	1183	2349	0.0354944
502	mala	1182	2346	0.0352843
503	aBiDA	1180	2348	0.00663081
504	aha	1179	2341	0.0334841
505	ga	1176	2320	0.0351643
506	AhAra	1173	2342	0.0350743
507	kim	1171	2324	
508	maRi	1170	2324	0.0351043
509	sUkzma	1170	2309	0.0347143
510	Apad	1166	2320	0.0138917
511	saMjaya	1165	2330	0.0347443
512	tikta	1165	2328	0.0347143
513	graha	1164	2306	0.0349243
514	BI	1161	2305	0.0040505
515	mfdu	1161	2317	0.0344142
516	tvac	1159	2313	0.0347743
517	Slezman	1158	2315	0.0345942
518	kaTA	1156	2291	0.0333341
519	kowi	1155	2245	0.0346543
520	udara	1153	2287	0.0339042
521	drava	1152	2296	0.00693085
522	lakzmaRa	1149	2295	0.0342942
523	Dam	1148	2285	0.0344442
524	mAnuza	1144	2283	0.0150018
525	kAYcana	1143	2247	0.00960118
526	netra	1143	2271	0.0342942
527	siMha	1142	2280	0.0342042
528	aBAva	1134	2251	0.0340242
529	apaha	1134	2256	0.0340242
530	varuRa	1134	2258	0.0340242
531	jIvita	1133	2264	0.0339942
532	SilA	1132	2150	0.0339642
533	tanu	1132	2231	0.00969119
534	AkASa	1131	2243	0.0339342
535	Sveta	1131	2248	0.000960118
536	rAGava	1131	2262	0.0339342
537	AkAra	1130	2232	0.0336041
538	toya	1130	2235	0.0339042
539	gadA	1129	2216	0.0338742
540	vAra	1129	2225	0.00201025
541	dEtya	1126	2243	0.0337541
542	yuta	1125	2216	0.0336641
543	pradA	1124	2238	0.0337241
544	sarpis	1124	2243	0.0337241
545	mAnasa	1123	2228	0.0120015
546	dfQa	1115	2217	0.0331541
547	gA	1115	2205	0.0224428
548	UrDva	1104	2127	0.032914
549	mokza	1103	2163	0.0330941
550	pAna	1099	2185	0.032914
551	haya	1094	2188	0.032764
552	kzAra	1094	2181	0.00342042
553	niSA	1088	2168	0.0158719
554	aBra	1087	2163	0.032614
555	ISa	1084	2136	0.0318939
556	anyaTA	1084	2151	
557	kuSala	1080	2154	0.00702086
558	vraj	1080	2134	0.032404
559	ASri	1078	2134	0.032344
560	DftarAzwra	1074	2148	0.032224
561	aBi	1072	2129	
562	aDyAya	1068	2121	0.0320439
563	vyAGra	1063	2123	0.0318939
564	suvarRa	1060	2115	0.0302737
565	ojas	1059	2111	0.0317739
566	Atmaja	1058	2106	0.0317439
567	cetas	1056	2103	0.0316839
568	Bojana	1050	2082	0.0313238
569	sadfSa	1050	2090	0.0315039
570	karaRa	1049	2062	0.0299137
571	vinA	1048	2038	
572	manda	1047	2084	0.000780096
573	kumAra	1044	2077	0.0300037
574	nIla	1043	2071	0.00231028
575	tAra	1043	2046	0.0273634
576	akzara	1039	2029	0.00579071
577	svAhA	1039	2064	0.00330041
578	nArAyaRa	1038	2019	0.0296136
579	SIla	1037	2062	0.0311138
580	jaya	1036	2061	0.0309938
581	dvAra	1031	2028	0.0309338
582	viDAna	1031	2006	0.0309338
583	dru	1030	2046	0.0299437
584	vAsudeva	1030	2021	0.0307538
585	Sizya	1026	2005	0.0307838
586	SUdra	1023	2021	0.0306938
587	suhfd	1022	2041	0.0305137
588	Baj	1019	2016	0.0305738
589	Boga	1019	2011	0.0276634
590	pAka	1019	2031	0.0298837
591	vfdDi	1019	2020	0.0305738
592	tadvat	1018	2018	
593	vAsas	1018	2022	0.0304537
594	DanaMjaya	1017	2034	0.0302437
595	vikrama	1011	2019	0.0303337
596	sarvatas	1009	2004	
597	upAya	1009	2012	0.0302737
598	nivft	1008	2005	0.0302437
599	sAgara	1008	1998	0.0302437
600	samaya	1007	2001	0.0302137
601	Ananda	1003	1967	0.0296436
602	Dvaja	1003	1991	0.0300937
603	muh	1003	1993	0.0300937
604	pArSva	1003	1987	0.0299437
605	anyonya	1000	1997	0.0300037
606	nArada	1000	1933	0.0300037
607	pfzWa	998	1979	0.0299437
608	snAna	996	1895	0.0298837
609	sItA	995	1981	0.0298537
610	svaBAva	995	1975	0.0298537
611	prada	994	1930	0.0298237
612	piz	992	1978	0.0296736
613	DyA	990	1921	0.0296436
614	kzi	988	1970	0.0270933
615	Gana	987	1970	0.0115514
616	paraspara	987	1972	0.0296136
617	viBu	987	1955	0.0292836
618	Bakta	986	1900	0.0104713
619	pIta	982	1937	0.00129016
620	spfS	980	1932	0.0278434
621	SEla	979	1948	0.0284735
622	kawu	978	1953	0.000450055
623	marut	976	1944	0.0292836
624	nimitta	973	1937	0.0291936
625	id	971	1943	
626	buD	970	1938	0.0291036
627	dEva	968	1926	0.00777095
628	vaktra	968	1922	0.0290436
629	SoRita	963	1921	0.0285335
630	kAnta	960	1913	0.0040505
631	rasAyana	960	1908	0.00471058
632	gaNgA	959	1869	0.0287735
633	matsya	955	1895	0.0286535
634	DI	953	1885	0.00117014
635	tila	949	1877	0.0284735
636	vatsa	949	1886	0.0283835
637	AcArya	946	1874	0.0283835
638	nASana	946	1874	0.0281735
639	uBaya	946	1873	0.0283835
640	vraRa	946	1890	0.0283835
641	svarRa	945	1882	0.0283535
642	kalA	944	1858	0.0283235
643	vyAKyA	944	1886	0.00147018
644	kila	941	1877	
645	dfzwi	940	1866	0.0282035
646	praDAna	939	1875	0.0073509
647	tftIya	939	1858	0.0280834
648	SaMkara	938	1828	0.0275434
649	muKya	938	1853	0.0280234
650	aNgula	937	1862	0.0281135
651	rUkza	937	1871	0.0279934
652	gAtra	936	1859	0.0272733
653	aneka	934	1851	0.0280234
654	sAra	932	1847	0.0274534
655	Dara	930	1833	0.0270333
656	Aruh	928	1838	0.0278434
657	jyotis	928	1840	0.0277234
658	patnI	928	1838	0.0278434
659	vaMSa	926	1841	0.0277834
660	senA	925	1844	0.0277534
661	vAdin	925	1845	0.00201025
662	aDarma	922	1830	0.0276634
663	vimuc	921	1825	0.0275134
664	manu	917	1786	0.0273934
665	sEnDava	916	1830	0.00762094
666	kva	915	1824	
667	Ajya	914	1822	0.0274234
668	jAti	913	1798	0.0273934
669	pUjA	913	1749	0.0273934
670	buDa	912	1770	0.00987121
671	pArada	912	1814	0.0271233
672	dviz	909	1812	0.00126015
673	gulma	909	1815	0.0221427
674	yakza	909	1802	0.0267333
675	maheSvara	907	1783	0.0272133
676	svap	907	1810	0.0272133
677	ambu	905	1793	0.0271533
678	pratipad	905	1800	0.00483059
679	Bikzu	903	1805	0.0270933
680	dAruRa	903	1799	0.0266733
681	kAsa	903	1806	0.0270933
682	vftta	902	1797	0.00747092
683	jarA	900	1785	0.0264632
684	kaRWa	899	1776	0.0269733
685	sparSa	899	1776	0.0269733
686	sadyas	898	1779	
687	indu	897	1775	0.0269133
688	nagara	897	1784	0.0269133
689	SI	895	1779	0.0267933
690	mahAdeva	895	1776	0.0268533
691	piRqa	895	1780	0.000270033
692	aDipa	894	1777	0.0268233
693	vijYAna	894	1779	0.0268233
694	SvAsa	893	1782	0.0267933
695	kzetra	893	1703	0.0267933
696	Sukla	892	1760	0.00537066
697	upasTA	891	1775	0.0267333
698	sAman	889	1772	0.0216327
699	vikAra	889	1767	0.0266733
700	nandana	888	1767	0.00309038
701	Buja	886	1748	0.0265833
702	mud	883	1746	0.0102613
703	ASraya	882	1739	0.0264632
704	pUrvavat	881	1754	
705	AcAra	880	1720	0.0264032
706	praBAva	880	1752	0.0264032
707	yantra	880	1748	0.0264032
708	ananta	879	1711	0.00669082
709	paYcama	879	1744	0.0261932
710	mahABAga	878	1738	0.0262532
711	OzaDa	874	1740	0.0261032
712	rAtra	874	1737	0.0262232
713	mAnava	873	1721	0.024813
714	prayatna	871	1723	0.0261332
715	saMyoga	870	1707	0.0261032
716	keSava	865	1695	0.0259232
717	yatna	864	1704	0.0259232
718	adButa	862	1708	0.0057007
719	bali	861	1703	0.0258032
720	gir	859	1718	0.0257732
721	locana	858	1710	0.0257432
722	aSvin	857	1714	0.0252331
723	Arya	856	1707	0.0049206
724	Salya	854	1703	0.0106213
725	budDa	851	1696	0.0255331
726	samAna	850	1673	0.00342042
727	udaya	850	1682	0.0255031
728	saMDi	849	1692	0.0254731
729	praBfti	847	1675	0.0127816
730	kutas	844	1677	
731	prajYA	842	1678	0.00705087
732	ruD	842	1679	0.0251431
733	keSa	841	1666	0.024543
734	AyuDa	839	1657	0.0251731
735	ftu	839	1668	0.0251731
736	SaraRa	838	1653	0.024723
737	meGa	838	1672	0.0251431
738	purARa	838	1659	0.0116114
739	pAvaka	834	1666	0.00198024
740	pakva	834	1663	0.024633
741	saKi	834	1663	0.0250231
742	arTin	832	1652	0.00183022
743	bahis	830	1634	
744	salila	828	1640	0.024633
745	udBava	827	1627	0.00639078
746	Suc	823	1644	0.00300037
747	kfcCra	823	1639	0.00534066
748	itara	818	1621	
749	kzatra	818	1627	0.0232529
750	vyAsa	818	1618	0.024543
751	grAma	817	1614	0.024513
752	vapus	817	1618	0.024423
753	yAma	814	1624	0.0238529
754	Sakya	811	1618	0.024333
755	kopa	810	1608	0.024303
756	mAruta	810	1614	0.00222027
757	anyatra	809	1584	
758	avyakta	807	1601	0.0113114
759	bfhaspati	807	1607	0.024213
760	saMGa	806	1601	0.024183
761	amara	805	1600	0.00390048
762	jyezWa	803	1600	0.00123015
763	vasizWa	801	1581	0.0231928
764	harza	799	1591	0.0239729
765	saMvatsara	799	1585	0.0239729
766	sakala	799	1579	0.0235229
767	grahaRa	795	1571	0.0237929
768	mAkzika	793	1582	0.0237329
769	ari	792	1570	0.00306038
770	saMskAra	786	1563	0.0235829
771	kratu	785	1557	0.0235529
772	nija	785	1545	0.0235529
773	DyAna	784	1524	0.0234929
774	Bizaj	783	1565	0.0234929
775	SudDi	783	1529	0.0234929
776	apsaras	783	1557	0.0234929
777	anIka	780	1560	0.0234029
778	parvan	780	1549	0.0234029
779	SanEs	779	1552	
780	balin	776	1544	0.000540066
781	vipula	774	1545	0.0214526
782	martya	771	1523	0.00234029
783	oGa	771	1537	0.0231328
784	SAnti	770	1513	0.0228028
785	dakza	770	1518	0.00762094
786	muhUrta	770	1524	0.0231028
787	Asya	769	1523	0.0230728
788	DUma	769	1535	0.0230728
789	ambara	769	1526	0.0229828
790	dakziRA	769	1526	0.0222927
791	sarpa	768	1530	0.0230428
792	pari	767	1492	
793	svapna	767	1522	0.0230128
794	sveda	767	1533	0.0229528
795	maraRa	765	1518	0.0229528
796	prAjYa	764	1519	0.0227128
797	vasti	763	1524	0.0228628
798	caturTa	762	1503	0.0228028
799	jIva	762	1501	0.00297036
800	sTiti	762	1512	0.0228628
801	candana	761	1514	0.0219927
