s_kanda	s_sarga	s_verse	c_kanda	c_sarga	c_verse	score	class
1	2	18	1	2	17	1.0	matched
1	2	19	1	2	18	0.756	matched
1	2	20	1	2	19	1.0	matched
1	2	21	1	2	20	1.0	matched
1	2	22	1	2	21	1.0	matched
1	2	23	1	2	22	0.9	matched
1	2	24	1	2	23	1.0	matched
1	2	25	1	2	24	1.0	matched
1	2	26	1	2	25	0.763	matched
1	2	27	1	2	26	0.359	fuzzy
1	2	28					southern_only
1	2	29					southern_only
1	2	30	1	2	29	0.607	matched
1	2	31	1	2	30	0.843	matched
1	2	32	1	2	31	1.0	matched
1	2	33	1	2	32	1.0	matched
1	2	34	1	2	33	0.863	matched
1	2	35	1	2	34	1.0	matched
1	2	36	1	2	35	1.0	matched
1	2	37	1	2	36	0.841	matched
1	2	38	1	2	37	0.787	matched
1	2	39	1	2	38	0.914	matched
1	2	40	1	2	39	0.962	matched
1	2	41	1	2	40	0.795	matched
1	2	42	1	2	41	0.929	matched
1	2	43					southern_only
1	3	1	1	3	1	1.0	matched
1	3	2	1	3	2	0.902	matched
1	3	3					southern_only
1	3	4					southern_only
1	3	5					southern_only
1	3	6					southern_only
1	3	7					southern_only
1	3	8					southern_only
1	3	9					southern_only
1	3	10	1	3	3	1.0	matched
1	3	11	1	3	4	0.716	matched
1	3	12	1	3	5	0.907	matched
1	3	13	1	3	6	0.838	matched
1	3	14	1	3	7	1.0	matched
1	3	15	1	3	8	0.761	matched
1	3	16	1	3	9	1.0	matched
1	3	17	1	3	10	0.532	matched
1	3	18					southern_only
1	3	19	1	3	11	0.4	fuzzy
1	3	20	1	3	12	1.0	matched
1	3	21	1	3	13	1.0	matched
1	3	22	1	3	14	0.374	fuzzy
1	3	23	1	3	15	1.0	matched
1	3	24	1	3	16	0.725	matched
1	3	25	1	3	17	0.9	matched
1	3	26	1	3	18	0.848	matched
1	3	27					southern_only
1	3	28					southern_only
1	3	29					southern_only
1	3	30	1	3	20	0.439	fuzzy
1	3	31	1	3	21	1.0	matched
1	3	32	1	3	22	0.897	matched
1	3	33	1	3	23	1.0	matched
1	3	34	1	3	24	0.787	matched
1	3	35	1	3	25	1.0	matched
1	3	36	1	3	26	1.0	matched
1	3	37	1	3	27	0.827	matched
1	3	38	1	3	28	0.657	matched
1	3	39	1	3	29	0.896	matched
1	4	1	1	4	1	0.854	matched
1	4	2					southern_only
1	4	3	1	4	2	0.881	matched
1	4	4	1	4	3	1.0	matched
1	4	5	1	4	4	1.0	matched
1	4	6	1	4	5	1.0	matched
1	4	7	1	4	6	0.852	matched
1	4	8	1	4	7	0.821	matched
1	4	9	1	4	8	0.567	matched
1	4	10	1	4	9	0.938	matched
1	4	11	1	4	10	0.827	matched
1	4	12	1	4	11	1.0	matched
1	4	13	1	4	12	0.593	matched
1	4	14	1	4	13	0.535	matched
1	4	15	1	4	14	0.901	matched
1	4	16	1	4	15	1.0	matched
1	4	17	1	4	16	0.9	matched
1	4	18	1	4	17	0.886	matched
1	4	19	1	4	18	1.0	matched
1	4	20	1	4	19	1.0	matched
1	4	21					southern_only
1	4	22					southern_only
1	4	23					southern_only
1	4	24					southern_only
1	4	25					southern_only
1	4	26	1	4	20	1.0	matched
1	4	27					southern_only
1	4	28	1	4	21	1.0	matched
1	4	29	1	4	22	1.0	matched
1	4	30	1	4	23	0.77	matched
1	4	31	1	4	24	0.681	matched
1	4	32	1	4	25	0.567	matched
1	4	33					southern_only
1	4	34					southern_only
1	4	35	1	4	26	0.946	matched
1	4	36	1	4	27	1.0	matched
1	5	1	1	5	1	0.895	matched
1	5	2	1	5	2	1.0	matched
1	5	3	1	5	3	1.0	matched
1	5	4	1	5	4	0.864	matched
1	5	5	1	5	5	1.0	matched
1	5	6	1	5	6	1.0	matched
1	5	7	1	5	7	1.0	matched
1	5	8	1	5	8	1.0	matched
1	5	9	1	5	9	0.88	matched
1	5	10	1	5	10	0.8	matched
1	5	11	1	5	11	0.908	matched
1	5	12	1	5	12	0.911	matched
1	5	13	1	5	13	0.828	matched
1	5	14	1	5	14	0.908	matched
1	5	15	1	5	15	1.0	matched
1	5	16	1	5	16	1.0	matched
1	5	17	1	5	17	1.0	matched
1	5	18	1	5	18	1.0	matched
1	5	19	1	5	19	1.0	matched
1	5	20	1	5	20	0.883	matched
1	5	21	1	5	21	0.912	matched
1	5	22	1	5	22	1.0	matched
1	5	23	1	5	23	0.832	matched
1	6	1	1	6	1	0.837	matched
1	6	2	1	6	2	0.756	matched
1	6	3	1	6	3	0.897	matched
1	6	4	1	6	4	0.725	matched
1	6	5	1	6	5	0.706	matched
1	6	6	1	6	6	0.901	matched
1	6	7	1	6	7	1.0	matched
1	6	8	1	6	8	1.0	matched
1	6	9	1	6	9	0.909	matched
1	6	10	1	6	10	1.0	matched
1	6	11	1	6	11	1.0	matched
1	6	12	1	6	12	0.396	fuzzy
1	6	13	1	6	13	0.948	matched
1	6	14	1	6	14	1.0	matched
1	6	15					southern_only
1	6	16	1	6	15	0.673	matched
1	6	17					southern_only
1	6	18					southern_only
1	6	19	1	6	17	1.0	matched
1	6	20	1	6	18	1.0	matched
1	6	21	1	6	19	1.0	matched
1	6	22	1	6	20	0.762	matched
1	6	23	1	6	21	0.896	matched
1	6	24					southern_only
1	6	25					southern_only
1	6	26					southern_only
1	6	27					southern_only
1	6	28	1	6	24	0.939	matched
1	7	1					southern_only
1	7	2	1	7	1	1.0	matched
1	7	3	1	7	2	0.389	fuzzy
1	7	4	1	7	3	1.0	matched
1	7	5					southern_only
1	7	6					southern_only
1	7	7	1	7	4	0.91	matched
1	7	8	1	7	5	1.0	matched
1	7	9	1	7	6	0.89	matched
1	7	10	1	7	7	1.0	matched
1	7	11	1	7	8	0.704	matched
1	7	12	1	7	9	0.932	matched
1	7	13	1	7	10	1.0	matched
1	7	14	1	7	11	1.0	matched
1	7	15	1	7	12	0.892	matched
1	7	16	1	7	13	0.793	matched
1	7	17	1	7	14	0.741	matched
1	7	18					southern_only
1	7	19					southern_only
1	7	20	1	7	15	0.79	matched
1	7	21					southern_only
1	7	22					southern_only
1	7	23					southern_only
1	7	24	1	7	17	0.802	matched
1	8	1	1	8	1	0.846	matched
1	8	2	1	8	2	1.0	matched
1	8	3	1	8	3	0.86	matched
1	8	4	1	8	4	1.0	matched
1	8	5	1	11	5	0.753	moved
1	8	6	1	11	6	0.793	moved
1	8	7	1	11	7	1.0	moved
1	8	8	1	11	8	0.838	moved
1	8	9					southern_only
1	8	10	1	11	10	0.852	moved
1	8	11					southern_only
1	8	12					southern_only
1	8	13					southern_only
1	8	14					southern_only
1	8	15					southern_only
1	8	16	1	11	16	0.59	moved
1	8	17	1	11	17	1.0	moved
1	8	18	1	11	18	0.797	moved
1	8	19					southern_only
1	8	20					southern_only
1	8	21					southern_only
1	8	22					southern_only
1	8	23					southern_only
1	8	24					southern_only
1	9	1	1	8	5	0.485	fuzzy
1	9	2					southern_only
1	9	3					southern_only
1	9	4					southern_only
1	9	5					southern_only
1	9	6					southern_only
1	9	7	1	8	10	0.356	fuzzy
1	9	8	1	8	12	0.353	fuzzy
1	9	9					southern_only
1	9	10					southern_only
1	9	11					southern_only
1	9	12	1	8	15	1.0	matched
1	9	13	1	8	16	0.573	matched
1	9	14	1	8	17	1.0	matched
1	9	15	1	8	18	1.0	matched
1	9	16	1	8	19	0.896	matched
1	9	17	1	8	20	0.9	matched
1	9	18	1	8	21	1.0	matched
1	9	19	1	8	22	1.0	matched
1	9	20	1	8	23	0.802	matched
1	10	1	1	9	1	0.598	matched
1	10	2	1	9	2	1.0	matched
1	10	3	1	9	3	0.701	matched
1	10	4	1	9	4	1.0	matched
1	10	5	1	9	5	0.902	matched
1	10	6	1	9	6	1.0	matched
1	10	7	1	9	7	1.0	matched
1	10	8	1	9	8	0.658	matched
1	10	9	1	9	9	1.0	matched
1	10	10	1	9	10	1.0	matched
1	10	11	1	9	11	0.886	matched
1	10	12	1	9	12	1.0	matched
1	10	13	1	9	13	0.897	matched
1	10	14	1	9	14	1.0	matched
1	10	15	1	9	15	1.0	matched
1	10	16	1	9	16	0.78	matched
1	10	17	1	9	17	1.0	matched
1	10	18	1	9	18	1.0	matched
1	10	19	1	9	19	0.805	matched
1	10	20	1	9	20	1.0	matched
1	10	21	1	9	21	1.0	matched
1	10	22	1	9	22	0.917	matched
1	10	23	1	9	23	0.861	matched
1	10	24					southern_only
1	10	25					southern_only
1	10	26					southern_only
1	10	27					southern_only
1	10	28	1	9	27	0.934	matched
1	10	29	1	9	28	1.0	matched
1	10	30	1	9	29	1.0	matched
1	10	31	1	9	30	1.0	matched
1	10	32	1	9	31	1.0	matched
1	10	33	1	9	32	1.0	matched
1	11	1	1	10	1	0.643	matched
1	11	2	1	10	2	0.765	matched
1	11	3	1	10	3	1.0	matched
1	11	4	1	10	4	0.683	matched
1	11	5	1	10	5	0.835	matched
1	11	6	1	10	6	1.0	matched
1	11	7	1	10	7	1.0	matched
1	11	8	1	10	8	1.0	matched
1	11	9	1	10	9	1.0	matched
1	11	10	1	10	10	0.847	matched
1	11	11	1	10	11	1.0	matched
1	11	12	1	10	12	1.0	matched
1	11	13					southern_only
1	11	14	1	10	13	0.375	fuzzy
1	11	15					southern_only
1	11	16					southern_only
1	11	17	1	10	16	0.351	fuzzy
1	11	18	1	10	17	0.366	fuzzy
1	11	19					southern_only
1	11	20					southern_only
1	11	21	1	10	21	0.441	fuzzy
1	11	22					southern_only
1	11	23					southern_only
1	11	24	1	10	23	0.606	matched
1	11	25					southern_only
1	11	26	1	10	24	0.413	fuzzy
1	11	27	1	10	25	0.434	fuzzy
1	11	28					southern_only
1	11	29	1	10	27	0.88	matched
1	11	30	1	10	28	0.761	matched
1	11	31	1	10	29	0.69	matched
1	12	1	1	11	1	1.0	matched
1	12	2	1	11	2	0.896	matched
1	12	3	1	11	3	1.0	matched
1	12	4					southern_only
1	12	5	1	11	4	0.352	fuzzy
1	12	6					southern_only
1	12	7					southern_only
1	12	8					southern_only
1	12	9	1	11	9	0.355	fuzzy
1	12	10					southern_only
1	12	11	1	11	10	0.35	fuzzy
1	12	12					southern_only
1	12	13	1	11	12	1.0	matched
1	12	14	1	11	13	0.902	matched
1	12	15	1	11	14	1.0	matched
1	12	16	1	11	15	0.886	matched
1	12	17	1	11	16	1.0	matched
1	12	18	1	11	17	0.739	matched
1	12	19	1	11	18	1.0	matched
1	12	20	1	11	19	1.0	matched
1	12	21	1	11	20	1.0	matched
1	12	22	1	11	21	0.629	matched
1	13	1	1	12	1	0.353	fuzzy
1	13	2	1	12	2	0.368	fuzzy
1	13	3					southern_only
1	13	4					southern_only
1	13	5	1	12	5	0.368	fuzzy
1	13	6					southern_only
1	13	7	1	12	6	0.369	fuzzy
1	13	8	1	12	7	0.367	fuzzy
1	13	9					southern_only
1	13	10	1	12	10	0.409	fuzzy
1	13	11					southern_only
1	13	12					southern_only
1	13	13	1	12	11	0.805	matched
1	13	14	1	12	12	0.897	matched
1	13	15	1	12	13	1.0	matched
1	13	16					southern_only
1	13	17					southern_only
1	13	18					southern_only
1	13	19	1	12	16	0.901	matched
1	13	20	1	12	17	1.0	matched
1	13	21	1	12	18	0.835	matched
1	13	22	1	12	19	0.685	matched
1	13	23	1	12	20	0.911	matched
1	13	24	1	12	21	0.91	matched
1	13	25	1	12	22	0.741	matched
1	13	26					southern_only
1	13	27					southern_only
1	13	28	1	12	24	0.396	fuzzy
1	13	29					southern_only
1	13	30	1	12	25	1.0	matched
1	13	31	1	12	26	0.866	matched
1	13	32	1	12	27	0.738	matched
1	13	33	1	12	28	0.598	matched
1	13	34					southern_only
1	13	35					southern_only
1	13	36	1	12	31	0.358	fuzzy
1	13	37	1	12	32	0.367	fuzzy
1	13	38					southern_only
1	13	39	1	12	33	1.0	matched
1	13	40	1	12	34	1.0	matched
1	13	41					southern_only
1	14	1	1	13	1	0.9	matched
1	14	2	1	13	2	1.0	matched
1	14	3	1	13	3	1.0	matched
1	14	4	1	13	4	1.0	matched
1	14	5	1	13	5	0.78	matched
1	14	6					southern_only
1	14	7					southern_only
1	14	8					southern_only
1	14	9					southern_only
1	14	10	1	13	6	0.814	matched
1	14	11	1	13	7	1.0	matched
1	14	12	1	13	8	0.852	matched
1	14	13	1	13	9	1.0	matched
1	14	14	1	13	10	0.863	matched
1	14	15	1	13	11	0.769	matched
1	14	16					southern_only
1	14	17	1	13	12	0.902	matched
1	14	18	1	13	13	0.893	matched
1	14	19	1	13	14	0.877	matched
1	14	20	1	13	15	1.0	matched
1	14	21	1	13	16	0.8	matched
1	14	22	1	13	17	1.0	matched
1	14	23	1	13	18	1.0	matched
1	14	24	1	13	19	0.902	matched
1	14	25					southern_only
1	14	26	1	13	20	1.0	matched
1	14	27	1	13	21	0.847	matched
1	14	28	1	13	22	0.583	matched
1	14	29					southern_only
1	14	30	1	13	24	0.393	fuzzy
1	14	31					southern_only
1	14	32	1	13	25	0.586	matched
1	14	33	1	13	26	1.0	matched
1	14	34	1	13	27	1.0	matched
1	14	35	1	13	28	0.787	matched
1	14	36	1	13	29	1.0	matched
1	14	37	1	13	30	1.0	matched
1	14	38	1	13	31	1.0	matched
1	14	39	1	13	32	0.846	matched
1	14	40	1	13	33	0.908	matched
1	14	41	1	13	34	0.905	matched
1	14	42	1	13	35	0.744	matched
1	14	43	1	13	36	1.0	matched
1	14	44	1	13	37	0.787	matched
1	14	45	1	13	38	0.869	matched
1	14	46					southern_only
1	14	47					southern_only
1	14	48	1	13	40	0.617	matched
1	14	49					southern_only
1	14	50					southern_only
1	14	51					southern_only
1	14	52					southern_only
1	14	53					southern_only
1	14	54					southern_only
1	14	55					southern_only
1	14	56					southern_only
1	14	57					southern_only
1	14	58	1	13	44	0.363	fuzzy
1	14	59	1	13	46	0.649	matched
1	14	60					southern_only
1	15	1	1	14	1	0.663	matched
1	15	2	1	14	2	1.0	matched
1	15	3	1	14	3	1.0	matched
1	15	4	1	14	4	1.0	matched
1	15	5	1	14	5	0.795	matched
1	15	6	1	14	6	1.0	matched
1	15	7	1	14	7	0.867	matched
1	15	8	1	14	8	1.0	matched
1	15	9	1	14	9	1.0	matched
1	15	10	1	14	10	1.0	matched
1	15	11	1	14	11	0.904	matched
1	15	12	1	14	12	0.812	matched
1	15	13	1	14	13	0.735	matched
1	15	14	1	14	14	1.0	matched
1	15	15	1	14	15	1.0	matched
1	15	16					southern_only
1	15	17					southern_only
1	15	18	1	14	17	0.37	fuzzy
1	15	19					southern_only
1	15	20	1	14	18	0.612	matched
1	15	21	1	14	19	0.377	fuzzy
1	15	22	1	14	20	0.354	fuzzy
1	15	23					southern_only
1	15	24					southern_only
1	15	25					southern_only
1	15	26					southern_only
1	15	27					southern_only
1	15	28					southern_only
1	15	29					southern_only
1	15	30					southern_only
1	15	31					southern_only
1	15	32					southern_only
1	15	33	1	14	21	0.882	matched
1	15	34					southern_only
1	16	1	1	15	1	0.899	matched
1	16	2	1	15	2	1.0	matched
1	16	3	1	15	3	0.795	matched
1	16	4	1	15	4	0.771	matched
1	16	5	1	15	5	0.928	matched
1	16	6					southern_only
1	16	7					southern_only
1	16	8	1	15	7	1.0	matched
1	16	9	1	15	8	1.0	matched
1	16	10					southern_only
1	16	11	1	15	9	1.0	matched
1	16	12	1	15	10	1.0	matched
1	16	13	1	15	11	1.0	matched
1	16	14	1	15	12	1.0	matched
1	16	15	1	15	13	1.0	matched
1	16	16	1	15	14	1.0	matched
1	16	17	1	15	15	1.0	matched
1	16	18	1	15	16	1.0	matched
1	16	19	1	15	17	0.872	matched
1	16	20	1	15	18	1.0	matched
1	16	21	1	15	19	1.0	matched
1	16	22	1	15	20	1.0	matched
1	16	23	1	15	21	1.0	matched
1	16	24	1	15	22	1.0	matched
1	16	25	1	15	23	0.937	matched
1	16	26	1	15	24	0.933	matched
1	16	27	1	15	25	1.0	matched
1	16	28	1	15	26	1.0	matched
1	16	29	1	15	27	1.0	matched
1	16	30	1	15	28	0.802	matched
1	16	31					southern_only
1	16	32					southern_only
1	17	1	1	16	1	1.0	matched
1	17	2	1	16	2	0.897	matched
1	17	3	1	16	3	1.0	matched
1	17	4	1	16	4	1.0	matched
1	17	5	1	16	5	0.89	matched
1	17	6	1	16	6	1.0	matched
1	17	7					southern_only
1	17	8	1	16	7	1.0	matched
1	17	9	1	16	8	1.0	matched
1	17	10					southern_only
1	17	11					southern_only
1	17	12					southern_only
1	17	13					southern_only
1	17	14					southern_only
1	17	15					southern_only
1	17	16					southern_only
1	17	17	1	16	9	0.356	fuzzy
1	17	18					southern_only
1	17	19					southern_only
1	17	20					southern_only
1	17	21					southern_only
1	17	22					southern_only
1	17	23					southern_only
1	17	24					southern_only
1	17	25					southern_only
1	17	26					southern_only
1	17	27	1	16	15	0.378	fuzzy
1	17	28					southern_only
1	17	29					southern_only
1	17	30					southern_only
1	17	31	1	16	17	0.359	fuzzy
1	17	32					southern_only
1	17	33					southern_only
1	17	34					southern_only
1	17	35					southern_only
1	17	36					southern_only
1	17	37	1	16	20	0.63	matched
1	18	1	1	17	1	1.0	matched
1	18	2	1	17	2	1.0	matched
1	18	3	1	17	3	0.782	matched
1	18	4					southern_only
1	18	5	1	17	4	0.793	matched
1	18	6	1	17	5	0.753	matched
1	18	7					southern_only
1	18	8					southern_only
1	18	9					southern_only
1	18	10					southern_only
1	18	11					southern_only
1	18	12	1	17	7	1.0	matched
1	18	13	1	17	8	1.0	matched
1	18	14	1	17	9	1.0	matched
1	18	15					southern_only
1	18	16	1	17	10	1.0	matched
1	18	17					southern_only
1	18	18					southern_only
1	18	19					southern_only
1	18	20					southern_only
1	18	21	1	17	11	1.0	matched
1	18	22	1	17	12	0.484	fuzzy
1	18	23					southern_only
1	18	24					southern_only
1	18	25	1	17	13	0.352	fuzzy
1	18	26	1	17	14	0.365	fuzzy
1	18	27					southern_only
1	18	28	1	17	15	0.396	fuzzy
1	18	29	1	17	16	1.0	matched
1	18	30	1	17	17	0.692	matched
1	18	31					southern_only
1	18	32					southern_only
1	18	33	1	17	20	0.389	fuzzy
1	18	34					southern_only
1	18	35	1	17	21	0.398	fuzzy
1	18	36					southern_only
1	18	37					southern_only
1	18	38	1	17	22	0.371	fuzzy
1	18	39					southern_only
1	18	40	1	17	24	0.383	fuzzy
1	18	41	1	17	25	0.351	fuzzy
1	18	42					southern_only
1	18	43					southern_only
1	18	44	1	17	29	0.35	fuzzy
1	18	45					southern_only
1	18	46					southern_only
1	18	47					southern_only
1	18	48					southern_only
1	18	49					southern_only
1	18	50					southern_only
1	18	51	1	17	33	0.585	matched
1	18	52					southern_only
1	18	53	1	17	34	0.433	fuzzy
1	18	54					southern_only
1	18	55					southern_only
1	18	56	1	17	37	0.353	fuzzy
1	18	57					southern_only
1	18	58					southern_only
1	18	59	1	17	39	1.0	matched
1	19	1	1	18	1	1.0	matched
1	19	2	1	18	2	0.875	matched
1	19	3	1	18	3	1.0	matched
1	19	4	1	18	4	0.905	matched
1	19	5	1	18	5	0.649	matched
1	19	6					southern_only
1	19	7	1	18	7	0.362	fuzzy
1	19	8					southern_only
1	19	9	1	18	8	0.351	fuzzy
1	19	10	1	18	10	0.377	fuzzy
1	19	11					southern_only
1	19	12	1	18	12	0.364	fuzzy
1	19	13					southern_only
1	19	14					southern_only
1	19	15	1	18	14	0.35	fuzzy
1	19	16	1	18	16	0.362	fuzzy
1	19	17					southern_only
1	19	18					southern_only
1	19	19					southern_only
1	19	20					southern_only
1	19	21					southern_only
1	19	22	1	18	20	0.704	matched
1	20	1	1	19	1	0.744	matched
1	20	2	1	19	2	1.0	matched
1	20	3	1	19	3	1.0	matched
1	20	4	1	19	4	1.0	matched
1	20	5	1	19	5	1.0	matched
1	20	6	1	19	6	0.81	matched
1	20	7	1	19	7	0.667	matched
1	20	8					southern_only
1	20	9	1	19	9	0.352	fuzzy
1	20	10					southern_only
1	20	11	1	19	11	0.475	fuzzy
1	20	12					southern_only
1	20	13					southern_only
1	20	14	1	19	13	0.439	fuzzy
1	20	15	1	19	15	0.407	fuzzy
1	20	16	1	19	16	0.386	fuzzy
1	20	17					southern_only
1	20	18					southern_only
1	20	19	1	19	18	0.6	matched
1	20	20	1	19	19	0.893	matched
1	20	21					southern_only
1	20	22					southern_only
1	20	23	1	19	22	0.355	fuzzy
1	20	24					southern_only
1	20	25	1	19	24	0.525	moved
1	20	26	1	19	24	0.357	fuzzy
1	20	27					southern_only
1	20	28					southern_only
1	21	1	1	20	1	1.0	matched
1	21	2	1	20	2	1.0	matched
1	21	3	1	20	3	1.0	matched
1	21	4	1	20	4	1.0	matched
1	21	5	1	20	5	1.0	matched
1	21	6	1	20	6	1.0	matched
1	21	7	1	20	7	0.919	matched
1	21	8	1	20	8	0.431	fuzzy
1	21	9	1	20	9	1.0	matched
1	21	10	1	20	10	1.0	matched
1	21	11	1	20	11	1.0	matched
1	21	12	1	20	12	0.79	matched
1	21	13	1	20	13	1.0	matched
1	21	14	1	20	14	0.818	matched
1	21	15	1	20	15	1.0	matched
1	21	16	1	20	16	0.511	matched
1	21	17	1	20	17	0.902	matched
1	21	18	1	20	18	0.877	matched
1	21	19					southern_only
1	21	20	1	20	19	0.849	matched
1	21	21					southern_only
1	21	22					southern_only
1	22	1	1	21	1	0.855	matched
1	22	2	1	21	2	1.0	matched
1	22	3	1	21	3	0.797	matched
1	22	4	1	21	4	0.897	matched
1	22	5	1	21	5	0.818	matched
1	22	6	1	21	6	1.0	matched
1	22	7	1	21	7	1.0	matched
1	22	8	1	21	8	0.357	fuzzy
1	22	9					southern_only
1	22	10					southern_only
1	22	11					southern_only
1	22	12	1	21	10	0.406	fuzzy
1	22	13	1	21	11	0.357	fuzzy
1	22	14					southern_only
1	22	15	1	21	13	0.753	matched
1	22	16	1	21	14	0.544	matched
1	22	17	1	21	15	0.522	matched
1	22	18					southern_only
1	22	19	1	21	16	0.366	fuzzy
1	22	20					southern_only
1	22	21	1	21	18	0.667	matched
1	22	22	1	21	19	0.619	matched
1	22	23					southern_only
1	22	24					southern_only
1	23	1	1	22	1	0.816	matched
1	23	2	1	22	2	0.902	matched
1	23	3	1	22	3	0.759	matched
1	23	4	1	22	4	0.791	matched
1	23	5	1	22	5	0.773	matched
1	23	6	1	22	6	0.702	matched
1	23	7	1	22	7	1.0	matched
1	23	8	1	22	8	1.0	matched
1	23	9	1	22	9	0.81	matched
1	23	10	1	22	10	0.493	fuzzy
1	23	11	1	22	11	0.64	matched
1	23	12	1	22	12	0.784	matched
1	23	13	1	22	13	0.802	matched
1	23	14	1	22	14	1.0	matched
1	23	15	1	22	15	1.0	matched
1	23	16	1	22	16	1.0	matched
1	23	17					southern_only
1	23	18					southern_only
1	23	19	1	22	18	0.391	fuzzy
1	23	20					southern_only
1	23	21					southern_only
1	23	22					southern_only
1	24	1	1	23	1	0.899	matched
1	24	2	1	23	2	0.914	matched
1	24	3	1	23	3	0.866	matched
1	24	4	1	23	4	0.756	matched
1	24	5					southern_only
1	24	6					southern_only
1	24	7					southern_only
1	24	8	1	23	6	0.37	fuzzy
1	24	9	1	23	8	0.394	fuzzy
1	24	10					southern_only
1	24	11	1	23	10	0.367	fuzzy
1	24	12					southern_only
1	24	13					southern_only
1	24	14					southern_only
1	24	15	1	23	13	0.36	fuzzy
1	24	16	1	23	15	0.417	fuzzy
1	24	17					southern_only
1	24	18	1	23	16	0.366	fuzzy
1	24	19					southern_only
1	24	20	1	23	18	0.371	fuzzy
1	24	21	1	23	19	0.374	fuzzy
1	24	22	1	23	21	0.358	fuzzy
1	24	23					southern_only
1	24	24					southern_only
1	24	25	1	23	23	0.362	fuzzy
1	24	26					southern_only
1	24	27					southern_only
1	24	28					southern_only
1	24	29					southern_only
1	24	30	1	23	28	0.352	fuzzy
1	24	31					southern_only
1	24	32	1	23	30	0.706	matched
1	25	1	1	24	1	1.0	matched
1	25	2	1	24	2	0.711	matched
1	25	3					southern_only
