slp1	hom	n_pwg_senses	n_pwg_senses_with_ls	n_pwg_ls_total	dcs_lemma_count	n_dcs_wn_senses	dcs_sensetagged_count	sensetagged_share	n_pwg_senses_grounded	n_pwg_senses_gloss_overlap_only	grounding_computed	residual_class
Anana		1	1	27	704	5	97	0.1378	0	0	0	R0_grounding_not_computed
AnuguRya		1	1	3	3	0	0	0.0000	0	0	0	R2_no_wordsem_tag
Apad		1	1	50	1166	6	52	0.0446	0	0	0	R0_grounding_not_computed
Apavargika		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
ApayA		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
Api		1	0	0	53	1	6	0.1132	0	0	0	R0_grounding_not_computed
Api	1	1	1	20	53	1	6	0.1132	0	0	0	R0_grounding_not_computed
AraRya		1	1	42	95	4	8	0.0842	0	0	0	R0_grounding_not_computed
ArdraSAka		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
AruRin		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
AsrAva		2	2	12	57	4	23	0.4035	0	0	0	R0_grounding_not_computed
AsurAyaRi		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
AsutIvala		3	3	9		0	0		0	0	0	R1_lemma_absent_from_dcs
AsutIya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Atara		1	1	3	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
AtmIBAva		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
AveDya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
AvraScana		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
AyaHSUlika		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
AyatacCadA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Ayatanavant		1	1	4	3	0	0	0.0000	0	0	0	R2_no_wordsem_tag
Ayukta		1	1	6		0	0		0	0	0	R1_lemma_absent_from_dcs
BARqaSAlA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
BAllavi		1	1	2	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
BAm		1	1	6		0	0		0	0	0	R1_lemma_absent_from_dcs
BAnuBawwa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
BAqilAyana		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
BImaka		1	1	4	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
BIzmAzwamI		1	1	5		0	0		0	0	0	R1_lemma_absent_from_dcs
BUmideva		2	2	9	5	1	2	0.4000	0	0	0	R0_grounding_not_computed
BUmikuzmARqa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
BUmya		1	1	1	5	1	1	0.2000	0	0	0	R0_grounding_not_computed
BUtaGna		5	3	6	2	1	1	0.5000	0	0	0	R0_grounding_not_computed
BUtagrAma		1	1	15		0	0		0	0	0	R1_lemma_absent_from_dcs
BUtamAtar		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
BUtiniDAna		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
BUz	2	3	3	98	40	3	5	0.1250	0	0	0	R0_grounding_not_computed
BUzRu		1	1	5	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
BaNgAsvana		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
BaNgakara		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
BaRqara		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Baji		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
BarUwaka		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
BaraRizeRa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Bari		1	0	0	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
Barts		1	1	73	4	2	2	0.5000	0	0	0	R0_grounding_not_computed
BavAnIguru		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
BeruRqaka		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
BfSa		1	1	2	335	5	37	0.1104	0	0	0	R0_grounding_not_computed
BizagBadrA		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
BogiBuj		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
BojyA		1	1	10	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
BrAjajjanman		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
BrAzwraja		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
Brama		9	9	92	344	4	41	0.1192	0	0	0	R0_grounding_not_computed
BramarAtiTi		1	1	2	1	1	1	1.0000	0	0	0	R0_grounding_not_computed
BramarakIwa		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
Bramarapada		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
Burvan		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
CAgamitra		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
Candogovinda		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
CandomaYjari		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
CaqqalikA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Cinnama		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
DAnaMjayya		1	1	13		0	0		0	0	0	R1_lemma_absent_from_dcs
DAnyottama		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
DArANga	1	1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
DAraya		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
DAtrIputra		1	1	1	1	1	1	1.0000	0	0	0	R0_grounding_not_computed
DAyu	2	1	1	2	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
DEryavant		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
DOmata		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
DUlIkadamba		3	3	7	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
DUrta		7	7	47	167	8	68	0.4072	0	0	0	R0_grounding_not_computed
DamarukAnagara		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
DanU		1	1	3	6	2	2	0.3333	0	0	0	R0_grounding_not_computed
DanvayavAsa		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
DarAputra		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
DarmacArin		3	3	11	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
Darmacandra		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
DarmanATa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Darmanada		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
DarmapraBAsa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Darz		2	2	201		0	0		0	0	0	R1_lemma_absent_from_dcs
DftarAjan		1	1	2	1	1	1	1.0000	0	0	0	R0_grounding_not_computed
Dftvan		1	1	6		0	0		0	0	0	R1_lemma_absent_from_dcs
Dfzwatva		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
DvANkzArAti		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
DvajocCrAya		2	2	3		0	0		0	0	0	R1_lemma_absent_from_dcs
EhalOkika		1	1	5	5	0	0	0.0000	0	0	0	R2_no_wordsem_tag
EkaDya		2	2	8	18	2	5	0.2778	0	0	0	R0_grounding_not_computed
EndrAvEzRava		1	1	4	5	0	0	0.0000	0	0	0	R2_no_wordsem_tag
Etareyin		1	1	7		0	0		0	0	0	R1_lemma_absent_from_dcs
GanavITi		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Ganavarga		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Gasi		1	1	2	4	1	3	0.7500	0	0	0	R0_grounding_not_computed
GawwAnanda		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
GftAhva		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
GftelI		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
GoRasa		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
IjAna		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
Irzyin		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
IzA		1	1	33	66	0	0	0.0000	0	0	0	R2_no_wordsem_tag
JArJara		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
JUz		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
KADUyA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
KaRqamodaka		1	1	2	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
KaRqika		5	5	13	3	1	2	0.6667	0	0	0	R0_grounding_not_computed
KaYjarIwa		1	1	6	9	1	1	0.1111	0	0	0	R0_grounding_not_computed
KagADipa		1	1	1	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
KagavatI		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
Kalureza		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
KaqakkikA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Karapa		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
Karapuzpa		2	2	3	7	0	0	0.0000	0	0	0	R2_no_wordsem_tag
KarjUGna		1	1	2	3	1	1	0.3333	0	0	0	R0_grounding_not_computed
KarjurakarRa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Karjya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Kazpa		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
KeSaya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Odameyi		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
OdavApi		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
Odayika		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
Opanizada		2	2	8	9	1	1	0.1111	0	0	0	R0_grounding_not_computed
OrDvaBaktika		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
PaRijA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
PalamudgarikA		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
PalapaYcAmla		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
PalgUtsava		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
Para		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
QiQiRi		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
SAMSapAyani		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
SAMSapa		1	1	3	0	0	0		0	0	0	R2_no_wordsem_tag
SAci		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
SAkalya		1	1	39	34	1	8	0.2353	0	0	0	R0_grounding_not_computed
SAkulika		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
SAlUraka		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SAnila		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SAntipraBa		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
SArIravidyA		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
SArNga		7	7	37	80	4	8	0.1000	0	0	0	R0_grounding_not_computed
SArNgaDara		2	1	17	8	1	4	0.5000	0	0	0	R0_grounding_not_computed
SArkarIDAna		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SAs	3	1	0	0	474	14	32	0.0675	0	0	0	R0_grounding_not_computed
SAstrin		2	2	6		0	0		0	0	0	R1_lemma_absent_from_dcs
SEKaRqi		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SElaniryAsa		1	1	2	4	1	4	1.0000	0	0	0	R0_grounding_not_computed
SEvanagara		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SIGrayAna	1	1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
SIkara		2	2	50	33	1	1	0.0303	0	0	0	R0_grounding_not_computed
SIlahara		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SIlavftta		1	1	6		0	0		0	0	0	R1_lemma_absent_from_dcs
SIrza		3	3	53	181	7	90	0.4972	0	0	0	R0_grounding_not_computed
SIrzabanDanA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SIrzacCedika		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SIrzarogin		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
SIrzeBArika		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SItakumBa		2	2	2		0	0		0	0	0	R1_lemma_absent_from_dcs
SItapuzpaka		2	2	4		0	0		0	0	0	R1_lemma_absent_from_dcs
SOceya		2	2	5		0	0		0	0	0	R1_lemma_absent_from_dcs
SUGana		1	1	3	0	0	0		0	0	0	R2_no_wordsem_tag
SUlaka		1	1	1	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
SUnyahara		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SaMBU		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SaMyvanta		1	1	7		0	0		0	0	0	R1_lemma_absent_from_dcs
SaNKanUpuriRI		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SaNKarAja		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SaPacyuta		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SabdasADana		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Saka	1	3	3	7	67	3	13	0.1940	0	0	0	R0_grounding_not_computed
Sakra		4	4	74	1859	4	340	0.1829	0	0	0	R0_grounding_not_computed
Sakri		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
Saktimaya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SalAkalA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SamI	3	1	1	1	155	5	20	0.1290	0	0	0	R0_grounding_not_computed
Sambala		4	4	13	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
SanDa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Sar	2	1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
Sasta	3	1	1	1	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
SatASva		1	1	7	0	0	0		0	0	0	R2_no_wordsem_tag
SatabalAka		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
SatadrukA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Satahima		1	1	5		0	0		0	0	0	R1_lemma_absent_from_dcs
Satayoni		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
Seza		7	7	355	1602	8	260	0.1623	0	0	0	R0_grounding_not_computed
SfNgAntara		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SiKigrIva		1	1	2	5	2	3	0.6000	0	0	0	R0_grounding_not_computed
SiKitA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SiTilaMBAva		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
Sikyaka		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SikzAviDi		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SimI		1	1	5	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
Sipavitnuka		1	1	1	0	0	0		0	0	0	R2_no_wordsem_tag
SirIzaka		1	1	1	3	1	1	0.3333	0	0	0	R0_grounding_not_computed
Siraspada		1	1	1	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
Siroroga		1	1	14		0	0		0	0	0	R1_lemma_absent_from_dcs
Siroruha		2	2	26	46	1	3	0.0652	0	0	0	R0_grounding_not_computed
SitivAsas		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SivajYa		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
Sivarasa		1	1	2	0	0	0		0	0	0	R2_no_wordsem_tag
SivatatparasUtra		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SlIpadin		1	1	2	4	1	1	0.2500	0	0	0	R0_grounding_not_computed
Slezman		3	3	62	1158	4	234	0.2021	0	0	0	R0_grounding_not_computed
SoPa		1	1	18	663	3	138	0.2081	0	0	0	R0_grounding_not_computed
SrAdDaSAka		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
SrAdDakAla		1	1	5		0	0		0	0	0	R1_lemma_absent_from_dcs
SrAvaRatva		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
SrIGana		2	2	7	3	1	1	0.3333	0	0	0	R0_grounding_not_computed
SrIgiri		1	1	2	8	1	1	0.1250	0	0	0	R0_grounding_not_computed
SrIkArin		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
SrImahiman		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SrImant		10	10	104	10	0	0	0.0000	0	0	0	R2_no_wordsem_tag
SrInitambA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SrIvallI		1	1	2	5	0	0	0.0000	0	0	0	R2_no_wordsem_tag
SrOtaprAyaScitta		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
SriyAditya		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
SruDya		1	1	5	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
SrutAyuDa		1	1	1	22	2	3	0.1364	0	0	0	R0_grounding_not_computed
SrutaSravonuja		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
SuBAkaragupta		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
SuBasaMyuta		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
SuBaspati		1	1	8	3	0	0	0.0000	0	0	0	R2_no_wordsem_tag
SuBraSastama		1	1	2	0	0	0		0	0	0	R2_no_wordsem_tag
SukAKyA		1	1	3	8	0	0	0.0000	0	0	0	R2_no_wordsem_tag
SuklANga		2	2	4		0	0		0	0	0	R1_lemma_absent_from_dcs
Sukrameha		1	1	3	3	1	1	0.3333	0	0	0	R0_grounding_not_computed
SunDana		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Sunaka		3	3	31	19	2	3	0.1579	0	0	0	R0_grounding_not_computed
SvApucCa		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
SvEkna		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
SvEtreya		1	1	3	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
SvetASva	2	4	4	5	34	1	30	0.8824	0	0	0	R0_grounding_not_computed
Svetadvipa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Svitnya		1	1	2	1	1	1	1.0000	0	0	0	R0_grounding_not_computed
SyAmAyana		1	1	2	0	0	0		0	0	0	R2_no_wordsem_tag
Udaka		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
UhanIya		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
UrDvaBAj		1	1	1	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
UrDvatAla		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
Urvya		1	1	3	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
aBIkzRa		4	4	27	49	1	4	0.0816	0	0	0	R0_grounding_not_computed
aBIzwadevatA		1	1	3	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
aBiSApa		3	3	14	44	2	5	0.1136	0	0	0	R0_grounding_not_computed
aBilakzyam		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
aBimAnavant		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
aBimara		4	4	10		0	0		0	0	0	R1_lemma_absent_from_dcs
aBimoda		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
aBipAtin		1	1	2	6	0	0	0.0000	0	0	0	R2_no_wordsem_tag
aBipadma		1	1	3	3	0	0	0.0000	0	0	0	R2_no_wordsem_tag
aBirati		2	2	6	8	1	1	0.1250	0	0	0	R0_grounding_not_computed
aBisaMdeha		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
aBitigmaraSmi		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
aBiyAna		2	1	3	10	0	0	0.0000	0	0	0	R2_no_wordsem_tag
aDaScara		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
aDara		12	9	51	311	8	38	0.1222	0	1	1	R3_tagged_but_unaligned
aDigoptar		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
aDistrI		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
aDivaktar		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
aDokzeRa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
aDyavahanana		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
aKaRqitartu		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
aMSula		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
aNGas		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
aNgAramaYjarI		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
aNgulizaNga		2	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
aRImARqavya		1	1	4	6	2	2	0.3333	0	0	0	R0_grounding_not_computed
aRuka		3	3	7	9	1	1	0.1111	0	0	0	R0_grounding_not_computed
aS	2	3	3	90	1249	14	102	0.0817	0	0	0	R0_grounding_not_computed
aSnayA		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
aSvahantar		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
abala		2	1	1	157	3	15	0.0955	0	0	0	R0_grounding_not_computed
abanDra		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
acyuta	1	5	5	25	547	10	58	0.1060	0	0	0	R0_grounding_not_computed
adevayant		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
adfzwa		6	6	30	302	6	23	0.0762	0	0	0	R0_grounding_not_computed
adomaDa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
aduHKanavamI		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
adyasutyA		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
agArin		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
agastI		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
agnIDra		2	2	4	14	0	0	0.0000	0	0	0	R2_no_wordsem_tag
agnicityA		1	1	5	1	1	1	1.0000	0	0	0	R0_grounding_not_computed
agnidevA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
agnivIja		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
agrAyaRIya		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
agraga		1	1	6	8	0	0	0.0000	0	0	0	R2_no_wordsem_tag
agrayAyin		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
ahaMBadra		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
ahama		1	1	1	0	0	0		0	0	0	R2_no_wordsem_tag
ahicCatra		4	4	16		0	0		0	0	0	R1_lemma_absent_from_dcs
ahrutapsu		1	1	2	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
ajAmitA		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
ajAmitva		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
ajAnusama		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
ajakUlA		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
ajakarRaka		1	1	2	2	1	2	1.0000	0	0	0	R0_grounding_not_computed
ajavITI		1	1	6	6	0	0	0.0000	0	0	0	R2_no_wordsem_tag
akAraRa		1	1	11	107	1	2	0.0187	0	0	0	R0_grounding_not_computed
akOSala		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
akalmAza		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
akarRya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
akftakAram		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
akfzwapacya		1	1	4	3	0	0	0.0000	0	0	0	R2_no_wordsem_tag
akzaBUmi		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
akzaRvant		1	1	6		0	0		0	0	0	R1_lemma_absent_from_dcs
alakzya		4	4	6	33	1	1	0.0303	0	0	0	R0_grounding_not_computed
allApadIna		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
alpaprARa	1	1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
amBoja		3	2	10	105	1	6	0.0571	0	0	0	R0_grounding_not_computed
amIvahan		1	1	7		0	0		0	0	0	R1_lemma_absent_from_dcs
amaDavya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
amaraparvata		1	1	2	4	0	0	0.0000	0	0	0	R2_no_wordsem_tag
amba	2	1	1	1	0	1	1		0	0	0	R0_grounding_not_computed
ambazWakI		1	1	2	4	0	0	0.0000	0	0	0	R2_no_wordsem_tag
ambikeyaka		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
ameDya		3	3	24	96	2	12	0.1250	0	0	0	R0_grounding_not_computed
amftAyana		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
amrAta		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
anATapurI		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
