pwg_abbrev	citations	share_pct	status	dcs_text	dcs_tokens	tuple_comparable	scheme_verified	pwgbib_source_name
BṚH. ĀR. UP	747	0.1010	DCS-HAS-UNMAPPED	Bṛhadāraṇyakopaniṣad	19014	yes		BṚHADĀRAṆYAKOPANIṢAD, nach der Ausgabe von RÖER in der Bibliotheca indica.
LOT. DE LA B. L	721	0.0975	DCS-LACKS					
Z. D. D. M. G	712	0.0963	DCS-LACKS					? [Cologne Addition]
MED. R	709	0.0959	DCS-LACKS					MEDINĪKOṢA, ed. Calc. (GILD. Bibl. 258). Die Wörter sind zu- nächst nach dem letzten Consonanten im Worte angeordnet: al
LALIT. ED. CALC	705	0.0953	DCS-LACKS					RGYA TCH'ER ROL PA (LALITAVISTĀRA) ou Développement des yeux, traduit etc. par PH. ÉD. FOUCAUX. Deuxième partie--Traduc-
ŚABDĀRTHAK	702	0.0949	DCS-LACKS					? [Cologne Addition]
DHŪRTAS	684	0.0925	DCS-LACKS					DHŪRTASAMĀGAMA in LASSEN'S Anthologie (GILD. Bibl. 48).
PAT. A. A. O	682	0.0922	DCS-LACKS					PATAÑJALI, als Verfasser des MAHĀBHĀṢYA; nach Excerpten in BÖHTLINGK'S Ausgabe des PĀṆINI.
BṚH. ĀR. UP. S	682	0.0922	DCS-HAS-UNMAPPED	Bṛhadāraṇyakopaniṣad	19014	yes		BṚHADĀRAṆYAKOPANIṢAD, nach der Ausgabe von RÖER in der Bibliotheca indica.
HIT. I,	671	0.0907	DCS-HAS-UNMAPPED	Hitopadeśa	25040	yes		HITOPADEŚA, ed. SCHLEGEL und LASSEN (GILD. Bibl. 225). Eine darauf folgende römische Zahl bezeichnet das Buch, eine arab
SĀṂKHYAK	671	0.0907	DCS-HAS-UNMAPPED	Sāṃkhyakārikābhāṣya	9994	no		SĀṂKHYAKĀRIKĀ, ed. WILSON (GILD. Bibl. 271), mit Benutzung des Index in LASSEN'S Ausgabe (GILD. Bibl. 270).
AV. PRĀT	655	0.0886	DCS-LACKS					PRĀTIŚĀKHYA zum ATHARVAVEDA. Citirt nach Adhyāya und Sūtra. Hdschr. Siehe ROTH'S Einl. z. NIRUKTA, S. XLVII.
