pwg_abbrev	citations	share_pct	status	dcs_text	dcs_tokens	tuple_comparable	scheme_verified	pwgbib_source_name
PĀTĀLAKH	8	0.0011	DCS-LACKS					? [Cologne Addition]
VIŚVAPR	8	0.0011	DCS-LACKS					
VERZ. D. OXF. H. A. A. O	8	0.0011	DCS-LACKS					
RĀMĀŚRAYA	8	0.0011	DCS-LACKS					? [Cologne Addition]
ŚĀŚVATA A. A. O	8	0.0011	DCS-LACKS					? [Cologne Addition]
VARĀH. LAGH	8	0.0011	DCS-LACKS					? [Cologne Addition]
BRAHMAVAIV. P., PRAKṚTIKH	8	0.0011	DCS-LACKS					? [Cologne Addition]
NĀNĀRTHARATNAM	8	0.0011	DCS-LACKS					? [Cologne Addition]
HALL IN DER EINL. ZU VĀSAVAD	8	0.0011	DCS-LACKS					A contribution towards an index to the Bibliography of the Indian philosophical systems. By Fitzedward HALL. Calcutta, 1
KĀṬY	8	0.0011	DCS-LACKS					? [Cologne Addition]
WILSON, SEL. WORKS I, II,	8	0.0011	DCS-LACKS					
VAJRASŪCI	8	0.0011	DCS-LACKS					? [Cologne Addition]
GARGA	8	0.0011	DCS-LACKS					? [Cologne Addition]
MADANAV	8	0.0011	DCS-LACKS					? [Cologne Addition]
WEBER, KṚṢNAJ	8	0.0011	DCS-LACKS					
NOTICES OF SKT MSS	8	0.0011	DCS-LACKS					
SĀYAṆA	7	0.0009	DCS-LACKS					? [Cologne Addition]
MANU	7	0.0009	DCS-LACKS					? [Cologne Addition]
REINAUD, MÉM. SUR LʼINDE,	7	0.0009	DCS-LACKS					
BHAVIṢYOTTARAPURĀṆA	7	0.0009	DCS-LACKS					BHAVIṢYOTTARAPURĀṆA ? [Cologne Addition]
TH	7	0.0009	DCS-LACKS					
KAIV. UP	7	0.0009	DCS-LACKS					KAIVALYOPANIṢAD.
YAVANEŚV	7	0.0009	DCS-LACKS					YAVANEŚVARA.
POLEY	7	0.0009	DCS-LACKS					? [Cologne Addition]
PANDIT	7	0.0009	DCS-LACKS					? [Cologne Addition]
PRĀT	7	0.0009	DCS-LACKS					PRĀTIŚĀKHYA.
VP. , N	7	0.0009	DCS-HAS-UNMAPPED	Viṣṇupurāṇa	87622	yes		VIṢṆUPURĀṆA. Es wird die WILSON'sche Uebersetzung (GILD. Bibl. 133) citirt.
ŚĀṄKH	7	0.0009	DCS-LACKS					? [Cologne Addition]
PARĀŚ	7	0.0009	DCS-HAS-UNMAPPED	Parāśaradharmasaṃhitā	8183	yes		PARĀŚARA, Verfasser eines Gesetzbuchs; nach Anführungen in MIT., DĀY. und ŚKDR.
HALĀY. IND	7	0.0009	DCS-LACKS					HALĀYUDHA, ein Lexicograph; nach Anführungen im ŚKDR.
VIṢṆUʼS DHARMAŚ	7	0.0009	DCS-LACKS					
SĀṂKHYAPR. S	7	0.0009	DCS-LACKS					? [Cologne Addition]
RĀJAVALLABHA	7	0.0009	DCS-LACKS					? [Cologne Addition]
FL. IND	7	0.0009	DCS-LACKS					
BHAVIṢYOTTARAP	7	0.0009	DCS-LACKS					? [Cologne Addition]
PURR	7	0.0009	DCS-LACKS					? [Cologne Addition]
VĪR	7	0.0009	DCS-LACKS					? [Cologne Addition]
KUMARĀS	7	0.0009	DCS-LACKS					? [Cologne Addition]
KARMALOCANA	7	0.0009	DCS-LACKS					? [Cologne Addition]
BENF. GR. §	7	0.0009	DCS-LACKS					? [Cologne Addition]
TAITT. UP. S	7	0.0009	DCS-HAS-UNMAPPED	Taittirīyasaṃhitā	47989	yes		TAITTIRĪYOPANIṢAD ? [Cologne Addition]
ĀŚV	7	0.0009	DCS-LACKS					? [Cologne Addition]
KOṢṬHĪPRADĪPA	7	0.0009	DCS-LACKS					KOṢṬHĪPRADĪPA, nach Anführungen im ŚKDR. [Cologne Addition]
ŚĀK AD	7	0.0009	DCS-LACKS					ŚĀKUNTALA, das Drama in der Ausgabe von BÖHTLINGK (GILD. Bibl. 191). Eine einfache Zahl bezeichnet den Śloka, eine doppe
ŚATAR. UP	7	0.0009	DCS-LACKS					ŚATARUDRIYOPANIṢAD.
BṚHANNĀRAD. P	7	0.0009	DCS-LACKS					BṚHANNĀRADAPURĀṆA ? [Cologne Addition]
NIR. A. A. O	7	0.0009	DCS-LACKS					YĀSKA'S NIRUKTA sammt den NIGHAṆṬAVA'S herausgegeben und erklärt von RUDOLPH ROTH. Göttingen 1852.
ṢAḌGURUŚ	7	0.0009	DCS-LACKS					? [Cologne Addition]
HAEB. ANTHOL	7	0.0009	DCS-LACKS					? [Cologne Addition]
VERZ. D. PET. H	7	0.0009	DCS-LACKS					
UṆĀDIVṚTTI	7	0.0009	DCS-LACKS					? [Cologne Addition]
MIT. I,	7	0.0009	DCS-LACKS					MITĀKṢARĀ, ed. Calc. 1829 (GILD. Bibl. 314).
DEVAR	7	0.0009	DCS-LACKS					? [Cologne Addition]
LIA. I, ANH. XXVI	7	0.0009	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
UṆĀDIVR	7	0.0009	DCS-LACKS					? [Cologne Addition]
PULASTYA	7	0.0009	DCS-LACKS					? [Cologne Addition]
VIKRAMAC	7	0.0009	DCS-LACKS					? [Cologne Addition]
KAURAP	7	0.0009	DCS-LACKS					? [Cologne Addition]
RUDRA	7	0.0009	DCS-LACKS					? [Cologne Addition]
ST. JULIEN	7	0.0009	DCS-LACKS					? [Cologne Addition]
MATSYAP	7	0.0009	DCS-LACKS					? [Cologne Addition]
NĀNĀRTHADHVANIM	7	0.0009	DCS-LACKS					NĀNĀRTHADHVANIMAÑJARĪ [Cologne Addition]
RĀṢṬRAPĀLAP	7	0.0009	DCS-LACKS					RĀṢTRAPĀLAPARIPṚCCHĀ, handschriftlich in der Pariser Bibliothek, nach Mittheilungen von A. SCHIEFNER.
UṆĀDIS. EINL. ŚL	7	0.0009	DCS-LACKS					? [Cologne Addition]
PAÑCAT. V	7	0.0009	DCS-LACKS					PAÑCATANTRA. Pantschatantrum sive quinquepartitum de moribus exponens, ex codicibus manuscriptis edidit, commentariis cr
COLEBR. MISC. ESS XVI,	7	0.0009	DCS-LACKS					? [Cologne Addition]
MUIR, SANSKRIT TEXTS II,	7	0.0009	DCS-LACKS					
SĀṂKHYAPR	7	0.0009	DCS-LACKS					? [Cologne Addition]
WEBER, NAX. I,	7	0.0009	DCS-LACKS					
TBR. II,	7	0.0009	DCS-HAS-UNMAPPED	Taittirīyasaṃhitā	47989	yes		TAITTIRĪYABRĀHMAṆA.
VERZ. D. TÜB. HDSCHR	7	0.0009	DCS-LACKS					
LIA. (II) I,	7	0.0009	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
KĀṬY. ŚR	7	0.0009	DCS-LACKS					? [Cologne Addition]
GAṆIT. TRIPRAŚN	7	0.0009	DCS-LACKS					GAṆITĀDHYĀYA? [Cologne Addition]
YANTRĀDH	7	0.0009	DCS-LACKS					? [Cologne Addition]
LITH. AUSG	7	0.0009	DCS-LACKS					
KRIYĀSAMUCCAYA	7	0.0009	DCS-LACKS					? [Cologne Addition]
MISC. ESS. II,	6	0.0008	DCS-LACKS					
DIVYA-AV	6	0.0008	DCS-HAS-UNMAPPED	Divyāvadāna	67449	yes		DIVYĀVADĀNA, eine buddhistische Legendensammlung.
ṚV. ,	6	0.0008	DCS-HAS-UNMAPPED	Ṛgveda	169972	yes		ṚGVEDA. Es wird nach Maṇḍala, Sūkta und Ṛc citirt. ROSEN zu ṚV. verweist auf die Anmerkungen in: Rigveda-Sanhita, liber 
HESSLER	6	0.0008	DCS-LACKS					? [Cologne Addition]
KĀṆVA-REC	6	0.0008	DCS-LACKS					
RĀMĀYAṆA	6	0.0008	DCS-LACKS					? [Cologne Addition]
VĪRAMITRODAYA	6	0.0008	DCS-LACKS					? [Cologne Addition]
P. (ED. CALC.)	6	0.0008	DCS-LACKS					PĀṆINI'S acht Bücher grammatischer Regeln (GILD. Bibl. 244).
GOLDST	6	0.0008	DCS-LACKS					? [Cologne Addition]
GAṆAR	6	0.0008	DCS-LACKS					GAṆARATNAMAHODADHI, s. BÖHTLINGK, Einleitung zum PĀṆINI (GILD. Bibl. 244), II, S. XXXIX.
MALL	6	0.0008	DCS-LACKS					? [Cologne Addition]
BOHLEN	6	0.0008	DCS-LACKS					? [Cologne Addition]
IND	6	0.0008	DCS-LACKS					
ŚĀṄKH BR	6	0.0008	DCS-LACKS					? [Cologne Addition]
MED. I	6	0.0008	DCS-LACKS					MEDINĪKOṢA, ed. Calc. (GILD. Bibl. 258). Die Wörter sind zu- nächst nach dem letzten Consonanten im Worte angeordnet: al
HIT. I, II,	6	0.0008	DCS-HAS-UNMAPPED	Hitopadeśa	25040	yes		HITOPADEŚA, ed. SCHLEGEL und LASSEN (GILD. Bibl. 225). Eine darauf folgende römische Zahl bezeichnet das Buch, eine arab
ŚRĪDHARASV	6	0.0008	DCS-LACKS					? [Cologne Addition]
AŚOKĀV	6	0.0008	DCS-LACKS					AŚOKĀVADĀNA? [Cologne Addition]
LASSEN, PENTAP	6	0.0008	DCS-LACKS					
ṢAḌGURUŚIṢYA	6	0.0008	DCS-LACKS					? [Cologne Addition]
ĀNANDALAH	6	0.0008	DCS-LACKS					? [Cologne Addition]
VP. N	6	0.0008	DCS-HAS-UNMAPPED	Viṣṇupurāṇa	87622	yes		VIṢṆUPURĀṆA. Es wird die WILSON'sche Uebersetzung (GILD. Bibl. 133) citirt.
PRĀYAŚCITTAV	6	0.0008	DCS-LACKS					PRĀYAŚCITTAVIVEKA, nach Anführungen im ŚKDR.
COLEBR. MISC. II,	6	0.0008	DCS-LACKS					? [Cologne Addition]
PERTSCH	6	0.0008	DCS-LACKS					? [Cologne Addition]
WILSON, HINDU TH	6	0.0008	DCS-LACKS					
KARMAPRAD	6	0.0008	DCS-LACKS					KARMAPRADĪPA.
CARAṆAVY	6	0.0008	DCS-LACKS					? [Cologne Addition]
DHAR. EBEND	6	0.0008	DCS-LACKS					DHARAṆĪKOṢA, ein Wörterbuch; nach Anführungen im CKDR.
DĪP	6	0.0008	DCS-LACKS					? [Cologne Addition]
CAKRADATTA	6	0.0008	DCS-LACKS					? [Cologne Addition]
HAḌḌACANDRA	6	0.0008	DCS-LACKS					? [Cologne Addition]
COLEBR. MISC. ESS XV,	6	0.0008	DCS-LACKS					? [Cologne Addition]
RĀJA-TAR. II,	6	0.0008	DCS-LACKS					RĀJATARAṄGIṆĪ, ed. TROYER (GILD. Bibl. 148) für die 6 ersten Taram̃ga's; für die folgenden die Calc. Ausg. (GILD. Bibl. 
MED. PH	6	0.0008	DCS-LACKS					MEDINĪKOṢA, ed. Calc. (GILD. Bibl. 258). Die Wörter sind zu- nächst nach dem letzten Consonanten im Worte angeordnet: al
LANGL. II,	6	0.0008	DCS-LACKS					? [Cologne Addition]
ŚABDAK	6	0.0008	DCS-LACKS					? [Cologne Addition]
Z. D. D. M. G. IX, LXXIII	6	0.0008	DCS-LACKS					? [Cologne Addition]
GOBHILA	6	0.0008	DCS-LACKS					
ĀRUṆIKOP	6	0.0008	DCS-LACKS					? [Cologne Addition]
RATNAM. EBEND	6	0.0008	DCS-LACKS					RATNAMĀLĀ, ein Wörterbuch; nach Anführungen im ŚKDR.
KĀLIKĀP	6	0.0008	DCS-LACKS					? [Cologne Addition]
ŚABDĀRTHAKALP	6	0.0008	DCS-LACKS					? [Cologne Addition]
AMARAMĀLĀ	6	0.0008	DCS-LACKS					? [Cologne Addition]
UTTARARĀMAC. ED. COW	6	0.0008	DCS-LACKS					= ? [Cologne Addition]
KATHĀRṆ	6	0.0008	DCS-LACKS					? [Cologne Addition]
SĀDHANAM	6	0.0008	DCS-LACKS					? [Cologne Addition]
VIJAYARAKṢITA	6	0.0008	DCS-LACKS					? [Cologne Addition]
MUIR, SANSCRIT TEXTS I,	6	0.0008	DCS-LACKS					
TS. COMM. II,	6	0.0008	DCS-HAS-UNMAPPED	Taittirīyasaṃhitā	47989	yes		TAITTIRĪYASAM̃HITĀ. 7 Kāṇḍa, eingetheilt in Praśna, Anuvāka und Kaṇḍikā. Die letzten bezeichnen nicht Satzabschnitte, so
ED. BURN	6	0.0008	DCS-LACKS					
RUDRAYĀMALA	6	0.0008	DCS-LACKS					? [Cologne Addition]
JĀTAKAMĀLĀ	6	0.0008	DCS-LACKS					? [Cologne Addition]
SAM̃GĪTARATNĀKARA	6	0.0008	DCS-LACKS					? [Cologne Addition]
KAṬHOP. S	6	0.0008	DCS-HAS-UNMAPPED	Kaṭhopaniṣad	2129	yes		KAṬHOPANIṢAD in der Bibliotheca indica.
GAṆIT. BHAGAṆĀDH	6	0.0008	DCS-LACKS					GAṆITĀDHYĀYA? [Cologne Addition]
GAṆIT. MADHYAM	6	0.0008	DCS-LACKS					GAṆITĀDHYĀYA? [Cologne Addition]
UTTAR	6	0.0008	DCS-LACKS					? [Cologne Addition]
KĀVYAPR. (II)	6	0.0008	DCS-LACKS					? [Cologne Addition]
SPAṢṬĀDH	6	0.0008	DCS-LACKS					? [Cologne Addition]
GAṆIT. TRIPR	6	0.0008	DCS-LACKS					GAṆITĀDHYĀYA? [Cologne Addition]
TRIPR	6	0.0008	DCS-LACKS					? [Cologne Addition]
DATTAKACANDRIKĀ	6	0.0008	DCS-LACKS					? [Cologne Addition]
ŚL	5	0.0007	DCS-LACKS					
AVAD. ŚAT	5	0.0007	DCS-HAS-UNMAPPED	Avadānaśataka	19890	yes		AVADĀNAŚATAKA, eine buddhistische Legendensammlung.
AIT. BR. A. A. O	5	0.0007	DCS-HAS-UNMAPPED	Aitareyabrāhmaṇa	55243	yes		AITAREYABRĀHMAṆA. Citirt nach den 8 Pañcikā (einer äusseren Abtheilung, in welche die 40 nach sachlichen Rücksichten geb
GORRESIO	5	0.0007	DCS-LACKS					? [Cologne Addition]
NĪL	5	0.0007	DCS-LACKS					NĪLAKAṆṬHA, ein Scholiast des MAHĀBHĀRATA (an- geführt in BOPP'S Ausgabe des NALA) und auch des AK. (angeführt im ŚKDR.)
AR. UP	5	0.0007	DCS-LACKS					? [Cologne Addition]
KARKA	5	0.0007	DCS-LACKS					? [Cologne Addition]
PARIŚIṢṬA	5	0.0007	DCS-LACKS					? [Cologne Addition]
JĀB. UP	5	0.0007	DCS-LACKS					JĀBĀLOPANIṢAD.
GAṬĀDH	5	0.0007	DCS-LACKS					? [Cologne Addition]
NAYANĀNANDA	5	0.0007	DCS-LACKS					? [Cologne Addition]
DEVARĀJA	5	0.0007	DCS-LACKS					? [Cologne Addition]
TITHYĀDITATTVA	5	0.0007	DCS-LACKS					? [Cologne Addition]
YAJURVEDA	5	0.0007	DCS-LACKS					? [Cologne Addition]
NAVAR	5	0.0007	DCS-LACKS					NAVARATNA in HAEB. {%C%}hrest. S. 1--3.
MAŚ. S	5	0.0007	DCS-LACKS					MAŚAKA'S KALPASŪTRĀṆI.
PAÑCAT. II, IV,	5	0.0007	DCS-LACKS					PAÑCATANTRA. Pantschatantrum sive quinquepartitum de moribus exponens, ex codicibus manuscriptis edidit, commentariis cr
LIA. I, ANH. XIII	5	0.0007	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
LANGLOIS I,	5	0.0007	DCS-LACKS					? [Cologne Addition]
MAÑJUŚRĪN	5	0.0007	DCS-LACKS					ĀRYAMAÑJUŚRĪNĀMASAM̃GĪTI, s. Verz. d. Pet. H. No. 121.
VINĀYAKA	5	0.0007	DCS-LACKS					? [Cologne Addition]
RĀJA-TAR. T. II, P	5	0.0007	DCS-LACKS					RĀJATARAṄGIṆĪ, ed. TROYER (GILD. Bibl. 148) für die 6 ersten Taram̃ga's; für die folgenden die Calc. Ausg. (GILD. Bibl. 
HIT ED. SCHL	5	0.0007	DCS-HAS-UNMAPPED	Hitopadeśa	25040	yes		HITOPADEŚA, ed. SCHLEGEL und LASSEN (GILD. Bibl. 225). Eine darauf folgende römische Zahl bezeichnet das Buch, eine arab
DRAVYAGUṆA	5	0.0007	DCS-LACKS					? [Cologne Addition]
ŚAṂKARĀCĀRYA	5	0.0007	DCS-LACKS					? [Cologne Addition]
KĀTHĀS	5	0.0007	DCS-LACKS					? [Cologne Addition]
ADHYĀTMAR	5	0.0007	DCS-LACKS					? [Cologne Addition]
WHITE	5	0.0007	DCS-LACKS					? [Cologne Addition]
PUṢPAS	5	0.0007	DCS-LACKS					PUṢPASŪTRA.
VIṢṆUDHARMOTTARA	5	0.0007	DCS-LACKS					? [Cologne Addition]
LIA. II, ANH. IV	5	0.0007	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
BṚH. AR. UP. S	5	0.0007	DCS-LACKS					? [Cologne Addition]
PAIṬHĪNASI	5	0.0007	DCS-LACKS					? [Cologne Addition]
KĀVYAC	5	0.0007	DCS-LACKS					KĀVYACANDRIKĀ, ein Lehrbuch der Rhetorik; nach Anfüh- rungen im ŚKDR.
NILAK	5	0.0007	DCS-LACKS					? [Cologne Addition]
ŚĀKAṬ	5	0.0007	DCS-LACKS					ŚĀKAṬĀYANA, ein Schol. des ŚĀK.
BHĀSKARA	5	0.0007	DCS-LACKS					? [Cologne Addition]
MUṆḌAMĀLĀTANTRA	5	0.0007	DCS-LACKS					? [Cologne Addition]
JYOTIṢAT	5	0.0007	DCS-LACKS					JYOTIṢATATTVA; nach Anführungen im ŚKDR.
MAITR	5	0.0007	DCS-LACKS					? [Cologne Addition]
SĀRASV	5	0.0007	DCS-LACKS					? [Cologne Addition]
ŚĀTĀTAPA	5	0.0007	DCS-LACKS					? [Cologne Addition]
AVADĀNAŚ	5	0.0007	DCS-LACKS					? [Cologne Addition]
KĀM. NĪTIS. S	5	0.0007	DCS-LACKS					? [Cologne Addition]
TRIR	5	0.0007	DCS-LACKS					? [Cologne Addition]
BHAVADEVABHAṬṬA	5	0.0007	DCS-LACKS					? [Cologne Addition]
RĀJA-TAR. I,	5	0.0007	DCS-LACKS					RĀJATARAṄGIṆĪ, ed. TROYER (GILD. Bibl. 148) für die 6 ersten Taram̃ga's; für die folgenden die Calc. Ausg. (GILD. Bibl. 
ED. GORR	5	0.0007	DCS-LACKS					
UTT	5	0.0007	DCS-LACKS					? [Cologne Addition]
VṚDDHACĀṆ	5	0.0007	DCS-LACKS					? [Cologne Addition]
BÖHTL	5	0.0007	DCS-LACKS					? [Cologne Addition]
RUDRAYĀM	5	0.0007	DCS-LACKS					? [Cologne Addition]
LIA. I, ANH. XXXII	5	0.0007	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
VĀYU-P. EBEND	5	0.0007	DCS-LACKS					VĀYUPURĀṆA.
BRAHMAVAIV.-P	5	0.0007	DCS-LACKS					BRAHMAVAIVARTAPURĀṆA? [Cologne Addition]
VERZ. D. OXF. H. NO. S	5	0.0007	DCS-LACKS					
NARASIṂHA-P	5	0.0007	DCS-LACKS					= ? [Cologne Addition]
ED. CALC. P	5	0.0007	DCS-LACKS					
ŚIVAP	5	0.0007	DCS-HAS-UNMAPPED	Śivapurāṇa	827	no		ŚIVAPURĀṆA ? [Cologne Addition]
ŚAT. BR. ŚAT	5	0.0007	DCS-LACKS					The ŚATAPATHABRĀHMAṆA in the Mādhyandina-Śākhā, with extracts made from the commentaries of SĀYAṆA, HARISVĀMIN and DVIVE
ĀHNIKĀCĀRAT	5	0.0007	DCS-LACKS					? [Cologne Addition]
SĀRASUNDARĪ	5	0.0007	DCS-LACKS					? [Cologne Addition]
BHĀṢĀPAR	5	0.0007	DCS-LACKS					BHĀṢĀPARICCHEDA nach der Ausgabe von RÖER in der Bibliotheca indica. ? = 1.040
UPALEKHA	5	0.0007	DCS-LACKS					? [Cologne Addition]
MACK. COLL. II,	5	0.0007	DCS-LACKS					MACK. Coll.? [Cologne Addition]
NĀRAS. P	5	0.0007	DCS-LACKS					= ? [Cologne Addition]
MUIR, SANSKRIT TEXTS	5	0.0007	DCS-LACKS					
BRAHMAVAIV	5	0.0007	DCS-LACKS					? [Cologne Addition]
WILSON, DAŚAK	5	0.0007	DCS-HAS-UNMAPPED	Daśakumāracarita	35188	yes		DAŚAKUMĀRACARITA, ed. WILSON (GILD. Bibl. 236). [Cologne Addition]
JATĀDH	5	0.0007	DCS-LACKS					? [Cologne Addition]
ĀGNEYA-P	5	0.0007	DCS-LACKS					ĀGNEYAPURĀṆA? [Cologne Addition]
JOURN. OF THE AM. OR. S. ŚL	5	0.0007	DCS-LACKS					
ŚATAKĀV	5	0.0007	DCS-LACKS					? [Cologne Addition]
ĀŚV. GṚHY. S	5	0.0007	DCS-HAS-UNMAPPED	Āśvalāyanagṛhyasūtra	7046	yes		ĀŚVALĀYANA'S GṚHYASŪTRĀṆI in 4 Adhyāya. Hdschr.
PAÑCAT. ED. BOMB	5	0.0007	DCS-LACKS					PAÑCATANTRA. Pantschatantrum sive quinquepartitum de moribus exponens, ex codicibus manuscriptis edidit, commentariis cr
SIDDH. ŚIR	5	0.0007	DCS-LACKS					SIDDHĀNTAŚIROMAṆI, nach Anführungen im ŚKDR. ? [Cologne Addition]
PRĀYAŚCITTENDUŚ	5	0.0007	DCS-LACKS					? [Cologne Addition]
SĀṂSK. K	5	0.0007	DCS-LACKS					? [Cologne Addition]
GOVARDHANA	5	0.0007	DCS-LACKS					? [Cologne Addition]
MÉL. ASIAT. IV,	5	0.0007	DCS-LACKS					
PRAYOGARATNA	5	0.0007	DCS-LACKS					? [Cologne Addition]
SARVASĀROP	5	0.0007	DCS-LACKS					? [Cologne Addition]
KĀTYĀYANA	5	0.0007	DCS-LACKS					? [Cologne Addition]
MOLESWORTH	5	0.0007	DCS-LACKS					? [Cologne Addition]
UṆĀDIS. S	5	0.0007	DCS-LACKS					? [Cologne Addition]
HARIBHAKTIVILĀSA	5	0.0007	DCS-LACKS					? [Cologne Addition]
RATNĀKARA	5	0.0007	DCS-LACKS					? [Cologne Addition]
KAUṢ. UP. EINL	5	0.0007	DCS-HAS-UNMAPPED	Kauṣītakibrāhmaṇa	15331	yes		KAUṢĪTAKYUPANIṢAD.
JAGADDHARA	5	0.0007	DCS-LACKS					? [Cologne Addition]
SARASVATĪK	5	0.0007	DCS-LACKS					? [Cologne Addition]
SAṂSKṚTAPĀṬHOP	5	0.0007	DCS-LACKS					? [Cologne Addition]
NĀGEŚA	5	0.0007	DCS-LACKS					? [Cologne Addition]
TRIPRAŚNAV	5	0.0007	DCS-LACKS					? [Cologne Addition]
SPAṢṬĀDHY	5	0.0007	DCS-LACKS					? [Cologne Addition]
LA. (III) AD	5	0.0007	DCS-LACKS					LASSEN'S Anthologie (GILD. Bibl. 48).
PAT. EBEND	5	0.0007	DCS-LACKS					PATAÑJALI, als Verfasser des MAHĀBHĀṢYA; nach Excerpten in BÖHTLINGK'S Ausgabe des PĀṆINI.
GOLAB	5	0.0007	DCS-LACKS					? [Cologne Addition]
VERZ. D. OXF. H. V. U	5	0.0007	DCS-LACKS					
KĀD. (ED. CALC	5	0.0007	DCS-LACKS					? [Cologne Addition]
DATTAKAC	5	0.0007	DCS-LACKS					? [Cologne Addition]
GOLĀDHY. MADHYAG	5	0.0007	DCS-LACKS					? [Cologne Addition]
VAIT	5	0.0007	DCS-LACKS					? [Cologne Addition]
GAṆIT. CANDRAGR	5	0.0007	DCS-LACKS					GAṆITĀDHYĀYA? [Cologne Addition]
NIR. S	4	0.0005	DCS-LACKS					YĀSKA'S NIRUKTA sammt den NIGHAṆṬAVA'S herausgegeben und erklärt von RUDOLPH ROTH. Göttingen 1852.
LALITAV	4	0.0005	DCS-LACKS					? [Cologne Addition]
VERZ. D. B. H. S	4	0.0005	DCS-LACKS					
SV. I, II,	4	0.0005	DCS-LACKS					SĀMAVEDA. Die Hymnen des SĀMA-VEDA, herausgegeben, übersetzt und mit Glossar versehen von THEODOR BENFEY. Leipzig 1848. 
MED. Ṅ	4	0.0005	DCS-LACKS					MEDINĪKOṢA, ed. Calc. (GILD. Bibl. 258). Die Wörter sind zu- nächst nach dem letzten Consonanten im Worte angeordnet: al
UTT. RĀMAC	4	0.0005	DCS-LACKS					UTTARA-RĀMACARITRA, ed. Calc. (GILD. Bibl. 212).
DURGĀDĀSA	4	0.0005	DCS-LACKS					
VOPADEVA	4	0.0005	DCS-LACKS					? [Cologne Addition]
KĀTY. ANUKR	4	0.0005	DCS-HAS-UNMAPPED	Kātyāyanasmṛti	14317	yes		KĀTYĀYANA.
SAJJANA	4	0.0005	DCS-LACKS					? [Cologne Addition]
NĀRĀYAṆA	4	0.0005	DCS-LACKS					? [Cologne Addition]
IND. ST. I, II,	4	0.0005	DCS-LACKS					
VIVĀDĀC	4	0.0005	DCS-LACKS					? [Cologne Addition]
VĪRAM	4	0.0005	DCS-LACKS					VĪRAMITRODAYA.
LIKHITA	4	0.0005	DCS-LACKS					? [Cologne Addition]
BRAHMA-S	4	0.0005	DCS-LACKS					BRAHMASŪTRA, nach Anführungen in WIND. Sancara.
GAUḌAPĀDA	4	0.0005	DCS-LACKS					? [Cologne Addition]
LIA. I, ANH. XXVII, N	4	0.0005	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
AS. RES. XVII,	4	0.0005	DCS-LACKS					
LIA. I, ANH. XX	4	0.0005	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
LIA. I, ANH. XXIX	4	0.0005	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
DHANURVEDA	4	0.0005	DCS-LACKS					? [Cologne Addition]
TH. III, S	4	0.0005	DCS-LACKS					
SŪRYAŚ	4	0.0005	DCS-LACKS					? [Cologne Addition]
PARIBHĀṢĀ	4	0.0005	DCS-LACKS					? [Cologne Addition]
ĀTMOP	4	0.0005	DCS-LACKS					? [Cologne Addition]
PRĀYAŚCITTATATTVA	4	0.0005	DCS-LACKS					? [Cologne Addition]
PARIŚIṢṬA ZUM SV	4	0.0005	DCS-LACKS					? [Cologne Addition]
DATTAKAM	4	0.0005	DCS-LACKS					? [Cologne Addition]
ŚĀKAṬĀYANA	4	0.0005	DCS-LACKS					? [Cologne Addition]
MĀDHAVAKARA	4	0.0005	DCS-LACKS					? [Cologne Addition]
BENF	4	0.0005	DCS-LACKS					? [Cologne Addition]
LIA. I, ANH. XXIV	4	0.0005	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
YAJ. V	4	0.0005	DCS-LACKS					YAJURVEDA.
LIA. I, ANH. XXV	4	0.0005	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
KṢĪRASVĀMIN	4	0.0005	DCS-LACKS					? [Cologne Addition]
HARISV	4	0.0005	DCS-LACKS					HARISVĀMIN, ein Scholiast des ŚAT. BR.
AUFRECHT, HALĀY. S	4	0.0005	DCS-LACKS					? [Cologne Addition]
NĪTIPR	4	0.0005	DCS-LACKS					NĪTIPRADĪPA in HAEB. Chr. S. 526--528.
ŚĀRṄG	4	0.0005	DCS-HAS-UNMAPPED	Śārṅgadharasaṃhitādīpikā	14766	no		ŚĀRṄGADHARA.
ŚRUTI	4	0.0005	DCS-LACKS					? [Cologne Addition]
VENĪS	4	0.0005	DCS-LACKS					? [Cologne Addition]
MÉL. ASIAT. II,	4	0.0005	DCS-LACKS					
LIA. II, ANH. VIII	4	0.0005	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
ŚUK. ED. BOMB. S	4	0.0005	DCS-HAS-UNMAPPED	Śukasaptati	9678	yes		ŚUKASAPTATI in LASSEN'S Anthologie (GILD. Bibl. 48).
KUNTĀPA	4	0.0005	DCS-LACKS					? [Cologne Addition]
KĀṆVA	4	0.0005	DCS-LACKS					? [Cologne Addition]
HIT IV,	4	0.0005	DCS-HAS-UNMAPPED	Hitopadeśa	25040	yes		HITOPADEŚA, ed. SCHLEGEL und LASSEN (GILD. Bibl. 225). Eine darauf folgende römische Zahl bezeichnet das Buch, eine arab
RÜCKERT	4	0.0005	DCS-LACKS					? [Cologne Addition]
