kind	affix	iast	n_distinct_roots
suffix	नि	ni	13
suffix	क्त्	kt	13
suffix	अनीयर्	anīyar	12
suffix	अङ्	aṅ	12
suffix	णिच्	ṇic	12
suffix	मन्	man	12
suffix	इञ्	iñ	12
suffix	उन्	un	11
suffix	त्व	tva	11
suffix	क्विन्	kvin	11
suffix	उण्	uṇ	11
suffix	तुन्	tun	11
suffix	रन्	ran	10
suffix	घ	gha	10
suffix	इष्णुच्	iṣṇuc	10
suffix	कृ	kṛ	10
suffix	अनीय	anīya	10
suffix	तन्	tan	10
suffix	अ	a	10
suffix	कनिन्	kanin	10
suffix	क्यप्	kyap	10
suffix	मक्	mak	10
suffix	लच्	lac	9
suffix	शस्	śas	9
suffix	य	ya	9
suffix	ण	ṇa	9
suffix	तव्यत्	tavyat	9
suffix	वन्	van	9
suffix	खच्	khac	9
suffix	डु	ḍu	9
suffix	स्वार्थे	svārthe	8
suffix	अनि	ani	8
suffix	र	ra	8
suffix	अलच्	alac	8
suffix	ईयसुन्	īyasun	8
suffix	वुन्	vun	8
suffix	इत्र	itra	8
suffix	कलच्	kalac	8
suffix	स	sa	8
suffix	अति	ati	7
suffix	असच्	asac	7
suffix	न	na	7
suffix	धा	dhā	7
suffix	त्रल्	tral	7
suffix	अरन्	aran	7
suffix	वुञ्	vuñ	7
suffix	क्वुन्	kvun	7
suffix	किरच्	kirac	7
suffix	आलच्	ālac	7
suffix	क्रिन्	krin	6
suffix	उरच्	urac	6
suffix	उकञ्	ukañ	6
suffix	उनन्	unan	6
suffix	अटन्	aṭan	6
suffix	झच्	jhac	6
suffix	क्तिच्	ktic	5
suffix	उलच्	ulac	5
suffix	इष्ठन्	iṣṭhan	5
suffix	आलुच्	āluc	5
suffix	नङ्	naṅ	5
suffix	असि	asi	5
suffix	विच्	vic	5
suffix	अथुच्	athuc	5
suffix	नक्	nak	5
suffix	कक्	kak	5
suffix	ल्यप्	lyap	5
suffix	नु	nu	4
suffix	तमप्	tamap	4
suffix	दा	dā	4
suffix	आ	ā	4
suffix	कुरच्	kurac	4
suffix	प	pa	4
suffix	त	ta	4
suffix	खश्	khaś	4
suffix	अम्	am	4
suffix	कर्मणि	karmaṇi	4
suffix	ई	ī	4
suffix	इण्	iṇ	4
suffix	अञ्	añ	4
suffix	ञ्य	ñya	4
suffix	थक्	thak	4
suffix	अच	aca	4
suffix	ब	ba	4
suffix	मि	mi	4
suffix	आकन्	ākan	4
suffix	अस्	as	4
suffix	गन्	gan	4
suffix	यङ्	yaṅ	4
suffix	ड़ीष्	ड़ीṣ	3
suffix	आरन्	āran	3
suffix	ऊषन्	ūṣan	3
suffix	अप	apa	3
suffix	इनच्	inac	3
suffix	ईरन्	īran	3
suffix	ता	tā	3
suffix	एद्युस्	edyus	3
suffix	ईकन्	īkan	3
suffix	वृत्	vṛt	3
suffix	क्षिप्	kṣip	3
suffix	उसि	usi	3
suffix	इसुन्	isun	3
suffix	वनिप्	vanip	3
suffix	झिच्	jhic	3
suffix	कथन्	kathan	3
suffix	क्	k	3
suffix	टिषच्	ṭiṣac	3
suffix	क्यच्	kyac	3
suffix	साति	sāti	3
suffix	ण्य	ṇya	3
suffix	इकन्	ikan	3
suffix	आनच्	ānac	3
suffix	विन्	vin	3
suffix	डति	ḍati	3
suffix	अथच्	athac	3
suffix	विनि	vini	3
suffix	ट	ṭa	3
suffix	ल्यूट्	lyūṭ	3
suffix	क्यङ्	kyaṅ	3
suffix	घिनुण्	ghinuṇ	3
suffix	थाल्	thāl	3
suffix	क्यु	kyu	3
suffix	त्यप्	tyap	3
suffix	कयन्	kayan	3
suffix	ऊ	ū	3
suffix	अङ्गच्	aṅgac	3
suffix	पक्	pak	3
suffix	त्रन्	tran	3
suffix	षाकन्	ṣākan	3
suffix	तव्य	tavya	3
suffix	सु	su	2
suffix	ओट	oṭa	2
suffix	डिमच्	ḍimac	2
suffix	ल्युट	lyuṭa	2
suffix	ईरच्	īrac	2
suffix	आम्	ām	2
suffix	के	ke	2
suffix	ट्यु	ṭyu	2
suffix	ठ	ṭha	2
suffix	क्तिन	ktina	2
suffix	ट्युल्	ṭyul	2
suffix	इमन्	iman	2
suffix	ट्	ṭ	2
suffix	ड्	ḍ	2
suffix	तरप्	tarap	2
suffix	एद्युः	edyuḥ	2
suffix	र्हिल्	rhil	2
suffix	अञ्च्	añc	2
suffix	अहन्	ahan	2
suffix	कुलच्	kulac	2
suffix	अङ्ग	aṅga	2
suffix	अनीयर	anīyara	2
suffix	ण्वुल	ṇvula	2
suffix	दीर्घः	dīrghaḥ	2
suffix	आधारे	ādhāre	2
suffix	त्यक्	tyak	2
suffix	टाप	ṭāpa	2
suffix	इन	ina	2
suffix	ए	e	2
suffix	व	va	2
suffix	थन्	than	2
suffix	त्वल्	tval	2
suffix	करणे	karaṇe	2
suffix	अमच्	amac	2
suffix	णिन्	ṇin	2
suffix	अस्ताति	astāti	2
suffix	इरच्	irac	2
suffix	क्वन्	kvan	2
suffix	श्तिप्	śtip	2
suffix	पृषो	pṛṣo	2
suffix	डो	ḍo	2
suffix	तप्	tap	2
suffix	यक्	yak	2
suffix	रभ्	rabh	2
suffix	ठण्	ṭhaṇ	2
suffix	टक्	ṭak	2
suffix	कटच्	kaṭac	2
suffix	तस्	tas	2
suffix	हृ	hṛ	2
suffix	अथ	atha	2
suffix	वस्	vas	2
suffix	मुक्	muk	2
suffix	वलच्	valac	2
suffix	क्वरप्	kvarap	2
suffix	इति	iti	2
suffix	डि	ḍi	2
suffix	कालन्	kālan	2
suffix	अदि	adi	2
suffix	इनन्	inan	2
suffix	ल्यु	lyu	2
suffix	श्	ś	2
suffix	ष्वरच्	ṣvarac	2
suffix	अतच्	atac	2
suffix	वरच्	varac	2
suffix	उक	uka	2
suffix	या	yā	2
suffix	कप्	kap	2
suffix	घुरच्	ghurac	2
suffix	किष्यन्	kiṣyan	2
suffix	इजि	iji	2
suffix	करन्	karan	2
suffix	च्वि	cvi	2
suffix	उच्	uc	2
suffix	ह	ha	2
suffix	सः	saḥ	2
suffix	यच्	yac	2
suffix	खञ्	khañ	2
suffix	त्र	tra	2
suffix	स्था	sthā	2
suffix	युज्	yuj	2
suffix	सम्	sam	2
suffix	स्पृश्	spṛś	2
suffix	ऋक्षम्	ṛkṣam	2
suffix	वि	vi	2
suffix	तु	tu	2
suffix	अन्त	anta	2
suffix	क्थन्	kthan	2
suffix	उक्तिः	uktiḥ	2
suffix	अध्यक्ष	adhyakṣa	2
suffix	किन्	kin	2
suffix	अनिः	aniḥ	1
suffix	क्त्र्	ktr	1
suffix	क्सि	ksi	1
suffix	ड़ीप्	ड़ीp	1
suffix	षिकन्	ṣikan	1
suffix	उटच्	uṭac	1
suffix	उशच्	uśac	1
suffix	ओठ	oṭha	1
suffix	ओल	ola	1
suffix	इरुट्	iruṭ	1
suffix	उलि	uli	1
suffix	किरन्	kiran	1
suffix	अलि	ali	1
suffix	इष्ठच्	iṣṭhac	1
suffix	अवि	avi	1
suffix	था	thā	1
suffix	तदर्हम्	tadarham	1
suffix	इथिन्	ithin	1
suffix	संज्	saṃj	1
suffix	रो	ro	1
suffix	लो	lo	1
suffix	डुतच्	ḍutac	1
suffix	क्मरच्	kmarac	1
suffix	ष्ट्यु	ṣṭyu	1
suffix	अम	ama	1
suffix	क्रम्	kram	1
suffix	श्रि	śri	1
suffix	अधि	adhi	1
suffix	क्वनिप्	kvanip	1
suffix	टा	ṭā	1
suffix	क्वसु	kvasu	1
suffix	इच्छुक	icchuka	1
suffix	णमुल्	ṇamul	1
suffix	ण्यन्	ṇyan	1
suffix	वद्	vad	1
suffix	वास्	vās	1
suffix	शास्	śās	1
suffix	सृ	sṛ	1
suffix	कान	kāna	1
suffix	अरम्	aram	1
suffix	डा	ḍā	1
suffix	णिनिः	ṇiniḥ	1
suffix	इष्णु	iṣṇu	1
suffix	डतमच्	ḍatamac	1
suffix	क्स	ksa	1
suffix	डे	ḍe	1
suffix	ह्रस्वश्च	hrasvaśca	1
suffix	अव्	av	1
suffix	ईक्ष	īkṣa	1
suffix	घ्ञ्	ghñ	1
suffix	य्	y	1
suffix	क्त्त्	ktt	1
suffix	क्त्तिन्	kttin	1
suffix	इषन्	iṣan	1
suffix	कञ्	kañ	1
suffix	त्वल	tvala	1
suffix	अरिष्	ariṣ	1
suffix	ढ	ḍha	1
suffix	एच्	ec	1
suffix	अन्य	anya	1
suffix	आनुक्	ānuk	1
suffix	कत्नि	katni	1
suffix	तुद्	tud	1
suffix	ताप्	tāp	1
suffix	इसि	isi	1
suffix	वीकन्	vīkan	1
suffix	ल्युत्	lyut	1
suffix	अटि	aṭi	1
suffix	पक्षे	pakṣe	1
suffix	टीटन्	ṭīṭan	1
suffix	डुः	ḍuḥ	1
suffix	नाटच्	nāṭac	1
suffix	डमु	ḍamu	1
suffix	स्कन्द्	skand	1
suffix	न्वुल्	nvul	1
suffix	क्रुन्	krun	1
suffix	ष्टरच्	ṣṭarac	1
suffix	तयप्	tayap	1
suffix	डट्	ḍaṭ	1
suffix	क्न्	kn	1
suffix	किरच	kiraca	1
suffix	खश्मुम्	khaśmum	1
suffix	कथिन	kathina	1
suffix	मदिक्	madik	1
suffix	मिन्	min	1
suffix	युस्	yus	1
suffix	मनिण्	maniṇ	1
suffix	खि	khi	1
suffix	असुन	asuna	1
suffix	सक्	sak	1
suffix	णीनि	ṇīni	1
suffix	उस्	us	1
suffix	अट	aṭa	1
suffix	रा	rā	1
suffix	णित्	ṇit	1
suffix	ञ्यङ्	ñyaṅ	1
suffix	इस्	is	1
suffix	ञ्	ñ	1
suffix	अकच्	akac	1
suffix	डैस्	ḍais	1
suffix	त्राहि	trāhi	1
suffix	एनप्	enap	1
suffix	घतिन्	ghatin	1
suffix	अर्क्	ark	1
suffix	एज्	ej	1
suffix	झ	jha	1
suffix	धिनुण्	dhinuṇ	1
suffix	सरन्	saran	1
suffix	वम्	vam	1
suffix	उर	ura	1
suffix	उरु	uru	1
suffix	गूह्	gūh	1
suffix	जीव्	jīv	1
suffix	त्यकन्	tyakan	1
suffix	ध	dha	1
suffix	घनुण्	ghanuṇ	1
suffix	रिल्	ril	1
suffix	रिष्टातिल्	riṣṭātil	1
suffix	तनु	tanu	1
suffix	सिच्	sic	1
suffix	नुम्	num	1
suffix	भक्	bhak	1
suffix	अयट्	ayaṭ	1
suffix	द्युस्	dyus	1
suffix	डुम्	ḍum	1
suffix	अरीक्	arīk	1
suffix	कपच्	kapac	1
suffix	ऊक्	ūk	1
suffix	ऊतज्	ūtaj	1
suffix	ङिष्	ṅiṣ	1
suffix	कनसि	kanasi	1
suffix	कपन्	kapan	1
suffix	यु	yu	1
suffix	ष्वरप्	ṣvarap	1
suffix	डेकन्	ḍekan	1
suffix	अण्डन्	aṇḍan	1
suffix	डेलक	ḍelaka	1
suffix	गुत्स्नु	gutsnu	1
suffix	आतु	ātu	1
suffix	अकन्	akan	1
suffix	ऊठ्	ūṭh	1
suffix	आतृ	ātṛ	1
suffix	ढ़क्	ढ़k	1
suffix	डाच्	ḍāc	1
suffix	आग	āga	1
suffix	दानीम्	dānīm	1
suffix	डलच्	ḍalac	1
suffix	तुनन्	tunan	1
suffix	अण्ड़च्	aṇड़c	1
suffix	ईषण्	īṣaṇ	1
suffix	आलु	ālu	1
suffix	अतिच्	atic	1
suffix	घथिन्	ghathin	1
suffix	काश्	kāś	1
suffix	तानकः	tānakaḥ	1
suffix	च्त	cta	1
suffix	च्तिन्	ctin	1
suffix	लट्	laṭ	1
suffix	ष्वरक्	ṣvarak	1
suffix	तनप्	tanap	1
suffix	ऋन्	ṛn	1
suffix	एक	eka	1
suffix	द्व	dva	1
suffix	डौ	ḍau	1
suffix	षिंवन्	ṣiṃvan	1
suffix	काकु	kāku	1
suffix	तृन्	tṛn	1
suffix	इत्वुच्	itvuc	1
suffix	छण्	chaṇ	1
suffix	स्नञ्	snañ	1
suffix	न्	n	1
suffix	ढञ्	ḍhañ	1
suffix	यञ्	yañ	1
suffix	डाटि	ḍāṭi	1
suffix	स्थन्	sthan	1
suffix	कण्	kaṇ	1
suffix	खरः	kharaḥ	1
suffix	गै	gai	1
suffix	शप	śapa	1
suffix	टिठन्	ṭiṭhan	1
suffix	धञ्	dhañ	1
suffix	त्नप्	tnap	1
suffix	उत	uta	1
suffix	नट्	naṭ	1
suffix	भास्	bhās	1
suffix	मा	mā	1
suffix	मुच्	muc	1
suffix	याच्	yāc	1
suffix	स्य	sya	1
suffix	अण	aṇa	1
suffix	ङ	ṅa	1
suffix	अरुच्	aruc	1
suffix	आक्	āk	1
suffix	कण्डन्	kaṇḍan	1
suffix	ऊक	ūka	1
suffix	अपादाने	apādāne	1
suffix	लृट्	lṛṭ	1
suffix	ठाक्	ṭhāk	1
suffix	उक्	uk	1
suffix	लक्	lak	1
suffix	पुक्	puk	1
suffix	ऊड़	ūड़	1
suffix	क्लुकन्	klukan	1
suffix	कन्युच्	kanyuc	1
suffix	इसिन्	isin	1
suffix	रूक्	rūk	1
suffix	ष्णु	ṣṇu	1
suffix	त्रिमप्	trimap	1
suffix	डोस्	ḍos	1
suffix	डू	ḍū	1
suffix	ऊकण्	ūkaṇ	1
suffix	ण्वल	ṇvala	1
suffix	इच	ica	1
suffix	कल्	kal	1
suffix	उटन्	uṭan	1
suffix	अलुच्	aluc	1
suffix	त्त्क्रि	ttkri	1
suffix	इमनिन	imanina	1
suffix	ईषा	īṣā	1
suffix	ऊलच्	ūlac	1
suffix	लक्त	lakta	1
suffix	आनकः	ānakaḥ	1
suffix	इक	ika	1
suffix	सन्	san	1
suffix	इतन्	itan	1
suffix	कारः	kāraḥ	1
suffix	आगमः	āgamaḥ	1
suffix	आसिच्	āsic	1
suffix	उपध	upadha	1
suffix	लुट्	luṭ	1
suffix	अन्तः	antaḥ	1
suffix	नामन्	nāman	1
suffix	अपर	apara	1
suffix	एहि	ehi	1
suffix	क्तवतु	ktavatu	1
suffix	मय्	may	1
suffix	उपात्त	upātta	1
suffix	अङ्क	aṅka	1
suffix	बीकन्	bīkan	1
suffix	उद्देशः	uddeśaḥ	1
suffix	सो	so	1
suffix	स्कृ	skṛ	1
suffix	विकार	vikāra	1
suffix	शब्द	śabda	1
suffix	शंस्	śaṃs	1
suffix	शुभ	śubha	1
suffix	अक्षि	akṣi	1
suffix	षट्	ṣaṭ	1
suffix	यज्	yaj	1
suffix	रम्भ्	rambh	1
suffix	रुध	rudha	1
suffix	वाद	vāda	1
suffix	तुष्	tuṣ	1
suffix	भुज्	bhuj	1
suffix	सम्प्रदाय	sampradāya	1
suffix	सह्	sah	1
suffix	चर्य	carya	1
suffix	जरती	jaratī	1
suffix	स्नु	snu	1
suffix	काङ्क्ष्	kāṅkṣ	1
suffix	कुप्	kup	1
suffix	क्लिद्	klid	1
suffix	व्यध	vyadha	1
suffix	अवच	avaca	1
suffix	चर्	car	1
suffix	टङ्क	ṭaṅka	1
suffix	डामर	ḍāmara	1
suffix	स्तम्भ्	stambh	1
suffix	स्फुल्लिङ्ग	sphulliṅga	1
suffix	सञ्ञ्	saññ	1
suffix	तुमुन्	tumun	1
suffix	स्मि	smi	1
suffix	स्रु	sru	1
suffix	ग्रथ्	grath	1
suffix	दल्	dal	1
suffix	क्त्वा	ktvā	1
suffix	धूञ्	dhūñ	1
suffix	द्युत्	dyut	1
suffix	उद्	ud	1
suffix	नद्	nad	1
suffix	निद्रा	nidrā	1
suffix	मुह्	muh	1
suffix	कीच्	kīc	1
suffix	ञुण्	ñuṇ	1
suffix	गम्	gam	1
suffix	निर्	nir	1
suffix	षद्	ṣad	1
suffix	नी	nī	1
suffix	पद्	pad	1
suffix	प्लु	plu	1
suffix	भिद्	bhid	1
suffix	रुध्	rudh	1
suffix	वञ्च्	vañc	1
suffix	श्लोक्	ślok	1
suffix	यम्	yam	1
suffix	वच्	vac	1
suffix	अय्	ay	1
suffix	उष्ण	uṣṇa	1
suffix	तृ	tṛ	1
suffix	तन	tana	1
suffix	मात्रच्	mātrac	1
suffix	फक्	phak	1
suffix	ईलच्	īlac	1
suffix	अम्बच्	ambac	1
suffix	इष्टन्	iṣṭan	1
suffix	अभच्	abhac	1
suffix	कू	kū	1
suffix	उषच्	uṣac	1
suffix	आपकः	āpakaḥ	1
suffix	तन्तुः	tantuḥ	1
suffix	डिमु	ḍimu	1
suffix	ओरन्	oran	1
suffix	कुत्व	kutva	1
suffix	उम	uma	1
suffix	स्त्रियां	striyāṃ	1
suffix	अन्	an	1
suffix	भन्	bhan	1
suffix	उरन्	uran	1
suffix	थ	tha	1
suffix	ऋतुः	ṛtuḥ	1
suffix	ऋच्	ṛc	1
suffix	क्न	kna	1
suffix	ड्रि	ḍri	1
suffix	अवस्थानम्	avasthānam	1
suffix	भ्रमः	bhramaḥ	1
suffix	शूलम्	śūlam	1
suffix	रुक्	ruk	1
suffix	सुक्	suk	1
suffix	आलुच्फ़्	ālucफ़्	1
suffix	द्विशब्दस्य	dviśabdasya	1
suffix	ग	ga	1
suffix	नमन्तो	namanto	1
suffix	अत्रन्	atran	1
suffix	सुतः	sutaḥ	1
suffix	चमस्	camas	1
suffix	स्फोटः	sphoṭaḥ	1
suffix	आलापः	ālāpaḥ	1
suffix	नञ्	nañ	1
suffix	आभोगः	ābhogaḥ	1
suffix	अन्तिक	antika	1
suffix	बि	bi	1
suffix	अग्र	agra	1
suffix	अग्रक	agraka	1
suffix	ठक	ṭhaka	1
suffix	मट्	maṭ	1
suffix	आक	āka	1
suffix	ष्कन्	ṣkan	1
suffix	अहः	ahaḥ	1
suffix	पश्यादेशः	paśyādeśaḥ	1
suffix	उपकरः	upakaraḥ	1
suffix	फ	pha	1
suffix	अलुक्	aluk	1
suffix	डुमसुन्	ḍumasun	1
suffix	अर्	ar	1
suffix	ईषन्	īṣan	1
suffix	ण्वल्	ṇval	1
suffix	अनुजः	anujaḥ	1
suffix	अज्	aj	1
suffix	असिच्	asic	1
suffix	आत्मन्	ātman	1
suffix	प्रवण	pravaṇa	1
suffix	स्युट्	syuṭ	1
suffix	ल्पप्	lpap	1
suffix	ऊरच्	ūrac	1
suffix	हा	hā	1
suffix	क्यून्	kyūn	1
suffix	स्यन्	syan	1
suffix	ईचि	īci	1
suffix	उति	uti	1
suffix	कल	kala	1
suffix	आनक	ānaka	1
suffix	ति	ti	1
suffix	त्रिप्	trip	1
suffix	अथः	athaḥ	1
suffix	कुः	kuḥ	1
suffix	इक्	ik	1
suffix	मत्	mat	1
suffix	वनन्	vanan	1
suffix	तिकन्	tikan	1
suffix	ईयसन्	īyasan	1
suffix	अयन्	ayan	1
suffix	ईक्	īk	1
suffix	तिः	tiḥ	1
suffix	ग्मिन्	gmin	1
suffix	णित्रन्	ṇitran	1
suffix	राशिः	rāśiḥ	1
suffix	अर	ara	1
suffix	तुण्	tuṇ	1
suffix	क्रन्	kran	1
suffix	अनुगा	anugā	1
suffix	कानच्	kānac	1
suffix	आशिन्	āśin	1
suffix	नुक्	nuk	1
suffix	गति	gati	1
suffix	लोपः	lopaḥ	1
suffix	काक्	kāk	1
suffix	अन्नम्	annam	1
suffix	आर्तवा	ārtavā	1
suffix	दन	dana	1
suffix	कलच	kalaca	1
suffix	शत्	śat	1
suffix	त्रुन्	trun	1
suffix	ज्योत्सना	jyotsanā	1
suffix	आकः	ākaḥ	1
suffix	इत्रच्	itrac	1
suffix	लुक्	luk	1
suffix	इत्नुच्	itnuc	1
suffix	अजिरम्	ajiram	1
suffix	अथिण्	athiṇ	1
suffix	अज्ञानम्	ajñānam	1
suffix	इभ	ibha	1
suffix	इष्ट	iṣṭa	1
suffix	उपम	upama	1
suffix	उपायः	upāyaḥ	1
suffix	त्रिन्	trin	1
