root_slp1	hw_dev	in_verbs01	hindi_gloss
Gfz	घृष्	N	रगड़्ना, घिसना
GrA	घ्रा	Y	सूँघना, पता लगाना, सूंघ का प्रत्यक्ष ज्ञान करना
Gu	घु	Y	शब्द करना,  हल्ला मचाना
GuR	घुण्	Y	लुढ़कना,  चक्कर खाना, लड़खड़ाना, अटेरना
Gur	घुर्	Y	शब्द करना, कोलाहल करना, खुर्राटे भरना, फुफकारना, घुरघुराना
Guw	घुट्	Y	फिर प्रहार करना,  बदला लेने के लिए प्रहार करना, मुक़ाबला करना
Guz	घुष्	Y	शब्द करना, कोलाहल करना
I	ई	N	जाना
IK	ईख्	N	जाना, हिलना-डुलना, डाँवाडोल होना
INK	ईङ्ख्	Y	जाना, हिलना-डुलना, डाँवाडोल होना
IS	ईश्	Y	राज्य करना, स्वामी होना, शासन करना, आदेश देना
Ih	ईह्	Y	कामना करना, चाहना, सोचना
Ij	ईज्	Y	जाना
Ikz	ईक्ष्	Y	देखना, ताकना, आलोचना करना, अवलोकन करना, टकटकी लगा कर देखना या घूरना
Iq	ईड्	Y	स्तुति करना
Ir	ईर्	Y	जाना, हिलना-डुलना, हिलाना
Irkzy	ईर्क्ष्य्	Y	डाह करना, ईर्ष्यालू होना, दूसरों की सफलता को देखकर असहिष्णु होना
Irzy	ईर्ष्य्	Y	डाह करना, ईर्ष्यालू होना, दूसरों की सफलता को देखकर असहिष्णु होना
Iz	ईष्	Y	उड़ जाना
JagaJagAyati	झगझगायति	N	चमक उठना, दमकना, जगमगाना, चमचमाना
KAd	खाद्	Y	खाना निगल लेना, खिलाना, शिकार करना, काट लेना
KaRq	खण्ड्	Y	तोड़ना, काटना, टुकडे-टुकडे करना, कुचलना
KaYj	खञ्ज्	Y	लँगड़ाना, ठहर-ठहर कर चलना
Kac	खच्	Y	आगे आना, प्रकट होना
Kaj	खज्	Y	मन्थन करना, बिलोना, आन्दोलित करना
Kal	खल्	Y	चलना-फिरना, हिलना-जुलना
KalIkf	खलीकृ	N	कुचलना
Kan	खन्	Y	खोदना, खनना, खोखला करना
Karba	खर्ब	N	जाना, फिरना, चलना
Karj	खर्ज्	Y	पीडा देना, बेचैन करना
Karv	खर्व्	Y	जाना, फिरना, चलना
Kel	खेल्	Y	हिलाना, इधर-उधर आना जाना
Kid	खिद्	Y	प्रहार करना, खींचना, कष्ट देना
KilIkf	खिलीकृ	N	रोकना, बाधा डालना, अगम्य बनाना, रोकना
KyA	ख्या	Y	कहना, घोषणा करना, समाचार देना
PaR	फण्	Y	चलना-फिरना,इधर-उधर घूमना
Pakk	फक्क्	Y	शनैः-शनैः चलना-फिरना,फुर्ती से जाना,सरकना,धीरे-धीरे चलना
Pal	फल्	Y	फल आना,फल पैदा करना ‘निष्पन्न या घटित करना’
Pull	फुल्ल्	Y	कली आना,फूलना,फुलाना,खिलना
QOk	ढौक्	Y	जाना, पहुँचाना
SAl	शाल्	Y	प्रशंसा करना, खुशामद करना
SAlInI kf	शालीनी कृ	N	विनयी बनाना, विनम्र करना
SAn	शान्	Y	तेज़ करना, पैनाना
SApaM dA	शापं दा	N	शाप देना
SAr	शार्	N	दुर्बल करना
SAs	शास्	Y	अध्यापन करना, शिक्षण प्रदान करना, प्रशिक्षित 
SI	शी	Y	लेटना, लेट जाना, विश्राम करना, आराम करना
SIB	शीभ्	Y	शेख़ी बघारना
SIk	शीक्	Y	तर करना, छिड़कना
SIl	शील्	Y	मध्यस्थता करना, भली भांति सोचना
SOqati	शौडति	N	घमण्डी या अहंकारी होना
SOw	शौट्	Y	घमण्डी या अहंकारी होना
SUl	शूल्	Y	बीमार होना
SUlAkf	शूलाकृ	N	नोकदार लोहे की सलाखों के सिरे पर रखकर भूनना
SUr	शूर्	Y	चोट पहुँचाना, मार डालना
SUra	शूर	N	शौर्य के कार्य करना, शक्तिशाली होना
SUz	शूष्	Y	पैदा करना, उत्पन्न करना
SaMs	शंस्	Y	प्रशंसा करना, स्तुति करना, अनुमोदन करना
SaNk	शङ्क्	Y	संदेह करना, अनिश्चित होना, संकोच करना, संदिग्ध होना 
SaW	शठ्	Y	धोखा देना,ठगना, जालसाजी करना
SaYc	शञ्च्	N	जाना, हिलना-जुलना 
SabdAyate	शब्दायते	N	कोलाहल करना, शोर करना
Sabda	शब्द	N	ध्वनि करना, शोर मचाना
SabdaM dA	शब्दं दा	N	शोर मचाना
Sac	शच्	Y	बोलना, कहना, बतलाना
Sad	शद्	Y	पतन होना, नष्ट होना, मुर्झाना, कुम्हलाना
Sak	शक्	Y	योग्य होना, सक्षम होना, सबल होना, अमल में लाना 
Sal	शल्	Y	हिलाना, हरकत देना, क्षुब्ध करना
SalB	शल्भ्	Y	प्रशंसा करना
Sam	शम्	Y	शान्त होना, चुप होना, संतुष्ट होना, प्रसन्न होना
Samb	शम्ब्	Y	जाना, हिलना-जुलना
SambAkf	शम्बाकृ	N	दोबारा हल चलाना
Sap	शप्	Y	अभिशाप देना, कोसना
SaraRaM gam	शरणं गम्	N	शरण में जाना, आश्रय लेना, सहारा लेना
SaraRam I	शरणम् ई	N	शरण में जाना, आश्रय लेना, सहारा लेना
SaraRam yA	शरणम् या	N	शरण में जाना, आश्रय लेना, सहारा लेना
Sarb	शर्ब्	Y	जाना, हिलना-डुलना
Sarv	शर्व्	Y	जाना
Sas	शस्	Y	काटना, मार डालना, नष्ट करना
Sav	शव्	N	जाना, पहुँचना
Saw	शट्	Y	बीमार होना
Scut	श्चुत्	Y	टपकना, रिसना, बहना, चूना
Scyut	श्च्युत्	N	टपकना, रिसना, बहना, चूना
Sel	शेल्	Y	जाना, हिलना-जुलना
Sf	शृ	N	फाड़ डालना, टुकड़े टुकड़े कर डालना
SfD	शृध्	N	अपान वायु छोड़ना, पाद मारना
Si	शि	N	तेज़ करना, पैनाना
SiNG	शिङ्घ्	Y	सूंघना
SiNK	शिङ्ख्	Y	जाना, हिलना-जुलना
SiTilI BU	शिथिली भू	N	ढीला होना, सुस्त होना
SiTilI kf	शिथिली कृ	N	ढीला करना, खोलना, खुला छोड़ना
SiTilayati	शिथिलयति	N	विश्राम करना, धीमा करना, ढीला करना
SiYj	शिञ्ज्	Y	टनटनाना, झनझनाना, खड़खड़ाना
Sikz	शिक्ष्	Y	सीखना, अध्ययन करना, ज्ञानार्जन करना
Sil	शिल्	Y	शिलोंछन, सिला चुगना, बालें इकट्ठा करना
SirasA mahIM yA	शिरसा महीं या	N	भूमि पर सिर झुकाना आदि
Siw	शिट्	Y	तुच्छ समझना, घृणा करना, तिरस्कार करना
Siz	शिष्	Y	चोट पहुँचाना, मार डालना
SlAG	श्लाघ्	Y	प्रशंसा करना, स्तुति करना, सराहना, गुणगान करना
SlAK	श्लाख्	Y	व्याप्त होना, प्रविष्ट होना
SlaNg	श्लङ्ग्	Y	जाना, हिलना-जुलना
SlaNk	श्लङ्क्	Y	जाना, हिलना-जुलना
SlaT	श्लथ्	Y	शिथिल या ढीलाढाला होना
Sliz	श्लिष्	Y	जलना
SloR	श्लोण्	Y	एकत्र करना, इकठ्ठा करना, बीनना
Slok	श्लोक्	Y	प्रशंसा करना, पद्य रचना करना, छन्दोबद्ध करना
SmIl	श्मील्	Y	आँख झपकना, पलक मारना, आँखे मटकना
So	शो	N	पैनाना, तेज़ करना
SoR	शोण्	Y	जाना, हिलना-जुलना
SokaM dA	शोकं दा	N	रञ्ज पैदा करना
SrA	श्रा	Y	पकाना, उबालना, भोजन बनाना, परिपक्व करना, पकना
SrAdDaM dA	श्राद्धं दा	N	श्राद्ध का अनुष्ठान करना
SrE	श्रै	N	स्वेद आना, पसीना निकलना
SrI	श्री	Y	पकाना, भोजन बनाना, उबालना, तैयार करना
SraNga	श्रङ्ग	N	जाना, हिलना-जुलना, रेंगना
SraNk	श्रङ्क्	Y	जाना, रेंगना
SraR	श्रण्	Y	देना, प्रदान करना, अर्पण करना 
Sram	श्रम्	Y	चेष्टा करना, उद्योग करना, मेहनत करना, परिश्रम करना
SramB	श्रम्भ्	Y	उपेक्षक होना, असावधान होना, लापरवाह होना
SranT	श्रन्थ्	N	दुर्बल होना
Srat	श्रत्	N	एक प्रकार का उपसर्ग जो ‘धा’ धातु के पूर्व में लगता है
Sri	श्रि	Y	जाना, पहुँचाना, सहारा लेना, दौड़ होना, बचाव के लिए पहुँच होना
Sriz	श्रिष्	Y	जलाना
SroR	श्रोण्	Y	एकत्र करना, ढेर लगाना
Sru	श्रु	Y	जाना, हिलना-जुलना
SuB	शुभ्	Y	चमकना, शानदार होना, सुन्दर या मनोहर दिखाई देना
SuD	शुध्	Y	शुद्ध या पवित्र होना, 
SuRW	शुण्ठ्	Y	पवित्र करना
SuW	शुठ्	Y	बाधा डाला जाना, रुकावट डाली जानी
Suc	शुच्	Y	खिन्न होना, दुःखी होना, शोक करना, विलाप करना
Sucy	शुच्य्	Y	स्नान करना, नहानाधोना
Suk	शुक्	Y	जाना, हिलना-जुलना
Sulb	शुल्ब्	N	देना, प्रदान करना
