headword	L	root_key	immediate_base	upasarga	derivation_type	source	depth	is_leading_word_compound	chain
akzamA	191	at	a		compound	pwg	2	True	akzamA>a>at
akzaya	195	at	a		compound	pwg	2	True	akzaya>a>at
akzayaguRa	196	at	akzaya		compound	pwg	3	True	akzayaguRa>akzaya>a>at
akzayatftIyA	197	at	akzaya		compound	pwg	3	True	akzayatftIyA>akzaya>a>at
akzayatva	198	at	akzaya		derived	pwg	3	True	akzayatva>akzaya>a>at
akzayapuruhUta	199	at	akzaya		compound	pwg	3	True	akzayapuruhUta>akzaya>a>at
akzayamati	200	at	akzaya		compound	pwg	3	True	akzayamati>akzaya>a>at
akzayiRI	201	at	a		compound	pwg	2	True	akzayiRI>a>at
akzayya	202	at	a		compound	pwg	2	True	akzayya>a>at
akzara	203	at	a		compound	pwg	2	True	akzara>a>at
akzaraka	204	at	akzara		derived	pwg	3	True	akzaraka>akzara>a>at
akzaranyAsa	213	at	akzara		compound	pwg	3	True	akzaranyAsa>akzara>a>at
akzarapaNkti	214	at	akzara		compound	pwg	3	True	akzarapaNkti>akzara>a>at
akzarapaNkti	215	at	akzara		compound	pwg	3	True	akzarapaNkti>akzara>a>at
akzaraBAj	216	at	akzara		compound	pwg	3	True	akzaraBAj>akzara>a>at
akzaravinyAsa	218	at	akzara		compound	pwg	3	True	akzaravinyAsa>akzara>a>at
akzaraSas	219	at	akzara		derived	pwg	3	True	akzaraSas>akzara>a>at
akzarasaMsTAna	220	at	akzara		compound	pwg	3	True	akzarasaMsTAna>akzara>a>at
akzarANga	221	at	akzara		compound	pwg	3	True	akzarANga>akzara>a>at
akzavftta	226	vart	vftta		compound	pwg	2	True	akzavftta>vftta>vart
akzAnti	233	at	a		compound	pwg	2	True	akzAnti>a>at
akzAralavaRa	234	at	a		compound	pwg	2	True	akzAralavaRa>a>at
akzAvapana	236	vap	Avapana	A	compound	pwg	3	True	akzAvapana>Avapana>A+vap>vap
akzAvApa	237	vap	AvApa	A	compound	pwg	3	True	akzAvApa>AvApa>A+vap>vap
akzita	244	at	a		compound	pwg	2	True	akzita>a>at
akzitAvasu	245	at	akzita		compound	pwg	3	True	akzitAvasu>akzita>a>at
akziti	246	at	a		compound	pwg	2	True	akziti>a>at
akzitoti	247	at	akzita		compound	pwg	3	True	akzitoti>akzita>a>at
akziyant	252	at	a		compound	pwg	2	True	akziyant>a>at
akzIyamARa	257	at	a		compound	pwg	2	True	akzIyamARa>a>at
akzIva	258	at	a		compound	pwg	2	True	akzIva>a>at
akzudra	260	at	a		compound	pwg	2	True	akzudra>a>at
akzuD	261	at	a		compound	pwg	2	True	akzuD>a>at
akzuDya	262	at	a		compound	pwg	2	True	akzuDya>a>at
akzetra	263	at	a		compound	pwg	2	True	akzetra>a>at
akzetra	264	at	a		compound	pwg	2	True	akzetra>a>at
akzetrajYa	265	at	a		compound	pwg	2	True	akzetrajYa>a>at
akzetravid	266	at	a		compound	pwg	2	True	akzetravid>a>at
akzetrin	267	at	a		compound	pwg	2	True	akzetrin>a>at
akzoBa	272	at	a		compound	pwg	2	True	akzoBa>a>at
akzoBya	273	at	a		compound	pwg	2	True	akzoBya>a>at
akzoByarAja	274	at	akzoBya		compound	pwg	3	True	akzoByarAja>akzoBya>a>at
akzRayAvan	279	yA	yAvan		compound	pwg	2	True	akzRayAvan>yAvan>yA
aKaRqa	282	at	a		compound	pwg	2	True	aKaRqa>a>at
aKaRqana	283	at	a		compound	pwg	2	True	aKaRqana>a>at
aKaRqitartu	284	at	a		compound	pwg	2	True	aKaRqitartu>a>at
aKanant	285	at	a		compound	pwg	2	True	aKanant>a>at
aKarva	286	at	a		compound	pwg	2	True	aKarva>a>at
aKAta	287	at	a		compound	pwg	2	True	aKAta>a>at
aKidra	288	at	a		compound	pwg	2	True	aKidra>a>at
aKidrayAman	289	at	aKidra		compound	pwg	3	True	aKidrayAman>aKidra>a>at
aKila	290	at	a		compound	pwg	2	True	aKila>a>at
aKilena	291	at	aKila		derived	pwg	3	True	aKilena>aKila>a>at
aKedin	295	at	a		compound	pwg	2	True	aKedin>a>at
aga	299	at	a		compound	pwg	2	True	aga>a>at
aga	300	at	a		compound	pwg	2	True	aga>a>at
agacCa	301	at	a		compound	pwg	2	True	agacCa>a>at
agaja	302	at	aga		compound	pwg	3	True	agaja>aga>a>at
agata	303	at	a		compound	pwg	2	True	agata>a>at
agatika	304	at	a		compound	pwg	2	True	agatika>a>at
agada	305	at	a		compound	pwg	2	True	agada>a>at
agada	306	at	a		compound	pwg	2	True	agada>a>at
agadaMkAra	307	at	agada		compound	pwg	3	True	agadaMkAra>agada>a>at
agama	309	at	a		compound	pwg	2	True	agama>a>at
agamya	310	at	a		compound	pwg	2	True	agamya>a>at
agamyAgamana	311	at	agamya		compound	pwg	3	True	agamyAgamana>agamya>a>at
agamyAgamanIya	312	at	agamyAgamana		derived	pwg	4	True	agamyAgamanIya>agamyAgamana>agamya>a>at
agaru	314	at	a		compound	pwg	2	True	agaru>a>at
agarhita	315	at	a		compound	pwg	2	True	agarhita>a>at
agavyUti	316	at	a		compound	pwg	2	True	agavyUti>a>at
agastyacAra	323	car	cAra		compound	pwg	2	True	agastyacAra>cAra>car
agastyodaya	325	i	udaya	ud	compound	pwg	3	True	agastyodaya>udaya>ud+i>i
agA	326	at	a		compound	pwg	2	True	agA>a>at
agADa	327	at	a		compound	pwg	2	True	agADa>a>at
agADajala	328	at	agADa		compound	pwg	3	True	agADajala>agADa>a>at
agAvaha	330	at	aga		compound	pwg	3	True	agAvaha>aga>a>at
agirOkas	332	at	a		compound	pwg	2	True	agirOkas>a>at
agu	333	at	a		compound	pwg	2	True	agu>a>at
aguru	335	at	a		compound	pwg	2	True	aguru>a>at
aguruSiMSapA	336	at	aguru		compound	pwg	3	True	aguruSiMSapA>aguru>a>at
agUQaganDa	337	at	a		compound	pwg	2	True	agUQaganDa>a>at
agfBIta	338	at	a		compound	pwg	2	True	agfBIta>a>at
agfBItaSocis	339	at	agfBIta		compound	pwg	3	True	agfBItaSocis>agfBIta>a>at
ago	340	at	a		compound	pwg	2	True	ago>a>at
agotA	341	at	ago		derived	pwg	3	True	agotA>ago>a>at
agopA	342	at	a		compound	pwg	2	True	agopA>a>at
agoruDa	343	at	a		compound	pwg	2	True	agoruDa>a>at
agohya	344	at	a		compound	pwg	2	True	agohya>a>at
agnikarman	352	kar	karman		compound	pwg	2	True	agnikarman>karman>kar
agnikArya	355	kar	kArya		compound	pwg	2	True	agnikArya>kArya>kar
agnikriyA	362	kar	kriyA		compound	pwg	2	True	agnikriyA>kriyA>kar
agnigranTa	365	graT	granTa		compound	pwg	2	True	agnigranTa>granTa>graT
agnicaya	366	ci	caya		compound	pwg	2	True	agnicaya>caya>ci
agnicayana	367	ci	cayana		compound	pwg	2	True	agnicayana>cayana>ci
agnicit	368	ci	cit		compound	pwg	2	True	agnicit>cit>ci
agnicitvant	370	ci	agnicit		derived	pwg	3	True	agnicitvant>agnicit>cit>ci
agnija	371	jan	ja		compound	pwg	2	True	agnija>ja>jan
agnijanman	372	jan	janman		compound	pwg	2	True	agnijanman>janman>jan
agnijA	373	jan	jA		compound	pwg	2	True	agnijA>jA>jan
agnitapas	381	tap	tapas		compound	pwg	2	True	agnitapas>tapas>tap
agnitejas	384	tij	tejas		compound	pwg	2	True	agnitejas>tejas>tij
agnitraya	385	trA	traya		compound	pwg	3	True	agnitraya>traya>tra>trA
agnitretA	387	trA	tretA		compound	pwg	4	True	agnitretA>tretA>traya>tra>trA
agnidatta	391	dA	datta		compound	pwg	3	True	agnidatta>datta>dA>dA
agnidAha	394	dah	dAha		compound	pwg	2	True	agnidAha>dAha>dah
agnidIpta	396	dIp	dIpta		compound	pwg	2	True	agnidIpta>dIpta>dIp
agnidIpti	397	dIp	dIpti		compound	pwg	2	True	agnidIpti>dIpti>dIp
agniDAna	401	DA	DAna		compound	pwg	2	True	agniDAna>DAna>DA
agninayana	403	nI	nayana		compound	pwg	2	True	agninayana>nayana>nI
agniniryAsa	404	yas	niryAsa	nis	compound	pwg	3	True	agniniryAsa>niryAsa>nis+yas>yas
agnipada	407	pad	pada		compound	pwg	2	True	agnipada>pada>pad
agniparikriyA	408	kar	parikriyA	pari	compound	pwg	3	True	agniparikriyA>parikriyA>pari+kar>kar
agniparicCada	409	Cad	paricCada	pari	compound	pwg	3	True	agniparicCada>paricCada>pari+Cad>Cad
agniparvata	410	pUrRasya	parvata	mahodaDeH	compound	pwg	4	True	agniparvata>parvata>parvan>mahodaDeH+pUrRasya>pUrRasya
agnipraRayana	413	nI	praRayana	pra	compound	pwg	3	True	agnipraRayana>praRayana>pra+nI>nI
agnipraRayanIya	414	nI	agnipraRayana	pra	derived	pwg	4	True	agnipraRayanIya>agnipraRayana>praRayana>pra+nI>nI
agnipraveSana	415	viS	praveSana	pra	compound	pwg	3	True	agnipraveSana>praveSana>pra+viS>viS
agniprastara	416	star	prastara	pra	compound	pwg	3	True	agniprastara>prastara>pra+star>star
agnimitra	432	miT	mitra		compound	pwg	2	True	agnimitra>mitra>miT
agniyojana	437	yuj	yojana		compound	pwg	2	True	agniyojana>yojana>yuj
agnirakzaRa	438	rakz	rakzaRa		compound	pwg	2	True	agnirakzaRa>rakzaRa>rakz
agnirahasya	440	rah	rahasya		compound	pwg	3	True	agnirahasya>rahasya>rahas>rah
agniretasa	444	ri	retas		compound	pwg	2	True	agniretasa>retas>ri
agnivarRa	448	var	varRa		compound	pwg	2	True	agnivarRa>varRa>var
agnivarDaka	449	varD	varDaka		compound	pwg	2	True	agnivarDaka>varDaka>varD
agnivAyu	451	vA	vAyu		compound	pwg	2	True	agnivAyu>vAyu>vA
agnivAsas	452	vAsay	vAsas	aDi	compound	pwg	4	True	agnivAsas>vAsas>vas>aDi+vAsay>vAsay
agnivAha	453	vah	vAha		compound	pwg	2	True	agnivAha>vAha>vah
agnivindu	454	vid	vindu		compound	pwg	2	True	agnivindu>vindu>vid
agnivimocana	455	muc	vimocana	vi	compound	pwg	3	True	agnivimocana>vimocana>vi+muc>muc
agniviharaRa	456	har	viharaRa	vi	compound	pwg	3	True	agniviharaRa>viharaRa>vi+har>har
agniveSa	459	viS	veSa		compound	pwg	2	True	agniveSa>veSa>viS
agniSaraRa	462	Sar	SaraRa		compound	pwg	2	True	agniSaraRa>SaraRa>Sar
agniSarman	463	Sar	Sarman		compound	pwg	2	True	agniSarman>Sarman>Sar
agniSAlA	465	Sar	SAlA		compound	pwg	2	True	agniSAlA>SAlA>Sar
agniSeza	470	Siz	Seza		compound	pwg	2	True	agniSeza>Seza>Siz
agnizwut	472	stu	stut		compound	pwg	2	True	agnizwut>stut>stu
agnizwoma	474	stu	stoma		compound	pwg	2	True	agnizwoma>stoma>stu
agnizWa	475	sTA	sTa		compound	pwg	2	True	agnizWa>sTa>sTA
agnisaMskAra	477	kar	saMskAra	sam	compound	pwg	3	True	agnisaMskAra>saMskAra>sam+kar>kar
agnisaMkASa	478	kAS	saMkASa	sam	compound	pwg	3	True	agnisaMkASa>saMkASa>sam+kAS>kAS
agnisaMBava	479	BU	saMBava	sam	compound	pwg	3	True	agnisaMBava>saMBava>sam+BU>BU
agnisahAya	480	i	sahAya		compound	pwg	2	True	agnisahAya>sahAya>i
agnisAkzika	481	san	sAkzin		compound	pwg	3	True	agnisAkzika>sAkzin>sa>san
agnisAra	482	sar	sAra		compound	pwg	2	True	agnisAra>sAra>sar
agnisiMhanandana	484	nand	nandana		compound	pwg	2	True	agnisiMhanandana>nandana>nand
agnihut	488	hu	hut		compound	pwg	2	True	agnihut>hut>hu
agnihotra	490	hu	hotra		compound	pwg	2	True	agnihotra>hotra>hu
agnihotra	491	hu	hotra		compound	pwg	2	True	agnihotra>hotra>hu
agnihotrahavaRI	492	hu	agnihotra		compound	pwg	3	True	agnihotrahavaRI>agnihotra>hotra>hu
agnihotrahut	493	hu	agnihotra		compound	pwg	3	True	agnihotrahut>agnihotra>hotra>hu
agnihotrAhuti	494	hu	agnihotra		compound	pwg	3	True	agnihotrAhuti>agnihotra>hotra>hu
agnihotrin	495	hu	agnihotra		derived	pwg	3	True	agnihotrin>agnihotra>hotra>hu
agnihotrocCizwa	496	hu	agnihotra		compound	pwg	3	True	agnihotrocCizwa>agnihotra>hotra>hu
agnIzoma	505	su	soma		compound	pwg	2	True	agnIzoma>soma>su
agnIzomapraRayana	506	su	agnIzoma		compound	pwg	3	True	agnIzomapraRayana>agnIzoma>soma>su
agnIzomIya	507	su	agnIzoma		derived	pwg	3	True	agnIzomIya>agnIzoma>soma>su
agnIzomIyatva	508	su	agnIzomIya		derived	pwg	4	True	agnIzomIyatva>agnIzomIya>agnIzoma>soma>su
agnyADAna	512	DAdaDAti	ADAna	A	compound	pwg	3	True	agnyADAna>ADAna>A+DAdaDAti>DAdaDAti
agnyADeya	513	DAdaDAti	ADeya	A	compound	pwg	3	True	agnyADeya>ADeya>A+DAdaDAti>DAdaDAti
agnyAlaya	514	lI	Alaya	A	compound	pwg	3	True	agnyAlaya>Alaya>A+lI>lI
agnyAhita	515	DA	Ahita	A	compound	pwg	3	True	agnyAhita>Ahita>A+DA>DA
agnyutpAta	516	pat	utpAta	ud	compound	pwg	3	True	agnyutpAta>utpAta>ud+pat>pat
agnyupasTAna	517	sTA	upasTAna	upa	compound	pwg	3	True	agnyupasTAna>upasTAna>upa+sTA>sTA
agnyeDa	518	iD	eDa		compound	pwg	2	True	agnyeDa>eDa>iD
agraga	523	gam	ga		compound	pwg	2	True	agraga>ga>gam
agragAmin	525	gam	gAmin		compound	pwg	2	True	agragAmin>gAmin>gam
agraja	526	jan	ja		compound	pwg	2	True	agraja>ja>jan
agrajanman	528	jan	janman		compound	pwg	2	True	agrajanman>janman>jan
agrajA	529	jan	jA		compound	pwg	2	True	agrajA>jA>jan
agrajAtaka	530	jan	jAtaka		compound	pwg	3	True	agrajAtaka>jAtaka>jAta>jan
agrajAti	531	jan	jAti		compound	pwg	2	True	agrajAti>jAti>jan
agraRIti	534	nI	nIti		compound	pwg	2	True	agraRIti>nIti>nI
agrataHsara	536	sar	sara		compound	pwg	2	True	agrataHsara>sara>sar
agradAnin	537	dA	dAna		compound	pwg	3	True	agradAnin>dAna>dA>dA
agrapUjA	541	pUj	pUjA		compound	pwg	2	True	agrapUjA>pUjA>pUj
agrapeya	542	pA	peya	ud	compound	pwg	4	True	agrapeya>peya>pA>ud+pA>pA
agraBaRa	543	at	a		compound	pwg	2	True	agraBaRa>a>at
agraBAga	544	Baj	BAga		compound	pwg	2	True	agraBAga>BAga>Baj
agrayAna	548	yA	yAna		compound	pwg	2	True	agrayAna>yAna>yA
agrayAyin	549	yA	yAyin		compound	pwg	2	True	agrayAyin>yAyin>yA
agrayAvan	550	yA	yAvan		compound	pwg	2	True	agrayAvan>yAvan>yA
agrayoDin	551	yuD	yoDin		compound	pwg	2	True	agrayoDin>yoDin>yuD
agrasara	557	sar	sara		compound	pwg	2	True	agrasara>sara>sar
agrasArA	558	sar	sAra		compound	pwg	2	True	agrasArA>sAra>sar
agraha	559	at	a		compound	pwg	2	True	agraha>a>at
agrahAra	562	har	hAra		compound	pwg	2	True	agrahAra>hAra>har
agrAdvan	564	ad	advan		compound	pwg	2	True	agrAdvan>advan>ad
agrAnIka	565	an	anIka		compound	pwg	2	True	agrAnIka>anIka>an
agrAyaRIya	566	i	ayana		compound	pwg	2	True	agrAyaRIya>ayana>i
agrAhin	567	at	a		compound	pwg	2	True	agrAhin>a>at
agrAhya	568	at	a		compound	pwg	2	True	agrAhya>a>at
agrega	575	gam	ga		compound	pwg	2	True	agrega>ga>gam
agregA	576	gam	gA		compound	pwg	2	True	agregA>gA>gam
agregU	577	gam	gU		compound	pwg	2	True	agregU>gU>gam
agretvan	579	i	itvan		compound	pwg	2	True	agretvan>itvan>i
agrediDizu	580	DA	diDizu		compound	pwg	2	True	agrediDizu>diDizu>DA
agrepA	581	pA	pA	ud	compound	pwg	3	True	agrepA>pA>ud+pA>pA
agrepU	582	pA	pU	ud	compound	pwg	4	True	agrepU>pU>pA>ud+pA>pA
agrevaRa	584	van	vana		compound	pwg	2	True	agrevaRa>vana>van
agresara	586	sar	sara		compound	pwg	2	True	agresara>sara>sar
agropaharaRa	588	har	upaharaRa	upa	compound	pwg	3	True	agropaharaRa>upaharaRa>upa+har>har
agropaharaRIya	589	har	agropaharaRa	upa	derived	pwg	4	True	agropaharaRIya>agropaharaRa>upaharaRa>upa+har>har
aGakft	592	kar	kft		compound	pwg	2	True	aGakft>kft>kar
aGana	593	at	a		compound	pwg	2	True	aGana>a>at
aGaviza	600	viz	viza		compound	pwg	2	True	aGaviza>viza>viz
aGaSaMsa	601	SaMs	SaMsa		compound	pwg	2	True	aGaSaMsa>SaMsa>SaMs
aGaSaMsahan	602	SaMs	aGaSaMsa		compound	pwg	3	True	aGaSaMsahan>aGaSaMsa>SaMsa>SaMs
aGaSaMsin	603	SaMs	SaMsin		compound	pwg	2	True	aGaSaMsin>SaMsin>SaMs
aGahAra	604	har	hAra		compound	pwg	2	True	aGahAra>hAra>har
aGAtin	605	at	a		compound	pwg	2	True	aGAtin>a>at
aGAyu	607	aGAy	aGAy		derived	pwg	1	False	aGAyu>aGAy
aGArin	608	at	a		compound	pwg	2	True	aGArin>a>at
aGora	612	at	a		compound	pwg	2	True	aGora>a>at
aGoracakzus	614	at	aGora		compound	pwg	3	True	aGoracakzus>aGora>a>at
aGoza	615	at	a		compound	pwg	2	True	aGoza>a>at
aGoza	616	at	a		compound	pwg	2	True	aGoza>a>at
aGozamahAprARaprayatnavant	617	at	aGoza		compound	pwg	3	True	aGozamahAprARaprayatnavant>aGoza>a>at
aGozavant	618	at	aGoza		derived	pwg	3	True	aGozavant>aGoza>a>at
aGnant	620	at	a		compound	pwg	2	True	aGnant>a>at
aGreya	623	at	a		compound	pwg	2	True	aGreya>a>at
aNkakaraRa	626	kar	karaRa		compound	pwg	2	True	aNkakaraRa>karaRa>kar
aNkana	630	aNkay	aNkay		derived	pwg	1	False	aNkana>aNkay
aNkuSadurDara	652	Dar	durDara		compound	pwg	3	True	aNkuSadurDara>durDara>Dara>Dar
aNkollasAra	663	sar	sAra		compound	pwg	2	True	aNkollasAra>sAra>sar
aNgaja	674	jan	ja		compound	pwg	2	True	aNgaja>ja>jan
aNgajanus	675	jan	janus		compound	pwg	2	True	aNgajanus>janus>jan
aNgajvara	676	jvar	jvara		compound	pwg	2	True	aNgajvara>jvara>jvar
aNganApriya	684	prI	priya		compound	pwg	2	True	aNganApriya>priya>prI
aNgaBeda	686	Bid	Beda		compound	pwg	2	True	aNgaBeda>Beda>Bid
aNgaruha	695	ruh	ruha		compound	pwg	2	True	aNgaruha>ruha>ruh
aNgalipi	696	lip	lipi		compound	pwg	2	True	aNgalipi>lipi>lip
aNgavikfti	701	kar	vikfti	vi	compound	pwg	3	True	aNgavikfti>vikfti>vi+kar>kar
aNgavikzepa	702	kzip	vikzepa	vi	compound	pwg	3	True	aNgavikzepa>vikzepa>vi+kzip>kzip
aNgavidyA	703	vid	vidyA		compound	pwg	2	True	aNgavidyA>vidyA>vid
aNgavEkfta	704	kar	vEkfta	vi	compound	pwg	4	True	aNgavEkfta>vEkfta>vikfti>vi+kar>kar
aNgasaMskAra	705	kar	saMskAra	sam	compound	pwg	3	True	aNgasaMskAra>saMskAra>sam+kar>kar
aNgasaMskriyA	706	kar	saMskriyA	sam	compound	pwg	3	True	aNgasaMskriyA>saMskriyA>sam+kar>kar
aNgahAra	707	har	hAra		compound	pwg	2	True	aNgahAra>hAra>har
aNgahIna	709	hA	hIna		compound	pwg	2	True	aNgahIna>hIna>hA
aNgahInatva	710	hA	aNgahIna		derived	pwg	3	True	aNgahInatva>aNgahIna>hIna>hA
aNgADipa	711	pApAti	aDipa	aDi	compound	pwg	3	True	aNgADipa>aDipa>aDi+pApAti>pApAti
aNgArapuzpa	722	puz	puzpa		compound	pwg	2	True	aNgArapuzpa>puzpa>puz
aNgArAvakzayaRa	729	kzi	avakzayaRa	ava	compound	pwg	3	True	aNgArAvakzayaRa>avakzayaRa>ava+kzi>kzi
aNgirasAmayana	742	i	ayana		compound	pwg	2	True	aNgirasAmayana>ayana>i
aNgulitra	760	trA	tra		compound	pwg	2	True	aNgulitra>tra>trA
aNgulitrARa	761	trA	trARa		compound	pwg	2	True	aNgulitrARa>trARa>trA
aNgulimowana	764	sar	mowana		compound	pwg	3	True	aNgulimowana>mowana>sAra>sar
aNgulizaNga	765	saYj	saNga		compound	pwg	2	True	aNgulizaNga>saNga>saYj
