n	tag	word	slp1	form_key	norm	in_union16	in_union15	u16_n_dicts	u16_dicts
68058		kāndakāyana	kAndakAyana	kāndakāyana		1	1	2	MW PWK
68059	G	śaunakāyaná	sOnakAyana	saunakāyana	acc	0	0		
68060	G	aupakāyaná	OpakAyana	aupakāyana	acc	1	1	4	MW PWG PWK VCP
68061	V	bastarā--makāyana	bastarAmakAyana	bastarāmakāyana	hyph	1	1	1	VEI
68062	V	rāmakāyana	rAmakAyana	rāmakāyana		1	1	3	MW PWK SCH
68063	G	lāmakāyaná	lAmakAyana	lāmakāyana	acc	1	1	4	MW PWG PWK VEI
68064	V	saṃvargaji--tlāmakāyana	saMvargajitlAmakAyana	sanvargajitlāmakāyana	hyph	1	1	1	VEI
68065	G	laumakāyaná	lOmakAyana	laumakāyana	acc	1	1	3	MW PWG PWK
68066	V	śyāparṇa--sāyakāyana	syAparRasAyakAyana	syāparnasāyakāyana	hyph|acc	0	0		
68067	G	sāyakāyaná	sAyakAyana	sāyakāyana	acc	1	1	4	MW PWG PWK VEI
68068		sātyakāyana	sAtyakAyana	sātyakāyana		1	1	3	MW PWG PWK
68069		tārakāyana	tArakAyana	tārakāyana		1	1	2	PWG VCP
68070		uddālakāyana	uddAlakAyana	uddālakāyana		1	1	5	MW PWG PWK VCP VEI
68071	G	aúddā--lakāyana	OddAlakAyana	auddālakāyana	hyph|acc	1	1	3	MW PWG PWK
68072	A	śālakāyana	sAlakAyana	sālakāyana	acc	0	0		
68073	M	caulakāyana	cOlakAyana	caulakāyana		1	1	1	MW
68074		pailvakāyana	pElvakAyana	pailvakāyana		1	1	3	MW PWG PWK
68075		anāśakāyana	anAsakAyana	anāsakāyana	acc	0	0		
68076		haṃsakāyana	haMsakAyana	hansakāyana		1	1	4	INM MW PWG PWK
68077	G	hāṃsakāyaná	hAMsakAyana	hānsakāyana	acc	1	1	3	MW PWG PWK
68078	G	haiṃsakāyaná	hEMsakAyana	hainsakāyana	acc	1	1	3	MW PWG PWK
68079	G	dā́sakāyana	dAsakAyana	dāsakāyana	acc	1	1	3	MW PWG PWK
68080	G	saiṃhakāyaná	sEMhakAyana	sainhakāyana	acc	1	1	3	MW PWG PWK
68081	G	sāhakāyaná	sAhakAyana	sāhakāyana	acc	1	1	3	MW PWG PWK
68082	G	pākāyaná	pAkAyana	pākāyana	acc	1	1	2	PWG PWK
68083	G	bākāyaná	bAkAyana	bākāyana	acc	1	1	3	MW PWG PWK
68084		śākāyana	sAkAyana	sākāyana	acc	0	0		
68085	M	jaṭikāyana	jawikAyana	jaṭikāyana		1	1	1	MW
68086		jāṭikāyana	jAwikAyana	jāṭikāyana		1	1	2	PWG PWK
68087		pāṭhikāyana	pAWikAyana	pāṭhikāyana		1	1	3	MW PWG PWK
68088	G	aitikāyaná	EtikAyana	aitikāyana	acc	1	1	4	MW PWG PWK VCP
68089		ainikāyana	EnikAyana	ainikāyana		1	1	2	PWG PWK
68090		parikāyana	parikAyana	parikāyana		1	1	3	MW PWG PWK
68091	G	kāmba--likāyaná	kAmbalikAyana	kāmbalikāyana	hyph|acc	1	1	3	MW PWG PWK
68092	G	vālikāyaná	vAlikAyana	vālikāyana	acc	1	1	3	MW PWG PWK
68093		glaucukāyana	glOcukAyana	glaucukāyana		1	1	2	MW PWK
68094		lābukāyana	lAbukAyana	lābukāyana		1	1	3	MW PWG PWK
68095	G	kāmukāyaná	kAmukAyana	kāmukāyana	acc	1	1	4	MW PWG PWK VCP
68096		śukāyana	sukAyana	sukāyana	acc	0	0		
68097		paisukāyana	pEsukAyana	paisukāyana		1	1	4	MW PWG PWK VCP
68098		śīghrab--āhukāyana	sIGrabAhukAyana	sīghrabāhukāyana	hyph|acc	0	0		
68099		māṇḍūkāyana	mARqUkAyana	mānḍūkāyana		1	1	3	MW PWG PWK
68100	G	kāsṛkāyana	kAsfkAyana	kāsṛkāyana		1	1	1	PWG
68101	G	ekāyaná	ekAyana	ekāyana	acc	1	1	12	AP BHS BUR CAE CCS MD MW PWG PWK SCH VCP VEI
68102	G	aikāyaná	EkAyana	aikāyana	acc	1	1	4	MW PWG PWK VCP
68103	G	taikāyaná	tEkAyana	taikāyana	acc	1	1	3	MW PWG PWK
68104		vaikāyana	vEkAyana	vaikāyana		1	1	3	MW PWG PWK
68105		lokāyana	lokAyana	lokāyana		1	1	3	MW PWG PWK
68106	I	pālaṅkāyana	pAlaNkAyana	pālankāyana		0	0		
68107	V	suśāradaśā--laṅkāyana	susAradasAlaNkAyana	susāradasālankāyana	hyph|acc	0	0		
68108	M	bābhrava--śālaṅkāyana	bABravasAlaNkAyana	bābhravasālankāyana	hyph|acc	0	0		
68109	G	śālaṅkāyaná	sAlaNkAyana	sālankāyana	acc	1	1	1	PWK
68110		sālaṅkāyana	sAlaNkAyana	sālankāyana		1	1	1	PWK
68111		kāṅkāyana	kANkAyana	kānkāyana		1	1	3	MW PWG PWK
68112		aikāṅkāyana	EkANkAyana	aikānkāyana		1	1	3	MW PWG PWK
68113	I	māṅkāyana	mANkAyana	mānkāyana		0	0		
68114	G	gaúlā--ṅkāyana	gOlANkAyana	gaulānkāyana	hyph|acc	1	1	4	MW PWG PWK VCP
68115	G	lāṅkāyaná	lANkAyana	lānkāyana	acc	1	1	3	MW PWG PWK
68116	I	śālankāyana	sAlankAyana	sālankāyana	acc	1	1	1	PWK
68117	I	sālankāyana	sAlankAyana	sālankāyana		1	1	1	PWK
68118	G	vāhyaskāyaná	vAhyaskAyana	vāhyaskāyana	acc	1	1	3	MW PWG PWK
68119	M	sukhāyana	suKAyana	sukhāyana		1	1	2	MW VCP
68120		śāṅkhāyana	sANKAyana	sānkhāyana	acc	0	0		
68121	G	mahāśāṅ--khāyana	mahAsANKAyana	mahāsānkhāyana	hyph|acc	0	0		
68122	G	ā́yana	Ayana	āyana	acc	1	1	6	AP GRA MW PWG PWK VCP
68123		bhītagāyana	BItagAyana	bhītagāyana		1	1	2	MW PWK
68124		upagāyana	upagAyana	upagāyana		1	1	3	MW PWG PWK
68125		lāmagāyana	lAmagAyana	lāmagāyana		1	1	2	MW PWK
68126	N	sāmagāyana	sAmagAyana	sāmagāyana		1	1	1	INM
68127		divyagāyana	divyagAyana	divyagāyana		1	1	4	MW PWG PWK VCP
68128	M	suragāyana	suragAyana	suragāyana		1	1	1	MW
68129		devagāyana	devagAyana	devagāyana		1	1	4	MW PWG PWK VCP
68130		vāgāyana	vAgAyana	vāgāyana		1	1	3	MW PWG PWK
68131		madhugāyana	maDugAyana	madhugāyana		1	1	3	MW PWG PWK
68132	I	vaigāyana	vEgAyana	vaigāyana		0	0		
68133		yogāyana	yogAyana	yogāyana		1	1	2	PWG PWK
68134	G	bādhyogāyaná	bADyogAyana	bādhyogāyana	acc	1	1	1	PWG
68135		bādhyaugāyana	bADyOgAyana	bādhyaugāyana		1	1	2	MW PWK
68136	G	gāyána	gAyana	gāyana	acc	1	1	9	BUR CAE CCS INM MD MW PWG PWK VCP
68137		saṃgāyana	saMgAyana	sangāyana		1	1	3	MW PWG PWK
68138	M	gāṅgāyana	gANgAyana	gāngāyana		1	1	1	MW
68139	G	hāyaná	hAyana	hāyana	acc	1	1	9	BUR CAE CCS MD MW PWG PWK VCP VEI
68140	N	sālaṅghāyana	sAlaNGAyana	sālanghāyana		1	1	1	INM
68141		vācāyana	vAcAyana	vācāyana		1	1	3	MW PWG PWK
68142	G	ārcāyaná	ArcAyana	ārcāyana	acc	1	1	3	MW PWG PWK
68143	G	ājāyaná	AjAyana	ājāyana	acc	1	1	4	MW PWG PWK VCP
68144	I	somarājāyana	somarAjAyana	somarājāyana		0	0		
68145	G	bhā́ra--dvājāyana	BAradvAjAyana	bhāradvājāyana	hyph|acc	1	1	4	MW PWG PWK VEI
68146		bhṛjāyana	BfjAyana	bhṛjāyana		1	1	3	MW PWG PWK
68147	G	kauñjāyaná	kOYjAyana	kaunjāyana	acc	1	1	4	BUR MW PWG PWK
68148	G	mauñjāyaná	mOYjAyana	maunjāyana	acc	1	1	4	INM MW PWG PWK
68149		kaṭāyana	kawAyana	kaṭāyana		1	1	5	BUR MW PWG PWK VCP
68150		śakaṭāyana	sakawAyana	sakaṭāyana	acc	0	0		
68151		abhinava--śākaṭāyana	aBinavasAkawAyana	abhinavasākaṭāyana	hyph|acc	0	0		
68152	G	śākaṭāyaná	sAkawAyana	sākaṭāyana	acc	0	0		
68153		caṭacaṭāyana	cawacawAyana	caṭacaṭāyana		1	1	3	MW PWG PWK
68154		lāṭāyana	lAwAyana	lāṭāyana		1	1	3	MW PWG PWK
68155		baidāpuṭāyana	bEdApuwAyana	baidāpuṭāyana		1	1	2	MW PWK
68156		sphoṭāyana	sPowAyana	sphoṭāyana		1	1	6	CAE CCS MW PWG PWK VCP
68157	G	kaúṭāyana	kOwAyana	kauṭāyana	acc	1	1	3	MW PWG PWK
68158	G	paúṭāyana	pOwAyana	pauṭāyana	acc	1	1	4	MW PWG PWK VCP
68159		sphauṭāyana	sPOwAyana	sphauṭāyana		1	1	3	MW PWG PWK
68160		kāṣṭāyana	kAzwAyana	kāṣṭāyana		1	1	3	MW PWG PWK
68161	G	krauṣṭāyaná	krOzwAyana	krauṣṭāyana	acc	1	1	3	MW PWG PWK
68162		śāṭhāyana	sAWAyana	sāṭhāyana	acc	0	0		
68163	G	śrā́vi--ṣṭhāyana	srAvizWAyana	srāviṣṭhāyana	hyph|acc	0	0		
68164	I	goṣṭhāyana	gozWAyana	goṣṭhāyana		0	0		
68165		auḍāyana	OqAyana	auḍāyana		1	1	3	MW PWG PWK
68166	I	naḍāyana	naqAyana	naḍāyana		0	0		
68167	G	khā́ḍāyana	KAqAyana	khāḍāyana	acc	1	1	3	MW PWG PWK
68168	G	jā́ḍāyana	jAqAyana	jāḍāyana	acc	1	1	4	MW PWG PWK SCH
68169	M	jāḍāyana	jAqAyana	jāḍāyana		1	1	4	MW PWG PWK SCH
68170	G	nāḍāyaná	nAqAyana	nāḍāyana	acc	1	1	3	MW PWG PWK
68171		guḍuguḍāyana	guquguqAyana	guḍuguḍāyana		1	1	4	MW PWG PWK VCP
68172	G	koḍāyana	koqAyana	koḍāyana		1	1	1	PWG
68173		śāyaṇḍāyana	sAyaRqAyana	sāyanḍāyana	acc	0	0		
68174	H	aṇḍāyana	aRqAyana	anḍāyana		1	1	2	BHS PD
68175	M	khāṇḍāyana	KARqAyana	khānḍāyana		1	1	1	MW
68176	G	āṇḍāyaná	ARqAyana	ānḍāyana	acc	1	1	4	MW PWG PWK VCP
68177	G	dāṇḍāyana	dARqAyana	dānḍāyana		1	1	4	MW PWG SCH VCP
68178		bhāṇḍāyana	BARqAyana	bhānḍāyana		1	1	4	MD MW PWG PWK
68179	I	yajña--piṇḍāyana	yajYapiRqAyana	yajnapinḍāyana	hyph	0	0		
68180	G	paiṇḍāyaná	pERqAyana	painḍāyana	acc	1	1	4	MW PWG PWK VCP
68181	G	kauṇḍāyaná	kORqAyana	kaunḍāyana	acc	1	1	4	MW PWG PWK VCP
68182	G	śauṇḍāyaná	sORqAyana	saunḍāyana	acc	0	0		
68183	G	brāhmaṇāyaná	brAhmaRAyana	brāhmanāyana	acc	1	1	7	CAE CCS MW PWG PWK SCH VCP
68184	G	gāṇāyaná	gARAyana	gānāyana	acc	1	1	3	MW PWG PWK
68185	G	rāṇāyaná	rARAyana	rānāyana	acc	1	1	3	MW PWG PWK
68186	G	prāṇāyaná	prARAyana	prānāyana	acc	1	1	4	MW PWG PWK VCP
68187		pariṇāyana	pariRAyana	parināyana		1	1	1	PWK
68188		dakṣiṇāyana	dakziRAyana	dakṣināyana		1	1	9	CAE CCS MD MW PWG PWK SCH VCP VEI
68189	G	raúhiṇāyana	rOhiRAyana	rauhināyana	acc	1	1	5	CAE MW PWG PWK VEI
68190		guṇāyana	guRAyana	gunāyana		1	1	3	MW PWG PWK
68191	S	droṇāyana	droRAyana	dronāyana		1	1	1	SKD
68192	H	gauṇāyana	gORAyana	gaunāyana		1	1	1	BHS
68193	G	drauṇāyaná	drORAyana	draunāyana	acc	1	1	5	MW PWG PWK SCH VCP
68194	G	śauṇāyaná	sORAyana	saunāyana	acc	0	0		
68195		vaikarṇāyana	vEkarRAyana	vaikarnāyana		1	1	3	MW PWG PWK
68196	G	tārṇāyaná	tArRAyana	tārnāyana	acc	1	1	4	MW PWG PWK VCP
68197		nirṇāyana	nirRAyana	nirnāyana		1	1	4	BUR MW PWG PWK
68198		raiṣṇāyana	rEzRAyana	raiṣnāyana		1	1	3	MW PWG PWK
68199	G	taíkṣṇāyana	tEkzRAyana	taikṣnāyana	acc	1	1	3	MW PWG PWK
68200	G	kārṣṇāyaná	kArzRAyana	kārṣnāyana	acc	1	1	4	MW PWG PWK VCP
68201		tāyana	tAyana	tāyana		1	1	6	CAE CCS MD MW PWG PWK
68202	U	ṛtāyana	ftAyana	ṛtāyana		0	0		
68203		ekatāyana	ekatAyana	ekatāyana		1	1	2	PWG PWK
68204	G	maimatāyaná	mEmatAyana	maimatāyana	acc	1	1	3	MW PWG PWK
68205	M	maimatāyana	mEmatAyana	maimatāyana		1	1	3	MW PWG PWK
68206		vaimatāyana	vEmatAyana	vaimatāyana		1	1	3	MW PWG PWK
68207		gaumatāyana	gOmatAyana	gaumatāyana		1	1	4	MW PWG PWK VCP
68208		dhaumatāyana	DOmatAyana	dhaumatāyana		1	1	4	MW PWG PWK VCP
68209	G	saumatāyaná	sOmatAyana	saumatāyana	acc	1	1	3	MW PWG PWK
68210	I	āyatāyana	AyatAyana	āyatāyana		0	0		
68211		vatāyana	vatAyana	vatāyana		1	1	3	MW PWG PWK
68212		devatāyana	devatAyana	devatāyana		1	1	2	PWG PWK
68213	G	śāra--dvatāyaná	sAradvatAyana	sāradvatāyana	hyph|acc	0	0		
68214		parvatāyana	parvatAyana	parvatāyana		1	1	5	CAE CCS MW PWG PWK
68215	G	pārvatāyaná	pArvatAyana	pārvatāyana	acc	1	1	6	CAE CCS MW PWG PWK VCP
68216	G	jā́tāyana	jAtAyana	jātāyana	acc	1	1	4	MW PWG PWK VCP
68217		vātāyana	vAtAyana	vātāyana		1	1	7	CAE CCS INM MW PWG PWK VCP
68218		vilāsavātāyana	vilAsavAtAyana	vilāsavātāyana		1	1	2	MW PWK
68219	G	naivātāyaná	nEvAtAyana	naivātāyana	acc	1	1	4	MW PWG PWK VCP
68220		cikitāyana	cikitAyana	cikitāyana		1	1	3	MW PWG PWK
68221		caikitāyana	cEkitAyana	caikitāyana		1	1	4	MW PWG PWK VEI
68222	G	rācitāyaná	rAcitAyana	rācitāyana	acc	1	1	3	MW PWG PWK
68223	V	śākadāsa--bhāḍitāyana	sAkadAsaBAqitAyana	sākadāsabhāḍitāyana	hyph|acc	0	0		
68224	G	bhā́ḍitāyana	BAqitAyana	bhāḍitāyana	acc	1	1	4	MW PWG PWK VEI
68225	G	bhā́ṇḍi--tāyana	BARqitAyana	bhānḍitāyana	hyph|acc	1	1	3	MW PWG PWK
68226	G	hāritāyaná	hAritAyana	hāritāyana	acc	1	1	3	MW PWG PWK
68227		adīkṣitāyana	adIkzitAyana	adīkṣitāyana		1	1	3	PD PWG PWK
68228	M	ātmahitāyana	AtmahitAyana	ātmahitāyana		1	1	3	MW PWK SCH
68229		rohitāyana	rohitAyana	rohitāyana		1	1	3	MW PWG PWK
68230		lohitāyana	lohitAyana	lohitāyana		1	1	3	MW PWG PWK
68231		gītāyana	gItAyana	gītāyana		1	1	4	MW PWG PWK VCP
68232	M	viparītāyana	viparItAyana	viparītāyana		1	1	1	MW
68233		mārutāyana	mArutAyana	mārutāyana		1	1	2	MW PWK
68234		bhūtāyana	BUtAyana	bhūtāyana		1	1	3	MW PWG PWK
68235		prākṛtāyana	prAkftAyana	prākṛtāyana		1	1	3	MW PWG PWK
68236		amṛtāyana	amftAyana	amṛtāyana		1	1	3	MW PWG PWK
68237	G	phā́ṇṭā--hṛtāyana	PARwAhftAyana	phānṭāhṛtāyana	hyph|acc	1	1	1	PWG
68238	G	prā́hṛtāyana	prAhftAyana	prāhṛtāyana	acc	1	1	3	MW PWG PWK
68239	M	pretāyana	pretAyana	pretāyana		1	1	2	MW PWK
68240	G	kaítāyana	kEtAyana	kaitāyana	acc	1	1	3	MW PWG PWK
68241		vaitāyana	vEtAyana	vaitāyana		1	1	3	MW PWG PWK
68242	G	tiktā́yana	tiktAyana	tiktāyana	acc	1	1	3	MW PWG PWK
68243	G	brāhma--dattāyaná	brAhmadattAyana	brāhmadattāyana	hyph|acc	1	1	3	MW PWG PWK
68244		vaimattāyana	vEmattAyana	vaimattāyana		1	1	3	MW PWG PWK
68245		sākāṃprā--ttāyana	sAkAMprAttAyana	sākāmprāttāyana	hyph	1	1	2	PWG PWK
68246	M	sākāmprā--ttāyana	sAkAmprAttAyana	sākāmprāttāyana	hyph	1	1	2	PWG PWK
68247	G	bhāga--vittāyaná	BAgavittAyana	bhāgavittāyana	hyph|acc	1	1	3	MW PWG PWK
68248	G	vittā́yana	vittAyana	vittāyana	acc	1	1	3	MW PWG PWK
68249		tottāyana	tottAyana	tottāyana		1	1	3	MW PWG PWK
68250		tauttāyana	tOttAyana	tauttāyana		1	1	3	MW PWG PWK
68251		vārttāyana	vArttAyana	vārttāyana		1	1	4	MW PWG PWK VCP
68252	M	jaimantāyana	jEmantAyana	jaimantāyana		1	1	1	MW
68253	G	jaivantāyaná	jEvantAyana	jaivantāyana	acc	1	1	5	MW PWG PWK VCP VEI
68254	G	prā́ntāyana	prAntAyana	prāntāyana	acc	1	1	3	MW PWG PWK
68255	G	kṣā́ntāyana	kzAntAyana	kṣāntāyana	acc	1	1	3	MW PWG PWK
68256	G	taptā́yana	taptAyana	taptāyana	acc	1	1	3	MW PWG PWK
68257		traigartāyana	trEgartAyana	traigartāyana		1	1	3	MW PWG PWK
68258	M	ārtāyana	ArtAyana	ārtāyana		1	1	3	MW PWK SCH
68259	S	vārtāyana	vArtAyana	vārtāyana		0	0		
68260	G	āstāyaná	AstAyana	āstāyana	acc	1	1	4	MW PWG PWK VCP
68261	G	hāstāyaná	hAstAyana	hāstāyana	acc	1	1	3	MW PWG PWK
