headword_iast	source_code	form_key
styayāntataḥ	H	styayāntata
purastataḥ	H	purastata
ubhayataḥ	M	ubhayata
anyāyataḥ	I	anyāyata
agrataḥ	H	agrata
sarvataḥ	M	sarvata
sanātanānāmapiśāśvataḥ	N	sanātanānāmapiśāśvata
sataḥ	M	sata
prātaḥ	M	prāta
saritaḥ	N	sarita
cetaḥ	M	ceta
retaḥ	M	reta
antaḥ	M	anta
arcismantaḥ	N	arcismanta
kallāleśolakṣmīkāntaḥ		kallāleśolakṣmīkānta
dharmakāmārthamokṣānāṃkathanīyakathaḥ	N	dharmakāmārthamokṣānānkathanīyakatha
mithaḥ	M	mitha
vṛkṣāṅāṃkandadaḥ	N	vṛkṣānānkandada
niṣadaḥ	N	niṣada
sadaḥ	M	sada
yādaḥ	M	yāda
abhijātakovidaḥ	I	abhijātakovida
kakudaḥ	I	kakuda
medaḥ	M	meda
rodaḥ	M	roda
chandaḥ	M	chanda
adhaḥ	M	adha
pṛtsudhaḥ	G	pṛtsudha
rodhaḥ	M	rodha
bhūtānāṃmathanaḥ	N	bhūtānānmathana
manaḥ	M	mana
sumanaḥ	M	sumana
sanaḥ	M	sana
arājānaḥ	V	arājāna
vāpyāyamānaḥ	H	vāpyāyamāna
dantolūkhalinaḥ	N	dantolūkhalina
punaḥ	M	puna
śunaḥ	I	śuna
paunaḥ	M	pauna
śukamahimnaḥ		śukamahimna
apaḥ	I	apa
āpaḥ	N	āpa
tapaḥ	R	tapa
paramaṃtapaḥ	N	paramantapa
kṣapaḥ	M	kṣapa
nabhaḥ	R	nabha
ambhaḥ	M	ambha
tamaḥ	R	tama
dharmaḥ	H	dharma
ayaḥ	M	aya
prajānāṃpatayaḥ	N	prajānānpataya
kāśakuśādayaḥ	N	kāśakuśādaya
agniyonayaḥ	N	agniyonaya
payaḥ	M	paya
vyathyayaḥ		vyathyaya
prāsānāṃprabhavovyayaḥ	N	prāsānānprabhavovyaya
girayaḥ	N	giraya
trayaḥ	R	traya
vayaḥ	M	vaya
bhūyaḥ	R	bhūya
śreyaḥ	M	śreya
viśvakṛtāṃvareṅyaḥ	N	viśvakṛtānvarenya
sadyaḥ	M	sadya
adhivājyakulādyaḥ	N	adhivājyakulādya
uttarāḥphalgunyaḥ	N	uttarāḥphalgunya
vallyaḥ	N	vallya
hyaḥ	M	hya
uraḥ	M	ura
dharmārcimeghanagaraḥ	H	dharmārcimeghanagara
lokānāṃmātaraḥ	N	lokānānmātara
abhrātaraḥ	V	abhrātara
lokapitaraḥ	N	lokapitara
paraḥ	M	para
śrīmatāṃvaraḥ	N	śrīmatānvara
bhūtānāmīśvaraḥ	N	bhūtānāmīśvara
saraḥ	M	sara
citrakāraḥ	H	citrakāra
udbhūtarasasyakāraṅatvavicāraḥ		udbhūtarasasyakāranatvavicāra
tiraḥ	M	tira
śiraḥ	M	śira
bandhuraḥ	M	bandhura
puraḥ	M	pura
mitrāvaruṅayohputraḥ	N	mitrāvarunayohputra
paramomantraḥ	N	paramomantra
saptasindhavaḥ	V	saptasindhava
upamanyavaḥ	I	upamanyava
uttarāḥkuravaḥ	N	uttarāḥkurava
nārāśībhāvaḥ	H	nārāśībhāva
kākṣivaḥ	I	kākṣiva
bhuvaḥ	N	bhuva
śvaḥ	M	śva
svaḥ	R	sva
vyutkhaṅḍaśaḥ	H	vyutkhanḍaśa
yaśaḥ	M	yaśa
diśaḥ	N	diśa
vyādiśaḥ	N	vyādiśa
vidiśaḥ	N	vidiśa
uṣaḥ	M	uṣa
amaradviṣaḥ	N	amaradviṣa
rakṣaḥ	M	rakṣa
vakṣaḥ	M	vakṣa
atharvāṅgirasaḥ	N	atharvāngirasa
vāsaḥ	M	vāsa
arjunasyavanavāsaḥ	N	arjunasyavanavāsa
arjunasyavanevāsaḥ	N	arjunasyavanevāsa
ahaḥ	M	aha
rahaḥ	M	raha
anupapādakāḥ	A	anupapādakā
aśmakāḥ	N	aśmakā
audayakāḥ	A	audayakā
karcūrakāḥ	A	karcūrakā
andhrakāḥ	N	andhrakā
bāhlakāḥ	A	bāhlakā
invakāḥ	A	invakā
ilvakāḥ	A	ilvakā
ḍānākāḥ	A	ḍānākā
anuvākāḥ	N	anuvākā
ījikāḥ	A	ījikā
oḍikāḥ	A	oḍikā
kāruṅḍikāḥ	A	kārunḍikā
sautrāntikāḥ	A	sautrāntikā
khadikāḥ	A	khadikā
dantolūkhalikāḥ	N	dantolūkhalikā
bahlikāḥ	A	bahlikā
aurasikāḥ	N	aurasikā
arbukāḥ	A	arbukā
śailavālukāḥ	G	śailavālukā
vanekiṃṣukāḥ	A	vanekinṣukā
ravicakrakṣepakadhruvāṅkāḥ	M	ravicakrakṣepakadhruvānkā
veṅkāḥ	A	venkā
turuṣkāḥ	A	turuṣkā
vaṅgāḥ	A	vangā
meghasaṅghāḥ	N	meghasanghā
brāhmaṅāḥ	N	brāhmanā
jatṛṅāḥ	A	jatṛnā
daṣārṅāḥ	A	daṣārnā
aṅḍajāḥ	N	anḍajā
udbhijāḥ	N	udbhijā
jarāyujāḥ	N	jarāyujā
kāṣṭhāḥ	N	kāṣṭhā
bharataśreṣṭhāḥ	N	bharataśreṣṭhā
muraṅḍāḥ	A	muranḍā
uttarāaṣāḍhāḥ	N	uttarāaṣāḍhā
avimūḍhāḥ	N	avimūḍhā
māḍumatāḥ	A	māḍumatā
latāḥ	N	latā
gopadrumalatāḥ	G	gopadrumalatā
avoditāḥ	H	avoditā
vedyāramitāḥ	H	vedyāramitā
tuṣitāḥ	A	tuṣitā
śirasitāḥ	H	śirasitā
kāśirājasutāḥ	N	kāśirājasutā
cintyadyotāḥ	N	cintyadyotā
caṅkramyayuktāḥ	H	cankramyayuktā
agnisvattāḥ	N	agnisvattā
agniṣvāttāḥ	I	agniṣvāttā
ṣaṭkūṭaślokānāmarthāḥ	M	ṣaṭkūṭaślokānāmarthā
uttarāḥproṣṭhapadāḥ	N	uttarāḥproṣṭhapadā
daradāḥ	A	daradā
paippalādāḥ	A	paippalādā
bāhubādhāḥ	N	bāhubādhā
anūrādhāḥ	G	anūrādhā
pariśraddhāḥ	H	pariśraddhā
vācāviruddhāḥ	N	vācāviruddhā
pañcajanāḥ	V	pancajanā
āñjanābhyañjanāḥ	G	ānjanābhyanjanā
ārjunāyanāḥ	A	ārjunāyanā
cānāḥ	H	cānā
ḍānāḥ	A	ḍānā
kuṅḍināḥ	A	kunḍinā
saurasenāḥ	A	saurasenā
ghṛtapāḥ	N	ghṛtapā
gandhapāḥ	N	gandhapā
somapāḥ	N	somapā
uṣmapāḥ	N	uṣmapā
ājyapāḥ	N	ājyapā
aḍipāḥ	A	aḍipā
bharatarṣabhāḥ	N	bharatarṣabhā
vidarbhāḥ	A	vidarbhā
bharatasattamāḥ	N	bharatasattamā
bhārgavasattamāḥ	N	bhārgavasattamā
bhīmāḥ	N	bhīmā
suhmāḥ	A	suhmā
sṛñjayāḥ	A	sṛnjayā
kṣatriyāḥ	N	kṣatriyā
dāsamīyāḥ	A	dāsamīyā
kroṣṭrīyāḥ	A	kroṣṭrīyā
buḍeyāḥ	A	buḍeyā
pāṅḍyāḥ	A	pānḍyā
bahuvadyāḥ	N	bahuvadyā
ṣainyāḥ	A	ṣainyā
āryāḥ	N	āryā
saptasūryāḥ	V	saptasūryā
pativratāyāmāhātmyasāvitryāḥ	N	pativratāyāmāhātmyasāvitryā
somavāyavyāḥ	N	somavāyavyā
vaiśyāḥ	N	vaiśyā
aṃcoladvicarāḥ	I	ancoladvicarā
uṣīnarāḥ	A	uṣīnarā
varṅavarāḥ	N	varnavarā
aṣṭādaśāvarāḥ	N	aṣṭādaśāvarā
phaṅikārāḥ	A	phanikārā
nārāḥ	N	nārā
āvaśīrāḥ	N	āvaśīrā
kukurāḥ	A	kukurā
ābhāsurāḥ	N	ābhāsurā
mātrāḥ	N	mātrā
bālabhadrāḥ	N	bālabhadrā
hilvalāḥ	A	hilvalā
apiṣalāḥ	A	apiṣalā
kaṅkālāḥ	A	kankālā
pañcālāḥ	A	pancālā
cicchilāḥ	A	cicchilā
utūlāḥ	A	utūlā
śailāḥ	N	śailā
vāḥ	M	vā
lavāḥ	N	lavā
ballavāḥ	N	ballavā
viśvedevāḥ	N	viśvedevā
dvāḥ	M	dvā
variṣāḥ	A	variṣā
kārūṣāḥ	A	kārūṣā
aśleṣāḥ	N	aśleṣā
aviśeṣāḥ	I	aviśeṣā
abbhakṣāḥ	N	abbhakṣā
aṅgirasāḥ	I	angirasā
atharvāṅgirasāḥ	N	atharvāngirasā
hāsāḥ	A	hāsā
bharatapravarhāḥ	N	bharatapravarhā
dāṣārhāḥ	A	dāṣārhā
varḍakiḥ	A	varḍaki
nandakiḥ	A	nandaki
kāmandakiḥ	A	kāmandaki
saumakiḥ	A	saumaki
sātyakiḥ	A	sātyaki
pāvakiḥ	A	pāvaki
vaiyāsakiḥ	A	vaiyāsaki
bālākiḥ	A	bālāki
kikiḥ	A	kiki
vālmikiḥ	A	vālmiki
kīkiḥ	A	kīki
krauṣṭukiḥ	A	krauṣṭuki
vāsukiḥ	A	vāsuki
ṣālaṅkiḥ	A	ṣālanki
ārkiḥ	A	ārki
karkiḥ	A	karki
kalkiḥ	A	kalki
asakhiḥ	A	asakhi
kikhiḥ	A	kikhi
khikhiḥ	A	khikhi
ābhogiḥ	A	ābhogi
pātaṅgiḥ	A	pātangi
bhaṅgiḥ	A	bhangi
vibhaṅgiḥ	A	vibhangi
riṅgiḥ	A	ringi
ṣṛṅgiḥ	A	ṣṛngi
paiṅgiḥ	A	paingi
aṅiḥ	A	ani
kākaṅiḥ	A	kākani
gaṅiḥ	A	gani
gāvalgaṅiḥ	A	gāvalgani
paṅiḥ	A	pani
vipaṅiḥ	A	vipani
kṣipaṅiḥ	A	kṣipani
kaphaṅiḥ	A	kaphani
maṅiḥ	A	mani
udgārakamaṅiḥ	A	udgārakamani
mandāmaṅiḥ	A	mandāmani
unmaṅiḥ	A	unmani
jarāyaṅiḥ	A	jarāyani
bādarāyaṅiḥ	A	bādarāyani
araṅiḥ	A	arani
āraṅiḥ	A	ārani
akaraṅiḥ	A	akarani
caraṅiḥ	A	carani
ḍaraṅiḥ	A	ḍarani
vaitaraṅiḥ	A	vaitarani
saraṅiḥ	A	sarani
prasaraṅiḥ	A	prasarani
tāraṅiḥ	A	tārani
sāraṅiḥ	A	sārani
ahīraṅiḥ	A	ahīrani
ḍoraṅiḥ	A	ḍorani
rāvaṅiḥ	A	rāvani
aṭarvaṅiḥ	A	aṭarvani
iṣaṅiḥ	A	iṣani
pituṣaṅiḥ	A	pituṣani
peṣaṅiḥ	A	peṣani
karṣaṅiḥ	A	karṣani
ḍarṣaṅiḥ	A	ḍarṣani
varṣaṅiḥ	A	varṣani
saṅiḥ	A	sani
grahaṅiḥ	A	grahani
pāṅiḥ	A	pāni
prapāṅiḥ	A	prapāni
aprayāṅiḥ	A	aprayāni
vyāṅiḥ	A	vyāni
vāṅiḥ	A	vāni
pravāṅiḥ	A	pravāni
prativāṅiḥ	A	prativāni
ṣāṅiḥ	A	ṣāni
prahāṅiḥ	A	prahāni
rohiṅiḥ	A	rohini
kuṅiḥ	A	kuni
maitrāvaruṅiḥ	A	maitrāvaruni
vāruṅiḥ	A	vāruni
druṅiḥ	A	druni
