headword_iast	source_code	form_key	in_union	union_dicts
nabhaḥ	R	nabha	1	SKD VCP
ambhaḥ	M	ambha	1	BUR VCP
tamaḥ	R	tama	1	AP BUR MD MW PWG PWK SKD VCP
dharmaḥ	H	dharma	1	BHS BUR CAE CCS INM MD MW PWG PWK SCH VEI
ayaḥ	M	aya	1	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI
prajānāṃpatayaḥ	N	prajānānpataya	1	INM
kāśakuśādayaḥ	N	kāśakuśādaya	1	INM
agniyonayaḥ	N	agniyonaya	1	INM
payaḥ	M	paya	1	MW PWG SKD VCP
vyathyayaḥ		vyathyaya	1	PWG PWK
prāsānāṃprabhavovyayaḥ	N	prāsānānprabhavovyaya	1	INM
girayaḥ	N	giraya	1	INM
trayaḥ	R	traya	1	AP BUR CAE CCS GRA MD MW PWG PWK VCP
vayaḥ	M	vaya	1	MW PWG PWK SKD VCP
bhūyaḥ	R	bhūya	1	BUR MD MW PWG
śreyaḥ	M	śreya	1	PWG PWK
viśvakṛtāṃvareṅyaḥ	N	viśvakṛtānvarenya	1	INM
sadyaḥ	M	sadya	1	MW PWG PWK
adhivājyakulādyaḥ	N	adhivājyakulādya	1	MW PWK
uttarāḥphalgunyaḥ	N	uttarāḥphalgunya	1	INM
vallyaḥ	N	vallya	1	INM
hyaḥ	M	hya	1	MW SKD
uraḥ	M	ura	1	AP BHS BUR CAE PWG SKD VCP
dharmārcimeghanagaraḥ	H	dharmārcimeghanagara	1	BHS
lokānāṃmātaraḥ	N	lokānānmātara	1	INM
abhrātaraḥ	V	abhrātara	1	VEI
lokapitaraḥ	N	lokapitara	1	INM
paraḥ	M	para	1	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP
śrīmatāṃvaraḥ	N	śrīmatānvara	1	INM
bhūtānāmīśvaraḥ	N	bhūtānāmīśvara	1	INM
saraḥ	M	sara	1	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH VCP
citrakāraḥ	H	citrakāra	1	CAE MW PWG PWK SCH VCP
udbhūtarasasyakāraṅatvavicāraḥ		udbhūtarasasyakāranatvavicāra	1	PWK
tiraḥ	M	tira	1	MD
śiraḥ	M	śira	1	BUR MD MW PWG PWK VCP
bandhuraḥ	M	bandhura	1	AP CAE CCS MD MW PWG PWK SCH VCP
puraḥ	M	pura	1	AP BHS BUR CAE CCS MD MW PWG PWK SCH SKD VCP
mitrāvaruṅayohputraḥ	N	mitrāvarunayohputra	0	
paramomantraḥ	N	paramomantra	1	INM
saptasindhavaḥ	V	saptasindhava	1	VEI
upamanyavaḥ	I	upamanyava	0	
uttarāḥkuravaḥ	N	uttarāḥkurava	1	INM
nārāśībhāvaḥ	H	nārāśībhāva	1	BHS
kākṣivaḥ	I	kākṣiva	0	
bhuvaḥ	N	bhuva	1	MW PWG PWK VCP
śvaḥ	M	śva	1	MW PWG PWK
svaḥ	R	sva	1	AP BHS BUR CAE CCS GRA MD MW PWG PWK VCP
vyutkhaṅḍaśaḥ	H	vyutkhanḍaśa	1	BHS
yaśaḥ	M	yaśa	1	BHS MW PWG PWK
diśaḥ	N	diśa	1	BHS PWK SKD VCP
vyādiśaḥ	N	vyādiśa	1	MW VCP
vidiśaḥ	N	vidiśa	1	INM
uṣaḥ	M	uṣa	1	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI
amaradviṣaḥ	N	amaradviṣa	1	INM
rakṣaḥ	M	rakṣa	1	BUR CAE CCS MD MW PWG PWK SKD VCP
vakṣaḥ	M	vakṣa	1	SKD VCP
atharvāṅgirasaḥ	N	atharvāngirasa	1	AP INM MW PD PWG PWK VCP
vāsaḥ	M	vāsa	1	BHS BUR CAE CCS GRA MD MW PWG PWK SKD VCP
arjunasyavanavāsaḥ	N	arjunasyavanavāsa	1	INM
arjunasyavanevāsaḥ	N	arjunasyavanevāsa	1	INM
ahaḥ	M	aha	1	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SKD VCP
rahaḥ	M	raha	1	BUR CAE MW PWG PWK SKD VCP
anupapādakāḥ	A	anupapādakā	1	AP
aśmakāḥ	N	aśmakā	1	INM
audayakāḥ	A	audayakā	1	AP
karcūrakāḥ	A	karcūrakā	0	
andhrakāḥ	N	andhrakā	1	INM
bāhlakāḥ	A	bāhlakā	1	AP
invakāḥ	A	invakā	1	AP BUR MW PWG VCP
ilvakāḥ	A	ilvakā	1	BUR MW PWG PWK
ḍānākāḥ	A	ḍānākā	0	
anuvākāḥ	N	anuvākā	1	INM
ījikāḥ	A	ījikā	1	AP
oḍikāḥ	A	oḍikā	1	AP MW PWG PWK SKD VCP
kāruṅḍikāḥ	A	kārunḍikā	1	AP MW PWG PWK
sautrāntikāḥ	A	sautrāntikā	1	AP
khadikāḥ	A	khadikā	1	BUR MW PWG PWK SKD VCP
dantolūkhalikāḥ	N	dantolūkhalikā	1	INM
bahlikāḥ	A	bahlikā	1	AP
aurasikāḥ	N	aurasikā	1	INM
arbukāḥ	A	arbukā	1	AP
śailavālukāḥ	G	śailavālukā	1	MW PWK
vanekiṃṣukāḥ	A	vanekinṣukā	0	
ravicakrakṣepakadhruvāṅkāḥ	M	ravicakrakṣepakadhruvānkā	1	MW
veṅkāḥ	A	venkā	1	AP
turuṣkāḥ	A	turuṣkā	1	AP
vaṅgāḥ	A	vangā	1	AP
meghasaṅghāḥ	N	meghasanghā	1	INM
brāhmaṅāḥ	N	brāhmanā	1	INM
jatṛṅāḥ	A	jatṛnā	1	AP
daṣārṅāḥ	A	daṣārnā	0	
aṅḍajāḥ	N	anḍajā	1	AP MW PD SKD
udbhijāḥ	N	udbhijā	1	INM
jarāyujāḥ	N	jarāyujā	1	INM
kāṣṭhāḥ	N	kāṣṭhā	1	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP VEI
bharataśreṣṭhāḥ	N	bharataśreṣṭhā	1	INM
muraṅḍāḥ	A	muranḍā	1	AP
uttarāaṣāḍhāḥ	N	uttarāaṣāḍhā	1	INM
avimūḍhāḥ	N	avimūḍhā	1	INM
māḍumatāḥ	A	māḍumatā	0	
latāḥ	N	latā	1	AP BHS BUR CAE CCS INM MD MW PWG PWK SKD VCP
gopadrumalatāḥ	G	gopadrumalatā	1	PWG
avoditāḥ	H	avoditā	1	BHS
vedyāramitāḥ	H	vedyāramitā	1	BHS
tuṣitāḥ	A	tuṣitā	1	MW
śirasitāḥ	H	śirasitā	1	BHS
kāśirājasutāḥ	N	kāśirājasutā	1	INM
cintyadyotāḥ	N	cintyadyotā	1	INM
caṅkramyayuktāḥ	H	cankramyayuktā	1	BHS
agnisvattāḥ	N	agnisvattā	1	INM
agniṣvāttāḥ	I	agniṣvāttā	0	
ṣaṭkūṭaślokānāmarthāḥ	M	ṣaṭkūṭaślokānāmarthā	1	MW
uttarāḥproṣṭhapadāḥ	N	uttarāḥproṣṭhapadā	1	INM
daradāḥ	A	daradā	1	AP
paippalādāḥ	A	paippalādā	1	AP
bāhubādhāḥ	N	bāhubādhā	1	INM
anūrādhāḥ	G	anūrādhā	1	PD PWG
pariśraddhāḥ	H	pariśraddhā	1	BHS
vācāviruddhāḥ	N	vācāviruddhā	1	INM
pañcajanāḥ	V	pancajanā	1	VEI
āñjanābhyañjanāḥ	G	ānjanābhyanjanā	1	MW
ārjunāyanāḥ	A	ārjunāyanā	1	AP
cānāḥ	H	cānā	1	BHS
ḍānāḥ	A	ḍānā	0	
kuṅḍināḥ	A	kunḍinā	1	AP
saurasenāḥ	A	saurasenā	1	AP
ghṛtapāḥ	N	ghṛtapā	1	INM
gandhapāḥ	N	gandhapā	1	INM
somapāḥ	N	somapā	1	AP CAE CCS GRA INM MW PWG PWK
uṣmapāḥ	N	uṣmapā	1	INM
ājyapāḥ	N	ājyapā	1	AP INM
aḍipāḥ	A	aḍipā	0	
bharatarṣabhāḥ	N	bharatarṣabhā	1	INM
vidarbhāḥ	A	vidarbhā	1	INM MW
bharatasattamāḥ	N	bharatasattamā	1	INM
bhārgavasattamāḥ	N	bhārgavasattamā	1	INM
bhīmāḥ	N	bhīmā	1	AP BHS INM MW SKD VCP
suhmāḥ	A	suhmā	1	AP
sṛñjayāḥ	A	sṛnjayā	1	AP
kṣatriyāḥ	N	kṣatriyā	1	AP MW
dāsamīyāḥ	A	dāsamīyā	1	AP
kroṣṭrīyāḥ	A	kroṣṭrīyā	1	AP
buḍeyāḥ	A	buḍeyā	0	
pāṅḍyāḥ	A	pānḍyā	1	AP
bahuvadyāḥ	N	bahuvadyā	0	
ṣainyāḥ	A	ṣainyā	0	
āryāḥ	N	āryā	1	AP BHS INM MW SCH
saptasūryāḥ	V	saptasūryā	1	VEI
pativratāyāmāhātmyasāvitryāḥ	N	pativratāyāmāhātmyasāvitryā	1	INM
somavāyavyāḥ	N	somavāyavyā	1	INM
vaiśyāḥ	N	vaiśyā	1	MD MW SKD
aṃcoladvicarāḥ	I	ancoladvicarā	0	
uṣīnarāḥ	A	uṣīnarā	0	
varṅavarāḥ	N	varnavarā	1	INM
aṣṭādaśāvarāḥ	N	aṣṭādaśāvarā	1	INM
phaṅikārāḥ	A	phanikārā	1	AP
nārāḥ	N	nārā	1	AP SKD VCP
āvaśīrāḥ	N	āvaśīrā	1	INM
kukurāḥ	A	kukurā	1	AP SKD
ābhāsurāḥ	N	ābhāsurā	1	INM
mātrāḥ	N	mātrā	1	AP CAE CCS GRA MD MW SCH SKD VEI
bālabhadrāḥ	N	bālabhadrā	1	INM
hilvalāḥ	A	hilvalā	1	SKD VCP
apiṣalāḥ	A	apiṣalā	0	
kaṅkālāḥ	A	kankālā	0	
pañcālāḥ	A	pancālā	1	BHS
cicchilāḥ	A	cicchilā	1	AP
utūlāḥ	A	utūlā	1	AP
śailāḥ	N	śailā	1	BHS MW
vāḥ	M	vā	1	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
lavāḥ	N	lavā	1	INM
ballavāḥ	N	ballavā	1	INM
viśvedevāḥ	N	viśvedevā	1	MW
dvāḥ	M	dvā	1	CAE CCS MD MW PWG PWK
variṣāḥ	A	variṣā	1	MW
kārūṣāḥ	A	kārūṣā	1	AP SKD
aśleṣāḥ	N	aśleṣā	1	AP BUR INM MW PWG PWK SCH SKD VCP
aviśeṣāḥ	I	aviśeṣā	0	
abbhakṣāḥ	N	abbhakṣā	1	INM
aṅgirasāḥ	I	angirasā	0	
atharvāṅgirasāḥ	N	atharvāngirasā	1	AP INM
hāsāḥ	A	hāsā	1	MW
bharatapravarhāḥ	N	bharatapravarhā	1	INM
dāṣārhāḥ	A	dāṣārhā	0	
varḍakiḥ	A	varḍaki	0	
nandakiḥ	A	nandaki	1	MW PWG PWK VCP
kāmandakiḥ	A	kāmandaki	1	CAE CCS MW PWG PWK VCP
saumakiḥ	A	saumaki	1	INM MW PWG PWK
sātyakiḥ	A	sātyaki	1	BUR CAE INM MD MW PWG PWK VCP
pāvakiḥ	A	pāvaki	1	CAE CCS INM MD MW PWG PWK VCP
vaiyāsakiḥ	A	vaiyāsaki	1	INM MW PWG PWK VCP
bālākiḥ	A	bālāki	1	MW PWG PWK VCP VEI
kikiḥ	A	kiki	1	BUR MW PWG PWK VCP
vālmikiḥ	A	vālmiki	1	PWG PWK VCP
kīkiḥ	A	kīki	1	BUR MW PWG PWK VCP
krauṣṭukiḥ	A	krauṣṭuki	1	MW PWG PWK VCP VEI
vāsukiḥ	A	vāsuki	1	BUR CAE CCS INM MD MW PWG PWK VCP
ṣālaṅkiḥ	A	ṣālanki	0	
ārkiḥ	A	ārki	1	MW PWG PWK VCP
karkiḥ	A	karki	1	CAE CCS MD MW PWG PWK VCP
kalkiḥ	A	kalki	1	CAE CCS MD MW PWG PWK VCP
asakhiḥ	A	asakhi	1	MW PWG PWK VCP
kikhiḥ	A	kikhi	1	BUR MW PWG PWK VCP
khikhiḥ	A	khikhi	1	BUR MW PWG PWK
ābhogiḥ	A	ābhogi	1	CCS GRA MD MW PWG PWK VCP
pātaṅgiḥ	A	pātangi	1	MW PWG PWK
bhaṅgiḥ	A	bhangi	1	BUR CAE CCS MD MW PWG PWK VCP
vibhaṅgiḥ	A	vibhangi	1	MW PWK SCH
riṅgiḥ	A	ringi	1	CAE CCS MD MW PWG PWK
ṣṛṅgiḥ	A	ṣṛngi	0	
