key1_slp1	key2_accented	iast	form_key	case_class	L	pc	source_xml	in_master
vARinI	va1n2ini1	vāṇinī	vāninī	fiction	23448	324-2	SCH-fiction-3147_cases.xml	1
vAtaKuqa	va1takhud2a	vātakhuḍa	vātakhuḍa	fiction	23449	324-2	SCH-fiction-3147_cases.xml	0
vAtapramI	va1taprami1	vātapramī	vātapramī	fiction	23451	324-2	SCH-fiction-3147_cases.xml	1
vAtAri	va1ta1ri	vātāri	vātāri	fiction	23461	324-2	SCH-fiction-3147_cases.xml	1
vAdin	va1din	vādin	vādin	fiction	23473	324-3	SCH-fiction-3147_cases.xml	1
vAna	va1na	vāna	vāna	fiction	23480	324-3	SCH-fiction-3147_cases.xml	1
vAntAda	va1nta1da	vāntāda	vāntāda	fiction	23485	324-3	SCH-fiction-3147_cases.xml	1
vAntI	va1nti1	vāntī	vāntī	fiction	23487	324-3	SCH-fiction-3147_cases.xml	1
vAntIBAva	va1nti1bha1va	vāntībhāva	vāntībhāva	fiction	23488	324-3	SCH-fiction-3147_cases.xml	1
vAmanetrA	va1manetra1	vāmanetrā	vāmanetrā	fiction	23497	325-1	SCH-fiction-3147_cases.xml	1
vAyanaka	va1yanaka	vāyanaka	vāyanaka	fiction	23509	325-1	SCH-fiction-3147_cases.xml	1
vAyukftsna	va1yukr2tsna	vāyukṛtsna	vāyukṛtsna	fiction	23512	325-1	SCH-fiction-3147_cases.xml	1
vAraRa	va1ran2a4	vāraṇa	vārana	fiction	23523	325-2	SCH-fiction-3147_cases.xml	1
vAraRabUsA	va1ran2abu1sa1	vāraṇabūsā	vāranabūsā	fiction	23525	325-2	SCH-fiction-3147_cases.xml	0
vAraRavusA	va1ran2avusa1	vāraṇavusā	vāranavusā	fiction	23526	325-2	SCH-fiction-3147_cases.xml	0
vAralA	va1rala1	vāralā	vāralā	fiction	23532	325-2	SCH-fiction-3147_cases.xml	1
vArasundarI	va1rasundari1	vārasundarī	vārasundarī	fiction	23538	325-2	SCH-fiction-3147_cases.xml	1
vArastrI	va1rastri1	vārastrī	vārastrī	fiction	23539	325-2	SCH-fiction-3147_cases.xml	1
vAri	va1ri	vāri	vāri	fiction	23546	325-3	SCH-fiction-3147_cases.xml	1
vAritra	va1ritra	vāritra	vāritra	fiction	23557	325-3	SCH-fiction-3147_cases.xml	1
vArivAsa	va1riva1sa	vārivāsa	vārivāsa	fiction	23564	325-3	SCH-fiction-3147_cases.xml	1
vAlavAya	Va1lava1ya	vālavāya	vālavāya	fiction	23588	326-1	SCH-fiction-3147_cases.xml	1
vAluka	va1luka	vāluka	vāluka	fiction	23592	326-1	SCH-fiction-3147_cases.xml	1
vAsantI	va1santi1	vāsantī	vāsantī	fiction	23602	326-2	SCH-fiction-3147_cases.xml	1
vAsavAvAsa	va1sava1va1sa	vāsavāvāsa	vāsavāvāsa	fiction	23607	326-2	SCH-fiction-3147_cases.xml	1
vAh	va1h	vāh	vāh	fiction	23615	326-2	SCH-fiction-3147_cases.xml	1
vAhika	va1hika	vāhika	vāhika	fiction	23625	326-3	SCH-fiction-3147_cases.xml	1
vika	vika	vika	vika	fiction	23637	326-3	SCH-fiction-3147_cases.xml	1
vikawaka	vikat2aka	vikaṭaka	vikaṭaka	fiction	23640	326-3	SCH-fiction-3147_cases.xml	1
vikara	vikara	vikara	vikara	fiction	23645	327-1	SCH-fiction-3147_cases.xml	1
vikasana	vikasana	vikasana	vikasana	fiction	23652	327-1	SCH-fiction-3147_cases.xml	1
vikIraRa	viki1ran2a	vikīraṇa	vikīrana	fiction	23657	327-1	SCH-fiction-3147_cases.xml	1
vikurvaRa	vikurvan2a	vikurvaṇa	vikurvana	fiction	23660	327-1	SCH-fiction-3147_cases.xml	1
vikka	vikka	vikka	vikka	fiction	23665	327-2	SCH-fiction-3147_cases.xml	1
vikziptaka	viks2iptaka	vikṣiptaka	vikṣiptaka	fiction	23673	327-2	SCH-fiction-3147_cases.xml	1
vikzepa	viks2epa	vikṣepa	vikṣepa	fiction	23676	327-2	SCH-fiction-3147_cases.xml	1
vikzoBaRa	viks2obhan2a	vikṣobhaṇa	vikṣobhana	fiction	23678	327-2	SCH-fiction-3147_cases.xml	1
viKAditaka	vikha1ditaka	vikhāditaka	vikhāditaka	fiction	23680	327-2	SCH-fiction-3147_cases.xml	1
vigra	vigra	vigra	vigra	fiction	23690	327-3	SCH-fiction-3147_cases.xml	1
vicakila	vicakila	vicakila	vicakila	fiction	23704	327-3	SCH-fiction-3147_cases.xml	1
vicakzuzkaraRa	vicaks2us2karan2a	vicakṣuṣkaraṇa	vicakṣuṣkarana	fiction	23706	327-3	SCH-fiction-3147_cases.xml	1
vicitraBUzaRa	Vicitrabhu1s2an2a	vicitrabhūṣaṇa	vicitrabhūṣana	fiction	23712	328-1	SCH-fiction-3147_cases.xml	1
vicitramOliSrIcUqa	Vicitramaulis4ri1cu1d2a	vicitramauliśrīcūḍa	vicitramauliśrīcūḍa	fiction	23713	328-1	SCH-fiction-3147_cases.xml	0
vicitrAlaMkArasvara	Vicitra1lam2ka1rasvara	vicitrālaṃkārasvara	vicitrālankārasvara	fiction	23715	328-1	SCH-fiction-3147_cases.xml	1
vijayakuYjara	vijayakun5jara	vijayakuñjara	vijayakunjara	fiction	23727	328-1	SCH-fiction-3147_cases.xml	1
vijayA	vijaya1	vijayā	vijayā	fiction	23734	328-2	SCH-fiction-3147_cases.xml	1
vijfmBA	vijr2mbha1	vijṛmbhā	vijṛmbhā	fiction	23746	328-2	SCH-fiction-3147_cases.xml	1
