key1_slp1	key2_accented	iast	form_key	case_class	L	pc	source_xml	in_master
AtAnaka	a1ta1naka	ātānaka	ātānaka	fiction	6807	093-1	SCH-fiction-3147_cases.xml	0
AdarSamuKa	A1dars4amukha	ādarśamukha	ādarśamukha	fiction	6881	094-1	SCH-fiction-3147_cases.xml	0
Adftatva	a1dr2tatva	ādṛtatva	ādṛtatva	fiction	6919	094-3	SCH-fiction-3147_cases.xml	0
AdeSanAprAtihArya	a1des4ana1pra1tiha1rya	ādeśanāprātihārya	ādeśanāprātihārya	fiction	6925	094-3	SCH-fiction-3147_cases.xml	0
ADAraRamudra	a1dha1ran2amudra	ādhāraṇamudra	ādhāranamudra	fiction	6946	095-1	SCH-fiction-3147_cases.xml	0
Anakin	a1nakin	ānakin	ānakin	fiction	6960	095-2	SCH-fiction-3147_cases.xml	0
AnApAnasmfti	a1na1pa1nasmr2ti	ānāpānasmṛti	ānāpānasmṛti	fiction	6982	095-3	SCH-fiction-3147_cases.xml	0
ApiSala	A1pis4ala	āpiśala	āpiśala	fiction	7051	096-3	SCH-fiction-3147_cases.xml	0
AmizakiMcitka	a1mis2akim2citka	āmiṣakiṃcitka	āmiṣakincitka	fiction	7151	098-1	SCH-fiction-3147_cases.xml	0
AyaHSUlika	a1yah2s4u1lika	āyaḥśūlika	āyaḥśūlika	fiction	7186	098-2	SCH-fiction-3147_cases.xml	0
Ari	a1ri	āri	āri	fiction	7254	099-2	SCH-fiction-3147_cases.xml	0
AryabrahmaviSezacittaparipfcCA	A1ryabrahmavis4es2acittaparipr2ccha1	āryabrahmaviśeṣacittaparipṛcchā	āryabrahmaviśeṣacittaparipṛcchā	fiction	7308	100-1	SCH-fiction-3147_cases.xml	0
Alasyavant	a1lasyavant	ālasyavant	ālasyavant	fiction	7337	100-2	SCH-fiction-3147_cases.xml	0
ASA	a1s4a1	āśā	āśā	fiction	7427	101-3	SCH-fiction-3147_cases.xml	0
ASIrviza	a1s4i1rvis2a	āśīrviṣa	āśīrviṣa	fiction	7455	102-1	SCH-fiction-3147_cases.xml	0
ASuganDa	A1s4ugandha	āśugandha	āśugandha	fiction	7461	102-1	SCH-fiction-3147_cases.xml	0
AScary	a1s4cary	āścary	āścary	fiction	7470	102-1	SCH-fiction-3147_cases.xml	0
ASrayASa	a1s4raya1s4a	āśrayāśa	āśrayāśa	fiction	7476	102-2	SCH-fiction-3147_cases.xml	0
ASvAsaka	a1s4va1saka	āśvāsaka	āśvāsaka	fiction	7483	102-2	SCH-fiction-3147_cases.xml	0
indrotTApana	Indrottha1pana	indrotthāpana	indrotthāpana	fiction	7721	106-1	SCH-fiction-3147_cases.xml	0
Irz	i1rs2	īrṣ	īrṣ	fiction	7804	107-2	SCH-fiction-3147_cases.xml	0
ISvara	i1s4vara	īśvara	īśvara	fiction	7818	107-3	SCH-fiction-3147_cases.xml	0
ujjaNgikA	ujjan3gika1	ujjaṅgikā	ujjangikā	fiction	7935	109-2	SCH-fiction-3147_cases.xml	0
utkuwukasTa	utkut2ukastha	utkuṭukastha	utkuṭukastha	fiction	8009	110-1	SCH-fiction-3147_cases.xml	0
uttamadyuti	uttamadyuti	uttamadyuti	uttamadyuti	fiction	8048	110-3	SCH-fiction-3147_cases.xml	0
uttaramanuzyaDarmapralApa	uttaramanus2yadharmaprala1pa	uttaramanuṣyadharmapralāpa	uttaramanuṣyadharmapralāpa	fiction	8066	111-1	SCH-fiction-3147_cases.xml	0
uttaramanuzyaDarmArocana	uttaramanus2yadharma1rocana	uttaramanuṣyadharmārocana	uttaramanuṣyadharmārocana	fiction	8067	111-1	SCH-fiction-3147_cases.xml	0
uttariDvajAgramaRi	uttaridhvaja1graman2i	uttaridhvajāgramaṇi	uttaridhvajāgramani	fiction	8089	111-2	SCH-fiction-3147_cases.xml	0
uttAnaSaya	utta1nas4aya	uttānaśaya	uttānaśaya	fiction	8098	111-2	SCH-fiction-3147_cases.xml	0
utsrAvin	utsra1vin	utsrāvin	utsrāvin	fiction	8216	113-1	SCH-fiction-3147_cases.xml	0
udAhara	uda1hara	udāhara	udāhara	fiction	8298	114-1	SCH-fiction-3147_cases.xml	0
udgAna	udga1na	udgāna	udgāna	fiction	8323	114-2	SCH-fiction-3147_cases.xml	0
udguRTikA	udgun2thika1	udguṇthikā	udgunthikā	fiction	8329	114-3	SCH-fiction-3147_cases.xml	0
udDftakaWina	uddhr2takat2hina	uddhṛtakaṭhina	uddhṛtakaṭhina	fiction	8388	115-2	SCH-fiction-3147_cases.xml	0
udyUTikAgamana	udyu1thika1gamana	udyūthikāgamana	udyūthikāgamana	fiction	8417	115-3	SCH-fiction-3147_cases.xml	0
upadeSaka	upades4aka	upadeśaka	upadeśaka	fiction	8537	117-2	SCH-fiction-3147_cases.xml	0
upapadyaparinirvAyin	upapadyaparinirva1yin	upapadyaparinirvāyin	upapadyaparinirvāyin	fiction	8586	118-1	SCH-fiction-3147_cases.xml	0
upaparIkzitavya	upapari1ks2itavya	upaparīkṣitavya	upaparīkṣitavya	fiction	8589	118-1	SCH-fiction-3147_cases.xml	0
upaSaradam	upas4aradam	upaśaradam	upaśaradam	fiction	8674	119-1	SCH-fiction-3147_cases.xml	0
upaskAram	upaska1ram	upaskāram	upaskāram	fiction	8705	119-2	SCH-fiction-3147_cases.xml	0
upaskIrRa	upaski1rn2a	upaskīrṇa	upaskīrna	fiction	8706	119-2	SCH-fiction-3147_cases.xml	0
upasparSa	upaspars4a	upasparśa	upasparśa	fiction	8715	119-3	SCH-fiction-3147_cases.xml	0
upAyakOSalya	upa1yakaus4alya	upāyakauśalya	upāyakauśalya	fiction	8739	120-1	SCH-fiction-3147_cases.xml	0
uBayAsidDa	ubhaya1siddha	ubhayāsiddha	ubhayāsiddha	fiction	8798	120-3	SCH-fiction-3147_cases.xml	0
uyamAnavarDana	uyama1navardhana	uyamānavardhana	uyamānavardhana	fiction	8805	121-1	SCH-fiction-3147_cases.xml	0
ulaBIya	Ulabhi1ya	ulabhīya	ulabhīya	fiction	8847	121-2	SCH-fiction-3147_cases.xml	0
uSanastArakA	us4anasta1raka1	uśanastārakā	uśanastārakā	fiction	8876	121-3	SCH-fiction-3147_cases.xml	0
uzasyati	us2asy(ati)	uṣasyati	uṣasyati	fiction	8879	121-3	SCH-fiction-3147_cases.xml	0
uzRIzaSiraska	us2n2i1s2as4iraska	uṣṇīṣaśiraska	uṣnīṣaśiraska	fiction	8902	122-3	SCH-fiction-3147_cases.xml	0
uhAra	uha1ra	uhāra	uhāra	fiction	8906	122-3	SCH-fiction-3147_cases.xml	0
UKala	u1khala	ūkhala	ūkhala	fiction	8910	122a-1	SCH-fiction-3147_cases.xml	0
UnaviMSativarzopasaMpAdana	u1navim2s4ativars2opasam2pa1dana	ūnaviṃśativarṣopasaṃpādana	ūnavinśativarṣopasampādana	fiction	8916	122a-1	SCH-fiction-3147_cases.xml	0
UyamAnavarDana	u1yama1navardhana	ūyamānavardhana	ūyamānavardhana	fiction	8921	122a-1	SCH-fiction-3147_cases.xml	0
UrRAparikarmaRa	u1rn2a1parikarman2a	ūrṇāparikarmaṇa	ūrnāparikarmana	fiction	8936	122a-2	SCH-fiction-3147_cases.xml	0
UrDapUram	u1rdhapu1ram	ūrdhapūram	ūrdhapūram	fiction	8940	122a-2	SCH-fiction-3147_cases.xml	0
UrDvaMgaroma	u1rdhvam2garoma	ūrdhvaṃgaroma	ūrdhvangaroma	fiction	8942	122a-3	SCH-fiction-3147_cases.xml	0
UrDvaSozam	u1rdhvas4os2am	ūrdhvaśoṣam	ūrdhvaśoṣam	fiction	8963	123-1	SCH-fiction-3147_cases.xml	0
UhanA	u1hana1	ūhanā	ūhanā	fiction	8982	123-3	SCH-fiction-3147_cases.xml	0
